QUARTER,TIME_REMAINING,NEW YORK_ACTION,OKLAHOMA CITY_ACTION,NEW YORK_SCORE,OKLAHOMA CITY_SCORE
1,6:30.0,T. Hardaway makes free throw 2 of 2,,13,19
1,6:10.0,,S. Adams misses 2-pt hook shot from 4 ft,13,19
1,6:06.0,,Offensive rebound by P. Patterson,13,19
1,6:06.0,,P. Patterson misses 2-pt layup at rim,13,19
1,6:06.0,Defensive rebound by Team,,13,19
1,5:57.0,K. Knox makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,16,19
1,5:38.0,,Personal foul by M. Robinson (drawn by P. George),16,19
1,5:38.0,E. Freedom enters the game for M. Robinson,,16,19
1,5:24.0,,Shooting foul by K. Knox (drawn by P. Patterson),16,19
1,5:24.0,,P. Patterson makes free throw 1 of 2,16,20
1,5:24.0,M. Hezonja enters the game for K. Knox,,16,20
1,5:24.0,,P. Patterson misses free throw 2 of 2,16,20
1,5:22.0,Defensive rebound by M. Hezonja,,16,20
1,5:03.0,E. Freedom makes 2-pt layup from 1 ft,,18,20
1,4:52.0,,D. Schröder makes 3-pt jump shot from 24 ft,18,23
1,4:30.0,Turnover by E. Mudiay (bad pass; steal by P. Patterson),,18,23
1,4:22.0,,S. Adams makes 2-pt hook shot from 1 ft (assist by D. Schröder),18,25
1,4:06.0,Turnover by E. Mudiay (bad pass; steal by P. George),,18,25
1,4:02.0,,Offensive foul by S. Adams (drawn by E. Freedom),18,25
1,4:02.0,,Turnover by S. Adams (offensive foul),18,25
1,4:02.0,D. Dotson enters the game for T. Hardaway,,18,25
1,4:02.0,F. Ntilikina enters the game for E. Mudiay,,18,25
1,3:50.0,M. Hezonja misses 2-pt jump shot from 21 ft,,18,25
1,3:47.0,,Defensive rebound by P. George,18,25
1,3:41.0,,P. George misses 3-pt jump shot from 25 ft,18,25
1,3:37.0,Defensive rebound by D. Dotson,,18,25
1,3:30.0,M. Hezonja misses 2-pt layup from 1 ft,,18,25
1,3:30.0,,Defensive rebound by D. Schröder,18,25
1,3:26.0,,T. Ferguson misses 2-pt layup at rim,18,25
1,3:26.0,Defensive rebound by F. Ntilikina,,18,25
1,3:07.0,F. Ntilikina misses 3-pt jump shot from 26 ft,,18,25
1,3:03.0,,Defensive rebound by D. Schröder,18,25
1,2:59.0,,P. George makes 2-pt layup from 1 ft (assist by T. Ferguson),18,27
1,2:43.0,Offensive foul by E. Freedom (drawn by P. Patterson),,18,27
1,2:43.0,Turnover by E. Freedom (offensive foul),,18,27
1,2:43.0,,Oklahoma City full timeout,18,27
1,2:43.0,,Á. Abrines enters the game for P. George,18,27
1,2:30.0,,D. Schröder makes 2-pt jump shot from 6 ft,18,29
1,2:12.0,D. Dotson misses 2-pt jump shot from 13 ft,,18,29
1,2:10.0,Offensive rebound by E. Freedom,,18,29
1,2:04.0,M. Hezonja makes 2-pt jump shot from 13 ft (assist by F. Ntilikina),,20,29
1,1:45.0,,S. Adams makes 2-pt dunk from 1 ft (assist by D. Schröder),20,31
1,1:32.0,Turnover by M. Hezonja (bad pass),,20,31
1,1:20.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by D. Schröder),20,33
1,0:57.0,E. Freedom misses 2-pt jump shot from 12 ft,,20,33
1,0:55.0,Offensive rebound by D. Dotson,,20,33
1,0:55.0,D. Dotson misses 2-pt dunk from 1 ft,,20,33
1,0:55.0,,Defensive rebound by Team,20,33
1,0:37.0,,Personal foul by E. Freedom (drawn by D. Schröder),20,33
1,0:37.0,,D. Schröder makes free throw 1 of 2,20,34
1,0:37.0,,D. Schröder makes free throw 2 of 2,20,35
1,0:31.0,A. Trier misses 2-pt layup at rim,,20,35
1,0:31.0,Offensive rebound by E. Freedom,,20,35
1,0:31.0,E. Freedom makes 2-pt layup from 1 ft,,22,35
1,0:12.0,,S. Adams makes 2-pt layup from 1 ft (assist by D. Schröder),22,37
1,0:01.0,A. Trier misses 2-pt jump shot from 17 ft,,22,37
1,0:01.0,,Defensive rebound by D. Schröder,22,37
2,12:00.0,Violation by Team (delay of game),,22,37
2,11:47.0,Personal foul by H. Diallo (drawn by D. Dotson),,22,37
2,11:33.0,M. Hezonja makes 2-pt dunk at rim,,24,37
2,11:09.0,,Turnover by P. Patterson (bad pass; steal by A. Trier),24,37
2,11:03.0,A. Trier misses 2-pt jump shot from 14 ft,,24,37
2,11:00.0,,Defensive rebound by N. Noel,24,37
2,10:46.0,,H. Diallo misses 2-pt layup from 1 ft,24,37
2,10:45.0,,Offensive rebound by Team,24,37
2,10:45.0,Loose ball foul by D. Dotson (drawn by N. Noel),,24,37
2,10:34.0,,R. Felton makes 3-pt jump shot from 26 ft,24,40
2,10:11.0,E. Freedom makes 2-pt hook shot from 6 ft (assist by D. Dotson),,26,40
2,9:51.0,,Shooting foul by F. Ntilikina (drawn by R. Felton),26,40
2,9:51.0,,R. Felton makes free throw 1 of 2,26,41
2,9:51.0,,R. Felton makes free throw 2 of 2,26,42
2,9:29.0,E. Freedom misses 2-pt hook shot from 4 ft,,26,42
2,9:27.0,,Defensive rebound by N. Noel,26,42
2,9:20.0,Violation by Team (kicked ball),,26,42
2,9:20.0,M. Robinson enters the game for E. Freedom,,26,42
2,9:05.0,,R. Felton misses 3-pt jump shot from 35 ft,26,42
2,9:02.0,,Offensive rebound by P. Patterson,26,42
2,9:01.0,,P. Patterson makes 2-pt layup from 1 ft,26,44
2,8:35.0,D. Dotson misses 3-pt jump shot from 25 ft,,26,44
2,8:32.0,,Defensive rebound by Team,26,44
2,8:32.0,T. Hardaway enters the game for D. Dotson,,26,44
2,8:32.0,E. Mudiay enters the game for F. Ntilikina,,26,44
2,8:15.0,,Á. Abrines misses 2-pt jump shot from 16 ft,26,44
2,8:12.0,Defensive rebound by M. Hezonja,,26,44
2,8:08.0,M. Hezonja makes 2-pt layup at rim,,28,44
2,7:53.0,,Turnover by Á. Abrines (lost ball; steal by A. Trier),28,44
2,7:51.0,A. Trier makes 2-pt layup at rim,,30,44
2,7:29.0,,Á. Abrines misses 3-pt jump shot from 27 ft,30,44
2,7:29.0,Defensive rebound by T. Hardaway,,30,44
2,7:20.0,Shooting foul by R. Felton (drawn by T. Hardaway),,30,44
2,7:20.0,T. Hardaway misses free throw 1 of 3,,30,44
2,7:20.0,Offensive rebound by Team,,30,44
2,7:20.0,T. Hardaway makes free throw 2 of 3,,31,44
2,7:20.0,,Oklahoma City full timeout,31,44
2,7:20.0,K. Knox enters the game for M. Hezonja,,31,44
2,7:20.0,N. Vonleh enters the game for M. Robinson,,31,44
2,7:20.0,,P. George enters the game for Á. Abrines,31,44
2,7:20.0,,J. Grant enters the game for P. Patterson,31,44
2,7:20.0,T. Hardaway makes free throw 3 of 3,,32,44
2,7:11.0,,P. George misses 2-pt jump shot from 18 ft,32,44
2,7:08.0,Defensive rebound by K. Knox,,32,44
2,6:58.0,T. Hardaway misses 3-pt jump shot from 27 ft,,32,44
2,6:54.0,Offensive rebound by N. Vonleh,,32,44
2,6:53.0,N. Vonleh misses 2-pt layup from 2 ft (block by N. Noel),,32,44
2,6:51.0,Offensive rebound by A. Trier,,32,44
2,6:49.0,K. Knox misses 3-pt jump shot from 23 ft,,32,44
2,6:45.0,,Defensive rebound by P. George,32,44
2,6:32.0,,R. Felton misses 3-pt jump shot from 25 ft,32,44
2,6:30.0,Defensive rebound by E. Mudiay,,32,44
2,6:27.0,Shooting foul by H. Diallo (drawn by E. Mudiay),,32,44
2,6:27.0,E. Mudiay makes free throw 1 of 2,,33,44
2,6:27.0,,S. Adams enters the game for R. Felton,33,44
2,6:27.0,,D. Schröder enters the game for N. Noel,33,44
2,6:27.0,E. Mudiay makes free throw 2 of 2,,34,44
2,6:15.0,,P. George makes 3-pt jump shot from 25 ft (assist by S. Adams),34,47
2,5:54.0,N. Vonleh misses 2-pt jump shot from 20 ft,,34,47
2,5:51.0,,Defensive rebound by D. Schröder,34,47
2,5:40.0,,H. Diallo makes 2-pt layup at rim,34,49
2,5:26.0,N. Vonleh misses 3-pt jump shot from 26 ft,,34,49
2,5:23.0,,Defensive rebound by H. Diallo,34,49
2,5:16.0,,H. Diallo misses 2-pt layup from 2 ft,34,49
2,5:11.0,,Offensive rebound by H. Diallo,34,49
2,5:11.0,,H. Diallo makes 2-pt layup at rim,34,51
2,5:08.0,,Oklahoma City full timeout,34,51
2,5:08.0,M. Robinson enters the game for A. Trier,,34,51
2,5:08.0,,T. Ferguson enters the game for H. Diallo,34,51
2,4:57.0,T. Hardaway misses 3-pt jump shot from 26 ft,,34,51
2,4:54.0,,Defensive rebound by T. Ferguson,34,51
2,4:43.0,,Turnover by D. Schröder (bad pass; steal by M. Robinson),34,51
2,4:40.0,Shooting foul by D. Schröder (drawn by E. Mudiay),,34,51
2,4:40.0,E. Mudiay makes free throw 1 of 2,,35,51
2,4:40.0,E. Mudiay misses free throw 2 of 2,,35,51
2,4:38.0,,Defensive rebound by P. George,35,51
2,4:24.0,,P. George makes 2-pt jump shot from 13 ft,35,53
2,4:08.0,N. Vonleh makes 2-pt dunk at rim,,37,53
2,3:55.0,,J. Grant makes 2-pt dunk from 1 ft (assist by P. George),37,55
2,3:37.0,K. Knox misses 2-pt jump shot from 22 ft,,37,55
2,3:36.0,,Defensive rebound by Team,37,55
2,3:21.0,,D. Schröder misses 2-pt layup from 1 ft (block by E. Mudiay),37,55
2,3:20.0,,Offensive rebound by S. Adams,37,55
2,3:20.0,,S. Adams makes 2-pt dunk at rim,37,57
2,3:01.0,E. Mudiay misses 3-pt jump shot from 23 ft,,37,57
2,2:59.0,,Defensive rebound by T. Ferguson,37,57
2,2:52.0,,S. Adams makes 2-pt jump shot from 7 ft (assist by P. George),37,59
2,2:44.0,New York full timeout,,37,59
2,2:44.0,M. Hezonja enters the game for N. Vonleh,,37,59
2,2:36.0,T. Hardaway makes 2-pt jump shot from 2 ft,,39,59
2,2:17.0,,Shooting foul by M. Robinson (drawn by S. Adams),39,59
2,2:17.0,,S. Adams makes free throw 1 of 2,39,60
2,2:17.0,E. Freedom enters the game for M. Robinson,,39,60
2,2:17.0,,S. Adams misses free throw 2 of 2,39,60
2,2:15.0,Defensive rebound by M. Hezonja,,39,60
2,2:05.0,Shooting foul by J. Grant (drawn by K. Knox),,39,60
2,2:05.0,K. Knox makes free throw 1 of 2,,40,60
2,2:05.0,K. Knox makes free throw 2 of 2,,41,60
2,1:54.0,,D. Schröder misses 2-pt layup from 1 ft (block by T. Hardaway),41,60
2,1:52.0,Defensive rebound by M. Hezonja,,41,60
2,1:49.0,Turnover by M. Hezonja (bad pass; steal by S. Adams),,41,60
2,1:45.0,,P. George makes 2-pt dunk from 1 ft (assist by D. Schröder),41,62
2,1:28.0,E. Freedom makes 2-pt layup from 1 ft (assist by T. Hardaway),,43,62
2,1:07.0,,T. Ferguson misses 3-pt jump shot from 22 ft,43,62
2,1:05.0,Defensive rebound by M. Hezonja,,43,62
2,0:55.0,K. Knox makes 3-pt jump shot from 25 ft (assist by M. Hezonja),,46,62
2,0:47.0,,P. George makes 3-pt jump shot from 25 ft (assist by D. Schröder),46,65
2,0:37.0,T. Hardaway misses 3-pt jump shot from 25 ft,,46,65
2,0:34.0,,Defensive rebound by Team,46,65
2,0:34.0,N. Vonleh enters the game for E. Freedom,,46,65
2,0:34.0,,H. Diallo enters the game for J. Grant,46,65
2,0:29.0,,T. Ferguson misses 3-pt jump shot from 23 ft,46,65
2,0:26.0,Defensive rebound by N. Vonleh,,46,65
2,0:06.0,M. Hezonja misses 3-pt jump shot from 24 ft,,46,65
2,0:05.0,Offensive rebound by N. Vonleh,,46,65
2,0:04.0,N. Vonleh makes 2-pt layup from 1 ft,,48,65
2,0:04.0,Shooting foul by T. Ferguson (drawn by N. Vonleh),,48,65
2,0:04.0,F. Ntilikina enters the game for K. Knox,,48,65
2,0:04.0,N. Vonleh makes free throw 1 of 1,,49,65
2,0:00.0,,D. Schröder misses 3-pt jump shot from 26 ft,49,65
2,0:00.0,,Offensive rebound by Team,49,65
3,11:44.0,T. Hardaway makes 2-pt jump shot from 13 ft (assist by E. Mudiay),,51,65
3,11:28.0,,S. Adams misses 2-pt layup from 2 ft (block by M. Robinson),51,65
3,11:27.0,Defensive rebound by Team,,51,65
3,11:20.0,Offensive foul by K. Knox (drawn by T. Ferguson),,51,65
3,11:20.0,Turnover by K. Knox (offensive foul),,51,65
3,11:10.0,,J. Grant makes 3-pt jump shot from 22 ft (assist by D. Schröder),51,68
3,10:56.0,M. Robinson makes 2-pt dunk from 1 ft (assist by E. Mudiay),,53,68
3,10:43.0,,D. Schröder misses 3-pt jump shot from 26 ft,53,68
3,10:40.0,Defensive rebound by K. Knox,,53,68
3,10:37.0,K. Knox misses 2-pt jump shot from 5 ft,,53,68
3,10:36.0,,Defensive rebound by Team,53,68
3,10:25.0,,J. Grant misses 2-pt layup from 2 ft (block by M. Robinson),53,68
3,10:23.0,Defensive rebound by K. Knox,,53,68
3,10:21.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by K. Knox),,56,68
3,10:05.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by S. Adams),56,71
3,9:54.0,M. Robinson makes 2-pt layup from 2 ft (assist by E. Mudiay),,58,71
3,9:43.0,,P. George misses 2-pt jump shot from 20 ft,58,71
3,9:40.0,Defensive rebound by N. Vonleh,,58,71
3,9:35.0,N. Vonleh misses 2-pt layup from 2 ft,,58,71
3,9:35.0,Offensive rebound by Team,,58,71
3,9:27.0,E. Mudiay misses 3-pt jump shot from 22 ft,,58,71
3,9:24.0,Offensive rebound by Team,,58,71
3,9:21.0,Shooting foul by P. George (drawn by T. Hardaway),,58,71
3,9:21.0,T. Hardaway makes free throw 1 of 2,,59,71
3,9:21.0,T. Hardaway misses free throw 2 of 2,,59,71
3,9:20.0,,Defensive rebound by J. Grant,59,71
3,9:06.0,,P. George makes 3-pt jump shot from 26 ft (assist by D. Schröder),59,74
3,8:53.0,T. Hardaway makes 2-pt layup from 1 ft,,61,74
3,8:43.0,,Turnover by J. Grant (bad pass; steal by E. Mudiay),61,74
3,8:42.0,Personal take foul by D. Schröder (drawn by E. Mudiay),,61,74
3,8:42.0,,P. Patterson enters the game for J. Grant,61,74
3,8:37.0,Turnover by E. Mudiay (bad pass; steal by P. George),,61,74
3,8:33.0,,P. George makes 3-pt jump shot from 27 ft,61,77
3,8:33.0,,Shooting foul by T. Hardaway (drawn by P. George),61,77
3,8:33.0,,P. George makes free throw 1 of 1,61,78
3,8:17.0,E. Mudiay misses 2-pt jump shot from 13 ft,,61,78
3,8:14.0,,Defensive rebound by T. Ferguson,61,78
3,8:03.0,,P. Patterson makes 2-pt dunk from 2 ft (assist by S. Adams),61,80
3,7:45.0,T. Hardaway misses 3-pt jump shot from 24 ft,,61,80
3,7:43.0,,Defensive rebound by S. Adams,61,80
3,7:37.0,,P. George makes 2-pt layup from 2 ft,61,82
3,7:37.0,,Shooting foul by M. Robinson (drawn by P. George),61,82
3,7:37.0,M. Hezonja enters the game for N. Vonleh,,61,82
3,7:37.0,,P. George makes free throw 1 of 1,61,83
3,7:22.0,K. Knox misses 3-pt jump shot from 25 ft,,61,83
3,7:15.0,,Defensive rebound by S. Adams,61,83
3,7:09.0,,Turnover by D. Schröder (bad pass; steal by K. Knox),61,83
3,7:04.0,K. Knox misses 2-pt layup from 2 ft,,61,83
3,7:02.0,Offensive rebound by M. Hezonja,,61,83
3,7:01.0,M. Hezonja misses 2-pt layup from 1 ft (block by D. Schröder),,61,83
3,7:01.0,,Defensive rebound by T. Ferguson,61,83
3,6:57.0,,P. George makes 2-pt dunk from 1 ft (assist by P. Patterson),61,85
3,6:57.0,New York full timeout,,61,85
3,6:57.0,F. Ntilikina enters the game for K. Knox,,61,85
3,6:57.0,A. Trier enters the game for E. Mudiay,,61,85
3,6:41.0,Turnover by T. Hardaway (bad pass; steal by S. Adams),,61,85
3,6:24.0,,P. George makes 3-pt jump shot from 26 ft (assist by D. Schröder),61,88
3,6:03.0,F. Ntilikina makes 2-pt jump shot from 15 ft,,63,88
3,5:53.0,,P. George misses 3-pt jump shot from 26 ft,63,88
3,5:49.0,Defensive rebound by M. Robinson,,63,88
3,5:38.0,M. Hezonja misses 3-pt jump shot from 26 ft,,63,88
3,5:36.0,,Defensive rebound by P. George,63,88
3,5:28.0,,Turnover by D. Schröder (out of bounds lost ball),63,88
3,5:28.0,E. Freedom enters the game for M. Robinson,,63,88
3,5:28.0,,J. Grant enters the game for P. Patterson,63,88
3,5:15.0,E. Freedom makes 2-pt layup from 2 ft (assist by M. Hezonja),,65,88
3,4:57.0,,S. Adams makes 2-pt layup from 1 ft (assist by D. Schröder),65,90
3,4:38.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by E. Freedom),,68,90
3,4:24.0,,P. George misses 2-pt jump shot from 14 ft,68,90
3,4:21.0,Defensive rebound by T. Hardaway,,68,90
3,4:15.0,M. Hezonja misses 2-pt layup from 2 ft,,68,90
3,4:13.0,,Defensive rebound by P. George,68,90
3,4:08.0,,D. Schröder makes 3-pt jump shot from 23 ft (assist by P. George),68,93
3,3:44.0,F. Ntilikina misses 2-pt jump shot from 7 ft,,68,93
3,3:42.0,,Defensive rebound by P. George,68,93
3,3:33.0,,Turnover by J. Grant (step out of bounds),68,93
3,3:33.0,D. Dotson enters the game for T. Hardaway,,68,93
3,3:13.0,E. Freedom makes 3-pt jump shot from 23 ft,,71,93
3,2:46.0,,Turnover by S. Adams (step out of bounds),71,93
3,2:46.0,New York full timeout,,71,93
3,2:26.0,Turnover by E. Freedom (traveling),,71,93
3,2:13.0,,S. Adams makes 2-pt layup from 2 ft (assist by P. George),71,95
3,2:00.0,Shooting foul by T. Ferguson (drawn by E. Freedom),,71,95
3,2:00.0,E. Freedom makes free throw 1 of 2,,72,95
3,2:00.0,,R. Felton enters the game for D. Schröder,72,95
3,2:00.0,E. Freedom misses free throw 2 of 2,,72,95
3,1:57.0,,Defensive rebound by J. Grant,72,95
3,1:47.0,,S. Adams misses 2-pt dunk from 3 ft (block by M. Hezonja),72,95
3,1:45.0,Defensive rebound by A. Trier,,72,95
3,1:43.0,A. Trier makes 2-pt layup from 1 ft,,74,95
3,1:43.0,Shooting foul by T. Ferguson (drawn by A. Trier),,74,95
3,1:43.0,A. Trier makes free throw 1 of 1,,75,95
3,1:30.0,,P. George makes 2-pt jump shot from 21 ft (assist by S. Adams),75,97
3,1:16.0,A. Trier makes 3-pt jump shot from 25 ft (assist by D. Dotson),,78,97
3,0:53.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by T. Ferguson),78,100
3,0:44.0,E. Freedom makes 2-pt jump shot from 8 ft (assist by F. Ntilikina),,80,100
3,0:30.0,,J. Grant misses 3-pt jump shot from 22 ft,80,100
3,0:26.0,,Offensive rebound by T. Ferguson,80,100
3,0:25.0,,P. George misses 3-pt jump shot from 27 ft,80,100
3,0:22.0,Defensive rebound by E. Freedom,,80,100
3,0:02.0,Offensive foul by A. Trier (drawn by T. Ferguson),,80,100
3,0:02.0,Turnover by A. Trier (offensive foul),,80,100
3,0:00.0,,P. George misses 3-pt jump shot from 33 ft,80,100
3,0:00.0,,Offensive rebound by Team,80,100
4,11:47.0,,Turnover by R. Felton (bad pass; steal by A. Trier),80,100
4,11:39.0,Turnover by A. Trier (bad pass; steal by D. Burton),,80,100
4,11:27.0,,H. Diallo makes 3-pt jump shot from 23 ft (assist by D. Burton),80,103
4,11:09.0,Turnover by A. Trier (bad pass; steal by N. Noel),,80,103
4,11:02.0,,H. Diallo makes 2-pt jump shot from 3 ft,80,105
4,11:01.0,New York full timeout,,80,105
4,10:50.0,E. Freedom misses 2-pt jump shot from 5 ft,,80,105
4,10:48.0,,Defensive rebound by D. Burton,80,105
4,10:42.0,,H. Diallo makes 2-pt layup from 2 ft (assist by R. Felton),80,107
4,10:34.0,Personal foul by N. Noel (drawn by F. Ntilikina),,80,107
4,10:25.0,Offensive foul by M. Hezonja (drawn by J. Grant),,80,107
4,10:25.0,Turnover by M. Hezonja (offensive foul),,80,107
4,10:25.0,K. Knox enters the game for M. Hezonja,,80,107
4,10:16.0,,Turnover by N. Noel (traveling),80,107
4,10:04.0,K. Knox misses 3-pt jump shot from 24 ft (block by D. Burton),,80,107
4,9:59.0,,Defensive rebound by R. Felton,80,107
4,9:46.0,,J. Grant misses 2-pt jump shot from 16 ft,80,107
4,9:41.0,,Offensive rebound by D. Burton,80,107
4,9:41.0,,D. Burton misses 2-pt layup from 1 ft,80,107
4,9:41.0,,Offensive rebound by N. Noel,80,107
4,9:38.0,,N. Noel misses 2-pt layup from 1 ft,80,107
4,9:38.0,Defensive rebound by A. Trier,,80,107
4,9:21.0,F. Ntilikina misses 2-pt jump shot from 17 ft,,80,107
4,9:18.0,,Defensive rebound by D. Burton,80,107
4,9:13.0,,J. Grant misses 3-pt jump shot from 26 ft,80,107
4,9:09.0,Defensive rebound by F. Ntilikina,,80,107
4,9:01.0,F. Ntilikina misses 3-pt jump shot from 25 ft,,80,107
4,8:59.0,,Defensive rebound by J. Grant,80,107
4,8:55.0,,H. Diallo misses 2-pt layup from 2 ft (block by F. Ntilikina),80,107
4,8:53.0,,Offensive rebound by H. Diallo,80,107
4,8:52.0,,H. Diallo misses 2-pt layup from 1 ft,80,107
4,8:48.0,Defensive rebound by D. Dotson,,80,107
4,8:42.0,E. Freedom makes 2-pt hook shot from 1 ft,,82,107
4,8:42.0,Shooting foul by N. Noel (drawn by E. Freedom),,82,107
4,8:42.0,E. Freedom makes free throw 1 of 1,,83,107
4,8:22.0,,Turnover by D. Burton (bad pass; steal by D. Dotson),83,107
4,8:19.0,K. Knox makes 2-pt layup from 1 ft (assist by D. Dotson),,85,107
4,8:19.0,Shooting foul by R. Felton (drawn by K. Knox),,85,107
4,8:19.0,,Oklahoma City full timeout,85,107
4,8:19.0,K. Knox makes free throw 1 of 1,,86,107
4,8:08.0,,D. Burton misses 2-pt jump shot from 2 ft,86,107
4,8:05.0,Defensive rebound by E. Freedom,,86,107
4,7:49.0,K. Knox misses 2-pt layup from 3 ft (block by N. Noel),,86,107
4,7:45.0,,Defensive rebound by H. Diallo,86,107
4,7:40.0,,D. Burton makes 3-pt jump shot from 23 ft (assist by R. Felton),86,110
4,7:20.0,A. Trier makes 2-pt jump shot from 18 ft,,88,110
4,6:56.0,,R. Felton misses 2-pt jump shot from 19 ft,88,110
4,6:54.0,Defensive rebound by E. Freedom,,88,110
4,6:47.0,A. Trier misses 2-pt layup from 3 ft (block by R. Felton),,88,110
4,6:47.0,Offensive rebound by Team,,88,110
4,6:38.0,K. Knox misses 2-pt layup from 5 ft,,88,110
4,6:37.0,Offensive rebound by Team,,88,110
4,6:37.0,,D. Schröder enters the game for R. Felton,88,110
4,6:28.0,F. Ntilikina makes 2-pt jump shot from 8 ft,,90,110
4,6:05.0,,D. Burton misses 3-pt jump shot from 26 ft,90,110
4,6:00.0,,Offensive rebound by N. Noel,90,110
4,6:00.0,,N. Noel makes 2-pt layup from 1 ft,90,112
4,5:42.0,D. Dotson misses 2-pt jump shot from 8 ft,,90,112
4,5:40.0,Offensive rebound by D. Dotson,,90,112
4,5:38.0,K. Knox misses 3-pt jump shot from 25 ft,,90,112
4,5:35.0,,Defensive rebound by D. Burton,90,112
4,5:25.0,,H. Diallo misses 2-pt jump shot from 14 ft,90,112
4,5:22.0,,Offensive rebound by N. Noel,90,112
4,5:22.0,,J. Grant makes 2-pt dunk at rim (assist by N. Noel),90,114
4,5:21.0,New York full timeout,,90,114
4,5:21.0,R. Baker enters the game for E. Freedom,,90,114
4,5:21.0,N. Vonleh enters the game for F. Ntilikina,,90,114
4,5:10.0,Personal foul by D. Burton (drawn by D. Dotson),,90,114
4,5:10.0,,R. Felton enters the game for J. Grant,90,114
4,5:10.0,,T. Ferguson enters the game for D. Schröder,90,114
4,5:01.0,D. Dotson makes 2-pt jump shot from 20 ft,,92,114
4,4:43.0,,T. Ferguson makes 3-pt jump shot from 26 ft (assist by N. Noel),92,117
4,4:26.0,Personal foul by N. Noel (drawn by N. Vonleh),,92,117
4,4:26.0,N. Vonleh makes free throw 1 of 2,,93,117
4,4:26.0,N. Vonleh makes free throw 2 of 2,,94,117
4,4:10.0,,Turnover by R. Felton (bad pass; steal by D. Dotson),94,117
4,4:06.0,R. Baker makes 2-pt layup from 1 ft,,96,117
