QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MINNESOTA_ACTION,NEW ORLEANS_SCORE,MINNESOTA_SCORE
1,6:59.0,,Minnesota full timeout,14,10
1,6:46.0,,Turnover by A. Wiggins (bad pass; steal by E. Moore),14,10
1,6:42.0,E. Payton misses 2-pt layup at rim,,14,10
1,6:39.0,,Defensive rebound by K. Towns,14,10
1,6:35.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Wiggins),14,12
1,6:16.0,J. Randle makes 2-pt jump shot from 8 ft,,16,12
1,6:01.0,,A. Wiggins misses 2-pt hook shot from 5 ft,16,12
1,5:59.0,,Offensive rebound by A. Wiggins,16,12
1,5:58.0,,A. Wiggins misses 2-pt layup from 4 ft,16,12
1,5:56.0,,Offensive rebound by A. Wiggins,16,12
1,5:55.0,,A. Wiggins misses 2-pt layup from 3 ft (block by A. Davis),16,12
1,5:52.0,Defensive rebound by J. Randle,,16,12
1,5:52.0,Personal foul by J. Teague (drawn by J. Randle),,16,12
1,5:52.0,,D. Šarić enters the game for T. Gibson,16,12
1,5:42.0,Personal foul by D. Šarić (drawn by A. Davis),,16,12
1,5:33.0,A. Davis misses 2-pt jump shot from 16 ft,,16,12
1,5:30.0,,Defensive rebound by J. Okogie,16,12
1,5:19.0,,J. Okogie misses 3-pt jump shot from 26 ft (block by J. Holiday),16,12
1,5:15.0,Defensive rebound by J. Randle,,16,12
1,5:04.0,J. Randle misses 2-pt jump shot from 7 ft (block by K. Towns),,16,12
1,5:02.0,,Defensive rebound by K. Towns,16,12
1,4:56.0,,Shooting foul by A. Davis (drawn by K. Towns),16,12
1,4:56.0,,K. Towns makes free throw 1 of 2,16,13
1,4:56.0,D. Miller enters the game for E. Moore,,16,13
1,4:56.0,N. Mirotić enters the game for J. Randle,,16,13
1,4:56.0,,T. Jones enters the game for J. Okogie,16,13
1,4:56.0,,A. Tolliver enters the game for J. Teague,16,13
1,4:56.0,,K. Towns makes free throw 2 of 2,16,14
1,4:48.0,A. Davis makes 2-pt dunk from 2 ft (assist by J. Holiday),,18,14
1,4:32.0,,K. Towns misses 2-pt hook shot from 8 ft,18,14
1,4:29.0,,Offensive rebound by K. Towns,18,14
1,4:28.0,,K. Towns misses 2-pt layup from 4 ft (block by N. Mirotić),18,14
1,4:28.0,Defensive rebound by A. Davis,,18,14
1,4:18.0,J. Holiday misses 2-pt hook shot from 3 ft,,18,14
1,4:14.0,Offensive rebound by A. Davis,,18,14
1,4:12.0,N. Mirotić misses 3-pt jump shot from 25 ft,,18,14
1,4:09.0,,Defensive rebound by K. Towns,18,14
1,4:00.0,,K. Towns misses 2-pt layup from 8 ft,18,14
1,3:54.0,,Offensive rebound by D. Šarić,18,14
1,3:54.0,,D. Šarić misses 2-pt layup at rim,18,14
1,3:54.0,Defensive rebound by A. Davis,,18,14
1,3:53.0,E. Payton misses 2-pt layup from 4 ft (block by T. Jones),,18,14
1,3:53.0,,Defensive rebound by Team,18,14
1,3:42.0,,K. Towns misses 3-pt jump shot from 23 ft,18,14
1,3:39.0,Defensive rebound by E. Payton,,18,14
1,3:33.0,Shooting foul by D. Šarić (drawn by A. Davis),,18,14
1,3:33.0,A. Davis makes free throw 1 of 2,,19,14
1,3:33.0,F. Jackson enters the game for J. Holiday,,19,14
1,3:33.0,,G. Dieng enters the game for K. Towns,19,14
1,3:33.0,A. Davis makes free throw 2 of 2,,20,14
1,3:16.0,,G. Dieng makes 2-pt jump shot from 12 ft,20,16
1,2:53.0,Turnover by A. Davis (lost ball; steal by G. Dieng),,20,16
1,2:42.0,,A. Tolliver misses 3-pt jump shot from 24 ft,20,16
1,2:39.0,Defensive rebound by A. Davis,,20,16
1,2:30.0,Shooting foul by D. Šarić (drawn by N. Mirotić),,20,16
1,2:30.0,New Orleans full timeout,,20,16
1,2:30.0,,T. Gibson enters the game for D. Šarić,20,16
1,2:30.0,N. Mirotić makes free throw 1 of 2,,21,16
1,2:30.0,N. Mirotić makes free throw 2 of 2,,22,16
1,2:06.0,,A. Wiggins makes 2-pt jump shot from 21 ft,22,18
1,1:47.0,Turnover by D. Miller (bad pass; steal by G. Dieng),,22,18
1,1:35.0,,T. Gibson makes 2-pt jump shot from 11 ft (assist by T. Jones),22,20
1,1:22.0,F. Jackson makes 2-pt layup from 6 ft (assist by A. Davis),,24,20
1,1:09.0,,A. Wiggins makes 2-pt layup from 5 ft,24,22
1,1:01.0,Shooting foul by G. Dieng (drawn by A. Davis),,24,22
1,1:01.0,A. Davis makes free throw 1 of 2,,25,22
1,1:01.0,A. Davis makes free throw 2 of 2,,26,22
1,0:47.0,,T. Gibson makes 2-pt layup from 1 ft,26,24
1,0:34.0,Shooting foul by A. Tolliver (drawn by A. Davis),,26,24
1,0:34.0,A. Davis makes free throw 1 of 2,,27,24
1,0:34.0,A. Davis misses free throw 2 of 2,,27,24
1,0:30.0,,Defensive rebound by G. Dieng,27,24
1,0:24.0,,Personal foul by D. Miller (drawn by T. Gibson),27,24
1,0:13.0,,T. Jones makes 3-pt jump shot from 28 ft,27,27
1,0:01.0,A. Davis misses 3-pt jump shot from 28 ft,,27,27
1,0:01.0,Offensive rebound by E. Payton,,27,27
1,0:00.0,E. Payton makes 2-pt layup from 1 ft,,29,27
2,11:43.0,,J. Okogie misses 3-pt jump shot from 25 ft,29,27
2,11:39.0,Defensive rebound by J. Randle,,29,27
2,11:34.0,J. Holiday makes 2-pt layup from 1 ft (assist by J. Randle),,31,27
2,11:12.0,,Shooting foul by J. Randle (drawn by K. Towns),31,27
2,11:12.0,,K. Towns makes free throw 1 of 2,31,28
2,11:12.0,,K. Towns makes free throw 2 of 2,31,29
2,10:58.0,N. Mirotić misses 3-pt jump shot from 23 ft,,31,29
2,10:56.0,,Defensive rebound by K. Towns,31,29
2,10:55.0,,Personal foul by N. Mirotić (drawn by T. Gibson),31,29
2,10:49.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by T. Jones),31,32
2,10:33.0,J. Holiday misses 2-pt jump shot from 18 ft,,31,32
2,10:27.0,,Defensive rebound by K. Towns,31,32
2,10:18.0,,Turnover by K. Towns (bad pass; steal by F. Jackson),31,32
2,10:14.0,Personal foul by J. Okogie (drawn by F. Jackson),,31,32
2,10:12.0,Offensive foul by J. Holiday (drawn by J. Okogie),,31,32
2,10:12.0,Turnover by J. Holiday (offensive foul),,31,32
2,9:53.0,,A. Tolliver misses 3-pt jump shot from 28 ft,31,32
2,9:49.0,Defensive rebound by J. Holiday,,31,32
2,9:44.0,J. Randle misses 2-pt jump shot from 4 ft,,31,32
2,9:40.0,Offensive rebound by J. Holiday,,31,32
2,9:40.0,J. Holiday makes 2-pt jump shot from 4 ft,,33,32
2,9:28.0,,A. Tolliver misses 3-pt jump shot from 23 ft,33,32
2,9:28.0,,Offensive rebound by K. Towns,33,32
2,9:24.0,,Shooting foul by D. Miller (drawn by A. Tolliver),33,32
2,9:24.0,,A. Tolliver makes free throw 1 of 2,33,33
2,9:24.0,,A. Tolliver misses free throw 2 of 2,33,33
2,9:22.0,Defensive rebound by N. Mirotić,,33,33
2,9:07.0,F. Jackson misses 2-pt layup from 4 ft,,33,33
2,9:03.0,Offensive rebound by J. Randle,,33,33
2,9:03.0,J. Randle makes 2-pt layup from 1 ft,,35,33
2,8:45.0,,T. Gibson misses 2-pt jump shot from 6 ft (block by N. Mirotić),35,33
2,8:44.0,Defensive rebound by F. Jackson,,35,33
2,8:33.0,J. Holiday misses 2-pt layup from 12 ft,,35,33
2,8:31.0,,Defensive rebound by K. Towns,35,33
2,8:26.0,,T. Jones makes 2-pt layup from 1 ft,35,35
2,8:06.0,Shooting foul by A. Tolliver (drawn by J. Randle),,35,35
2,8:06.0,J. Randle makes free throw 1 of 2,,36,35
2,8:06.0,A. Davis enters the game for F. Jackson,,36,35
2,8:06.0,T. Frazier enters the game for D. Miller,,36,35
2,8:06.0,E. Moore enters the game for N. Mirotić,,36,35
2,8:06.0,,L. Deng enters the game for T. Gibson,36,35
2,8:06.0,,J. Teague enters the game for A. Tolliver,36,35
2,8:06.0,J. Randle makes free throw 2 of 2,,37,35
2,7:53.0,,T. Jones misses 2-pt jump shot from 19 ft,37,35
2,7:50.0,Defensive rebound by J. Randle,,37,35
2,7:44.0,Turnover by E. Moore (bad pass; steal by T. Jones),,37,35
2,7:44.0,,Personal foul by A. Davis (drawn by T. Jones),37,35
2,7:34.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Teague),37,38
2,7:15.0,J. Randle misses 2-pt jump shot from 7 ft,,37,38
2,7:12.0,,Defensive rebound by K. Towns,37,38
2,7:01.0,,T. Jones makes 3-pt jump shot from 25 ft (assist by J. Teague),37,41
2,6:41.0,J. Holiday misses 2-pt jump shot from 11 ft,,37,41
2,6:38.0,Offensive rebound by A. Davis,,37,41
2,6:35.0,E. Moore misses 3-pt jump shot from 23 ft,,37,41
2,6:31.0,,Defensive rebound by K. Towns,37,41
2,6:23.0,,Turnover by J. Okogie (bad pass; steal by E. Moore),37,41
2,6:15.0,E. Moore misses 2-pt layup from 1 ft,,37,41
2,6:12.0,Offensive rebound by T. Frazier,,37,41
2,6:02.0,Turnover by Team (shot clock),,37,41
2,6:02.0,,Minnesota full timeout,37,41
2,6:02.0,,A. Wiggins enters the game for T. Jones,37,41
2,5:38.0,,J. Teague makes 2-pt jump shot from 16 ft,37,43
2,5:20.0,T. Frazier misses 3-pt jump shot from 26 ft,,37,43
2,5:18.0,,Defensive rebound by J. Okogie,37,43
2,5:00.0,,L. Deng makes 2-pt layup from 1 ft (assist by J. Teague),37,45
2,4:51.0,Turnover by T. Frazier (bad pass; steal by J. Okogie),,37,45
2,4:46.0,,J. Okogie misses 3-pt jump shot from 23 ft,37,45
2,4:44.0,Defensive rebound by T. Frazier,,37,45
2,4:34.0,Turnover by J. Holiday (bad pass; steal by K. Towns),,37,45
2,4:24.0,,L. Deng makes 3-pt jump shot from 24 ft (assist by J. Okogie),37,48
2,4:17.0,New Orleans full timeout,,37,48
2,4:17.0,D. Miller enters the game for J. Holiday,,37,48
2,4:17.0,,G. Dieng enters the game for K. Towns,37,48
2,4:03.0,Shooting foul by L. Deng (drawn by J. Randle),,37,48
2,4:03.0,J. Randle makes free throw 1 of 2,,38,48
2,4:03.0,E. Payton enters the game for T. Frazier,,38,48
2,4:03.0,J. Randle makes free throw 2 of 2,,39,48
2,3:59.0,,Offensive foul by A. Wiggins (drawn by D. Miller),39,48
2,3:59.0,,Turnover by A. Wiggins (offensive foul),39,48
2,3:43.0,A. Davis misses 2-pt jump shot from 7 ft,,39,48
2,3:38.0,,Defensive rebound by J. Okogie,39,48
2,3:36.0,,Shooting foul by D. Miller (drawn by J. Okogie),39,48
2,3:36.0,,J. Okogie makes free throw 1 of 2,39,49
2,3:36.0,J. Holiday enters the game for D. Miller,,39,49
2,3:36.0,,T. Gibson enters the game for L. Deng,39,49
2,3:36.0,,J. Okogie misses free throw 2 of 2,39,49
2,3:34.0,Defensive rebound by J. Randle,,39,49
2,3:24.0,J. Holiday misses 3-pt jump shot from 25 ft,,39,49
2,3:21.0,,Defensive rebound by J. Okogie,39,49
2,3:10.0,,J. Okogie makes 2-pt jump shot from 10 ft (assist by J. Teague),39,51
2,2:55.0,Shooting foul by G. Dieng (drawn by J. Randle),,39,51
2,2:55.0,J. Randle makes free throw 1 of 2,,40,51
2,2:55.0,,K. Towns enters the game for G. Dieng,40,51
2,2:55.0,J. Randle makes free throw 2 of 2,,41,51
2,2:43.0,,Personal foul by J. Randle (drawn by K. Towns),41,51
2,2:43.0,,K. Towns misses free throw 1 of 2,41,51
2,2:43.0,,Offensive rebound by Team,41,51
2,2:43.0,N. Mirotić enters the game for J. Randle,,41,51
2,2:43.0,,K. Towns misses free throw 2 of 2,41,51
2,2:41.0,Defensive rebound by N. Mirotić,,41,51
2,2:31.0,A. Davis makes 3-pt jump shot from 25 ft (assist by E. Payton),,44,51
2,2:02.0,,Turnover by K. Towns (bad pass; steal by E. Payton),44,51
2,1:58.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),,46,51
2,1:57.0,,Minnesota full timeout,46,51
2,1:49.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Towns),46,54
2,1:36.0,Turnover by A. Davis (bad pass),,46,54
2,1:24.0,,J. Okogie misses 3-pt jump shot from 25 ft,46,54
2,1:22.0,Defensive rebound by N. Mirotić,,46,54
2,1:14.0,J. Holiday makes 2-pt layup from 1 ft,,48,54
2,1:00.0,,Turnover by A. Wiggins (lost ball; steal by E. Payton),48,54
2,0:58.0,Personal foul by J. Okogie (drawn by E. Payton),,48,54
2,0:58.0,E. Payton makes free throw 1 of 2,,49,54
2,0:58.0,J. Okafor enters the game for A. Davis,,49,54
2,0:58.0,E. Payton makes free throw 2 of 2,,50,54
2,0:47.0,,A. Wiggins misses 3-pt jump shot from 25 ft,50,54
2,0:45.0,Defensive rebound by E. Payton,,50,54
2,0:37.0,J. Holiday misses 3-pt jump shot from 26 ft,,50,54
2,0:35.0,,Defensive rebound by K. Towns,50,54
2,0:20.0,,Turnover by J. Teague (traveling),50,54
2,0:20.0,,Violation by Team (delay of game),50,54
2,0:20.0,A. Davis enters the game for J. Okafor,,50,54
2,0:20.0,D. Miller enters the game for E. Payton,,50,54
2,0:04.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),,52,54
2,0:01.0,,J. Teague misses 2-pt layup from 8 ft,52,54
2,0:01.0,,Offensive rebound by Team,52,54
3,11:46.0,,T. Gibson misses 3-pt jump shot from 23 ft,52,54
3,11:42.0,Defensive rebound by A. Davis,,52,54
3,11:27.0,E. Payton makes 3-pt jump shot from 25 ft (assist by J. Holiday),,55,54
3,11:17.0,,A. Wiggins makes 3-pt jump shot from 23 ft (assist by J. Teague),55,57
3,11:12.0,New Orleans full timeout,,55,57
3,11:12.0,N. Mirotić enters the game for A. Davis,,55,57
3,10:52.0,J. Holiday makes 2-pt layup from 1 ft,,57,57
3,10:36.0,,K. Towns misses 3-pt jump shot from 25 ft,57,57
3,10:33.0,Defensive rebound by N. Mirotić,,57,57
3,10:27.0,J. Randle makes 2-pt layup from 1 ft (assist by E. Payton),,59,57
3,10:04.0,,J. Okogie makes 2-pt layup at rim (assist by T. Gibson),59,59
3,9:57.0,J. Holiday misses 3-pt jump shot from 26 ft,,59,59
3,9:54.0,,Defensive rebound by A. Wiggins,59,59
3,9:52.0,,Offensive foul by T. Gibson (drawn by J. Holiday),59,59
3,9:52.0,,Turnover by T. Gibson (offensive foul),59,59
3,9:37.0,N. Mirotić misses 3-pt jump shot from 26 ft,,59,59
3,9:33.0,,Defensive rebound by K. Towns,59,59
3,9:23.0,,J. Okogie makes 3-pt jump shot from 23 ft (assist by J. Teague),59,62
3,9:13.0,Shooting foul by K. Towns (drawn by J. Randle),,59,62
3,9:13.0,J. Randle misses free throw 1 of 2,,59,62
3,9:13.0,Offensive rebound by Team,,59,62
3,9:13.0,J. Randle misses free throw 2 of 2,,59,62
3,9:10.0,,Defensive rebound by K. Towns,59,62
3,9:01.0,,Turnover by A. Wiggins (lost ball; steal by E. Payton),59,62
3,8:54.0,E. Moore makes 2-pt jump shot from 8 ft,,61,62
3,8:39.0,,J. Okogie misses 3-pt jump shot from 26 ft,61,62
3,8:37.0,,Offensive rebound by T. Gibson,61,62
3,8:22.0,,Turnover by Team (shot clock),61,62
3,8:03.0,E. Moore misses 2-pt jump shot from 16 ft,,61,62
3,7:59.0,,Defensive rebound by K. Towns,61,62
3,7:55.0,,J. Teague misses 3-pt jump shot from 26 ft,61,62
3,7:52.0,Defensive rebound by J. Holiday,,61,62
3,7:46.0,J. Randle makes 2-pt jump shot from 8 ft (assist by E. Payton),,63,62
3,7:23.0,,K. Towns makes 2-pt hook shot from 4 ft,63,64
3,7:13.0,J. Holiday misses 2-pt layup from 3 ft (block by K. Towns),,63,64
3,7:11.0,,Defensive rebound by K. Towns,63,64
3,7:10.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by J. Teague),63,66
3,7:10.0,,Shooting foul by N. Mirotić (drawn by A. Wiggins),63,66
3,7:10.0,A. Davis enters the game for J. Randle,,63,66
3,7:10.0,,D. Šarić enters the game for T. Gibson,63,66
3,7:10.0,,A. Wiggins makes free throw 1 of 1,63,67
3,6:53.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by E. Payton),,66,67
3,6:42.0,,A. Wiggins misses 3-pt jump shot from 26 ft,66,67
3,6:39.0,Defensive rebound by N. Mirotić,,66,67
3,6:23.0,N. Mirotić makes 2-pt jump shot from 11 ft,,68,67
3,6:10.0,,D. Šarić misses 3-pt jump shot from 25 ft,68,67
3,6:07.0,Defensive rebound by A. Davis,,68,67
3,5:57.0,J. Holiday makes 2-pt layup from 2 ft,,70,67
3,5:42.0,,J. Okogie misses 3-pt jump shot from 26 ft,70,67
3,5:38.0,,Offensive rebound by K. Towns,70,67
3,5:38.0,,K. Towns makes 2-pt layup from 1 ft,70,69
3,5:30.0,Turnover by J. Holiday (traveling),,70,69
3,5:30.0,,T. Jones enters the game for J. Teague,70,69
3,5:19.0,,A. Wiggins misses 2-pt jump shot from 19 ft,70,69
3,5:18.0,Defensive rebound by Team,,70,69
3,4:53.0,A. Davis misses 2-pt jump shot from 7 ft,,70,69
3,4:51.0,,Defensive rebound by K. Towns,70,69
3,4:46.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by T. Jones),70,72
3,4:39.0,N. Mirotić makes 2-pt layup from 3 ft (assist by E. Moore),,72,72
3,4:19.0,,D. Šarić makes 2-pt layup from 1 ft (assist by K. Towns),72,74
3,4:10.0,J. Holiday makes 2-pt layup from 1 ft,,74,74
3,3:53.0,,Personal foul by N. Mirotić (drawn by K. Towns),74,74
3,3:53.0,F. Jackson enters the game for J. Holiday,,74,74
3,3:53.0,D. Miller enters the game for E. Moore,,74,74
3,3:53.0,,G. Dieng enters the game for J. Okogie,74,74
3,3:53.0,,A. Tolliver enters the game for K. Towns,74,74
3,3:42.0,,Shooting foul by N. Mirotić (drawn by D. Šarić),74,74
3,3:42.0,,D. Šarić makes free throw 1 of 2,74,75
3,3:42.0,J. Randle enters the game for N. Mirotić,,74,75
3,3:42.0,,D. Šarić makes free throw 2 of 2,74,76
3,3:33.0,J. Randle misses 3-pt jump shot from 26 ft,,74,76
3,3:29.0,,Defensive rebound by A. Tolliver,74,76
3,3:09.0,,T. Jones misses 2-pt layup from 3 ft (block by E. Payton),74,76
3,3:05.0,Defensive rebound by A. Davis,,74,76
3,2:54.0,A. Davis makes 2-pt layup from 1 ft (assist by D. Miller),,76,76
3,2:39.0,,A. Wiggins makes 2-pt jump shot from 14 ft,76,78
3,2:32.0,J. Randle makes 2-pt dunk from 1 ft (assist by E. Payton),,78,78
3,2:32.0,,Minnesota full timeout,78,78
3,2:32.0,T. Frazier enters the game for E. Payton,,78,78
3,2:32.0,,J. Okogie enters the game for A. Wiggins,78,78
3,2:14.0,,T. Jones misses 3-pt jump shot from 26 ft,78,78
3,2:11.0,Defensive rebound by F. Jackson,,78,78
3,2:02.0,D. Miller makes 2-pt jump shot from 13 ft,,80,78
3,1:53.0,,Shooting foul by T. Frazier (drawn by T. Jones),80,78
3,1:53.0,,T. Jones makes free throw 1 of 2,80,79
3,1:53.0,,T. Jones makes free throw 2 of 2,80,80
3,1:43.0,D. Miller makes 2-pt jump shot from 17 ft (assist by T. Frazier),,82,80
3,1:30.0,,A. Tolliver misses 3-pt jump shot from 27 ft,82,80
3,1:27.0,Defensive rebound by A. Davis,,82,80
3,1:18.0,J. Randle misses 2-pt layup from 7 ft,,82,80
3,1:16.0,,Defensive rebound by J. Okogie,82,80
3,1:10.0,,Shooting foul by F. Jackson (drawn by J. Okogie),82,80
3,1:10.0,,J. Okogie makes free throw 1 of 2,82,81
3,1:10.0,,J. Okogie makes free throw 2 of 2,82,82
3,0:53.0,F. Jackson makes 2-pt layup from 3 ft (assist by J. Randle),,84,82
3,0:42.0,,J. Okogie makes 2-pt jump shot from 17 ft (assist by T. Jones),84,84
3,0:36.0,Shooting foul by G. Dieng (drawn by A. Davis),,84,84
3,0:36.0,A. Davis makes free throw 1 of 3,,85,84
3,0:36.0,A. Davis makes free throw 2 of 3,,86,84
3,0:36.0,A. Davis makes free throw 3 of 3,,87,84
3,0:36.0,,K. Towns enters the game for G. Dieng,87,84
3,0:23.0,,J. Okogie makes 2-pt layup from 1 ft (assist by K. Towns),87,86
3,0:23.0,,Shooting foul by A. Davis (drawn by J. Okogie),87,86
3,0:23.0,,J. Okogie makes free throw 1 of 1,87,87
3,0:23.0,,G. Dieng enters the game for K. Towns,87,87
3,0:01.0,J. Randle makes 2-pt hook shot from 4 ft,,89,87
3,0:01.0,,Turnover by D. Šarić (lost ball; steal by F. Jackson),89,87
4,11:45.0,J. Randle misses 2-pt jump shot from 7 ft,,89,87
4,11:43.0,,Defensive rebound by G. Dieng,89,87
4,11:34.0,,T. Jones misses 2-pt layup from 2 ft,89,87
4,11:33.0,Defensive rebound by A. Davis,,89,87
4,11:25.0,A. Davis makes 2-pt jump shot from 7 ft,,91,87
4,11:09.0,,Shooting foul by A. Davis (drawn by A. Wiggins),91,87
4,11:09.0,,A. Wiggins makes free throw 1 of 2,91,88
4,11:09.0,J. Okafor enters the game for A. Davis,,91,88
4,11:09.0,,A. Wiggins misses free throw 2 of 2,91,88
4,11:05.0,Defensive rebound by J. Randle,,91,88
4,10:51.0,J. Holiday misses 3-pt jump shot from 25 ft,,91,88
4,10:49.0,,Defensive rebound by D. Šarić,91,88
4,10:33.0,,D. Šarić makes 2-pt layup from 3 ft,91,90
4,10:19.0,D. Miller misses 2-pt jump shot from 22 ft,,91,90
4,10:16.0,,Defensive rebound by A. Wiggins,91,90
4,10:04.0,,Turnover by A. Wiggins (bad pass),91,90
4,9:50.0,D. Miller misses 2-pt layup from 2 ft,,91,90
4,9:49.0,Offensive rebound by J. Randle,,91,90
4,9:49.0,Shooting foul by D. Šarić (drawn by J. Randle),,91,90
4,9:49.0,J. Randle makes free throw 1 of 2,,92,90
4,9:49.0,,K. Towns enters the game for G. Dieng,92,90
4,9:49.0,J. Randle makes free throw 2 of 2,,93,90
4,9:27.0,,K. Towns misses 3-pt jump shot from 26 ft,93,90
4,9:25.0,,Offensive rebound by K. Towns,93,90
4,9:23.0,,A. Wiggins misses 3-pt jump shot from 23 ft,93,90
4,9:19.0,Defensive rebound by J. Randle,,93,90
4,9:02.0,F. Jackson misses 3-pt jump shot from 23 ft,,93,90
4,9:00.0,,Defensive rebound by D. Šarić,93,90
4,8:47.0,,K. Towns misses 2-pt layup from 3 ft,93,90
4,8:47.0,,Offensive rebound by K. Towns,93,90
4,8:43.0,,K. Towns makes 2-pt layup from 1 ft,93,92
4,8:36.0,J. Holiday makes 2-pt layup from 2 ft,,95,92
4,8:11.0,,D. Šarić makes 3-pt jump shot from 24 ft (assist by T. Jones),95,95
4,8:03.0,J. Holiday makes 2-pt jump shot from 17 ft,,97,95
4,7:52.0,,Shooting foul by J. Randle (drawn by D. Šarić),97,95
4,7:52.0,,D. Šarić makes free throw 1 of 2,97,96
4,7:52.0,A. Davis enters the game for F. Jackson,,97,96
4,7:52.0,N. Mirotić enters the game for J. Okafor,,97,96
4,7:52.0,E. Moore enters the game for J. Randle,,97,96
4,7:52.0,,D. Šarić makes free throw 2 of 2,97,97
4,7:35.0,Turnover by D. Miller (bad pass; steal by K. Towns),,97,97
4,7:29.0,,J. Okogie misses 2-pt layup from 7 ft (block by D. Miller),97,97
4,7:25.0,,Offensive rebound by K. Towns,97,97
4,7:25.0,,K. Towns makes 2-pt layup from 1 ft,97,99
4,7:22.0,N. Mirotić misses 3-pt jump shot from 26 ft,,97,99
4,7:19.0,,Defensive rebound by A. Wiggins,97,99
4,7:01.0,,D. Šarić misses 2-pt layup from 4 ft,97,99
4,6:58.0,Defensive rebound by D. Miller,,97,99
4,6:52.0,D. Miller misses 3-pt jump shot from 25 ft,,97,99
4,6:49.0,,Defensive rebound by K. Towns,97,99
4,6:31.0,,K. Towns misses 3-pt jump shot from 26 ft,97,99
4,6:29.0,Defensive rebound by J. Holiday,,97,99
4,6:25.0,A. Davis misses 2-pt jump shot from 15 ft,,97,99
4,6:22.0,,Defensive rebound by D. Šarić,97,99
4,6:18.0,,Minnesota full timeout,97,99
4,6:18.0,E. Payton enters the game for D. Miller,,97,99
4,6:18.0,,T. Gibson enters the game for D. Šarić,97,99
