QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA LAKERS_ACTION,BROOKLYN_SCORE,LA LAKERS_SCORE
1,6:58.0,S. Dinwiddie enters the game for D. Carroll,,12,10
1,6:58.0,,A. Caruso enters the game for R. Rondo,12,10
1,6:48.0,,Personal foul by J. Harris (drawn by J. McGee),12,10
1,6:42.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. James),12,13
1,6:33.0,D. Russell misses 2-pt jump shot from 13 ft,,12,13
1,6:31.0,,Defensive rebound by A. Caruso,12,13
1,6:25.0,,L. James misses 2-pt jump shot from 15 ft,12,13
1,6:22.0,Defensive rebound by J. Allen,,12,13
1,6:14.0,Shooting foul by J. McGee (drawn by J. Allen),,12,13
1,6:14.0,J. Allen misses free throw 1 of 2,,12,13
1,6:14.0,Offensive rebound by Team,,12,13
1,6:14.0,J. Allen makes free throw 2 of 2,,13,13
1,6:05.0,,Offensive foul by J. McGee (drawn by S. Dinwiddie),13,13
1,6:05.0,,Turnover by J. McGee (offensive foul),13,13
1,6:05.0,,T. Chandler enters the game for J. McGee,13,13
1,5:58.0,R. Kurucs misses 2-pt dunk from 2 ft,,13,13
1,5:55.0,,Defensive rebound by R. Bullock,13,13
1,5:51.0,,K. Kuzma misses 2-pt jump shot from 2 ft,13,13
1,5:51.0,,Offensive rebound by Team,13,13
1,5:51.0,Loose ball foul by D. Russell (drawn by T. Chandler),,13,13
1,5:42.0,,T. Chandler makes 2-pt hook shot from 8 ft (assist by A. Caruso),13,15
1,5:27.0,Shooting foul by L. James (drawn by J. Allen),,13,15
1,5:27.0,J. Allen makes free throw 1 of 2,,14,15
1,5:27.0,J. Allen makes free throw 2 of 2,,15,15
1,5:17.0,,A. Caruso misses 2-pt hook shot from 2 ft,15,15
1,5:14.0,,Offensive rebound by L. James,15,15
1,5:13.0,,L. James makes 2-pt layup from 1 ft,15,17
1,4:59.0,R. Kurucs misses 3-pt jump shot from 28 ft,,15,17
1,4:57.0,,Defensive rebound by A. Caruso,15,17
1,4:51.0,,R. Bullock misses 3-pt jump shot from 28 ft,15,17
1,4:49.0,Defensive rebound by J. Allen,,15,17
1,4:35.0,D. Russell misses 3-pt jump shot from 26 ft,,15,17
1,4:33.0,,Defensive rebound by R. Bullock,15,17
1,4:29.0,,K. Kuzma misses 2-pt layup from 6 ft (block by S. Dinwiddie),15,17
1,4:29.0,,Offensive rebound by Team,15,17
1,4:29.0,J. Dudley enters the game for R. Kurucs,,15,17
1,4:29.0,C. LeVert enters the game for D. Russell,,15,17
1,4:29.0,,K. Caldwell-Pope enters the game for R. Bullock,15,17
1,4:29.0,,R. Rondo enters the game for L. James,15,17
1,4:21.0,,K. Kuzma misses 3-pt jump shot from 27 ft,15,17
1,4:19.0,Defensive rebound by J. Allen,,15,17
1,4:12.0,J. Harris misses 3-pt jump shot from 26 ft,,15,17
1,4:09.0,,Defensive rebound by T. Chandler,15,17
1,4:01.0,,A. Caruso misses 2-pt jump shot from 20 ft,15,17
1,3:59.0,Defensive rebound by J. Allen,,15,17
1,3:51.0,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Dudley),,18,17
1,3:42.0,,Turnover by K. Kuzma (bad pass; steal by S. Dinwiddie),18,17
1,3:33.0,J. Allen makes 2-pt layup from 2 ft (assist by C. LeVert),,20,17
1,3:33.0,,LA Lakers full timeout,20,17
1,3:33.0,D. Carroll enters the game for J. Allen,,20,17
1,3:33.0,E. Davis enters the game for J. Harris,,20,17
1,3:04.0,,K. Kuzma makes 3-pt jump shot from 30 ft,20,20
1,2:49.0,D. Carroll misses 3-pt jump shot from 26 ft,,20,20
1,2:47.0,,Defensive rebound by R. Rondo,20,20
1,2:42.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by R. Rondo),20,23
1,2:41.0,Brooklyn full timeout,,20,23
1,2:17.0,Turnover by Team (shot clock),,20,23
1,2:09.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,20,23
1,2:07.0,Defensive rebound by E. Davis,,20,23
1,2:01.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,20,23
1,1:55.0,Offensive rebound by E. Davis,,20,23
1,1:53.0,C. LeVert misses 3-pt jump shot from 27 ft,,20,23
1,1:50.0,,Defensive rebound by A. Caruso,20,23
1,1:44.0,,K. Kuzma misses 3-pt jump shot from 27 ft,20,23
1,1:43.0,Defensive rebound by C. LeVert,,20,23
1,1:33.0,E. Davis misses 2-pt dunk from 3 ft,,20,23
1,1:30.0,Offensive rebound by E. Davis,,20,23
1,1:18.0,S. Dinwiddie misses 3-pt jump shot from 24 ft,,20,23
1,1:16.0,,Defensive rebound by R. Rondo,20,23
1,0:55.0,,K. Kuzma misses 3-pt jump shot from 24 ft,20,23
1,0:53.0,Defensive rebound by E. Davis,,20,23
1,0:39.0,D. Carroll misses 2-pt jump shot from 1 ft,,20,23
1,0:38.0,,Defensive rebound by T. Chandler,20,23
1,0:27.0,,R. Rondo misses 2-pt layup from 2 ft,20,23
1,0:25.0,Defensive rebound by E. Davis,,20,23
1,0:17.0,S. Dinwiddie misses 2-pt jump shot from 5 ft,,20,23
1,0:15.0,,Defensive rebound by T. Chandler,20,23
2,11:39.0,D. Russell misses 3-pt jump shot from 27 ft,,20,23
2,11:37.0,,Defensive rebound by Team,20,23
2,11:18.0,,A. Caruso misses 3-pt jump shot from 26 ft,20,23
2,11:16.0,,Offensive rebound by L. James,20,23
2,11:15.0,,L. James misses 2-pt layup from 1 ft (block by C. LeVert),20,23
2,11:15.0,,Offensive rebound by L. James,20,23
2,11:09.0,,L. James makes 2-pt layup from 2 ft,20,25
2,10:53.0,Turnover by D. Russell (bad pass; steal by K. Caldwell-Pope),,20,25
2,10:50.0,,L. James makes 2-pt dunk from 3 ft,20,27
2,10:41.0,E. Davis makes 2-pt layup from 3 ft (assist by D. Russell),,22,27
2,10:41.0,,Violation by Team (def goaltending),22,27
2,10:32.0,,Turnover by A. Caruso (bad pass; steal by D. Russell),22,27
2,10:28.0,Offensive foul by C. LeVert (drawn by A. Caruso),,22,27
2,10:28.0,Turnover by C. LeVert (offensive foul),,22,27
2,10:17.0,,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),22,29
2,10:06.0,D. Russell misses 2-pt layup from 3 ft,,22,29
2,10:00.0,Offensive rebound by E. Davis,,22,29
2,10:00.0,E. Davis makes 2-pt dunk from 1 ft,,24,29
2,9:51.0,,L. James misses 2-pt layup from 2 ft,24,29
2,9:49.0,,Offensive rebound by J. McGee,24,29
2,9:47.0,,R. Bullock misses 3-pt jump shot from 24 ft,24,29
2,9:44.0,Defensive rebound by C. LeVert,,24,29
2,9:27.0,E. Davis makes 2-pt layup from 1 ft (assist by C. LeVert),,26,29
2,9:06.0,,Offensive foul by L. James (drawn by J. Dudley),26,29
2,9:06.0,,Turnover by L. James (offensive foul),26,29
2,9:06.0,S. Dinwiddie enters the game for J. Dudley,,26,29
2,8:51.0,C. LeVert misses 2-pt jump shot from 14 ft,,26,29
2,8:50.0,,Defensive rebound by Team,26,29
2,8:50.0,Loose ball foul by E. Davis (drawn by L. James),,26,29
2,8:35.0,,R. Bullock makes 2-pt jump shot from 3 ft,26,31
2,8:20.0,C. LeVert misses 3-pt jump shot from 27 ft,,26,31
2,8:16.0,,Defensive rebound by K. Caldwell-Pope,26,31
2,8:16.0,,Personal foul by C. LeVert (drawn by K. Caldwell-Pope),26,31
2,8:03.0,,R. Bullock misses 3-pt jump shot from 28 ft,26,31
2,7:57.0,,Offensive rebound by J. McGee,26,31
2,7:57.0,,Turnover by A. Caruso (out of bounds lost ball),26,31
2,7:44.0,D. Russell makes 2-pt hook shot from 3 ft,,28,31
2,7:34.0,,L. James misses 2-pt hook shot from 3 ft,28,31
2,7:30.0,,Offensive rebound by J. McGee,28,31
2,7:30.0,,J. McGee misses 2-pt layup from 1 ft,28,31
2,7:29.0,Defensive rebound by E. Davis,,28,31
2,7:27.0,Turnover by D. Carroll (traveling),,28,31
2,7:27.0,J. Harris enters the game for C. LeVert,,28,31
2,7:27.0,,R. Rondo enters the game for A. Caruso,28,31
2,7:14.0,,R. Rondo misses 2-pt jump shot from 10 ft,28,31
2,7:14.0,Defensive rebound by Team,,28,31
2,7:14.0,,Loose ball foul by R. Rondo (drawn by D. Russell),28,31
2,6:59.0,Personal foul by R. Rondo (drawn by S. Dinwiddie),,28,31
2,6:59.0,,LA Lakers full timeout,28,31
2,6:45.0,Turnover by D. Carroll (lost ball; steal by R. Bullock),,28,31
2,6:39.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,28,31
2,6:36.0,,Offensive rebound by J. McGee,28,31
2,6:35.0,,Turnover by J. McGee (bad pass; steal by D. Russell),28,31
2,6:26.0,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by D. Russell),,31,31
2,6:11.0,,L. James misses 3-pt jump shot from 26 ft,31,31
2,6:08.0,Defensive rebound by J. Harris,,31,31
2,6:02.0,D. Carroll misses 2-pt jump shot from 13 ft,,31,31
2,5:59.0,,Defensive rebound by R. Rondo,31,31
2,5:48.0,,L. James misses 3-pt jump shot from 24 ft,31,31
2,5:46.0,Defensive rebound by E. Davis,,31,31
2,5:38.0,D. Carroll misses 3-pt jump shot from 27 ft,,31,31
2,5:36.0,,Defensive rebound by L. James,31,31
2,5:28.0,,L. James misses 2-pt jump shot from 16 ft,31,31
2,5:26.0,Defensive rebound by E. Davis,,31,31
2,5:18.0,E. Davis makes 2-pt dunk from 2 ft (assist by D. Russell),,33,31
2,4:53.0,,Def 3 sec tech foul by Team,33,31
2,4:53.0,,K. Caldwell-Pope makes technical free throw,33,32
2,4:53.0,J. Allen enters the game for D. Carroll,,33,32
2,4:53.0,R. Kurucs enters the game for E. Davis,,33,32
2,4:53.0,,A. Caruso enters the game for K. Caldwell-Pope,33,32
2,4:53.0,,T. Chandler enters the game for L. James,33,32
2,4:53.0,,K. Kuzma enters the game for J. McGee,33,32
2,4:42.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by R. Rondo),33,34
2,4:42.0,,Shooting foul by R. Kurucs (drawn by K. Kuzma),33,34
2,4:42.0,,K. Kuzma makes free throw 1 of 1,33,35
2,4:35.0,Personal foul by R. Rondo (drawn by D. Russell),,33,35
2,4:25.0,Shooting foul by T. Chandler (drawn by J. Harris),,33,35
2,4:25.0,J. Harris makes free throw 1 of 2,,34,35
2,4:25.0,J. Harris makes free throw 2 of 2,,35,35
2,4:04.0,,R. Bullock misses 3-pt jump shot from 27 ft,35,35
2,4:01.0,Defensive rebound by R. Kurucs,,35,35
2,3:53.0,J. Harris makes 3-pt jump shot from 23 ft (assist by D. Russell),,38,35
2,3:41.0,,R. Bullock misses 2-pt jump shot from 15 ft,38,35
2,3:38.0,Defensive rebound by S. Dinwiddie,,38,35
2,3:22.0,R. Kurucs misses 2-pt jump shot from 6 ft,,38,35
2,3:21.0,,Defensive rebound by K. Kuzma,38,35
2,3:14.0,,R. Bullock misses 2-pt jump shot from 13 ft,38,35
2,3:13.0,Defensive rebound by Team,,38,35
2,3:13.0,Brooklyn full timeout,,38,35
2,3:13.0,,K. Caldwell-Pope enters the game for R. Bullock,38,35
2,3:13.0,,J. McGee enters the game for T. Chandler,38,35
2,2:58.0,J. Allen misses 2-pt layup from 2 ft (block by J. McGee),,38,35
2,2:53.0,Offensive rebound by D. Russell,,38,35
2,2:53.0,D. Russell makes 2-pt layup from 1 ft,,40,35
2,2:44.0,,Turnover by J. McGee (bad pass),40,35
2,2:26.0,Turnover by D. Russell (lost ball; steal by A. Caruso),,40,35
2,2:14.0,,A. Caruso misses 2-pt jump shot from 4 ft,40,35
2,2:12.0,,Offensive rebound by A. Caruso,40,35
2,2:10.0,,A. Caruso makes 2-pt layup from 2 ft,40,37
2,1:55.0,Turnover by D. Russell (bad pass; steal by J. McGee),,40,37
2,1:51.0,,Shooting foul by S. Dinwiddie (drawn by K. Kuzma),40,37
2,1:51.0,,K. Kuzma makes free throw 1 of 2,40,38
2,1:51.0,C. LeVert enters the game for D. Russell,,40,38
2,1:51.0,,L. James enters the game for R. Rondo,40,38
2,1:51.0,,K. Kuzma makes free throw 2 of 2,40,39
2,1:37.0,Turnover by S. Dinwiddie (bad pass),,40,39
2,1:26.0,,K. Kuzma misses 2-pt layup from 2 ft,40,39
2,1:24.0,Defensive rebound by R. Kurucs,,40,39
2,1:18.0,C. LeVert misses 2-pt layup from 2 ft (block by J. McGee),,40,39
2,1:14.0,,Defensive rebound by K. Kuzma,40,39
2,1:08.0,,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),40,41
2,0:47.0,Shooting foul by K. Kuzma (drawn by J. Harris),,40,41
2,0:47.0,J. Harris makes free throw 1 of 2,,41,41
2,0:47.0,J. Harris makes free throw 2 of 2,,42,41
2,0:26.0,,Shooting foul by S. Dinwiddie (drawn by L. James),42,41
2,0:26.0,,L. James makes free throw 1 of 2,42,42
2,0:26.0,,J. Williams enters the game for J. McGee,42,42
2,0:26.0,,L. James makes free throw 2 of 2,42,43
2,0:07.0,Shooting foul by A. Caruso (drawn by S. Dinwiddie),,42,43
2,0:07.0,,R. Bullock enters the game for J. Williams,42,43
2,0:07.0,S. Dinwiddie makes free throw 1 of 2,,43,43
2,0:07.0,S. Dinwiddie makes free throw 2 of 2,,44,43
2,0:01.0,,A. Caruso misses 2-pt layup from 5 ft,44,43
2,0:00.0,,Offensive rebound by Team,44,43
3,11:47.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),,46,43
3,11:31.0,,Shooting foul by J. Allen (drawn by L. James),46,43
3,11:31.0,,L. James makes free throw 1 of 2,46,44
3,11:31.0,,L. James makes free throw 2 of 2,46,45
3,11:16.0,Turnover by J. Allen (lost ball; steal by L. James),,46,45
3,11:03.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by L. James),46,48
3,10:45.0,J. Harris misses 2-pt jump shot from 14 ft,,46,48
3,10:40.0,,Defensive rebound by K. Kuzma,46,48
3,10:29.0,,Turnover by L. James (bad pass; steal by D. Russell),46,48
3,10:24.0,D. Carroll makes 2-pt layup from 1 ft (assist by J. Harris),,48,48
3,10:17.0,,Offensive foul by K. Kuzma (drawn by D. Carroll),48,48
3,10:17.0,,Turnover by K. Kuzma (offensive foul),48,48
3,10:09.0,J. Harris makes 3-pt jump shot from 28 ft (assist by D. Russell),,51,48
3,9:58.0,,Personal foul by R. Kurucs (drawn by K. Kuzma),51,48
3,9:45.0,,L. James makes 2-pt layup from 3 ft,51,50
3,9:38.0,Shooting foul by J. McGee (drawn by J. Allen),,51,50
3,9:38.0,J. Allen misses free throw 1 of 2,,51,50
3,9:38.0,Offensive rebound by Team,,51,50
3,9:38.0,J. Allen makes free throw 2 of 2,,52,50
3,9:29.0,,Shooting foul by J. Harris (drawn by J. McGee),52,50
3,9:29.0,,J. McGee makes free throw 1 of 2,52,51
3,9:29.0,,J. McGee makes free throw 2 of 2,52,52
3,9:16.0,D. Russell misses 2-pt layup from 3 ft,,52,52
3,9:14.0,,Defensive rebound by J. McGee,52,52
3,9:00.0,,J. McGee makes 2-pt dunk from 2 ft (assist by R. Rondo),52,54
3,8:44.0,J. Harris makes 3-pt jump shot from 24 ft (assist by D. Russell),,55,54
3,8:31.0,,Turnover by L. James (bad pass; steal by D. Russell),55,54
3,8:28.0,D. Russell misses 2-pt layup from 2 ft (block by L. James),,55,54
3,8:25.0,,Defensive rebound by K. Kuzma,55,54
3,8:20.0,,R. Bullock misses 3-pt jump shot from 27 ft,55,54
3,8:20.0,Defensive rebound by Team,,55,54
3,8:10.0,D. Russell makes 2-pt jump shot from 7 ft,,57,54
3,7:51.0,,J. McGee makes 2-pt hook shot from 3 ft (assist by L. James),57,56
3,7:41.0,J. Harris makes 3-pt jump shot from 29 ft (assist by D. Russell),,60,56
3,7:41.0,,LA Lakers full timeout,60,56
3,7:24.0,,J. McGee makes 2-pt layup from 7 ft (assist by L. James),60,58
3,7:12.0,J. Harris misses 2-pt layup from 2 ft (block by R. Bullock),,60,58
3,7:10.0,,Defensive rebound by L. James,60,58
3,7:06.0,,Turnover by L. James (bad pass),60,58
3,6:58.0,D. Russell makes 3-pt jump shot from 25 ft,,63,58
3,6:38.0,,J. McGee makes 2-pt layup from 1 ft,63,60
3,6:25.0,D. Carroll makes 3-pt jump shot from 28 ft (assist by D. Russell),,66,60
3,6:20.0,,L. James misses 2-pt layup from 2 ft,66,60
3,6:17.0,Defensive rebound by D. Carroll,,66,60
3,6:15.0,D. Russell makes 3-pt jump shot from 27 ft,,69,60
3,6:12.0,,LA Lakers full timeout,69,60
3,6:12.0,S. Dinwiddie enters the game for D. Carroll,,69,60
3,6:12.0,,K. Caldwell-Pope enters the game for R. Bullock,69,60
3,6:12.0,,A. Caruso enters the game for R. Rondo,69,60
3,5:59.0,,Shooting foul by D. Russell (drawn by A. Caruso),69,60
3,5:59.0,,A. Caruso makes free throw 1 of 2,69,61
3,5:59.0,,A. Caruso makes free throw 2 of 2,69,62
3,5:50.0,Personal foul by K. Kuzma (drawn by J. Harris),,69,62
3,5:40.0,D. Russell misses 3-pt jump shot from 26 ft,,69,62
3,5:38.0,,Defensive rebound by J. McGee,69,62
3,5:28.0,,Turnover by L. James (lost ball; steal by S. Dinwiddie),69,62
3,5:19.0,S. Dinwiddie misses 3-pt jump shot from 28 ft,,69,62
3,5:18.0,Offensive rebound by Team,,69,62
3,5:18.0,,Loose ball foul by J. McGee (drawn by J. Allen),69,62
3,5:11.0,R. Kurucs misses 3-pt jump shot from 23 ft,,69,62
3,5:10.0,,Defensive rebound by Team,69,62
3,5:10.0,,T. Chandler enters the game for J. McGee,69,62
3,5:03.0,,Shooting foul by J. Allen (drawn by L. James),69,62
3,5:03.0,,L. James misses free throw 1 of 2,69,62
3,5:03.0,,Offensive rebound by Team,69,62
3,5:03.0,,L. James misses free throw 2 of 2,69,62
3,5:00.0,Defensive rebound by R. Kurucs,,69,62
3,4:44.0,J. Harris misses 2-pt layup from 1 ft (block by K. Kuzma),,69,62
3,4:40.0,,Defensive rebound by T. Chandler,69,62
3,4:37.0,,Personal foul by D. Russell (drawn by K. Kuzma),69,62
3,4:37.0,,K. Kuzma makes free throw 1 of 2,69,63
3,4:37.0,C. LeVert enters the game for D. Russell,,69,63
3,4:37.0,,K. Kuzma makes free throw 2 of 2,69,64
3,4:24.0,C. LeVert misses 3-pt jump shot from 25 ft,,69,64
3,4:21.0,,Defensive rebound by T. Chandler,69,64
3,4:09.0,,Turnover by A. Caruso (bad pass; steal by C. LeVert),69,64
3,3:54.0,J. Allen misses 2-pt hook shot from 10 ft,,69,64
3,3:52.0,,Defensive rebound by A. Caruso,69,64
3,3:41.0,,A. Caruso makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),69,67
3,3:41.0,Brooklyn full timeout,,69,67
3,3:41.0,E. Davis enters the game for J. Allen,,69,67
3,3:41.0,J. Dudley enters the game for R. Kurucs,,69,67
3,3:41.0,,R. Rondo enters the game for L. James,69,67
3,3:23.0,E. Davis misses 2-pt layup from 1 ft,,69,67
3,3:21.0,,Defensive rebound by A. Caruso,69,67
3,3:19.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,69,67
3,3:19.0,,Offensive rebound by A. Caruso,69,67
3,3:07.0,,A. Caruso misses 3-pt jump shot from 26 ft,69,67
3,3:05.0,,Offensive rebound by K. Caldwell-Pope,69,67
3,3:04.0,,Shooting foul by E. Davis (drawn by T. Chandler),69,67
3,3:04.0,,T. Chandler misses free throw 1 of 2,69,67
3,3:04.0,,Offensive rebound by Team,69,67
3,3:04.0,,T. Chandler makes free throw 2 of 2,69,68
3,2:52.0,J. Harris misses 3-pt jump shot from 26 ft,,69,68
3,2:49.0,,Defensive rebound by T. Chandler,69,68
3,2:33.0,,K. Kuzma misses 3-pt jump shot from 28 ft,69,68
3,2:30.0,Defensive rebound by C. LeVert,,69,68
3,2:19.0,S. Dinwiddie makes 2-pt jump shot from 2 ft,,71,68
3,2:19.0,Shooting foul by A. Caruso (drawn by S. Dinwiddie),,71,68
3,2:19.0,D. Carroll enters the game for J. Harris,,71,68
3,2:19.0,S. Dinwiddie misses free throw 1 of 1,,71,68
3,2:17.0,,Defensive rebound by T. Chandler,71,68
3,2:03.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,71,68
3,2:00.0,Defensive rebound by E. Davis,,71,68
3,1:57.0,S. Dinwiddie makes 2-pt layup from 1 ft,,73,68
3,1:57.0,Shooting foul by K. Kuzma (drawn by S. Dinwiddie),,73,68
3,1:57.0,,R. Bullock enters the game for K. Kuzma,73,68
3,1:57.0,S. Dinwiddie makes free throw 1 of 1,,74,68
3,1:41.0,,A. Caruso misses 2-pt jump shot from 10 ft,74,68
3,1:38.0,Defensive rebound by S. Dinwiddie,,74,68
3,1:27.0,S. Dinwiddie misses 2-pt layup from 1 ft,,74,68
3,1:24.0,Offensive rebound by E. Davis,,74,68
3,1:24.0,E. Davis makes 2-pt layup at rim,,76,68
3,1:04.0,,R. Rondo makes 2-pt layup from 3 ft,76,70
3,0:51.0,Offensive foul by E. Davis (drawn by R. Rondo),,76,70
3,0:51.0,Turnover by E. Davis (offensive foul),,76,70
3,0:36.0,,R. Rondo makes 3-pt jump shot from 28 ft,76,73
3,0:20.0,Shooting foul by A. Caruso (drawn by D. Carroll),,76,73
3,0:20.0,D. Carroll makes free throw 1 of 2,,77,73
3,0:20.0,D. Carroll makes free throw 2 of 2,,78,73
3,0:20.0,,M. Wagner enters the game for T. Chandler,78,73
3,0:01.0,,R. Rondo misses 2-pt layup from 1 ft,78,73
3,0:00.0,Defensive rebound by D. Carroll,,78,73
4,11:49.0,,L. James misses 2-pt hook shot from 3 ft,78,73
4,11:49.0,,Offensive rebound by J. McGee,78,73
4,11:49.0,,J. McGee misses 2-pt layup from 1 ft,78,73
4,11:49.0,,Offensive rebound by J. McGee,78,73
4,11:49.0,,Shooting foul by E. Davis (drawn by J. McGee),78,73
4,11:49.0,,J. McGee misses free throw 1 of 2,78,73
4,11:49.0,,Offensive rebound by Team,78,73
4,11:49.0,,J. McGee makes free throw 2 of 2,78,74
4,11:37.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,78,74
4,11:34.0,,Defensive rebound by L. James,78,74
4,11:30.0,,J. McGee makes 2-pt dunk from 3 ft (assist by L. James),78,76
4,11:30.0,,Shooting foul by E. Davis (drawn by J. McGee),78,76
4,11:30.0,,J. McGee misses free throw 1 of 1,78,76
4,11:28.0,Defensive rebound by D. Carroll,,78,76
4,11:05.0,C. LeVert misses 2-pt layup from 2 ft,,78,76
4,11:03.0,Offensive rebound by E. Davis,,78,76
4,11:02.0,E. Davis misses 2-pt layup from 2 ft,,78,76
4,11:02.0,Offensive rebound by E. Davis,,78,76
4,10:58.0,E. Davis makes 2-pt layup at rim,,80,76
4,10:45.0,,L. James makes 2-pt layup from 2 ft,80,78
4,10:38.0,S. Dinwiddie misses 2-pt layup from 2 ft (block by J. McGee),,80,78
4,10:36.0,Offensive rebound by E. Davis,,80,78
4,10:36.0,E. Davis misses 2-pt layup from 1 ft,,80,78
4,10:35.0,,Defensive rebound by R. Bullock,80,78
4,10:29.0,,Shooting foul by J. Dudley (drawn by L. James),80,78
4,10:29.0,,L. James makes free throw 1 of 2,80,79
4,10:29.0,,L. James makes free throw 2 of 2,80,80
4,10:06.0,E. Davis makes 2-pt layup from 3 ft (assist by C. LeVert),,82,80
4,9:47.0,,L. James misses 3-pt jump shot from 28 ft,82,80
4,9:44.0,Defensive rebound by D. Carroll,,82,80
4,9:36.0,D. Carroll makes 2-pt layup from 2 ft,,84,80
4,9:32.0,,Shooting foul by C. LeVert (drawn by K. Caldwell-Pope),84,80
4,9:32.0,,K. Caldwell-Pope makes free throw 1 of 3,84,81
4,9:32.0,,K. Caldwell-Pope makes free throw 2 of 3,84,82
4,9:32.0,,K. Caldwell-Pope makes free throw 3 of 3,84,83
4,9:15.0,J. Dudley misses 3-pt jump shot from 26 ft,,84,83
4,9:11.0,,Defensive rebound by A. Caruso,84,83
4,9:04.0,,J. McGee makes 2-pt hook shot from 5 ft (assist by L. James),84,85
4,9:04.0,Brooklyn full timeout,,84,85
4,9:04.0,R. Kurucs enters the game for D. Carroll,,84,85
4,9:04.0,D. Russell enters the game for C. LeVert,,84,85
4,8:52.0,Shooting foul by R. Bullock (drawn by S. Dinwiddie),,84,85
4,8:52.0,S. Dinwiddie makes free throw 1 of 2,,85,85
4,8:52.0,S. Dinwiddie makes free throw 2 of 2,,86,85
4,8:29.0,,Turnover by L. James (bad pass; steal by E. Davis),86,85
