QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BOSTON_ACTION,GOLDEN STATE_SCORE,BOSTON_SCORE
1,1:49.0,Defensive rebound by K. Durant,,24,26
1,1:39.0,K. Durant misses 2-pt jump shot from 21 ft,,24,26
1,1:38.0,Offensive rebound by K. Looney,,24,26
1,1:38.0,Personal foul by A. Baynes (drawn by K. Looney),,24,26
1,1:30.0,Personal foul by J. Brown (drawn by K. Durant),,24,26
1,1:30.0,K. Durant makes free throw 1 of 2,,25,26
1,1:30.0,K. Durant makes free throw 2 of 2,,26,26
1,1:16.0,,Turnover by G. Hayward (lost ball; steal by D. Green),26,26
1,1:09.0,D. Green makes 3-pt jump shot from 27 ft (assist by K. Durant),,29,26
1,0:55.0,,Offensive foul by A. Baynes (drawn by A. McKinnie),29,26
1,0:55.0,,Turnover by A. Baynes (offensive foul),29,26
1,0:44.0,Turnover by D. Green (bad pass; steal by K. Irving),,29,26
1,0:38.0,,G. Hayward misses 2-pt layup from 2 ft,29,26
1,0:37.0,Defensive rebound by K. Durant,,29,26
1,0:27.0,A. Iguodala misses 2-pt jump shot from 15 ft,,29,26
1,0:25.0,,Defensive rebound by G. Hayward,29,26
1,0:05.0,,J. Brown misses 3-pt jump shot from 27 ft,29,26
1,0:01.0,Defensive rebound by K. Durant,,29,26
2,11:50.0,S. Curry misses 3-pt jump shot from 27 ft,,29,26
2,11:48.0,,Defensive rebound by G. Hayward,29,26
2,11:37.0,,J. Brown makes 2-pt layup from 1 ft (assist by G. Hayward),29,28
2,11:24.0,A. Iguodala misses 3-pt jump shot from 26 ft,,29,28
2,11:22.0,Offensive rebound by S. Livingston,,29,28
2,11:09.0,S. Livingston misses 2-pt jump shot from 13 ft,,29,28
2,11:07.0,,Defensive rebound by G. Hayward,29,28
2,10:51.0,,J. Brown makes 3-pt jump shot from 25 ft (assist by M. Morris),29,31
2,10:41.0,D. Cousins misses 2-pt layup from 2 ft,,29,31
2,10:40.0,Offensive rebound by S. Livingston,,29,31
2,10:35.0,Offensive foul by D. Cousins (drawn by A. Baynes),,29,31
2,10:35.0,Turnover by D. Cousins (offensive foul),,29,31
2,10:13.0,,M. Morris misses 2-pt jump shot from 11 ft,29,31
2,10:11.0,Defensive rebound by D. Cousins,,29,31
2,10:04.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,32,31
2,9:46.0,,M. Morris misses 3-pt jump shot from 26 ft,32,31
2,9:44.0,Defensive rebound by D. Cousins,,32,31
2,9:32.0,S. Curry makes 3-pt jump shot from 25 ft (assist by S. Livingston),,35,31
2,9:17.0,,J. Brown misses 3-pt jump shot from 26 ft,35,31
2,9:15.0,,Offensive rebound by M. Morris,35,31
2,9:06.0,,M. Morris makes 3-pt jump shot from 27 ft (assist by G. Hayward),35,34
2,8:53.0,Shooting foul by A. Baynes (drawn by D. Cousins),,35,34
2,8:53.0,D. Cousins misses free throw 1 of 3,,35,34
2,8:53.0,Offensive rebound by Team,,35,34
2,8:53.0,D. Cousins makes free throw 2 of 3,,36,34
2,8:53.0,D. Cousins makes free throw 3 of 3,,37,34
2,8:37.0,,M. Morris makes 2-pt jump shot from 7 ft,37,36
2,8:25.0,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),,40,36
2,8:14.0,,J. Brown misses 3-pt jump shot from 27 ft,40,36
2,8:11.0,Defensive rebound by S. Livingston,,40,36
2,8:08.0,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),,43,36
2,8:06.0,,Boston full timeout,43,36
2,8:06.0,K. Thompson enters the game for A. Iguodala,,43,36
2,7:56.0,,G. Hayward misses 2-pt jump shot from 16 ft,43,36
2,7:54.0,Defensive rebound by D. Green,,43,36
2,7:39.0,Turnover by D. Green (lost ball; steal by A. Baynes),,43,36
2,7:35.0,,Shooting foul by D. Cousins (drawn by J. Brown),43,36
2,7:35.0,,J. Brown makes free throw 1 of 2,43,37
2,7:35.0,K. Looney enters the game for D. Cousins,,43,37
2,7:35.0,,K. Irving enters the game for G. Hayward,43,37
2,7:35.0,,J. Brown makes free throw 2 of 2,43,38
2,7:15.0,K. Thompson misses 3-pt jump shot from 26 ft,,43,38
2,7:12.0,,Defensive rebound by M. Morris,43,38
2,7:05.0,,A. Baynes makes 2-pt jump shot from 12 ft,43,40
2,6:58.0,,Violation by Team (kicked ball),43,40
2,6:58.0,K. Durant enters the game for D. Green,,43,40
2,6:58.0,,M. Smart enters the game for T. Rozier,43,40
2,6:50.0,S. Livingston makes 2-pt dunk from 2 ft (assist by S. Curry),,45,40
2,6:30.0,,M. Morris misses 2-pt jump shot from 15 ft,45,40
2,6:29.0,Defensive rebound by K. Durant,,45,40
2,6:17.0,S. Livingston makes 2-pt dunk from 1 ft (assist by S. Curry),,47,40
2,5:59.0,,J. Brown makes 3-pt jump shot from 26 ft (assist by A. Baynes),47,43
2,5:50.0,S. Curry makes 3-pt jump shot from 26 ft,,50,43
2,5:38.0,,A. Baynes misses 2-pt jump shot from 17 ft,50,43
2,5:36.0,Defensive rebound by K. Thompson,,50,43
2,5:30.0,K. Thompson makes 2-pt layup from 2 ft,,52,43
2,5:12.0,,M. Smart makes 2-pt jump shot from 17 ft,52,45
2,5:00.0,Shooting foul by J. Brown (drawn by K. Looney),,52,45
2,5:00.0,K. Looney makes free throw 1 of 2,,53,45
2,5:00.0,A. Iguodala enters the game for S. Livingston,,53,45
2,5:00.0,,A. Horford enters the game for A. Baynes,53,45
2,5:00.0,,J. Tatum enters the game for M. Morris,53,45
2,5:00.0,K. Looney makes free throw 2 of 2,,54,45
2,4:49.0,,K. Irving makes 2-pt layup from 1 ft (assist by J. Tatum),54,47
2,4:37.0,S. Curry makes 2-pt layup from 2 ft (assist by A. Iguodala),,56,47
2,4:31.0,,Shooting foul by K. Thompson (drawn by M. Smart),56,47
2,4:31.0,,M. Smart makes free throw 1 of 2,56,48
2,4:31.0,Golden State full timeout,,56,48
2,4:31.0,,M. Smart makes free throw 2 of 2,56,49
2,4:17.0,K. Thompson misses 2-pt jump shot from 15 ft,,56,49
2,4:15.0,,Defensive rebound by K. Irving,56,49
2,4:10.0,,K. Irving makes 2-pt jump shot from 18 ft,56,51
2,3:40.0,K. Looney misses 3-pt jump shot from 24 ft,,56,51
2,3:38.0,,Defensive rebound by M. Smart,56,51
2,3:36.0,,Turnover by M. Smart (out of bounds lost ball),56,51
2,3:27.0,Turnover by S. Curry (out of bounds lost ball),,56,51
2,3:27.0,D. Green enters the game for K. Looney,,56,51
2,3:27.0,,G. Hayward enters the game for J. Brown,56,51
2,3:03.0,,A. Horford makes 2-pt jump shot from 18 ft,56,53
2,2:48.0,K. Durant misses 2-pt jump shot from 22 ft,,56,53
2,2:46.0,Offensive rebound by D. Green,,56,53
2,2:40.0,K. Durant misses 2-pt jump shot from 10 ft,,56,53
2,2:38.0,,Defensive rebound by G. Hayward,56,53
2,2:25.0,,J. Tatum makes 2-pt jump shot from 14 ft (assist by K. Irving),56,55
2,2:11.0,S. Curry misses 3-pt jump shot from 26 ft,,56,55
2,2:09.0,,Defensive rebound by G. Hayward,56,55
2,2:01.0,,K. Irving misses 3-pt jump shot from 27 ft,56,55
2,1:59.0,,Offensive rebound by A. Horford,56,55
2,1:57.0,,M. Smart misses 3-pt jump shot from 25 ft,56,55
2,1:56.0,,Offensive rebound by K. Irving,56,55
2,1:56.0,,K. Irving makes 2-pt layup from 1 ft,56,57
2,1:37.0,Turnover by K. Thompson (bad pass; steal by K. Irving),,56,57
2,1:33.0,,M. Smart misses 3-pt jump shot from 24 ft,56,57
2,1:31.0,Defensive rebound by K. Thompson,,56,57
2,1:26.0,Shooting foul by K. Irving (drawn by D. Green),,56,57
2,1:26.0,D. Green makes free throw 1 of 2,,57,57
2,1:26.0,D. Green makes free throw 2 of 2,,58,57
2,1:11.0,,Personal foul by A. Iguodala (drawn by A. Horford),58,57
2,0:57.0,,K. Irving makes 2-pt jump shot from 11 ft,58,59
2,0:47.0,K. Durant makes 2-pt jump shot from 5 ft,,60,59
2,0:44.0,,Offensive foul by M. Smart (drawn by A. Iguodala),60,59
2,0:44.0,,Turnover by M. Smart (offensive foul),60,59
2,0:36.0,S. Curry misses 3-pt jump shot from 26 ft (block by J. Tatum),,60,59
2,0:34.0,,Defensive rebound by K. Irving,60,59
2,0:23.0,,J. Tatum misses 2-pt jump shot from 13 ft,60,59
2,0:21.0,,Offensive rebound by A. Horford,60,59
2,0:19.0,,K. Irving misses 3-pt jump shot from 27 ft,60,59
2,0:17.0,Defensive rebound by K. Thompson,,60,59
2,0:14.0,Personal foul by J. Tatum (drawn by A. Iguodala),,60,59
2,0:14.0,A. Iguodala misses free throw 1 of 2,,60,59
2,0:14.0,Offensive rebound by Team,,60,59
2,0:14.0,K. Looney enters the game for S. Curry,,60,59
2,0:14.0,A. McKinnie enters the game for K. Thompson,,60,59
2,0:14.0,,T. Rozier enters the game for M. Smart,60,59
2,0:14.0,A. Iguodala makes free throw 2 of 2,,61,59
2,0:06.0,,K. Irving misses 3-pt jump shot from 28 ft,61,59
2,0:04.0,Defensive rebound by D. Green,,61,59
2,0:00.0,A. Iguodala misses 2-pt layup from 3 ft,,61,59
2,0:00.0,Offensive rebound by Team,,61,59
3,11:48.0,K. Durant misses 2-pt jump shot from 14 ft,,61,59
3,11:46.0,,Defensive rebound by M. Morris,61,59
3,11:37.0,,Personal foul by D. Cousins (drawn by A. Horford),61,59
3,11:31.0,,Turnover by A. Horford (traveling),61,59
3,11:21.0,D. Cousins makes 2-pt jump shot from 14 ft (assist by K. Thompson),,63,59
3,11:05.0,,A. Horford misses 3-pt jump shot from 26 ft,63,59
3,11:03.0,,Offensive rebound by M. Morris,63,59
3,11:01.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by K. Irving),63,62
3,10:47.0,K. Thompson makes 2-pt jump shot from 17 ft,,65,62
3,10:27.0,,K. Irving misses 2-pt layup from 2 ft,65,62
3,10:27.0,Defensive rebound by S. Curry,,65,62
3,10:05.0,K. Thompson misses 3-pt jump shot from 26 ft,,65,62
3,10:03.0,,Defensive rebound by Team,65,62
3,9:46.0,,J. Tatum makes 2-pt jump shot from 4 ft,65,64
3,9:33.0,D. Cousins makes 3-pt jump shot from 25 ft (assist by D. Green),,68,64
3,9:22.0,,M. Smart misses 3-pt jump shot from 27 ft,68,64
3,9:20.0,Defensive rebound by K. Durant,,68,64
3,9:07.0,K. Durant misses 2-pt layup from 2 ft (block by A. Horford),,68,64
3,9:05.0,,Defensive rebound by M. Smart,68,64
3,8:56.0,,A. Horford makes 2-pt dunk from 1 ft (assist by K. Irving),68,66
3,8:37.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,71,66
3,8:26.0,,J. Tatum makes 3-pt jump shot from 27 ft,71,69
3,8:09.0,Offensive foul by D. Cousins (drawn by M. Morris),,71,69
3,8:09.0,Turnover by D. Cousins (offensive foul),,71,69
3,8:09.0,K. Looney enters the game for D. Cousins,,71,69
3,8:00.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by K. Irving),71,72
3,7:42.0,S. Curry misses 2-pt layup from 5 ft,,71,72
3,7:41.0,Offensive rebound by K. Looney,,71,72
3,7:41.0,K. Looney makes 2-pt layup from 1 ft,,73,72
3,7:28.0,,A. Horford makes 2-pt jump shot from 15 ft (assist by M. Smart),73,74
3,7:10.0,K. Thompson makes 2-pt jump shot from 7 ft,,75,74
3,6:51.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by J. Tatum),75,77
3,6:50.0,Golden State full timeout,,75,77
3,6:32.0,K. Durant makes 2-pt jump shot from 17 ft (assist by K. Looney),,77,77
3,6:17.0,,M. Smart misses 2-pt layup from 7 ft,77,77
3,6:17.0,,Offensive rebound by Team,77,77
3,6:05.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by J. Tatum),77,80
3,5:52.0,K. Durant makes 3-pt jump shot from 25 ft (assist by D. Green),,80,80
3,5:26.0,,J. Tatum misses 2-pt jump shot from 18 ft,80,80
3,5:23.0,,Offensive rebound by M. Morris,80,80
3,5:23.0,,M. Morris misses 2-pt layup at rim (block by D. Green),80,80
3,5:23.0,,Offensive rebound by M. Morris,80,80
3,5:23.0,,Shooting foul by K. Looney (drawn by M. Morris),80,80
3,5:23.0,,M. Morris makes free throw 1 of 2,80,81
3,5:23.0,A. Iguodala enters the game for D. Green,,80,81
3,5:23.0,,M. Morris misses free throw 2 of 2,80,81
3,5:23.0,Defensive rebound by K. Durant,,80,81
3,5:10.0,Shooting foul by A. Horford (drawn by K. Durant),,80,81
3,5:10.0,K. Durant makes free throw 1 of 2,,81,81
3,5:10.0,K. Durant misses free throw 2 of 2,,81,81
3,5:10.0,,Defensive rebound by J. Tatum,81,81
3,4:53.0,,K. Irving misses 2-pt layup from 3 ft (block by A. Iguodala),81,81
3,4:52.0,,Offensive rebound by K. Irving,81,81
3,4:52.0,,K. Irving misses 2-pt layup at rim,81,81
3,4:51.0,Defensive rebound by K. Durant,,81,81
3,4:51.0,Personal foul by K. Irving (drawn by K. Durant),,81,81
3,4:51.0,,G. Hayward enters the game for M. Morris,81,81
3,4:39.0,Shooting foul by K. Irving (drawn by S. Curry),,81,81
3,4:39.0,S. Curry makes free throw 1 of 2,,82,81
3,4:39.0,A. McKinnie enters the game for K. Thompson,,82,81
3,4:39.0,S. Curry makes free throw 2 of 2,,83,81
3,4:18.0,,M. Smart misses 2-pt jump shot from 9 ft,83,81
3,4:16.0,Defensive rebound by S. Curry,,83,81
3,4:11.0,K. Durant misses 2-pt jump shot from 20 ft,,83,81
3,4:08.0,Offensive rebound by K. Looney,,83,81
3,4:08.0,K. Looney makes 2-pt layup from 1 ft,,85,81
3,3:58.0,,M. Smart misses 3-pt jump shot from 23 ft,85,81
3,3:56.0,Defensive rebound by A. Iguodala,,85,81
3,3:48.0,A. McKinnie misses 3-pt jump shot from 23 ft,,85,81
3,3:46.0,,Defensive rebound by A. Horford,85,81
3,3:42.0,,Boston full timeout,85,81
3,3:42.0,,J. Brown enters the game for A. Horford,85,81
3,3:42.0,,T. Rozier enters the game for K. Irving,85,81
3,3:42.0,,D. Theis enters the game for M. Smart,85,81
3,3:29.0,,J. Tatum misses 2-pt layup from 2 ft,85,81
3,3:27.0,Defensive rebound by K. Durant,,85,81
3,3:25.0,Turnover by K. Durant (bad pass),,85,81
3,3:12.0,,T. Rozier misses 2-pt jump shot from 16 ft,85,81
3,3:10.0,Defensive rebound by A. McKinnie,,85,81
3,2:54.0,A. Iguodala misses 3-pt jump shot from 26 ft,,85,81
3,2:52.0,,Defensive rebound by J. Tatum,85,81
3,2:42.0,,J. Tatum misses 3-pt jump shot from 25 ft,85,81
3,2:40.0,Defensive rebound by A. McKinnie,,85,81
3,2:24.0,Shooting foul by G. Hayward (drawn by K. Durant),,85,81
3,2:24.0,K. Durant makes free throw 1 of 3,,86,81
3,2:24.0,K. Durant makes free throw 2 of 3,,87,81
3,2:24.0,D. Green enters the game for S. Curry,,87,81
3,2:24.0,K. Durant makes free throw 3 of 3,,88,81
3,2:04.0,,J. Brown misses 2-pt jump shot from 5 ft,88,81
3,2:03.0,Defensive rebound by A. Iguodala,,88,81
3,1:56.0,Turnover by K. Durant (lost ball; steal by G. Hayward),,88,81
3,1:53.0,,Personal foul by D. Green (drawn by J. Tatum),88,81
3,1:45.0,,G. Hayward misses 2-pt jump shot from 22 ft,88,81
3,1:41.0,Defensive rebound by A. Iguodala,,88,81
3,1:17.0,D. Green misses 3-pt jump shot from 27 ft,,88,81
3,1:15.0,Offensive rebound by A. McKinnie,,88,81
3,1:15.0,Turnover by A. McKinnie (step out of bounds),,88,81
3,0:55.0,,G. Hayward misses 2-pt layup from 7 ft (block by K. Looney),88,81
3,0:53.0,Defensive rebound by D. Green,,88,81
3,0:47.0,Offensive foul by K. Durant (drawn by J. Brown),,88,81
3,0:47.0,Turnover by K. Durant (offensive foul),,88,81
3,0:35.0,,J. Tatum makes 2-pt layup from 3 ft,88,83
3,0:35.0,,Shooting foul by K. Looney (drawn by J. Tatum),88,83
3,0:35.0,,J. Tatum makes free throw 1 of 1,88,84
3,0:23.0,K. Looney makes 2-pt dunk from 2 ft (assist by K. Durant),,90,84
3,0:02.0,,J. Tatum misses 2-pt jump shot from 20 ft,90,84
3,0:00.0,Defensive rebound by A. Iguodala,,90,84
3,0:00.0,A. Iguodala misses 3-pt jump shot from 60 ft,,90,84
3,0:00.0,Offensive rebound by Team,,90,84
4,11:37.0,,T. Rozier misses 2-pt layup from 5 ft,90,84
4,11:34.0,,Offensive rebound by J. Brown,90,84
4,11:34.0,,J. Brown misses 2-pt layup at rim,90,84
4,11:33.0,Defensive rebound by D. Cousins,,90,84
4,11:18.0,S. Livingston makes 2-pt dunk from 2 ft (assist by D. Cousins),,92,84
4,10:58.0,,K. Irving misses 2-pt jump shot from 4 ft,92,84
4,10:57.0,,Offensive rebound by K. Irving,92,84
4,10:56.0,,K. Irving makes 2-pt jump shot from 15 ft,92,86
4,10:39.0,D. Cousins misses 3-pt jump shot from 27 ft,,92,86
4,10:37.0,,Defensive rebound by G. Hayward,92,86
4,10:21.0,,A. Horford makes 2-pt jump shot from 13 ft,92,88
4,10:02.0,Turnover by D. Cousins (bad pass; steal by G. Hayward),,92,88
4,9:57.0,,A. Horford makes 3-pt jump shot from 27 ft (assist by K. Irving),92,91
4,9:35.0,K. Thompson misses 2-pt jump shot from 21 ft,,92,91
4,9:33.0,,Defensive rebound by A. Horford,92,91
4,9:26.0,,K. Irving misses 3-pt jump shot from 26 ft,92,91
4,9:24.0,Defensive rebound by A. Iguodala,,92,91
4,9:16.0,K. Thompson makes 2-pt layup from 2 ft (assist by A. Iguodala),,94,91
4,9:07.0,,K. Irving makes 2-pt jump shot from 5 ft,94,93
4,9:07.0,,Shooting foul by S. Livingston (drawn by K. Irving),94,93
4,9:07.0,,K. Irving makes free throw 1 of 1,94,94
4,8:50.0,K. Thompson misses 3-pt jump shot from 27 ft,,94,94
4,8:48.0,,Defensive rebound by T. Rozier,94,94
4,8:39.0,Violation by Team (kicked ball),,94,94
4,8:39.0,S. Curry enters the game for A. Iguodala,,94,94
4,8:30.0,,G. Hayward misses 3-pt jump shot from 23 ft,94,94
4,8:27.0,,Offensive rebound by T. Rozier,94,94
4,8:27.0,,T. Rozier makes 2-pt layup at rim,94,96
4,8:27.0,Golden State full timeout,,94,96
4,8:07.0,D. Cousins misses 2-pt layup from 3 ft (block by A. Horford),,94,96
4,8:05.0,Offensive rebound by D. Green,,94,96
4,8:03.0,Turnover by Team (shot clock),,94,96
4,8:03.0,K. Durant enters the game for D. Green,,94,96
4,7:47.0,,Turnover by A. Horford (bad pass; steal by S. Livingston),94,96
4,7:43.0,K. Durant misses 2-pt jump shot from 11 ft,,94,96
4,7:40.0,,Defensive rebound by G. Hayward,94,96
4,7:31.0,,A. Horford misses 3-pt jump shot from 27 ft,94,96
4,7:29.0,Defensive rebound by S. Curry,,94,96
4,7:26.0,Shooting foul by A. Horford (drawn by D. Cousins),,94,96
4,7:26.0,D. Cousins makes free throw 1 of 2,,95,96
4,7:26.0,,M. Morris enters the game for G. Hayward,95,96
4,7:26.0,D. Cousins makes free throw 2 of 2,,96,96
4,7:18.0,,Offensive foul by J. Brown (drawn by D. Cousins),96,96
4,7:18.0,,Turnover by J. Brown (offensive foul),96,96
4,6:56.0,D. Cousins misses 2-pt layup from 4 ft,,96,96
4,6:54.0,Offensive rebound by S. Livingston,,96,96
4,6:53.0,S. Livingston misses 2-pt dunk from 1 ft,,96,96
4,6:51.0,,Defensive rebound by T. Rozier,96,96
4,6:35.0,,M. Morris misses 2-pt jump shot from 12 ft,96,96
4,6:33.0,,Offensive rebound by A. Horford,96,96
4,6:32.0,,A. Horford makes 2-pt dunk from 1 ft,96,98
4,6:11.0,K. Durant makes 2-pt jump shot from 16 ft,,98,98
4,6:11.0,Shooting foul by M. Morris (drawn by K. Durant),,98,98
4,6:11.0,K. Looney enters the game for K. Thompson,,98,98
4,6:11.0,,J. Tatum enters the game for T. Rozier,98,98
4,6:11.0,K. Durant makes free throw 1 of 1,,99,98
4,6:03.0,,K. Irving misses 2-pt layup from 3 ft (block by D. Cousins),99,98
4,6:02.0,,Offensive rebound by Team,99,98
4,6:02.0,,Boston full timeout,99,98
4,6:01.0,,Personal foul by S. Livingston (drawn by K. Irving),99,98
4,5:51.0,,J. Tatum misses 2-pt jump shot from 12 ft,99,98
4,5:49.0,Defensive rebound by D. Cousins,,99,98
4,5:37.0,Shooting foul by A. Horford (drawn by D. Cousins),,99,98
4,5:37.0,D. Cousins makes free throw 1 of 2,,100,98
4,5:37.0,,M. Smart enters the game for J. Brown,100,98
4,5:37.0,D. Cousins makes free throw 2 of 2,,101,98
4,5:25.0,,Turnover by K. Irving (bad pass; steal by D. Cousins),101,98
4,5:19.0,S. Livingston makes 2-pt jump shot from 13 ft,,103,98
4,5:05.0,,Turnover by K. Irving (lost ball; steal by D. Cousins),103,98
4,5:00.0,S. Curry misses 3-pt jump shot from 28 ft,,103,98
4,4:56.0,,Defensive rebound by A. Horford,103,98
4,4:49.0,,A. Horford misses 3-pt jump shot from 26 ft,103,98
4,4:46.0,Defensive rebound by D. Cousins,,103,98
4,4:25.0,D. Cousins misses 2-pt layup from 4 ft,,103,98
4,4:23.0,,Defensive rebound by J. Tatum,103,98
4,4:11.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by A. Horford),103,101
4,4:10.0,Golden State full timeout,,103,101
