QUARTER,TIME_REMAINING,DALLAS_ACTION,CHICAGO_ACTION,DALLAS_SCORE,CHICAGO_SCORE
2,9:33.0,Personal foul by C. Felício (drawn by D. Powell),,33,22
2,9:33.0,,R. Lopez enters the game for C. Felício,33,22
2,9:27.0,Turnover by D. Harris (bad pass; steal by A. Blakeney),,33,22
2,9:14.0,,J. Parker misses 2-pt hook shot from 4 ft (block by M. Kleber),33,22
2,9:10.0,Defensive rebound by J. Barea,,33,22
2,9:04.0,D. Powell misses 3-pt jump shot from 27 ft,,33,22
2,9:00.0,,Defensive rebound by S. Harrison,33,22
2,8:48.0,,Personal foul by D. Harris (drawn by Z. LaVine),33,22
2,8:48.0,,R. Arcidiacono enters the game for S. Harrison,33,22
2,8:38.0,,J. Parker misses 2-pt hook shot from 5 ft,33,22
2,8:37.0,,Offensive rebound by J. Parker,33,22
2,8:36.0,,R. Arcidiacono makes 3-pt jump shot from 26 ft (assist by J. Parker),33,25
2,8:17.0,D. Harris misses 3-pt jump shot from 26 ft,,33,25
2,8:12.0,Offensive rebound by D. Powell,,33,25
2,8:05.0,M. Kleber makes 3-pt jump shot from 26 ft (assist by D. Harris),,36,25
2,7:51.0,,J. Parker misses 3-pt jump shot from 25 ft,36,25
2,7:48.0,Defensive rebound by D. Powell,,36,25
2,7:37.0,J. Barea makes 3-pt jump shot from 26 ft,,39,25
2,7:37.0,,Chicago full timeout,39,25
2,7:37.0,D. Finney-Smith enters the game for D. Harris,,39,25
2,7:37.0,,W. Carter enters the game for A. Blakeney,39,25
2,7:37.0,,J. Holiday enters the game for R. Lopez,39,25
2,7:21.0,,J. Holiday makes 2-pt jump shot from 17 ft (assist by R. Arcidiacono),39,27
2,7:05.0,Turnover by J. Barea (bad pass; steal by Z. LaVine),,39,27
2,6:59.0,,Turnover by W. Carter (lost ball; steal by D. Powell),39,27
2,6:55.0,J. Barea makes 2-pt jump shot from 20 ft,,41,27
2,6:41.0,,Offensive foul by W. Carter (drawn by D. Powell),41,27
2,6:41.0,,Turnover by W. Carter (offensive foul),41,27
2,6:41.0,,R. Lopez enters the game for W. Carter,41,27
2,6:31.0,J. Brunson misses 2-pt jump shot from 13 ft,,41,27
2,6:31.0,,Defensive rebound by J. Parker,41,27
2,6:21.0,,Personal foul by M. Kleber (drawn by R. Lopez),41,27
2,6:21.0,D. Jordan enters the game for D. Powell,,41,27
2,6:10.0,,J. Parker misses 2-pt jump shot from 21 ft,41,27
2,6:08.0,,Offensive rebound by R. Lopez,41,27
2,6:06.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by R. Lopez),41,29
2,5:46.0,J. Barea misses 2-pt jump shot from 10 ft,,41,29
2,5:43.0,Offensive rebound by J. Barea,,41,29
2,5:37.0,J. Brunson makes 2-pt layup from 2 ft,,43,29
2,5:23.0,,Z. LaVine makes 2-pt jump shot from 17 ft,43,31
2,5:22.0,Dallas full timeout,,43,31
2,5:22.0,L. Dončić enters the game for J. Barea,,43,31
2,5:22.0,D. Smith enters the game for J. Brunson,,43,31
2,5:22.0,,C. Hutchison enters the game for J. Parker,43,31
2,5:02.0,D. Smith misses 2-pt layup from 3 ft (block by R. Lopez),,43,31
2,5:00.0,,Defensive rebound by C. Hutchison,43,31
2,4:44.0,,Chicago full timeout,43,31
2,4:44.0,H. Barnes enters the game for M. Kleber,,43,31
2,4:39.0,,R. Lopez makes 2-pt layup from 2 ft (assist by Z. LaVine),43,33
2,4:28.0,Personal foul by C. Hutchison (drawn by H. Barnes),,43,33
2,4:22.0,D. Smith misses 3-pt jump shot from 25 ft,,43,33
2,4:19.0,,Defensive rebound by C. Hutchison,43,33
2,4:08.0,,C. Hutchison misses 2-pt layup from 1 ft,43,33
2,4:06.0,Defensive rebound by D. Jordan,,43,33
2,3:59.0,H. Barnes misses 2-pt jump shot from 8 ft,,43,33
2,3:57.0,,Defensive rebound by Z. LaVine,43,33
2,3:51.0,,Z. LaVine misses 2-pt jump shot from 19 ft,43,33
2,3:51.0,,Offensive rebound by Team,43,33
2,3:51.0,Loose ball foul by D. Smith (drawn by R. Lopez),,43,33
2,3:51.0,,Away from play foul by D. Finney-Smith (drawn by Z. LaVine),43,33
2,3:51.0,,Z. LaVine makes free throw 1 of 1,43,34
2,3:46.0,,R. Lopez makes 2-pt layup from 3 ft,43,36
2,3:46.0,,Shooting foul by D. Jordan (drawn by R. Lopez),43,36
2,3:46.0,,R. Lopez makes free throw 1 of 1,43,37
2,3:34.0,L. Dončić makes 3-pt jump shot from 26 ft,,46,37
2,3:19.0,,C. Hutchison makes 2-pt jump shot from 5 ft (assist by R. Arcidiacono),46,39
2,2:57.0,L. Dončić misses 2-pt jump shot from 4 ft,,46,39
2,2:54.0,,Defensive rebound by Z. LaVine,46,39
2,2:52.0,,Z. LaVine makes 2-pt layup from 2 ft,46,41
2,2:52.0,Violation by Team (def goaltending),,46,41
2,2:52.0,,Shooting foul by D. Smith (drawn by Z. LaVine),46,41
2,2:52.0,J. Barea enters the game for D. Smith,,46,41
2,2:52.0,,Z. LaVine makes free throw 1 of 1,46,42
2,2:31.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,46,42
2,2:26.0,,Defensive rebound by C. Hutchison,46,42
2,2:24.0,,C. Hutchison makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),46,45
2,2:09.0,J. Barea makes 2-pt jump shot from 3 ft,,48,45
2,1:58.0,,C. Hutchison misses 2-pt layup from 2 ft,48,45
2,1:56.0,Defensive rebound by D. Jordan,,48,45
2,1:45.0,H. Barnes makes 2-pt layup from 2 ft,,50,45
2,1:31.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),50,48
2,1:10.0,H. Barnes misses 2-pt jump shot from 20 ft,,50,48
2,1:10.0,Offensive rebound by Team,,50,48
2,1:10.0,,Loose ball foul by R. Lopez (drawn by D. Jordan),50,48
2,1:07.0,Personal foul by R. Arcidiacono (drawn by J. Barea),,50,48
2,1:07.0,J. Barea makes free throw 1 of 2,,51,48
2,1:07.0,J. Barea misses free throw 2 of 2,,51,48
2,1:02.0,,Defensive rebound by C. Hutchison,51,48
2,0:54.0,,Z. LaVine misses 2-pt jump shot from 22 ft,51,48
2,0:49.0,Defensive rebound by L. Dončić,,51,48
2,0:39.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),,54,48
2,0:31.0,,Turnover by Z. LaVine (lost ball; steal by H. Barnes),54,48
2,0:12.0,H. Barnes makes 2-pt jump shot from 13 ft (assist by D. Jordan),,56,48
2,0:06.0,,Personal foul by J. Barea (drawn by R. Arcidiacono),56,48
2,0:06.0,,R. Arcidiacono misses free throw 1 of 2,56,48
2,0:06.0,,Offensive rebound by Team,56,48
2,0:06.0,D. Smith enters the game for J. Barea,,56,48
2,0:06.0,,S. Harrison enters the game for J. Holiday,56,48
2,0:06.0,,J. Parker enters the game for R. Lopez,56,48
2,0:06.0,,R. Arcidiacono makes free throw 2 of 2,56,49
2,0:01.0,Turnover by D. Smith (lost ball; steal by S. Harrison),,56,49
2,0:00.0,,S. Harrison misses 3-pt jump shot from 72 ft,56,49
2,0:00.0,,Offensive rebound by Team,56,49
3,11:50.0,,W. Carter misses 2-pt jump shot from 6 ft (block by D. Smith),56,49
3,11:47.0,Defensive rebound by D. Smith,,56,49
3,11:44.0,D. Smith makes 2-pt layup from 1 ft,,58,49
3,11:31.0,,W. Carter makes 2-pt jump shot from 22 ft,58,51
3,11:04.0,D. Smith misses 3-pt jump shot from 25 ft,,58,51
3,11:01.0,,Defensive rebound by W. Carter,58,51
3,10:54.0,,W. Carter misses 3-pt jump shot from 25 ft,58,51
3,10:51.0,Defensive rebound by D. Jordan,,58,51
3,10:41.0,H. Barnes misses 3-pt jump shot from 24 ft,,58,51
3,10:38.0,,Defensive rebound by Z. LaVine,58,51
3,10:30.0,,Z. LaVine makes 2-pt jump shot from 13 ft,58,53
3,10:14.0,L. Dončić misses 2-pt jump shot from 11 ft,,58,53
3,10:12.0,,Defensive rebound by W. Carter,58,53
3,10:07.0,,Offensive foul by J. Parker (drawn by L. Dončić),58,53
3,10:07.0,,Turnover by J. Parker (offensive foul),58,53
3,9:46.0,L. Dončić misses 3-pt jump shot from 25 ft,,58,53
3,9:42.0,,Defensive rebound by W. Carter,58,53
3,9:33.0,,Z. LaVine makes 2-pt jump shot from 20 ft,58,55
3,9:20.0,Turnover by D. Finney-Smith (bad pass; steal by J. Holiday),,58,55
3,9:08.0,,Z. LaVine misses 3-pt jump shot from 26 ft,58,55
3,9:05.0,Defensive rebound by D. Jordan,,58,55
3,8:57.0,Turnover by D. Smith (lost ball; steal by Z. LaVine),,58,55
3,8:56.0,,Z. LaVine makes 2-pt dunk from 1 ft,58,57
3,8:56.0,Dallas full timeout,,58,57
3,8:41.0,D. Smith makes 3-pt jump shot from 26 ft (assist by L. Dončić),,61,57
3,8:29.0,,Personal foul by D. Finney-Smith (drawn by W. Carter),61,57
3,8:19.0,,Turnover by Z. LaVine (out of bounds lost ball),61,57
3,7:56.0,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),,63,57
3,7:48.0,,Personal foul by D. Smith (drawn by J. Parker),63,57
3,7:32.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,63,57
3,7:29.0,Defensive rebound by H. Barnes,,63,57
3,7:28.0,D. Jordan makes 2-pt dunk from 1 ft (assist by H. Barnes),,65,57
3,7:28.0,,Chicago full timeout,65,57
3,7:17.0,,Turnover by Z. LaVine (lost ball; steal by H. Barnes),65,57
3,7:13.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,65,57
3,7:10.0,,Defensive rebound by R. Arcidiacono,65,57
3,7:04.0,,Z. LaVine misses 3-pt jump shot from 23 ft,65,57
3,7:01.0,Defensive rebound by D. Smith,,65,57
3,6:57.0,D. Smith makes 2-pt layup from 1 ft,,67,57
3,6:47.0,,J. Parker misses 3-pt jump shot from 26 ft,67,57
3,6:44.0,,Offensive rebound by W. Carter,67,57
3,6:42.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by W. Carter),67,60
3,6:20.0,H. Barnes misses 3-pt jump shot from 25 ft,,67,60
3,6:20.0,,Defensive rebound by Team,67,60
3,6:05.0,,Turnover by W. Carter (bad pass; steal by H. Barnes),67,60
3,6:03.0,Shooting foul by R. Arcidiacono (drawn by H. Barnes),,67,60
3,6:03.0,H. Barnes makes free throw 1 of 2,,68,60
3,6:03.0,H. Barnes makes free throw 2 of 2,,69,60
3,5:49.0,,J. Parker makes 2-pt jump shot from 15 ft (assist by R. Arcidiacono),69,62
3,5:23.0,Turnover by D. Smith (out of bounds lost ball),,69,62
3,5:10.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,69,62
3,5:07.0,Defensive rebound by D. Jordan,,69,62
3,4:54.0,L. Dončić misses 3-pt jump shot from 24 ft,,69,62
3,4:53.0,Offensive rebound by Team,,69,62
3,4:53.0,,Loose ball foul by J. Holiday (drawn by D. Jordan),69,62
3,4:45.0,L. Dončić misses 2-pt hook shot from 9 ft (block by W. Carter),,69,62
3,4:42.0,Offensive rebound by D. Smith,,69,62
3,4:40.0,D. Smith misses 3-pt jump shot from 29 ft,,69,62
3,4:40.0,,Defensive rebound by J. Parker,69,62
3,4:31.0,,J. Parker makes 2-pt layup from 2 ft,69,64
3,4:31.0,,Shooting foul by D. Finney-Smith (drawn by J. Parker),69,64
3,4:31.0,J. Barea enters the game for D. Finney-Smith,,69,64
3,4:31.0,D. Harris enters the game for D. Smith,,69,64
3,4:31.0,,A. Blakeney enters the game for Z. LaVine,69,64
3,4:31.0,,J. Parker makes free throw 1 of 1,69,65
3,4:07.0,H. Barnes makes 2-pt layup from 3 ft,,71,65
3,3:48.0,,A. Blakeney misses 2-pt jump shot from 13 ft (block by D. Harris),71,65
3,3:45.0,Defensive rebound by J. Barea,,71,65
3,3:36.0,J. Barea misses 2-pt layup from 2 ft,,71,65
3,3:36.0,,Defensive rebound by Team,71,65
3,3:19.0,,W. Carter misses 3-pt jump shot from 24 ft,71,65
3,3:16.0,Defensive rebound by J. Barea,,71,65
3,3:10.0,Turnover by H. Barnes (out of bounds lost ball),,71,65
3,2:53.0,,R. Arcidiacono misses 2-pt jump shot from 8 ft,71,65
3,2:51.0,Defensive rebound by L. Dončić,,71,65
3,2:38.0,Turnover by L. Dončić (bad pass; steal by J. Holiday),,71,65
3,2:34.0,,J. Parker makes 2-pt layup from 1 ft,71,67
3,2:34.0,,Shooting foul by D. Harris (drawn by J. Parker),71,67
3,2:34.0,D. Powell enters the game for D. Jordan,,71,67
3,2:34.0,,S. Harrison enters the game for R. Arcidiacono,71,67
3,2:34.0,,R. Lopez enters the game for W. Carter,71,67
3,2:34.0,,J. Parker makes free throw 1 of 1,71,68
3,2:15.0,H. Barnes misses 3-pt jump shot from 27 ft,,71,68
3,2:13.0,,Defensive rebound by S. Harrison,71,68
3,2:04.0,,J. Parker misses 2-pt jump shot from 20 ft,71,68
3,2:01.0,Defensive rebound by D. Powell,,71,68
3,1:43.0,Turnover by D. Harris (lost ball),,71,68
3,1:43.0,Loose ball foul by D. Harris (drawn by A. Blakeney),,71,68
3,1:43.0,,A. Blakeney makes free throw 1 of 2,71,69
3,1:43.0,M. Kleber enters the game for H. Barnes,,71,69
3,1:43.0,,A. Blakeney makes free throw 2 of 2,71,70
3,1:32.0,D. Powell makes 3-pt jump shot from 26 ft (assist by M. Kleber),,74,70
3,1:14.0,,J. Parker makes 2-pt hook shot from 3 ft,74,72
3,1:00.0,D. Powell makes 2-pt layup from 3 ft,,76,72
3,0:54.0,,Offensive foul by S. Harrison (drawn by J. Barea),76,72
3,0:54.0,,Turnover by S. Harrison (offensive foul),76,72
3,0:35.0,J. Barea makes 2-pt jump shot from 21 ft,,78,72
3,0:30.0,,S. Harrison makes 3-pt jump shot from 26 ft,78,75
3,0:05.0,J. Barea misses 2-pt layup from 3 ft,,78,75
3,0:02.0,,Defensive rebound by R. Lopez,78,75
4,11:49.0,D. Powell misses 3-pt jump shot from 25 ft,,78,75
4,11:46.0,,Defensive rebound by S. Harrison,78,75
4,11:34.0,,Turnover by R. Lopez (bad pass; steal by D. Harris),78,75
4,11:32.0,Shooting foul by A. Blakeney (drawn by J. Brunson),,78,75
4,11:32.0,J. Brunson misses free throw 1 of 2,,78,75
4,11:32.0,Offensive rebound by Team,,78,75
4,11:32.0,J. Brunson misses free throw 2 of 2,,78,75
4,11:30.0,Offensive rebound by Team,,78,75
4,11:25.0,J. Barea misses 3-pt jump shot from 27 ft,,78,75
4,11:22.0,,Defensive rebound by S. Harrison,78,75
4,11:11.0,,C. Hutchison makes 2-pt dunk at rim (assist by R. Lopez),78,77
4,10:47.0,M. Kleber makes 3-pt jump shot from 24 ft (assist by J. Barea),,81,77
4,10:37.0,,Personal foul by J. Brunson (drawn by A. Blakeney),81,77
4,10:30.0,,A. Blakeney makes 3-pt jump shot from 23 ft (assist by Z. LaVine),81,80
4,10:10.0,Shooting foul by S. Harrison (drawn by D. Powell),,81,80
4,10:10.0,D. Powell makes free throw 1 of 2,,82,80
4,10:10.0,D. Powell makes free throw 2 of 2,,83,80
4,9:56.0,,Z. LaVine misses 2-pt jump shot from 7 ft (block by D. Powell),83,80
4,9:53.0,Defensive rebound by M. Kleber,,83,80
4,9:41.0,D. Harris makes 2-pt layup from 2 ft,,85,80
4,9:26.0,,Z. LaVine misses 2-pt jump shot from 16 ft,85,80
4,9:22.0,Defensive rebound by J. Brunson,,85,80
4,9:10.0,J. Barea makes 2-pt jump shot from 18 ft,,87,80
4,9:09.0,,Chicago full timeout,87,80
4,9:09.0,,W. Carter enters the game for R. Lopez,87,80
4,8:57.0,,Personal foul by D. Harris (drawn by Z. LaVine),87,80
4,8:50.0,,Z. LaVine makes 2-pt layup from 2 ft,87,82
4,8:38.0,Personal foul by Z. LaVine (drawn by D. Harris),,87,82
4,8:29.0,Turnover by J. Brunson (traveling),,87,82
4,8:17.0,,Turnover by Z. LaVine (bad pass; steal by M. Kleber),87,82
4,8:06.0,J. Brunson misses 2-pt jump shot from 8 ft (block by W. Carter),,87,82
4,8:03.0,,Defensive rebound by W. Carter,87,82
4,7:55.0,,A. Blakeney misses 2-pt layup from 4 ft (block by M. Kleber),87,82
4,7:51.0,,Offensive rebound by C. Hutchison,87,82
4,7:47.0,,S. Harrison misses 3-pt jump shot from 28 ft,87,82
4,7:45.0,Defensive rebound by J. Brunson,,87,82
4,7:39.0,Turnover by M. Kleber (bad pass; steal by S. Harrison),,87,82
4,7:27.0,,A. Blakeney makes 2-pt jump shot from 13 ft,87,84
4,7:15.0,Dallas full timeout,,87,84
4,7:15.0,D. Finney-Smith enters the game for J. Brunson,,87,84
4,7:08.0,Personal foul by A. Blakeney (drawn by D. Harris),,87,84
4,6:57.0,D. Harris misses 3-pt jump shot from 25 ft,,87,84
4,6:54.0,,Defensive rebound by W. Carter,87,84
4,6:43.0,,Z. LaVine misses 2-pt jump shot from 20 ft,87,84
4,6:38.0,Defensive rebound by D. Harris,,87,84
4,6:32.0,Turnover by J. Barea (bad pass),,87,84
4,6:32.0,H. Barnes enters the game for J. Barea,,87,84
4,6:32.0,D. Jordan enters the game for M. Kleber,,87,84
4,6:32.0,D. Smith enters the game for D. Powell,,87,84
4,6:32.0,,R. Arcidiacono enters the game for S. Harrison,87,84
4,6:32.0,,J. Parker enters the game for C. Hutchison,87,84
4,6:21.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,87,84
4,6:18.0,Defensive rebound by D. Jordan,,87,84
4,6:12.0,D. Smith makes 2-pt jump shot from 17 ft,,89,84
4,5:50.0,,Turnover by A. Blakeney (lost ball; steal by D. Harris),89,84
4,5:33.0,Shooting foul by R. Arcidiacono (drawn by H. Barnes),,89,84
4,5:33.0,H. Barnes makes free throw 1 of 2,,90,84
4,5:33.0,L. Dončić enters the game for D. Harris,,90,84
4,5:33.0,,J. Holiday enters the game for A. Blakeney,90,84
4,5:33.0,H. Barnes makes free throw 2 of 2,,91,84
4,5:21.0,,Z. LaVine misses 2-pt jump shot from 16 ft,91,84
4,5:19.0,Defensive rebound by D. Jordan,,91,84
4,5:08.0,H. Barnes misses 2-pt jump shot from 18 ft,,91,84
4,5:04.0,,Defensive rebound by R. Arcidiacono,91,84
4,4:59.0,,J. Parker misses 3-pt jump shot from 23 ft,91,84
4,4:56.0,Defensive rebound by D. Jordan,,91,84
4,4:35.0,D. Finney-Smith misses 3-pt jump shot from 22 ft,,91,84
