QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DETROIT_ACTION,PHILADELPHIA_SCORE,DETROIT_SCORE
1,7:18.0,,B. Griffin makes 2-pt hook shot from 5 ft,10,10
1,7:01.0,J. Butler misses 2-pt jump shot from 9 ft,,10,10
1,6:58.0,Offensive rebound by A. Johnson,,10,10
1,6:50.0,J. Butler misses 3-pt jump shot from 26 ft,,10,10
1,6:50.0,,Defensive rebound by Team,10,10
1,6:50.0,T. McConnell enters the game for W. Chandler,,10,10
1,6:50.0,M. Muscala enters the game for A. Johnson,,10,10
1,6:50.0,L. Shamet enters the game for J. Redick,,10,10
1,6:28.0,,A. Drummond makes 2-pt layup from 4 ft (assist by R. Jackson),10,12
1,6:18.0,M. Muscala misses 3-pt jump shot from 27 ft,,10,12
1,6:14.0,Offensive rebound by J. Butler,,10,12
1,6:11.0,J. Butler misses 2-pt layup from 5 ft,,10,12
1,6:09.0,,Defensive rebound by B. Brown,10,12
1,6:05.0,,G. Robinson makes 2-pt jump shot from 13 ft (assist by B. Brown),10,14
1,5:48.0,T. McConnell makes 2-pt jump shot from 12 ft,,12,14
1,5:28.0,,A. Drummond makes 2-pt hook shot from 6 ft (assist by B. Griffin),12,16
1,5:15.0,B. Simmons misses 2-pt layup from 3 ft,,12,16
1,5:13.0,,Defensive rebound by A. Drummond,12,16
1,5:06.0,,Shooting foul by M. Muscala (drawn by B. Griffin),12,16
1,5:06.0,,B. Griffin makes free throw 1 of 2,12,17
1,5:06.0,F. Korkmaz enters the game for J. Butler,,12,17
1,5:06.0,,J. Calderón enters the game for R. Jackson,12,17
1,5:06.0,,B. Griffin misses free throw 2 of 2,12,17
1,5:03.0,,Offensive rebound by B. Griffin,12,17
1,4:57.0,,B. Griffin makes 2-pt hook shot from 4 ft,12,19
1,4:38.0,Personal foul by G. Robinson (drawn by B. Simmons),,12,19
1,4:38.0,,L. Galloway enters the game for B. Brown,12,19
1,4:32.0,F. Korkmaz misses 3-pt jump shot from 24 ft,,12,19
1,4:31.0,,Defensive rebound by Team,12,19
1,4:24.0,,Personal foul by F. Korkmaz (drawn by G. Robinson),12,19
1,4:11.0,,B. Griffin misses 3-pt jump shot from 27 ft,12,19
1,4:06.0,Defensive rebound by F. Korkmaz,,12,19
1,4:01.0,F. Korkmaz makes 2-pt layup from 5 ft (assist by T. McConnell),,14,19
1,3:48.0,,A. Drummond misses 2-pt hook shot from 6 ft,14,19
1,3:45.0,Defensive rebound by F. Korkmaz,,14,19
1,3:40.0,T. McConnell makes 2-pt jump shot from 7 ft,,16,19
1,3:25.0,,J. Calderón misses 2-pt jump shot from 5 ft,16,19
1,3:22.0,Defensive rebound by M. Muscala,,16,19
1,3:18.0,B. Simmons makes 2-pt layup from 4 ft,,18,19
1,3:08.0,,Personal foul by L. Shamet (drawn by B. Griffin),18,19
1,3:08.0,,B. Griffin misses free throw 1 of 2,18,19
1,3:08.0,,Offensive rebound by Team,18,19
1,3:08.0,J. Butler enters the game for F. Korkmaz,,18,19
1,3:08.0,W. Chandler enters the game for L. Shamet,,18,19
1,3:08.0,J. Redick enters the game for B. Simmons,,18,19
1,3:08.0,,B. Brown enters the game for A. Drummond,18,19
1,3:08.0,,Z. Pachulia enters the game for G. Robinson,18,19
1,3:08.0,,B. Griffin makes free throw 2 of 2,18,20
1,2:48.0,W. Chandler makes 2-pt jump shot from 15 ft (assist by J. Butler),,20,20
1,2:41.0,,Personal foul by W. Chandler (drawn by B. Griffin),20,20
1,2:41.0,Philadelphia full timeout,,20,20
1,2:41.0,,B. Griffin makes free throw 1 of 2,20,21
1,2:41.0,,B. Griffin makes free throw 2 of 2,20,22
1,2:27.0,W. Chandler makes 3-pt jump shot from 23 ft (assist by J. Butler),,23,22
1,2:05.0,,B. Brown makes 2-pt jump shot from 6 ft (assist by B. Griffin),23,24
1,1:40.0,J. Butler misses 2-pt layup from 6 ft,,23,24
1,1:37.0,,Defensive rebound by B. Griffin,23,24
1,1:33.0,,B. Griffin misses 2-pt layup from 5 ft,23,24
1,1:31.0,,Offensive rebound by Z. Pachulia,23,24
1,1:28.0,,L. Galloway misses 3-pt jump shot from 24 ft,23,24
1,1:25.0,Defensive rebound by M. Muscala,,23,24
1,1:22.0,J. Butler makes 2-pt dunk from 2 ft (assist by T. McConnell),,25,24
1,0:58.0,,L. Galloway misses 3-pt jump shot from 29 ft,25,24
1,0:55.0,,Offensive rebound by B. Brown,25,24
1,0:49.0,,J. Calderón makes 3-pt jump shot from 27 ft (assist by B. Griffin),25,27
1,0:40.0,J. Redick misses 2-pt layup from 4 ft,,25,27
1,0:38.0,,Defensive rebound by B. Griffin,25,27
1,0:30.0,,Turnover by Z. Pachulia (offensive foul),25,27
1,0:30.0,,Offensive foul by Z. Pachulia (drawn by J. Butler),25,27
1,0:17.0,M. Muscala makes 3-pt jump shot from 26 ft (assist by J. Butler),,28,27
1,0:06.0,,B. Griffin misses 2-pt layup from 5 ft (block by W. Chandler),28,27
1,0:06.0,,Offensive rebound by Team,28,27
1,0:02.0,,Turnover by B. Brown (bad pass; steal by W. Chandler),28,27
2,11:38.0,,Z. Pachulia misses 2-pt jump shot from 21 ft,28,27
2,11:34.0,Defensive rebound by W. Chandler,,28,27
2,11:25.0,T. McConnell makes 2-pt layup from 3 ft,,30,27
2,11:02.0,,Z. Pachulia makes 2-pt layup from 2 ft (assist by B. Brown),30,29
2,10:46.0,T. McConnell makes 2-pt jump shot from 9 ft,,32,29
2,10:29.0,,Personal foul by A. Johnson (drawn by Z. Pachulia),32,29
2,10:23.0,,R. Jackson makes 2-pt layup from 4 ft (assist by Z. Pachulia),32,31
2,10:00.0,J. Redick makes 2-pt jump shot from 19 ft,,34,31
2,9:45.0,,R. Jackson makes 3-pt jump shot from 28 ft (assist by Z. Pachulia),34,34
2,9:35.0,J. Redick misses 2-pt jump shot from 18 ft,,34,34
2,9:30.0,,Defensive rebound by J. Leuer,34,34
2,9:16.0,,B. Brown makes 3-pt jump shot from 23 ft (assist by J. Leuer),34,37
2,8:57.0,J. Butler makes 2-pt layup from 2 ft (assist by J. Redick),,36,37
2,8:57.0,Shooting foul by Z. Pachulia (drawn by J. Butler),,36,37
2,8:57.0,L. Shamet enters the game for J. Redick,,36,37
2,8:57.0,J. Butler misses free throw 1 of 1,,36,37
2,8:57.0,,Defensive rebound by B. Brown,36,37
2,8:47.0,,Turnover by R. Jackson (lost ball; steal by A. Johnson),36,37
2,8:44.0,L. Shamet makes 2-pt layup from 2 ft (assist by T. McConnell),,38,37
2,8:44.0,Shooting foul by L. Galloway (drawn by L. Shamet),,38,37
2,8:44.0,L. Shamet makes free throw 1 of 1,,39,37
2,8:29.0,,L. Galloway makes 2-pt layup from 4 ft (assist by Z. Pachulia),39,39
2,8:18.0,J. Butler misses 3-pt jump shot from 24 ft,,39,39
2,8:14.0,,Defensive rebound by J. Leuer,39,39
2,8:06.0,,L. Galloway misses 2-pt jump shot from 17 ft,39,39
2,8:03.0,Defensive rebound by A. Johnson,,39,39
2,7:54.0,W. Chandler makes 2-pt jump shot from 11 ft (assist by T. McConnell),,41,39
2,7:42.0,,L. Galloway makes 2-pt layup from 5 ft (assist by R. Jackson),41,41
2,7:37.0,Philadelphia full timeout,,41,41
2,7:37.0,M. Muscala enters the game for A. Johnson,,41,41
2,7:37.0,B. Simmons enters the game for T. McConnell,,41,41
2,7:37.0,,A. Drummond enters the game for Z. Pachulia,41,41
2,7:26.0,J. Butler makes 2-pt dunk from 2 ft (assist by M. Muscala),,43,41
2,7:16.0,,Personal foul by L. Shamet (drawn by R. Jackson),43,41
2,7:11.0,,Personal foul by L. Shamet (drawn by J. Leuer),43,41
2,7:03.0,,Shooting foul by M. Muscala (drawn by A. Drummond),43,41
2,7:03.0,,A. Drummond makes free throw 1 of 2,43,42
2,7:03.0,,A. Drummond makes free throw 2 of 2,43,43
2,6:50.0,Turnover by B. Simmons (bad pass),,43,43
2,6:41.0,,A. Drummond misses 2-pt layup from 3 ft,43,43
2,6:37.0,Defensive rebound by B. Simmons,,43,43
2,6:36.0,J. Butler misses 2-pt layup from 2 ft,,43,43
2,6:33.0,,Defensive rebound by R. Jackson,43,43
2,6:31.0,,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),43,45
2,6:21.0,M. Muscala misses 3-pt jump shot from 28 ft,,43,45
2,6:16.0,Offensive rebound by J. Butler,,43,45
2,6:15.0,W. Chandler makes 3-pt jump shot from 28 ft (assist by J. Butler),,46,45
2,5:57.0,,R. Jackson misses 3-pt jump shot from 27 ft,46,45
2,5:54.0,Defensive rebound by W. Chandler,,46,45
2,5:46.0,L. Shamet misses 2-pt layup from 2 ft,,46,45
2,5:44.0,Offensive rebound by J. Butler,,46,45
2,5:43.0,J. Butler misses 2-pt layup from 2 ft (block by A. Drummond),,46,45
2,5:43.0,,Defensive rebound by L. Galloway,46,45
2,5:26.0,,A. Drummond makes 2-pt layup from 2 ft,46,47
2,5:03.0,Shooting foul by J. Leuer (drawn by J. Butler),,46,47
2,5:03.0,J. Butler makes free throw 1 of 2,,47,47
2,5:03.0,T. McConnell enters the game for L. Shamet,,47,47
2,5:03.0,,B. Griffin enters the game for B. Brown,47,47
2,5:03.0,,L. Kennard enters the game for J. Leuer,47,47
2,5:03.0,J. Butler makes free throw 2 of 2,,48,47
2,4:49.0,,L. Galloway makes 3-pt jump shot from 27 ft (assist by B. Griffin),48,50
2,4:34.0,Personal foul by L. Kennard (drawn by B. Simmons),,48,50
2,4:21.0,T. McConnell misses 2-pt jump shot from 13 ft,,48,50
2,4:17.0,,Defensive rebound by A. Drummond,48,50
2,4:04.0,,A. Drummond misses 2-pt layup from 4 ft,48,50
2,4:01.0,,Offensive rebound by L. Galloway,48,50
2,4:01.0,,L. Galloway makes 2-pt layup from 1 ft,48,52
2,3:51.0,J. Butler makes 2-pt jump shot from 5 ft,,50,52
2,3:45.0,,Detroit full timeout,50,52
2,3:45.0,J. Redick enters the game for W. Chandler,,50,52
2,3:28.0,,B. Griffin misses 2-pt hook shot from 5 ft,50,52
2,3:24.0,,Offensive rebound by A. Drummond,50,52
2,3:23.0,,A. Drummond misses 2-pt layup from 2 ft,50,52
2,3:21.0,Defensive rebound by B. Simmons,,50,52
2,3:17.0,Offensive foul by M. Muscala (drawn by B. Griffin),,50,52
2,3:17.0,Turnover by M. Muscala (offensive foul),,50,52
2,3:17.0,A. Johnson enters the game for M. Muscala,,50,52
2,3:05.0,,B. Griffin makes 2-pt layup from 4 ft,50,54
2,2:46.0,J. Butler misses 2-pt jump shot from 7 ft,,50,54
2,2:41.0,,Defensive rebound by L. Kennard,50,54
2,2:39.0,,L. Kennard makes 3-pt jump shot from 29 ft (assist by R. Jackson),50,57
2,2:25.0,T. McConnell makes 2-pt layup from 4 ft,,52,57
2,2:16.0,,Shooting foul by A. Johnson (drawn by B. Griffin),52,57
2,2:16.0,,B. Griffin makes free throw 1 of 2,52,58
2,2:16.0,F. Korkmaz enters the game for J. Butler,,52,58
2,2:16.0,,B. Griffin makes free throw 2 of 2,52,59
2,2:05.0,Turnover by F. Korkmaz (bad pass; steal by L. Galloway),,52,59
2,2:03.0,,L. Galloway misses 2-pt layup from 5 ft (block by F. Korkmaz),52,59
2,2:03.0,,Offensive rebound by Team,52,59
2,1:58.0,,Personal foul by A. Johnson (drawn by R. Jackson),52,59
2,1:58.0,J. Bolden enters the game for A. Johnson,,52,59
2,1:58.0,,R. Jackson makes free throw 1 of 2,52,60
2,1:58.0,,R. Jackson makes free throw 2 of 2,52,61
2,1:47.0,Turnover by J. Bolden (bad pass),,52,61
2,1:32.0,,L. Galloway misses 3-pt jump shot from 23 ft,52,61
2,1:31.0,Defensive rebound by Team,,52,61
2,1:31.0,Personal foul by B. Griffin (drawn by J. Redick),,52,61
2,1:31.0,J. Redick makes free throw 1 of 2,,53,61
2,1:31.0,J. Redick makes free throw 2 of 2,,54,61
2,1:19.0,,B. Griffin makes 2-pt dunk from 5 ft,54,63
2,1:08.0,F. Korkmaz misses 3-pt jump shot from 23 ft,,54,63
2,1:04.0,,Defensive rebound by L. Kennard,54,63
2,0:59.0,,Turnover by R. Jackson (bad pass; steal by F. Korkmaz),54,63
2,0:54.0,J. Redick misses 3-pt jump shot from 28 ft,,54,63
2,0:50.0,,Defensive rebound by B. Griffin,54,63
2,0:44.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by L. Kennard),54,66
2,0:27.0,J. Redick misses 2-pt jump shot from 22 ft,,54,66
2,0:24.0,,Defensive rebound by A. Drummond,54,66
2,0:10.0,,Personal foul by J. Bolden (drawn by B. Griffin),54,66
2,0:10.0,,B. Griffin makes free throw 1 of 2,54,67
2,0:10.0,,B. Brown enters the game for R. Jackson,54,67
2,0:10.0,,B. Griffin makes free throw 2 of 2,54,68
2,0:03.0,J. Redick misses 3-pt jump shot from 27 ft (block by A. Drummond),,54,68
2,0:03.0,Offensive rebound by F. Korkmaz,,54,68
2,0:02.0,F. Korkmaz misses 2-pt layup from 5 ft,,54,68
2,0:02.0,Offensive rebound by B. Simmons,,54,68
2,0:01.0,B. Simmons makes 2-pt dunk at rim,,56,68
2,0:00.0,,L. Galloway misses 3-pt jump shot from 35 ft,56,68
2,0:00.0,,Offensive rebound by Team,56,68
3,11:45.0,,G. Robinson makes 3-pt jump shot from 27 ft (assist by B. Griffin),56,71
3,11:24.0,Personal foul by B. Griffin (drawn by J. Redick),,56,71
3,11:13.0,Turnover by J. Redick (lost ball; steal by A. Drummond),,56,71
3,11:09.0,,R. Jackson misses 2-pt layup from 5 ft (block by B. Simmons),56,71
3,11:04.0,,Offensive rebound by B. Brown,56,71
3,10:50.0,,Turnover by A. Drummond (lost ball; steal by J. Butler),56,71
3,10:48.0,,Violation by Team (kicked ball),56,71
3,10:27.0,J. Butler makes 2-pt jump shot from 10 ft,,58,71
3,10:14.0,,Shooting foul by A. Johnson (drawn by A. Drummond),58,71
3,10:14.0,,A. Drummond makes free throw 1 of 2,58,72
3,10:14.0,,A. Drummond makes free throw 2 of 2,58,73
3,9:59.0,Turnover by A. Johnson (out of bounds lost ball),,58,73
3,9:58.0,,Turnover by B. Griffin (bad pass; steal by W. Chandler),58,73
3,9:51.0,J. Redick makes 3-pt jump shot from 29 ft (assist by W. Chandler),,61,73
3,9:35.0,,G. Robinson misses 2-pt jump shot from 14 ft,61,73
3,9:30.0,Defensive rebound by W. Chandler,,61,73
3,9:27.0,J. Butler makes 3-pt jump shot from 27 ft (assist by B. Simmons),,64,73
3,9:21.0,,Detroit full timeout,64,73
3,9:00.0,,Turnover by Team (shot clock),64,73
3,8:38.0,B. Simmons makes 2-pt jump shot from 4 ft (assist by W. Chandler),,66,73
3,8:16.0,,Shooting foul by A. Johnson (drawn by B. Griffin),66,73
3,8:16.0,,B. Griffin misses free throw 1 of 2,66,73
3,8:16.0,,Offensive rebound by Team,66,73
3,8:16.0,M. Muscala enters the game for A. Johnson,,66,73
3,8:16.0,,B. Griffin makes free throw 2 of 2,66,74
3,8:06.0,M. Muscala makes 2-pt layup from 5 ft (assist by B. Simmons),,68,74
3,7:41.0,,A. Drummond makes 2-pt hook shot from 4 ft,68,76
3,7:24.0,Shooting foul by B. Brown (drawn by J. Butler),,68,76
3,7:24.0,J. Butler makes free throw 1 of 2,,69,76
3,7:24.0,L. Shamet enters the game for J. Redick,,69,76
3,7:24.0,J. Butler makes free throw 2 of 2,,70,76
3,7:01.0,,B. Griffin misses 2-pt jump shot from 5 ft (block by J. Butler),70,76
3,6:58.0,Defensive rebound by W. Chandler,,70,76
3,6:53.0,Turnover by B. Simmons (bad pass; steal by G. Robinson),,70,76
3,6:48.0,,R. Jackson misses 3-pt jump shot from 25 ft,70,76
3,6:44.0,Defensive rebound by B. Simmons,,70,76
3,6:41.0,J. Butler makes 2-pt layup from 2 ft (assist by B. Simmons),,72,76
3,6:22.0,,G. Robinson misses 3-pt jump shot from 23 ft,72,76
3,6:18.0,Defensive rebound by B. Simmons,,72,76
3,6:15.0,L. Shamet misses 3-pt jump shot from 26 ft,,72,76
3,6:11.0,,Defensive rebound by B. Brown,72,76
3,6:02.0,,B. Griffin misses 2-pt layup from 6 ft,72,76
3,5:59.0,,Offensive rebound by G. Robinson,72,76
3,5:58.0,,G. Robinson misses 2-pt jump shot from 13 ft,72,76
3,5:55.0,Defensive rebound by L. Shamet,,72,76
3,5:49.0,W. Chandler misses 3-pt jump shot from 29 ft,,72,76
3,5:46.0,,Defensive rebound by A. Drummond,72,76
3,5:29.0,,A. Drummond misses 2-pt layup from 3 ft,72,76
3,5:26.0,Defensive rebound by B. Simmons,,72,76
3,5:18.0,Shooting foul by A. Drummond (drawn by B. Simmons),,72,76
3,5:18.0,B. Simmons makes free throw 1 of 2,,73,76
3,5:18.0,,J. Calderón enters the game for R. Jackson,73,76
3,5:18.0,,L. Galloway enters the game for G. Robinson,73,76
3,5:18.0,B. Simmons makes free throw 2 of 2,,74,76
3,5:06.0,,Personal foul by W. Chandler (drawn by B. Griffin),74,76
3,4:58.0,,L. Galloway misses 3-pt jump shot from 27 ft,74,76
3,4:58.0,Defensive rebound by Team,,74,76
3,4:58.0,,Loose ball foul by A. Drummond (drawn by M. Muscala),74,76
3,4:47.0,M. Muscala misses 3-pt jump shot from 28 ft,,74,76
3,4:43.0,,Defensive rebound by B. Griffin,74,76
3,4:41.0,,Turnover by B. Griffin (bad pass),74,76
3,4:25.0,J. Butler makes 2-pt layup from 4 ft,,76,76
3,3:58.0,,B. Griffin misses 3-pt jump shot from 27 ft,76,76
3,3:55.0,Defensive rebound by J. Butler,,76,76
3,3:49.0,B. Simmons makes 2-pt layup from 5 ft (assist by J. Butler),,78,76
3,3:32.0,,Shooting foul by W. Chandler (drawn by B. Griffin),78,76
3,3:32.0,,B. Griffin makes free throw 1 of 2,78,77
3,3:32.0,,Z. Pachulia enters the game for A. Drummond,78,77
3,3:32.0,,B. Griffin makes free throw 2 of 2,78,78
3,3:23.0,Personal foul by B. Brown (drawn by J. Butler),,78,78
3,3:23.0,J. Butler makes free throw 1 of 2,,79,78
3,3:23.0,J. Butler makes free throw 2 of 2,,80,78
3,3:06.0,,B. Brown makes 2-pt layup from 4 ft (assist by B. Griffin),80,80
3,2:49.0,M. Muscala misses 3-pt jump shot from 27 ft,,80,80
3,2:47.0,,Defensive rebound by B. Griffin,80,80
3,2:47.0,,Personal foul by B. Simmons (drawn by B. Griffin),80,80
3,2:47.0,Philadelphia full timeout,,80,80
3,2:47.0,T. McConnell enters the game for J. Butler,,80,80
3,2:47.0,J. Redick enters the game for L. Shamet,,80,80
3,2:47.0,,B. Griffin makes free throw 1 of 2,80,81
3,2:47.0,,L. Kennard enters the game for B. Brown,80,81
3,2:47.0,,B. Griffin makes free throw 2 of 2,80,82
3,2:38.0,Personal foul by L. Kennard (drawn by J. Redick),,80,82
3,2:38.0,J. Redick makes free throw 1 of 2,,81,82
3,2:38.0,J. Redick makes free throw 2 of 2,,82,82
3,2:28.0,,Turnover by L. Galloway (offensive foul),82,82
3,2:28.0,,Offensive foul by L. Galloway (drawn by W. Chandler),82,82
3,2:13.0,M. Muscala makes 2-pt jump shot from 17 ft (assist by T. McConnell),,84,82
3,1:54.0,,Personal foul by J. Redick (drawn by Z. Pachulia),84,82
3,1:54.0,,Z. Pachulia makes free throw 1 of 2,84,83
3,1:54.0,,Z. Pachulia makes free throw 2 of 2,84,84
3,1:37.0,J. Redick misses 2-pt jump shot from 21 ft,,84,84
3,1:34.0,,Defensive rebound by Z. Pachulia,84,84
3,1:30.0,,Shooting foul by W. Chandler (drawn by B. Griffin),84,84
3,1:30.0,,B. Griffin makes free throw 1 of 2,84,85
3,1:30.0,L. Shamet enters the game for W. Chandler,,84,85
3,1:30.0,,B. Griffin misses free throw 2 of 2,84,85
3,1:27.0,Defensive rebound by T. McConnell,,84,85
3,1:17.0,J. Redick misses 3-pt jump shot from 26 ft,,84,85
3,1:13.0,,Defensive rebound by B. Griffin,84,85
3,1:10.0,,Shooting foul by J. Redick (drawn by B. Griffin),84,85
3,1:10.0,,B. Griffin misses free throw 1 of 2,84,85
3,1:10.0,,Offensive rebound by Team,84,85
3,1:10.0,,B. Griffin makes free throw 2 of 2,84,86
3,0:53.0,M. Muscala makes 2-pt layup from 3 ft,,86,86
3,0:40.0,,L. Galloway misses 3-pt jump shot from 26 ft,86,86
3,0:37.0,,Offensive rebound by Z. Pachulia,86,86
3,0:36.0,,Z. Pachulia misses 2-pt layup from 2 ft,86,86
3,0:36.0,,Offensive rebound by Z. Pachulia,86,86
3,0:36.0,,Personal foul by M. Muscala (drawn by Z. Pachulia),86,86
3,0:36.0,,Z. Pachulia makes free throw 1 of 2,86,87
3,0:36.0,,Z. Pachulia makes free throw 2 of 2,86,88
3,0:28.0,Turnover by T. McConnell (lost ball; steal by J. Calderón),,86,88
3,0:19.0,,J. Calderón makes 2-pt layup from 2 ft,86,90
3,0:03.0,M. Muscala makes 3-pt jump shot from 23 ft (assist by B. Simmons),,89,90
3,0:01.0,,Z. Pachulia misses 3-pt jump shot from 48 ft,89,90
3,0:00.0,,Offensive rebound by Team,89,90
4,11:52.0,Turnover by L. Shamet (bad pass; steal by J. Calderón),,89,90
4,11:43.0,,J. Leuer makes 2-pt layup from 4 ft (assist by L. Galloway),89,92
4,11:32.0,Turnover by T. McConnell (bad pass; steal by J. Leuer),,89,92
4,11:32.0,,Personal foul by B. Simmons (drawn by L. Kennard),89,92
4,11:20.0,,L. Galloway misses 2-pt jump shot from 5 ft,89,92
4,11:17.0,Defensive rebound by B. Simmons,,89,92
4,11:15.0,Personal foul by Z. Pachulia (drawn by B. Simmons),,89,92
4,11:02.0,M. Muscala makes 3-pt jump shot from 28 ft (assist by J. Redick),,92,92
4,10:50.0,,J. Calderón makes 2-pt jump shot from 16 ft,92,94
4,10:35.0,T. McConnell misses 2-pt jump shot from 10 ft,,92,94
4,10:32.0,,Defensive rebound by L. Galloway,92,94
4,10:23.0,,Z. Pachulia makes 2-pt layup from 4 ft (assist by J. Leuer),92,96
4,10:04.0,Turnover by T. McConnell (bad pass; steal by Z. Pachulia),,92,96
4,10:00.0,,L. Kennard makes 2-pt layup from 3 ft (assist by J. Calderón),92,98
4,10:00.0,Philadelphia full timeout,,92,98
4,10:00.0,J. Butler enters the game for T. McConnell,,92,98
4,10:00.0,W. Chandler enters the game for L. Shamet,,92,98
4,9:51.0,J. Redick misses 3-pt jump shot from 26 ft,,92,98
4,9:47.0,Offensive rebound by J. Butler,,92,98
4,9:43.0,J. Butler makes 2-pt jump shot from 10 ft,,94,98
4,9:43.0,Shooting foul by L. Galloway (drawn by J. Butler),,94,98
4,9:43.0,J. Butler makes free throw 1 of 1,,95,98
4,9:31.0,,Personal foul by M. Muscala (drawn by Z. Pachulia),95,98
4,9:31.0,A. Johnson enters the game for M. Muscala,,95,98
4,9:20.0,,J. Calderón misses 3-pt jump shot from 27 ft,95,98
4,9:18.0,Defensive rebound by W. Chandler,,95,98
4,9:07.0,J. Butler misses 2-pt jump shot from 18 ft,,95,98
4,9:04.0,,Defensive rebound by L. Kennard,95,98
4,8:58.0,,Turnover by J. Calderón (bad pass; steal by B. Simmons),95,98
4,8:52.0,J. Redick misses 3-pt jump shot from 26 ft,,95,98
4,8:49.0,,Defensive rebound by Z. Pachulia,95,98
4,8:46.0,,Detroit full timeout,95,98
4,8:46.0,,A. Drummond enters the game for J. Calderón,95,98
4,8:46.0,,B. Griffin enters the game for J. Leuer,95,98
4,8:46.0,,R. Jackson enters the game for Z. Pachulia,95,98
4,8:36.0,,B. Griffin makes 2-pt layup from 3 ft,95,100
4,8:20.0,Personal foul by R. Jackson (drawn by J. Butler),,95,100
4,8:20.0,,B. Brown enters the game for L. Galloway,95,100
4,8:05.0,J. Butler misses 3-pt jump shot from 23 ft,,95,100
4,8:03.0,Offensive rebound by B. Simmons,,95,100
4,8:01.0,J. Butler misses 3-pt jump shot from 26 ft,,95,100
4,8:00.0,Offensive rebound by Team,,95,100
4,7:56.0,A. Johnson misses 2-pt jump shot from 10 ft,,95,100
4,7:52.0,,Defensive rebound by B. Griffin,95,100
4,7:51.0,,Personal foul by A. Johnson (drawn by B. Griffin),95,100
4,7:51.0,M. Muscala enters the game for A. Johnson,,95,100
4,7:40.0,,Turnover by B. Brown (bad pass; steal by M. Muscala),95,100
4,7:34.0,Personal foul by B. Griffin (drawn by J. Butler),,95,100
4,7:17.0,M. Muscala misses 2-pt layup from 6 ft,,95,100
4,7:12.0,Offensive rebound by J. Butler,,95,100
4,7:11.0,J. Butler makes 2-pt jump shot from 14 ft,,97,100
