QUARTER,TIME_REMAINING,ORLANDO_ACTION,BOSTON_ACTION,ORLANDO_SCORE,BOSTON_SCORE
2,11:49.0,Turnover by A. Gordon (bad pass),,27,27
2,11:26.0,,M. Morris misses 3-pt jump shot from 25 ft,27,27
2,11:24.0,Defensive rebound by T. Ross,,27,27
2,11:15.0,M. Carter-Williams misses 2-pt jump shot from 21 ft,,27,27
2,11:12.0,,Defensive rebound by G. Hayward,27,27
2,11:01.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by G. Hayward),27,30
2,10:50.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,30,30
2,10:39.0,,Personal foul by E. Fournier (drawn by G. Hayward),30,30
2,10:34.0,,G. Hayward makes 2-pt jump shot from 6 ft (assist by D. Theis),30,32
2,10:20.0,E. Fournier misses 2-pt jump shot from 11 ft,,30,32
2,10:19.0,,Defensive rebound by Team,30,32
2,10:18.0,Loose ball foul by K. Birch (drawn by G. Hayward),,30,32
2,10:02.0,,M. Smart misses 3-pt jump shot from 27 ft,30,32
2,10:00.0,Defensive rebound by E. Fournier,,30,32
2,9:49.0,Turnover by T. Ross (bad pass; steal by M. Smart),,30,32
2,9:44.0,,G. Hayward misses 2-pt layup from 2 ft (block by A. Gordon),30,32
2,9:43.0,,Offensive rebound by D. Theis,30,32
2,9:42.0,,D. Theis makes 2-pt layup from 1 ft,30,34
2,9:32.0,T. Ross misses 3-pt jump shot from 27 ft,,30,34
2,9:30.0,,Defensive rebound by M. Morris,30,34
2,9:22.0,,T. Rozier makes 2-pt layup from 3 ft,30,36
2,9:03.0,Shooting foul by D. Theis (drawn by E. Fournier),,30,36
2,9:03.0,E. Fournier makes free throw 1 of 2,,31,36
2,9:03.0,E. Fournier makes free throw 2 of 2,,32,36
2,8:52.0,,T. Rozier makes 3-pt jump shot from 25 ft,32,39
2,8:41.0,Turnover by M. Carter-Williams (bad pass),,32,39
2,8:25.0,,M. Morris misses 2-pt jump shot from 7 ft,32,39
2,8:22.0,Defensive rebound by M. Carter-Williams,,32,39
2,8:15.0,A. Gordon misses 3-pt jump shot from 25 ft,,32,39
2,8:14.0,Offensive rebound by Team,,32,39
2,8:14.0,,J. Brown enters the game for G. Hayward,32,39
2,7:59.0,Personal foul by T. Rozier (drawn by M. Carter-Williams),,32,39
2,7:59.0,W. Iwundu enters the game for E. Fournier,,32,39
2,7:55.0,T. Ross misses 2-pt jump shot from 18 ft,,32,39
2,7:53.0,,Defensive rebound by T. Rozier,32,39
2,7:43.0,,D. Theis makes 2-pt dunk at rim,32,41
2,7:37.0,Orlando full timeout,,32,41
2,7:21.0,K. Birch misses 2-pt layup from 1 ft,,32,41
2,7:19.0,,Defensive rebound by D. Theis,32,41
2,7:17.0,,Turnover by T. Rozier (bad pass),32,41
2,7:17.0,D. Augustin enters the game for K. Birch,,32,41
2,7:17.0,N. Vučević enters the game for M. Carter-Williams,,32,41
2,7:00.0,N. Vučević makes 2-pt jump shot from 11 ft,,34,41
2,6:47.0,,Shooting foul by A. Gordon (drawn by J. Brown),34,41
2,6:47.0,,J. Brown makes free throw 1 of 2,34,42
2,6:47.0,,A. Baynes enters the game for M. Morris,34,42
2,6:47.0,,G. Hayward enters the game for M. Smart,34,42
2,6:47.0,,K. Irving enters the game for D. Theis,34,42
2,6:47.0,,J. Brown misses free throw 2 of 2,34,42
2,6:47.0,Defensive rebound by A. Gordon,,34,42
2,6:34.0,N. Vučević misses 2-pt layup from 2 ft,,34,42
2,6:32.0,,Defensive rebound by A. Baynes,34,42
2,6:20.0,,J. Brown misses 2-pt jump shot from 8 ft,34,42
2,6:19.0,,Offensive rebound by A. Baynes,34,42
2,6:18.0,,A. Baynes misses 2-pt layup from 1 ft,34,42
2,6:17.0,,Offensive rebound by A. Baynes,34,42
2,6:16.0,,A. Baynes makes 2-pt layup from 1 ft,34,44
2,5:57.0,Turnover by W. Iwundu (bad pass; steal by G. Hayward),,34,44
2,5:51.0,,G. Hayward makes 2-pt jump shot from 7 ft,34,46
2,5:36.0,Shooting foul by J. Brown (drawn by T. Ross),,34,46
2,5:36.0,T. Ross makes free throw 1 of 3,,35,46
2,5:36.0,T. Ross makes free throw 2 of 3,,36,46
2,5:36.0,J. Isaac enters the game for A. Gordon,,36,46
2,5:36.0,T. Ross makes free throw 3 of 3,,37,46
2,5:25.0,,G. Hayward misses 3-pt jump shot from 25 ft,37,46
2,5:23.0,Defensive rebound by N. Vučević,,37,46
2,5:04.0,D. Augustin misses 3-pt jump shot from 25 ft,,37,46
2,5:02.0,,Defensive rebound by G. Hayward,37,46
2,4:52.0,,J. Brown makes 2-pt layup at rim (assist by K. Irving),37,48
2,4:42.0,T. Ross misses 3-pt jump shot from 26 ft,,37,48
2,4:40.0,,Defensive rebound by J. Brown,37,48
2,4:32.0,,K. Irving makes 2-pt jump shot from 21 ft (assist by J. Brown),37,50
2,4:04.0,N. Vučević makes 2-pt layup from 1 ft (assist by W. Iwundu),,39,50
2,3:46.0,,T. Rozier misses 3-pt jump shot from 25 ft,39,50
2,3:44.0,Defensive rebound by D. Augustin,,39,50
2,3:37.0,D. Augustin misses 2-pt layup from 4 ft,,39,50
2,3:35.0,Offensive rebound by N. Vučević,,39,50
2,3:34.0,N. Vučević makes 2-pt hook shot from 2 ft,,41,50
2,3:33.0,,Boston full timeout,41,50
2,3:33.0,E. Fournier enters the game for W. Iwundu,,41,50
2,3:33.0,A. Gordon enters the game for T. Ross,,41,50
2,3:33.0,,A. Horford enters the game for A. Baynes,41,50
2,3:33.0,,M. Morris enters the game for J. Brown,41,50
2,3:33.0,,M. Smart enters the game for T. Rozier,41,50
2,3:22.0,,M. Smart misses 3-pt jump shot from 23 ft,41,50
2,3:20.0,Defensive rebound by E. Fournier,,41,50
2,3:10.0,E. Fournier misses 3-pt jump shot from 25 ft,,41,50
2,3:08.0,,Defensive rebound by M. Morris,41,50
2,3:07.0,,Turnover by M. Morris (bad pass; steal by D. Augustin),41,50
2,3:05.0,D. Augustin misses 2-pt layup from 3 ft (block by M. Morris),,41,50
2,3:04.0,,Defensive rebound by K. Irving,41,50
2,2:59.0,,Turnover by K. Irving (bad pass),41,50
2,2:45.0,Turnover by D. Augustin (bad pass; steal by M. Smart),,41,50
2,2:41.0,,G. Hayward makes 2-pt layup from 3 ft (assist by M. Smart),41,52
2,2:22.0,N. Vučević misses 2-pt hook shot from 3 ft,,41,52
2,2:20.0,,Defensive rebound by M. Morris,41,52
2,2:02.0,,M. Morris misses 2-pt jump shot from 11 ft,41,52
2,2:01.0,Defensive rebound by J. Isaac,,41,52
2,1:56.0,D. Augustin misses 3-pt jump shot from 26 ft,,41,52
2,1:54.0,,Defensive rebound by A. Horford,41,52
2,1:38.0,,Turnover by K. Irving (bad pass; steal by E. Fournier),41,52
2,1:34.0,D. Augustin makes 2-pt layup from 2 ft (assist by E. Fournier),,43,52
2,1:15.0,,Turnover by A. Horford (bad pass; steal by N. Vučević),43,52
2,1:09.0,J. Isaac makes 3-pt jump shot from 23 ft (assist by D. Augustin),,46,52
2,0:51.0,,G. Hayward misses 2-pt jump shot from 18 ft,46,52
2,0:49.0,Defensive rebound by J. Isaac,,46,52
2,0:41.0,Personal foul by K. Irving (drawn by D. Augustin),,46,52
2,0:33.0,Turnover by E. Fournier (lost ball; steal by M. Smart),,46,52
2,0:29.0,,M. Morris misses 3-pt jump shot from 25 ft,46,52
2,0:27.0,Defensive rebound by D. Augustin,,46,52
2,0:03.0,A. Gordon makes 2-pt layup from 1 ft (assist by D. Augustin),,48,52
2,0:01.0,,K. Irving misses 2-pt jump shot from 13 ft,48,52
2,0:00.0,,Offensive rebound by Team,48,52
3,11:50.0,Personal foul by A. Horford (drawn by N. Vučević),,48,52
3,11:35.0,D. Augustin makes 3-pt jump shot from 24 ft,,51,52
3,11:13.0,,A. Horford misses 2-pt hook shot from 5 ft,51,52
3,11:11.0,Defensive rebound by A. Gordon,,51,52
3,10:52.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by D. Augustin),,54,52
3,10:36.0,,A. Baynes misses 3-pt jump shot from 25 ft,54,52
3,10:34.0,Defensive rebound by E. Fournier,,54,52
3,10:25.0,A. Gordon misses 3-pt jump shot from 27 ft,,54,52
3,10:22.0,,Defensive rebound by A. Horford,54,52
3,10:08.0,,A. Baynes makes 2-pt jump shot from 17 ft (assist by K. Irving),54,54
3,9:54.0,N. Vučević misses 2-pt hook shot from 7 ft,,54,54
3,9:52.0,,Defensive rebound by A. Baynes,54,54
3,9:45.0,,K. Irving misses 3-pt jump shot from 27 ft,54,54
3,9:42.0,Defensive rebound by J. Isaac,,54,54
3,9:36.0,Personal foul by M. Smart (drawn by J. Isaac),,54,54
3,9:29.0,E. Fournier misses 2-pt layup from 4 ft,,54,54
3,9:28.0,Offensive rebound by N. Vučević,,54,54
3,9:27.0,N. Vučević makes 2-pt layup from 1 ft,,56,54
3,9:11.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by A. Horford),56,57
3,8:57.0,J. Isaac misses 3-pt jump shot from 26 ft,,56,57
3,8:55.0,,Defensive rebound by M. Smart,56,57
3,8:49.0,,A. Horford misses 2-pt layup from 3 ft (block by N. Vučević),56,57
3,8:48.0,Defensive rebound by Team,,56,57
3,8:40.0,Shooting foul by K. Irving (drawn by D. Augustin),,56,57
3,8:40.0,D. Augustin makes free throw 1 of 2,,57,57
3,8:40.0,D. Augustin makes free throw 2 of 2,,58,57
3,8:26.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by A. Baynes),58,60
3,8:06.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by N. Vučević),,61,60
3,7:48.0,,Offensive foul by A. Baynes (drawn by E. Fournier),61,60
3,7:48.0,,Turnover by A. Baynes (offensive foul),61,60
3,7:31.0,J. Isaac makes 3-pt jump shot from 25 ft (assist by E. Fournier),,64,60
3,7:20.0,,Turnover by K. Irving (bad pass; steal by A. Gordon),64,60
3,7:12.0,N. Vučević misses 3-pt jump shot from 25 ft,,64,60
3,7:10.0,,Defensive rebound by G. Hayward,64,60
3,6:58.0,,K. Irving makes 2-pt jump shot from 11 ft (assist by A. Baynes),64,62
3,6:42.0,Turnover by E. Fournier (bad pass; steal by M. Smart),,64,62
3,6:37.0,,Personal foul by A. Gordon (drawn by A. Horford),64,62
3,6:37.0,,Boston full timeout,64,62
3,6:37.0,,M. Morris enters the game for A. Baynes,64,62
3,6:25.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by K. Irving),64,65
3,6:15.0,Personal take foul by G. Hayward (drawn by E. Fournier),,64,65
3,6:15.0,,J. Brown enters the game for M. Smart,64,65
3,6:08.0,E. Fournier makes 2-pt layup from 1 ft,,66,65
3,5:54.0,,A. Horford makes 2-pt jump shot from 18 ft,66,67
3,5:54.0,W. Iwundu enters the game for J. Isaac,,66,67
3,5:34.0,E. Fournier misses 3-pt jump shot from 27 ft,,66,67
3,5:32.0,,Defensive rebound by M. Morris,66,67
3,5:12.0,,Turnover by G. Hayward (bad pass; steal by E. Fournier),66,67
3,5:08.0,D. Augustin makes 2-pt layup from 2 ft,,68,67
3,4:46.0,,G. Hayward makes 2-pt jump shot from 19 ft (assist by A. Horford),68,69
3,4:22.0,Turnover by E. Fournier (bad pass; steal by A. Horford),,68,69
3,4:17.0,,G. Hayward misses 2-pt layup from 2 ft,68,69
3,4:15.0,Defensive rebound by D. Augustin,,68,69
3,4:09.0,A. Gordon makes 2-pt layup from 1 ft (assist by D. Augustin),,70,69
3,4:01.0,,K. Irving misses 2-pt jump shot from 7 ft,70,69
3,3:59.0,Defensive rebound by W. Iwundu,,70,69
3,3:41.0,N. Vučević makes 2-pt hook shot from 5 ft,,72,69
3,3:23.0,,Shooting foul by N. Vučević (drawn by A. Horford),72,69
3,3:23.0,,A. Horford misses free throw 1 of 2,72,69
3,3:23.0,,Offensive rebound by Team,72,69
3,3:23.0,M. Carter-Williams enters the game for D. Augustin,,72,69
3,3:23.0,T. Ross enters the game for E. Fournier,,72,69
3,3:23.0,,T. Rozier enters the game for G. Hayward,72,69
3,3:23.0,,B. Wanamaker enters the game for K. Irving,72,69
3,3:23.0,,A. Horford makes free throw 2 of 2,72,70
3,3:09.0,A. Gordon makes 2-pt layup at rim (assist by N. Vučević),,74,70
3,2:56.0,,A. Horford misses 2-pt jump shot from 14 ft,74,70
3,2:54.0,Defensive rebound by M. Carter-Williams,,74,70
3,2:46.0,M. Carter-Williams misses 2-pt layup from 3 ft,,74,70
3,2:44.0,Offensive rebound by A. Gordon,,74,70
3,2:43.0,A. Gordon misses 2-pt layup from 1 ft,,74,70
3,2:42.0,Offensive rebound by M. Carter-Williams,,74,70
3,2:39.0,N. Vučević misses 3-pt jump shot from 27 ft,,74,70
3,2:37.0,,Defensive rebound by T. Rozier,74,70
3,2:26.0,,Turnover by T. Rozier (bad pass; steal by M. Carter-Williams),74,70
3,2:22.0,W. Iwundu makes 2-pt dunk from 1 ft (assist by A. Gordon),,76,70
3,2:22.0,,Boston full timeout,76,70
3,2:22.0,K. Birch enters the game for N. Vučević,,76,70
3,2:12.0,,A. Horford makes 2-pt hook shot from 7 ft (assist by B. Wanamaker),76,72
3,1:52.0,Shooting foul by J. Brown (drawn by T. Ross),,76,72
3,1:52.0,T. Ross makes free throw 1 of 3,,77,72
3,1:52.0,T. Ross makes free throw 2 of 3,,78,72
3,1:52.0,T. Ross makes free throw 3 of 3,,79,72
3,1:36.0,,T. Rozier makes 2-pt layup from 2 ft,79,74
3,1:25.0,K. Birch misses 2-pt layup from 3 ft,,79,74
3,1:23.0,,Defensive rebound by A. Horford,79,74
3,1:15.0,,B. Wanamaker makes 2-pt jump shot from 3 ft (assist by A. Horford),79,76
3,0:52.0,A. Gordon makes 2-pt jump shot from 9 ft,,81,76
3,0:45.0,,J. Brown makes 2-pt layup from 2 ft (assist by A. Horford),81,78
3,0:37.0,Orlando full timeout,,81,78
3,0:37.0,,D. Theis enters the game for A. Horford,81,78
3,0:29.0,T. Ross misses 3-pt jump shot from 26 ft,,81,78
3,0:26.0,Offensive rebound by A. Gordon,,81,78
3,0:16.0,M. Carter-Williams misses 2-pt layup from 1 ft,,81,78
3,0:15.0,Offensive rebound by K. Birch,,81,78
3,0:14.0,K. Birch makes 2-pt layup from 1 ft,,83,78
3,0:01.0,,T. Rozier misses 3-pt jump shot from 27 ft,83,78
3,0:00.0,Defensive rebound by W. Iwundu,,83,78
4,11:44.0,,G. Hayward makes 2-pt jump shot from 11 ft,83,80
4,11:27.0,T. Ross makes 2-pt jump shot from 17 ft (assist by A. Gordon),,85,80
4,11:19.0,,Personal foul by M. Carter-Williams (drawn by T. Rozier),85,80
4,10:58.0,,G. Hayward misses 3-pt jump shot from 25 ft (block by M. Carter-Williams),85,80
4,10:57.0,,Offensive rebound by Team,85,80
4,10:57.0,,Turnover by Team (shot clock),85,80
4,10:46.0,Shooting foul by T. Rozier (drawn by T. Ross),,85,80
4,10:46.0,T. Ross makes free throw 1 of 3,,86,80
4,10:46.0,T. Ross makes free throw 2 of 3,,87,80
4,10:46.0,T. Ross makes free throw 3 of 3,,88,80
4,10:34.0,,B. Wanamaker misses 3-pt jump shot from 26 ft,88,80
4,10:32.0,Defensive rebound by E. Fournier,,88,80
4,10:26.0,T. Ross makes 3-pt jump shot from 25 ft (assist by E. Fournier),,91,80
4,10:09.0,,B. Wanamaker misses 2-pt layup from 1 ft,91,80
4,10:07.0,Defensive rebound by K. Birch,,91,80
4,10:02.0,E. Fournier misses 2-pt jump shot from 21 ft,,91,80
4,9:59.0,,Defensive rebound by T. Rozier,91,80
4,9:58.0,,Turnover by T. Rozier (lost ball; steal by M. Carter-Williams),91,80
4,9:53.0,T. Ross makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,94,80
4,9:51.0,,Boston full timeout,94,80
4,9:51.0,,K. Irving enters the game for B. Wanamaker,94,80
4,9:34.0,,Turnover by T. Rozier (bad pass; steal by M. Carter-Williams),94,80
4,9:20.0,T. Ross misses 3-pt jump shot from 26 ft,,94,80
4,9:18.0,,Defensive rebound by T. Rozier,94,80
4,9:12.0,,Shooting foul by A. Gordon (drawn by M. Morris),94,80
4,9:12.0,,M. Morris makes free throw 1 of 2,94,81
4,9:12.0,,M. Morris makes free throw 2 of 2,94,82
4,8:57.0,Shooting foul by M. Morris (drawn by E. Fournier),,94,82
4,8:57.0,E. Fournier makes free throw 1 of 2,,95,82
4,8:57.0,J. Martin enters the game for A. Gordon,,95,82
4,8:57.0,,J. Brown enters the game for T. Rozier,95,82
4,8:57.0,E. Fournier makes free throw 2 of 2,,96,82
4,8:37.0,,Shooting foul by J. Martin (drawn by M. Morris),96,82
4,8:37.0,,M. Morris makes free throw 1 of 3,96,83
4,8:37.0,,M. Morris makes free throw 2 of 3,96,84
4,8:37.0,,M. Morris makes free throw 3 of 3,96,85
4,8:21.0,E. Fournier makes 2-pt layup from 1 ft (assist by T. Ross),,98,85
4,8:21.0,Shooting foul by D. Theis (drawn by E. Fournier),,98,85
4,8:21.0,E. Fournier makes free throw 1 of 1,,99,85
4,8:09.0,,K. Irving makes 2-pt jump shot from 16 ft,99,87
4,7:52.0,J. Martin misses 3-pt jump shot from 23 ft,,99,87
4,7:50.0,,Defensive rebound by K. Irving,99,87
4,7:45.0,,J. Brown makes 3-pt jump shot from 24 ft (assist by K. Irving),99,90
4,7:28.0,E. Fournier misses 2-pt jump shot from 8 ft,,99,90
4,7:26.0,,Defensive rebound by D. Theis,99,90
4,7:18.0,,J. Brown makes 3-pt jump shot from 27 ft (assist by K. Irving),99,93
4,7:17.0,Orlando full timeout,,99,93
4,7:17.0,D. Augustin enters the game for K. Birch,,99,93
4,7:17.0,A. Gordon enters the game for M. Carter-Williams,,99,93
4,7:17.0,W. Iwundu enters the game for J. Martin,,99,93
4,7:17.0,N. Vučević enters the game for T. Ross,,99,93
4,6:57.0,W. Iwundu misses 2-pt jump shot from 13 ft,,99,93
4,6:55.0,,Defensive rebound by M. Morris,99,93
4,6:50.0,,G. Hayward misses 2-pt layup from 3 ft (block by A. Gordon),99,93
4,6:47.0,Defensive rebound by D. Augustin,,99,93
4,6:36.0,N. Vučević misses 2-pt hook shot from 7 ft,,99,93
4,6:33.0,,Defensive rebound by M. Morris,99,93
4,6:21.0,,K. Irving misses 2-pt jump shot from 6 ft,99,93
4,6:18.0,,Offensive rebound by K. Irving,99,93
4,6:15.0,,M. Morris misses 3-pt jump shot from 27 ft,99,93
4,6:13.0,Defensive rebound by N. Vučević,,99,93
4,5:59.0,E. Fournier misses 3-pt jump shot from 26 ft,,99,93
4,5:56.0,,Defensive rebound by K. Irving,99,93
4,5:48.0,,Shooting foul by W. Iwundu (drawn by M. Morris),99,93
4,5:48.0,,M. Morris makes free throw 1 of 2,99,94
4,5:48.0,T. Ross enters the game for W. Iwundu,,99,94
4,5:48.0,,M. Morris makes free throw 2 of 2,99,95
4,5:27.0,D. Augustin misses 2-pt jump shot from 12 ft,,99,95
4,5:23.0,,Defensive rebound by K. Irving,99,95
4,5:13.0,,M. Morris misses 3-pt jump shot from 26 ft,99,95
4,5:09.0,Defensive rebound by E. Fournier,,99,95
4,5:02.0,Offensive foul by N. Vučević (drawn by D. Theis),,99,95
4,5:02.0,Turnover by N. Vučević (offensive foul),,99,95
4,5:02.0,,T. Rozier enters the game for M. Morris,99,95
4,4:50.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by G. Hayward),99,98
4,4:32.0,Turnover by A. Gordon (traveling),,99,98
4,4:24.0,,K. Irving misses 2-pt jump shot from 7 ft,99,98
4,4:22.0,Defensive rebound by Team,,99,98
4,4:12.0,N. Vučević misses 2-pt layup from 2 ft (block by D. Theis),,99,98
4,4:10.0,Offensive rebound by N. Vučević,,99,98
4,4:08.0,T. Ross makes 3-pt jump shot from 25 ft (assist by D. Augustin),,102,98
4,3:53.0,,K. Irving makes 2-pt layup from 1 ft (assist by T. Rozier),102,100
4,3:53.0,,Shooting foul by D. Augustin (drawn by K. Irving),102,100
4,3:53.0,,K. Irving makes free throw 1 of 1,102,101
4,3:42.0,E. Fournier makes 2-pt layup from 5 ft (assist by N. Vučević),,104,101
4,3:26.0,,D. Theis makes 2-pt layup from 2 ft (assist by G. Hayward),104,103
4,3:04.0,N. Vučević makes 2-pt layup from 2 ft (assist by T. Ross),,106,103
4,2:50.0,,K. Irving makes 3-pt jump shot from 26 ft,106,106
4,2:33.0,Personal foul by D. Theis (drawn by D. Augustin),,106,106
4,2:27.0,N. Vučević misses 2-pt layup from 3 ft (block by D. Theis),,106,106
4,2:25.0,,Defensive rebound by G. Hayward,106,106
4,2:18.0,,D. Theis misses 2-pt hook shot from 4 ft,106,106
4,2:16.0,Defensive rebound by N. Vučević,,106,106
4,2:01.0,E. Fournier makes 2-pt dunk from 1 ft (assist by D. Augustin),,108,106
4,1:45.0,,J. Brown misses 3-pt jump shot from 23 ft (block by T. Ross),108,106
