QUARTER,TIME_REMAINING,PORTLAND_ACTION,CLEVELAND_ACTION,PORTLAND_SCORE,CLEVELAND_SCORE
1,7:03.0,,M. Dellavedova enters the game for C. Sexton,14,0
1,6:52.0,,K. Love makes 2-pt jump shot from 23 ft (assist by M. Dellavedova),14,2
1,6:34.0,J. Nurkić makes 2-pt layup at rim (assist by D. Lillard),,16,2
1,6:16.0,,J. Clarkson makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),16,5
1,5:59.0,A. Aminu makes 2-pt dunk at rim (assist by J. Nurkić),,18,5
1,5:41.0,,A. Žižić misses 2-pt jump shot from 14 ft,18,5
1,5:39.0,Defensive rebound by J. Nurkić,,18,5
1,5:31.0,M. Harkless misses 2-pt layup from 1 ft,,18,5
1,5:27.0,Offensive rebound by M. Harkless,,18,5
1,5:27.0,M. Harkless makes 2-pt layup from 1 ft,,20,5
1,5:13.0,,J. Clarkson makes 2-pt jump shot from 12 ft (assist by M. Dellavedova),20,7
1,4:56.0,D. Lillard misses 2-pt jump shot from 14 ft,,20,7
1,4:53.0,,Defensive rebound by M. Dellavedova,20,7
1,4:37.0,,J. Clarkson makes 2-pt jump shot from 8 ft,20,9
1,4:25.0,Offensive foul by C. McCollum (drawn by M. Dellavedova),,20,9
1,4:25.0,Turnover by C. McCollum (offensive foul),,20,9
1,4:25.0,Z. Collins enters the game for A. Aminu,,20,9
1,4:25.0,E. Freedom enters the game for J. Nurkić,,20,9
1,4:25.0,,M. Chriss enters the game for K. Love,20,9
1,4:25.0,,L. Nance enters the game for A. Žižić,20,9
1,4:14.0,,M. Dellavedova makes 2-pt jump shot from 6 ft,20,11
1,3:57.0,Turnover by Z. Collins (out of bounds lost ball),,20,11
1,3:57.0,R. Hood enters the game for M. Harkless,,20,11
1,3:40.0,,L. Nance misses 2-pt jump shot from 10 ft,20,11
1,3:38.0,Defensive rebound by Z. Collins,,20,11
1,3:32.0,Shooting foul by M. Chriss (drawn by C. McCollum),,20,11
1,3:32.0,C. McCollum makes free throw 1 of 2,,21,11
1,3:32.0,,D. Nwaba enters the game for C. Osman,21,11
1,3:32.0,C. McCollum makes free throw 2 of 2,,22,11
1,3:12.0,,J. Clarkson misses 3-pt jump shot from 26 ft,22,11
1,3:10.0,Defensive rebound by D. Lillard,,22,11
1,3:03.0,D. Lillard makes 3-pt jump shot from 24 ft,,25,11
1,2:52.0,,Turnover by M. Dellavedova (bad pass),25,11
1,2:52.0,Portland full timeout,,25,11
1,2:52.0,J. Layman enters the game for C. McCollum,,25,11
1,2:37.0,R. Hood misses 2-pt jump shot from 11 ft,,25,11
1,2:35.0,,Defensive rebound by L. Nance,25,11
1,2:19.0,,L. Nance makes 2-pt hook shot from 9 ft (assist by D. Nwaba),25,13
1,2:09.0,Turnover by D. Lillard (bad pass; steal by L. Nance),,25,13
1,2:04.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by L. Nance),25,15
1,1:50.0,Personal foul by D. Nwaba (drawn by J. Layman),,25,15
1,1:46.0,Personal foul by M. Chriss (drawn by D. Lillard),,25,15
1,1:46.0,D. Lillard makes free throw 1 of 2,,26,15
1,1:46.0,D. Lillard makes free throw 2 of 2,,27,15
1,1:25.0,,Turnover by J. Clarkson (lost ball; steal by R. Hood),27,15
1,1:16.0,R. Hood makes 2-pt jump shot from 12 ft,,29,15
1,0:55.0,,M. Chriss makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),29,18
1,0:35.0,D. Lillard misses 3-pt jump shot from 34 ft,,29,18
1,0:32.0,,Defensive rebound by L. Nance,29,18
1,0:14.0,,J. Clarkson misses 2-pt jump shot from 3 ft (block by Z. Collins),29,18
1,0:11.0,Defensive rebound by J. Layman,,29,18
1,0:00.0,J. Layman misses 3-pt jump shot from 24 ft,,29,18
1,0:00.0,,Defensive rebound by Team,29,18
2,11:34.0,,J. Clarkson misses 2-pt jump shot from 21 ft,29,18
2,11:32.0,Defensive rebound by Z. Collins,,29,18
2,11:19.0,Z. Collins makes 2-pt layup from 2 ft (assist by E. Freedom),,31,18
2,10:51.0,,Turnover by Team (shot clock),31,18
2,10:51.0,,C. Sexton enters the game for M. Dellavedova,31,18
2,10:37.0,Turnover by E. Freedom (traveling),,31,18
2,10:23.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by D. Nwaba),31,21
2,10:12.0,Personal foul by L. Nance (drawn by E. Freedom),,31,21
2,10:12.0,,B. Knight enters the game for J. Clarkson,31,21
2,10:00.0,J. Layman makes 2-pt jump shot from 11 ft (assist by S. Curry),,33,21
2,9:41.0,,B. Knight misses 2-pt jump shot from 17 ft,33,21
2,9:41.0,Defensive rebound by E. Freedom,,33,21
2,9:30.0,R. Hood misses 2-pt jump shot from 17 ft,,33,21
2,9:27.0,,Defensive rebound by C. Sexton,33,21
2,9:21.0,,C. Sexton makes 3-pt jump shot from 27 ft (assist by B. Knight),33,24
2,9:06.0,S. Curry makes 3-pt jump shot from 27 ft (assist by E. Freedom),,36,24
2,8:52.0,,N. Stauskas misses 2-pt jump shot from 21 ft,36,24
2,8:50.0,Defensive rebound by R. Hood,,36,24
2,8:36.0,S. Curry makes 3-pt jump shot from 31 ft (assist by Z. Collins),,39,24
2,8:20.0,,L. Nance misses 3-pt jump shot from 26 ft,39,24
2,8:20.0,Defensive rebound by Team,,39,24
2,8:00.0,J. Layman makes 3-pt jump shot from 25 ft (assist by R. Hood),,42,24
2,8:00.0,,Cleveland full timeout,42,24
2,8:00.0,A. Aminu enters the game for Z. Collins,,42,24
2,8:00.0,,K. Love enters the game for L. Nance,42,24
2,8:00.0,,A. Žižić enters the game for D. Nwaba,42,24
2,7:49.0,,A. Žižić misses 2-pt jump shot from 8 ft,42,24
2,7:46.0,Defensive rebound by E. Freedom,,42,24
2,7:27.0,E. Freedom misses 2-pt layup from 1 ft,,42,24
2,7:24.0,,Defensive rebound by K. Love,42,24
2,7:17.0,,B. Knight makes 2-pt jump shot from 20 ft,42,26
2,7:08.0,Offensive foul by S. Curry (drawn by B. Knight),,42,26
2,7:08.0,Turnover by S. Curry (offensive foul),,42,26
2,7:08.0,M. Harkless enters the game for R. Hood,,42,26
2,7:08.0,C. McCollum enters the game for J. Layman,,42,26
2,7:08.0,,C. Osman enters the game for N. Stauskas,42,26
2,6:45.0,,C. Osman makes 2-pt jump shot from 15 ft,42,28
2,6:23.0,A. Aminu misses 2-pt jump shot from 11 ft,,42,28
2,6:20.0,,Defensive rebound by K. Love,42,28
2,6:15.0,,K. Love makes 3-pt jump shot from 26 ft (assist by C. Osman),42,31
2,5:55.0,E. Freedom makes 2-pt hook shot from 9 ft,,44,31
2,5:48.0,,Shooting foul by A. Aminu (drawn by K. Love),44,31
2,5:48.0,,K. Love makes free throw 1 of 2,44,32
2,5:48.0,J. Nurkić enters the game for E. Freedom,,44,32
2,5:48.0,,K. Love makes free throw 2 of 2,44,33
2,5:36.0,S. Curry makes 3-pt jump shot from 27 ft (assist by M. Harkless),,47,33
2,5:16.0,,Shooting foul by S. Curry (drawn by C. Sexton),47,33
2,5:16.0,,C. Sexton makes free throw 1 of 2,47,34
2,5:16.0,,C. Sexton makes free throw 2 of 2,47,35
2,5:06.0,S. Curry makes 3-pt jump shot from 25 ft (assist by M. Harkless),,50,35
2,5:06.0,D. Lillard enters the game for S. Curry,,50,35
2,4:39.0,,C. Osman makes 3-pt jump shot from 23 ft (assist by A. Žižić),50,38
2,4:31.0,C. McCollum makes 3-pt jump shot from 25 ft,,53,38
2,4:08.0,,K. Love misses 2-pt jump shot from 16 ft,53,38
2,4:03.0,,Offensive rebound by C. Osman,53,38
2,4:03.0,,C. Osman misses 2-pt layup at rim,53,38
2,4:01.0,Defensive rebound by J. Nurkić,,53,38
2,3:59.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by A. Aminu),,56,38
2,3:58.0,,Cleveland full timeout,56,38
2,3:44.0,,B. Knight misses 3-pt jump shot from 25 ft,56,38
2,3:42.0,Defensive rebound by M. Harkless,,56,38
2,3:31.0,Turnover by M. Harkless (lost ball; steal by C. Osman),,56,38
2,3:27.0,,Turnover by C. Osman (lost ball; steal by A. Aminu),56,38
2,3:24.0,J. Nurkić makes 2-pt dunk from 1 ft (assist by M. Harkless),,58,38
2,3:08.0,,B. Knight misses 2-pt jump shot from 11 ft,58,38
2,3:05.0,Defensive rebound by J. Nurkić,,58,38
2,2:56.0,C. McCollum makes 2-pt layup at rim (assist by J. Nurkić),,60,38
2,2:36.0,,C. Osman makes 3-pt jump shot from 26 ft,60,41
2,2:12.0,J. Nurkić makes 2-pt hook shot from 13 ft,,62,41
2,2:03.0,,C. Osman makes 2-pt layup from 1 ft,62,43
2,1:48.0,J. Nurkić makes 2-pt jump shot from 19 ft (assist by D. Lillard),,64,43
2,1:30.0,,Turnover by A. Žižić (lost ball; steal by M. Harkless),64,43
2,1:28.0,Shooting foul by C. Osman (drawn by C. McCollum),,64,43
2,1:28.0,C. McCollum makes free throw 1 of 2,,65,43
2,1:28.0,,J. Clarkson enters the game for B. Knight,65,43
2,1:28.0,,L. Nance enters the game for K. Love,65,43
2,1:28.0,C. McCollum makes free throw 2 of 2,,66,43
2,1:11.0,,J. Clarkson misses 2-pt jump shot from 10 ft,66,43
2,1:06.0,,Offensive rebound by J. Clarkson,66,43
2,1:06.0,,J. Clarkson makes 2-pt layup at rim,66,45
2,1:00.0,M. Harkless misses 2-pt layup from 1 ft,,66,45
2,0:58.0,,Defensive rebound by L. Nance,66,45
2,0:51.0,,C. Osman makes 3-pt jump shot from 29 ft (assist by L. Nance),66,48
2,0:34.0,Personal foul by A. Žižić (drawn by D. Lillard),,66,48
2,0:34.0,D. Lillard makes free throw 1 of 2,,67,48
2,0:34.0,D. Lillard makes free throw 2 of 2,,68,48
2,0:25.0,,C. Sexton misses 2-pt jump shot from 10 ft,68,48
2,0:22.0,Defensive rebound by D. Lillard,,68,48
2,0:00.0,M. Harkless makes 3-pt jump shot from 26 ft (assist by D. Lillard),,71,48
3,11:38.0,,B. Knight misses 3-pt jump shot from 26 ft,71,48
3,11:35.0,Defensive rebound by M. Harkless,,71,48
3,11:25.0,A. Aminu misses 2-pt jump shot from 22 ft,,71,48
3,11:23.0,,Defensive rebound by A. Žižić,71,48
3,11:15.0,,Personal foul by M. Harkless (drawn by K. Love),71,48
3,11:07.0,,Shooting foul by C. McCollum (drawn by B. Knight),71,48
3,11:07.0,,B. Knight makes free throw 1 of 2,71,49
3,11:07.0,,B. Knight makes free throw 2 of 2,71,50
3,10:55.0,Turnover by J. Nurkić (bad pass; steal by C. Sexton),,71,50
3,10:46.0,,A. Žižić makes 2-pt layup from 1 ft (assist by K. Love),71,52
3,10:28.0,M. Harkless misses 3-pt jump shot from 25 ft,,71,52
3,10:26.0,,Defensive rebound by K. Love,71,52
3,10:21.0,,C. Sexton misses 2-pt layup from 1 ft,71,52
3,10:18.0,Defensive rebound by M. Harkless,,71,52
3,10:15.0,A. Aminu misses 3-pt jump shot from 26 ft,,71,52
3,10:12.0,,Defensive rebound by K. Love,71,52
3,10:00.0,,Shooting foul by A. Aminu (drawn by K. Love),71,52
3,10:00.0,,K. Love makes free throw 1 of 2,71,53
3,10:00.0,,K. Love makes free throw 2 of 2,71,54
3,9:45.0,Offensive foul by D. Lillard (drawn by C. Sexton),,71,54
3,9:45.0,Turnover by D. Lillard (offensive foul),,71,54
3,9:34.0,,C. Osman misses 3-pt jump shot from 29 ft,71,54
3,9:31.0,,Offensive rebound by K. Love,71,54
3,9:27.0,,C. Osman misses 3-pt jump shot from 23 ft,71,54
3,9:25.0,,Offensive rebound by K. Love,71,54
3,9:25.0,Violation by Team (kicked ball),,71,54
3,9:11.0,,C. Osman makes 2-pt layup from 1 ft,71,56
3,9:11.0,Portland full timeout,,71,56
3,8:57.0,C. McCollum makes 2-pt jump shot from 18 ft (assist by D. Lillard),,73,56
3,8:42.0,,C. Sexton misses 2-pt layup from 1 ft,73,56
3,8:41.0,,Offensive rebound by A. Žižić,73,56
3,8:40.0,,A. Žižić makes 2-pt layup from 1 ft,73,58
3,8:26.0,J. Nurkić makes 2-pt layup from 1 ft (assist by A. Aminu),,75,58
3,8:12.0,,C. Osman makes 2-pt jump shot from 11 ft,75,60
3,8:00.0,A. Aminu misses 3-pt jump shot from 23 ft,,75,60
3,7:57.0,,Defensive rebound by A. Žižić,75,60
3,7:53.0,,K. Love makes 3-pt jump shot from 28 ft (assist by C. Osman),75,63
3,7:37.0,D. Lillard misses 3-pt jump shot from 27 ft,,75,63
3,7:34.0,,Defensive rebound by A. Žižić,75,63
3,7:18.0,,A. Žižić misses 2-pt jump shot from 13 ft,75,63
3,7:16.0,Defensive rebound by C. McCollum,,75,63
3,7:10.0,C. McCollum misses 2-pt jump shot from 7 ft,,75,63
3,7:07.0,,Defensive rebound by C. Osman,75,63
3,7:02.0,,C. Sexton misses 3-pt jump shot from 23 ft,75,63
3,6:59.0,,Offensive rebound by K. Love,75,63
3,6:58.0,,K. Love makes 2-pt layup at rim,75,65
3,6:39.0,A. Aminu misses 2-pt layup from 3 ft,,75,65
3,6:37.0,,Defensive rebound by C. Osman,75,65
3,6:33.0,,C. Sexton misses 3-pt jump shot from 25 ft,75,65
3,6:31.0,Defensive rebound by M. Harkless,,75,65
3,6:25.0,Turnover by C. McCollum (bad pass),,75,65
3,6:10.0,,Personal foul by C. McCollum (drawn by C. Osman),75,65
3,6:10.0,,J. Clarkson enters the game for B. Knight,75,65
3,5:58.0,,C. Osman makes 2-pt layup from 1 ft,75,67
3,5:48.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,77,67
3,5:48.0,Shooting foul by K. Love (drawn by J. Nurkić),,77,67
3,5:48.0,Z. Collins enters the game for A. Aminu,,77,67
3,5:48.0,R. Hood enters the game for M. Harkless,,77,67
3,5:48.0,,M. Chriss enters the game for K. Love,77,67
3,5:48.0,,L. Nance enters the game for A. Žižić,77,67
3,5:48.0,J. Nurkić makes free throw 1 of 1,,78,67
3,5:26.0,,C. Sexton misses 2-pt layup from 1 ft,78,67
3,5:20.0,Defensive rebound by Z. Collins,,78,67
3,5:10.0,Personal take foul by C. Osman (drawn by J. Nurkić),,78,67
3,4:59.0,J. Nurkić misses 2-pt jump shot from 12 ft,,78,67
3,4:57.0,,Defensive rebound by C. Osman,78,67
3,4:50.0,,Personal foul by J. Nurkić (drawn by M. Chriss),78,67
3,4:50.0,,M. Chriss makes free throw 1 of 2,78,68
3,4:50.0,E. Freedom enters the game for J. Nurkić,,78,68
3,4:50.0,,M. Chriss makes free throw 2 of 2,78,69
3,4:36.0,R. Hood misses 2-pt jump shot from 20 ft,,78,69
3,4:33.0,Offensive rebound by R. Hood,,78,69
3,4:30.0,D. Lillard misses 3-pt jump shot from 28 ft,,78,69
3,4:27.0,,Defensive rebound by L. Nance,78,69
3,4:26.0,,L. Nance makes 2-pt layup from 1 ft,78,71
3,4:26.0,,Shooting foul by D. Lillard (drawn by L. Nance),78,71
3,4:26.0,,L. Nance makes free throw 1 of 1,78,72
3,4:08.0,Z. Collins misses 2-pt jump shot from 16 ft,,78,72
3,4:08.0,Offensive rebound by E. Freedom,,78,72
3,4:04.0,E. Freedom makes 2-pt layup at rim,,80,72
3,4:04.0,Shooting foul by C. Osman (drawn by E. Freedom),,80,72
3,4:04.0,E. Freedom makes free throw 1 of 1,,81,72
3,3:52.0,,C. Osman misses 2-pt jump shot from 14 ft,81,72
3,3:50.0,Defensive rebound by E. Freedom,,81,72
3,3:41.0,Shooting foul by M. Chriss (drawn by E. Freedom),,81,72
3,3:41.0,E. Freedom makes free throw 1 of 2,,82,72
3,3:41.0,E. Freedom makes free throw 2 of 2,,83,72
3,3:19.0,,J. Clarkson makes 2-pt jump shot from 20 ft,83,74
3,3:07.0,Shooting foul by M. Chriss (drawn by R. Hood),,83,74
3,3:07.0,R. Hood misses free throw 1 of 2,,83,74
3,3:07.0,Offensive rebound by Team,,83,74
3,3:07.0,J. Layman enters the game for C. McCollum,,83,74
3,3:07.0,,M. Dellavedova enters the game for C. Osman,83,74
3,3:07.0,,D. Nwaba enters the game for C. Sexton,83,74
3,3:07.0,R. Hood misses free throw 2 of 2,,83,74
3,3:05.0,,Defensive rebound by Team,83,74
3,2:51.0,,J. Clarkson misses 3-pt jump shot from 24 ft,83,74
3,2:48.0,Defensive rebound by J. Layman,,83,74
3,2:42.0,D. Lillard misses 3-pt jump shot from 26 ft,,83,74
3,2:40.0,,Defensive rebound by D. Nwaba,83,74
3,2:30.0,,Shooting foul by Z. Collins (drawn by J. Clarkson),83,74
3,2:30.0,,Cleveland full timeout,83,74
3,2:30.0,,J. Clarkson makes free throw 1 of 2,83,75
3,2:30.0,,J. Clarkson makes free throw 2 of 2,83,76
3,2:17.0,Turnover by D. Lillard (out of bounds lost ball),,83,76
3,1:58.0,,L. Nance makes 2-pt layup at rim (assist by D. Nwaba),83,78
3,1:37.0,J. Layman misses 2-pt hook shot from 6 ft,,83,78
3,1:37.0,,Defensive rebound by Team,83,78
3,1:18.0,,M. Dellavedova misses 2-pt jump shot from 16 ft (block by D. Lillard),83,78
3,1:18.0,Defensive rebound by D. Lillard,,83,78
3,1:11.0,Shooting foul by D. Nwaba (drawn by Z. Collins),,83,78
3,1:11.0,Z. Collins makes free throw 1 of 2,,84,78
3,1:11.0,Z. Collins misses free throw 2 of 2,,84,78
3,1:11.0,,Defensive rebound by Team,84,78
3,1:11.0,Loose ball foul by E. Freedom (drawn by M. Chriss),,84,78
3,1:11.0,,M. Chriss makes free throw 1 of 2,84,79
3,1:11.0,S. Curry enters the game for Z. Collins,,84,79
3,1:11.0,,M. Chriss misses free throw 2 of 2,84,79
3,1:09.0,Defensive rebound by E. Freedom,,84,79
3,1:01.0,D. Lillard makes 2-pt layup from 1 ft,,86,79
3,0:39.0,,J. Clarkson misses 2-pt jump shot from 8 ft,86,79
3,0:36.0,,Offensive rebound by L. Nance,86,79
3,0:34.0,,J. Clarkson misses 3-pt jump shot from 25 ft,86,79
3,0:32.0,,Offensive rebound by J. Clarkson,86,79
3,0:32.0,,Shooting foul by E. Freedom (drawn by L. Nance),86,79
3,0:32.0,,L. Nance makes free throw 1 of 2,86,80
3,0:32.0,,L. Nance makes free throw 2 of 2,86,81
3,0:16.0,Personal foul by M. Dellavedova (drawn by D. Lillard),,86,81
3,0:16.0,D. Lillard makes free throw 1 of 2,,87,81
3,0:16.0,D. Lillard makes free throw 2 of 2,,88,81
3,0:01.0,,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by J. Clarkson),88,84
4,11:44.0,E. Freedom makes 2-pt hook shot from 8 ft,,90,84
4,11:23.0,,Shooting foul by R. Hood (drawn by D. Nwaba),90,84
4,11:23.0,,D. Nwaba misses free throw 1 of 2,90,84
4,11:23.0,,Offensive rebound by Team,90,84
4,11:23.0,,D. Nwaba makes free throw 2 of 2,90,85
4,11:10.0,Personal foul by D. Nwaba (drawn by E. Freedom),,90,85
4,11:02.0,C. McCollum misses 2-pt jump shot from 16 ft,,90,85
4,10:59.0,,Defensive rebound by M. Chriss,90,85
4,10:54.0,,D. Nwaba makes 2-pt layup at rim (assist by M. Dellavedova),90,87
4,10:37.0,J. Layman makes 2-pt layup from 2 ft,,92,87
4,10:15.0,,J. Clarkson makes 2-pt layup at rim (assist by L. Nance),92,89
4,10:01.0,S. Curry misses 2-pt jump shot from 23 ft,,92,89
4,9:54.0,,Defensive rebound by J. Clarkson,92,89
4,9:54.0,,Personal take foul by C. McCollum (drawn by J. Clarkson),92,89
4,9:51.0,,Away from play foul by E. Freedom (drawn by M. Dellavedova),92,89
4,9:42.0,,Personal foul by J. Layman (drawn by L. Nance),92,89
4,9:35.0,,M. Chriss misses 3-pt jump shot from 26 ft,92,89
4,9:30.0,Defensive rebound by R. Hood,,92,89
4,9:17.0,Turnover by C. McCollum (bad pass; steal by J. Clarkson),,92,89
4,9:12.0,,J. Clarkson misses 2-pt layup at rim (block by R. Hood),92,89
4,9:08.0,,Offensive rebound by D. Nwaba,92,89
4,9:08.0,Loose ball foul by S. Curry (drawn by L. Nance),,92,89
4,9:08.0,,L. Nance makes free throw 1 of 2,92,90
4,9:08.0,,L. Nance misses free throw 2 of 2,92,90
4,9:06.0,Defensive rebound by J. Layman,,92,90
4,8:47.0,E. Freedom misses 2-pt jump shot from 6 ft (block by M. Chriss),,92,90
4,8:42.0,,Defensive rebound by M. Chriss,92,90
4,8:38.0,,J. Clarkson misses 2-pt layup from 1 ft,92,90
4,8:37.0,,Offensive rebound by M. Chriss,92,90
4,8:37.0,,M. Chriss misses 2-pt layup from 1 ft,92,90
4,8:37.0,Defensive rebound by E. Freedom,,92,90
4,8:37.0,Personal foul by M. Chriss (drawn by E. Freedom),,92,90
4,8:37.0,D. Lillard enters the game for R. Hood,,92,90
4,8:37.0,J. Nurkić enters the game for E. Freedom,,92,90
4,8:28.0,Personal foul by D. Nwaba (drawn by S. Curry),,92,90
4,8:22.0,C. McCollum makes 2-pt layup from 2 ft,,94,90
4,8:00.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,94,90
4,7:57.0,Defensive rebound by J. Nurkić,,94,90
4,7:44.0,S. Curry makes 3-pt jump shot from 31 ft (assist by J. Layman),,97,90
4,7:41.0,,Cleveland full timeout,97,90
4,7:41.0,A. Aminu enters the game for J. Layman,,97,90
4,7:41.0,,K. Love enters the game for M. Chriss,97,90
4,7:41.0,,C. Osman enters the game for D. Nwaba,97,90
4,7:19.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by L. Nance),97,92
4,7:06.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),,100,92
4,6:54.0,,K. Love misses 2-pt layup from 1 ft,100,92
4,6:51.0,Defensive rebound by A. Aminu,,100,92
4,6:49.0,Shooting foul by C. Osman (drawn by C. McCollum),,100,92
4,6:49.0,C. McCollum misses free throw 1 of 2,,100,92
4,6:49.0,Offensive rebound by Team,,100,92
4,6:49.0,,C. Sexton enters the game for M. Dellavedova,100,92
4,6:49.0,C. McCollum misses free throw 2 of 2,,100,92
4,6:43.0,Offensive rebound by J. Nurkić,,100,92
4,6:43.0,J. Nurkić misses 2-pt layup at rim,,100,92
4,6:42.0,,Defensive rebound by C. Osman,100,92
4,6:25.0,,C. Sexton makes 3-pt jump shot from 26 ft (assist by C. Osman),100,95
4,6:09.0,D. Lillard makes 3-pt jump shot from 27 ft,,103,95
4,5:56.0,,Personal foul by C. McCollum (drawn by C. Osman),103,95
4,5:56.0,,C. Osman makes free throw 1 of 2,103,96
4,5:56.0,J. Layman enters the game for C. McCollum,,103,96
4,5:56.0,,C. Osman makes free throw 2 of 2,103,97
4,5:36.0,D. Lillard misses 3-pt jump shot from 27 ft,,103,97
4,5:31.0,,Defensive rebound by C. Osman,103,97
4,5:25.0,,Personal foul by J. Nurkić (drawn by C. Osman),103,97
4,5:25.0,,C. Osman makes free throw 1 of 2,103,98
4,5:25.0,,C. Osman makes free throw 2 of 2,103,99
4,5:09.0,D. Lillard makes 2-pt jump shot from 19 ft (assist by J. Layman),,105,99
4,4:49.0,,Def 3 sec tech foul by Team,105,99
4,4:49.0,,K. Love makes technical free throw,105,100
4,4:42.0,,C. Osman makes 2-pt layup from 1 ft (assist by L. Nance),105,102
4,4:41.0,Portland full timeout,,105,102
4,4:41.0,M. Harkless enters the game for S. Curry,,105,102
4,4:41.0,C. McCollum enters the game for J. Layman,,105,102
4,4:28.0,Shooting foul by K. Love (drawn by J. Nurkić),,105,102
4,4:28.0,J. Nurkić makes free throw 1 of 2,,106,102
4,4:28.0,J. Nurkić makes free throw 2 of 2,,107,102
4,4:16.0,,K. Love misses 2-pt layup from 2 ft (block by A. Aminu),107,102
4,4:13.0,Defensive rebound by M. Harkless,,107,102
4,4:06.0,C. McCollum misses 2-pt jump shot from 20 ft,,107,102
4,4:04.0,Offensive rebound by C. McCollum,,107,102
4,4:01.0,D. Lillard makes 3-pt jump shot from 29 ft (assist by C. McCollum),,110,102
4,3:51.0,,L. Nance misses 3-pt jump shot from 26 ft,110,102
4,3:47.0,Defensive rebound by M. Harkless,,110,102
4,3:38.0,C. McCollum makes 3-pt jump shot from 28 ft (assist by D. Lillard),,113,102
4,3:35.0,,Cleveland full timeout,113,102
4,3:24.0,,C. Osman misses 2-pt jump shot from 8 ft,113,102
4,3:22.0,Defensive rebound by J. Nurkić,,113,102
4,3:06.0,D. Lillard misses 3-pt jump shot from 30 ft,,113,102
4,3:03.0,,Defensive rebound by K. Love,113,102
4,2:56.0,,K. Love misses 3-pt jump shot from 26 ft,113,102
4,2:54.0,Defensive rebound by C. McCollum,,113,102
4,2:51.0,C. McCollum makes 3-pt jump shot from 26 ft,,116,102
4,2:31.0,,J. Clarkson misses 3-pt jump shot from 27 ft,116,102
4,2:28.0,Defensive rebound by D. Lillard,,116,102
