QUARTER,TIME_REMAINING,PHOENIX_ACTION,CLEVELAND_ACTION,PHOENIX_SCORE,CLEVELAND_SCORE
1,5:04.0,,Defensive rebound by K. Love,14,9
1,4:54.0,,C. Osman makes 3-pt jump shot from 23 ft (assist by B. Knight),14,12
1,4:53.0,Phoenix full timeout,,14,12
1,4:53.0,D. Bender enters the game for J. Jackson,,14,12
1,4:53.0,,M. Chriss enters the game for B. Knight,14,12
1,4:53.0,,J. Clarkson enters the game for K. Love,14,12
1,4:53.0,,L. Nance enters the game for A. Žižić,14,12
1,4:36.0,E. Okobo misses 3-pt jump shot from 26 ft,,14,12
1,4:32.0,Offensive rebound by D. Ayton,,14,12
1,4:30.0,Turnover by D. Ayton (bad pass; steal by C. Sexton),,14,12
1,4:24.0,,J. Clarkson makes 2-pt jump shot from 5 ft,14,14
1,4:13.0,Shooting foul by J. Clarkson (drawn by D. Booker),,14,14
1,4:13.0,D. Booker makes free throw 1 of 2,,15,14
1,4:13.0,D. Booker makes free throw 2 of 2,,16,14
1,3:57.0,,C. Sexton makes 2-pt layup from 1 ft (assist by J. Clarkson),16,16
1,3:39.0,D. Bender misses 3-pt jump shot from 26 ft,,16,16
1,3:37.0,,Defensive rebound by C. Osman,16,16
1,3:25.0,,J. Clarkson misses 2-pt hook shot from 7 ft,16,16
1,3:23.0,Defensive rebound by D. Bender,,16,16
1,3:20.0,Offensive foul by D. Booker (drawn by C. Sexton),,16,16
1,3:20.0,Turnover by D. Booker (offensive foul),,16,16
1,3:20.0,,D. Nwaba enters the game for C. Osman,16,16
1,3:14.0,,Shooting foul by E. Okobo (drawn by C. Sexton),16,16
1,3:14.0,J. Crawford enters the game for D. Ayton,,16,16
1,3:14.0,R. Holmes enters the game for E. Okobo,,16,16
1,3:14.0,,C. Sexton makes free throw 1 of 2,16,17
1,3:14.0,,C. Sexton makes free throw 2 of 2,16,18
1,2:51.0,Turnover by D. Booker (lost ball; steal by L. Nance),,16,18
1,2:46.0,,L. Nance makes 2-pt dunk at rim (assist by J. Clarkson),16,20
1,2:29.0,J. Crawford misses 3-pt jump shot from 25 ft,,16,20
1,2:27.0,,Defensive rebound by J. Clarkson,16,20
1,2:15.0,,L. Nance misses 2-pt hook shot from 6 ft,16,20
1,2:10.0,,Offensive rebound by J. Clarkson,16,20
1,2:10.0,,J. Clarkson misses 2-pt layup from 1 ft,16,20
1,2:09.0,Defensive rebound by D. Booker,,16,20
1,2:06.0,Shooting foul by M. Chriss (drawn by K. Oubre),,16,20
1,2:06.0,K. Oubre makes free throw 1 of 2,,17,20
1,2:06.0,M. Bridges enters the game for D. Booker,,17,20
1,2:06.0,,M. Dellavedova enters the game for C. Sexton,17,20
1,2:06.0,K. Oubre misses free throw 2 of 2,,17,20
1,2:03.0,,Defensive rebound by L. Nance,17,20
1,1:48.0,,Turnover by J. Clarkson (bad pass; steal by J. Crawford),17,20
1,1:43.0,J. Crawford makes 3-pt jump shot from 26 ft (assist by M. Bridges),,20,20
1,1:28.0,,J. Clarkson misses 2-pt jump shot from 12 ft,20,20
1,1:26.0,Defensive rebound by D. Bender,,20,20
1,1:17.0,R. Holmes makes 2-pt layup from 1 ft (assist by J. Crawford),,22,20
1,1:03.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,22,20
1,1:01.0,Defensive rebound by R. Holmes,,22,20
1,0:45.0,J. Crawford misses 2-pt layup from 2 ft,,22,20
1,0:42.0,,Defensive rebound by M. Dellavedova,22,20
1,0:40.0,,L. Nance makes 2-pt dunk at rim (assist by D. Nwaba),22,22
1,0:33.0,K. Oubre makes 3-pt jump shot from 25 ft,,25,22
1,0:16.0,,Shooting foul by R. Holmes (drawn by J. Clarkson),25,22
1,0:16.0,,J. Clarkson misses free throw 1 of 2,25,22
1,0:16.0,,Offensive rebound by Team,25,22
1,0:16.0,D. Booker enters the game for D. Bender,,25,22
1,0:16.0,T. Johnson enters the game for K. Oubre,,25,22
1,0:16.0,,J. Clarkson makes free throw 2 of 2,25,23
1,0:00.0,D. Booker makes 3-pt jump shot from 25 ft (assist by M. Bridges),,28,23
2,11:38.0,,M. Dellavedova misses 2-pt jump shot from 6 ft,28,23
2,11:35.0,Defensive rebound by M. Bridges,,28,23
2,11:20.0,R. Holmes misses 2-pt layup from 5 ft (block by M. Dellavedova),,28,23
2,11:20.0,Offensive rebound by R. Holmes,,28,23
2,11:20.0,Turnover by R. Holmes (out of bounds lost ball),,28,23
2,11:06.0,,J. Clarkson makes 2-pt jump shot from 12 ft (assist by M. Dellavedova),28,25
2,10:52.0,J. Crawford misses 2-pt jump shot from 17 ft,,28,25
2,10:49.0,,Defensive rebound by L. Nance,28,25
2,10:45.0,,Shooting foul by D. Bender (drawn by D. Nwaba),28,25
2,10:45.0,,D. Nwaba makes free throw 1 of 2,28,26
2,10:45.0,,D. Nwaba makes free throw 2 of 2,28,27
2,10:28.0,J. Jackson misses 2-pt jump shot from 8 ft,,28,27
2,10:26.0,Offensive rebound by J. Jackson,,28,27
2,10:25.0,J. Jackson misses 2-pt layup from 3 ft (block by D. Nwaba),,28,27
2,10:25.0,Offensive rebound by Team,,28,27
2,10:19.0,R. Holmes makes 2-pt dunk from 1 ft (assist by J. Jackson),,30,27
2,9:56.0,,M. Chriss misses 3-pt jump shot from 24 ft (block by J. Crawford),30,27
2,9:50.0,,Offensive rebound by J. Clarkson,30,27
2,9:49.0,,J. Clarkson makes 2-pt jump shot from 16 ft,30,29
2,9:37.0,J. Jackson makes 2-pt jump shot from 12 ft,,32,29
2,9:27.0,,L. Nance misses 3-pt jump shot from 26 ft,32,29
2,9:24.0,Defensive rebound by D. Bender,,32,29
2,9:18.0,Turnover by J. Crawford (bad pass; steal by L. Nance),,32,29
2,9:18.0,,Personal take foul by M. Bridges (drawn by L. Nance),32,29
2,9:18.0,T. Johnson enters the game for J. Crawford,,32,29
2,9:18.0,,A. Žižić enters the game for M. Chriss,32,29
2,9:02.0,,L. Nance makes 2-pt dunk from 1 ft (assist by M. Dellavedova),32,31
2,8:55.0,J. Jackson makes 2-pt layup from 1 ft (assist by T. Johnson),,34,31
2,8:43.0,,J. Clarkson misses 3-pt jump shot from 24 ft,34,31
2,8:40.0,Defensive rebound by T. Johnson,,34,31
2,8:31.0,D. Bender misses 3-pt jump shot from 25 ft,,34,31
2,8:27.0,,Defensive rebound by D. Nwaba,34,31
2,8:23.0,,Personal foul by R. Holmes (drawn by A. Žižić),34,31
2,8:16.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,34,31
2,8:15.0,,Offensive rebound by Team,34,31
2,8:00.0,,A. Žižić makes 2-pt layup at rim (assist by M. Dellavedova),34,33
2,7:43.0,T. Johnson misses 2-pt jump shot from 8 ft,,34,33
2,7:43.0,Offensive rebound by Team,,34,33
2,7:43.0,Turnover by T. Johnson (traveling),,34,33
2,7:43.0,D. Ayton enters the game for D. Bender,,34,33
2,7:43.0,K. Oubre enters the game for R. Holmes,,34,33
2,7:43.0,,K. Love enters the game for L. Nance,34,33
2,7:43.0,,C. Osman enters the game for D. Nwaba,34,33
2,7:32.0,,K. Love makes 2-pt layup at rim (assist by C. Osman),34,35
2,7:18.0,Personal foul by M. Dellavedova (drawn by D. Ayton),,34,35
2,7:18.0,,B. Knight enters the game for M. Dellavedova,34,35
2,7:04.0,K. Oubre makes 2-pt jump shot from 11 ft,,36,35
2,6:47.0,,Turnover by J. Clarkson (lost ball; steal by M. Bridges),36,35
2,6:37.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by J. Jackson),,39,35
2,6:18.0,,K. Love misses 3-pt jump shot from 24 ft,39,35
2,6:17.0,,Offensive rebound by A. Žižić,39,35
2,6:13.0,,K. Love makes 3-pt jump shot from 23 ft (assist by C. Osman),39,38
2,5:57.0,Personal foul by A. Žižić (drawn by D. Ayton),,39,38
2,5:57.0,,Cleveland full timeout,39,38
2,5:57.0,,C. Sexton enters the game for J. Clarkson,39,38
2,5:49.0,Shooting foul by K. Love (drawn by D. Ayton),,39,38
2,5:49.0,D. Ayton makes free throw 1 of 2,,40,38
2,5:49.0,D. Booker enters the game for J. Jackson,,40,38
2,5:49.0,D. Ayton misses free throw 2 of 2,,40,38
2,5:48.0,,Defensive rebound by K. Love,40,38
2,5:37.0,,K. Love misses 2-pt jump shot from 14 ft,40,38
2,5:35.0,Defensive rebound by T. Johnson,,40,38
2,5:29.0,D. Ayton makes 2-pt jump shot from 18 ft (assist by T. Johnson),,42,38
2,5:15.0,,B. Knight makes 3-pt jump shot from 25 ft (assist by C. Sexton),42,41
2,5:02.0,D. Booker misses 2-pt jump shot from 21 ft,,42,41
2,4:58.0,,Defensive rebound by K. Love,42,41
2,4:56.0,,Turnover by K. Love (bad pass; steal by D. Ayton),42,41
2,4:49.0,D. Booker misses 3-pt jump shot from 24 ft,,42,41
2,4:46.0,,Defensive rebound by A. Žižić,42,41
2,4:41.0,,K. Love makes 2-pt layup from 1 ft (assist by B. Knight),42,43
2,4:41.0,Phoenix full timeout,,42,43
2,4:41.0,J. Jackson enters the game for M. Bridges,,42,43
2,4:26.0,K. Oubre misses 2-pt jump shot from 18 ft,,42,43
2,4:22.0,,Defensive rebound by K. Love,42,43
2,4:17.0,,Turnover by C. Sexton (lost ball; steal by J. Jackson),42,43
2,4:10.0,T. Johnson misses 2-pt layup from 2 ft,,42,43
2,4:07.0,,Defensive rebound by A. Žižić,42,43
2,4:06.0,,Turnover by B. Knight (bad pass; steal by J. Jackson),42,43
2,3:59.0,D. Booker makes 3-pt jump shot from 24 ft (assist by T. Johnson),,45,43
2,3:38.0,,K. Love misses 3-pt jump shot from 27 ft,45,43
2,3:35.0,Defensive rebound by T. Johnson,,45,43
2,3:30.0,Shooting foul by K. Love (drawn by D. Ayton),,45,43
2,3:30.0,D. Ayton makes free throw 1 of 2,,46,43
2,3:30.0,,L. Nance enters the game for A. Žižić,46,43
2,3:30.0,D. Ayton misses free throw 2 of 2,,46,43
2,3:27.0,,Defensive rebound by C. Osman,46,43
2,3:11.0,,C. Sexton misses 2-pt jump shot from 7 ft,46,43
2,3:09.0,,Offensive rebound by L. Nance,46,43
2,3:07.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. Nance),46,46
2,2:48.0,J. Jackson misses 2-pt hook shot from 10 ft,,46,46
2,2:46.0,,Defensive rebound by B. Knight,46,46
2,2:38.0,,B. Knight makes 2-pt layup from 1 ft,46,48
2,2:27.0,Personal foul by B. Knight (drawn by D. Ayton),,46,48
2,2:27.0,D. Ayton makes free throw 1 of 2,,47,48
2,2:27.0,M. Bridges enters the game for J. Jackson,,47,48
2,2:27.0,D. Ayton misses free throw 2 of 2,,47,48
2,2:25.0,,Defensive rebound by C. Osman,47,48
2,2:11.0,,L. Nance makes 2-pt dunk from 1 ft (assist by C. Osman),47,50
2,1:47.0,Shooting foul by K. Love (drawn by T. Johnson),,47,50
2,1:47.0,T. Johnson makes free throw 1 of 2,,48,50
2,1:47.0,T. Johnson makes free throw 2 of 2,,49,50
2,1:23.0,,K. Love makes 2-pt hook shot from 1 ft (assist by L. Nance),49,52
2,1:07.0,D. Booker misses 3-pt jump shot from 26 ft,,49,52
2,1:04.0,,Defensive rebound by L. Nance,49,52
2,0:56.0,,Shooting foul by D. Booker (drawn by K. Love),49,52
2,0:56.0,,K. Love misses free throw 1 of 2,49,52
2,0:56.0,,Offensive rebound by Team,49,52
2,0:56.0,,K. Love makes free throw 2 of 2,49,53
2,0:45.0,D. Booker makes 2-pt layup from 1 ft (assist by M. Bridges),,51,53
2,0:37.0,,C. Sexton misses 2-pt jump shot from 8 ft (block by T. Johnson),51,53
2,0:37.0,,Offensive rebound by Team,51,53
2,0:26.0,,Shooting foul by D. Booker (drawn by B. Knight),51,53
2,0:26.0,,B. Knight makes free throw 1 of 2,51,54
2,0:26.0,,J. Clarkson enters the game for K. Love,51,54
2,0:26.0,,B. Knight makes free throw 2 of 2,51,55
2,0:01.0,D. Booker misses 2-pt jump shot from 14 ft,,51,55
2,0:01.0,,Defensive rebound by Team,51,55
3,11:42.0,,C. Sexton makes 2-pt layup from 1 ft,51,57
3,11:30.0,J. Jackson misses 2-pt jump shot from 2 ft (block by A. Žižić),,51,57
3,11:27.0,Offensive rebound by D. Ayton,,51,57
3,11:26.0,D. Ayton misses 2-pt layup from 1 ft,,51,57
3,11:23.0,Offensive rebound by D. Ayton,,51,57
3,11:22.0,J. Jackson misses 3-pt jump shot from 26 ft,,51,57
3,11:19.0,,Defensive rebound by K. Love,51,57
3,10:59.0,,C. Sexton misses 2-pt jump shot from 13 ft,51,57
3,10:53.0,,Offensive rebound by A. Žižić,51,57
3,10:53.0,,A. Žižić makes 2-pt layup at rim,51,59
3,10:41.0,K. Oubre misses 3-pt jump shot from 22 ft,,51,59
3,10:38.0,,Defensive rebound by K. Love,51,59
3,10:25.0,,C. Sexton misses 3-pt jump shot from 24 ft,51,59
3,10:22.0,Defensive rebound by J. Jackson,,51,59
3,10:17.0,J. Jackson misses 2-pt jump shot from 4 ft,,51,59
3,10:14.0,,Defensive rebound by K. Love,51,59
3,10:09.0,,K. Love misses 3-pt jump shot from 28 ft,51,59
3,10:07.0,Defensive rebound by T. Johnson,,51,59
3,9:52.0,J. Jackson makes 2-pt layup from 1 ft (assist by D. Booker),,53,59
3,9:30.0,,Turnover by C. Osman (bad pass; steal by K. Oubre),53,59
3,9:27.0,K. Oubre makes 2-pt layup from 1 ft,,55,59
3,9:16.0,,Shooting foul by J. Jackson (drawn by A. Žižić),55,59
3,9:16.0,,A. Žižić misses free throw 1 of 2,55,59
3,9:16.0,,Offensive rebound by Team,55,59
3,9:16.0,,A. Žižić makes free throw 2 of 2,55,60
3,9:04.0,Turnover by D. Booker (3 sec),,55,60
3,8:55.0,,K. Love misses 3-pt jump shot from 26 ft,55,60
3,8:53.0,Defensive rebound by K. Oubre,,55,60
3,8:44.0,Turnover by D. Booker (bad pass; steal by C. Sexton),,55,60
3,8:39.0,,C. Sexton makes 2-pt layup from 1 ft,55,62
3,8:38.0,Phoenix full timeout,,55,62
3,8:23.0,D. Booker misses 3-pt jump shot from 23 ft,,55,62
3,8:20.0,,Defensive rebound by A. Žižić,55,62
3,8:06.0,,Personal foul by K. Oubre (drawn by A. Žižić),55,62
3,7:52.0,,C. Osman misses 2-pt jump shot from 22 ft,55,62
3,7:51.0,Defensive rebound by Team,,55,62
3,7:39.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),,57,62
3,7:17.0,,K. Love misses 2-pt jump shot from 18 ft,57,62
3,7:11.0,Defensive rebound by D. Ayton,,57,62
3,7:05.0,D. Booker misses 2-pt jump shot from 9 ft,,57,62
3,7:03.0,,Defensive rebound by A. Žižić,57,62
3,7:00.0,,C. Osman makes 2-pt layup from 1 ft (assist by B. Knight),57,64
3,6:46.0,D. Booker makes 2-pt jump shot from 16 ft (assist by D. Ayton),,59,64
3,6:46.0,Shooting foul by B. Knight (drawn by D. Booker),,59,64
3,6:46.0,D. Booker makes free throw 1 of 1,,60,64
3,6:24.0,,C. Osman makes 3-pt jump shot from 24 ft (assist by C. Sexton),60,67
3,6:13.0,Offensive foul by D. Booker (drawn by B. Knight),,60,67
3,6:13.0,Turnover by D. Booker (offensive foul),,60,67
3,6:13.0,J. Crawford enters the game for D. Booker,,60,67
3,6:03.0,,K. Love makes 3-pt jump shot from 23 ft (assist by C. Osman),60,70
3,6:03.0,Phoenix full timeout,,60,70
3,5:55.0,Personal foul by C. Osman (drawn by K. Oubre),,60,70
3,5:39.0,D. Ayton misses 2-pt hook shot from 10 ft,,60,70
3,5:36.0,,Defensive rebound by K. Love,60,70
3,5:30.0,,Personal foul by K. Oubre (drawn by C. Osman),60,70
3,5:30.0,M. Bridges enters the game for D. Ayton,,60,70
3,5:30.0,R. Holmes enters the game for J. Jackson,,60,70
3,5:21.0,,C. Sexton misses 3-pt jump shot from 23 ft,60,70
3,5:19.0,,Offensive rebound by A. Žižić,60,70
3,5:05.0,,C. Sexton misses 2-pt jump shot from 8 ft (block by T. Johnson),60,70
3,5:05.0,,Offensive rebound by Team,60,70
3,5:05.0,,Turnover by Team (shot clock),60,70
3,4:51.0,T. Johnson misses 3-pt jump shot from 25 ft,,60,70
3,4:47.0,,Defensive rebound by B. Knight,60,70
3,4:37.0,,B. Knight misses 3-pt jump shot from 29 ft,60,70
3,4:37.0,Defensive rebound by Team,,60,70
3,4:37.0,,J. Clarkson enters the game for B. Knight,60,70
3,4:37.0,,L. Nance enters the game for A. Žižić,60,70
3,4:23.0,M. Bridges misses 3-pt jump shot from 28 ft,,60,70
3,4:20.0,Offensive rebound by T. Johnson,,60,70
3,4:16.0,K. Oubre misses 2-pt layup from 1 ft,,60,70
3,4:13.0,,Defensive rebound by L. Nance,60,70
3,4:13.0,D. Booker enters the game for T. Johnson,,60,70
3,4:13.0,,M. Chriss enters the game for K. Love,60,70
3,3:59.0,,C. Osman misses 3-pt jump shot from 26 ft,60,70
3,3:57.0,Defensive rebound by R. Holmes,,60,70
3,3:49.0,R. Holmes makes 2-pt dunk from 1 ft (assist by D. Booker),,62,70
3,3:49.0,,Cleveland full timeout,62,70
3,3:38.0,,Shooting foul by R. Holmes (drawn by M. Chriss),62,70
3,3:38.0,,M. Chriss misses free throw 1 of 2,62,70
3,3:38.0,,Offensive rebound by Team,62,70
3,3:38.0,,M. Chriss makes free throw 2 of 2,62,71
3,3:22.0,D. Booker makes 2-pt jump shot from 17 ft (assist by R. Holmes),,64,71
3,3:04.0,,J. Clarkson misses 2-pt jump shot from 15 ft,64,71
3,3:04.0,,Offensive rebound by L. Nance,64,71
3,3:03.0,,Shooting foul by R. Holmes (drawn by L. Nance),64,71
3,3:03.0,,L. Nance misses free throw 1 of 2,64,71
3,3:03.0,,Offensive rebound by Team,64,71
3,3:03.0,,D. Nwaba enters the game for C. Osman,64,71
3,3:03.0,,L. Nance misses free throw 2 of 2,64,71
3,3:00.0,,Offensive rebound by M. Chriss,64,71
3,2:56.0,,C. Sexton misses 3-pt jump shot from 25 ft,64,71
3,2:55.0,Defensive rebound by K. Oubre,,64,71
3,2:55.0,Personal foul by M. Chriss (drawn by K. Oubre),,64,71
3,2:55.0,,M. Dellavedova enters the game for C. Sexton,64,71
3,2:40.0,M. Bridges misses 3-pt jump shot from 28 ft,,64,71
3,2:37.0,,Defensive rebound by L. Nance,64,71
3,2:25.0,,D. Nwaba misses 2-pt jump shot from 2 ft (block by R. Holmes),64,71
3,2:22.0,Defensive rebound by M. Bridges,,64,71
3,2:16.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by M. Bridges),,67,71
3,2:04.0,,M. Chriss misses 3-pt jump shot from 26 ft,67,71
3,2:02.0,Defensive rebound by R. Holmes,,67,71
3,1:53.0,K. Oubre misses 3-pt jump shot from 27 ft,,67,71
3,1:49.0,Offensive rebound by R. Holmes,,67,71
3,1:37.0,J. Crawford makes 3-pt jump shot from 26 ft (assist by M. Bridges),,70,71
3,1:21.0,,Offensive foul by L. Nance (drawn by J. Crawford),70,71
3,1:21.0,,Turnover by L. Nance (offensive foul),70,71
3,1:07.0,Shooting foul by M. Dellavedova (drawn by D. Booker),,70,71
3,1:07.0,D. Booker makes free throw 1 of 2,,71,71
3,1:07.0,D. Booker makes free throw 2 of 2,,72,71
3,0:54.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),72,74
3,0:34.0,Turnover by D. Booker (bad pass; steal by L. Nance),,72,74
3,0:27.0,,M. Chriss makes 3-pt jump shot from 23 ft (assist by J. Clarkson),72,77
3,0:02.0,Turnover by R. Holmes (lost ball; steal by M. Chriss),,72,77
3,0:00.0,,M. Dellavedova misses 3-pt jump shot from 50 ft,72,77
3,0:00.0,,Offensive rebound by Team,72,77
4,11:46.0,Turnover by M. Bridges (bad pass; steal by M. Dellavedova),,72,77
4,11:44.0,,Shooting foul by J. Crawford (drawn by M. Dellavedova),72,77
4,11:44.0,,M. Dellavedova makes free throw 1 of 2,72,78
4,11:44.0,,M. Dellavedova makes free throw 2 of 2,72,79
4,11:25.0,D. Booker misses 3-pt jump shot from 29 ft,,72,79
4,11:21.0,Offensive rebound by J. Jackson,,72,79
4,11:15.0,Turnover by J. Jackson (lost ball; steal by M. Dellavedova),,72,79
4,11:11.0,,L. Nance makes 2-pt dunk from 2 ft (assist by D. Nwaba),72,81
4,10:56.0,J. Crawford misses 3-pt jump shot from 30 ft,,72,81
4,10:56.0,,Defensive rebound by D. Nwaba,72,81
4,10:48.0,,D. Nwaba makes 2-pt layup from 2 ft,72,83
4,10:48.0,Phoenix full timeout,,72,83
4,10:33.0,D. Booker misses 3-pt jump shot from 30 ft,,72,83
4,10:29.0,,Defensive rebound by M. Dellavedova,72,83
4,10:25.0,,M. Chriss misses 3-pt jump shot from 27 ft,72,83
4,10:22.0,Defensive rebound by J. Jackson,,72,83
4,10:14.0,Personal foul by L. Nance (drawn by D. Ayton),,72,83
4,10:14.0,T. Johnson enters the game for J. Crawford,,72,83
4,10:08.0,D. Booker makes 2-pt layup from 1 ft (assist by D. Ayton),,74,83
4,9:54.0,,M. Chriss makes 2-pt dunk from 2 ft (assist by M. Dellavedova),74,85
4,9:35.0,J. Jackson misses 2-pt jump shot from 10 ft,,74,85
4,9:34.0,Offensive rebound by J. Jackson,,74,85
4,9:34.0,Shooting foul by L. Nance (drawn by J. Jackson),,74,85
4,9:34.0,J. Jackson makes free throw 1 of 2,,75,85
4,9:34.0,K. Oubre enters the game for M. Bridges,,75,85
4,9:34.0,J. Jackson makes free throw 2 of 2,,76,85
4,9:10.0,,J. Clarkson makes 3-pt jump shot from 27 ft (assist by L. Nance),76,88
4,8:59.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by D. Booker),,79,88
4,8:39.0,,Turnover by J. Clarkson (bad pass),79,88
4,8:39.0,,Loose ball foul by L. Nance (drawn by K. Oubre),79,88
4,8:34.0,Personal foul by M. Chriss (drawn by D. Booker),,79,88
4,8:23.0,D. Booker makes 2-pt jump shot from 15 ft,,81,88
4,8:21.0,,Cleveland full timeout,81,88
4,8:21.0,,C. Osman enters the game for M. Chriss,81,88
4,8:05.0,,J. Clarkson misses 3-pt jump shot from 29 ft,81,88
4,8:02.0,Defensive rebound by J. Jackson,,81,88
4,7:41.0,T. Johnson misses 3-pt jump shot from 23 ft,,81,88
4,7:38.0,,Defensive rebound by J. Clarkson,81,88
4,7:31.0,,C. Osman makes 3-pt jump shot from 25 ft (assist by J. Clarkson),81,91
4,7:10.0,D. Ayton misses 2-pt jump shot from 19 ft,,81,91
4,7:08.0,,Defensive rebound by M. Dellavedova,81,91
4,6:59.0,,L. Nance makes 2-pt dunk from 2 ft (assist by M. Dellavedova),81,93
4,6:38.0,J. Jackson misses 2-pt jump shot from 10 ft,,81,93
4,6:38.0,Offensive rebound by D. Ayton,,81,93
4,6:32.0,D. Booker makes 3-pt jump shot from 26 ft (assist by D. Ayton),,84,93
4,6:06.0,,D. Nwaba makes 3-pt jump shot from 23 ft (assist by J. Clarkson),84,96
4,5:57.0,D. Booker makes 2-pt jump shot from 11 ft,,86,96
4,5:41.0,,C. Osman makes 2-pt layup at rim (assist by M. Dellavedova),86,98
4,5:35.0,Turnover by D. Booker (lost ball; steal by D. Nwaba),,86,98
4,5:33.0,,Shooting foul by J. Jackson (drawn by J. Clarkson),86,98
4,5:33.0,Phoenix full timeout,,86,98
4,5:33.0,,C. Sexton enters the game for M. Dellavedova,86,98
4,5:33.0,,A. Žižić enters the game for D. Nwaba,86,98
4,5:33.0,,J. Clarkson makes free throw 1 of 2,86,99
4,5:33.0,,J. Clarkson makes free throw 2 of 2,86,100
4,5:15.0,Turnover by K. Oubre (bad pass; steal by A. Žižić),,86,100
4,4:58.0,,C. Osman misses 2-pt jump shot from 9 ft,86,100
4,4:55.0,Defensive rebound by T. Johnson,,86,100
4,4:54.0,J. Jackson makes 2-pt dunk at rim (assist by T. Johnson),,88,100
