QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CLEVELAND_ACTION,MILWAUKEE_SCORE,CLEVELAND_SCORE
1,8:16.0,D. Wilson enters the game for B. Lopez,,11,7
1,8:16.0,E. İlyasova misses free throw 2 of 2,,11,7
1,8:14.0,,Defensive rebound by A. Žižić,11,7
1,7:54.0,,C. Sexton misses 2-pt jump shot from 16 ft,11,7
1,7:52.0,Defensive rebound by K. Middleton,,11,7
1,7:47.0,Turnover by K. Middleton (traveling),,11,7
1,7:47.0,P. Connaughton enters the game for E. İlyasova,,11,7
1,7:47.0,B. Lopez enters the game for T. Snell,,11,7
1,7:34.0,Violation by Team (kicked ball),,11,7
1,7:29.0,,C. Osman misses 2-pt jump shot from 8 ft,11,7
1,7:27.0,,Offensive rebound by A. Žižić,11,7
1,7:25.0,,K. Love misses 3-pt jump shot from 25 ft,11,7
1,7:23.0,Defensive rebound by E. Bledsoe,,11,7
1,7:16.0,E. Bledsoe misses 3-pt jump shot from 29 ft,,11,7
1,7:12.0,,Defensive rebound by A. Žižić,11,7
1,7:01.0,,C. Osman makes 2-pt jump shot from 12 ft (assist by A. Žižić),11,9
1,6:48.0,E. Bledsoe misses 3-pt jump shot from 30 ft,,11,9
1,6:46.0,,Defensive rebound by K. Love,11,9
1,6:34.0,,C. Sexton makes 2-pt layup from 3 ft (assist by B. Knight),11,11
1,6:33.0,Milwaukee full timeout,,11,11
1,6:33.0,T. Frazier enters the game for E. Bledsoe,,11,11
1,6:33.0,,J. Clarkson enters the game for B. Knight,11,11
1,6:19.0,K. Middleton makes 2-pt jump shot from 12 ft,,13,11
1,5:56.0,,K. Love makes 3-pt jump shot from 29 ft (assist by A. Žižić),13,14
1,5:48.0,D. Wilson misses 3-pt jump shot from 23 ft,,13,14
1,5:45.0,,Defensive rebound by J. Clarkson,13,14
1,5:39.0,,J. Clarkson misses 2-pt jump shot from 13 ft,13,14
1,5:37.0,Defensive rebound by K. Middleton,,13,14
1,5:23.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by D. Wilson),,16,14
1,5:02.0,,C. Sexton misses 2-pt layup from 2 ft (block by B. Lopez),16,14
1,4:58.0,Defensive rebound by B. Lopez,,16,14
1,4:56.0,P. Connaughton misses 3-pt jump shot from 25 ft,,16,14
1,4:53.0,,Defensive rebound by K. Love,16,14
1,4:48.0,,C. Osman makes 2-pt layup from 2 ft (assist by C. Sexton),16,16
1,4:29.0,K. Middleton misses 2-pt layup from 1 ft,,16,16
1,4:27.0,,Defensive rebound by J. Clarkson,16,16
1,4:23.0,,Shooting foul by T. Frazier (drawn by K. Love),16,16
1,4:23.0,,K. Love makes free throw 1 of 3,16,17
1,4:23.0,,K. Love makes free throw 2 of 3,16,18
1,4:23.0,T. Snell enters the game for K. Middleton,,16,18
1,4:23.0,,T. Thompson enters the game for A. Žižić,16,18
1,4:23.0,,K. Love makes free throw 3 of 3,16,19
1,4:07.0,B. Lopez makes 2-pt jump shot from 10 ft,,18,19
1,3:57.0,,J. Clarkson makes 2-pt jump shot from 14 ft,18,21
1,3:31.0,Turnover by Team (shot clock),,18,21
1,3:31.0,,L. Nance enters the game for K. Love,18,21
1,3:13.0,,L. Nance makes 3-pt jump shot from 27 ft (assist by C. Sexton),18,24
1,2:54.0,T. Snell misses 2-pt layup from 5 ft,,18,24
1,2:51.0,,Defensive rebound by T. Thompson,18,24
1,2:49.0,,Turnover by C. Sexton (bad pass; steal by D. Wilson),18,24
1,2:47.0,Shooting foul by T. Thompson (drawn by D. Wilson),,18,24
1,2:47.0,D. Wilson makes free throw 1 of 2,,19,24
1,2:47.0,D. Wilson makes free throw 2 of 2,,20,24
1,2:47.0,E. İlyasova enters the game for B. Lopez,,20,24
1,2:47.0,,N. Stauskas enters the game for C. Osman,20,24
1,2:32.0,,J. Clarkson misses 2-pt jump shot from 10 ft,20,24
1,2:29.0,Defensive rebound by E. İlyasova,,20,24
1,2:22.0,E. İlyasova makes 2-pt layup at rim (assist by T. Snell),,22,24
1,2:22.0,,B. Knight enters the game for C. Sexton,22,24
1,2:02.0,,B. Knight misses 2-pt jump shot from 15 ft,22,24
1,1:59.0,Defensive rebound by D. Wilson,,22,24
1,1:39.0,T. Frazier misses 2-pt jump shot from 9 ft,,22,24
1,1:37.0,,Defensive rebound by N. Stauskas,22,24
1,1:24.0,,J. Clarkson makes 2-pt jump shot from 11 ft,22,26
1,1:14.0,E. İlyasova misses 3-pt jump shot from 25 ft,,22,26
1,1:12.0,,Defensive rebound by T. Thompson,22,26
1,1:05.0,,T. Thompson makes 2-pt layup from 2 ft (assist by J. Clarkson),22,28
1,1:05.0,,Shooting foul by E. İlyasova (drawn by T. Thompson),22,28
1,1:05.0,E. Bledsoe enters the game for P. Connaughton,,22,28
1,1:05.0,,T. Thompson makes free throw 1 of 1,22,29
1,0:52.0,T. Snell makes 2-pt dunk from 1 ft (assist by D. Wilson),,24,29
1,0:30.0,,B. Knight misses 3-pt jump shot from 26 ft,24,29
1,0:28.0,Defensive rebound by T. Snell,,24,29
1,0:10.0,E. Bledsoe misses 2-pt jump shot from 9 ft,,24,29
1,0:08.0,,Defensive rebound by L. Nance,24,29
1,0:03.0,,Shooting foul by E. İlyasova (drawn by N. Stauskas),24,29
1,0:03.0,,N. Stauskas makes free throw 1 of 2,24,30
1,0:03.0,,N. Stauskas misses free throw 2 of 2,24,30
1,0:01.0,Defensive rebound by E. Bledsoe,,24,30
2,12:00.0,,Technical foul by M. Budenholzer,24,30
2,12:00.0,,J. Clarkson makes technical free throw,24,31
2,12:00.0,Technical foul by E. Bledsoe,,24,31
2,12:00.0,,J. Clarkson makes technical free throw,24,32
2,11:51.0,,Turnover by (8 sec),24,32
2,11:38.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),,26,32
2,11:21.0,,J. Clarkson misses 2-pt jump shot from 13 ft,26,32
2,11:16.0,,Offensive rebound by T. Thompson,26,32
2,11:16.0,,T. Thompson makes 2-pt layup at rim,26,34
2,11:13.0,E. Bledsoe makes 2-pt jump shot from 13 ft,,28,34
2,11:13.0,Shooting foul by B. Knight (drawn by E. Bledsoe),,28,34
2,11:13.0,P. Connaughton enters the game for T. Frazier,,28,34
2,11:13.0,E. Bledsoe makes free throw 1 of 1,,29,34
2,10:55.0,,B. Knight misses 3-pt jump shot from 25 ft,29,34
2,10:53.0,,Offensive rebound by N. Stauskas,29,34
2,10:48.0,,J. Clarkson makes 2-pt jump shot from 12 ft (assist by N. Stauskas),29,36
2,10:30.0,Personal foul by L. Nance (drawn by K. Middleton),,29,36
2,10:25.0,D. Wilson misses 2-pt jump shot from 19 ft,,29,36
2,10:21.0,,Defensive rebound by J. Clarkson,29,36
2,10:11.0,,Turnover by J. Clarkson (bad pass; steal by D. Wilson),29,36
2,10:05.0,T. Snell misses 2-pt jump shot from 22 ft,,29,36
2,10:02.0,,Defensive rebound by J. Clarkson,29,36
2,9:46.0,,N. Stauskas makes 3-pt jump shot from 27 ft (assist by L. Nance),29,39
2,9:32.0,T. Snell makes 3-pt jump shot from 24 ft (assist by D. Wilson),,32,39
2,9:22.0,,Cleveland full timeout,32,39
2,9:22.0,B. Lopez enters the game for T. Snell,,32,39
2,9:22.0,,D. Nwaba enters the game for T. Thompson,32,39
2,9:15.0,,Shooting foul by B. Lopez (drawn by N. Stauskas),32,39
2,9:15.0,,N. Stauskas makes free throw 1 of 2,32,40
2,9:15.0,,N. Stauskas misses free throw 2 of 2,32,40
2,9:14.0,Defensive rebound by D. Wilson,,32,40
2,8:58.0,K. Middleton misses 2-pt jump shot from 17 ft,,32,40
2,8:56.0,Offensive rebound by E. Bledsoe,,32,40
2,8:52.0,Turnover by E. Bledsoe (bad pass; steal by L. Nance),,32,40
2,8:33.0,,B. Knight makes 3-pt jump shot from 26 ft (assist by L. Nance),32,43
2,8:16.0,P. Connaughton makes 3-pt jump shot from 29 ft (assist by E. Bledsoe),,35,43
2,7:57.0,,B. Knight misses 3-pt jump shot from 25 ft,35,43
2,7:54.0,Defensive rebound by D. Wilson,,35,43
2,7:44.0,Turnover by D. Wilson (bad pass; steal by J. Clarkson),,35,43
2,7:39.0,,L. Nance makes 2-pt dunk from 2 ft (assist by B. Knight),35,45
2,7:21.0,B. Lopez makes 2-pt layup at rim (assist by E. Bledsoe),,37,45
2,7:10.0,,B. Knight makes 2-pt jump shot from 14 ft,37,47
2,7:10.0,,Shooting foul by P. Connaughton (drawn by B. Knight),37,47
2,7:10.0,T. Snell enters the game for D. Wilson,,37,47
2,7:10.0,,K. Love enters the game for J. Clarkson,37,47
2,7:10.0,,C. Sexton enters the game for L. Nance,37,47
2,7:10.0,,B. Knight makes free throw 1 of 1,37,48
2,6:56.0,P. Connaughton misses 3-pt jump shot from 32 ft,,37,48
2,6:53.0,,Defensive rebound by K. Love,37,48
2,6:47.0,,D. Nwaba misses 2-pt layup from 9 ft (block by K. Middleton),37,48
2,6:43.0,,Offensive rebound by D. Nwaba,37,48
2,6:40.0,,Turnover by K. Love (bad pass; steal by E. Bledsoe),37,48
2,6:35.0,Offensive foul by T. Snell (drawn by B. Knight),,37,48
2,6:35.0,Turnover by T. Snell (offensive foul),,37,48
2,6:35.0,T. Frazier enters the game for E. Bledsoe,,37,48
2,6:21.0,,K. Love misses 3-pt jump shot from 26 ft,37,48
2,6:17.0,Defensive rebound by T. Frazier,,37,48
2,6:12.0,Personal foul by D. Nwaba (drawn by K. Middleton),,37,48
2,6:12.0,,C. Osman enters the game for N. Stauskas,37,48
2,5:58.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by B. Lopez),,39,48
2,5:48.0,,C. Sexton makes 2-pt layup from 2 ft (assist by B. Knight),39,50
2,5:32.0,B. Lopez misses 3-pt jump shot from 30 ft,,39,50
2,5:29.0,Offensive rebound by P. Connaughton,,39,50
2,5:25.0,K. Middleton misses 2-pt jump shot from 7 ft,,39,50
2,5:22.0,,Defensive rebound by K. Love,39,50
2,5:13.0,,K. Love misses 3-pt jump shot from 27 ft,39,50
2,5:12.0,,Offensive rebound by D. Nwaba,39,50
2,5:12.0,,D. Nwaba makes 2-pt layup from 1 ft,39,52
2,5:12.0,Milwaukee full timeout,,39,52
2,5:12.0,D. Wilson enters the game for K. Middleton,,39,52
2,5:12.0,,T. Thompson enters the game for B. Knight,39,52
2,4:56.0,B. Lopez misses 2-pt jump shot from 18 ft (block by D. Nwaba),,39,52
2,4:52.0,,Defensive rebound by K. Love,39,52
2,4:36.0,,C. Osman misses 2-pt jump shot from 20 ft (block by T. Snell),39,52
2,4:33.0,Defensive rebound by D. Wilson,,39,52
2,4:23.0,T. Frazier misses 3-pt jump shot from 27 ft,,39,52
2,4:19.0,,Defensive rebound by K. Love,39,52
2,4:13.0,,C. Sexton makes 3-pt jump shot from 25 ft (assist by C. Osman),39,55
2,3:57.0,T. Frazier misses 2-pt layup at rim,,39,55
2,3:55.0,,Defensive rebound by C. Sexton,39,55
2,3:51.0,,Turnover by C. Sexton (lost ball; steal by P. Connaughton),39,55
2,3:48.0,Personal foul by D. Nwaba (drawn by T. Frazier),,39,55
2,3:37.0,D. Wilson misses 2-pt jump shot from 12 ft,,39,55
2,3:34.0,,Defensive rebound by K. Love,39,55
2,3:18.0,,D. Nwaba misses 3-pt jump shot from 23 ft,39,55
2,3:16.0,,Offensive rebound by T. Thompson,39,55
2,3:12.0,,C. Sexton misses 3-pt jump shot from 28 ft,39,55
2,3:09.0,,Offensive rebound by D. Nwaba,39,55
2,3:02.0,,K. Love misses 3-pt jump shot from 24 ft,39,55
2,3:00.0,Defensive rebound by T. Snell,,39,55
2,2:44.0,B. Lopez misses 2-pt jump shot from 15 ft,,39,55
2,2:41.0,,Defensive rebound by T. Thompson,39,55
2,2:33.0,,K. Love misses 3-pt jump shot from 25 ft,39,55
2,2:31.0,Defensive rebound by P. Connaughton,,39,55
2,2:31.0,E. Bledsoe enters the game for T. Frazier,,39,55
2,2:31.0,E. İlyasova enters the game for T. Snell,,39,55
2,2:31.0,K. Middleton enters the game for D. Wilson,,39,55
2,2:31.0,,J. Clarkson enters the game for D. Nwaba,39,55
2,2:11.0,E. Bledsoe makes 2-pt jump shot from 18 ft (assist by P. Connaughton),,41,55
2,2:00.0,,Turnover by J. Clarkson (lost ball; steal by E. Bledsoe),41,55
2,1:55.0,E. Bledsoe makes 2-pt dunk from 2 ft,,43,55
2,1:32.0,,T. Thompson makes 2-pt hook shot from 7 ft,43,57
2,1:20.0,K. Middleton makes 2-pt layup from 1 ft (assist by B. Lopez),,45,57
2,1:07.0,,C. Sexton misses 2-pt jump shot from 11 ft,45,57
2,1:05.0,Defensive rebound by B. Lopez,,45,57
2,0:58.0,E. Bledsoe misses 2-pt layup from 3 ft,,45,57
2,0:58.0,,Defensive rebound by C. Osman,45,57
2,0:53.0,,Shooting foul by P. Connaughton (drawn by C. Osman),45,57
2,0:53.0,,C. Osman misses free throw 1 of 2,45,57
2,0:53.0,,Offensive rebound by Team,45,57
2,0:53.0,D. Wilson enters the game for B. Lopez,,45,57
2,0:53.0,,C. Osman makes free throw 2 of 2,45,58
2,0:39.0,E. Bledsoe misses 2-pt layup from 1 ft,,45,58
2,0:39.0,Offensive rebound by Team,,45,58
2,0:35.0,E. İlyasova misses 2-pt jump shot from 23 ft,,45,58
2,0:32.0,Offensive rebound by K. Middleton,,45,58
2,0:31.0,D. Wilson makes 2-pt dunk at rim (assist by K. Middleton),,47,58
2,0:12.0,,C. Sexton misses 2-pt layup from 1 ft,47,58
2,0:11.0,Defensive rebound by K. Middleton,,47,58
2,0:07.0,D. Wilson misses 2-pt layup from 2 ft,,47,58
2,0:03.0,,Defensive rebound by T. Thompson,47,58
2,0:01.0,,J. Clarkson misses 3-pt jump shot from 27 ft,47,58
2,0:00.0,Defensive rebound by K. Middleton,,47,58
3,11:47.0,,C. Sexton makes 2-pt layup from 2 ft (assist by B. Knight),47,60
3,11:47.0,,Shooting foul by K. Middleton (drawn by C. Sexton),47,60
3,11:47.0,,C. Sexton makes free throw 1 of 1,47,61
3,11:37.0,E. İlyasova makes 2-pt jump shot from 14 ft (assist by E. Bledsoe),,49,61
3,11:18.0,,K. Love misses 2-pt jump shot from 18 ft,49,61
3,11:16.0,Defensive rebound by B. Lopez,,49,61
3,11:09.0,Shooting foul by K. Love (drawn by E. Bledsoe),,49,61
3,11:09.0,E. Bledsoe misses free throw 1 of 2,,49,61
3,11:09.0,Offensive rebound by Team,,49,61
3,11:09.0,E. Bledsoe makes free throw 2 of 2,,50,61
3,10:59.0,,C. Osman misses 3-pt jump shot from 25 ft,50,61
3,10:56.0,Defensive rebound by T. Snell,,50,61
3,10:47.0,K. Middleton misses 3-pt jump shot from 25 ft,,50,61
3,10:45.0,,Defensive rebound by B. Knight,50,61
3,10:40.0,,B. Knight makes 2-pt layup from 1 ft,50,63
3,10:29.0,B. Lopez misses 3-pt jump shot from 29 ft,,50,63
3,10:27.0,,Defensive rebound by K. Love,50,63
3,10:13.0,,Turnover by B. Knight (bad pass; steal by K. Middleton),50,63
3,10:13.0,Personal take foul by B. Knight (drawn by K. Middleton),,50,63
3,9:59.0,Turnover by K. Middleton (traveling),,50,63
3,9:47.0,,K. Love misses 3-pt jump shot from 24 ft,50,63
3,9:45.0,Defensive rebound by T. Snell,,50,63
3,9:34.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by B. Lopez),,53,63
3,9:21.0,,Turnover by C. Sexton (out of bounds lost ball),53,63
3,9:11.0,B. Lopez makes 2-pt layup from 2 ft (assist by E. Bledsoe),,55,63
3,9:10.0,,Cleveland full timeout,55,63
3,9:10.0,,L. Nance enters the game for K. Love,55,63
3,8:47.0,,C. Osman misses 3-pt jump shot from 25 ft,55,63
3,8:45.0,Defensive rebound by E. İlyasova,,55,63
3,8:40.0,Turnover by E. Bledsoe (bad pass; steal by L. Nance),,55,63
3,8:29.0,,A. Žižić misses 2-pt hook shot from 9 ft,55,63
3,8:26.0,Defensive rebound by E. İlyasova,,55,63
3,8:18.0,K. Middleton misses 2-pt layup from 2 ft,,55,63
3,8:16.0,,Defensive rebound by L. Nance,55,63
3,8:13.0,,Personal foul by T. Snell (drawn by C. Sexton),55,63
3,8:06.0,,B. Knight makes 3-pt jump shot from 27 ft,55,66
3,7:48.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by E. İlyasova),,58,66
3,7:27.0,,L. Nance misses 3-pt jump shot from 25 ft,58,66
3,7:25.0,Defensive rebound by K. Middleton,,58,66
3,7:14.0,K. Middleton makes 2-pt jump shot from 12 ft,,60,66
3,6:57.0,,Turnover by L. Nance (bad pass; steal by B. Lopez),60,66
3,6:42.0,E. Bledsoe misses 2-pt layup from 1 ft,,60,66
3,6:36.0,Offensive rebound by E. İlyasova,,60,66
3,6:36.0,E. İlyasova makes 2-pt layup at rim,,62,66
3,6:30.0,,B. Knight misses 3-pt jump shot from 27 ft,62,66
3,6:28.0,Defensive rebound by K. Middleton,,62,66
3,6:24.0,Shooting foul by C. Osman (drawn by K. Middleton),,62,66
3,6:24.0,K. Middleton makes free throw 1 of 2,,63,66
3,6:24.0,P. Connaughton enters the game for E. İlyasova,,63,66
3,6:24.0,D. Wilson enters the game for T. Snell,,63,66
3,6:24.0,,M. Chriss enters the game for B. Knight,63,66
3,6:24.0,,J. Clarkson enters the game for A. Žižić,63,66
3,6:24.0,K. Middleton makes free throw 2 of 2,,64,66
3,6:04.0,,C. Sexton misses 3-pt jump shot from 26 ft,64,66
3,6:01.0,Defensive rebound by K. Middleton,,64,66
3,5:53.0,B. Lopez makes 3-pt jump shot from 22 ft (assist by P. Connaughton),,67,66
3,5:31.0,,J. Clarkson makes 2-pt jump shot from 16 ft,67,68
3,5:24.0,Personal foul by C. Osman (drawn by K. Middleton),,67,68
3,5:17.0,K. Middleton misses 2-pt jump shot from 19 ft,,67,68
3,5:14.0,,Defensive rebound by L. Nance,67,68
3,5:03.0,,C. Sexton makes 3-pt jump shot from 26 ft (assist by L. Nance),67,71
3,4:45.0,D. Wilson misses 2-pt jump shot from 15 ft,,67,71
3,4:45.0,Offensive rebound by Team,,67,71
3,4:45.0,T. Frazier enters the game for E. Bledsoe,,67,71
3,4:43.0,K. Middleton makes 2-pt jump shot from 21 ft (assist by D. Wilson),,69,71
3,4:27.0,,J. Clarkson makes 2-pt jump shot from 12 ft,69,73
3,4:04.0,P. Connaughton makes 3-pt jump shot from 23 ft (assist by D. Wilson),,72,73
3,3:37.0,,M. Chriss misses 3-pt jump shot from 23 ft,72,73
3,3:34.0,Defensive rebound by B. Lopez,,72,73
3,3:28.0,K. Middleton misses 2-pt layup from 1 ft (block by L. Nance),,72,73
3,3:28.0,Offensive rebound by Team,,72,73
3,3:28.0,,D. Nwaba enters the game for C. Osman,72,73
3,3:24.0,B. Lopez makes 2-pt hook shot from 14 ft (assist by P. Connaughton),,74,73
3,2:59.0,,C. Sexton makes 2-pt jump shot from 17 ft (assist by L. Nance),74,75
3,2:59.0,Milwaukee full timeout,,74,75
3,2:41.0,P. Connaughton misses 2-pt jump shot from 7 ft (block by L. Nance),,74,75
3,2:36.0,,Defensive rebound by L. Nance,74,75
3,2:32.0,,Turnover by J. Clarkson (bad pass; steal by P. Connaughton),74,75
3,2:16.0,T. Frazier misses 3-pt jump shot from 23 ft,,74,75
3,2:16.0,,Defensive rebound by Team,74,75
3,2:16.0,E. İlyasova enters the game for B. Lopez,,74,75
3,2:16.0,T. Snell enters the game for K. Middleton,,74,75
3,1:55.0,,Turnover by M. Chriss (bad pass; steal by D. Wilson),74,75
3,1:55.0,E. Bledsoe enters the game for T. Frazier,,74,75
3,1:42.0,E. İlyasova misses 2-pt jump shot from 10 ft,,74,75
3,1:37.0,Offensive rebound by E. İlyasova,,74,75
3,1:37.0,E. İlyasova makes 2-pt layup at rim,,76,75
3,1:25.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by L. Nance),76,77
3,1:03.0,Shooting foul by L. Nance (drawn by E. Bledsoe),,76,77
3,1:03.0,E. Bledsoe makes free throw 1 of 2,,77,77
3,1:03.0,E. Bledsoe makes free throw 2 of 2,,78,77
3,0:44.0,,J. Clarkson makes 3-pt jump shot from 26 ft,78,80
3,0:40.0,D. Wilson misses 3-pt jump shot from 23 ft,,78,80
3,0:37.0,Offensive rebound by T. Snell,,78,80
3,0:36.0,T. Snell misses 2-pt jump shot from 10 ft (block by D. Nwaba),,78,80
3,0:35.0,Offensive rebound by E. Bledsoe,,78,80
3,0:33.0,E. Bledsoe misses 2-pt layup from 3 ft,,78,80
3,0:31.0,,Defensive rebound by C. Sexton,78,80
3,0:27.0,,Shooting foul by T. Snell (drawn by M. Chriss),78,80
3,0:27.0,,M. Chriss misses free throw 1 of 2,78,80
3,0:27.0,,Offensive rebound by Team,78,80
3,0:27.0,K. Middleton enters the game for D. Wilson,,78,80
3,0:27.0,,M. Chriss makes free throw 2 of 2,78,81
3,0:06.0,T. Snell makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,81,81
3,0:00.0,,C. Sexton misses 3-pt jump shot from 26 ft,81,81
3,0:00.0,,Offensive rebound by Team,81,81
4,11:46.0,T. Snell misses 2-pt layup from 3 ft,,81,81
4,11:43.0,,Defensive rebound by A. Žižić,81,81
4,11:31.0,,Shooting foul by D. Wilson (drawn by D. Nwaba),81,81
4,11:31.0,,D. Nwaba makes free throw 1 of 2,81,82
4,11:31.0,,D. Nwaba makes free throw 2 of 2,81,83
4,11:10.0,E. Bledsoe misses 2-pt jump shot from 10 ft (block by A. Žižić),,81,83
4,11:06.0,,Defensive rebound by J. Clarkson,81,83
4,11:02.0,,D. Nwaba misses 2-pt jump shot from 9 ft,81,83
4,10:58.0,,Offensive rebound by A. Žižić,81,83
4,10:56.0,,A. Žižić makes 2-pt layup at rim,81,85
4,10:36.0,E. İlyasova misses 3-pt jump shot from 25 ft,,81,85
4,10:32.0,,Defensive rebound by N. Stauskas,81,85
4,10:23.0,,N. Stauskas misses 3-pt jump shot from 23 ft,81,85
4,10:21.0,,Offensive rebound by A. Žižić,81,85
4,10:20.0,,D. Nwaba misses 2-pt layup from 1 ft (block by E. İlyasova),81,85
4,10:20.0,,Offensive rebound by Team,81,85
4,10:20.0,B. Lopez enters the game for T. Snell,,81,85
4,10:20.0,K. Middleton enters the game for D. Wilson,,81,85
4,10:13.0,,N. Stauskas misses 2-pt layup at rim (block by B. Lopez),81,85
4,10:09.0,Defensive rebound by K. Middleton,,81,85
4,10:05.0,Shooting foul by D. Nwaba (drawn by B. Lopez),,81,85
4,10:05.0,B. Lopez makes free throw 1 of 2,,82,85
4,10:05.0,B. Lopez makes free throw 2 of 2,,83,85
4,9:46.0,,Shooting foul by K. Middleton (drawn by A. Žižić),83,85
4,9:46.0,,A. Žižić misses free throw 1 of 2,83,85
4,9:46.0,,Offensive rebound by Team,83,85
4,9:46.0,,A. Žižić misses free throw 2 of 2,83,85
4,9:44.0,Defensive rebound by E. İlyasova,,83,85
4,9:36.0,Shooting foul by A. Žižić (drawn by P. Connaughton),,83,85
4,9:36.0,P. Connaughton misses free throw 1 of 2,,83,85
4,9:36.0,Offensive rebound by Team,,83,85
4,9:36.0,P. Connaughton makes free throw 2 of 2,,84,85
4,9:23.0,,J. Clarkson misses 2-pt jump shot from 10 ft,84,85
4,9:23.0,,Offensive rebound by A. Žižić,84,85
4,9:23.0,,Shooting foul by E. İlyasova (drawn by A. Žižić),84,85
4,9:23.0,,A. Žižić makes free throw 1 of 2,84,86
4,9:23.0,,A. Žižić makes free throw 2 of 2,84,87
4,9:17.0,Turnover by E. Bledsoe (traveling),,84,87
4,9:04.0,,A. Žižić misses 2-pt jump shot from 17 ft,84,87
4,9:01.0,Defensive rebound by E. İlyasova,,84,87
4,8:44.0,E. İlyasova misses 2-pt jump shot from 7 ft,,84,87
4,8:40.0,,Defensive rebound by B. Knight,84,87
4,8:26.0,,N. Stauskas misses 3-pt jump shot from 23 ft,84,87
4,8:24.0,Defensive rebound by K. Middleton,,84,87
4,8:05.0,K. Middleton misses 3-pt jump shot from 26 ft,,84,87
4,8:02.0,,Defensive rebound by D. Nwaba,84,87
4,7:57.0,,B. Knight misses 3-pt jump shot from 24 ft,84,87
4,7:54.0,Defensive rebound by E. Bledsoe,,84,87
4,7:47.0,Milwaukee full timeout,,84,87
4,7:47.0,T. Snell enters the game for P. Connaughton,,84,87
4,7:47.0,D. Wilson enters the game for E. İlyasova,,84,87
4,7:38.0,T. Snell misses 3-pt jump shot from 23 ft,,84,87
4,7:34.0,,Defensive rebound by A. Žižić,84,87
4,7:21.0,,B. Knight misses 2-pt jump shot from 8 ft,84,87
4,7:16.0,,A. Žižić makes 2-pt layup from 1 ft,84,89
4,7:16.0,,Offensive rebound by A. Žižić,84,89
4,7:15.0,E. Bledsoe misses 2-pt layup from 3 ft,,84,89
4,7:14.0,Offensive rebound by D. Wilson,,84,89
4,7:14.0,Shooting foul by A. Žižić (drawn by D. Wilson),,84,89
4,7:14.0,D. Wilson makes free throw 1 of 2,,85,89
4,7:14.0,D. Wilson makes free throw 2 of 2,,86,89
4,6:57.0,,D. Nwaba misses 2-pt jump shot from 10 ft,86,89
4,6:46.0,,Offensive rebound by A. Žižić,86,89
4,6:46.0,,A. Žižić makes 2-pt layup from 1 ft,86,91
