QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
1,1:04.0,K. Towns makes free throw 1 of 2,,27,22
1,1:04.0,K. Towns makes free throw 2 of 2,,28,22
1,0:47.0,,C. Paul makes 2-pt jump shot from 18 ft,28,24
1,0:34.0,K. Towns makes 2-pt hook shot from 10 ft,,30,24
1,0:14.0,,I. Shumpert makes 2-pt layup from 2 ft (assist by D. House),30,26
1,0:14.0,Violation by Team (def goaltending),,30,26
1,0:00.0,K. Towns misses 3-pt jump shot from 26 ft,,30,26
1,0:00.0,Offensive rebound by Team,,30,26
2,11:47.0,,C. Paul misses 2-pt jump shot from 11 ft,30,26
2,11:45.0,Defensive rebound by A. Wiggins,,30,26
2,11:32.0,A. Wiggins misses 2-pt jump shot from 17 ft,,30,26
2,11:30.0,,Defensive rebound by D. House,30,26
2,11:18.0,,N. Hilário misses 2-pt jump shot from 11 ft,30,26
2,11:16.0,Defensive rebound by J. Bayless,,30,26
2,11:05.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Bayless),,32,26
2,10:51.0,,E. Gordon misses 2-pt layup from 1 ft (block by A. Wiggins),32,26
2,10:49.0,Defensive rebound by A. Wiggins,,32,26
2,10:45.0,Turnover by J. Bayless (bad pass; steal by N. Hilário),,32,26
2,10:28.0,,E. Gordon misses 3-pt jump shot from 23 ft,32,26
2,10:26.0,Defensive rebound by C. Reynolds,,32,26
2,10:10.0,T. Gibson misses 2-pt hook shot from 9 ft,,32,26
2,10:08.0,,Defensive rebound by D. House,32,26
2,9:54.0,,G. Green misses 2-pt layup from 1 ft,32,26
2,9:52.0,Defensive rebound by T. Gibson,,32,26
2,9:32.0,A. Tolliver misses 2-pt jump shot from 12 ft,,32,26
2,9:30.0,Offensive rebound by T. Gibson,,32,26
2,9:30.0,T. Gibson makes 2-pt dunk from 2 ft,,34,26
2,9:10.0,,G. Green misses 3-pt jump shot from 25 ft,34,26
2,9:08.0,Defensive rebound by J. Bayless,,34,26
2,8:58.0,A. Wiggins misses 3-pt jump shot from 27 ft,,34,26
2,8:55.0,,Defensive rebound by G. Green,34,26
2,8:49.0,,C. Paul makes 3-pt jump shot from 26 ft,34,29
2,8:37.0,Personal foul by N. Hilário (drawn by T. Gibson),,34,29
2,8:37.0,,C. Capela enters the game for N. Hilário,34,29
2,8:28.0,Turnover by A. Wiggins (lost ball; steal by G. Green),,34,29
2,8:22.0,,Personal foul by J. Bayless (drawn by C. Capela),34,29
2,8:11.0,,D. House makes 2-pt layup from 1 ft (assist by C. Paul),34,31
2,7:55.0,Turnover by A. Wiggins (lost ball; steal by G. Green),,34,31
2,7:49.0,,G. Green misses 3-pt jump shot from 25 ft,34,31
2,7:47.0,Defensive rebound by A. Wiggins,,34,31
2,7:33.0,Shooting foul by G. Green (drawn by T. Gibson),,34,31
2,7:33.0,,Houston full timeout,34,31
2,7:33.0,J. Okogie enters the game for C. Reynolds,,34,31
2,7:33.0,,J. Harden enters the game for G. Green,34,31
2,7:33.0,,I. Shumpert enters the game for D. House,34,31
2,7:33.0,,P. Tucker enters the game for C. Paul,34,31
2,7:33.0,T. Gibson misses free throw 1 of 2,,34,31
2,7:33.0,Offensive rebound by Team,,34,31
2,7:33.0,T. Gibson makes free throw 2 of 2,,35,31
2,7:23.0,,J. Harden misses 3-pt jump shot from 26 ft,35,31
2,7:23.0,Defensive rebound by Team,,35,31
2,7:02.0,T. Gibson makes 2-pt jump shot from 13 ft (assist by J. Okogie),,37,31
2,6:50.0,,I. Shumpert misses 3-pt jump shot from 23 ft,37,31
2,6:49.0,Defensive rebound by T. Gibson,,37,31
2,6:38.0,A. Wiggins misses 2-pt jump shot from 22 ft,,37,31
2,6:35.0,,Defensive rebound by I. Shumpert,37,31
2,6:28.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by I. Shumpert),37,34
2,6:08.0,J. Bayless makes 2-pt layup from 1 ft (assist by T. Gibson),,39,34
2,5:56.0,,E. Gordon makes 3-pt jump shot from 28 ft (assist by C. Capela),39,37
2,5:36.0,T. Gibson misses 2-pt hook shot from 7 ft (block by C. Capela),,39,37
2,5:33.0,Offensive rebound by T. Gibson,,39,37
2,5:32.0,T. Gibson misses 2-pt layup from 1 ft,,39,37
2,5:31.0,Offensive rebound by J. Bayless,,39,37
2,5:23.0,Offensive foul by J. Okogie (drawn by C. Capela),,39,37
2,5:23.0,Turnover by J. Okogie (offensive foul),,39,37
2,5:23.0,T. Jones enters the game for J. Bayless,,39,37
2,5:23.0,D. Šarić enters the game for T. Gibson,,39,37
2,5:23.0,K. Towns enters the game for A. Tolliver,,39,37
2,5:13.0,,E. Gordon misses 3-pt jump shot from 24 ft,39,37
2,5:11.0,Defensive rebound by K. Towns,,39,37
2,5:07.0,Personal foul by P. Tucker (drawn by D. Šarić),,39,37
2,4:56.0,K. Towns misses 2-pt jump shot from 18 ft,,39,37
2,4:54.0,,Defensive rebound by C. Capela,39,37
2,4:45.0,,J. Harden makes 2-pt jump shot from 6 ft,39,39
2,4:38.0,Minnesota full timeout,,39,39
2,4:38.0,,C. Paul enters the game for E. Gordon,39,39
2,4:20.0,J. Okogie makes 2-pt jump shot from 15 ft,,41,39
2,4:04.0,,Offensive foul by J. Harden (drawn by J. Okogie),41,39
2,4:04.0,,Turnover by J. Harden (offensive foul),41,39
