QUARTER,TIME_REMAINING,HOUSTON_ACTION,TORONTO_ACTION,HOUSTON_SCORE,TORONTO_SCORE
2,7:28.0,,P. McCaw enters the game for N. Powell,42,23
2,7:09.0,,M. Gasol makes 2-pt hook shot from 8 ft,42,25
2,6:50.0,Turnover by P. Tucker (lost ball; steal by K. Leonard),,42,25
2,6:41.0,,Shooting foul by P. Tucker (drawn by K. Leonard),42,25
2,6:41.0,,K. Leonard makes free throw 1 of 2,42,26
2,6:41.0,J. Harden enters the game for G. Green,,42,26
2,6:41.0,,K. Leonard makes free throw 2 of 2,42,27
2,6:32.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by C. Paul),,45,27
2,6:12.0,,K. Lowry misses 2-pt layup from 3 ft,45,27
2,6:10.0,Defensive rebound by E. Gordon,,45,27
2,6:00.0,C. Capela makes 2-pt hook shot from 3 ft (assist by C. Paul),,47,27
2,6:00.0,Shooting foul by M. Gasol (drawn by C. Capela),,47,27
2,6:00.0,A. Rivers enters the game for C. Paul,,47,27
2,6:00.0,,S. Ibaka enters the game for O. Anunoby,47,27
2,6:00.0,,P. Siakam enters the game for M. Gasol,47,27
2,6:00.0,C. Capela misses free throw 1 of 1,,47,27
2,5:58.0,,Defensive rebound by S. Ibaka,47,27
2,5:46.0,,K. Leonard misses 2-pt jump shot from 6 ft,47,27
2,5:43.0,Defensive rebound by C. Capela,,47,27
2,5:33.0,Offensive foul by C. Capela (drawn by K. Lowry),,47,27
2,5:33.0,Turnover by C. Capela (offensive foul),,47,27
2,5:19.0,,Personal foul by C. Capela (drawn by K. Leonard),47,27
2,5:07.0,,K. Leonard misses 2-pt jump shot from 20 ft,47,27
2,5:05.0,Defensive rebound by A. Rivers,,47,27
2,5:00.0,C. Capela makes 2-pt layup from 3 ft (assist by J. Harden),,49,27
2,4:46.0,,P. McCaw makes 3-pt jump shot from 23 ft (assist by S. Ibaka),49,30
2,4:35.0,Turnover by E. Gordon (step out of bounds),,49,30
2,4:35.0,,D. Green enters the game for P. McCaw,49,30
2,4:29.0,,Turnover by K. Lowry (bad pass; steal by P. Tucker),49,30
2,4:23.0,J. Harden misses 2-pt layup from 4 ft,,49,30
2,4:23.0,,Defensive rebound by Team,49,30
2,4:23.0,Loose ball foul by J. Harden (drawn by S. Ibaka),,49,30
2,4:07.0,,K. Leonard misses 2-pt jump shot from 10 ft,49,30
2,4:04.0,,Offensive rebound by S. Ibaka,49,30
2,4:01.0,,K. Lowry misses 3-pt jump shot from 26 ft,49,30
2,4:01.0,,Offensive rebound by P. Siakam,49,30
2,3:51.0,,P. Siakam misses 2-pt jump shot from 6 ft,49,30
2,3:47.0,,Offensive rebound by P. Siakam,49,30
2,3:47.0,,P. Siakam makes 2-pt layup from 1 ft,49,32
2,3:27.0,J. Harden misses 3-pt jump shot from 26 ft,,49,32
2,3:23.0,,Defensive rebound by P. Siakam,49,32
2,3:14.0,,D. Green makes 3-pt jump shot from 23 ft (assist by P. Siakam),49,35
2,3:14.0,Houston full timeout,,49,35
2,3:14.0,C. Paul enters the game for E. Gordon,,49,35
2,2:55.0,J. Harden misses 3-pt jump shot from 26 ft,,49,35
2,2:53.0,,Defensive rebound by S. Ibaka,49,35
2,2:42.0,,Turnover by K. Lowry (bad pass; steal by J. Harden),49,35
2,2:29.0,J. Harden makes 2-pt jump shot from 4 ft,,51,35
2,2:29.0,,Violation by Team (def goaltending),51,35
2,2:06.0,,S. Ibaka misses 2-pt jump shot from 10 ft,51,35
2,2:03.0,Defensive rebound by C. Capela,,51,35
2,1:54.0,A. Rivers makes 2-pt jump shot from 7 ft (assist by P. Tucker),,53,35
2,1:38.0,,K. Leonard misses 2-pt hook shot from 5 ft (block by C. Capela),53,35
2,1:35.0,Defensive rebound by C. Capela,,53,35
2,1:17.0,P. Tucker misses 3-pt jump shot from 23 ft,,53,35
2,1:15.0,Offensive rebound by C. Capela,,53,35
2,1:03.0,J. Harden misses 3-pt jump shot from 25 ft,,53,35
2,1:02.0,,Defensive rebound by Team,53,35
2,1:02.0,N. Hilário enters the game for C. Capela,,53,35
2,0:47.0,,D. Green misses 3-pt jump shot from 23 ft,53,35
2,0:44.0,,Offensive rebound by K. Lowry,53,35
2,0:40.0,,S. Ibaka makes 2-pt hook shot from 2 ft (assist by K. Lowry),53,37
2,0:31.0,C. Paul misses 2-pt layup from 8 ft,,53,37
2,0:27.0,,Defensive rebound by S. Ibaka,53,37
2,0:26.0,,Turnover by S. Ibaka (lost ball; steal by C. Paul),53,37
2,0:08.0,J. Harden makes 2-pt layup from 1 ft,,55,37
2,0:03.0,,Personal foul by A. Rivers (drawn by P. Siakam),55,37
2,0:00.0,,K. Lowry misses 2-pt layup from 2 ft,55,37
2,0:00.0,,Offensive rebound by Team,55,37
3,11:46.0,,P. Siakam makes 3-pt jump shot from 25 ft (assist by K. Leonard),55,40
3,11:19.0,E. Gordon misses 2-pt layup from 5 ft (block by S. Ibaka),,55,40
3,11:19.0,,Defensive rebound by D. Green,55,40
3,11:06.0,,K. Leonard makes 2-pt jump shot from 13 ft,55,42
3,10:39.0,J. Harden misses 2-pt layup from 4 ft (block by S. Ibaka),,55,42
3,10:39.0,,Defensive rebound by S. Ibaka,55,42
3,10:39.0,,Personal foul by J. Harden (drawn by S. Ibaka),55,42
3,10:24.0,,K. Leonard misses 2-pt jump shot from 6 ft,55,42
3,10:20.0,Defensive rebound by C. Capela,,55,42
3,10:09.0,C. Paul misses 2-pt jump shot from 9 ft,,55,42
3,10:06.0,,Defensive rebound by S. Ibaka,55,42
3,9:53.0,,Personal foul by C. Paul (drawn by K. Leonard),55,42
3,9:44.0,,K. Leonard misses 3-pt jump shot from 25 ft,55,42
3,9:42.0,,Offensive rebound by S. Ibaka,55,42
3,9:34.0,,P. Siakam makes 3-pt jump shot from 22 ft (assist by K. Lowry),55,45
3,9:16.0,Shooting foul by S. Ibaka (drawn by C. Capela),,55,45
3,9:16.0,C. Capela misses free throw 1 of 2,,55,45
3,9:16.0,Offensive rebound by Team,,55,45
3,9:16.0,C. Capela makes free throw 2 of 2,,56,45
3,9:04.0,,S. Ibaka makes 2-pt hook shot from 3 ft (assist by K. Lowry),56,47
3,9:04.0,,Shooting foul by J. Harden (drawn by S. Ibaka),56,47
3,9:04.0,,S. Ibaka misses free throw 1 of 1,56,47
3,9:02.0,Defensive rebound by P. Tucker,,56,47
3,8:48.0,J. Harden misses 2-pt jump shot from 4 ft,,56,47
3,8:45.0,,Defensive rebound by K. Lowry,56,47
3,8:36.0,,P. Siakam misses 3-pt jump shot from 23 ft,56,47
3,8:36.0,Defensive rebound by Team,,56,47
3,8:36.0,,Loose ball foul by K. Lowry (drawn by E. Gordon),56,47
3,8:36.0,,Technical foul by K. Lowry,56,47
3,8:36.0,J. Harden makes technical free throw,,57,47
3,8:13.0,P. Tucker misses 3-pt jump shot from 23 ft,,57,47
3,8:12.0,,Defensive rebound by Team,57,47
3,7:57.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by K. Lowry),57,49
