QUARTER,TIME_REMAINING,MIAMI_ACTION,HOUSTON_ACTION,MIAMI_SCORE,HOUSTON_SCORE
3,9:04.0,Turnover by K. Olynyk (bad pass; steal by C. Paul),,79,61
3,8:59.0,,Turnover by J. Harden (bad pass),79,61
3,8:44.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,82,61
3,8:24.0,,G. Clark makes 3-pt jump shot from 25 ft (assist by J. Harden),82,64
3,8:05.0,Turnover by K. Olynyk (out of bounds lost ball),,82,64
3,7:59.0,,Shooting foul by K. Olynyk (drawn by J. Harden),82,64
3,7:59.0,,J. Harden makes free throw 1 of 2,82,65
3,7:59.0,,J. Harden makes free throw 2 of 2,82,66
3,7:43.0,J. Richardson misses 3-pt jump shot from 24 ft,,82,66
3,7:42.0,,Defensive rebound by C. Paul,82,66
3,7:21.0,,J. Harden makes 3-pt jump shot from 25 ft,82,69
3,7:05.0,J. Winslow makes 2-pt jump shot from 20 ft,,84,69
3,6:54.0,,G. Clark misses 3-pt jump shot from 25 ft,84,69
3,6:52.0,Defensive rebound by J. Winslow,,84,69
3,6:43.0,Turnover by D. Waiters (bad pass),,84,69
3,6:43.0,,Houston full timeout,84,69
3,6:43.0,,G. Green enters the game for G. Clark,84,69
3,6:43.0,,A. Rivers enters the game for C. Paul,84,69
3,6:21.0,,J. Harden misses 3-pt jump shot from 24 ft,84,69
3,6:19.0,Defensive rebound by K. Olynyk,,84,69
3,6:05.0,Personal foul by P. Tucker (drawn by K. Olynyk),,84,69
3,5:56.0,D. Waiters misses 3-pt jump shot from 25 ft,,84,69
3,5:54.0,,Defensive rebound by P. Tucker,84,69
3,5:48.0,,J. Harden misses 3-pt jump shot from 26 ft,84,69
3,5:47.0,,Offensive rebound by P. Tucker,84,69
3,5:43.0,,G. Green makes 3-pt jump shot from 23 ft (assist by P. Tucker),84,72
3,5:40.0,Miami full timeout,,84,72
3,5:40.0,D. Jones enters the game for K. Olynyk,,84,72
3,5:40.0,D. Wade enters the game for J. Richardson,,84,72
3,5:23.0,D. Wade makes 2-pt layup from 1 ft (assist by J. Winslow),,86,72
3,5:10.0,,G. Green makes 3-pt jump shot from 26 ft (assist by A. Rivers),86,75
3,4:49.0,D. Wade misses 3-pt jump shot from 26 ft,,86,75
3,4:48.0,,Defensive rebound by P. Tucker,86,75
3,4:39.0,,J. Harden makes 2-pt layup from 1 ft,86,77
3,4:14.0,D. Wade misses 2-pt jump shot from 16 ft,,86,77
3,4:13.0,,Defensive rebound by C. Capela,86,77
3,4:02.0,,A. Rivers makes 2-pt jump shot from 5 ft (assist by J. Harden),86,79
3,3:41.0,Offensive foul by D. Waiters (drawn by A. Rivers),,86,79
3,3:41.0,Turnover by D. Waiters (offensive foul),,86,79
3,3:41.0,G. Dragić enters the game for D. Waiters,,86,79
3,3:30.0,,Offensive foul by P. Tucker (drawn by G. Dragić),86,79
3,3:30.0,,Turnover by P. Tucker (offensive foul),86,79
3,3:30.0,,Technical foul by P. Tucker,86,79
3,3:30.0,G. Dragić makes technical free throw,,87,79
3,3:30.0,,Technical foul by P. Tucker,87,79
3,3:30.0,G. Dragić makes technical free throw,,88,79
3,3:30.0,,P. Tucker ejected from game,88,79
3,3:30.0,J. Richardson enters the game for J. Winslow,,88,79
3,3:30.0,,G. Clark enters the game for P. Tucker,88,79
3,3:08.0,D. Wade makes 2-pt layup from 2 ft,,90,79
3,2:56.0,,J. Harden misses 2-pt layup from 1 ft (block by B. Adebayo),90,79
3,2:55.0,Defensive rebound by J. Richardson,,90,79
