QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
2,8:51.0,R. Spalding makes 2-pt jump shot from 11 ft (assist by J. Jackson),,44,41
2,8:40.0,,C. Diallo misses 2-pt jump shot from 17 ft,44,41
2,8:36.0,Defensive rebound by T. Daniels,,44,41
2,8:28.0,J. Jackson makes 2-pt jump shot from 17 ft,,46,41
2,8:13.0,,D. Miller makes 3-pt jump shot from 26 ft (assist by I. Clark),46,44
2,8:13.0,,Shooting foul by D. Melton (drawn by D. Miller),46,44
2,8:13.0,,J. Randle enters the game for C. Diallo,46,44
2,8:13.0,,D. Miller misses free throw 1 of 1,46,44
2,8:09.0,Defensive rebound by M. Bridges,,46,44
2,7:55.0,Turnover by J. Jackson (traveling),,46,44
2,7:46.0,,Offensive foul by J. Okafor (drawn by J. Jackson),46,44
2,7:46.0,,Turnover by J. Okafor (offensive foul),46,44
2,7:31.0,Turnover by J. Jackson (out of bounds lost ball),,46,44
2,7:19.0,,Shooting foul by J. Jackson (drawn by J. Okafor),46,44
2,7:19.0,,J. Okafor makes free throw 1 of 2,46,45
2,7:19.0,,J. Okafor misses free throw 2 of 2,46,45
2,7:16.0,Defensive rebound by R. Spalding,,46,45
2,7:03.0,Shooting foul by J. Randle (drawn by J. Jackson),,46,45
2,7:03.0,J. Jackson makes free throw 1 of 2,,47,45
2,7:03.0,,A. Davis enters the game for D. Miller,47,45
2,7:03.0,,F. Jackson enters the game for J. Okafor,47,45
2,7:03.0,J. Jackson makes free throw 2 of 2,,48,45
2,6:49.0,,F. Jackson misses 2-pt layup from 5 ft (block by R. Spalding),48,45
2,6:49.0,,Offensive rebound by Team,48,45
2,6:49.0,,New Orleans full timeout,48,45
2,6:49.0,D. Bender enters the game for J. Jackson,,48,45
2,6:43.0,,S. Johnson misses 2-pt layup from 1 ft,48,45
2,6:41.0,Defensive rebound by T. Daniels,,48,45
2,6:25.0,D. Bender misses 3-pt jump shot from 27 ft,,48,45
2,6:22.0,,Defensive rebound by S. Johnson,48,45
2,6:08.0,,Turnover by J. Randle (out of bounds lost ball),48,45
2,6:08.0,K. Oubre enters the game for T. Daniels,,48,45
2,5:52.0,K. Oubre misses 2-pt jump shot from 7 ft,,48,45
2,5:50.0,Offensive rebound by K. Oubre,,48,45
2,5:50.0,K. Oubre misses 2-pt layup from 2 ft,,48,45
2,5:50.0,,Defensive rebound by A. Davis,48,45
2,5:36.0,,Shooting foul by R. Spalding (drawn by J. Randle),48,45
2,5:36.0,,J. Randle makes free throw 1 of 2,48,46
2,5:36.0,D. Booker enters the game for D. Melton,,48,46
2,5:36.0,,E. Payton enters the game for I. Clark,48,46
2,5:36.0,,K. Williams enters the game for S. Johnson,48,46
2,5:36.0,,J. Randle makes free throw 2 of 2,48,47
2,5:12.0,R. Spalding misses 3-pt jump shot from 23 ft,,48,47
2,5:09.0,Offensive rebound by D. Booker,,48,47
2,5:07.0,K. Oubre misses 3-pt jump shot from 26 ft,,48,47
2,5:05.0,Offensive rebound by Team,,48,47
2,5:05.0,Shooting foul by F. Jackson (drawn by M. Bridges),,48,47
2,5:05.0,M. Bridges makes free throw 1 of 2,,49,47
2,5:05.0,M. Bridges makes free throw 2 of 2,,50,47
2,4:55.0,,F. Jackson misses 3-pt jump shot from 26 ft,50,47
2,4:55.0,Defensive rebound by M. Bridges,,50,47
2,4:55.0,Turnover by M. Bridges (out of bounds lost ball),,50,47
2,4:51.0,,Offensive foul by J. Randle (drawn by R. Spalding),50,47
2,4:51.0,,Turnover by J. Randle (offensive foul),50,47
2,4:51.0,,New Orleans full timeout,50,47
2,4:35.0,M. Bridges misses 2-pt jump shot from 5 ft,,50,47
2,4:33.0,,Defensive rebound by A. Davis,50,47
2,4:25.0,,Personal foul by D. Bender (drawn by J. Randle),50,47
2,4:25.0,,J. Randle makes free throw 1 of 2,50,48
2,4:25.0,,J. Randle misses free throw 2 of 2,50,48
2,4:22.0,Defensive rebound by D. Booker,,50,48
2,4:15.0,Personal foul by K. Williams (drawn by D. Booker),,50,48
2,4:03.0,D. Bender makes 2-pt jump shot from 6 ft (assist by D. Booker),,52,48
2,3:54.0,,Turnover by K. Williams (bad pass),52,48
2,3:36.0,K. Oubre makes 2-pt layup from 3 ft (assist by M. Bridges),,54,48
2,3:36.0,Shooting foul by A. Davis (drawn by K. Oubre),,54,48
2,3:36.0,K. Oubre misses free throw 1 of 1,,54,48
2,3:36.0,Offensive rebound by Team,,54,48
2,3:35.0,,Loose ball foul by E. Payton (drawn by K. Oubre),54,48
2,3:35.0,K. Oubre makes free throw 1 of 2,,55,48
2,3:35.0,K. Oubre makes free throw 2 of 2,,56,48
2,3:24.0,,Personal foul by R. Spalding (drawn by E. Payton),56,48
2,3:24.0,,E. Payton misses free throw 1 of 2,56,48
2,3:24.0,,Offensive rebound by Team,56,48
2,3:24.0,,E. Payton makes free throw 2 of 2,56,49
2,3:14.0,D. Booker misses 3-pt jump shot from 26 ft,,56,49
2,3:11.0,,Defensive rebound by K. Williams,56,49
2,3:05.0,,Turnover by E. Payton (back court),56,49
2,2:56.0,Turnover by D. Booker (bad pass; steal by A. Davis),,56,49
2,2:50.0,,K. Williams misses 2-pt layup from 2 ft,56,49
2,2:49.0,,Offensive rebound by J. Randle,56,49
2,2:48.0,,J. Randle misses 2-pt layup from 2 ft (block by R. Spalding),56,49
2,2:48.0,,Offensive rebound by E. Payton,56,49
2,2:41.0,,Turnover by F. Jackson (bad pass; steal by D. Bender),56,49
2,2:40.0,Shooting foul by K. Williams (drawn by D. Booker),,56,49
2,2:40.0,D. Booker makes free throw 1 of 2,,57,49
2,2:40.0,J. Jackson enters the game for R. Spalding,,57,49
2,2:40.0,,D. Miller enters the game for K. Williams,57,49
2,2:40.0,D. Booker makes free throw 2 of 2,,58,49
2,2:34.0,,Personal foul by K. Oubre (drawn by F. Jackson),58,49
2,2:34.0,,F. Jackson makes free throw 1 of 2,58,50
2,2:34.0,,F. Jackson makes free throw 2 of 2,58,51
2,2:18.0,D. Booker misses 3-pt jump shot from 31 ft,,58,51
2,2:14.0,Offensive rebound by D. Bender,,58,51
2,2:10.0,K. Oubre makes 2-pt dunk from 1 ft (assist by J. Jackson),,60,51
2,1:54.0,,A. Davis makes 2-pt dunk from 2 ft (assist by D. Miller),60,53
2,1:41.0,Personal foul by F. Jackson (drawn by D. Booker),,60,53
2,1:41.0,D. Booker makes free throw 1 of 2,,61,53
2,1:41.0,D. Booker makes free throw 2 of 2,,62,53
2,1:28.0,,J. Randle misses 2-pt layup from 3 ft,62,53
2,1:26.0,Defensive rebound by J. Jackson,,62,53
2,1:21.0,K. Oubre misses 2-pt dunk from 2 ft,,62,53
2,1:18.0,,Defensive rebound by A. Davis,62,53
2,1:15.0,,A. Davis makes 2-pt dunk from 1 ft,62,55
2,0:46.0,D. Booker misses 2-pt layup from 3 ft,,62,55
2,0:44.0,,Defensive rebound by A. Davis,62,55
2,0:41.0,,D. Miller makes 3-pt jump shot from 23 ft (assist by E. Payton),62,58
2,0:30.0,Shooting foul by F. Jackson (drawn by D. Booker),,62,58
2,0:30.0,D. Booker makes free throw 1 of 2,,63,58
2,0:30.0,D. Booker misses free throw 2 of 2,,63,58
2,0:28.0,,Defensive rebound by J. Randle,63,58
2,0:10.0,,A. Davis makes 2-pt jump shot from 5 ft (assist by J. Randle),63,60
2,0:01.0,D. Booker makes 2-pt layup from 2 ft,,65,60
2,0:01.0,Shooting foul by E. Payton (drawn by D. Booker),,65,60
2,0:01.0,,Technical foul by E. Payton,65,60
2,0:01.0,D. Booker makes technical free throw,,66,60
2,0:01.0,D. Booker misses free throw 1 of 1,,66,60
2,0:01.0,,Defensive rebound by J. Randle,66,60
3,11:48.0,K. Oubre makes 2-pt layup from 4 ft,,68,60
3,11:48.0,Shooting foul by E. Payton (drawn by K. Oubre),,68,60
3,11:48.0,K. Oubre makes free throw 1 of 1,,69,60
3,11:25.0,,J. Randle misses 3-pt jump shot from 23 ft,69,60
3,11:25.0,Defensive rebound by D. Bender,,69,60
3,11:12.0,D. Bender misses 3-pt jump shot from 27 ft,,69,60
3,11:09.0,Offensive rebound by D. Ayton,,69,60
3,11:05.0,D. Melton misses 2-pt jump shot from 6 ft,,69,60
3,11:03.0,,Defensive rebound by A. Davis,69,60
3,10:56.0,,A. Davis misses 3-pt jump shot from 25 ft,69,60
3,10:51.0,Defensive rebound by D. Melton,,69,60
3,10:45.0,D. Ayton misses 2-pt jump shot from 8 ft,,69,60
3,10:42.0,,Defensive rebound by E. Payton,69,60
3,10:34.0,,J. Randle misses 3-pt jump shot from 26 ft,69,60
3,10:31.0,,Offensive rebound by A. Davis,69,60
3,10:26.0,,J. Randle makes 2-pt layup from 2 ft (assist by K. Williams),69,62
3,10:13.0,D. Booker misses 2-pt layup from 14 ft,,69,62
3,10:11.0,,Defensive rebound by A. Davis,69,62
3,10:05.0,,K. Williams makes 2-pt layup from 2 ft,69,64
3,9:43.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by D. Booker),,72,64
3,9:35.0,,Turnover by A. Davis (traveling),72,64
3,9:27.0,D. Bender makes 3-pt jump shot from 25 ft (assist by D. Booker),,75,64
3,9:10.0,,F. Jackson misses 3-pt jump shot from 23 ft,75,64
3,9:10.0,Defensive rebound by D. Ayton,,75,64
3,9:05.0,D. Bender makes 2-pt dunk from 1 ft (assist by D. Melton),,77,64
3,9:05.0,,New Orleans full timeout,77,64
3,8:53.0,,K. Williams misses 2-pt jump shot from 9 ft,77,64
3,8:50.0,Defensive rebound by K. Oubre,,77,64
3,8:47.0,Turnover by K. Oubre (lost ball; steal by E. Payton),,77,64
3,8:40.0,,Personal foul by D. Melton (drawn by F. Jackson),77,64
3,8:27.0,,J. Randle makes 2-pt layup from 2 ft (assist by E. Payton),77,66
3,8:09.0,Turnover by D. Booker (bad pass; steal by A. Davis),,77,66
3,8:03.0,,J. Randle misses 2-pt jump shot from 3 ft,77,66
3,8:00.0,,Offensive rebound by E. Payton,77,66
3,7:54.0,,E. Payton makes 3-pt jump shot from 25 ft (assist by K. Williams),77,69
3,7:53.0,Phoenix full timeout,,77,69
3,7:53.0,,Technical foul by J. Randle,77,69
3,7:53.0,,C. Diallo enters the game for J. Randle,77,69
3,7:53.0,D. Booker makes technical free throw,,78,69
3,7:38.0,D. Booker misses 2-pt jump shot from 20 ft,,78,69
3,7:34.0,,Defensive rebound by C. Diallo,78,69
3,7:22.0,,A. Davis makes 2-pt jump shot from 9 ft,78,71
3,7:03.0,D. Booker misses 3-pt jump shot from 26 ft,,78,71
3,6:59.0,,Defensive rebound by C. Diallo,78,71
3,6:50.0,,Personal foul by D. Booker (drawn by F. Jackson),78,71
3,6:44.0,,F. Jackson makes 3-pt jump shot from 26 ft (assist by E. Payton),78,74
3,6:25.0,D. Booker makes 2-pt jump shot from 12 ft,,80,74
3,6:25.0,,Violation by Team (def goaltending),80,74
3,6:13.0,,A. Davis misses 2-pt jump shot from 19 ft,80,74
3,6:10.0,Defensive rebound by D. Melton,,80,74
3,6:03.0,D. Melton misses 2-pt jump shot from 7 ft,,80,74
3,6:01.0,,Defensive rebound by A. Davis,80,74
3,5:54.0,,Shooting foul by D. Bender (drawn by A. Davis),80,74
3,5:54.0,,A. Davis misses free throw 1 of 2,80,74
3,5:54.0,,Offensive rebound by Team,80,74
3,5:54.0,M. Bridges enters the game for D. Melton,,80,74
3,5:54.0,,A. Davis makes free throw 2 of 2,80,75
3,5:37.0,K. Oubre misses 2-pt jump shot from 12 ft,,80,75
3,5:34.0,,Defensive rebound by A. Davis,80,75
3,5:27.0,,A. Davis misses 2-pt jump shot from 8 ft,80,75
3,5:25.0,Defensive rebound by K. Oubre,,80,75
3,5:15.0,Offensive foul by D. Bender (drawn by A. Davis),,80,75
3,5:15.0,Turnover by D. Bender (offensive foul),,80,75
3,5:15.0,,J. Okafor enters the game for A. Davis,80,75
3,5:05.0,,F. Jackson makes 3-pt jump shot from 26 ft (assist by E. Payton),80,78
3,4:53.0,Personal foul by F. Jackson (drawn by D. Booker),,80,78
3,4:53.0,J. Jackson enters the game for D. Bender,,80,78
3,4:43.0,Shooting foul by F. Jackson (drawn by D. Booker),,80,78
3,4:43.0,D. Booker makes free throw 1 of 2,,81,78
3,4:43.0,,D. Bertāns enters the game for F. Jackson,81,78
3,4:43.0,D. Booker misses free throw 2 of 2,,81,78
3,4:40.0,,Defensive rebound by C. Diallo,81,78
3,4:32.0,,K. Williams misses 3-pt jump shot from 25 ft,81,78
3,4:28.0,Defensive rebound by D. Booker,,81,78
3,4:19.0,M. Bridges misses 3-pt jump shot from 26 ft,,81,78
3,4:19.0,,Defensive rebound by C. Diallo,81,78
3,4:02.0,,J. Okafor makes 2-pt dunk at rim (assist by K. Williams),81,80
3,3:38.0,M. Bridges misses 3-pt jump shot from 22 ft,,81,80
3,3:36.0,,Defensive rebound by C. Diallo,81,80
3,3:32.0,,D. Bertāns misses 2-pt jump shot from 22 ft,81,80
3,3:30.0,,Offensive rebound by E. Payton,81,80
3,3:26.0,,Turnover by J. Okafor (3 sec),81,80
3,3:26.0,Phoenix full timeout,,81,80
3,3:26.0,D. Melton enters the game for D. Booker,,81,80
3,3:26.0,,D. Miller enters the game for K. Williams,81,80
3,3:15.0,K. Oubre misses 3-pt jump shot from 25 ft,,81,80
3,3:10.0,Offensive rebound by J. Jackson,,81,80
3,3:03.0,D. Melton makes 2-pt jump shot from 14 ft,,83,80
3,2:35.0,,D. Bertāns misses 3-pt jump shot from 26 ft,83,80
3,2:32.0,Defensive rebound by D. Melton,,83,80
3,2:17.0,J. Jackson misses 2-pt jump shot from 21 ft,,83,80
3,2:16.0,,Defensive rebound by Team,83,80
3,2:06.0,,E. Payton misses 2-pt layup from 2 ft (block by D. Ayton),83,80
3,2:04.0,Defensive rebound by D. Melton,,83,80
3,2:00.0,D. Melton misses 2-pt layup from 3 ft,,83,80
3,1:57.0,,Defensive rebound by D. Miller,83,80
3,1:46.0,,D. Miller misses 3-pt jump shot from 25 ft,83,80
3,1:46.0,Defensive rebound by Team,,83,80
3,1:44.0,,Loose ball foul by C. Diallo (drawn by D. Ayton),83,80
3,1:34.0,,Violation by Team (kicked ball),83,80
3,1:25.0,K. Oubre makes 2-pt layup from 3 ft,,85,80
3,1:08.0,,E. Payton misses 2-pt jump shot from 8 ft,85,80
3,1:07.0,,Offensive rebound by E. Payton,85,80
3,1:06.0,,E. Payton misses 2-pt jump shot from 4 ft,85,80
3,1:02.0,,Offensive rebound by J. Okafor,85,80
3,1:02.0,,Shooting foul by D. Ayton (drawn by J. Okafor),85,80
3,1:02.0,,J. Okafor makes free throw 1 of 2,85,81
3,1:02.0,R. Spalding enters the game for D. Ayton,,85,81
3,1:02.0,,I. Clark enters the game for E. Payton,85,81
3,1:02.0,Technical foul by D. Ayton,,85,81
3,1:02.0,,I. Clark makes technical free throw,85,82
3,1:02.0,,J. Okafor misses free throw 2 of 2,85,82
3,0:58.0,Defensive rebound by J. Jackson,,85,82
3,0:51.0,J. Jackson makes 2-pt dunk from 1 ft (assist by K. Oubre),,87,82
3,0:43.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by I. Clark),87,85
3,0:33.0,J. Jackson misses 2-pt layup from 3 ft (block by J. Okafor),,87,85
3,0:30.0,,Defensive rebound by C. Diallo,87,85
3,0:27.0,,Turnover by J. Okafor (lost ball; steal by K. Oubre),87,85
3,0:23.0,J. Jackson makes 2-pt dunk from 1 ft (assist by K. Oubre),,89,85
3,0:04.0,,I. Clark misses 3-pt jump shot from 25 ft,89,85
3,0:00.0,Defensive rebound by D. Melton,,89,85
3,0:00.0,K. Oubre misses 3-pt jump shot from 36 ft,,89,85
3,0:00.0,Offensive rebound by Team,,89,85
4,11:40.0,,C. Diallo misses 2-pt layup from 2 ft (block by J. Jackson),89,85
4,11:40.0,,Offensive rebound by Team,89,85
4,11:38.0,,D. Miller misses 2-pt jump shot from 16 ft,89,85
4,11:35.0,Defensive rebound by T. Daniels,,89,85
4,11:33.0,Offensive foul by T. Daniels (drawn by D. Bertāns),,89,85
4,11:33.0,Turnover by T. Daniels (offensive foul),,89,85
4,11:18.0,,Shooting foul by R. Spalding (drawn by I. Clark),89,85
4,11:18.0,,I. Clark makes free throw 1 of 2,89,86
4,11:18.0,,I. Clark misses free throw 2 of 2,89,86
4,11:15.0,Defensive rebound by J. Jackson,,89,86
4,11:09.0,Personal foul by I. Clark (drawn by D. Melton),,89,86
4,10:59.0,R. Spalding makes 2-pt layup from 2 ft (assist by D. Melton),,91,86
4,10:42.0,,C. Diallo makes 2-pt hook shot from 7 ft (assist by D. Miller),91,88
4,10:32.0,M. Bridges makes 2-pt jump shot from 9 ft (assist by R. Spalding),,93,88
4,10:19.0,,I. Clark makes 3-pt jump shot from 26 ft (assist by D. Bertāns),93,91
4,9:59.0,Turnover by R. Spalding (discontinued dribble),,93,91
4,9:59.0,D. Booker enters the game for T. Daniels,,93,91
4,9:44.0,,J. Okafor makes 2-pt jump shot from 7 ft,93,93
4,9:44.0,,Shooting foul by R. Spalding (drawn by J. Okafor),93,93
4,9:44.0,,J. Okafor makes free throw 1 of 1,93,94
4,9:33.0,D. Melton makes 2-pt dunk from 1 ft (assist by D. Booker),,95,94
4,9:23.0,,I. Clark misses 2-pt jump shot from 14 ft,95,94
4,9:20.0,Defensive rebound by M. Bridges,,95,94
4,9:13.0,Turnover by D. Booker (lost ball; steal by I. Clark),,95,94
4,9:08.0,,Turnover by I. Clark (bad pass; steal by D. Melton),95,94
4,9:06.0,M. Bridges makes 2-pt layup from 2 ft (assist by D. Melton),,97,94
4,9:06.0,Shooting foul by I. Clark (drawn by M. Bridges),,97,94
4,9:06.0,D. Bender enters the game for R. Spalding,,97,94
4,9:06.0,M. Bridges makes free throw 1 of 1,,98,94
4,8:56.0,,I. Clark makes 2-pt jump shot from 11 ft,98,96
4,8:40.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by D. Booker),,101,96
4,8:21.0,,J. Okafor makes 2-pt jump shot from 8 ft,101,98
