QUARTER,TIME_REMAINING,DENVER_ACTION,BOSTON_ACTION,DENVER_SCORE,BOSTON_SCORE
2,8:00.0,,D. Theis misses 3-pt jump shot from 26 ft,30,32
2,7:58.0,,Offensive rebound by M. Morris,30,32
2,7:53.0,,T. Rozier makes 2-pt layup from 1 ft (assist by M. Morris),30,34
2,7:52.0,Denver full timeout,,30,34
2,7:52.0,W. Barton enters the game for M. Beasley,,30,34
2,7:52.0,G. Harris enters the game for M. Morris,,30,34
2,7:52.0,N. Jokić enters the game for M. Plumlee,,30,34
2,7:52.0,J. Murray enters the game for I. Thomas,,30,34
2,7:29.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by G. Harris),,33,34
2,7:17.0,,T. Rozier misses 3-pt jump shot from 26 ft,33,34
2,7:15.0,,Offensive rebound by J. Brown,33,34
2,7:10.0,,T. Rozier misses 3-pt jump shot from 23 ft,33,34
2,7:08.0,,Offensive rebound by D. Theis,33,34
2,7:06.0,,D. Theis makes 2-pt layup at rim,33,36
2,6:46.0,W. Barton makes 2-pt jump shot from 14 ft (assist by N. Jokić),,35,36
2,6:37.0,,J. Brown misses 3-pt jump shot from 24 ft,35,36
2,6:36.0,Defensive rebound by N. Jokić,,35,36
2,6:16.0,W. Barton misses 2-pt layup from 3 ft,,35,36
2,6:14.0,Offensive rebound by T. Craig,,35,36
2,6:13.0,Offensive foul by T. Craig (drawn by T. Rozier),,35,36
2,6:13.0,Turnover by T. Craig (offensive foul),,35,36
2,6:13.0,,K. Irving enters the game for J. Brown,35,36
2,6:13.0,,M. Smart enters the game for T. Rozier,35,36
2,5:58.0,,D. Theis misses 2-pt jump shot from 15 ft,35,36
2,5:55.0,Defensive rebound by J. Murray,,35,36
2,5:53.0,Turnover by J. Murray (lost ball; steal by K. Irving),,35,36
2,5:48.0,,M. Smart misses 3-pt jump shot from 23 ft,35,36
2,5:47.0,Defensive rebound by J. Murray,,35,36
2,5:45.0,T. Craig makes 2-pt layup from 9 ft (assist by J. Murray),,37,36
2,5:45.0,Shooting foul by M. Smart (drawn by T. Craig),,37,36
2,5:45.0,,A. Baynes enters the game for D. Theis,37,36
2,5:45.0,T. Craig misses free throw 1 of 1,,37,36
2,5:45.0,,Defensive rebound by J. Tatum,37,36
2,5:31.0,,J. Tatum misses 2-pt jump shot from 10 ft,37,36
2,5:29.0,Defensive rebound by T. Craig,,37,36
2,5:19.0,W. Barton makes 2-pt jump shot from 19 ft,,39,36
2,5:01.0,,K. Irving misses 2-pt layup from 6 ft,39,36
2,5:00.0,,Offensive rebound by A. Baynes,39,36
2,5:00.0,,A. Baynes misses 2-pt layup from 1 ft,39,36
2,4:59.0,Defensive rebound by N. Jokić,,39,36
2,4:52.0,J. Murray makes 3-pt jump shot from 26 ft,,42,36
2,4:37.0,,M. Smart makes 2-pt layup from 1 ft,42,38
2,4:23.0,W. Barton misses 2-pt jump shot from 17 ft,,42,38
2,4:22.0,,Defensive rebound by K. Irving,42,38
2,4:06.0,,M. Smart misses 2-pt jump shot from 19 ft,42,38
2,4:04.0,Defensive rebound by T. Craig,,42,38
2,3:58.0,W. Barton makes 2-pt layup from 3 ft (assist by T. Craig),,44,38
2,3:58.0,,Boston full timeout,44,38
2,3:58.0,,A. Horford enters the game for A. Baynes,44,38
2,3:45.0,,A. Horford makes 2-pt layup from 2 ft (assist by K. Irving),44,40
2,3:27.0,G. Harris misses 2-pt jump shot from 20 ft,,44,40
2,3:26.0,,Defensive rebound by J. Tatum,44,40
2,3:19.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Tatum),44,43
2,3:02.0,J. Murray makes 2-pt jump shot from 12 ft,,46,43
2,2:51.0,,K. Irving misses 2-pt jump shot from 16 ft,46,43
2,2:50.0,Defensive rebound by T. Craig,,46,43
2,2:40.0,T. Craig misses 2-pt layup from 5 ft,,46,43
2,2:39.0,,Defensive rebound by A. Horford,46,43
2,2:28.0,,A. Horford misses 3-pt jump shot from 24 ft,46,43
2,2:27.0,Defensive rebound by T. Craig,,46,43
2,2:23.0,N. Jokić makes 2-pt hook shot from 8 ft (assist by J. Murray),,48,43
2,1:57.0,,J. Tatum misses 2-pt layup from 2 ft,48,43
2,1:56.0,Defensive rebound by N. Jokić,,48,43
2,1:51.0,Shooting foul by A. Horford (drawn by T. Craig),,48,43
2,1:51.0,T. Craig makes free throw 1 of 2,,49,43
2,1:51.0,T. Craig makes free throw 2 of 2,,50,43
2,1:38.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),50,46
2,1:15.0,G. Harris misses 3-pt jump shot from 25 ft,,50,46
2,1:14.0,,Defensive rebound by Team,50,46
2,1:14.0,Loose ball foul by G. Harris (drawn by K. Irving),,50,46
2,1:00.0,,K. Irving makes 2-pt jump shot from 17 ft (assist by A. Horford),50,48
2,0:49.0,G. Harris misses 2-pt layup from 4 ft (block by J. Tatum),,50,48
2,0:48.0,Offensive rebound by Team,,50,48
2,0:44.0,N. Jokić makes 2-pt hook shot from 5 ft,,52,48
2,0:35.0,,K. Irving makes 2-pt layup from 2 ft,52,50
2,0:16.0,W. Barton makes 3-pt jump shot from 26 ft,,55,50
2,0:07.0,,Personal foul by T. Craig (drawn by K. Irving),55,50
2,0:07.0,,K. Irving makes free throw 1 of 2,55,51
2,0:07.0,M. Morris enters the game for T. Craig,,55,51
2,0:07.0,,T. Rozier enters the game for M. Smart,55,51
2,0:07.0,,K. Irving makes free throw 2 of 2,55,52
2,0:00.0,N. Jokić misses 3-pt jump shot from 25 ft,,55,52
2,0:00.0,Offensive rebound by Team,,55,52
3,11:48.0,,A. Horford misses 2-pt hook shot from 10 ft,55,52
3,11:47.0,Defensive rebound by G. Harris,,55,52
3,11:38.0,Turnover by W. Barton (bad pass; steal by M. Morris),,55,52
3,11:36.0,,Personal foul by N. Jokić (drawn by M. Morris),55,52
3,11:30.0,,A. Horford makes 2-pt layup from 2 ft (assist by M. Smart),55,54
3,11:03.0,N. Jokić makes 2-pt jump shot from 14 ft,,57,54
3,10:53.0,,K. Irving makes 2-pt layup from 2 ft,57,56
3,10:41.0,G. Harris misses 2-pt jump shot from 16 ft,,57,56
3,10:40.0,,Defensive rebound by M. Smart,57,56
3,10:29.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by A. Horford),57,59
3,10:28.0,Denver full timeout,,57,59
3,10:13.0,J. Murray misses 2-pt jump shot from 14 ft,,57,59
3,10:11.0,Offensive rebound by Team,,57,59
3,10:11.0,,Loose ball foul by M. Morris (drawn by N. Jokić),57,59
3,10:09.0,G. Harris makes 3-pt jump shot from 25 ft (assist by W. Barton),,60,59
3,9:52.0,,Turnover by M. Morris (bad pass),60,59
3,9:46.0,Personal foul by M. Smart (drawn by N. Jokić),,60,59
3,9:33.0,G. Harris misses 2-pt jump shot from 14 ft,,60,59
3,9:31.0,,Defensive rebound by J. Tatum,60,59
3,9:26.0,,Offensive foul by J. Tatum (drawn by J. Murray),60,59
3,9:26.0,,Turnover by J. Tatum (offensive foul),60,59
3,9:10.0,J. Murray makes 2-pt jump shot from 12 ft,,62,59
3,8:52.0,,Def 3 sec tech foul by Team,62,59
3,8:52.0,,K. Irving makes technical free throw,62,60
3,8:44.0,,Shooting foul by P. Millsap (drawn by M. Morris),62,60
3,8:44.0,,M. Morris makes free throw 1 of 3,62,61
3,8:44.0,,M. Morris makes free throw 2 of 3,62,62
3,8:44.0,,M. Morris makes free throw 3 of 3,62,63
3,8:27.0,W. Barton misses 3-pt jump shot from 25 ft,,62,63
3,8:25.0,,Defensive rebound by M. Smart,62,63
3,8:19.0,,K. Irving misses 2-pt layup from 3 ft,62,63
3,8:18.0,Defensive rebound by W. Barton,,62,63
3,8:15.0,Offensive foul by W. Barton (drawn by M. Smart),,62,63
3,8:15.0,Turnover by W. Barton (offensive foul),,62,63
3,8:00.0,,A. Horford makes 2-pt jump shot from 18 ft (assist by K. Irving),62,65
3,7:40.0,Turnover by W. Barton (bad pass; steal by A. Horford),,62,65
3,7:33.0,,J. Tatum misses 3-pt jump shot from 23 ft,62,65
3,7:31.0,Defensive rebound by P. Millsap,,62,65
3,7:22.0,P. Millsap misses 2-pt layup from 3 ft,,62,65
3,7:20.0,,Defensive rebound by J. Tatum,62,65
3,7:15.0,,J. Tatum misses 3-pt jump shot from 25 ft,62,65
3,7:14.0,Defensive rebound by P. Millsap,,62,65
3,7:00.0,J. Murray makes 2-pt layup from 2 ft (assist by N. Jokić),,64,65
3,6:46.0,,K. Irving misses 3-pt jump shot from 26 ft,64,65
3,6:45.0,Defensive rebound by N. Jokić,,64,65
3,6:35.0,J. Murray makes 2-pt jump shot from 11 ft,,66,65
3,6:25.0,,K. Irving makes 2-pt layup from 2 ft,66,67
3,6:25.0,,Shooting foul by W. Barton (drawn by K. Irving),66,67
3,6:25.0,,K. Irving makes free throw 1 of 1,66,68
3,6:04.0,J. Murray misses 2-pt layup from 3 ft,,66,68
3,6:02.0,,Defensive rebound by A. Horford,66,68
3,6:01.0,,Personal foul by N. Jokić (drawn by K. Irving),66,68
3,5:46.0,,M. Morris makes 2-pt layup from 2 ft,66,70
3,5:46.0,Denver full timeout,,66,70
3,5:46.0,M. Plumlee enters the game for P. Millsap,,66,70
3,5:46.0,,A. Baynes enters the game for A. Horford,66,70
3,5:23.0,N. Jokić misses 3-pt jump shot from 26 ft,,66,70
3,5:22.0,Offensive rebound by Team,,66,70
3,5:22.0,Turnover by Team (shot clock),,66,70
3,5:09.0,,J. Tatum misses 2-pt jump shot from 10 ft,66,70
3,5:06.0,Defensive rebound by N. Jokić,,66,70
3,5:03.0,Turnover by J. Murray (lost ball; steal by K. Irving),,66,70
3,4:49.0,,A. Baynes misses 2-pt hook shot from 7 ft,66,70
3,4:47.0,Defensive rebound by W. Barton,,66,70
3,4:43.0,W. Barton makes 2-pt layup from 1 ft,,68,70
3,4:28.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Irving),68,73
3,4:06.0,Shooting foul by M. Morris (drawn by M. Plumlee),,68,73
3,4:06.0,M. Plumlee misses free throw 1 of 2,,68,73
3,4:06.0,Offensive rebound by Team,,68,73
3,4:06.0,M. Beasley enters the game for G. Harris,,68,73
3,4:06.0,M. Morris enters the game for J. Murray,,68,73
3,4:06.0,,J. Brown enters the game for J. Tatum,68,73
3,4:06.0,M. Plumlee makes free throw 2 of 2,,69,73
3,4:06.0,,T. Rozier enters the game for M. Smart,69,73
3,3:57.0,,K. Irving misses 2-pt layup from 5 ft (block by N. Jokić),69,73
3,3:56.0,,Offensive rebound by Team,69,73
3,3:50.0,,Turnover by K. Irving (bad pass; steal by N. Jokić),69,73
3,3:43.0,N. Jokić misses 3-pt jump shot from 25 ft,,69,73
3,3:41.0,,Defensive rebound by K. Irving,69,73
3,3:27.0,,J. Brown misses 3-pt jump shot from 23 ft,69,73
3,3:26.0,Defensive rebound by W. Barton,,69,73
3,3:19.0,M. Morris makes 3-pt jump shot from 24 ft (assist by M. Plumlee),,72,73
3,3:01.0,,M. Morris makes 2-pt jump shot from 20 ft (assist by T. Rozier),72,75
3,2:37.0,W. Barton makes 3-pt jump shot from 24 ft (assist by N. Jokić),,75,75
3,2:17.0,,K. Irving makes 2-pt layup from 2 ft,75,77
3,2:01.0,M. Morris misses 2-pt layup from 6 ft,,75,77
3,2:00.0,Offensive rebound by M. Morris,,75,77
3,1:56.0,M. Beasley misses 3-pt jump shot from 25 ft,,75,77
3,1:55.0,,Defensive rebound by T. Rozier,75,77
3,1:45.0,,T. Rozier misses 3-pt jump shot from 26 ft,75,77
3,1:44.0,,Offensive rebound by J. Brown,75,77
3,1:40.0,,A. Baynes makes 2-pt jump shot from 11 ft (assist by J. Brown),75,79
3,1:19.0,Turnover by W. Barton (bad pass),,75,79
3,1:19.0,T. Craig enters the game for W. Barton,,75,79
3,1:19.0,P. Millsap enters the game for N. Jokić,,75,79
3,1:05.0,,M. Morris misses 2-pt jump shot from 10 ft,75,79
3,1:03.0,Defensive rebound by M. Plumlee,,75,79
3,0:56.0,Turnover by M. Plumlee (bad pass; steal by K. Irving),,75,79
3,0:51.0,,J. Brown misses 2-pt layup from 2 ft (block by M. Plumlee),75,79
3,0:49.0,,Offensive rebound by A. Baynes,75,79
3,0:49.0,,Personal foul by T. Craig (drawn by A. Baynes),75,79
3,0:49.0,,A. Baynes misses free throw 1 of 2,75,79
3,0:49.0,,Offensive rebound by Team,75,79
3,0:49.0,,J. Tatum enters the game for K. Irving,75,79
3,0:49.0,,A. Baynes makes free throw 2 of 2,75,80
3,0:33.0,M. Morris misses 2-pt layup from 8 ft (block by A. Baynes),,75,80
3,0:32.0,,Defensive rebound by Team,75,80
3,0:32.0,,K. Irving enters the game for A. Baynes,75,80
3,0:18.0,,J. Tatum misses 3-pt jump shot from 23 ft,75,80
3,0:16.0,Defensive rebound by P. Millsap,,75,80
3,0:01.0,T. Craig makes 3-pt jump shot from 23 ft (assist by M. Plumlee),,78,80
3,0:01.0,,Boston full timeout,78,80
3,0:01.0,J. Vanderbilt enters the game for M. Morris,,78,80
3,0:01.0,,D. Theis enters the game for J. Tatum,78,80
3,0:01.0,,Turnover by M. Morris (bad pass),78,80
3,0:01.0,N. Jokić enters the game for M. Plumlee,,78,80
3,0:01.0,J. Murray enters the game for J. Vanderbilt,,78,80
3,0:01.0,,A. Baynes enters the game for K. Irving,78,80
3,0:01.0,,M. Smart enters the game for M. Morris,78,80
3,0:00.0,T. Craig makes 2-pt dunk from 1 ft (assist by P. Millsap),,80,80
4,11:46.0,M. Plumlee makes 2-pt dunk at rim (assist by M. Morris),,82,80
4,11:26.0,,Turnover by T. Rozier (bad pass; steal by M. Beasley),82,80
4,11:24.0,Personal foul by J. Brown (drawn by P. Millsap),,82,80
4,11:10.0,T. Craig misses 3-pt jump shot from 24 ft,,82,80
4,11:09.0,Offensive rebound by P. Millsap,,82,80
4,11:06.0,P. Millsap makes 2-pt jump shot from 10 ft,,84,80
4,10:52.0,,J. Brown misses 3-pt jump shot from 24 ft,84,80
4,10:51.0,Defensive rebound by M. Morris,,84,80
4,10:34.0,M. Morris makes 2-pt layup from 3 ft (assist by M. Plumlee),,86,80
4,10:34.0,,Boston full timeout,86,80
4,10:34.0,,A. Baynes enters the game for J. Brown,86,80
4,10:16.0,,A. Baynes makes 2-pt layup at rim (assist by A. Horford),86,82
4,10:03.0,M. Morris makes 2-pt jump shot from 9 ft,,88,82
4,9:51.0,,J. Tatum misses 3-pt jump shot from 23 ft,88,82
4,9:50.0,Defensive rebound by P. Millsap,,88,82
4,9:41.0,M. Beasley makes 3-pt jump shot from 23 ft (assist by T. Craig),,91,82
4,9:28.0,,M. Smart makes 2-pt layup from 1 ft,91,84
4,9:05.0,M. Beasley misses 3-pt jump shot from 26 ft,,91,84
4,9:02.0,,Defensive rebound by Team,91,84
4,8:43.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by M. Smart),91,87
4,8:22.0,P. Millsap misses 3-pt jump shot from 25 ft (block by A. Horford),,91,87
4,8:21.0,Offensive rebound by P. Millsap,,91,87
4,8:18.0,Offensive foul by P. Millsap (drawn by A. Baynes),,91,87
4,8:18.0,Turnover by P. Millsap (offensive foul),,91,87
4,8:18.0,N. Jokić enters the game for P. Millsap,,91,87
4,8:03.0,,M. Smart misses 2-pt layup from 2 ft,91,87
4,8:02.0,Defensive rebound by M. Plumlee,,91,87
4,7:58.0,Turnover by M. Plumlee (bad pass; steal by A. Baynes),,91,87
4,7:54.0,,M. Smart misses 2-pt layup from 3 ft,91,87
4,7:53.0,Defensive rebound by T. Craig,,91,87
4,7:38.0,T. Craig makes 2-pt layup from 1 ft (assist by N. Jokić),,93,87
4,7:23.0,,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Tatum),93,90
4,7:06.0,M. Beasley makes 2-pt layup at rim,,95,90
4,6:47.0,,M. Smart misses 3-pt jump shot from 25 ft,95,90
4,6:46.0,Defensive rebound by T. Craig,,95,90
4,6:32.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by M. Morris),,98,90
4,6:15.0,,Personal foul by T. Craig (drawn by J. Tatum),98,90
4,6:15.0,,K. Irving enters the game for A. Baynes,98,90
4,6:15.0,,M. Morris enters the game for M. Smart,98,90
4,6:11.0,,K. Irving makes 2-pt jump shot from 11 ft (assist by J. Tatum),98,92
4,5:52.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by M. Beasley),,101,92
4,5:34.0,,Personal foul by T. Craig (drawn by K. Irving),101,92
4,5:34.0,G. Harris enters the game for M. Beasley,,101,92
4,5:34.0,J. Murray enters the game for M. Morris,,101,92
4,5:24.0,,K. Irving makes 2-pt jump shot from 16 ft,101,94
4,5:11.0,J. Murray misses 3-pt jump shot from 26 ft,,101,94
4,5:09.0,,Defensive rebound by M. Morris,101,94
4,5:02.0,,Turnover by M. Morris (lost ball),101,94
4,5:02.0,,Loose ball foul by M. Morris (drawn by G. Harris),101,94
4,5:02.0,P. Millsap enters the game for M. Plumlee,,101,94
4,4:42.0,J. Murray misses 2-pt jump shot from 15 ft,,101,94
4,4:37.0,Offensive rebound by P. Millsap,,101,94
4,4:25.0,N. Jokić misses 3-pt jump shot from 34 ft,,101,94
4,4:24.0,Offensive rebound by Team,,101,94
4,4:24.0,Turnover by Team (shot clock),,101,94
4,4:17.0,,K. Irving misses 3-pt jump shot from 25 ft,101,94
4,4:16.0,,Offensive rebound by A. Horford,101,94
4,4:16.0,,A. Horford misses 2-pt dunk at rim,101,94
4,4:14.0,,Offensive rebound by M. Morris,101,94
4,4:12.0,,T. Rozier misses 2-pt layup from 3 ft (block by N. Jokić),101,94
4,4:10.0,Defensive rebound by N. Jokić,,101,94
4,4:01.0,G. Harris makes 3-pt jump shot from 23 ft (assist by P. Millsap),,104,94
4,4:01.0,,Boston full timeout,104,94
4,4:01.0,W. Barton enters the game for T. Craig,,104,94
4,4:01.0,,M. Smart enters the game for T. Rozier,104,94
4,3:50.0,,Turnover by A. Horford (lost ball; steal by G. Harris),104,94
