QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MIAMI_ACTION,SAN ANTONIO_SCORE,MIAMI_SCORE
2,9:45.0,L. Aldridge makes 2-pt layup from 1 ft,,25,32
2,9:27.0,,R. McGruder misses 2-pt jump shot from 3 ft,25,32
2,9:24.0,,Offensive rebound by D. Jones,25,32
2,9:21.0,,D. Jones misses 2-pt jump shot from 4 ft,25,32
2,9:17.0,Defensive rebound by D. DeRozan,,25,32
2,9:07.0,L. Aldridge misses 2-pt jump shot from 18 ft,,25,32
2,9:05.0,,Defensive rebound by J. Richardson,25,32
2,8:57.0,,J. Richardson misses 2-pt layup from 4 ft (block by L. Aldridge),25,32
2,8:54.0,Defensive rebound by D. DeRozan,,25,32
2,8:50.0,D. Cunningham makes 2-pt dunk from 1 ft (assist by D. DeRozan),,27,32
2,8:31.0,,J. Richardson misses 2-pt layup from 2 ft,27,32
2,8:29.0,Defensive rebound by D. White,,27,32
2,8:17.0,B. Forbes misses 2-pt jump shot from 20 ft,,27,32
2,8:15.0,,Defensive rebound by R. McGruder,27,32
2,8:09.0,,Miami full timeout,27,32
2,8:09.0,M. Belinelli enters the game for D. DeRozan,,27,32
2,8:09.0,,W. Ellington enters the game for B. Adebayo,27,32
2,8:09.0,,H. Whiteside enters the game for D. Jones,27,32
2,8:09.0,,J. Winslow enters the game for J. Richardson,27,32
2,7:58.0,,T. Johnson misses 3-pt jump shot from 23 ft (block by D. Cunningham),27,32
2,7:55.0,Defensive rebound by L. Aldridge,,27,32
2,7:46.0,L. Aldridge misses 2-pt jump shot from 18 ft,,27,32
2,7:44.0,,Defensive rebound by H. Whiteside,27,32
2,7:35.0,,W. Ellington misses 3-pt jump shot from 25 ft,27,32
2,7:33.0,Defensive rebound by L. Aldridge,,27,32
2,7:18.0,B. Forbes misses 2-pt layup from 2 ft,,27,32
2,7:15.0,,Defensive rebound by H. Whiteside,27,32
2,7:12.0,,H. Whiteside makes 2-pt layup from 3 ft,27,34
2,7:12.0,Violation by Team (def goaltending),,27,34
2,6:58.0,M. Belinelli misses 3-pt jump shot from 23 ft,,27,34
2,6:55.0,,Defensive rebound by H. Whiteside,27,34
2,6:33.0,,R. McGruder misses 3-pt jump shot from 24 ft,27,34
2,6:31.0,Defensive rebound by L. Aldridge,,27,34
2,6:25.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by B. Forbes),,30,34
