QUARTER,TIME_REMAINING,DALLAS_ACTION,OKLAHOMA CITY_ACTION,DALLAS_SCORE,OKLAHOMA CITY_SCORE
1,8:15.0,Turnover by D. Powell (lost ball; steal by P. George),,4,2
1,8:05.0,,Turnover by P. George (bad pass; steal by C. Lee),4,2
1,8:00.0,J. Brunson misses 2-pt layup from 1 ft,,4,2
1,7:58.0,Offensive rebound by J. Jackson,,4,2
1,7:58.0,J. Jackson makes 2-pt layup from 1 ft,,6,2
1,7:58.0,,Oklahoma City full timeout,6,2
1,7:49.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),6,4
1,7:49.0,,Shooting foul by D. Nowitzki (drawn by S. Adams),6,4
1,7:49.0,,S. Adams misses free throw 1 of 1,6,4
1,7:46.0,,Offensive rebound by S. Adams,6,4
1,7:45.0,,S. Adams makes 2-pt dunk from 1 ft,6,6
1,7:26.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,6,6
1,7:24.0,,Defensive rebound by S. Adams,6,6
1,7:17.0,,P. George makes 2-pt jump shot from 20 ft,6,8
1,6:49.0,J. Brunson makes 3-pt jump shot from 25 ft,,9,8
1,6:34.0,,T. Ferguson misses 3-pt jump shot from 23 ft,9,8
1,6:31.0,,Offensive rebound by S. Adams,9,8
1,6:27.0,,S. Adams misses 2-pt hook shot from 6 ft,9,8
1,6:24.0,Defensive rebound by D. Powell,,9,8
1,6:19.0,Personal foul by R. Westbrook (drawn by D. Powell),,9,8
1,6:19.0,M. Kleber enters the game for D. Nowitzki,,9,8
1,6:19.0,S. Mejri enters the game for D. Powell,,9,8
1,6:05.0,Shooting foul by J. Grant (drawn by J. Brunson),,9,8
1,6:05.0,J. Brunson misses free throw 1 of 2,,9,8
1,6:05.0,Offensive rebound by Team,,9,8
1,6:05.0,,D. Schröder enters the game for P. George,9,8
1,6:05.0,J. Brunson makes free throw 2 of 2,,10,8
1,5:55.0,,J. Grant misses 3-pt jump shot from 25 ft,10,8
1,5:51.0,Defensive rebound by J. Jackson,,10,8
1,5:45.0,Shooting foul by S. Adams (drawn by J. Brunson),,10,8
1,5:45.0,J. Brunson misses free throw 1 of 2,,10,8
1,5:45.0,Offensive rebound by Team,,10,8
1,5:45.0,J. Brunson makes free throw 2 of 2,,11,8
1,5:35.0,,S. Adams misses 2-pt hook shot from 6 ft,11,8
1,5:32.0,Defensive rebound by S. Mejri,,11,8
1,5:30.0,Turnover by S. Mejri (lost ball; steal by R. Westbrook),,11,8
1,5:22.0,,R. Westbrook makes 2-pt jump shot from 18 ft,11,10
1,5:01.0,C. Lee makes 3-pt jump shot from 26 ft,,14,10
1,4:39.0,,Turnover by J. Grant (bad pass; steal by J. Jackson),14,10
1,4:35.0,C. Lee misses 3-pt jump shot from 24 ft,,14,10
1,4:32.0,Offensive rebound by J. Jackson,,14,10
1,4:30.0,J. Jackson makes 2-pt layup at rim,,16,10
1,4:29.0,,Shooting foul by M. Kleber (drawn by T. Ferguson),16,10
1,4:29.0,T. Burke enters the game for J. Brunson,,16,10
1,4:29.0,,N. Noel enters the game for S. Adams,16,10
1,4:29.0,,T. Ferguson misses free throw 1 of 2,16,10
1,4:29.0,,Offensive rebound by Team,16,10
1,4:29.0,,T. Ferguson makes free throw 2 of 2,16,11
1,4:15.0,T. Burke makes 3-pt jump shot from 27 ft (assist by J. Jackson),,19,11
1,4:03.0,,Personal foul by T. Burke (drawn by R. Westbrook),19,11
1,4:03.0,R. Broekhoff enters the game for J. Jackson,,19,11
1,4:03.0,,A. Nader enters the game for T. Ferguson,19,11
1,3:51.0,,J. Grant makes 2-pt layup from 1 ft,19,13
1,3:40.0,T. Burke misses 2-pt layup from 3 ft,,19,13
1,3:38.0,Offensive rebound by S. Mejri,,19,13
1,3:38.0,S. Mejri misses 2-pt layup from 2 ft,,19,13
1,3:37.0,,Defensive rebound by N. Noel,19,13
1,3:29.0,,Shooting foul by S. Mejri (drawn by R. Westbrook),19,13
1,3:29.0,Dallas full timeout,,19,13
1,3:29.0,,R. Westbrook makes free throw 1 of 2,19,14
1,3:29.0,,R. Westbrook makes free throw 2 of 2,19,15
1,3:13.0,C. Lee makes 2-pt jump shot from 11 ft (assist by T. Burke),,21,15
1,3:01.0,,R. Westbrook makes 2-pt layup from 1 ft,21,17
1,2:37.0,S. Mejri makes 2-pt layup from 6 ft,,23,17
1,2:23.0,,N. Noel misses 2-pt jump shot from 7 ft,23,17
1,2:22.0,Defensive rebound by R. Broekhoff,,23,17
1,2:15.0,T. Burke makes 2-pt layup from 1 ft,,25,17
1,1:59.0,,A. Nader misses 3-pt jump shot from 25 ft,25,17
1,1:57.0,Defensive rebound by S. Mejri,,25,17
1,1:43.0,Turnover by S. Mejri (3 sec),,25,17
1,1:43.0,D. Finney-Smith enters the game for C. Lee,,25,17
1,1:43.0,,S. Adams enters the game for N. Noel,25,17
1,1:43.0,,P. George enters the game for R. Westbrook,25,17
1,1:33.0,,P. George makes 3-pt jump shot from 25 ft (assist by D. Schröder),25,20
1,1:08.0,T. Burke misses 2-pt layup from 3 ft,,25,20
1,1:07.0,,Defensive rebound by S. Adams,25,20
1,0:59.0,,D. Schröder makes 2-pt jump shot from 4 ft,25,22
1,0:47.0,S. Mejri makes 3-pt jump shot from 25 ft (assist by M. Kleber),,28,22
1,0:31.0,,D. Schröder makes 2-pt layup from 4 ft,28,24
1,0:16.0,T. Burke makes 3-pt jump shot from 27 ft (assist by S. Mejri),,31,24
1,0:00.0,,A. Nader misses 3-pt jump shot from 23 ft,31,24
1,0:00.0,,Offensive rebound by Team,31,24
2,11:49.0,,P. George misses 3-pt jump shot from 23 ft,31,24
2,11:45.0,Defensive rebound by D. Nowitzki,,31,24
2,11:30.0,D. Nowitzki misses 2-pt hook shot from 7 ft,,31,24
2,11:28.0,,Defensive rebound by P. George,31,24
2,11:21.0,,Shooting foul by D. Nowitzki (drawn by P. George),31,24
2,11:21.0,,P. George makes free throw 1 of 2,31,25
2,11:21.0,,P. George makes free throw 2 of 2,31,26
2,11:03.0,T. Burke makes 2-pt layup from 2 ft,,33,26
2,10:52.0,,D. Schröder misses 2-pt jump shot from 16 ft,33,26
2,10:51.0,Defensive rebound by D. Nowitzki,,33,26
2,10:46.0,R. Broekhoff misses 3-pt jump shot from 23 ft,,33,26
2,10:43.0,,Defensive rebound by M. Morris,33,26
2,10:37.0,,M. Morris misses 3-pt jump shot from 25 ft,33,26
2,10:35.0,Defensive rebound by R. Broekhoff,,33,26
2,10:22.0,D. Powell misses 2-pt layup from 1 ft,,33,26
2,10:20.0,,Defensive rebound by S. Adams,33,26
2,10:16.0,,M. Morris makes 2-pt layup from 2 ft (assist by D. Schröder),33,28
2,9:50.0,T. Burke misses 3-pt jump shot from 25 ft,,33,28
2,9:48.0,,Defensive rebound by S. Adams,33,28
2,9:42.0,,P. George makes 3-pt jump shot from 25 ft,33,31
2,9:41.0,Dallas full timeout,,33,31
2,9:41.0,D. Harris enters the game for R. Broekhoff,,33,31
2,9:30.0,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by T. Burke),,35,31
2,9:07.0,,P. George misses 2-pt layup from 1 ft,35,31
2,9:05.0,Defensive rebound by D. Nowitzki,,35,31
2,9:00.0,Personal foul by T. Ferguson (drawn by D. Nowitzki),,35,31
2,8:53.0,D. Harris makes 2-pt jump shot from 12 ft,,37,31
2,8:43.0,,Personal foul by D. Finney-Smith (drawn by P. George),37,31
2,8:43.0,,R. Westbrook enters the game for D. Schröder,37,31
2,8:32.0,,M. Morris misses 3-pt jump shot from 24 ft,37,31
2,8:32.0,,Offensive rebound by Team,37,31
2,8:32.0,Loose ball foul by D. Harris (drawn by S. Adams),,37,31
2,8:23.0,,Shooting foul by D. Finney-Smith (drawn by M. Morris),37,31
2,8:23.0,,M. Morris makes free throw 1 of 2,37,32
2,8:23.0,,M. Morris makes free throw 2 of 2,37,33
2,8:02.0,D. Harris makes 3-pt jump shot from 25 ft (assist by T. Burke),,40,33
2,7:47.0,,T. Ferguson misses 3-pt jump shot from 25 ft,40,33
2,7:45.0,,Offensive rebound by S. Adams,40,33
2,7:34.0,,P. George makes 2-pt layup from 4 ft,40,35
2,7:34.0,R. Broekhoff enters the game for D. Finney-Smith,,40,35
2,7:34.0,,N. Noel enters the game for S. Adams,40,35
2,7:34.0,,D. Schröder enters the game for P. George,40,35
2,7:19.0,Personal foul by N. Noel (drawn by D. Powell),,40,35
2,7:11.0,D. Powell misses 2-pt layup from 5 ft (block by N. Noel),,40,35
2,7:07.0,,Defensive rebound by T. Ferguson,40,35
2,7:00.0,,Shooting foul by D. Powell (drawn by T. Ferguson),40,35
2,7:00.0,,T. Ferguson makes free throw 1 of 2,40,36
2,7:00.0,,T. Ferguson makes free throw 2 of 2,40,37
2,6:37.0,D. Harris makes 3-pt jump shot from 23 ft (assist by T. Burke),,43,37
2,6:25.0,,M. Morris misses 3-pt jump shot from 25 ft,43,37
2,6:22.0,Defensive rebound by D. Harris,,43,37
2,6:11.0,D. Nowitzki misses 2-pt jump shot from 8 ft,,43,37
2,6:09.0,,Defensive rebound by R. Westbrook,43,37
2,6:04.0,,Turnover by R. Westbrook (bad pass),43,37
2,6:04.0,,J. Grant enters the game for M. Morris,43,37
2,5:52.0,T. Burke makes 2-pt layup from 1 ft,,45,37
2,5:41.0,,R. Westbrook misses 3-pt jump shot from 26 ft,45,37
2,5:39.0,Defensive rebound by D. Powell,,45,37
2,5:35.0,D. Harris makes 3-pt jump shot from 25 ft (assist by T. Burke),,48,37
2,5:15.0,,R. Westbrook misses 2-pt jump shot from 16 ft,48,37
2,5:13.0,Defensive rebound by D. Nowitzki,,48,37
2,5:05.0,D. Powell makes 3-pt jump shot from 25 ft (assist by T. Burke),,51,37
2,5:05.0,,Oklahoma City full timeout,51,37
2,5:05.0,J. Brunson enters the game for T. Burke,,51,37
2,5:05.0,M. Kleber enters the game for D. Nowitzki,,51,37
2,5:05.0,S. Mejri enters the game for D. Powell,,51,37
2,5:05.0,,S. Adams enters the game for T. Ferguson,51,37
2,5:05.0,,P. George enters the game for N. Noel,51,37
2,4:56.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by P. George),51,40
2,4:36.0,J. Brunson makes 2-pt layup from 3 ft,,53,40
2,4:20.0,,R. Westbrook makes 3-pt jump shot from 24 ft (assist by S. Adams),53,43
2,4:01.0,Personal foul by D. Schröder (drawn by J. Brunson),,53,43
2,3:58.0,D. Harris makes 3-pt jump shot from 28 ft (assist by M. Kleber),,56,43
2,3:48.0,,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),56,45
2,3:33.0,D. Harris misses 3-pt jump shot from 23 ft,,56,45
2,3:30.0,,Defensive rebound by R. Westbrook,56,45
2,3:27.0,,J. Grant misses 3-pt jump shot from 23 ft,56,45
2,3:24.0,,Offensive rebound by S. Adams,56,45
2,3:18.0,,S. Adams makes 2-pt hook shot from 3 ft,56,47
2,3:01.0,Personal foul by D. Schröder (drawn by J. Brunson),,56,47
2,2:49.0,J. Brunson makes 2-pt jump shot from 17 ft,,58,47
2,2:31.0,,J. Grant misses 2-pt layup from 1 ft,58,47
2,2:28.0,Defensive rebound by S. Mejri,,58,47
2,2:16.0,J. Brunson misses 2-pt layup from 2 ft (block by S. Adams),,58,47
2,2:16.0,Offensive rebound by Team,,58,47
2,2:14.0,D. Harris misses 3-pt jump shot from 34 ft,,58,47
2,2:09.0,,Defensive rebound by J. Grant,58,47
2,2:03.0,,P. George makes 3-pt jump shot from 23 ft (assist by R. Westbrook),58,50
2,1:43.0,M. Kleber misses 3-pt jump shot from 26 ft,,58,50
2,1:41.0,,Defensive rebound by D. Schröder,58,50
2,1:38.0,,P. George makes 2-pt layup from 1 ft (assist by D. Schröder),58,52
2,1:38.0,Dallas full timeout,,58,52
2,1:38.0,C. Lee enters the game for D. Harris,,58,52
2,1:18.0,Turnover by J. Brunson (bad pass; steal by R. Westbrook),,58,52
2,1:15.0,,R. Westbrook makes 2-pt layup from 1 ft,58,54
2,0:57.0,Offensive foul by S. Mejri (drawn by D. Schröder),,58,54
2,0:57.0,Turnover by S. Mejri (offensive foul),,58,54
2,0:57.0,D. Powell enters the game for S. Mejri,,58,54
2,0:45.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),58,56
2,0:36.0,J. Brunson misses 3-pt jump shot from 25 ft,,58,56
2,0:33.0,,Defensive rebound by R. Westbrook,58,56
2,0:31.0,,Personal foul by J. Brunson (drawn by S. Adams),58,56
2,0:31.0,,S. Adams misses free throw 1 of 2,58,56
2,0:31.0,,Offensive rebound by Team,58,56
2,0:31.0,,S. Adams misses free throw 2 of 2,58,56
2,0:29.0,Defensive rebound by M. Kleber,,58,56
2,0:11.0,J. Brunson misses 2-pt layup from 3 ft (block by J. Grant),,58,56
2,0:11.0,Offensive rebound by Team,,58,56
2,0:08.0,M. Kleber misses 2-pt jump shot from 18 ft,,58,56
2,0:04.0,,Defensive rebound by P. George,58,56
2,0:02.0,,Turnover by R. Westbrook (out of bounds lost ball),58,56
3,11:49.0,,P. George misses 3-pt jump shot from 25 ft,58,56
3,11:45.0,Defensive rebound by D. Nowitzki,,58,56
3,11:33.0,C. Lee makes 3-pt jump shot from 25 ft (assist by J. Brunson),,61,56
3,11:22.0,,J. Grant misses 3-pt jump shot from 25 ft,61,56
3,11:20.0,,Offensive rebound by R. Westbrook,61,56
3,11:16.0,,Personal foul by J. Jackson (drawn by P. George),61,56
3,11:07.0,,Turnover by R. Westbrook (bad pass; steal by J. Brunson),61,56
3,10:50.0,Shooting foul by T. Ferguson (drawn by C. Lee),,61,56
3,10:50.0,C. Lee makes free throw 1 of 2,,62,56
3,10:50.0,C. Lee misses free throw 2 of 2,,62,56
3,10:48.0,,Defensive rebound by J. Grant,62,56
3,10:33.0,,J. Grant misses 3-pt jump shot from 23 ft,62,56
3,10:31.0,,Offensive rebound by S. Adams,62,56
3,10:27.0,,J. Grant makes 2-pt dunk from 1 ft (assist by S. Adams),62,58
3,10:05.0,Turnover by D. Powell (out of bounds lost ball),,62,58
3,9:54.0,,J. Grant misses 2-pt jump shot from 20 ft,62,58
3,9:50.0,Defensive rebound by J. Brunson,,62,58
3,9:42.0,D. Powell misses 3-pt jump shot from 27 ft,,62,58
3,9:41.0,,Defensive rebound by P. George,62,58
3,9:34.0,,Offensive foul by J. Grant (drawn by D. Powell),62,58
3,9:34.0,,Turnover by J. Grant (offensive foul),62,58
3,9:34.0,,R. Felton enters the game for T. Ferguson,62,58
3,9:34.0,,D. Schröder enters the game for J. Grant,62,58
3,9:18.0,Personal foul by D. Schröder (drawn by J. Brunson),,62,58
3,9:07.0,C. Lee misses 3-pt jump shot from 26 ft,,62,58
3,9:04.0,,Defensive rebound by R. Westbrook,62,58
3,8:59.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),62,60
3,8:36.0,Turnover by D. Powell (bad pass),,62,60
3,8:30.0,,D. Schröder misses 3-pt jump shot from 25 ft,62,60
3,8:27.0,,Offensive rebound by S. Adams,62,60
3,8:18.0,,R. Felton makes 2-pt jump shot from 19 ft,62,62
3,8:16.0,Dallas full timeout,,62,62
3,8:16.0,D. Finney-Smith enters the game for D. Nowitzki,,62,62
3,8:06.0,Turnover by D. Powell (bad pass),,62,62
3,7:54.0,,R. Felton misses 2-pt jump shot from 12 ft,62,62
3,7:51.0,Defensive rebound by J. Jackson,,62,62
3,7:37.0,C. Lee misses 2-pt layup from 8 ft,,62,62
3,7:36.0,,Defensive rebound by Team,62,62
3,7:26.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),62,64
3,7:26.0,T. Burke enters the game for J. Jackson,,62,64
3,7:26.0,D. Harris enters the game for C. Lee,,62,64
3,7:02.0,D. Powell misses 3-pt jump shot from 25 ft,,62,64
3,6:56.0,Offensive rebound by D. Finney-Smith,,62,64
3,6:56.0,D. Finney-Smith misses 2-pt layup at rim,,62,64
3,6:54.0,Offensive rebound by D. Finney-Smith,,62,64
3,6:45.0,J. Brunson misses 3-pt jump shot from 23 ft,,62,64
3,6:42.0,,Defensive rebound by R. Felton,62,64
3,6:38.0,,Personal foul by D. Finney-Smith (drawn by D. Schröder),62,64
3,6:30.0,,Turnover by P. George (bad pass),62,64
3,6:22.0,T. Burke misses 2-pt layup from 3 ft (block by S. Adams),,62,64
3,6:22.0,Offensive rebound by Team,,62,64
3,6:09.0,T. Burke misses 3-pt jump shot from 23 ft,,62,64
3,6:06.0,,Defensive rebound by R. Westbrook,62,64
3,6:01.0,,P. George misses 3-pt jump shot from 26 ft,62,64
3,5:59.0,,Offensive rebound by S. Adams,62,64
3,5:57.0,Violation by Team (kicked ball),,62,64
3,5:45.0,,S. Adams makes 2-pt jump shot from 8 ft (assist by R. Westbrook),62,66
3,5:26.0,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by J. Brunson),,65,66
3,5:17.0,,D. Schröder misses 3-pt jump shot from 25 ft,65,66
3,5:14.0,Defensive rebound by D. Finney-Smith,,65,66
3,4:56.0,Turnover by J. Brunson (back court),,65,66
3,4:56.0,,J. Grant enters the game for S. Adams,65,66
3,4:56.0,,N. Noel enters the game for P. George,65,66
3,4:43.0,,R. Westbrook makes 2-pt jump shot from 17 ft,65,68
3,4:29.0,D. Harris misses 3-pt jump shot from 27 ft,,65,68
3,4:27.0,Offensive rebound by D. Powell,,65,68
3,4:26.0,Shooting foul by J. Grant (drawn by D. Powell),,65,68
3,4:26.0,D. Powell makes free throw 1 of 2,,66,68
3,4:26.0,M. Kleber enters the game for J. Brunson,,66,68
3,4:26.0,D. Powell makes free throw 2 of 2,,67,68
3,4:13.0,,R. Westbrook makes 2-pt jump shot from 16 ft,67,70
3,4:02.0,Personal foul by N. Noel (drawn by D. Powell),,67,70
3,4:02.0,D. Nowitzki enters the game for D. Powell,,67,70
3,3:50.0,T. Burke makes 2-pt jump shot from 15 ft,,69,70
3,3:33.0,,R. Westbrook misses 2-pt jump shot from 13 ft,69,70
3,3:31.0,Defensive rebound by D. Nowitzki,,69,70
3,3:13.0,T. Burke makes 3-pt jump shot from 25 ft (assist by D. Harris),,72,70
3,2:55.0,,R. Westbrook makes 3-pt jump shot from 25 ft (assist by D. Schröder),72,73
3,2:44.0,T. Burke makes 2-pt layup from 2 ft,,74,73
3,2:39.0,,Shooting foul by D. Finney-Smith (drawn by R. Westbrook),74,73
3,2:39.0,,Technical foul by R. Westbrook,74,73
3,2:39.0,,Oklahoma City full timeout,74,73
3,2:39.0,,T. Ferguson enters the game for R. Felton,74,73
3,2:39.0,D. Nowitzki makes technical free throw,,75,73
3,2:39.0,,R. Westbrook makes free throw 1 of 2,75,74
3,2:39.0,,R. Westbrook makes free throw 2 of 2,75,75
3,2:21.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,75,75
3,2:18.0,,Defensive rebound by Team,75,75
3,2:18.0,,P. George enters the game for R. Westbrook,75,75
3,2:04.0,,P. George misses 3-pt jump shot from 26 ft,75,75
3,2:00.0,Defensive rebound by D. Finney-Smith,,75,75
3,1:51.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,75,75
3,1:47.0,,Defensive rebound by D. Schröder,75,75
3,1:30.0,,D. Schröder misses 2-pt layup from 2 ft,75,75
3,1:28.0,Defensive rebound by D. Nowitzki,,75,75
3,1:19.0,T. Burke misses 3-pt jump shot from 25 ft,,75,75
3,1:16.0,,Defensive rebound by N. Noel,75,75
3,1:08.0,,P. George misses 2-pt layup from 3 ft,75,75
3,1:05.0,Defensive rebound by D. Nowitzki,,75,75
3,0:59.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,,75,75
3,0:57.0,,Defensive rebound by D. Schröder,75,75
3,0:45.0,,Turnover by P. George (out of bounds lost ball),75,75
3,0:45.0,,S. Adams enters the game for N. Noel,75,75
3,0:32.0,D. Finney-Smith makes 2-pt layup from 1 ft (assist by T. Burke),,77,75
3,0:07.0,,D. Schröder misses 2-pt jump shot from 21 ft,77,75
3,0:05.0,Defensive rebound by D. Finney-Smith,,77,75
3,0:01.0,T. Burke makes 3-pt jump shot from 28 ft,,80,75
3,0:00.0,,S. Adams misses 3-pt jump shot from 61 ft,80,75
3,0:00.0,,Offensive rebound by Team,80,75
4,11:48.0,Turnover by D. Harris (out of bounds lost ball),,80,75
4,11:48.0,Technical foul by D. Harris,,80,75
4,11:48.0,,P. George makes technical free throw,80,76
4,11:24.0,,M. Morris misses 2-pt layup from 3 ft (block by M. Kleber),80,76
4,11:22.0,Defensive rebound by D. Nowitzki,,80,76
4,11:12.0,Personal foul by A. Nader (drawn by M. Kleber),,80,76
4,11:04.0,Turnover by D. Harris (lost ball; steal by A. Nader),,80,76
4,10:57.0,,A. Nader misses 2-pt layup from 1 ft,80,76
4,10:55.0,Defensive rebound by D. Finney-Smith,,80,76
4,10:53.0,D. Harris misses 2-pt layup from 1 ft (block by D. Schröder),,80,76
4,10:53.0,Offensive rebound by Team,,80,76
4,10:52.0,Shooting foul by A. Nader (drawn by D. Harris),,80,76
4,10:52.0,D. Harris misses free throw 1 of 2,,80,76
4,10:52.0,Offensive rebound by Team,,80,76
4,10:52.0,D. Harris makes free throw 2 of 2,,81,76
4,10:42.0,,P. George makes 3-pt jump shot from 26 ft,81,79
4,10:22.0,D. Harris misses 3-pt jump shot from 26 ft,,81,79
4,10:19.0,,Defensive rebound by D. Schröder,81,79
4,10:15.0,,Shooting foul by D. Harris (drawn by D. Schröder),81,79
4,10:15.0,,D. Schröder makes free throw 1 of 2,81,80
4,10:15.0,R. Broekhoff enters the game for D. Finney-Smith,,81,80
4,10:15.0,J. Brunson enters the game for D. Harris,,81,80
4,10:15.0,,D. Schröder misses free throw 2 of 2,81,80
4,10:12.0,Defensive rebound by D. Nowitzki,,81,80
4,9:57.0,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by R. Broekhoff),,84,80
4,9:38.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by P. George),84,83
4,9:17.0,D. Nowitzki misses 2-pt jump shot from 10 ft,,84,83
4,9:15.0,,Defensive rebound by S. Adams,84,83
4,9:11.0,,D. Schröder misses 3-pt jump shot from 25 ft,84,83
4,9:09.0,Defensive rebound by D. Nowitzki,,84,83
4,9:00.0,M. Kleber misses 3-pt jump shot from 25 ft,,84,83
4,8:57.0,Offensive rebound by D. Nowitzki,,84,83
4,8:57.0,Shooting foul by M. Morris (drawn by D. Nowitzki),,84,83
4,8:57.0,D. Nowitzki misses free throw 1 of 2,,84,83
4,8:57.0,Offensive rebound by Team,,84,83
4,8:57.0,,R. Felton enters the game for A. Nader,84,83
4,8:57.0,,R. Westbrook enters the game for D. Schröder,84,83
4,8:57.0,D. Nowitzki makes free throw 2 of 2,,85,83
4,8:43.0,,P. George misses 3-pt jump shot from 24 ft,85,83
4,8:40.0,Defensive rebound by R. Broekhoff,,85,83
4,8:29.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,85,83
4,8:27.0,,Defensive rebound by P. George,85,83
4,8:11.0,,R. Felton misses 3-pt jump shot from 27 ft,85,83
4,8:06.0,Defensive rebound by M. Kleber,,85,83
4,8:01.0,Shooting foul by M. Morris (drawn by J. Brunson),,85,83
4,8:01.0,J. Brunson makes free throw 1 of 2,,86,83
4,8:01.0,J. Brunson makes free throw 2 of 2,,87,83
4,7:47.0,,M. Morris misses 2-pt jump shot from 9 ft,87,83
4,7:45.0,Defensive rebound by R. Broekhoff,,87,83
4,7:31.0,R. Broekhoff makes 3-pt jump shot from 25 ft (assist by T. Burke),,90,83
4,7:19.0,,Shooting foul by R. Broekhoff (drawn by P. George),90,83
4,7:19.0,,P. George misses free throw 1 of 2,90,83
4,7:19.0,,Offensive rebound by Team,90,83
4,7:19.0,,J. Grant enters the game for M. Morris,90,83
4,7:19.0,,P. George makes free throw 2 of 2,90,84
4,7:06.0,Personal foul by R. Felton (drawn by J. Brunson),,90,84
4,7:06.0,J. Brunson makes free throw 1 of 2,,91,84
4,7:06.0,J. Brunson makes free throw 2 of 2,,92,84
4,6:56.0,,J. Grant misses 2-pt layup from 8 ft (block by D. Nowitzki),92,84
4,6:54.0,Defensive rebound by T. Burke,,92,84
4,6:50.0,Shooting foul by S. Adams (drawn by T. Burke),,92,84
4,6:50.0,,Oklahoma City full timeout,92,84
4,6:50.0,D. Powell enters the game for M. Kleber,,92,84
4,6:50.0,T. Burke misses free throw 1 of 2,,92,84
4,6:50.0,Offensive rebound by Team,,92,84
4,6:50.0,T. Burke makes free throw 2 of 2,,93,84
4,6:43.0,,S. Adams misses 2-pt layup from 1 ft,93,84
4,6:36.0,,Offensive rebound by S. Adams,93,84
4,6:36.0,,S. Adams makes 2-pt layup from 1 ft,93,86
4,6:26.0,D. Powell misses 2-pt layup from 2 ft (block by P. George),,93,86
4,6:23.0,,Defensive rebound by R. Westbrook,93,86
4,6:19.0,,R. Westbrook misses 3-pt jump shot from 25 ft,93,86
4,6:18.0,,Offensive rebound by R. Westbrook,93,86
4,6:17.0,,R. Westbrook makes 2-pt layup from 1 ft,93,88
4,6:05.0,Turnover by J. Brunson (lost ball; steal by P. George),,93,88
4,5:55.0,,J. Grant misses 3-pt jump shot from 24 ft,93,88
4,5:51.0,,Offensive rebound by P. George,93,88
4,5:51.0,,Personal foul by R. Broekhoff (drawn by P. George),93,88
4,5:51.0,M. Kleber enters the game for D. Nowitzki,,93,88
4,5:44.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),93,91
4,5:23.0,T. Burke misses 3-pt jump shot from 26 ft,,93,91
