QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ATLANTA_ACTION,MEMPHIS_SCORE,ATLANTA_SCORE
3,11:40.0,,D. Dedmon makes 2-pt hook shot from 9 ft (assist by K. Huerter),60,74
3,11:18.0,Turnover by J. Valančiūnas (3 sec),,60,74
3,11:07.0,Violation by Team (kicked ball),,60,74
3,10:57.0,,D. Dedmon misses 2-pt jump shot from 8 ft,60,74
3,10:57.0,,Offensive rebound by Team,60,74
3,10:57.0,Loose ball foul by J. Holiday (drawn by J. Collins),,60,74
3,10:41.0,,J. Collins misses 2-pt layup from 9 ft (block by J. Valančiūnas),60,74
3,10:39.0,Defensive rebound by M. Conley,,60,74
3,10:22.0,Turnover by J. Valančiūnas (lost ball; steal by J. Collins),,60,74
3,10:18.0,,T. Young makes 3-pt jump shot from 29 ft,60,77
3,9:52.0,A. Bradley makes 2-pt jump shot from 18 ft (assist by I. Rabb),,62,77
3,9:35.0,,T. Prince makes 3-pt jump shot from 25 ft,62,80
3,9:33.0,Memphis full timeout,,62,80
3,9:33.0,T. Dorsey enters the game for J. Holiday,,62,80
3,9:33.0,C. Miles enters the game for I. Rabb,,62,80
3,9:33.0,J. Noah enters the game for J. Valančiūnas,,62,80
3,9:22.0,A. Bradley misses 2-pt jump shot from 21 ft,,62,80
3,9:19.0,,Defensive rebound by J. Collins,62,80
3,9:07.0,,T. Young makes 2-pt layup from 1 ft,62,82
3,9:07.0,,Shooting foul by M. Conley (drawn by T. Young),62,82
3,9:07.0,D. Wright enters the game for A. Bradley,,62,82
3,9:07.0,,T. Young makes free throw 1 of 1,62,83
3,8:53.0,T. Dorsey makes 2-pt jump shot from 20 ft (assist by M. Conley),,64,83
3,8:36.0,,J. Collins misses 2-pt hook shot from 4 ft (block by T. Dorsey),64,83
3,8:36.0,,Offensive rebound by Team,64,83
3,8:31.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),64,85
3,8:14.0,D. Wright misses 3-pt jump shot from 26 ft,,64,85
3,8:11.0,,Defensive rebound by D. Dedmon,64,85
3,8:07.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),64,87
3,7:55.0,M. Conley makes 2-pt layup from 1 ft,,66,87
3,7:55.0,Shooting foul by D. Dedmon (drawn by M. Conley),,66,87
3,7:55.0,M. Conley makes free throw 1 of 1,,67,87
3,7:42.0,,Offensive foul by K. Huerter (drawn by M. Conley),67,87
3,7:42.0,,Turnover by K. Huerter (offensive foul),67,87
3,7:34.0,C. Miles misses 3-pt jump shot from 26 ft,,67,87
3,7:31.0,Offensive rebound by T. Dorsey,,67,87
3,7:29.0,M. Conley makes 3-pt jump shot from 25 ft (assist by D. Wright),,70,87
3,7:13.0,,T. Young misses 2-pt jump shot from 22 ft,70,87
3,7:12.0,,Offensive rebound by J. Collins,70,87
3,7:12.0,,J. Collins makes 2-pt layup at rim,70,89
3,7:12.0,,Shooting foul by D. Wright (drawn by J. Collins),70,89
3,7:12.0,,J. Adams enters the game for D. Dedmon,70,89
3,7:12.0,,K. Bazemore enters the game for K. Huerter,70,89
3,7:12.0,,A. Len enters the game for T. Young,70,89
3,7:12.0,,J. Collins makes free throw 1 of 1,70,90
3,7:09.0,Personal foul by K. Bazemore (drawn by D. Wright),,70,90
3,7:04.0,M. Conley misses 3-pt jump shot from 25 ft,,70,90
3,7:00.0,,Defensive rebound by J. Collins,70,90
3,6:46.0,,A. Len misses 3-pt jump shot from 23 ft,70,90
3,6:43.0,,Offensive rebound by J. Collins,70,90
3,6:42.0,,Turnover by J. Collins (bad pass; steal by D. Wright),70,90
3,6:35.0,J. Noah makes 2-pt dunk from 1 ft (assist by D. Wright),,72,90
3,6:35.0,,Atlanta full timeout,72,90
3,6:35.0,,V. Carter enters the game for J. Collins,72,90
3,6:23.0,,T. Prince misses 2-pt jump shot from 11 ft,72,90
3,6:20.0,Defensive rebound by J. Noah,,72,90
3,6:20.0,Personal foul by J. Adams (drawn by J. Noah),,72,90
3,6:10.0,T. Dorsey misses 2-pt jump shot from 17 ft,,72,90
3,6:07.0,,Defensive rebound by A. Len,72,90
3,5:56.0,,K. Bazemore misses 3-pt jump shot from 23 ft,72,90
3,5:53.0,Defensive rebound by C. Miles,,72,90
3,5:49.0,Shooting foul by T. Prince (drawn by C. Miles),,72,90
3,5:49.0,C. Miles misses free throw 1 of 2,,72,90
3,5:49.0,Offensive rebound by Team,,72,90
3,5:49.0,C. Miles makes free throw 2 of 2,,73,90
3,5:32.0,,Turnover by K. Bazemore (bad pass; steal by D. Wright),73,90
3,5:32.0,Personal foul by A. Len (drawn by C. Miles),,73,90
3,5:32.0,C. Miles makes free throw 1 of 2,,74,90
3,5:32.0,,D. Bembry enters the game for T. Prince,74,90
3,5:32.0,C. Miles makes free throw 2 of 2,,75,90
3,5:14.0,,V. Carter makes 2-pt jump shot from 11 ft (assist by J. Adams),75,92
3,5:03.0,Turnover by D. Wright (out of bounds lost ball),,75,92
3,4:52.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by D. Bembry),75,95
3,4:36.0,Turnover by C. Miles (bad pass; steal by D. Bembry),,75,95
3,4:32.0,,A. Len makes 2-pt dunk from 1 ft (assist by D. Bembry),75,97
3,4:17.0,M. Conley makes 2-pt jump shot from 11 ft,,77,97
3,4:17.0,Shooting foul by D. Bembry (drawn by M. Conley),,77,97
3,4:17.0,M. Conley makes free throw 1 of 1,,78,97
3,4:05.0,,K. Bazemore misses 2-pt jump shot from 12 ft (block by D. Wright),78,97
3,4:00.0,Defensive rebound by M. Conley,,78,97
3,3:56.0,C. Miles makes 3-pt jump shot from 25 ft (assist by M. Conley),,81,97
3,3:54.0,,Atlanta full timeout,81,97
3,3:54.0,C. Parsons enters the game for M. Conley,,81,97
3,3:42.0,,J. Adams misses 3-pt jump shot from 23 ft,81,97
3,3:38.0,,Offensive rebound by J. Adams,81,97
3,3:37.0,,Turnover by J. Adams (bad pass; steal by T. Dorsey),81,97
3,3:26.0,T. Dorsey misses 3-pt jump shot from 25 ft,,81,97
3,3:22.0,,Defensive rebound by A. Len,81,97
3,3:20.0,,Personal foul by C. Parsons (drawn by A. Len),81,97
3,3:15.0,,J. Adams makes 3-pt jump shot from 25 ft (assist by A. Len),81,100
3,2:50.0,C. Miles makes 3-pt jump shot from 27 ft (assist by D. Wright),,84,100
3,2:36.0,,D. Bembry misses 3-pt jump shot from 24 ft,84,100
3,2:33.0,,Offensive rebound by A. Len,84,100
3,2:32.0,,V. Carter misses 3-pt jump shot from 27 ft,84,100
3,2:30.0,Defensive rebound by Team,,84,100
3,2:11.0,Shooting foul by A. Len (drawn by J. Noah),,84,100
3,2:11.0,J. Noah misses free throw 1 of 2,,84,100
3,2:11.0,Offensive rebound by Team,,84,100
3,2:11.0,,K. Huerter enters the game for K. Bazemore,84,100
3,2:11.0,J. Noah makes free throw 2 of 2,,85,100
3,1:58.0,,Personal foul by J. Noah (drawn by A. Len),85,100
3,1:58.0,,A. Len makes free throw 1 of 2,85,101
3,1:58.0,,A. Len makes free throw 2 of 2,85,102
3,1:45.0,C. Parsons misses 2-pt jump shot from 20 ft,,85,102
3,1:41.0,,Defensive rebound by D. Bembry,85,102
3,1:28.0,,Turnover by J. Adams (lost ball; steal by J. Noah),85,102
3,1:21.0,C. Parsons makes 2-pt layup at rim (assist by J. Noah),,87,102
3,1:03.0,,J. Adams makes 3-pt jump shot from 26 ft (assist by K. Huerter),87,105
3,0:53.0,D. Wright misses 2-pt layup from 3 ft (block by K. Huerter),,87,105
3,0:49.0,,Defensive rebound by A. Len,87,105
3,0:46.0,,K. Huerter makes 3-pt jump shot from 25 ft (assist by J. Adams),87,108
3,0:34.0,C. Miles misses 2-pt layup from 1 ft (block by D. Bembry),,87,108
3,0:30.0,,Defensive rebound by D. Bembry,87,108
3,0:23.0,,A. Len makes 2-pt dunk from 1 ft (assist by V. Carter),87,110
3,0:02.0,T. Dorsey makes 3-pt jump shot from 23 ft (assist by C. Parsons),,90,110
3,0:00.0,,K. Huerter misses 3-pt jump shot from 46 ft,90,110
3,0:00.0,,Offensive rebound by Team,90,110
4,11:40.0,D. Wright misses 3-pt jump shot from 25 ft,,90,110
4,11:37.0,,Defensive rebound by J. Collins,90,110
4,11:33.0,,Turnover by J. Adams (bad pass),90,110
4,11:17.0,Turnover by C. Miles (bad pass; steal by D. Dedmon),,90,110
4,11:12.0,,Turnover by D. Bembry (bad pass; steal by C. Parsons),90,110
4,11:07.0,D. Wright makes 2-pt layup from 1 ft (assist by C. Parsons),,92,110
4,10:55.0,,D. Dedmon misses 3-pt jump shot from 24 ft,92,110
4,10:51.0,Defensive rebound by T. Dorsey,,92,110
4,10:42.0,J. Valančiūnas misses 2-pt hook shot from 8 ft,,92,110
4,10:40.0,,Defensive rebound by J. Collins,92,110
4,10:34.0,,J. Collins makes 2-pt dunk from 1 ft (assist by J. Adams),92,112
4,10:07.0,J. Valančiūnas misses 2-pt jump shot from 18 ft,,92,112
4,10:04.0,,Defensive rebound by D. Bembry,92,112
4,9:49.0,,J. Collins makes 2-pt hook shot from 7 ft,92,114
4,9:31.0,Personal foul by D. Dedmon (drawn by J. Valančiūnas),,92,114
4,9:31.0,M. Conley enters the game for C. Miles,,92,114
4,9:31.0,I. Rabb enters the game for D. Wright,,92,114
4,9:31.0,,T. Prince enters the game for J. Adams,92,114
4,9:31.0,,T. Young enters the game for D. Bembry,92,114
4,9:22.0,Turnover by I. Rabb (lost ball; steal by D. Dedmon),,92,114
4,9:15.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),92,116
4,9:04.0,T. Dorsey misses 3-pt jump shot from 26 ft,,92,116
4,9:03.0,,Defensive rebound by Team,92,116
4,9:03.0,Loose ball foul by J. Valančiūnas (drawn by D. Dedmon),,92,116
4,8:57.0,,T. Young misses 3-pt jump shot from 34 ft,92,116
4,8:54.0,,Offensive rebound by D. Dedmon,92,116
4,8:52.0,,D. Dedmon misses 2-pt layup from 1 ft,92,116
4,8:52.0,Defensive rebound by Team,,92,116
4,8:52.0,,Loose ball foul by D. Dedmon (drawn by T. Dorsey),92,116
4,8:37.0,J. Valančiūnas makes 2-pt jump shot from 11 ft (assist by C. Parsons),,94,116
4,8:27.0,,Personal foul by I. Rabb (drawn by T. Young),94,116
4,8:17.0,,T. Young makes 2-pt jump shot from 14 ft,94,118
4,7:52.0,C. Parsons misses 3-pt jump shot from 26 ft,,94,118
4,7:47.0,,Defensive rebound by T. Young,94,118
4,7:44.0,,K. Huerter misses 3-pt jump shot from 26 ft,94,118
4,7:41.0,Defensive rebound by C. Parsons,,94,118
4,7:37.0,M. Conley misses 3-pt jump shot from 23 ft,,94,118
4,7:33.0,,Defensive rebound by T. Young,94,118
4,7:31.0,,Shooting foul by M. Conley (drawn by T. Young),94,118
4,7:31.0,,T. Young makes free throw 1 of 2,94,119
4,7:31.0,A. Bradley enters the game for T. Dorsey,,94,119
4,7:31.0,J. Holiday enters the game for C. Parsons,,94,119
4,7:31.0,,T. Young makes free throw 2 of 2,94,120
4,7:20.0,Shooting foul by T. Young (drawn by M. Conley),,94,120
4,7:20.0,M. Conley misses free throw 1 of 2,,94,120
4,7:20.0,Offensive rebound by Team,,94,120
4,7:20.0,M. Conley makes free throw 2 of 2,,95,120
4,7:10.0,,T. Prince makes 2-pt layup from 2 ft,95,122
4,6:54.0,A. Bradley misses 3-pt jump shot from 25 ft,,95,122
4,6:50.0,Offensive rebound by I. Rabb,,95,122
4,6:48.0,I. Rabb misses 2-pt jump shot from 2 ft,,95,122
