QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SACRAMENTO_ACTION,MEMPHIS_SCORE,SACRAMENTO_SCORE
2,10:07.0,Offensive rebound by M. Gasol,,34,24
2,10:06.0,M. Gasol misses 2-pt jump shot from 14 ft,,34,24
2,10:06.0,,Defensive rebound by Team,34,24
2,10:06.0,Loose ball foul by W. Selden (drawn by B. Bogdanović),,34,24
2,10:06.0,,W. Cauley-Stein enters the game for K. Koufos,34,24
2,9:48.0,,Turnover by B. Hield (lost ball; steal by S. Mack),34,24
2,9:44.0,J. Green makes 2-pt dunk from 1 ft (assist by S. Mack),,36,24
2,9:35.0,,N. Bjelica misses 3-pt jump shot from 25 ft,36,24
2,9:35.0,,Offensive rebound by B. Hield,36,24
2,9:29.0,,N. Bjelica misses 3-pt jump shot from 25 ft,36,24
2,9:26.0,Defensive rebound by J. Carter,,36,24
2,9:15.0,J. Carter misses 2-pt jump shot from 14 ft,,36,24
2,9:15.0,,Defensive rebound by Team,36,24
2,9:15.0,Loose ball foul by J. Green (drawn by N. Bjelica),,36,24
2,9:15.0,K. Anderson enters the game for J. Green,,36,24
2,8:59.0,,W. Cauley-Stein misses 2-pt layup from 6 ft (block by M. Gasol),36,24
2,8:57.0,Defensive rebound by Team,,36,24
2,8:39.0,Turnover by J. Carter (bad pass; steal by B. Bogdanović),,36,24
2,8:36.0,,Shooting foul by J. Carter (drawn by B. Bogdanović),36,24
2,8:36.0,,Technical foul by N. Bjelica,36,24
2,8:36.0,,Defensive rebound by Team,36,24
2,8:36.0,S. Mack misses technical free throw,,36,24
2,8:36.0,,B. Bogdanović misses free throw 1 of 2,36,24
2,8:36.0,,Offensive rebound by Team,36,24
2,8:36.0,M. Conley enters the game for J. Carter,,36,24
2,8:36.0,G. Temple enters the game for S. Mack,,36,24
2,8:36.0,,B. Bogdanović makes free throw 2 of 2,36,25
2,8:15.0,G. Temple makes 2-pt layup from 2 ft (assist by W. Selden),,38,25
2,8:02.0,,B. Bogdanović misses 2-pt layup from 1 ft,38,25
2,8:00.0,,Offensive rebound by W. Cauley-Stein,38,25
2,7:59.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,38,27
2,7:50.0,M. Gasol misses 3-pt jump shot from 25 ft,,38,27
2,7:48.0,,Defensive rebound by W. Cauley-Stein,38,27
2,7:42.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,38,27
2,7:40.0,Defensive rebound by W. Selden,,38,27
2,7:38.0,Memphis full timeout,,38,27
2,7:38.0,J. Jackson enters the game for M. Gasol,,38,27
2,7:38.0,,D. Fox enters the game for N. Bjelica,38,27
2,7:38.0,,I. Shumpert enters the game for B. Bogdanović,38,27
2,7:25.0,K. Anderson makes 2-pt jump shot from 9 ft,,40,27
2,7:08.0,,D. Fox misses 2-pt layup from 6 ft (block by J. Jackson),40,27
2,7:05.0,Defensive rebound by J. Jackson,,40,27
2,7:01.0,M. Conley makes 3-pt jump shot from 24 ft (assist by W. Selden),,43,27
2,6:39.0,,J. Jackson misses 3-pt jump shot from 25 ft,43,27
2,6:37.0,,Offensive rebound by B. Hield,43,27
2,6:34.0,,B. Hield misses 2-pt layup from 4 ft,43,27
2,6:33.0,Defensive rebound by M. Conley,,43,27
2,6:27.0,W. Selden makes 3-pt jump shot from 25 ft (assist by M. Conley),,46,27
2,6:23.0,,Sacramento full timeout,46,27
2,6:09.0,,Personal foul by W. Selden (drawn by I. Shumpert),46,27
2,6:09.0,,I. Shumpert makes free throw 1 of 2,46,28
2,6:09.0,,I. Shumpert makes free throw 2 of 2,46,29
2,5:46.0,K. Anderson makes 2-pt hook shot from 2 ft,,48,29
2,5:35.0,,D. Fox misses 2-pt layup from 3 ft (block by M. Conley),48,29
2,5:32.0,,Offensive rebound by J. Jackson,48,29
2,5:30.0,,W. Cauley-Stein misses 2-pt hook shot from 4 ft,48,29
2,5:28.0,Defensive rebound by K. Anderson,,48,29
2,5:24.0,Offensive foul by J. Jackson (drawn by J. Jackson),,48,29
2,5:24.0,Turnover by J. Jackson (offensive foul),,48,29
2,5:17.0,,B. Hield misses 2-pt layup from 9 ft (block by G. Temple),48,29
2,5:17.0,,Offensive rebound by Team,48,29
2,5:12.0,,B. Hield misses 2-pt layup from 3 ft,48,29
2,5:09.0,,Offensive rebound by W. Cauley-Stein,48,29
2,5:06.0,,I. Shumpert makes 3-pt jump shot from 24 ft (assist by W. Cauley-Stein),48,32
2,4:58.0,Offensive foul by M. Conley (drawn by D. Fox),,48,32
2,4:58.0,Turnover by M. Conley (offensive foul),,48,32
2,4:58.0,J. Green enters the game for W. Selden,,48,32
2,4:34.0,,B. Hield misses 2-pt layup from 6 ft,48,32
2,4:30.0,,Offensive rebound by W. Cauley-Stein,48,32
2,4:30.0,,W. Cauley-Stein misses 2-pt dunk at rim,48,32
2,4:29.0,Defensive rebound by M. Conley,,48,32
2,4:27.0,K. Anderson makes 2-pt layup from 2 ft (assist by M. Conley),,50,32
2,4:19.0,,I. Shumpert makes 3-pt jump shot from 24 ft (assist by D. Fox),50,35
2,4:00.0,M. Conley misses 2-pt jump shot from 21 ft,,50,35
2,3:57.0,,Defensive rebound by B. Hield,50,35
2,3:52.0,,D. Fox misses 2-pt jump shot from 8 ft,50,35
2,3:46.0,Defensive rebound by J. Jackson,,50,35
2,3:27.0,M. Conley makes 3-pt jump shot from 25 ft (assist by J. Jackson),,53,35
2,3:04.0,,Shooting foul by K. Anderson (drawn by I. Shumpert),53,35
2,3:04.0,,I. Shumpert misses free throw 1 of 2,53,35
2,3:04.0,,Offensive rebound by Team,53,35
2,3:04.0,M. Gasol enters the game for M. Conley,,53,35
2,3:04.0,S. Mack enters the game for J. Jackson,,53,35
2,3:04.0,,N. Bjelica enters the game for J. Jackson,53,35
2,3:04.0,,I. Shumpert makes free throw 2 of 2,53,36
2,2:46.0,S. Mack misses 2-pt jump shot from 10 ft,,53,36
2,2:42.0,,Defensive rebound by N. Bjelica,53,36
2,2:38.0,,I. Shumpert makes 2-pt layup from 2 ft,53,38
2,2:12.0,J. Green misses 2-pt layup from 5 ft (block by N. Bjelica),,53,38
2,2:12.0,,Defensive rebound by B. Hield,53,38
2,1:58.0,,B. Hield misses 3-pt jump shot from 23 ft,53,38
2,1:55.0,Defensive rebound by G. Temple,,53,38
2,1:39.0,M. Gasol misses 2-pt hook shot from 6 ft,,53,38
2,1:36.0,,Defensive rebound by W. Cauley-Stein,53,38
2,1:27.0,,Offensive foul by N. Bjelica (drawn by M. Gasol),53,38
2,1:27.0,,Turnover by N. Bjelica (offensive foul),53,38
2,1:27.0,M. Conley enters the game for K. Anderson,,53,38
2,1:15.0,Turnover by M. Gasol (bad pass; steal by D. Fox),,53,38
2,1:12.0,,D. Fox makes 2-pt dunk at rim,53,40
2,0:56.0,M. Conley misses 3-pt jump shot from 24 ft,,53,40
2,0:53.0,,Defensive rebound by W. Cauley-Stein,53,40
2,0:48.0,,I. Shumpert misses 3-pt jump shot from 28 ft,53,40
2,0:45.0,Defensive rebound by J. Green,,53,40
2,0:31.0,Personal foul by B. Hield (drawn by M. Conley),,53,40
2,0:24.0,Turnover by M. Gasol (bad pass),,53,40
2,0:00.0,,D. Fox misses 2-pt jump shot from 15 ft,53,40
2,0:00.0,,Offensive rebound by Team,53,40
3,11:38.0,M. Gasol misses 2-pt jump shot from 13 ft,,53,40
3,11:35.0,,Defensive rebound by N. Bjelica,53,40
3,11:14.0,,B. Hield makes 2-pt jump shot from 21 ft (assist by W. Cauley-Stein),53,42
3,11:05.0,M. Conley makes 3-pt jump shot from 25 ft,,56,42
3,10:49.0,,Shooting foul by G. Temple (drawn by B. Hield),56,42
3,10:49.0,Memphis full timeout,,56,42
3,10:49.0,,B. Hield misses free throw 1 of 3,56,42
3,10:49.0,,Offensive rebound by Team,56,42
3,10:49.0,,B. Hield makes free throw 2 of 3,56,43
3,10:49.0,,B. Hield makes free throw 3 of 3,56,44
3,10:39.0,Personal foul by N. Bjelica (drawn by J. Jackson),,56,44
3,10:28.0,G. Temple makes 3-pt jump shot from 23 ft (assist by M. Gasol),,59,44
3,10:16.0,,N. Bjelica makes 3-pt jump shot from 26 ft (assist by D. Fox),59,47
3,9:46.0,M. Conley misses 3-pt jump shot from 25 ft,,59,47
3,9:42.0,,Defensive rebound by B. Hield,59,47
3,9:24.0,,N. Bjelica misses 2-pt layup from 2 ft (block by J. Jackson),59,47
3,9:20.0,,Offensive rebound by N. Bjelica,59,47
3,9:20.0,,I. Shumpert misses 3-pt jump shot from 25 ft,59,47
3,9:20.0,,Offensive rebound by Team,59,47
3,9:20.0,Loose ball foul by K. Anderson (drawn by W. Cauley-Stein),,59,47
3,9:13.0,,D. Fox misses 2-pt jump shot from 17 ft,59,47
3,9:10.0,Defensive rebound by M. Conley,,59,47
3,9:04.0,M. Conley makes 3-pt jump shot from 23 ft (assist by J. Jackson),,62,47
3,8:46.0,,N. Bjelica makes 3-pt jump shot from 23 ft (assist by B. Hield),62,50
3,8:27.0,Offensive foul by J. Jackson (drawn by B. Hield),,62,50
3,8:27.0,Turnover by J. Jackson (offensive foul),,62,50
3,8:17.0,,D. Fox makes 3-pt jump shot from 23 ft (assist by W. Cauley-Stein),62,53
3,7:53.0,M. Conley misses 2-pt jump shot from 8 ft,,62,53
3,7:50.0,,Defensive rebound by B. Hield,62,53
3,7:46.0,,B. Hield makes 2-pt layup from 2 ft,62,55
3,7:46.0,Memphis full timeout,,62,55
3,7:34.0,M. Gasol misses 2-pt layup from 6 ft (block by N. Bjelica),,62,55
3,7:30.0,Offensive rebound by M. Gasol,,62,55
3,7:22.0,M. Conley misses 3-pt jump shot from 25 ft,,62,55
3,7:20.0,,Defensive rebound by W. Cauley-Stein,62,55
3,6:58.0,,B. Hield misses 2-pt jump shot from 14 ft (block by M. Gasol),62,55
3,6:58.0,,Offensive rebound by Team,62,55
3,6:58.0,,Turnover by Team (shot clock),62,55
3,6:41.0,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),,65,55
3,6:29.0,,B. Hield misses 3-pt jump shot from 23 ft,65,55
3,6:26.0,Defensive rebound by K. Anderson,,65,55
3,6:21.0,J. Jackson misses 2-pt dunk from 3 ft (block by D. Fox),,65,55
3,6:18.0,,Defensive rebound by W. Cauley-Stein,65,55
3,6:13.0,,Turnover by D. Fox (lost ball; steal by M. Conley),65,55
3,6:08.0,M. Conley makes 2-pt layup from 1 ft (assist by M. Gasol),,67,55
3,5:58.0,,Turnover by N. Bjelica (traveling),67,55
3,5:58.0,J. Green enters the game for M. Conley,,67,55
3,5:58.0,S. Mack enters the game for J. Jackson,,67,55
3,5:52.0,Personal foul by I. Shumpert (drawn by G. Temple),,67,55
3,5:52.0,,B. Bogdanović enters the game for I. Shumpert,67,55
3,5:43.0,G. Temple makes 3-pt jump shot from 23 ft (assist by K. Anderson),,70,55
3,5:33.0,,W. Cauley-Stein misses 2-pt jump shot from 17 ft,70,55
3,5:30.0,Defensive rebound by K. Anderson,,70,55
3,5:13.0,Turnover by G. Temple (step out of bounds),,70,55
3,5:01.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,70,57
3,4:48.0,Turnover by M. Gasol (bad pass; steal by W. Cauley-Stein),,70,57
3,4:40.0,,D. Fox misses 3-pt jump shot from 24 ft,70,57
3,4:37.0,Defensive rebound by K. Anderson,,70,57
3,4:20.0,K. Anderson misses 3-pt jump shot from 23 ft,,70,57
3,4:17.0,,Defensive rebound by D. Fox,70,57
3,4:05.0,,B. Hield misses 3-pt jump shot from 25 ft,70,57
3,4:02.0,Defensive rebound by G. Temple,,70,57
3,3:43.0,Personal foul by D. Fox (drawn by M. Gasol),,70,57
3,3:43.0,W. Selden enters the game for K. Anderson,,70,57
3,3:43.0,,Y. Ferrell enters the game for W. Cauley-Stein,70,57
3,3:43.0,,K. Koufos enters the game for D. Fox,70,57
3,3:37.0,J. Green makes 2-pt jump shot from 2 ft (assist by M. Gasol),,72,57
3,3:18.0,,Turnover by B. Hield (bad pass; steal by G. Temple),72,57
3,3:15.0,Flagrant foul type 1 by N. Bjelica (drawn by G. Temple),,72,57
3,3:15.0,G. Temple makes flagrant free throw 1 of 2,,73,57
3,3:15.0,G. Temple makes flagrant free throw 2 of 2,,74,57
3,3:04.0,J. Green misses 2-pt hook shot from 7 ft,,74,57
3,3:01.0,,Defensive rebound by Y. Ferrell,74,57
3,2:49.0,,B. Bogdanović misses 2-pt jump shot from 20 ft,74,57
3,2:48.0,,Offensive rebound by Team,74,57
3,2:48.0,Loose ball foul by J. Green (drawn by K. Koufos),,74,57
3,2:36.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by Y. Ferrell),74,60
3,2:18.0,W. Selden misses 3-pt jump shot from 26 ft,,74,60
3,2:17.0,,Defensive rebound by Team,74,60
3,2:17.0,M. Conley enters the game for M. Gasol,,74,60
3,2:17.0,J. Jackson enters the game for G. Temple,,74,60
3,2:17.0,,J. Jackson enters the game for B. Hield,74,60
3,1:59.0,,K. Koufos misses 2-pt hook shot from 9 ft,74,60
3,1:57.0,Defensive rebound by J. Jackson,,74,60
3,1:51.0,S. Mack misses 3-pt jump shot from 25 ft,,74,60
3,1:47.0,,Defensive rebound by J. Jackson,74,60
3,1:41.0,,Y. Ferrell misses 2-pt layup from 3 ft (block by S. Mack),74,60
3,1:38.0,,Offensive rebound by K. Koufos,74,60
3,1:37.0,,K. Koufos misses 2-pt hook shot from 6 ft,74,60
3,1:35.0,Defensive rebound by J. Jackson,,74,60
3,1:32.0,Turnover by M. Conley (bad pass; steal by N. Bjelica),,74,60
3,1:28.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,74,60
3,1:25.0,,Offensive rebound by K. Koufos,74,60
3,1:19.0,,Shooting foul by J. Jackson (drawn by J. Jackson),74,60
3,1:19.0,,J. Jackson makes free throw 1 of 2,74,61
3,1:19.0,,J. Jackson makes free throw 2 of 2,74,62
3,1:05.0,Offensive foul by J. Green (drawn by Y. Ferrell),,74,62
3,1:05.0,Turnover by J. Green (offensive foul),,74,62
3,0:43.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),74,65
3,0:25.0,S. Mack misses 2-pt layup from 5 ft,,74,65
3,0:21.0,,Defensive rebound by N. Bjelica,74,65
4,11:49.0,,Shooting foul by G. Temple (drawn by B. Bogdanović),74,65
4,11:49.0,,B. Bogdanović makes free throw 1 of 3,74,66
4,11:49.0,,B. Bogdanović makes free throw 2 of 3,74,67
4,11:49.0,,B. Bogdanović makes free throw 3 of 3,74,68
4,11:33.0,J. Jackson misses 3-pt jump shot from 25 ft,,74,68
4,11:29.0,,Defensive rebound by B. Bogdanović,74,68
4,11:22.0,,N. Bjelica misses 3-pt jump shot from 26 ft,74,68
4,11:17.0,,Offensive rebound by K. Koufos,74,68
4,11:15.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,74,68
4,11:11.0,Defensive rebound by J. Green,,74,68
4,11:03.0,M. Conley misses 2-pt jump shot from 20 ft,,74,68
4,11:00.0,,Defensive rebound by K. Koufos,74,68
4,10:52.0,,Turnover by B. Bogdanović (bad pass; steal by G. Temple),74,68
4,10:49.0,G. Temple makes 2-pt dunk from 1 ft,,76,68
4,10:31.0,,Turnover by B. Bogdanović (lost ball; steal by J. Jackson),76,68
4,10:24.0,G. Temple misses 3-pt jump shot from 26 ft,,76,68
4,10:19.0,,Defensive rebound by K. Koufos,76,68
4,10:11.0,,K. Koufos makes 2-pt layup from 2 ft (assist by Y. Ferrell),76,70
4,9:49.0,W. Selden makes 3-pt jump shot from 23 ft (assist by J. Green),,79,70
4,9:36.0,,N. Bjelica makes 2-pt dunk from 2 ft (assist by B. Bogdanović),79,72
4,9:36.0,,Shooting foul by J. Jackson (drawn by N. Bjelica),79,72
4,9:36.0,M. Gasol enters the game for M. Conley,,79,72
4,9:36.0,S. Mack enters the game for J. Jackson,,79,72
4,9:36.0,,W. Cauley-Stein enters the game for K. Koufos,79,72
4,9:36.0,,N. Bjelica makes free throw 1 of 1,79,73
4,9:16.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by S. Mack),,82,73
4,9:00.0,,W. Cauley-Stein makes 2-pt jump shot from 2 ft,82,75
4,9:00.0,,Shooting foul by M. Gasol (drawn by W. Cauley-Stein),82,75
4,9:00.0,,B. Hield enters the game for N. Bjelica,82,75
4,9:00.0,,W. Cauley-Stein misses free throw 1 of 1,82,75
4,8:57.0,Defensive rebound by G. Temple,,82,75
4,8:41.0,W. Selden misses 2-pt jump shot from 12 ft,,82,75
4,8:39.0,,Defensive rebound by J. Jackson,82,75
4,8:33.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by Y. Ferrell),82,78
4,8:31.0,Memphis full timeout,,82,78
4,8:31.0,K. Anderson enters the game for W. Selden,,82,78
4,8:06.0,K. Anderson makes 2-pt jump shot from 7 ft,,84,78
4,7:49.0,,Y. Ferrell misses 3-pt jump shot from 24 ft,84,78
4,7:46.0,Defensive rebound by M. Gasol,,84,78
4,7:25.0,G. Temple makes 2-pt jump shot from 12 ft,,86,78
4,6:56.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,86,78
4,6:53.0,Defensive rebound by J. Green,,86,78
4,6:45.0,Shooting foul by Y. Ferrell (drawn by S. Mack),,86,78
4,6:45.0,S. Mack makes free throw 1 of 2,,87,78
4,6:45.0,,Sacramento full timeout,87,78
4,6:45.0,,D. Fox enters the game for B. Bogdanović,87,78
4,6:45.0,,I. Shumpert enters the game for Y. Ferrell,87,78
4,6:45.0,S. Mack makes free throw 2 of 2,,88,78
4,6:33.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),88,81
4,6:10.0,S. Mack misses 2-pt layup from 2 ft,,88,81
4,6:01.0,Offensive rebound by J. Green,,88,81
4,6:01.0,J. Green makes 2-pt layup at rim,,90,81
4,5:57.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),90,84
4,5:37.0,Turnover by S. Mack (bad pass; steal by D. Fox),,90,84
4,5:32.0,,B. Hield makes 2-pt layup from 3 ft,90,86
4,5:32.0,Memphis full timeout,,90,86
4,5:32.0,M. Conley enters the game for S. Mack,,90,86
4,5:32.0,,B. Bogdanović enters the game for I. Shumpert,90,86
4,5:16.0,,Loose ball foul by J. Jackson (drawn by M. Conley),90,86
4,5:12.0,Shooting foul by D. Fox (drawn by M. Gasol),,90,86
4,5:12.0,M. Gasol makes free throw 1 of 2,,91,86
4,5:12.0,,N. Bjelica enters the game for J. Jackson,91,86
4,5:12.0,M. Gasol makes free throw 2 of 2,,92,86
4,4:59.0,,Shooting foul by M. Gasol (drawn by D. Fox),92,86
4,4:59.0,,D. Fox misses free throw 1 of 2,92,86
4,4:59.0,,Offensive rebound by Team,92,86
4,4:59.0,,D. Fox misses free throw 2 of 2,92,86
4,4:57.0,Defensive rebound by Team,,92,86
4,4:41.0,K. Anderson misses 2-pt jump shot from 9 ft,,92,86
4,4:38.0,,Defensive rebound by W. Cauley-Stein,92,86
4,4:23.0,,N. Bjelica makes 2-pt jump shot from 5 ft (assist by D. Fox),92,88
4,4:03.0,G. Temple makes 3-pt jump shot from 25 ft (assist by M. Conley),,95,88
4,3:48.0,,B. Hield misses 3-pt jump shot from 25 ft,95,88
4,3:45.0,Defensive rebound by M. Gasol,,95,88
4,3:27.0,M. Gasol misses 3-pt jump shot from 25 ft,,95,88
4,3:27.0,Offensive rebound by J. Green,,95,88
4,3:27.0,J. Green misses 2-pt layup from 3 ft,,95,88
4,3:26.0,,Defensive rebound by B. Hield,95,88
4,3:17.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by N. Bjelica),95,91
4,2:53.0,J. Green misses 3-pt jump shot from 23 ft,,95,91
