QUARTER,TIME_REMAINING,PHOENIX_ACTION,DENVER_ACTION,PHOENIX_SCORE,DENVER_SCORE
2,8:38.0,,N. Jokić enters the game for M. Plumlee,27,34
2,8:21.0,M. Bridges makes 2-pt layup from 4 ft (assist by D. Booker),,29,34
2,8:21.0,Shooting foul by J. Hernangómez (drawn by M. Bridges),,29,34
2,8:21.0,M. Bridges misses free throw 1 of 1,,29,34
2,8:21.0,,Defensive rebound by J. Hernangómez,29,34
2,8:21.0,,W. Barton enters the game for J. Hernangómez,29,34
2,7:58.0,,J. Murray makes 2-pt layup from 3 ft (assist by G. Harris),29,36
2,7:45.0,Personal foul by T. Lyles (drawn by D. Booker),,29,36
2,7:45.0,,P. Millsap enters the game for T. Lyles,29,36
2,7:37.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by D. Booker),,32,36
2,7:24.0,,W. Barton misses 3-pt jump shot from 25 ft,32,36
2,7:21.0,Defensive rebound by T. Chandler,,32,36
2,7:14.0,D. Booker makes 2-pt layup from 2 ft,,34,36
2,7:12.0,,Denver full timeout,34,36
2,7:00.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),34,39
2,6:40.0,R. Anderson makes 2-pt jump shot from 13 ft (assist by D. Booker),,36,39
2,6:25.0,,G. Harris makes 2-pt jump shot from 23 ft (assist by N. Jokić),36,41
2,6:11.0,I. Canaan makes 2-pt layup from 2 ft,,38,41
2,5:51.0,,N. Jokić makes 2-pt jump shot from 6 ft,38,43
2,5:39.0,R. Anderson misses 3-pt jump shot from 26 ft,,38,43
2,5:37.0,Offensive rebound by M. Bridges,,38,43
2,5:34.0,I. Canaan makes 3-pt jump shot from 24 ft (assist by D. Booker),,41,43
2,5:27.0,,Personal foul by T. Chandler (drawn by N. Jokić),41,43
2,5:27.0,T. Ariza enters the game for D. Booker,,41,43
2,5:27.0,J. Crawford enters the game for M. Bridges,,41,43
2,5:22.0,,G. Harris makes 2-pt jump shot from 6 ft (assist by W. Barton),41,45
2,4:59.0,Shooting foul by P. Millsap (drawn by J. Crawford),,41,45
2,4:59.0,Technical foul by T. Chandler,,41,45
2,4:59.0,,J. Murray makes technical free throw,41,46
2,4:59.0,J. Crawford makes free throw 1 of 2,,42,46
2,4:59.0,D. Ayton enters the game for T. Chandler,,42,46
2,4:59.0,J. Crawford makes free throw 2 of 2,,43,46
2,4:51.0,,Personal foul by I. Canaan (drawn by W. Barton),43,46
2,4:41.0,,Shooting foul by D. Ayton (drawn by N. Jokić),43,46
2,4:41.0,,N. Jokić makes free throw 1 of 2,43,47
2,4:41.0,R. Holmes enters the game for D. Ayton,,43,47
2,4:41.0,,N. Jokić makes free throw 2 of 2,43,48
2,4:21.0,J. Crawford misses 2-pt jump shot from 21 ft,,43,48
2,4:19.0,,Defensive rebound by G. Harris,43,48
2,4:10.0,,Turnover by P. Millsap (lost ball; steal by J. Crawford),43,48
2,4:00.0,I. Canaan misses 3-pt jump shot from 25 ft,,43,48
2,3:57.0,,Defensive rebound by N. Jokić,43,48
2,3:45.0,,G. Harris misses 3-pt jump shot from 24 ft,43,48
2,3:42.0,Defensive rebound by R. Holmes,,43,48
2,3:41.0,Phoenix full timeout,,43,48
2,3:41.0,D. Booker enters the game for I. Canaan,,43,48
2,3:41.0,J. Jackson enters the game for J. Crawford,,43,48
2,3:26.0,J. Jackson misses 3-pt jump shot from 22 ft,,43,48
2,3:22.0,,Defensive rebound by W. Barton,43,48
2,3:13.0,,P. Millsap misses 2-pt layup from 3 ft,43,48
2,3:11.0,Defensive rebound by R. Holmes,,43,48
2,2:58.0,R. Anderson misses 3-pt jump shot from 25 ft,,43,48
2,2:56.0,,Defensive rebound by P. Millsap,43,48
2,2:53.0,,Personal foul by R. Anderson (drawn by N. Jokić),43,48
2,2:53.0,,N. Jokić makes free throw 1 of 2,43,49
2,2:53.0,,N. Jokić makes free throw 2 of 2,43,50
2,2:39.0,D. Booker misses 2-pt layup from 3 ft,,43,50
2,2:36.0,Offensive rebound by R. Holmes,,43,50
2,2:36.0,R. Holmes misses 2-pt layup at rim,,43,50
2,2:34.0,,Defensive rebound by N. Jokić,43,50
2,2:25.0,,J. Murray makes 2-pt layup from 2 ft (assist by P. Millsap),43,52
2,2:14.0,Personal foul by W. Barton (drawn by D. Booker),,43,52
2,2:14.0,D. Booker makes free throw 1 of 2,,44,52
2,2:14.0,T. Warren enters the game for R. Anderson,,44,52
2,2:14.0,,T. Craig enters the game for W. Barton,44,52
2,2:14.0,D. Booker misses free throw 2 of 2,,44,52
2,2:10.0,Offensive rebound by T. Warren,,44,52
2,2:10.0,D. Booker misses 3-pt jump shot from 24 ft,,44,52
2,2:07.0,,Defensive rebound by N. Jokić,44,52
2,1:52.0,,T. Craig makes 2-pt layup from 1 ft (assist by N. Jokić),44,54
2,1:31.0,T. Warren misses 3-pt jump shot from 25 ft,,44,54
2,1:28.0,Offensive rebound by T. Warren,,44,54
2,1:26.0,T. Warren makes 2-pt layup from 2 ft,,46,54
2,1:09.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by N. Jokić),46,57
2,0:46.0,T. Warren misses 2-pt jump shot from 19 ft,,46,57
2,0:44.0,,Defensive rebound by Team,46,57
2,0:44.0,,T. Lyles enters the game for N. Jokić,46,57
2,0:28.0,,J. Murray misses 2-pt jump shot from 7 ft,46,57
2,0:27.0,,Offensive rebound by Team,46,57
2,0:27.0,,Away from play foul by T. Ariza (drawn by G. Harris),46,57
2,0:27.0,,J. Murray makes free throw 1 of 1,46,58
2,0:27.0,,Away from play foul by D. Booker (drawn by G. Harris),46,58
2,0:27.0,Technical foul by D. Booker,,46,58
2,0:27.0,,J. Murray makes technical free throw,46,59
2,0:27.0,,J. Murray makes free throw 1 of 1,46,60
2,0:21.0,,P. Millsap makes 2-pt jump shot from 16 ft (assist by T. Craig),46,62
2,0:06.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by D. Booker),,49,62
2,0:00.0,,J. Murray makes 3-pt jump shot from 28 ft,49,65
3,11:49.0,,P. Millsap makes 2-pt dunk from 1 ft (assist by N. Jokić),49,67
3,11:27.0,Turnover by D. Booker (bad pass; steal by J. Murray),,49,67
3,11:22.0,,W. Barton makes 2-pt layup from 2 ft (assist by J. Murray),49,69
3,11:05.0,D. Booker misses 2-pt layup from 5 ft (block by J. Murray),,49,69
3,11:02.0,,Defensive rebound by N. Jokić,49,69
3,11:00.0,,G. Harris misses 3-pt jump shot from 25 ft,49,69
3,10:56.0,Defensive rebound by D. Ayton,,49,69
3,10:38.0,Shooting foul by G. Harris (drawn by I. Canaan),,49,69
3,10:38.0,I. Canaan misses free throw 1 of 3,,49,69
3,10:38.0,Offensive rebound by Team,,49,69
3,10:38.0,I. Canaan makes free throw 2 of 3,,50,69
3,10:38.0,I. Canaan makes free throw 3 of 3,,51,69
3,10:30.0,,Personal foul by I. Canaan (drawn by J. Murray),51,69
3,10:23.0,,G. Harris makes 2-pt layup from 3 ft (assist by N. Jokić),51,71
3,10:13.0,Personal foul by G. Harris (drawn by D. Booker),,51,71
3,9:56.0,I. Canaan makes 2-pt jump shot from 22 ft (assist by R. Anderson),,53,71
3,9:45.0,,P. Millsap makes 2-pt jump shot from 4 ft,53,73
3,9:33.0,I. Canaan misses 2-pt layup from 3 ft (block by N. Jokić),,53,73
3,9:31.0,,Defensive rebound by J. Murray,53,73
3,9:31.0,,Turnover by J. Murray (bad pass),53,73
3,9:29.0,Turnover by T. Ariza (lost ball; steal by J. Murray),,53,73
3,9:26.0,,Turnover by J. Murray (lost ball; steal by D. Booker),53,73
3,9:23.0,T. Ariza misses 3-pt jump shot from 24 ft,,53,73
3,9:19.0,,Defensive rebound by G. Harris,53,73
3,9:14.0,,W. Barton misses 3-pt jump shot from 24 ft,53,73
3,9:11.0,Defensive rebound by D. Ayton,,53,73
3,8:56.0,Shooting foul by J. Murray (drawn by D. Booker),,53,73
3,8:56.0,D. Booker misses free throw 1 of 2,,53,73
3,8:56.0,Offensive rebound by Team,,53,73
3,8:56.0,T. Warren enters the game for R. Anderson,,53,73
3,8:56.0,D. Booker makes free throw 2 of 2,,54,73
3,8:39.0,,W. Barton makes 2-pt layup from 2 ft (assist by G. Harris),54,75
3,8:28.0,I. Canaan makes 3-pt jump shot from 23 ft (assist by T. Ariza),,57,75
3,8:28.0,,Denver full timeout,57,75
3,8:28.0,,T. Craig enters the game for W. Barton,57,75
3,8:18.0,,G. Harris makes 2-pt dunk from 1 ft (assist by N. Jokić),57,77
3,8:07.0,Offensive foul by D. Ayton (drawn by J. Murray),,57,77
3,8:07.0,Turnover by D. Ayton (offensive foul),,57,77
3,8:07.0,T. Chandler enters the game for D. Ayton,,57,77
3,7:50.0,,J. Murray misses 2-pt jump shot from 13 ft,57,77
3,7:48.0,Defensive rebound by I. Canaan,,57,77
3,7:41.0,D. Booker makes 2-pt jump shot from 24 ft,,59,77
3,7:21.0,,J. Murray misses 2-pt jump shot from 20 ft,59,77
3,7:18.0,Defensive rebound by T. Chandler,,59,77
3,7:10.0,Turnover by D. Booker (bad pass; steal by P. Millsap),,59,77
3,7:07.0,,P. Millsap makes 2-pt dunk from 2 ft,59,79
3,6:52.0,D. Booker misses 3-pt jump shot from 25 ft,,59,79
3,6:50.0,,Defensive rebound by N. Jokić,59,79
3,6:44.0,,N. Jokić makes 2-pt dunk from 1 ft,59,81
3,6:43.0,Phoenix full timeout,,59,81
3,6:28.0,T. Warren misses 3-pt jump shot from 23 ft,,59,81
3,6:24.0,Offensive rebound by I. Canaan,,59,81
3,6:20.0,Turnover by T. Ariza (bad pass; steal by N. Jokić),,59,81
3,6:17.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),59,84
3,5:53.0,Turnover by I. Canaan (lost ball; steal by G. Harris),,59,84
3,5:50.0,,J. Murray misses 3-pt jump shot from 24 ft,59,84
3,5:46.0,Defensive rebound by I. Canaan,,59,84
3,5:37.0,D. Booker misses 2-pt jump shot from 9 ft,,59,84
3,5:35.0,Offensive rebound by T. Chandler,,59,84
3,5:35.0,Shooting foul by N. Jokić (drawn by T. Chandler),,59,84
3,5:35.0,T. Chandler makes free throw 1 of 2,,60,84
3,5:35.0,J. Jackson enters the game for I. Canaan,,60,84
3,5:35.0,T. Chandler misses free throw 2 of 2,,60,84
3,5:33.0,,Defensive rebound by N. Jokić,60,84
3,5:22.0,,G. Harris misses 2-pt layup from 4 ft (block by J. Jackson),60,84
3,5:19.0,Defensive rebound by J. Jackson,,60,84
3,5:16.0,T. Warren makes 2-pt layup from 1 ft (assist by J. Jackson),,62,84
3,5:01.0,,N. Jokić makes 2-pt layup from 1 ft,62,86
3,4:52.0,Turnover by D. Booker (bad pass; steal by G. Harris),,62,86
3,4:48.0,,G. Harris makes 2-pt dunk from 1 ft,62,88
3,4:26.0,Personal foul by T. Craig (drawn by D. Booker),,62,88
3,4:26.0,D. Booker makes free throw 1 of 2,,63,88
3,4:26.0,,T. Lyles enters the game for P. Millsap,63,88
3,4:26.0,,M. Morris enters the game for J. Murray,63,88
3,4:26.0,D. Booker makes free throw 2 of 2,,64,88
3,4:09.0,,Turnover by T. Lyles (traveling),64,88
3,3:54.0,T. Warren makes 2-pt dunk from 1 ft (assist by T. Chandler),,66,88
3,3:42.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by G. Harris),66,91
3,3:21.0,Shooting foul by T. Craig (drawn by D. Booker),,66,91
3,3:21.0,D. Booker makes free throw 1 of 2,,67,91
3,3:21.0,D. Ayton enters the game for T. Ariza,,67,91
3,3:21.0,M. Bridges enters the game for T. Chandler,,67,91
3,3:21.0,D. Booker misses free throw 2 of 2,,67,91
3,3:18.0,,Defensive rebound by N. Jokić,67,91
3,3:07.0,,M. Morris misses 2-pt layup from 2 ft,67,91
3,3:05.0,Defensive rebound by M. Bridges,,67,91
3,3:02.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by D. Booker),,70,91
3,2:49.0,,Offensive foul by T. Craig (drawn by D. Booker),70,91
3,2:49.0,,Turnover by T. Craig (offensive foul),70,91
3,2:49.0,,J. Hernangómez enters the game for T. Craig,70,91
3,2:37.0,M. Bridges makes 3-pt jump shot from 27 ft (assist by J. Jackson),,73,91
3,2:26.0,,Shooting foul by J. Jackson (drawn by G. Harris),73,91
3,2:26.0,,G. Harris misses free throw 1 of 2,73,91
3,2:26.0,,Offensive rebound by Team,73,91
3,2:26.0,I. Canaan enters the game for D. Booker,,73,91
3,2:26.0,,G. Harris makes free throw 2 of 2,73,92
3,2:26.0,,M. Plumlee enters the game for N. Jokić,73,92
3,2:13.0,T. Warren makes 2-pt jump shot from 12 ft (assist by D. Ayton),,75,92
3,1:50.0,,Turnover by T. Lyles (traveling),75,92
3,1:35.0,J. Jackson misses 2-pt layup from 5 ft,,75,92
3,1:33.0,,Defensive rebound by T. Lyles,75,92
3,1:31.0,,Offensive foul by M. Morris (drawn by I. Canaan),75,92
3,1:31.0,,Turnover by M. Morris (offensive foul),75,92
3,1:31.0,,J. Murray enters the game for G. Harris,75,92
3,1:13.0,D. Ayton misses 2-pt jump shot from 13 ft,,75,92
3,1:10.0,,Defensive rebound by J. Hernangómez,75,92
3,0:53.0,,M. Morris misses 3-pt jump shot from 25 ft,75,92
3,0:51.0,Defensive rebound by Team,,75,92
3,0:51.0,,Loose ball foul by T. Lyles (drawn by D. Ayton),75,92
3,0:51.0,D. Ayton makes free throw 1 of 2,,76,92
3,0:51.0,D. Ayton misses free throw 2 of 2,,76,92
3,0:50.0,,Defensive rebound by T. Lyles,76,92
3,0:38.0,,J. Murray misses 2-pt jump shot from 13 ft,76,92
3,0:34.0,Defensive rebound by D. Ayton,,76,92
3,0:31.0,T. Warren makes 3-pt jump shot from 27 ft (assist by M. Bridges),,79,92
3,0:06.0,,J. Hernangómez misses 3-pt jump shot from 23 ft,79,92
3,0:04.0,Defensive rebound by D. Ayton,,79,92
3,0:00.0,Turnover by I. Canaan (discontinued dribble),,79,92
3,0:00.0,,M. Plumlee misses 3-pt jump shot from 32 ft,79,92
3,0:00.0,,Offensive rebound by Team,79,92
4,11:48.0,Turnover by D. Ayton (traveling),,79,92
4,11:38.0,,Turnover by J. Murray (traveling),79,92
4,11:25.0,T. Warren misses 2-pt jump shot from 7 ft (block by P. Millsap),,79,92
4,11:22.0,,Defensive rebound by M. Plumlee,79,92
4,11:07.0,,J. Hernangómez misses 3-pt jump shot from 22 ft,79,92
4,11:04.0,Defensive rebound by J. Jackson,,79,92
4,10:59.0,J. Jackson makes 2-pt jump shot from 5 ft,,81,92
4,10:59.0,Shooting foul by M. Plumlee (drawn by J. Jackson),,81,92
4,10:59.0,D. Booker enters the game for M. Bridges,,81,92
4,10:59.0,,T. Craig enters the game for M. Morris,81,92
4,10:59.0,J. Jackson misses free throw 1 of 1,,81,92
4,10:59.0,,Defensive rebound by M. Plumlee,81,92
4,10:49.0,,Personal foul by I. Canaan (drawn by P. Millsap),81,92
4,10:34.0,,J. Murray makes 2-pt jump shot from 17 ft,81,94
4,10:13.0,Turnover by T. Warren (traveling),,81,94
4,10:00.0,,P. Millsap misses 2-pt jump shot from 13 ft,81,94
4,9:58.0,,Offensive rebound by Team,81,94
4,9:53.0,,Personal foul by J. Jackson (drawn by M. Plumlee),81,94
4,9:44.0,,Personal foul by J. Jackson (drawn by P. Millsap),81,94
4,9:39.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by P. Millsap),81,97
4,9:13.0,D. Booker makes 3-pt jump shot from 24 ft (assist by I. Canaan),,84,97
4,8:58.0,,T. Craig misses 3-pt jump shot from 25 ft,84,97
4,8:56.0,,Offensive rebound by P. Millsap,84,97
4,8:56.0,,Shooting foul by T. Warren (drawn by P. Millsap),84,97
4,8:56.0,,P. Millsap makes free throw 1 of 2,84,98
4,8:56.0,R. Anderson enters the game for I. Canaan,,84,98
4,8:56.0,T. Ariza enters the game for T. Warren,,84,98
4,8:56.0,,P. Millsap makes free throw 2 of 2,84,99
4,8:44.0,Offensive foul by T. Ariza (drawn by T. Craig),,84,99
4,8:44.0,Turnover by T. Ariza (offensive foul),,84,99
4,8:32.0,,P. Millsap misses 2-pt layup from 3 ft,84,99
4,8:28.0,,Offensive rebound by P. Millsap,84,99
4,8:28.0,,P. Millsap misses 2-pt layup at rim,84,99
4,8:28.0,,Offensive rebound by M. Plumlee,84,99
4,8:17.0,,J. Murray misses 3-pt jump shot from 24 ft,84,99
4,8:13.0,Defensive rebound by D. Ayton,,84,99
4,8:03.0,Shooting foul by P. Millsap (drawn by D. Booker),,84,99
4,8:03.0,D. Booker makes free throw 1 of 2,,85,99
4,8:03.0,D. Booker makes free throw 2 of 2,,86,99
4,7:49.0,,Offensive foul by P. Millsap (drawn by J. Jackson),86,99
4,7:49.0,,Turnover by P. Millsap (offensive foul),86,99
4,7:49.0,,Technical foul by J. Murray,86,99
4,7:49.0,,N. Jokić enters the game for M. Plumlee,86,99
4,7:49.0,D. Booker makes technical free throw,,87,99
4,7:49.0,,G. Harris enters the game for J. Hernangómez,87,99
4,7:36.0,T. Ariza misses 3-pt jump shot from 23 ft,,87,99
4,7:33.0,,Defensive rebound by J. Murray,87,99
4,7:29.0,,Personal foul by D. Booker (drawn by P. Millsap),87,99
4,7:29.0,,P. Millsap makes free throw 1 of 2,87,100
4,7:29.0,,P. Millsap makes free throw 2 of 2,87,101
4,7:14.0,D. Booker misses 3-pt jump shot from 26 ft,,87,101
4,7:11.0,,Defensive rebound by P. Millsap,87,101
4,6:56.0,,J. Murray misses 2-pt jump shot from 14 ft,87,101
4,6:54.0,Defensive rebound by Team,,87,101
4,6:54.0,,Denver full timeout,87,101
4,6:40.0,Personal foul by T. Craig (drawn by D. Ayton),,87,101
4,6:38.0,D. Booker misses 3-pt jump shot from 25 ft,,87,101
