QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
2,5:51.0,,Defensive rebound by I. Briscoe,28,37
2,5:47.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by I. Briscoe),28,40
2,5:47.0,,Shooting foul by E. Sumner (drawn by T. Ross),28,40
2,5:47.0,B. Bogdanović enters the game for D. McDermott,,28,40
2,5:47.0,C. Joseph enters the game for D. Sabonis,,28,40
2,5:47.0,M. Turner enters the game for E. Sumner,,28,40
2,5:47.0,,D. Augustin enters the game for I. Briscoe,28,40
2,5:47.0,,T. Ross makes free throw 1 of 1,28,41
2,5:38.0,D. Collison makes 3-pt jump shot from 25 ft,,31,41
2,5:18.0,,Turnover by N. Vučević (bad pass),31,41
2,5:06.0,D. Collison makes 2-pt jump shot from 18 ft,,33,41
2,4:53.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),33,44
2,4:35.0,M. Turner misses 2-pt hook shot from 11 ft,,33,44
2,4:31.0,,Defensive rebound by N. Vučević,33,44
2,4:24.0,,N. Vučević misses 2-pt layup from 4 ft,33,44
2,4:21.0,,Offensive rebound by N. Vučević,33,44
2,4:16.0,,J. Isaac makes 2-pt layup from 2 ft (assist by N. Vučević),33,46
2,4:05.0,Shooting foul by J. Isaac (drawn by B. Bogdanović),,33,46
2,4:05.0,B. Bogdanović makes free throw 1 of 2,,34,46
2,4:05.0,,E. Fournier enters the game for T. Ross,34,46
2,4:05.0,B. Bogdanović makes free throw 2 of 2,,35,46
2,3:48.0,,Def 3 sec tech foul by Team,35,46
2,3:48.0,,D. Augustin makes technical free throw,35,47
2,3:40.0,,E. Fournier misses 2-pt jump shot from 16 ft,35,47
2,3:36.0,Defensive rebound by T. Young,,35,47
2,3:31.0,B. Bogdanović misses 2-pt layup from 1 ft (block by W. Iwundu),,35,47
2,3:23.0,Offensive rebound by T. Young,,35,47
2,3:22.0,T. Young makes 2-pt layup from 1 ft,,37,47
2,3:11.0,,D. Augustin misses 3-pt jump shot from 23 ft,37,47
2,3:10.0,,Offensive rebound by J. Isaac,37,47
2,3:10.0,,Shooting foul by M. Turner (drawn by J. Isaac),37,47
2,3:10.0,,J. Isaac makes free throw 1 of 2,37,48
2,3:10.0,,J. Isaac makes free throw 2 of 2,37,49
2,3:01.0,M. Turner makes 2-pt layup from 6 ft (assist by D. Collison),,39,49
2,3:01.0,Shooting foul by N. Vučević (drawn by M. Turner),,39,49
2,3:01.0,,A. Gordon enters the game for W. Iwundu,39,49
2,3:01.0,M. Turner makes free throw 1 of 1,,40,49
2,2:40.0,,J. Isaac misses 3-pt jump shot from 24 ft,40,49
2,2:37.0,Defensive rebound by B. Bogdanović,,40,49
2,2:32.0,T. Young makes 2-pt layup from 2 ft (assist by C. Joseph),,42,49
2,2:27.0,,Orlando full timeout,42,49
2,2:27.0,D. McDermott enters the game for D. Collison,,42,49
2,2:27.0,,T. Ross enters the game for J. Isaac,42,49
2,2:12.0,,Turnover by N. Vučević (traveling),42,49
2,2:01.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,42,49
2,1:58.0,,Defensive rebound by A. Gordon,42,49
2,1:49.0,,E. Fournier misses 2-pt jump shot from 21 ft,42,49
2,1:46.0,Defensive rebound by M. Turner,,42,49
2,1:35.0,M. Turner makes 2-pt jump shot from 16 ft (assist by C. Joseph),,44,49
2,1:07.0,,D. Augustin misses 2-pt layup from 5 ft,44,49
2,1:05.0,,Offensive rebound by N. Vučević,44,49
2,1:03.0,,N. Vučević makes 2-pt layup at rim,44,51
2,0:45.0,C. Joseph misses 2-pt jump shot from 6 ft,,44,51
2,0:42.0,Offensive rebound by M. Turner,,44,51
2,0:41.0,D. McDermott misses 3-pt jump shot from 27 ft,,44,51
2,0:39.0,Offensive rebound by T. Young,,44,51
2,0:39.0,T. Young makes 2-pt layup from 3 ft,,46,51
2,0:28.0,,Turnover by D. Augustin (lost ball; steal by C. Joseph),46,51
2,0:24.0,T. Young makes 2-pt dunk from 2 ft (assist by B. Bogdanović),,48,51
2,0:03.0,,A. Gordon misses 2-pt jump shot from 20 ft,48,51
2,0:00.0,Defensive rebound by T. Young,,48,51
2,0:00.0,T. Young misses 3-pt jump shot from 51 ft,,48,51
2,0:00.0,Offensive rebound by Team,,48,51
3,11:38.0,B. Bogdanović misses 2-pt layup from 10 ft,,48,51
3,11:38.0,,Defensive rebound by J. Isaac,48,51
3,11:17.0,,E. Fournier makes 2-pt jump shot from 11 ft,48,53
3,11:03.0,M. Turner makes 2-pt jump shot from 21 ft (assist by D. Collison),,50,53
3,10:42.0,,N. Vučević misses 2-pt hook shot from 11 ft,50,53
3,10:40.0,Defensive rebound by C. Joseph,,50,53
3,10:32.0,M. Turner makes 2-pt jump shot from 20 ft (assist by B. Bogdanović),,52,53
3,10:08.0,,E. Fournier misses 2-pt jump shot from 10 ft,52,53
3,10:05.0,Defensive rebound by T. Young,,52,53
3,9:56.0,D. Collison makes 2-pt layup from 1 ft (assist by T. Young),,54,53
3,9:56.0,Shooting foul by D. Augustin (drawn by D. Collison),,54,53
3,9:56.0,D. Collison makes free throw 1 of 1,,55,53
3,9:46.0,,Turnover by E. Fournier (traveling),55,53
3,9:37.0,Shooting foul by N. Vučević (drawn by M. Turner),,55,53
3,9:37.0,M. Turner makes free throw 1 of 2,,56,53
3,9:37.0,M. Turner makes free throw 2 of 2,,57,53
3,9:25.0,,N. Vučević misses 2-pt jump shot from 15 ft,57,53
3,9:22.0,Defensive rebound by D. Collison,,57,53
3,9:17.0,C. Joseph misses 3-pt jump shot from 25 ft,,57,53
3,9:14.0,,Defensive rebound by J. Isaac,57,53
3,9:01.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by N. Vučević),57,55
3,8:38.0,B. Bogdanović misses 2-pt layup from 7 ft,,57,55
3,8:36.0,,Defensive rebound by J. Isaac,57,55
3,8:27.0,,J. Isaac misses 2-pt jump shot from 11 ft,57,55
3,8:25.0,Defensive rebound by T. Young,,57,55
3,8:13.0,D. Collison misses 2-pt jump shot from 18 ft,,57,55
3,8:08.0,,Defensive rebound by E. Fournier,57,55
3,7:57.0,,N. Vučević misses 2-pt hook shot from 4 ft,57,55
3,7:55.0,,Offensive rebound by D. Augustin,57,55
3,7:54.0,,D. Augustin makes 2-pt layup from 1 ft,57,57
3,7:39.0,Personal foul by E. Fournier (drawn by D. Collison),,57,57
3,7:26.0,M. Turner makes 2-pt dunk from 3 ft (assist by T. Young),,59,57
3,7:15.0,,A. Gordon misses 3-pt jump shot from 26 ft,59,57
3,7:12.0,Defensive rebound by T. Young,,59,57
3,7:04.0,D. Collison makes 2-pt jump shot from 16 ft,,61,57
3,7:04.0,,Orlando full timeout,61,57
3,6:44.0,,Turnover by J. Isaac (lost ball; steal by T. Young),61,57
3,6:29.0,B. Bogdanović makes 2-pt jump shot from 5 ft (assist by M. Turner),,63,57
3,6:18.0,,D. Augustin misses 2-pt jump shot from 18 ft,63,57
3,6:14.0,Defensive rebound by M. Turner,,63,57
3,5:57.0,M. Turner makes 2-pt jump shot from 22 ft,,65,57
3,5:37.0,,Turnover by N. Vučević (lost ball),65,57
3,5:37.0,,Loose ball foul by N. Vučević (drawn by T. Young),65,57
3,5:37.0,,W. Iwundu enters the game for A. Gordon,65,57
3,5:21.0,Turnover by D. Collison (bad pass; steal by E. Fournier),,65,57
3,5:08.0,,N. Vučević makes 2-pt jump shot from 20 ft (assist by E. Fournier),65,59
3,4:52.0,D. Collison misses 2-pt jump shot from 8 ft,,65,59
3,4:49.0,,Defensive rebound by N. Vučević,65,59
3,4:43.0,,J. Isaac makes 2-pt layup from 1 ft (assist by D. Augustin),65,61
3,4:42.0,Indiana full timeout,,65,61
3,4:42.0,A. Holiday enters the game for D. Collison,,65,61
3,4:42.0,D. Sabonis enters the game for T. Young,,65,61
3,4:42.0,,I. Briscoe enters the game for D. Augustin,65,61
3,4:33.0,A. Holiday misses 3-pt jump shot from 23 ft,,65,61
3,4:30.0,,Defensive rebound by N. Vučević,65,61
3,4:18.0,,E. Fournier makes 3-pt jump shot from 26 ft,65,64
3,4:03.0,B. Bogdanović makes 2-pt layup from 3 ft,,67,64
3,3:56.0,,Offensive foul by I. Briscoe (drawn by A. Holiday),67,64
3,3:56.0,,Turnover by I. Briscoe (offensive foul),67,64
3,3:56.0,D. McDermott enters the game for B. Bogdanović,,67,64
3,3:56.0,,T. Ross enters the game for E. Fournier,67,64
3,3:46.0,C. Joseph makes 2-pt jump shot from 19 ft,,69,64
3,3:32.0,,Turnover by I. Briscoe (bad pass; steal by C. Joseph),69,64
3,3:26.0,A. Holiday misses 2-pt layup from 3 ft,,69,64
3,3:23.0,,Defensive rebound by N. Vučević,69,64
3,3:19.0,,W. Iwundu makes 3-pt jump shot from 25 ft (assist by I. Briscoe),69,67
3,3:03.0,M. Turner misses 3-pt jump shot from 25 ft,,69,67
3,3:03.0,,Defensive rebound by I. Briscoe,69,67
3,2:54.0,,I. Briscoe misses 2-pt layup from 6 ft,69,67
3,2:51.0,Defensive rebound by D. Sabonis,,69,67
3,2:37.0,D. Sabonis misses 2-pt layup from 4 ft (block by J. Isaac),,69,67
3,2:34.0,,Defensive rebound by I. Briscoe,69,67
3,2:29.0,,J. Isaac misses 3-pt jump shot from 26 ft,69,67
3,2:27.0,Defensive rebound by A. Holiday,,69,67
3,2:11.0,M. Turner makes 3-pt jump shot from 26 ft (assist by D. McDermott),,72,67
3,1:58.0,,Personal foul by C. Joseph (drawn by T. Ross),72,67
3,1:58.0,,M. Bamba enters the game for J. Isaac,72,67
3,1:58.0,,A. Gordon enters the game for N. Vučević,72,67
3,1:54.0,,Offensive foul by M. Bamba (drawn by C. Joseph),72,67
3,1:54.0,,Turnover by M. Bamba (offensive foul),72,67
3,1:44.0,Offensive foul by D. Sabonis (drawn by I. Briscoe),,72,67
3,1:44.0,Turnover by D. Sabonis (offensive foul),,72,67
3,1:25.0,,T. Ross makes 2-pt jump shot from 23 ft,72,69
3,1:15.0,Shooting foul by M. Bamba (drawn by D. Sabonis),,72,69
3,1:15.0,D. Sabonis makes free throw 1 of 2,,73,69
3,1:15.0,T. Leaf enters the game for M. Turner,,73,69
3,1:15.0,D. Sabonis misses free throw 2 of 2,,73,69
3,1:13.0,,Defensive rebound by A. Gordon,73,69
3,0:56.0,,T. Ross misses 2-pt jump shot from 20 ft,73,69
3,0:53.0,,Offensive rebound by M. Bamba,73,69
3,0:47.0,,W. Iwundu misses 2-pt layup from 2 ft,73,69
3,0:47.0,,Offensive rebound by W. Iwundu,73,69
3,0:41.0,,Turnover by W. Iwundu (bad pass; steal by C. Joseph),73,69
3,0:37.0,D. McDermott misses 3-pt jump shot from 25 ft,,73,69
3,0:36.0,,Defensive rebound by Team,73,69
3,0:25.0,,I. Briscoe misses 2-pt layup from 2 ft,73,69
3,0:23.0,Defensive rebound by D. Sabonis,,73,69
3,0:01.0,T. Leaf misses 2-pt jump shot from 9 ft,,73,69
3,0:01.0,,Defensive rebound by M. Bamba,73,69
4,11:43.0,,T. Ross makes 2-pt jump shot from 17 ft (assist by E. Fournier),73,71
4,11:27.0,D. McDermott makes 2-pt layup from 3 ft (assist by T. Leaf),,75,71
4,11:06.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by E. Fournier),75,74
4,10:48.0,C. Joseph makes 2-pt hook shot from 4 ft,,77,74
4,10:32.0,,M. Bamba makes 2-pt dunk from 1 ft (assist by E. Fournier),77,76
4,10:32.0,,Shooting foul by A. Holiday (drawn by M. Bamba),77,76
4,10:32.0,B. Bogdanović enters the game for A. Holiday,,77,76
4,10:32.0,D. Collison enters the game for C. Joseph,,77,76
4,10:32.0,E. Sumner enters the game for D. McDermott,,77,76
4,10:32.0,,M. Bamba makes free throw 1 of 1,77,77
4,10:07.0,D. Collison makes 2-pt layup from 3 ft (assist by D. Sabonis),,79,77
4,9:51.0,,E. Fournier makes 2-pt jump shot from 20 ft (assist by I. Briscoe),79,79
4,9:36.0,D. Sabonis makes 2-pt layup from 2 ft (assist by D. Collison),,81,79
4,9:21.0,,T. Ross misses 2-pt layup from 3 ft,81,79
4,9:18.0,,Offensive rebound by T. Ross,81,79
4,9:15.0,,T. Ross makes 2-pt jump shot from 14 ft,81,81
4,9:01.0,Turnover by D. Collison (bad pass; steal by T. Ross),,81,81
4,8:59.0,,T. Ross makes 2-pt dunk from 1 ft,81,83
4,8:46.0,B. Bogdanović misses 2-pt hook shot from 3 ft,,81,83
4,8:46.0,Offensive rebound by T. Leaf,,81,83
4,8:40.0,Turnover by T. Leaf (bad pass; steal by T. Ross),,81,83
4,8:38.0,,Shooting foul by E. Sumner (drawn by T. Ross),81,83
4,8:38.0,,T. Ross makes free throw 1 of 2,81,84
4,8:38.0,,T. Ross makes free throw 2 of 2,81,85
4,8:38.0,Indiana full timeout,,81,85
4,8:38.0,T. Young enters the game for T. Leaf,,81,85
4,8:23.0,D. Sabonis misses 2-pt hook shot from 6 ft (block by M. Bamba),,81,85
4,8:23.0,Offensive rebound by Team,,81,85
4,8:22.0,B. Bogdanović makes 2-pt layup from 4 ft (assist by E. Sumner),,83,85
4,8:22.0,,Violation by Team (def goaltending),83,85
4,8:06.0,,T. Ross misses 2-pt jump shot from 19 ft,83,85
4,8:03.0,Defensive rebound by B. Bogdanović,,83,85
4,8:00.0,Personal foul by E. Fournier (drawn by B. Bogdanović),,83,85
4,8:00.0,C. Joseph enters the game for D. Sabonis,,83,85
4,8:00.0,M. Turner enters the game for E. Sumner,,83,85
4,7:52.0,B. Bogdanović makes 2-pt jump shot from 15 ft (assist by T. Young),,85,85
4,7:36.0,,A. Gordon makes 2-pt jump shot from 20 ft,85,87
4,7:22.0,Personal foul by M. Bamba (drawn by B. Bogdanović),,85,87
4,7:08.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,85,87
4,7:06.0,,Defensive rebound by T. Ross,85,87
4,6:51.0,,Turnover by E. Fournier (bad pass; steal by T. Young),85,87
4,6:49.0,Personal foul by I. Briscoe (drawn by B. Bogdanović),,85,87
4,6:49.0,,J. Isaac enters the game for M. Bamba,85,87
4,6:49.0,,N. Vučević enters the game for A. Gordon,85,87
4,6:37.0,D. Collison misses 2-pt jump shot from 20 ft,,85,87
4,6:33.0,,Defensive rebound by T. Ross,85,87
4,6:22.0,,T. Ross misses 3-pt jump shot from 26 ft,85,87
4,6:17.0,Defensive rebound by T. Young,,85,87
4,6:01.0,M. Turner makes 2-pt jump shot from 19 ft (assist by C. Joseph),,87,87
4,5:46.0,,J. Isaac makes 2-pt layup from 3 ft (assist by N. Vučević),87,89
4,5:22.0,M. Turner makes 2-pt dunk from 2 ft (assist by D. Collison),,89,89
4,5:08.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by I. Briscoe),89,91
4,4:50.0,Offensive foul by T. Young (drawn by J. Isaac),,89,91
4,4:50.0,Turnover by T. Young (offensive foul),,89,91
4,4:50.0,,D. Augustin enters the game for I. Briscoe,89,91
4,4:50.0,,A. Gordon enters the game for T. Ross,89,91
4,4:39.0,,E. Fournier misses 2-pt jump shot from 21 ft,89,91
4,4:37.0,Defensive rebound by B. Bogdanović,,89,91
4,4:37.0,Indiana full timeout,,89,91
4,4:25.0,D. Collison misses 2-pt jump shot from 18 ft,,89,91
4,4:20.0,,Defensive rebound by N. Vučević,89,91
4,4:00.0,,D. Augustin makes 3-pt jump shot from 26 ft (assist by A. Gordon),89,94
4,3:30.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,89,94
4,3:29.0,,Defensive rebound by J. Isaac,89,94
4,3:18.0,,D. Augustin makes 2-pt jump shot from 9 ft,89,96
4,3:03.0,M. Turner misses 2-pt jump shot from 18 ft,,89,96
4,3:03.0,,Defensive rebound by J. Isaac,89,96
4,2:50.0,,J. Isaac misses 3-pt jump shot from 23 ft,89,96
4,2:47.0,Defensive rebound by C. Joseph,,89,96
4,2:39.0,M. Turner makes 2-pt jump shot from 8 ft (assist by D. Collison),,91,96
4,2:39.0,Shooting foul by D. Augustin (drawn by M. Turner),,91,96
4,2:39.0,,T. Ross enters the game for J. Isaac,91,96
4,2:39.0,M. Turner makes free throw 1 of 1,,92,96
4,2:25.0,,Turnover by E. Fournier (bad pass; steal by D. Collison),92,96
4,2:21.0,D. Collison makes 2-pt layup from 3 ft,,94,96
4,2:07.0,,T. Ross makes 2-pt jump shot from 18 ft (assist by N. Vučević),94,98
4,1:48.0,Turnover by M. Turner (lost ball),,94,98
4,1:48.0,Loose ball foul by M. Turner (drawn by T. Ross),,94,98
4,1:26.0,,Shooting foul by D. Collison (drawn by D. Augustin),94,98
4,1:26.0,,D. Augustin makes free throw 1 of 3,94,99
4,1:26.0,,D. Augustin makes free throw 2 of 3,94,100
4,1:26.0,,D. Augustin makes free throw 3 of 3,94,101
