QUARTER,TIME_REMAINING,MIAMI_ACTION,CHICAGO_ACTION,MIAMI_SCORE,CHICAGO_SCORE
1,8:42.0,,W. Carter misses 3-pt jump shot from 24 ft,7,10
1,8:39.0,Defensive rebound by R. McGruder,,7,10
1,8:33.0,R. McGruder makes 3-pt jump shot from 25 ft (assist by J. Johnson),,10,10
1,8:18.0,,Z. LaVine makes 2-pt layup from 2 ft,10,12
1,8:00.0,J. Richardson misses 2-pt layup from 4 ft,,10,12
1,7:58.0,,Defensive rebound by W. Carter,10,12
1,7:42.0,,Turnover by Z. LaVine (bad pass; steal by H. Whiteside),10,12
1,7:39.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by R. McGruder),,13,12
1,7:16.0,,Z. LaVine misses 3-pt jump shot from 26 ft,13,12
1,7:10.0,,Offensive rebound by J. Parker,13,12
1,7:07.0,,J. Parker misses 3-pt jump shot from 23 ft,13,12
1,7:04.0,Defensive rebound by H. Whiteside,,13,12
1,6:53.0,Turnover by H. Whiteside (off goaltending),,13,12
1,6:53.0,,Chicago full timeout,13,12
1,6:44.0,,Turnover by W. Carter (offensive foul),13,12
1,6:44.0,,Offensive foul by W. Carter (drawn by J. Richardson),13,12
1,6:44.0,,R. Lopez enters the game for W. Carter,13,12
1,6:27.0,W. Ellington misses 3-pt jump shot from 25 ft,,13,12
1,6:25.0,Offensive rebound by H. Whiteside,,13,12
1,6:23.0,H. Whiteside makes 2-pt hook shot from 4 ft,,15,12
1,6:05.0,,J. Parker misses 3-pt jump shot from 25 ft,15,12
1,6:04.0,,Offensive rebound by Team,15,12
1,6:04.0,Loose ball foul by H. Whiteside (drawn by R. Lopez),,15,12
1,6:04.0,B. Adebayo enters the game for R. McGruder,,15,12
1,6:04.0,D. Wade enters the game for H. Whiteside,,15,12
1,5:58.0,,R. Arcidiacono misses 2-pt jump shot from 15 ft,15,12
1,5:55.0,Defensive rebound by J. Johnson,,15,12
1,5:39.0,B. Adebayo misses 2-pt layup from 3 ft (block by R. Lopez),,15,12
1,5:32.0,Offensive rebound by J. Johnson,,15,12
1,5:32.0,J. Johnson misses 2-pt layup from 1 ft,,15,12
1,5:31.0,,Defensive rebound by R. Lopez,15,12
1,5:30.0,,Z. LaVine misses 2-pt layup from 2 ft (block by W. Ellington),15,12
1,5:27.0,Defensive rebound by D. Wade,,15,12
1,5:22.0,B. Adebayo misses 2-pt layup from 2 ft,,15,12
1,5:22.0,Offensive rebound by B. Adebayo,,15,12
1,5:18.0,B. Adebayo misses 2-pt layup from 1 ft,,15,12
1,5:18.0,,Defensive rebound by J. Holiday,15,12
1,5:18.0,,Shooting foul by J. Richardson (drawn by J. Parker),15,12
1,5:18.0,,J. Parker makes free throw 1 of 2,15,13
1,5:18.0,,J. Parker makes free throw 2 of 2,15,14
1,5:03.0,D. Wade misses 2-pt jump shot from 14 ft,,15,14
1,4:59.0,,Defensive rebound by R. Arcidiacono,15,14
1,4:59.0,K. Olynyk enters the game for J. Johnson,,15,14
1,4:59.0,,A. Blakeney enters the game for J. Parker,15,14
1,4:42.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by R. Arcidiacono),15,16
1,4:27.0,K. Olynyk makes 2-pt layup from 1 ft,,17,16
1,4:27.0,Shooting foul by R. Lopez (drawn by K. Olynyk),,17,16
1,4:27.0,K. Olynyk makes free throw 1 of 1,,18,16
1,4:13.0,,R. Lopez makes 2-pt layup from 2 ft (assist by Z. LaVine),18,18
1,4:13.0,,Shooting foul by K. Olynyk (drawn by R. Lopez),18,18
1,4:13.0,,R. Lopez makes free throw 1 of 1,18,19
1,4:01.0,J. Richardson misses 3-pt jump shot from 26 ft,,18,19
1,3:58.0,,Defensive rebound by A. Blakeney,18,19
1,3:53.0,,Z. LaVine makes 2-pt jump shot from 2 ft,18,21
1,3:53.0,,Shooting foul by K. Olynyk (drawn by Z. LaVine),18,21
1,3:53.0,J. Winslow enters the game for W. Ellington,,18,21
1,3:53.0,,Z. LaVine makes free throw 1 of 1,18,22
1,3:38.0,J. Richardson misses 2-pt layup from 2 ft,,18,22
1,3:33.0,Offensive rebound by B. Adebayo,,18,22
1,3:33.0,B. Adebayo makes 2-pt layup from 1 ft,,20,22
1,3:18.0,,R. Lopez misses 2-pt hook shot from 6 ft,20,22
1,3:16.0,Defensive rebound by J. Richardson,,20,22
1,3:05.0,D. Wade makes 2-pt layup from 8 ft,,22,22
1,2:53.0,,J. Holiday makes 2-pt jump shot from 16 ft (assist by Z. LaVine),22,24
1,2:43.0,Personal foul by J. Holiday (drawn by J. Richardson),,22,24
1,2:43.0,Miami full timeout,,22,24
1,2:43.0,J. Richardson makes free throw 1 of 2,,23,24
1,2:43.0,J. Richardson makes free throw 2 of 2,,24,24
1,2:26.0,,R. Lopez misses 2-pt hook shot from 4 ft (block by K. Olynyk),24,24
1,2:22.0,Defensive rebound by J. Winslow,,24,24
1,2:04.0,B. Adebayo makes 2-pt jump shot from 9 ft,,26,24
1,1:46.0,,Z. LaVine misses 2-pt jump shot from 6 ft (block by J. Richardson),26,24
1,1:46.0,,Offensive rebound by Team,26,24
1,1:46.0,R. McGruder enters the game for J. Richardson,,26,24
1,1:46.0,,S. Harrison enters the game for R. Arcidiacono,26,24
1,1:46.0,,J. Parker enters the game for J. Holiday,26,24
1,1:41.0,,A. Blakeney misses 3-pt jump shot from 25 ft,26,24
1,1:37.0,Defensive rebound by B. Adebayo,,26,24
1,1:32.0,K. Olynyk misses 3-pt jump shot from 27 ft,,26,24
1,1:29.0,,Defensive rebound by J. Parker,26,24
1,1:15.0,,R. Lopez makes 2-pt hook shot from 7 ft,26,26
1,1:10.0,Personal foul by R. Lopez (drawn by B. Adebayo),,26,26
1,1:10.0,B. Adebayo makes free throw 1 of 2,,27,26
1,1:10.0,,C. Payne enters the game for Z. LaVine,27,26
1,1:10.0,B. Adebayo makes free throw 2 of 2,,28,26
1,1:02.0,,A. Blakeney misses 2-pt jump shot from 12 ft,28,26
1,0:59.0,Defensive rebound by B. Adebayo,,28,26
1,0:48.0,J. Winslow misses 3-pt jump shot from 24 ft,,28,26
1,0:45.0,,Defensive rebound by J. Parker,28,26
1,0:39.0,,Turnover by J. Parker (bad pass; steal by D. Wade),28,26
1,0:34.0,D. Wade misses 2-pt jump shot from 16 ft,,28,26
1,0:30.0,,Defensive rebound by C. Payne,28,26
1,0:13.0,,A. Blakeney misses 2-pt jump shot from 6 ft (block by B. Adebayo),28,26
1,0:11.0,Defensive rebound by B. Adebayo,,28,26
1,0:01.0,K. Olynyk misses 3-pt jump shot from 25 ft,,28,26
1,0:01.0,,Defensive rebound by C. Payne,28,26
2,11:35.0,,S. Harrison misses 2-pt layup from 1 ft,28,26
2,11:32.0,Defensive rebound by J. Winslow,,28,26
2,11:25.0,B. Adebayo misses 2-pt jump shot from 8 ft,,28,26
2,11:23.0,,Defensive rebound by J. Parker,28,26
2,11:18.0,,Turnover by J. Parker (lost ball; steal by J. Winslow),28,26
2,11:12.0,D. Wade makes 2-pt layup from 2 ft,,30,26
2,11:03.0,,Turnover by C. Payne (traveling),30,26
2,10:52.0,Turnover by D. Wade (bad pass; steal by J. Parker),,30,26
2,10:49.0,,Shooting foul by R. McGruder (drawn by S. Harrison),30,26
2,10:49.0,,S. Harrison makes free throw 1 of 2,30,27
2,10:49.0,,S. Harrison makes free throw 2 of 2,30,28
2,10:41.0,Shooting foul by C. Payne (drawn by J. Winslow),,30,28
2,10:41.0,J. Winslow makes free throw 1 of 2,,31,28
2,10:41.0,J. Winslow makes free throw 2 of 2,,32,28
2,10:25.0,,A. Blakeney misses 2-pt layup from 4 ft,32,28
2,10:23.0,Defensive rebound by J. Winslow,,32,28
2,10:13.0,Turnover by K. Olynyk (bad pass; steal by S. Harrison),,32,28
2,10:09.0,,Offensive foul by R. Lopez (drawn by K. Olynyk),32,28
2,10:09.0,,Turnover by R. Lopez (offensive foul),32,28
2,10:09.0,,W. Carter enters the game for R. Lopez,32,28
2,9:57.0,Def 3 sec tech foul by Team,,32,28
2,9:57.0,K. Olynyk misses technical free throw,,32,28
2,9:57.0,Offensive rebound by Team,,32,28
2,9:46.0,D. Wade makes 2-pt jump shot from 7 ft,,34,28
2,9:35.0,,J. Parker misses 2-pt jump shot from 22 ft,34,28
2,9:32.0,Defensive rebound by B. Adebayo,,34,28
2,9:25.0,Turnover by B. Adebayo (lost ball; steal by S. Harrison),,34,28
2,9:21.0,,S. Harrison misses 3-pt jump shot from 23 ft,34,28
2,9:16.0,Defensive rebound by B. Adebayo,,34,28
2,9:10.0,J. Winslow misses 3-pt jump shot from 25 ft,,34,28
2,9:06.0,,Defensive rebound by W. Carter,34,28
2,9:06.0,,Turnover by W. Carter (bad pass),34,28
2,9:06.0,Personal foul by W. Carter (drawn by B. Adebayo),,34,28
2,9:06.0,,C. Felício enters the game for W. Carter,34,28
2,8:58.0,Offensive foul by B. Adebayo (drawn by C. Payne),,34,28
2,8:58.0,Turnover by B. Adebayo (offensive foul),,34,28
2,8:38.0,,J. Parker misses 2-pt jump shot from 22 ft,34,28
2,8:35.0,Defensive rebound by K. Olynyk,,34,28
2,8:31.0,Shooting foul by J. Parker (drawn by B. Adebayo),,34,28
2,8:31.0,B. Adebayo makes free throw 1 of 2,,35,28
2,8:31.0,,J. Holiday enters the game for A. Blakeney,35,28
2,8:31.0,B. Adebayo makes free throw 2 of 2,,36,28
2,8:22.0,,Turnover by J. Holiday (bad pass),36,28
2,8:12.0,Shooting foul by S. Harrison (drawn by J. Winslow),,36,28
2,8:12.0,J. Winslow makes free throw 1 of 2,,37,28
2,8:12.0,,R. Arcidiacono enters the game for S. Harrison,37,28
2,8:12.0,J. Winslow makes free throw 2 of 2,,38,28
2,7:50.0,,R. Arcidiacono misses 2-pt layup from 2 ft,38,28
2,7:47.0,Defensive rebound by K. Olynyk,,38,28
2,7:46.0,D. Wade misses 3-pt jump shot from 26 ft,,38,28
2,7:43.0,,Defensive rebound by R. Arcidiacono,38,28
2,7:37.0,,J. Parker misses 2-pt layup from 4 ft,38,28
2,7:34.0,Defensive rebound by B. Adebayo,,38,28
2,7:30.0,R. McGruder misses 3-pt jump shot from 23 ft,,38,28
2,7:26.0,,Defensive rebound by J. Parker,38,28
2,7:23.0,,J. Holiday misses 3-pt jump shot from 25 ft,38,28
2,7:21.0,,Offensive rebound by C. Felício,38,28
2,7:21.0,,Personal foul by D. Wade (drawn by C. Felício),38,28
2,7:21.0,W. Ellington enters the game for B. Adebayo,,38,28
2,7:21.0,J. Johnson enters the game for R. McGruder,,38,28
2,7:21.0,J. Richardson enters the game for K. Olynyk,,38,28
2,7:21.0,H. Whiteside enters the game for D. Wade,,38,28
2,7:21.0,,Z. LaVine enters the game for C. Payne,38,28
2,7:18.0,,Shooting foul by J. Winslow (drawn by J. Holiday),38,28
2,7:18.0,,J. Holiday makes free throw 1 of 2,38,29
2,7:18.0,,J. Holiday makes free throw 2 of 2,38,30
2,6:53.0,H. Whiteside makes 2-pt jump shot from 8 ft,,40,30
2,6:34.0,,R. Arcidiacono misses 2-pt layup from 4 ft,40,30
2,6:31.0,Defensive rebound by H. Whiteside,,40,30
2,6:31.0,Personal foul by R. Arcidiacono (drawn by H. Whiteside),,40,30
2,6:31.0,,Chicago full timeout,40,30
2,6:31.0,H. Whiteside misses free throw 1 of 2,,40,30
2,6:31.0,Offensive rebound by Team,,40,30
2,6:31.0,H. Whiteside makes free throw 2 of 2,,41,30
2,6:11.0,,J. Holiday makes 2-pt jump shot from 12 ft,41,32
2,5:48.0,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Johnson),,43,32
2,5:48.0,Shooting foul by C. Felício (drawn by H. Whiteside),,43,32
2,5:48.0,H. Whiteside misses free throw 1 of 1,,43,32
2,5:48.0,,Defensive rebound by Team,43,32
2,5:38.0,,J. Holiday misses 3-pt jump shot from 25 ft,43,32
2,5:36.0,Defensive rebound by Team,,43,32
2,5:15.0,J. Richardson makes 3-pt jump shot from 23 ft (assist by J. Johnson),,46,32
2,5:03.0,,J. Parker misses 2-pt dunk from 4 ft (block by J. Winslow),46,32
2,5:00.0,Defensive rebound by J. Winslow,,46,32
2,4:57.0,J. Richardson misses 3-pt jump shot from 25 ft,,46,32
2,4:53.0,,Defensive rebound by C. Felício,46,32
2,4:53.0,,Personal foul by J. Richardson (drawn by J. Holiday),46,32
2,4:53.0,,A. Blakeney enters the game for J. Parker,46,32
2,4:41.0,,A. Blakeney misses 2-pt jump shot from 7 ft (block by H. Whiteside),46,32
2,4:38.0,Defensive rebound by W. Ellington,,46,32
2,4:37.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by W. Ellington),,48,32
2,4:37.0,,Chicago full timeout,48,32
2,4:21.0,,C. Felício misses 2-pt hook shot from 5 ft (block by H. Whiteside),48,32
2,4:19.0,Defensive rebound by Team,,48,32
2,4:05.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Winslow),,50,32
2,3:49.0,,Turnover by R. Arcidiacono (bad pass; steal by W. Ellington),50,32
2,3:45.0,W. Ellington makes 2-pt layup from 1 ft,,52,32
2,3:25.0,,Turnover by C. Felício (bad pass),52,32
2,3:08.0,H. Whiteside makes 2-pt layup from 3 ft (assist by J. Johnson),,54,32
2,3:08.0,,Chicago full timeout,54,32
2,3:08.0,,J. Parker enters the game for C. Felício,54,32
2,2:57.0,,Z. LaVine misses 2-pt jump shot from 11 ft (block by H. Whiteside),54,32
2,2:52.0,Defensive rebound by J. Winslow,,54,32
2,2:35.0,W. Ellington makes 3-pt jump shot from 23 ft (assist by J. Johnson),,57,32
2,2:21.0,,R. Arcidiacono misses 3-pt jump shot from 24 ft,57,32
2,2:18.0,Defensive rebound by H. Whiteside,,57,32
2,2:04.0,Personal foul by Z. LaVine (drawn by H. Whiteside),,57,32
2,2:04.0,H. Whiteside makes free throw 1 of 2,,58,32
2,2:04.0,D. Wade enters the game for J. Richardson,,58,32
2,2:04.0,H. Whiteside misses free throw 2 of 2,,58,32
2,2:02.0,,Defensive rebound by J. Holiday,58,32
2,1:51.0,,Turnover by Z. LaVine (lost ball; steal by D. Wade),58,32
2,1:43.0,Turnover by D. Wade (bad pass),,58,32
2,1:43.0,,S. Harrison enters the game for Z. LaVine,58,32
2,1:37.0,,Personal foul by J. Winslow (drawn by J. Holiday),58,32
2,1:37.0,,J. Holiday makes free throw 1 of 2,58,33
2,1:37.0,R. McGruder enters the game for J. Winslow,,58,33
2,1:37.0,,J. Holiday makes free throw 2 of 2,58,34
2,1:14.0,R. McGruder makes 2-pt layup from 2 ft (assist by D. Wade),,60,34
2,1:07.0,,Shooting foul by H. Whiteside (drawn by J. Parker),60,34
2,1:07.0,,J. Parker makes free throw 1 of 2,60,35
2,1:07.0,B. Adebayo enters the game for H. Whiteside,,60,35
2,1:07.0,,J. Parker makes free throw 2 of 2,60,36
2,0:55.0,Turnover by J. Johnson (bad pass; steal by A. Blakeney),,60,36
2,0:51.0,,J. Holiday makes 3-pt jump shot from 27 ft (assist by A. Blakeney),60,39
2,0:37.0,W. Ellington misses 3-pt jump shot from 23 ft,,60,39
2,0:33.0,Offensive rebound by B. Adebayo,,60,39
2,0:33.0,Turnover by R. McGruder (bad pass),,60,39
2,0:28.0,,S. Harrison misses 2-pt layup from 2 ft,60,39
2,0:22.0,Defensive rebound by W. Ellington,,60,39
2,0:20.0,R. McGruder misses 2-pt layup from 3 ft (block by J. Parker),,60,39
2,0:16.0,,Defensive rebound by A. Blakeney,60,39
2,0:01.0,,J. Parker misses 3-pt jump shot from 25 ft,60,39
2,0:01.0,,Offensive rebound by Team,60,39
3,11:46.0,,W. Carter makes 2-pt layup at rim (assist by Z. LaVine),60,41
3,11:24.0,R. McGruder misses 2-pt layup from 3 ft,,60,41
3,11:20.0,Offensive rebound by H. Whiteside,,60,41
3,11:20.0,H. Whiteside misses 2-pt layup at rim,,60,41
3,11:20.0,Offensive rebound by H. Whiteside,,60,41
3,11:17.0,H. Whiteside makes 2-pt layup at rim,,62,41
3,11:04.0,,Z. LaVine misses 2-pt jump shot from 19 ft,62,41
3,11:02.0,Defensive rebound by H. Whiteside,,62,41
3,10:52.0,J. Johnson makes 3-pt jump shot from 25 ft,,65,41
3,10:42.0,,J. Holiday misses 3-pt jump shot from 27 ft,65,41
3,10:42.0,,Offensive rebound by Team,65,41
3,10:36.0,,J. Holiday misses 2-pt jump shot from 19 ft (block by W. Ellington),65,41
3,10:33.0,,Offensive rebound by J. Holiday,65,41
3,10:29.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by W. Carter),65,44
3,10:11.0,H. Whiteside misses 2-pt layup from 3 ft (block by W. Carter),,65,44
3,10:09.0,,Defensive rebound by Z. LaVine,65,44
3,10:09.0,,Personal foul by R. McGruder (drawn by Z. LaVine),65,44
3,9:59.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Parker),65,47
3,9:49.0,Personal foul by W. Carter (drawn by H. Whiteside),,65,47
3,9:49.0,,R. Lopez enters the game for W. Carter,65,47
3,9:36.0,J. Johnson misses 2-pt jump shot from 23 ft,,65,47
3,9:32.0,,Defensive rebound by J. Holiday,65,47
3,9:21.0,,Turnover by Z. LaVine (bad pass; steal by W. Ellington),65,47
3,9:17.0,J. Richardson makes 2-pt dunk from 1 ft (assist by W. Ellington),,67,47
3,9:17.0,Violation by Team (delay of game),,67,47
3,9:03.0,,J. Holiday makes 2-pt layup from 3 ft (assist by R. Lopez),67,49
3,8:51.0,H. Whiteside misses 2-pt jump shot from 8 ft,,67,49
3,8:51.0,Offensive rebound by Team,,67,49
3,8:51.0,Personal foul by R. Arcidiacono (drawn by J. Richardson),,67,49
3,8:34.0,H. Whiteside misses 2-pt jump shot from 16 ft,,67,49
3,8:30.0,,Defensive rebound by J. Holiday,67,49
3,8:23.0,,Z. LaVine misses 2-pt jump shot from 9 ft,67,49
3,8:21.0,Defensive rebound by H. Whiteside,,67,49
3,8:17.0,R. McGruder makes 2-pt layup from 1 ft (assist by J. Richardson),,69,49
3,8:16.0,,Chicago full timeout,69,49
3,8:09.0,,Turnover by R. Lopez (dbl dribble),69,49
3,7:52.0,J. Richardson misses 3-pt jump shot from 25 ft,,69,49
3,7:50.0,,Defensive rebound by Z. LaVine,69,49
3,7:42.0,,Turnover by J. Parker (bad pass; steal by W. Ellington),69,49
3,7:40.0,Shooting foul by Z. LaVine (drawn by R. McGruder),,69,49
3,7:40.0,R. McGruder makes free throw 1 of 2,,70,49
3,7:40.0,R. McGruder misses free throw 2 of 2,,70,49
3,7:40.0,,Defensive rebound by J. Parker,70,49
3,7:29.0,,J. Parker makes 2-pt dunk at rim (assist by R. Arcidiacono),70,51
3,7:05.0,R. McGruder misses 3-pt jump shot from 25 ft,,70,51
3,7:03.0,,Defensive rebound by J. Holiday,70,51
3,6:55.0,,R. Arcidiacono misses 3-pt jump shot from 23 ft,70,51
3,6:53.0,,Offensive rebound by R. Arcidiacono,70,51
3,6:45.0,,Personal foul by J. Johnson (drawn by J. Parker),70,51
3,6:36.0,,Z. LaVine misses 2-pt jump shot from 17 ft (block by H. Whiteside),70,51
3,6:32.0,Defensive rebound by J. Johnson,,70,51
3,6:27.0,J. Johnson misses 2-pt jump shot from 20 ft,,70,51
3,6:23.0,,Defensive rebound by J. Holiday,70,51
3,6:19.0,,J. Holiday misses 3-pt jump shot from 25 ft,70,51
3,6:19.0,Defensive rebound by Team,,70,51
3,6:08.0,R. McGruder misses 2-pt layup from 4 ft (block by Z. LaVine),,70,51
3,6:08.0,,Defensive rebound by Team,70,51
3,5:51.0,,Z. LaVine makes 2-pt jump shot from 13 ft,70,53
3,5:50.0,Miami full timeout,,70,53
3,5:50.0,D. Wade enters the game for R. McGruder,,70,53
3,5:37.0,H. Whiteside misses 2-pt jump shot from 6 ft,,70,53
3,5:35.0,,Defensive rebound by R. Lopez,70,53
3,5:19.0,,R. Arcidiacono makes 3-pt jump shot from 22 ft (assist by J. Holiday),70,56
3,5:04.0,J. Johnson misses 3-pt jump shot from 27 ft,,70,56
3,5:01.0,,Defensive rebound by J. Holiday,70,56
3,4:58.0,,Z. LaVine makes 2-pt dunk at rim (assist by R. Arcidiacono),70,58
3,4:35.0,D. Wade makes 2-pt jump shot from 13 ft,,72,58
3,4:25.0,,Z. LaVine makes 2-pt jump shot from 16 ft (assist by R. Arcidiacono),72,60
3,4:24.0,Miami full timeout,,72,60
3,4:24.0,,S. Harrison enters the game for J. Parker,72,60
3,4:05.0,H. Whiteside makes 2-pt layup from 2 ft (assist by W. Ellington),,74,60
3,3:49.0,,Z. LaVine makes 2-pt jump shot from 19 ft,74,62
3,3:38.0,Turnover by D. Wade (lost ball; steal by J. Holiday),,74,62
3,3:34.0,,J. Holiday makes 2-pt layup from 2 ft,74,64
3,3:17.0,D. Wade makes 2-pt layup from 1 ft (assist by J. Richardson),,76,64
3,2:56.0,,Z. LaVine misses 2-pt jump shot from 18 ft,76,64
3,2:55.0,,Offensive rebound by R. Lopez,76,64
3,2:45.0,,R. Lopez makes 2-pt dunk from 1 ft (assist by Z. LaVine),76,66
3,2:31.0,Turnover by J. Johnson (traveling),,76,66
3,2:31.0,B. Adebayo enters the game for J. Richardson,,76,66
3,2:31.0,J. Winslow enters the game for H. Whiteside,,76,66
3,2:19.0,,J. Holiday misses 3-pt jump shot from 25 ft,76,66
3,2:17.0,Defensive rebound by D. Wade,,76,66
3,2:01.0,W. Ellington misses 3-pt jump shot from 25 ft,,76,66
3,1:57.0,,Defensive rebound by R. Lopez,76,66
3,1:46.0,,Z. LaVine misses 3-pt jump shot from 25 ft,76,66
3,1:43.0,Defensive rebound by J. Johnson,,76,66
3,1:29.0,J. Johnson misses 2-pt jump shot from 15 ft,,76,66
3,1:26.0,,Defensive rebound by J. Holiday,76,66
3,1:19.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),76,69
3,0:57.0,J. Winslow makes 2-pt layup from 2 ft (assist by B. Adebayo),,78,69
3,0:40.0,,Z. LaVine misses 2-pt layup from 2 ft,78,69
3,0:39.0,Defensive rebound by D. Wade,,78,69
3,0:23.0,J. Johnson misses 2-pt layup from 2 ft,,78,69
3,0:20.0,,Defensive rebound by J. Holiday,78,69
3,0:00.0,,S. Harrison misses 3-pt jump shot from 25 ft,78,69
3,0:00.0,,Offensive rebound by Team,78,69
4,11:38.0,Turnover by J. Winslow (bad pass),,78,69
4,11:25.0,,R. Lopez misses 2-pt hook shot from 10 ft,78,69
4,11:23.0,,Offensive rebound by R. Lopez,78,69
4,11:21.0,,R. Lopez makes 2-pt layup from 2 ft,78,71
4,11:01.0,J. Winslow makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,81,71
4,10:48.0,,J. Parker misses 2-pt jump shot from 20 ft,81,71
4,10:45.0,Defensive rebound by B. Adebayo,,81,71
4,10:41.0,K. Olynyk misses 3-pt jump shot from 26 ft,,81,71
4,10:37.0,,Defensive rebound by R. Lopez,81,71
4,10:20.0,,R. Lopez misses 3-pt jump shot from 25 ft,81,71
4,10:16.0,,Offensive rebound by S. Harrison,81,71
4,10:11.0,,A. Blakeney misses 2-pt jump shot from 16 ft,81,71
4,10:09.0,Defensive rebound by J. Winslow,,81,71
4,9:53.0,D. Wade misses 2-pt jump shot from 15 ft,,81,71
4,9:49.0,,Defensive rebound by A. Blakeney,81,71
4,9:42.0,,J. Parker makes 2-pt dunk at rim (assist by R. Arcidiacono),81,73
4,9:23.0,Turnover by J. Winslow (bad pass; steal by A. Blakeney),,81,73
4,9:17.0,,S. Harrison misses 2-pt layup from 3 ft,81,73
4,9:17.0,,Offensive rebound by J. Parker,81,73
4,9:16.0,,J. Parker makes 2-pt layup from 1 ft,81,75
4,9:00.0,D. Wade misses 3-pt jump shot from 26 ft,,81,75
4,8:59.0,,Defensive rebound by Team,81,75
4,8:52.0,,Shooting foul by B. Adebayo (drawn by J. Parker),81,75
4,8:52.0,,J. Parker makes free throw 1 of 2,81,76
4,8:52.0,,J. Holiday enters the game for R. Arcidiacono,81,76
4,8:52.0,,J. Parker makes free throw 2 of 2,81,77
4,8:49.0,Miami full timeout,,81,77
4,8:49.0,J. Richardson enters the game for K. Olynyk,,81,77
4,8:35.0,Shooting foul by J. Holiday (drawn by B. Adebayo),,81,77
4,8:35.0,B. Adebayo makes free throw 1 of 2,,82,77
4,8:35.0,B. Adebayo makes free throw 2 of 2,,83,77
4,8:22.0,,Personal foul by R. McGruder (drawn by J. Holiday),83,77
4,8:16.0,,Personal foul by R. McGruder (drawn by J. Holiday),83,77
4,8:09.0,,S. Harrison misses 2-pt jump shot from 10 ft,83,77
4,8:04.0,Defensive rebound by D. Wade,,83,77
4,7:55.0,R. McGruder misses 3-pt jump shot from 27 ft,,83,77
4,7:52.0,,Defensive rebound by S. Harrison,83,77
4,7:37.0,,Turnover by J. Holiday (bad pass; steal by R. McGruder),83,77
4,7:33.0,Turnover by D. Wade (lost ball; steal by J. Holiday),,83,77
4,7:28.0,,J. Parker makes 2-pt layup from 1 ft (assist by J. Holiday),83,79
4,7:11.0,B. Adebayo makes 2-pt jump shot from 6 ft (assist by D. Wade),,85,79
4,6:55.0,,Personal foul by J. Richardson (drawn by J. Holiday),85,79
4,6:55.0,,Z. LaVine enters the game for A. Blakeney,85,79
4,6:42.0,,J. Parker misses 3-pt jump shot from 27 ft,85,79
4,6:35.0,,Offensive rebound by J. Holiday,85,79
4,6:34.0,,S. Harrison misses 2-pt layup from 4 ft (block by D. Wade),85,79
4,6:34.0,,Offensive rebound by Team,85,79
