QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,INDIANA_ACTION,SAN ANTONIO_SCORE,INDIANA_SCORE
1,4:58.0,,C. Joseph enters the game for T. Evans,18,7
1,4:58.0,D. Bertāns makes free throw 2 of 2,,19,7
1,4:48.0,,T. Young makes 2-pt jump shot from 13 ft (assist by D. Collison),19,9
1,4:32.0,D. Bertāns makes 3-pt jump shot from 27 ft (assist by M. Belinelli),,22,9
1,4:25.0,,Offensive foul by D. Sabonis (drawn by P. Mills),22,9
1,4:25.0,,Turnover by D. Sabonis (offensive foul),22,9
1,4:15.0,L. Aldridge misses 2-pt jump shot from 10 ft,,22,9
1,4:11.0,Offensive rebound by L. Aldridge,,22,9
1,4:05.0,Offensive foul by L. Aldridge (drawn by T. Young),,22,9
1,4:05.0,Turnover by L. Aldridge (offensive foul),,22,9
1,4:05.0,,A. Holiday enters the game for D. Collison,22,9
1,4:05.0,,K. O'Quinn enters the game for D. Sabonis,22,9
1,3:52.0,,A. Holiday makes 2-pt layup from 2 ft (assist by C. Joseph),22,11
1,3:52.0,,Shooting foul by D. Bertāns (drawn by A. Holiday),22,11
1,3:52.0,J. Poeltl enters the game for D. Bertāns,,22,11
1,3:52.0,,A. Holiday makes free throw 1 of 1,22,12
1,3:29.0,P. Mills makes 3-pt jump shot from 23 ft (assist by M. Belinelli),,25,12
1,3:17.0,,B. Bogdanović makes 2-pt layup from 1 ft,25,14
1,3:16.0,San Antonio full timeout,,25,14
1,3:16.0,R. Gay enters the game for L. Aldridge,,25,14
1,3:16.0,,D. McDermott enters the game for T. Young,25,14
1,3:08.0,Offensive foul by J. Poeltl (drawn by C. Joseph),,25,14
1,3:08.0,Turnover by J. Poeltl (offensive foul),,25,14
1,2:57.0,,A. Holiday misses 3-pt jump shot from 28 ft,25,14
1,2:53.0,,Offensive rebound by K. O'Quinn,25,14
1,2:52.0,,A. Holiday misses 3-pt jump shot from 23 ft,25,14
1,2:47.0,Defensive rebound by R. Gay,,25,14
1,2:36.0,R. Gay misses 3-pt jump shot from 26 ft,,25,14
1,2:33.0,,Defensive rebound by K. O'Quinn,25,14
1,2:23.0,,Turnover by K. O'Quinn (bad pass),25,14
1,2:23.0,,T. Leaf enters the game for B. Bogdanović,25,14
1,2:06.0,D. DeRozan misses 2-pt jump shot from 17 ft,,25,14
1,2:04.0,,Defensive rebound by T. Leaf,25,14
1,1:53.0,,C. Joseph makes 2-pt jump shot from 18 ft,25,16
1,1:38.0,Shooting foul by T. Leaf (drawn by R. Gay),,25,16
1,1:38.0,R. Gay misses free throw 1 of 2,,25,16
1,1:38.0,Offensive rebound by Team,,25,16
1,1:38.0,D. White enters the game for D. DeRozan,,25,16
1,1:38.0,R. Gay makes free throw 2 of 2,,26,16
1,1:28.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by K. O'Quinn),26,19
1,1:10.0,M. Belinelli misses 2-pt jump shot from 13 ft,,26,19
1,1:06.0,,Defensive rebound by T. Leaf,26,19
1,0:53.0,,C. Joseph makes 2-pt layup from 2 ft (assist by K. O'Quinn),26,21
1,0:39.0,P. Mills misses 3-pt jump shot from 26 ft,,26,21
1,0:36.0,,Defensive rebound by K. O'Quinn,26,21
1,0:17.0,,T. Leaf makes 2-pt layup at rim,26,23
1,0:05.0,P. Mills misses 2-pt jump shot from 17 ft,,26,23
1,0:01.0,Offensive rebound by J. Poeltl,,26,23
1,0:00.0,P. Mills makes 3-pt jump shot from 26 ft (assist by R. Gay),,29,23
2,11:49.0,,D. McDermott misses 3-pt jump shot from 26 ft,29,23
2,11:44.0,Defensive rebound by L. Aldridge,,29,23
2,11:36.0,Shooting foul by K. O'Quinn (drawn by L. Aldridge),,29,23
2,11:36.0,L. Aldridge makes free throw 1 of 2,,30,23
2,11:36.0,L. Aldridge makes free throw 2 of 2,,31,23
2,11:27.0,,Turnover by T. Leaf (out of bounds lost ball),31,23
2,11:15.0,B. Forbes misses 3-pt jump shot from 27 ft,,31,23
2,11:11.0,,Defensive rebound by A. Holiday,31,23
2,11:08.0,,C. Joseph misses 2-pt jump shot from 2 ft,31,23
2,11:03.0,,Offensive rebound by T. Leaf,31,23
2,11:03.0,,T. Leaf makes 2-pt dunk at rim,31,25
2,10:54.0,Offensive rebound by Team,,31,25
2,10:54.0,L. Aldridge misses 2-pt jump shot from 2 ft (block by K. O'Quinn),,31,25
2,10:54.0,Offensive foul by B. Forbes (drawn by A. Holiday),,31,25
2,10:54.0,Turnover by B. Forbes (offensive foul),,31,25
2,10:39.0,,C. Joseph misses 2-pt jump shot from 11 ft,31,25
2,10:35.0,Defensive rebound by L. Aldridge,,31,25
2,10:29.0,Shooting foul by K. O'Quinn (drawn by D. White),,31,25
2,10:29.0,D. DeRozan enters the game for P. Mills,,31,25
2,10:29.0,D. White misses free throw 1 of 2,,31,25
2,10:29.0,Offensive rebound by Team,,31,25
2,10:29.0,D. White makes free throw 2 of 2,,32,25
2,10:19.0,,A. Holiday misses 3-pt jump shot from 28 ft,32,25
2,10:18.0,Defensive rebound by Team,,32,25
2,10:10.0,Offensive foul by D. Bertāns (drawn by C. Joseph),,32,25
2,10:10.0,Turnover by D. Bertāns (offensive foul),,32,25
2,9:53.0,,C. Joseph makes 2-pt layup from 2 ft,32,27
2,9:53.0,San Antonio full timeout,,32,27
2,9:53.0,D. Cunningham enters the game for D. Bertāns,,32,27
2,9:44.0,D. DeRozan misses 2-pt jump shot from 18 ft,,32,27
2,9:41.0,,Defensive rebound by A. Holiday,32,27
2,9:34.0,,Offensive foul by K. O'Quinn (drawn by D. DeRozan),32,27
2,9:34.0,,Turnover by K. O'Quinn (offensive foul),32,27
2,9:34.0,,D. Sabonis enters the game for K. O'Quinn,32,27
2,9:20.0,L. Aldridge makes 2-pt jump shot from 16 ft,,34,27
2,9:11.0,,Personal foul by D. White (drawn by C. Joseph),34,27
2,9:02.0,,A. Holiday misses 2-pt jump shot from 13 ft,34,27
2,9:02.0,Defensive rebound by D. White,,34,27
2,8:52.0,D. DeRozan makes 2-pt jump shot from 7 ft,,36,27
2,8:40.0,,T. Leaf misses 3-pt jump shot from 27 ft,36,27
2,8:38.0,Defensive rebound by D. White,,36,27
2,8:29.0,B. Forbes misses 3-pt jump shot from 27 ft,,36,27
2,8:26.0,,Defensive rebound by A. Holiday,36,27
2,8:12.0,,C. Joseph misses 2-pt jump shot from 10 ft,36,27
2,8:09.0,Defensive rebound by B. Forbes,,36,27
2,8:01.0,B. Forbes misses 2-pt layup from 2 ft (block by A. Holiday),,36,27
2,8:01.0,,Defensive rebound by D. Sabonis,36,27
2,7:58.0,,Offensive foul by A. Holiday (drawn by D. White),36,27
2,7:58.0,,Turnover by A. Holiday (offensive foul),36,27
2,7:58.0,,T. Evans enters the game for A. Holiday,36,27
2,7:58.0,,T. Young enters the game for T. Leaf,36,27
2,7:44.0,D. DeRozan misses 2-pt jump shot from 16 ft,,36,27
2,7:40.0,,Defensive rebound by D. Sabonis,36,27
2,7:32.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),36,29
2,7:32.0,,Shooting foul by D. White (drawn by D. Sabonis),36,29
2,7:32.0,M. Belinelli enters the game for D. White,,36,29
2,7:32.0,,B. Bogdanović enters the game for D. McDermott,36,29
2,7:32.0,,D. Sabonis misses free throw 1 of 1,36,29
2,7:30.0,Defensive rebound by L. Aldridge,,36,29
2,7:16.0,D. DeRozan makes 2-pt jump shot from 18 ft,,38,29
2,6:59.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Sabonis),38,31
2,6:38.0,L. Aldridge makes 2-pt jump shot from 9 ft,,40,31
2,6:22.0,,D. Sabonis makes 2-pt jump shot from 20 ft (assist by T. Evans),40,33
2,6:05.0,Turnover by B. Forbes (bad pass),,40,33
2,6:05.0,P. Mills enters the game for B. Forbes,,40,33
2,5:55.0,,D. Sabonis makes 2-pt jump shot from 11 ft (assist by C. Joseph),40,35
2,5:32.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by M. Belinelli),,42,35
2,5:21.0,,Turnover by B. Bogdanović (bad pass; steal by P. Mills),42,35
2,5:05.0,D. Cunningham misses 2-pt jump shot from 7 ft,,42,35
2,5:02.0,Offensive rebound by L. Aldridge,,42,35
2,5:02.0,L. Aldridge misses 2-pt layup from 1 ft,,42,35
2,5:01.0,,Defensive rebound by C. Joseph,42,35
2,4:55.0,,Turnover by D. Sabonis (3 sec),42,35
2,4:55.0,R. Gay enters the game for D. Cunningham,,42,35
2,4:43.0,Shooting foul by B. Bogdanović (drawn by D. DeRozan),,42,35
2,4:43.0,D. DeRozan makes free throw 1 of 2,,43,35
2,4:43.0,,D. Collison enters the game for C. Joseph,43,35
2,4:43.0,D. DeRozan misses free throw 2 of 2,,43,35
2,4:41.0,,Defensive rebound by D. Sabonis,43,35
2,4:32.0,,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by D. Collison),43,37
2,4:12.0,M. Belinelli misses 3-pt jump shot from 26 ft,,43,37
2,4:08.0,Offensive rebound by L. Aldridge,,43,37
2,4:07.0,L. Aldridge misses 2-pt layup at rim,,43,37
2,4:04.0,,Defensive rebound by T. Young,43,37
2,3:58.0,,T. Evans misses 3-pt jump shot from 28 ft,43,37
2,3:55.0,Defensive rebound by M. Belinelli,,43,37
2,3:46.0,Personal foul by D. Collison (drawn by M. Belinelli),,43,37
2,3:36.0,P. Mills makes 2-pt layup from 1 ft (assist by D. DeRozan),,45,37
2,3:26.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,45,37
2,3:23.0,Defensive rebound by R. Gay,,45,37
2,3:18.0,R. Gay misses 3-pt jump shot from 30 ft,,45,37
2,3:14.0,,Defensive rebound by D. Collison,45,37
2,3:06.0,,T. Young misses 3-pt jump shot from 24 ft,45,37
2,3:03.0,Defensive rebound by M. Belinelli,,45,37
2,2:58.0,San Antonio full timeout,,45,37
2,2:43.0,L. Aldridge misses 3-pt jump shot from 27 ft,,45,37
2,2:41.0,,Defensive rebound by T. Evans,45,37
2,2:29.0,,T. Young makes 2-pt jump shot from 4 ft (assist by T. Evans),45,39
2,2:12.0,L. Aldridge misses 2-pt layup at rim,,45,39
2,2:10.0,,Defensive rebound by B. Bogdanović,45,39
2,2:04.0,,B. Bogdanović makes 2-pt jump shot from 14 ft (assist by D. Collison),45,41
2,1:45.0,P. Mills makes 2-pt jump shot from 18 ft (assist by L. Aldridge),,47,41
2,1:33.0,,B. Bogdanović misses 2-pt jump shot from 3 ft (block by D. DeRozan),47,41
2,1:31.0,Defensive rebound by D. DeRozan,,47,41
2,1:28.0,M. Belinelli makes 3-pt jump shot from 28 ft,,50,41
2,1:13.0,,T. Evans misses 2-pt jump shot from 19 ft,50,41
2,1:10.0,,Offensive rebound by T. Evans,50,41
2,1:03.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Evans),50,43
2,0:42.0,L. Aldridge makes 2-pt layup at rim (assist by D. DeRozan),,52,43
2,0:34.0,,T. Evans makes 2-pt layup from 1 ft,52,45
2,0:15.0,D. DeRozan makes 2-pt jump shot from 17 ft,,54,45
2,0:04.0,,Personal take foul by D. DeRozan (drawn by D. Collison),54,45
2,0:00.0,,T. Evans misses 3-pt jump shot from 31 ft,54,45
2,0:00.0,,Offensive rebound by Team,54,45
3,11:46.0,,T. Evans misses 2-pt layup from 3 ft (block by L. Aldridge),54,45
3,11:46.0,,Offensive rebound by Team,54,45
3,11:39.0,,T. Evans misses 2-pt layup from 3 ft,54,45
3,11:34.0,,Offensive rebound by D. Sabonis,54,45
3,11:34.0,,D. Sabonis makes 2-pt layup from 1 ft,54,47
3,11:20.0,D. DeRozan misses 2-pt jump shot from 7 ft,,54,47
3,11:17.0,,Defensive rebound by D. Sabonis,54,47
3,11:12.0,,T. Evans misses 3-pt jump shot from 26 ft,54,47
3,11:09.0,Defensive rebound by R. Gay,,54,47
3,10:58.0,L. Aldridge misses 2-pt jump shot from 18 ft,,54,47
3,10:55.0,Offensive rebound by D. Cunningham,,54,47
3,10:49.0,Turnover by D. DeRozan (lost ball; steal by T. Evans),,54,47
3,10:44.0,,D. Collison misses 3-pt jump shot from 26 ft,54,47
3,10:41.0,Defensive rebound by R. Gay,,54,47
3,10:26.0,Shooting foul by T. Young (drawn by L. Aldridge),,54,47
3,10:26.0,L. Aldridge makes free throw 1 of 2,,55,47
3,10:26.0,L. Aldridge makes free throw 2 of 2,,56,47
3,10:14.0,,Personal foul by R. Gay (drawn by T. Young),56,47
3,10:12.0,,Personal foul by B. Forbes (drawn by D. Collison),56,47
3,10:03.0,,D. Collison misses 2-pt jump shot from 19 ft,56,47
3,10:02.0,Defensive rebound by R. Gay,,56,47
3,9:56.0,L. Aldridge makes 2-pt layup from 2 ft (assist by R. Gay),,58,47
3,9:38.0,,D. Collison misses 2-pt jump shot from 18 ft,58,47
3,9:36.0,Defensive rebound by D. Cunningham,,58,47
3,9:30.0,B. Forbes makes 2-pt jump shot from 10 ft,,60,47
3,9:28.0,,Indiana full timeout,60,47
3,9:09.0,,T. Young misses 2-pt layup from 1 ft,60,47
3,9:08.0,Defensive rebound by R. Gay,,60,47
3,8:56.0,B. Forbes makes 3-pt jump shot from 28 ft (assist by R. Gay),,63,47
3,8:40.0,,Personal foul by B. Forbes (drawn by D. Sabonis),63,47
3,8:40.0,P. Mills enters the game for B. Forbes,,63,47
3,8:35.0,,D. Sabonis misses 2-pt jump shot from 6 ft,63,47
3,8:32.0,,Offensive rebound by T. Young,63,47
3,8:32.0,,T. Evans misses 3-pt jump shot from 26 ft,63,47
3,8:28.0,,Offensive rebound by T. Evans,63,47
3,8:27.0,,T. Evans misses 2-pt layup from 1 ft (block by L. Aldridge),63,47
3,8:23.0,,Offensive rebound by T. Evans,63,47
3,8:15.0,,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by T. Evans),63,49
3,8:00.0,D. DeRozan misses 2-pt jump shot from 9 ft,,63,49
3,7:57.0,,Defensive rebound by D. Sabonis,63,49
3,7:47.0,,T. Evans misses 2-pt layup from 1 ft,63,49
3,7:45.0,Defensive rebound by D. DeRozan,,63,49
3,7:45.0,Personal foul by D. Sabonis (drawn by D. DeRozan),,63,49
3,7:33.0,L. Aldridge makes 2-pt hook shot from 5 ft (assist by R. Gay),,65,49
3,7:22.0,,B. Bogdanović misses 3-pt jump shot from 30 ft,65,49
3,7:18.0,Defensive rebound by P. Mills,,65,49
3,7:10.0,D. DeRozan makes 2-pt jump shot from 21 ft (assist by P. Mills),,67,49
3,7:09.0,,Indiana full timeout,67,49
3,7:09.0,J. Poeltl enters the game for L. Aldridge,,67,49
3,7:09.0,,A. Holiday enters the game for D. Collison,67,49
3,7:09.0,,C. Joseph enters the game for T. Evans,67,49
3,6:57.0,,Turnover by C. Joseph (bad pass; steal by P. Mills),67,49
3,6:53.0,Shooting foul by A. Holiday (drawn by D. DeRozan),,67,49
3,6:53.0,D. DeRozan makes free throw 1 of 2,,68,49
3,6:53.0,D. DeRozan misses free throw 2 of 2,,68,49
3,6:51.0,,Defensive rebound by D. Sabonis,68,49
3,6:39.0,,Shooting foul by R. Gay (drawn by D. Sabonis),68,49
3,6:39.0,,D. Sabonis makes free throw 1 of 2,68,50
3,6:39.0,D. Bertāns enters the game for R. Gay,,68,50
3,6:39.0,,D. Sabonis misses free throw 2 of 2,68,50
3,6:37.0,Defensive rebound by J. Poeltl,,68,50
3,6:27.0,Turnover by P. Mills (bad pass; steal by A. Holiday),,68,50
3,6:24.0,,A. Holiday misses 2-pt layup from 1 ft (block by J. Poeltl),68,50
3,6:24.0,,Offensive rebound by Team,68,50
3,6:19.0,,B. Bogdanović makes 2-pt jump shot from 20 ft (assist by C. Joseph),68,52
3,6:00.0,D. Cunningham makes 2-pt jump shot from 11 ft (assist by D. DeRozan),,70,52
3,5:50.0,,A. Holiday misses 3-pt jump shot from 28 ft,70,52
3,5:48.0,Defensive rebound by D. Cunningham,,70,52
3,5:44.0,P. Mills makes 2-pt layup from 1 ft (assist by D. Cunningham),,72,52
3,5:28.0,,T. Young misses 2-pt layup from 1 ft,72,52
3,5:26.0,Defensive rebound by D. DeRozan,,72,52
3,5:16.0,D. Bertāns misses 3-pt jump shot from 27 ft,,72,52
3,5:12.0,Offensive rebound by D. Cunningham,,72,52
3,4:59.0,D. DeRozan misses 2-pt jump shot from 17 ft,,72,52
3,4:57.0,,Defensive rebound by T. Young,72,52
3,4:57.0,M. Belinelli enters the game for D. Cunningham,,72,52
3,4:51.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,72,52
3,4:50.0,Defensive rebound by Team,,72,52
3,4:33.0,J. Poeltl misses 2-pt layup from 1 ft,,72,52
3,4:31.0,,Defensive rebound by D. Sabonis,72,52
3,4:27.0,,D. Sabonis makes 2-pt layup at rim (assist by A. Holiday),72,54
3,4:27.0,,Shooting foul by D. DeRozan (drawn by D. Sabonis),72,54
3,4:27.0,L. Aldridge enters the game for D. DeRozan,,72,54
3,4:27.0,,T. Leaf enters the game for B. Bogdanović,72,54
3,4:27.0,,D. McDermott enters the game for T. Young,72,54
3,4:27.0,,D. Sabonis makes free throw 1 of 1,72,55
3,4:15.0,Personal foul by D. Sabonis (drawn by L. Aldridge),,72,55
3,4:06.0,Turnover by L. Aldridge (lost ball; steal by C. Joseph),,72,55
3,3:48.0,,Shooting foul by L. Aldridge (drawn by D. Sabonis),72,55
3,3:48.0,,D. Sabonis misses free throw 1 of 2,72,55
3,3:48.0,,Offensive rebound by Team,72,55
3,3:48.0,,D. Sabonis makes free throw 2 of 2,72,56
3,3:36.0,Personal foul by C. Joseph (drawn by M. Belinelli),,72,56
3,3:36.0,M. Belinelli makes free throw 1 of 2,,73,56
3,3:36.0,B. Forbes enters the game for D. Bertāns,,73,56
3,3:36.0,M. Belinelli misses free throw 2 of 2,,73,56
3,3:34.0,,Defensive rebound by D. Sabonis,73,56
3,3:24.0,,C. Joseph misses 2-pt jump shot from 20 ft,73,56
3,3:21.0,Defensive rebound by L. Aldridge,,73,56
3,3:16.0,Personal foul by T. Leaf (drawn by J. Poeltl),,73,56
3,3:16.0,J. Poeltl makes free throw 1 of 2,,74,56
3,3:16.0,J. Poeltl makes free throw 2 of 2,,75,56
3,3:03.0,,A. Holiday makes 2-pt jump shot from 19 ft (assist by D. Sabonis),75,58
3,2:48.0,L. Aldridge makes 2-pt layup from 2 ft (assist by M. Belinelli),,77,58
3,2:31.0,,A. Holiday makes 2-pt layup from 2 ft (assist by D. Sabonis),77,60
3,2:20.0,B. Forbes misses 2-pt jump shot from 18 ft,,77,60
3,2:16.0,,Defensive rebound by A. Holiday,77,60
3,2:11.0,,A. Holiday misses 2-pt jump shot from 13 ft,77,60
3,2:08.0,Defensive rebound by L. Aldridge,,77,60
3,1:47.0,P. Mills makes 2-pt jump shot from 17 ft,,79,60
3,1:43.0,,C. Joseph makes 2-pt layup from 1 ft,79,62
3,1:21.0,L. Aldridge makes 2-pt hook shot from 9 ft (assist by J. Poeltl),,81,62
3,1:08.0,,D. Sabonis makes 2-pt hook shot from 7 ft,81,64
3,0:58.0,M. Belinelli misses 2-pt jump shot from 18 ft,,81,64
3,0:56.0,Offensive rebound by L. Aldridge,,81,64
3,0:52.0,L. Aldridge misses 2-pt jump shot from 15 ft,,81,64
3,0:49.0,,Defensive rebound by C. Joseph,81,64
3,0:32.0,,T. Leaf makes 3-pt jump shot from 28 ft (assist by D. Sabonis),81,67
3,0:13.0,Personal foul by D. Sabonis (drawn by L. Aldridge),,81,67
3,0:13.0,L. Aldridge misses free throw 1 of 2,,81,67
3,0:13.0,Offensive rebound by Team,,81,67
3,0:13.0,D. Cunningham enters the game for J. Poeltl,,81,67
3,0:13.0,,K. O'Quinn enters the game for D. Sabonis,81,67
3,0:13.0,L. Aldridge makes free throw 2 of 2,,82,67
3,0:04.0,,C. Joseph makes 2-pt jump shot from 11 ft,82,69
4,11:46.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by R. Gay),,85,69
4,11:20.0,,A. Holiday misses 3-pt jump shot from 24 ft,85,69
4,11:16.0,Defensive rebound by B. Forbes,,85,69
4,11:07.0,B. Forbes misses 3-pt jump shot from 25 ft,,85,69
4,11:04.0,,Defensive rebound by C. Joseph,85,69
4,10:59.0,,T. Leaf makes 2-pt dunk at rim (assist by C. Joseph),85,71
4,10:38.0,B. Forbes makes 2-pt layup from 1 ft (assist by R. Gay),,87,71
4,10:32.0,,A. Holiday makes 2-pt layup from 1 ft,87,73
4,10:16.0,J. Poeltl makes 2-pt layup from 1 ft (assist by D. DeRozan),,89,73
4,10:00.0,,Turnover by A. Holiday (traveling),89,73
4,10:00.0,M. Belinelli enters the game for P. Mills,,89,73
4,10:00.0,,D. Collison enters the game for D. McDermott,89,73
4,9:43.0,R. Gay misses 2-pt jump shot from 8 ft,,89,73
4,9:40.0,,Defensive rebound by C. Joseph,89,73
4,9:32.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by D. Collison),89,76
4,9:15.0,Shooting foul by K. O'Quinn (drawn by R. Gay),,89,76
4,9:15.0,R. Gay makes free throw 1 of 2,,90,76
4,9:15.0,R. Gay makes free throw 2 of 2,,91,76
4,9:06.0,,K. O'Quinn makes 2-pt jump shot from 13 ft (assist by A. Holiday),91,78
4,8:48.0,R. Gay misses 2-pt layup from 1 ft,,91,78
4,8:46.0,,Defensive rebound by K. O'Quinn,91,78
4,8:40.0,,T. Leaf misses 3-pt jump shot from 24 ft,91,78
4,8:38.0,,Offensive rebound by K. O'Quinn,91,78
4,8:36.0,,T. Leaf makes 2-pt dunk from 1 ft (assist by K. O'Quinn),91,80
4,8:36.0,San Antonio full timeout,,91,80
4,8:36.0,L. Aldridge enters the game for J. Poeltl,,91,80
4,8:36.0,,B. Bogdanović enters the game for T. Leaf,91,80
4,8:21.0,B. Forbes makes 3-pt jump shot from 27 ft (assist by M. Belinelli),,94,80
4,8:04.0,,K. O'Quinn misses 2-pt jump shot from 10 ft,94,80
4,8:01.0,Defensive rebound by R. Gay,,94,80
4,7:50.0,R. Gay makes 2-pt layup from 2 ft (assist by L. Aldridge),,96,80
4,7:49.0,,Indiana full timeout,96,80
4,7:49.0,,T. Young enters the game for A. Holiday,96,80
4,7:36.0,,C. Joseph misses 3-pt jump shot from 26 ft,96,80
4,7:33.0,,Offensive rebound by T. Young,96,80
4,7:32.0,,T. Young misses 2-pt hook shot from 5 ft,96,80
4,7:30.0,Defensive rebound by R. Gay,,96,80
4,7:14.0,R. Gay makes 3-pt jump shot from 27 ft (assist by B. Forbes),,99,80
4,6:54.0,,T. Young makes 2-pt hook shot from 4 ft (assist by C. Joseph),99,82
4,6:35.0,D. DeRozan makes 2-pt jump shot from 19 ft,,101,82
4,6:20.0,,D. Collison misses 3-pt jump shot from 24 ft,101,82
4,6:20.0,Defensive rebound by Team,,101,82
4,6:20.0,,Loose ball foul by B. Bogdanović (drawn by M. Belinelli),101,82
4,6:20.0,P. Mills enters the game for D. DeRozan,,101,82
4,6:20.0,,D. Sabonis enters the game for K. O'Quinn,101,82
4,6:01.0,L. Aldridge misses 2-pt layup from 2 ft,,101,82
4,6:00.0,,Defensive rebound by D. Sabonis,101,82
4,5:56.0,,C. Joseph misses 2-pt layup from 2 ft,101,82
4,5:54.0,,Offensive rebound by Team,101,82
4,5:54.0,Loose ball foul by M. Belinelli (drawn by D. Collison),,101,82
4,5:49.0,,T. Young misses 2-pt layup from 6 ft,101,82
4,5:47.0,Defensive rebound by R. Gay,,101,82
4,5:30.0,P. Mills misses 2-pt jump shot from 19 ft,,101,82
4,5:29.0,,Defensive rebound by D. Sabonis,101,82
4,5:19.0,,Personal foul by B. Forbes (drawn by D. Sabonis),101,82
