QUARTER,TIME_REMAINING,DALLAS_ACTION,SAN ANTONIO_ACTION,DALLAS_SCORE,SAN ANTONIO_SCORE
2,9:22.0,,Offensive rebound by D. DeRozan,20,35
2,9:07.0,,Turnover by D. DeRozan (bad pass; steal by R. Broekhoff),20,35
2,8:58.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,20,35
2,8:56.0,,Defensive rebound by D. White,20,35
2,8:50.0,,D. Bertāns misses 3-pt jump shot from 27 ft,20,35
2,8:48.0,Defensive rebound by D. Powell,,20,35
2,8:38.0,Turnover by J. Brunson (bad pass; steal by D. DeRozan),,20,35
2,8:38.0,,San Antonio full timeout,20,35
2,8:14.0,,D. Bertāns misses 3-pt jump shot from 26 ft,20,35
2,8:14.0,,Offensive rebound by Team,20,35
2,8:14.0,,Turnover by Team (shot clock),20,35
2,8:03.0,R. Broekhoff misses 3-pt jump shot from 26 ft,,20,35
2,8:01.0,,Defensive rebound by Team,20,35
2,7:45.0,,Shooting foul by R. Broekhoff (drawn by D. DeRozan),20,35
2,7:45.0,,D. DeRozan makes free throw 1 of 2,20,36
2,7:45.0,,L. Aldridge enters the game for D. Bertāns,20,36
2,7:45.0,,D. DeRozan makes free throw 2 of 2,20,37
2,7:23.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,20,37
2,7:20.0,,Defensive rebound by D. White,20,37
2,7:08.0,,B. Forbes misses 3-pt jump shot from 28 ft,20,37
2,7:05.0,Defensive rebound by D. Powell,,20,37
2,6:55.0,J. Brunson misses 3-pt jump shot from 25 ft,,20,37
2,6:54.0,Offensive rebound by Team,,20,37
2,6:54.0,,Loose ball foul by J. Poeltl (drawn by D. Powell),20,37
2,6:54.0,D. Finney-Smith enters the game for R. Broekhoff,,20,37
2,6:54.0,J. Jackson enters the game for D. Harris,,20,37
2,6:54.0,C. Lee enters the game for D. Nowitzki,,20,37
2,6:54.0,,R. Gay enters the game for J. Poeltl,20,37
2,6:48.0,J. Brunson misses 2-pt jump shot from 16 ft,,20,37
2,6:46.0,Offensive rebound by D. Powell,,20,37
2,6:46.0,Shooting foul by D. DeRozan (drawn by D. Powell),,20,37
2,6:46.0,D. Powell makes free throw 1 of 2,,21,37
2,6:46.0,D. Powell misses free throw 2 of 2,,21,37
2,6:44.0,,Defensive rebound by R. Gay,21,37
2,6:31.0,,L. Aldridge makes 2-pt jump shot from 9 ft,21,39
2,6:13.0,J. Brunson makes 3-pt jump shot from 25 ft (assist by C. Lee),,24,39
2,6:01.0,,Shooting foul by D. Finney-Smith (drawn by R. Gay),24,39
2,6:01.0,,R. Gay makes free throw 1 of 2,24,40
2,6:01.0,S. Mejri enters the game for D. Powell,,24,40
2,6:01.0,,R. Gay makes free throw 2 of 2,24,41
2,5:47.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,24,41
2,5:44.0,,Defensive rebound by B. Forbes,24,41
2,5:36.0,,B. Forbes misses 2-pt jump shot from 7 ft,24,41
2,5:33.0,,Offensive rebound by L. Aldridge,24,41
2,5:33.0,,L. Aldridge makes 2-pt dunk from 1 ft,24,43
2,5:33.0,Dallas full timeout,,24,43
2,5:20.0,C. Lee makes 2-pt jump shot from 8 ft (assist by J. Brunson),,26,43
2,5:08.0,,Shooting foul by J. Jackson (drawn by D. DeRozan),26,43
2,5:08.0,,D. DeRozan makes free throw 1 of 2,26,44
2,5:08.0,D. Harris enters the game for J. Brunson,,26,44
2,5:08.0,,D. DeRozan makes free throw 2 of 2,26,45
2,4:50.0,D. Harris misses 3-pt jump shot from 26 ft,,26,45
2,4:45.0,,Defensive rebound by R. Gay,26,45
2,4:38.0,,R. Gay makes 2-pt layup from 2 ft,26,47
2,4:19.0,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by J. Jackson),,29,47
2,4:01.0,,D. DeRozan misses 3-pt jump shot from 24 ft,29,47
2,3:59.0,Defensive rebound by C. Lee,,29,47
2,3:56.0,D. Finney-Smith misses 2-pt layup from 3 ft,,29,47
2,3:53.0,,Defensive rebound by L. Aldridge,29,47
2,3:49.0,,R. Gay misses 2-pt dunk from 3 ft,29,47
2,3:49.0,,Offensive rebound by L. Aldridge,29,47
2,3:42.0,,L. Aldridge misses 2-pt jump shot from 10 ft,29,47
2,3:39.0,Defensive rebound by S. Mejri,,29,47
2,3:32.0,D. Harris makes 2-pt layup from 4 ft,,31,47
2,3:32.0,,San Antonio full timeout,31,47
2,3:32.0,D. Nowitzki enters the game for D. Finney-Smith,,31,47
2,3:32.0,D. Powell enters the game for S. Mejri,,31,47
2,3:32.0,,M. Belinelli enters the game for B. Forbes,31,47
2,3:32.0,,P. Mills enters the game for D. White,31,47
2,3:19.0,,Shooting foul by D. Harris (drawn by L. Aldridge),31,47
2,3:19.0,,L. Aldridge makes free throw 1 of 2,31,48
2,3:19.0,,L. Aldridge makes free throw 2 of 2,31,49
2,3:04.0,D. Nowitzki misses 2-pt jump shot from 14 ft,,31,49
2,3:01.0,,Defensive rebound by D. DeRozan,31,49
2,2:53.0,,R. Gay misses 3-pt jump shot from 27 ft,31,49
2,2:49.0,Defensive rebound by D. Powell,,31,49
2,2:35.0,C. Lee misses 3-pt jump shot from 26 ft,,31,49
2,2:30.0,,Defensive rebound by P. Mills,31,49
2,2:26.0,,R. Gay misses 3-pt jump shot from 23 ft,31,49
2,2:23.0,Defensive rebound by D. Harris,,31,49
2,2:10.0,D. Powell misses 2-pt hook shot from 6 ft,,31,49
2,2:08.0,,Defensive rebound by L. Aldridge,31,49
2,2:04.0,,P. Mills makes 2-pt layup from 6 ft,31,51
2,1:42.0,C. Lee makes 2-pt jump shot from 13 ft (assist by D. Nowitzki),,33,51
2,1:27.0,,Personal foul by D. Powell (drawn by D. DeRozan),33,51
2,1:27.0,,D. DeRozan misses free throw 1 of 2,33,51
2,1:27.0,,Offensive rebound by Team,33,51
2,1:27.0,,D. Bertāns enters the game for R. Gay,33,51
2,1:27.0,,D. DeRozan makes free throw 2 of 2,33,52
2,1:13.0,D. Harris makes 2-pt layup from 2 ft,,35,52
2,1:00.0,,D. Bertāns misses 3-pt jump shot from 27 ft,35,52
2,0:58.0,Defensive rebound by D. Nowitzki,,35,52
2,0:53.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,35,52
2,0:49.0,,Defensive rebound by L. Aldridge,35,52
2,0:45.0,,Personal foul by D. Powell (drawn by P. Mills),35,52
2,0:45.0,,P. Mills makes free throw 1 of 2,35,53
2,0:45.0,,L. Walker enters the game for D. DeRozan,35,53
2,0:45.0,,P. Mills makes free throw 2 of 2,35,54
2,0:40.0,D. Harris makes 2-pt jump shot from 17 ft,,37,54
2,0:33.0,,L. Aldridge misses 3-pt jump shot from 27 ft,37,54
2,0:30.0,Defensive rebound by D. Harris,,37,54
2,0:16.0,D. Harris misses 2-pt jump shot from 17 ft,,37,54
2,0:13.0,,Defensive rebound by L. Walker,37,54
2,0:01.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by P. Mills),37,57
3,11:44.0,Turnover by J. Brunson (bad pass; steal by D. DeRozan),,37,57
3,11:43.0,,Personal take foul by D. Nowitzki (drawn by D. DeRozan),37,57
3,11:24.0,,D. White makes 2-pt jump shot from 6 ft (assist by B. Forbes),37,59
3,11:12.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,37,59
3,11:07.0,,Defensive rebound by B. Forbes,37,59
3,11:01.0,,B. Forbes misses 2-pt jump shot from 17 ft,37,59
3,10:59.0,Defensive rebound by D. Nowitzki,,37,59
3,10:51.0,D. Nowitzki makes 3-pt jump shot from 27 ft (assist by J. Jackson),,40,59
3,10:38.0,,D. DeRozan misses 2-pt jump shot from 9 ft,40,59
3,10:34.0,Defensive rebound by J. Brunson,,40,59
3,10:29.0,Shooting foul by D. White (drawn by J. Brunson),,40,59
3,10:29.0,J. Brunson misses free throw 1 of 2,,40,59
3,10:29.0,Offensive rebound by Team,,40,59
3,10:29.0,J. Brunson misses free throw 2 of 2,,40,59
3,10:27.0,,Defensive rebound by J. Poeltl,40,59
3,10:15.0,,D. DeRozan makes 2-pt jump shot from 16 ft,40,61
3,9:57.0,D. Nowitzki makes 3-pt jump shot from 27 ft (assist by J. Brunson),,43,61
3,9:41.0,,L. Aldridge misses 2-pt jump shot from 10 ft,43,61
3,9:39.0,Defensive rebound by D. Powell,,43,61
3,9:36.0,Personal foul by D. White (drawn by J. Brunson),,43,61
3,9:26.0,Shooting foul by B. Forbes (drawn by D. Harris),,43,61
3,9:26.0,D. Harris makes free throw 1 of 2,,44,61
3,9:26.0,D. Harris makes free throw 2 of 2,,45,61
3,9:13.0,,D. DeRozan misses 2-pt jump shot from 17 ft,45,61
3,9:12.0,Defensive rebound by Team,,45,61
3,9:12.0,,Loose ball foul by J. Poeltl (drawn by D. Nowitzki),45,61
3,8:52.0,J. Jackson makes 2-pt layup from 5 ft (assist by J. Brunson),,47,61
3,8:52.0,,San Antonio full timeout,47,61
3,8:34.0,,L. Aldridge makes 2-pt hook shot from 4 ft,47,63
3,8:19.0,D. Nowitzki makes 2-pt jump shot from 9 ft,,49,63
3,8:03.0,,L. Aldridge misses 2-pt jump shot from 14 ft,49,63
3,7:59.0,Defensive rebound by J. Brunson,,49,63
3,7:55.0,J. Brunson misses 2-pt jump shot from 11 ft,,49,63
3,7:49.0,,Defensive rebound by D. White,49,63
3,7:49.0,,Personal take foul by D. Harris (drawn by D. White),49,63
3,7:49.0,,R. Gay enters the game for J. Poeltl,49,63
3,7:40.0,,Turnover by R. Gay (bad pass),49,63
3,7:26.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,49,63
3,7:23.0,,Defensive rebound by B. Forbes,49,63
3,7:06.0,,D. DeRozan makes 2-pt layup from 4 ft,49,65
3,7:06.0,,Violation by Team (delay of game),49,65
3,7:06.0,Dallas full timeout,,49,65
3,6:50.0,J. Jackson misses 2-pt jump shot from 11 ft,,49,65
3,6:48.0,,Defensive rebound by D. White,49,65
3,6:41.0,,D. White misses 2-pt jump shot from 16 ft,49,65
3,6:38.0,Defensive rebound by D. Nowitzki,,49,65
3,6:28.0,J. Jackson makes 3-pt jump shot from 24 ft (assist by J. Brunson),,52,65
3,6:16.0,,L. Aldridge makes 2-pt dunk from 3 ft (assist by R. Gay),52,67
3,6:16.0,,Shooting foul by J. Jackson (drawn by L. Aldridge),52,67
3,6:16.0,,L. Aldridge misses free throw 1 of 1,52,67
3,6:13.0,Defensive rebound by D. Powell,,52,67
3,6:03.0,J. Brunson makes 2-pt jump shot from 19 ft (assist by D. Harris),,54,67
3,5:48.0,,D. DeRozan misses 2-pt jump shot from 7 ft,54,67
3,5:48.0,,Offensive rebound by L. Aldridge,54,67
3,5:43.0,,L. Aldridge makes 2-pt layup at rim,54,69
3,5:38.0,J. Jackson makes 2-pt jump shot from 8 ft (assist by J. Brunson),,56,69
3,5:38.0,,M. Belinelli enters the game for B. Forbes,56,69
3,5:38.0,,P. Mills enters the game for D. White,56,69
3,5:13.0,,L. Aldridge makes 2-pt jump shot from 10 ft (assist by P. Mills),56,71
3,4:57.0,J. Brunson misses 2-pt jump shot from 12 ft,,56,71
3,4:57.0,,Defensive rebound by D. DeRozan,56,71
3,4:51.0,,P. Mills misses 3-pt jump shot from 26 ft,56,71
3,4:51.0,Defensive rebound by Team,,56,71
3,4:37.0,D. Nowitzki misses 2-pt jump shot from 11 ft,,56,71
3,4:34.0,,Defensive rebound by D. DeRozan,56,71
3,4:20.0,,D. DeRozan makes 2-pt layup from 4 ft,56,73
3,4:01.0,Personal foul by D. DeRozan (drawn by D. Nowitzki),,56,73
3,4:01.0,D. Nowitzki makes free throw 1 of 2,,57,73
3,4:01.0,T. Burke enters the game for J. Brunson,,57,73
3,4:01.0,C. Lee enters the game for D. Harris,,57,73
3,4:01.0,,D. Bertāns enters the game for D. DeRozan,57,73
3,4:01.0,D. Nowitzki makes free throw 2 of 2,,58,73
3,3:40.0,,Personal take foul by D. Powell (drawn by R. Gay),58,73
3,3:40.0,D. Finney-Smith enters the game for D. Nowitzki,,58,73
3,3:40.0,S. Mejri enters the game for D. Powell,,58,73
3,3:35.0,,M. Belinelli makes 2-pt jump shot from 18 ft (assist by L. Aldridge),58,75
3,3:20.0,D. Finney-Smith misses 2-pt jump shot from 6 ft (block by L. Aldridge),,58,75
3,3:15.0,,Defensive rebound by R. Gay,58,75
3,3:03.0,,Turnover by R. Gay (bad pass; steal by T. Burke),58,75
3,3:00.0,J. Jackson makes 2-pt jump shot from 12 ft (assist by T. Burke),,60,75
3,2:58.0,Violation by Team (delay of game),,60,75
3,2:47.0,,Turnover by M. Belinelli (lost ball; steal by C. Lee),60,75
3,2:44.0,S. Mejri makes 2-pt layup from 6 ft (assist by D. Finney-Smith),,62,75
3,2:23.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by P. Mills),62,78
3,2:09.0,T. Burke makes 3-pt jump shot from 28 ft (assist by S. Mejri),,65,78
3,1:56.0,,Turnover by P. Mills (bad pass; steal by S. Mejri),65,78
3,1:51.0,T. Burke misses 3-pt jump shot from 27 ft,,65,78
3,1:48.0,,Defensive rebound by L. Aldridge,65,78
3,1:36.0,,L. Aldridge makes 2-pt layup from 5 ft (assist by P. Mills),65,80
3,1:15.0,S. Mejri misses 3-pt jump shot from 26 ft,,65,80
3,1:15.0,Offensive rebound by J. Jackson,,65,80
3,1:06.0,J. Jackson misses 2-pt layup from 1 ft,,65,80
3,1:04.0,,Defensive rebound by R. Gay,65,80
3,1:02.0,,M. Belinelli misses 3-pt jump shot from 26 ft,65,80
3,0:58.0,Defensive rebound by S. Mejri,,65,80
3,0:53.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,65,80
3,0:51.0,,Defensive rebound by P. Mills,65,80
3,0:42.0,,M. Belinelli misses 2-pt jump shot from 17 ft,65,80
3,0:38.0,Defensive rebound by C. Lee,,65,80
3,0:23.0,Turnover by C. Lee (back court),,65,80
3,0:23.0,,J. Poeltl enters the game for L. Aldridge,65,80
3,0:02.0,,D. Bertāns misses 3-pt jump shot from 24 ft,65,80
3,0:02.0,Defensive rebound by S. Mejri,,65,80
4,11:47.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by P. Mills),65,83
4,11:24.0,D. Finney-Smith makes 2-pt layup from 3 ft,,67,83
4,11:08.0,,D. Bertāns misses 2-pt layup from 5 ft,67,83
4,11:05.0,Defensive rebound by S. Mejri,,67,83
4,11:03.0,C. Lee makes 2-pt layup from 4 ft (assist by T. Burke),,69,83
4,10:42.0,,R. Gay misses 2-pt dunk from 3 ft (block by S. Mejri),69,83
4,10:42.0,Defensive rebound by D. Finney-Smith,,69,83
4,10:36.0,R. Broekhoff makes 3-pt jump shot from 23 ft (assist by C. Lee),,72,83
4,10:19.0,,P. Mills misses 2-pt jump shot from 19 ft,72,83
4,10:16.0,Defensive rebound by S. Mejri,,72,83
4,10:02.0,T. Burke makes 3-pt jump shot from 28 ft (assist by D. Finney-Smith),,75,83
4,10:00.0,,San Antonio full timeout,75,83
4,10:00.0,,D. DeRozan enters the game for M. Belinelli,75,83
4,10:00.0,,D. White enters the game for R. Gay,75,83
4,9:44.0,,P. Mills misses 2-pt jump shot from 6 ft,75,83
4,9:42.0,Defensive rebound by T. Burke,,75,83
4,9:28.0,C. Lee makes 3-pt jump shot from 24 ft (assist by T. Burke),,78,83
4,9:14.0,,P. Mills misses 3-pt jump shot from 26 ft,78,83
4,9:14.0,Defensive rebound by S. Mejri,,78,83
4,9:03.0,T. Burke misses 2-pt jump shot from 10 ft,,78,83
4,9:01.0,,Defensive rebound by D. Bertāns,78,83
4,8:47.0,,D. White makes 3-pt jump shot from 26 ft (assist by D. DeRozan),78,86
4,8:25.0,D. Finney-Smith misses 2-pt dunk from 4 ft,,78,86
4,8:22.0,,Defensive rebound by P. Mills,78,86
4,8:21.0,,Personal take foul by R. Broekhoff (drawn by D. White),78,86
4,8:21.0,J. Brunson enters the game for R. Broekhoff,,78,86
4,8:21.0,D. Harris enters the game for T. Burke,,78,86
4,8:21.0,D. Nowitzki enters the game for C. Lee,,78,86
4,8:21.0,D. Powell enters the game for S. Mejri,,78,86
4,8:21.0,,L. Aldridge enters the game for P. Mills,78,86
4,8:21.0,,B. Forbes enters the game for J. Poeltl,78,86
4,8:08.0,,D. DeRozan makes 2-pt jump shot from 17 ft,78,88
4,7:48.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,78,88
4,7:43.0,Offensive rebound by D. Finney-Smith,,78,88
4,7:43.0,D. Finney-Smith misses 2-pt layup from 1 ft,,78,88
4,7:41.0,,Defensive rebound by L. Aldridge,78,88
4,7:35.0,,D. White makes 2-pt layup from 3 ft,78,90
4,7:35.0,Dallas full timeout,,78,90
4,7:22.0,J. Brunson makes 2-pt jump shot from 8 ft,,80,90
4,7:05.0,,D. DeRozan misses 2-pt jump shot from 10 ft,80,90
4,7:02.0,Defensive rebound by D. Nowitzki,,80,90
4,6:48.0,Shooting foul by D. White (drawn by D. Powell),,80,90
4,6:48.0,D. Powell makes free throw 1 of 2,,81,90
4,6:48.0,D. Powell makes free throw 2 of 2,,82,90
4,6:39.0,,Personal foul by D. Finney-Smith (drawn by D. DeRozan),82,90
4,6:26.0,,D. White makes 2-pt jump shot from 17 ft,82,92
4,6:04.0,J. Brunson misses 2-pt jump shot from 12 ft,,82,92
4,6:02.0,,Defensive rebound by L. Aldridge,82,92
4,5:54.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by D. White),82,94
4,5:36.0,D. Nowitzki makes 2-pt jump shot from 14 ft (assist by D. Harris),,84,94
4,5:15.0,,B. Forbes makes 3-pt jump shot from 24 ft (assist by D. Bertāns),84,97
4,5:15.0,,Shooting foul by D. Harris (drawn by B. Forbes),84,97
4,5:15.0,,B. Forbes makes free throw 1 of 1,84,98
4,5:15.0,Dallas full timeout,,84,98
4,5:15.0,,R. Gay enters the game for D. Bertāns,84,98
4,5:00.0,D. Powell misses 2-pt layup from 4 ft,,84,98
4,4:58.0,,Defensive rebound by R. Gay,84,98
4,4:49.0,,R. Gay misses 2-pt jump shot from 7 ft,84,98
4,4:47.0,Defensive rebound by D. Nowitzki,,84,98
4,4:42.0,Turnover by J. Brunson (lost ball; steal by D. DeRozan),,84,98
4,4:32.0,,B. Forbes makes 3-pt jump shot from 27 ft (assist by R. Gay),84,101
4,4:11.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,84,101
4,4:08.0,,Defensive rebound by L. Aldridge,84,101
4,3:59.0,,D. White misses 2-pt jump shot from 14 ft,84,101
4,3:56.0,Defensive rebound by D. Powell,,84,101
4,3:48.0,J. Brunson makes 2-pt jump shot from 9 ft,,86,101
4,3:30.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. DeRozan),86,103
4,3:30.0,,L. Walker enters the game for D. DeRozan,86,103
4,3:02.0,J. Brunson misses 3-pt jump shot from 28 ft,,86,103
4,2:58.0,Offensive rebound by D. Powell,,86,103
4,2:46.0,D. Harris misses 3-pt jump shot from 25 ft,,86,103
