QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,GOLDEN STATE_ACTION,CHARLOTTE_SCORE,GOLDEN STATE_SCORE
1,0:43.0,W. Hernangómez makes free throw 2 of 2,,27,35
1,0:35.0,,D. Green misses 3-pt jump shot from 28 ft,27,35
1,0:33.0,,Offensive rebound by J. Jerebko,27,35
1,0:28.0,,J. Jerebko misses 2-pt jump shot from 20 ft,27,35
1,0:26.0,Defensive rebound by W. Hernangómez,,27,35
1,0:11.0,J. Lamb misses 3-pt jump shot from 27 ft,,27,35
1,0:09.0,,Defensive rebound by A. McKinnie,27,35
1,0:00.0,,S. Curry misses 2-pt jump shot from 21 ft,27,35
1,0:00.0,,Offensive rebound by Team,27,35
2,11:46.0,J. Lamb makes 2-pt dunk from 1 ft (assist by F. Kaminsky),,29,35
2,11:25.0,,D. Cousins makes 2-pt layup from 2 ft (assist by A. Iguodala),29,37
2,11:14.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by J. Lamb),,32,37
2,10:51.0,,Turnover by Q. Cook (bad pass),32,37
2,10:41.0,Turnover by F. Kaminsky (traveling),,32,37
2,10:29.0,,D. Cousins makes 2-pt jump shot from 8 ft (assist by A. Iguodala),32,39
2,10:07.0,J. Lamb misses 3-pt jump shot from 29 ft,,32,39
2,10:05.0,Offensive rebound by M. Williams,,32,39
2,9:54.0,F. Kaminsky misses 2-pt layup from 4 ft (block by D. Cousins),,32,39
2,9:53.0,,Defensive rebound by Team,32,39
2,9:43.0,,Q. Cook makes 3-pt jump shot from 27 ft (assist by A. Iguodala),32,42
2,9:21.0,F. Kaminsky misses 2-pt layup from 3 ft,,32,42
2,9:20.0,,Defensive rebound by A. Iguodala,32,42
2,9:13.0,,Turnover by S. Livingston (bad pass; steal by J. Lamb),32,42
2,9:09.0,D. Graham misses 2-pt layup from 4 ft,,32,42
2,9:08.0,,Defensive rebound by D. Cousins,32,42
2,8:57.0,,K. Thompson misses 3-pt jump shot from 27 ft,32,42
2,8:55.0,,Offensive rebound by Team,32,42
2,8:55.0,Loose ball foul by F. Kaminsky (drawn by D. Cousins),,32,42
2,8:48.0,,Shooting foul by M. Williams (drawn by D. Cousins),32,42
2,8:48.0,,D. Cousins makes free throw 1 of 2,32,43
2,8:48.0,K. Walker enters the game for J. Lamb,,32,43
2,8:48.0,,K. Durant enters the game for A. Iguodala,32,43
2,8:48.0,,D. Cousins makes free throw 2 of 2,32,44
2,8:35.0,D. Graham misses 3-pt jump shot from 26 ft,,32,44
2,8:33.0,,Defensive rebound by D. Cousins,32,44
2,8:18.0,,D. Cousins misses 2-pt jump shot from 12 ft,32,44
2,8:17.0,Defensive rebound by N. Batum,,32,44
2,8:12.0,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by N. Batum),,35,44
2,7:54.0,,Q. Cook makes 3-pt jump shot from 27 ft (assist by D. Cousins),35,47
2,7:36.0,K. Walker makes 3-pt jump shot from 27 ft,,38,47
2,7:21.0,,K. Thompson misses 2-pt jump shot from 11 ft,38,47
2,7:20.0,Defensive rebound by F. Kaminsky,,38,47
2,7:12.0,F. Kaminsky misses 3-pt jump shot from 27 ft,,38,47
2,7:10.0,,Defensive rebound by Q. Cook,38,47
2,6:51.0,,D. Cousins makes 2-pt layup from 5 ft,38,49
2,6:51.0,Charlotte full timeout,,38,49
2,6:51.0,D. Bacon enters the game for N. Batum,,38,49
2,6:51.0,M. Bridges enters the game for D. Graham,,38,49
2,6:51.0,W. Hernangómez enters the game for F. Kaminsky,,38,49
2,6:34.0,K. Walker misses 2-pt jump shot from 19 ft (block by D. Cousins),,38,49
2,6:32.0,,Defensive rebound by Q. Cook,38,49
2,6:17.0,,Personal foul by D. Bacon (drawn by D. Cousins),38,49
2,6:10.0,,Q. Cook makes 3-pt jump shot from 23 ft (assist by K. Durant),38,52
2,6:09.0,Flagrant foul type 2 by D. Cousins (drawn by W. Hernangómez),,38,52
2,6:09.0,W. Hernangómez makes flagrant free throw 1 of 2,,39,52
2,6:09.0,W. Hernangómez makes flagrant free throw 2 of 2,,40,52
2,6:09.0,,D. Cousins ejected from game,40,52
2,6:09.0,,A. Bogut enters the game for D. Cousins,40,52
2,6:09.0,,S. Curry enters the game for S. Livingston,40,52
2,6:09.0,,D. Green enters the game for K. Thompson,40,52
2,5:57.0,Shooting foul by A. Bogut (drawn by W. Hernangómez),,40,52
2,5:57.0,W. Hernangómez makes free throw 1 of 2,,41,52
2,5:57.0,W. Hernangómez makes free throw 2 of 2,,42,52
2,5:47.0,,K. Durant makes 2-pt jump shot from 14 ft (assist by D. Green),42,54
2,5:28.0,W. Hernangómez misses 2-pt layup from 5 ft (block by A. Bogut),,42,54
2,5:26.0,Offensive rebound by W. Hernangómez,,42,54
2,5:25.0,Turnover by W. Hernangómez (bad pass; steal by Q. Cook),,42,54
2,5:22.0,,S. Curry misses 3-pt jump shot from 27 ft,42,54
2,5:20.0,Defensive rebound by M. Bridges,,42,54
2,5:05.0,K. Walker misses 2-pt jump shot from 12 ft,,42,54
2,5:04.0,,Defensive rebound by A. Bogut,42,54
2,4:47.0,,A. Bogut makes 2-pt layup from 2 ft (assist by Q. Cook),42,56
2,4:30.0,W. Hernangómez makes 2-pt jump shot from 12 ft (assist by M. Williams),,44,56
2,4:12.0,,Q. Cook makes 2-pt jump shot from 6 ft (assist by S. Curry),44,58
2,3:54.0,M. Bridges makes 2-pt dunk from 1 ft (assist by K. Walker),,46,58
2,3:41.0,,Q. Cook makes 2-pt layup from 2 ft (assist by D. Green),46,60
2,3:25.0,D. Bacon misses 3-pt jump shot from 26 ft,,46,60
2,3:22.0,,Defensive rebound by D. Green,46,60
2,3:18.0,,Shooting foul by W. Hernangómez (drawn by S. Curry),46,60
2,3:18.0,,S. Curry makes free throw 1 of 2,46,61
2,3:18.0,N. Batum enters the game for M. Williams,,46,61
2,3:18.0,,K. Thompson enters the game for Q. Cook,46,61
2,3:18.0,,S. Curry makes free throw 2 of 2,46,62
2,2:56.0,D. Bacon makes 3-pt jump shot from 27 ft,,49,62
2,2:35.0,,D. Green makes 2-pt layup from 3 ft (assist by K. Durant),49,64
2,2:11.0,W. Hernangómez misses 3-pt jump shot from 24 ft,,49,64
2,2:09.0,,Defensive rebound by K. Durant,49,64
2,1:52.0,,K. Thompson misses 3-pt jump shot from 23 ft,49,64
2,1:51.0,,Offensive rebound by A. Bogut,49,64
2,1:51.0,,A. Bogut makes 2-pt layup from 1 ft,49,66
2,1:37.0,K. Walker misses 3-pt jump shot from 26 ft,,49,66
2,1:34.0,Offensive rebound by K. Walker,,49,66
2,1:31.0,M. Bridges misses 2-pt layup from 3 ft,,49,66
2,1:29.0,,Defensive rebound by A. Bogut,49,66
2,1:26.0,,Personal foul by W. Hernangómez (drawn by S. Curry),49,66
2,1:26.0,,Golden State full timeout,49,66
2,1:26.0,F. Kaminsky enters the game for W. Hernangómez,,49,66
2,1:26.0,,S. Curry makes free throw 1 of 2,49,67
2,1:26.0,,S. Curry makes free throw 2 of 2,49,68
2,1:10.0,Turnover by M. Bridges (traveling),,49,68
2,0:59.0,,A. Bogut misses 2-pt layup from 3 ft,49,68
2,0:57.0,Defensive rebound by D. Bacon,,49,68
2,0:48.0,K. Walker misses 2-pt layup from 5 ft,,49,68
2,0:47.0,,Defensive rebound by A. Bogut,49,68
2,0:35.0,,K. Thompson misses 2-pt jump shot from 10 ft,49,68
2,0:32.0,Defensive rebound by Team,,49,68
2,0:21.0,K. Walker misses 2-pt layup from 5 ft,,49,68
2,0:20.0,,Defensive rebound by A. Bogut,49,68
2,0:02.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),49,71
2,0:00.0,M. Bridges misses 3-pt jump shot from 72 ft,,49,71
2,0:00.0,Offensive rebound by Team,,49,71
3,11:38.0,D. Bacon misses 2-pt jump shot from 18 ft,,49,71
3,11:37.0,,Defensive rebound by K. Durant,49,71
3,11:25.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by K. Durant),49,74
3,11:00.0,M. Williams misses 2-pt jump shot from 13 ft,,49,74
3,10:59.0,,Defensive rebound by A. Bogut,49,74
3,10:44.0,,A. Bogut makes 2-pt layup from 1 ft (assist by K. Durant),49,76
3,10:35.0,K. Walker misses 2-pt jump shot from 7 ft,,49,76
3,10:34.0,,Defensive rebound by S. Curry,49,76
3,10:20.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),49,79
3,9:58.0,D. Bacon makes 2-pt jump shot from 17 ft (assist by B. Biyombo),,51,79
3,9:45.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Durant),51,82
3,9:23.0,D. Bacon misses 2-pt jump shot from 17 ft,,51,82
3,9:22.0,,Defensive rebound by A. Bogut,51,82
3,9:10.0,,K. Thompson misses 2-pt jump shot from 6 ft,51,82
3,9:08.0,Defensive rebound by M. Williams,,51,82
3,8:55.0,M. Williams misses 2-pt jump shot from 12 ft,,51,82
3,8:54.0,,Defensive rebound by S. Curry,51,82
3,8:49.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by S. Curry),51,84
3,8:48.0,Charlotte full timeout,,51,84
3,8:48.0,N. Batum enters the game for D. Bacon,,51,84
3,8:48.0,F. Kaminsky enters the game for B. Biyombo,,51,84
3,8:48.0,J. Lamb enters the game for M. Bridges,,51,84
3,8:26.0,Shooting foul by K. Durant (drawn by J. Lamb),,51,84
3,8:26.0,J. Lamb makes free throw 1 of 2,,52,84
3,8:26.0,J. Lamb makes free throw 2 of 2,,53,84
3,8:12.0,,D. Green makes 3-pt jump shot from 24 ft (assist by S. Curry),53,87
3,7:49.0,N. Batum makes 2-pt jump shot from 19 ft (assist by J. Lamb),,55,87
3,7:38.0,Violation by Team (kicked ball),,55,87
3,7:29.0,,Turnover by D. Green (bad pass; steal by F. Kaminsky),55,87
3,7:27.0,Personal foul by A. Bogut (drawn by J. Lamb),,55,87
3,7:13.0,F. Kaminsky misses 3-pt jump shot from 27 ft,,55,87
3,7:11.0,,Defensive rebound by A. Bogut,55,87
3,7:01.0,,Turnover by K. Thompson (traveling),55,87
3,7:01.0,,K. Looney enters the game for A. Bogut,55,87
3,6:48.0,K. Walker misses 2-pt layup from 3 ft,,55,87
3,6:47.0,,Defensive rebound by Team,55,87
3,6:40.0,,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),55,89
3,6:21.0,M. Williams makes 2-pt hook shot from 9 ft (assist by J. Lamb),,57,89
3,5:57.0,,Turnover by K. Durant (bad pass; steal by J. Lamb),57,89
3,5:57.0,Turnover by J. Lamb (step out of bounds),,57,89
3,5:51.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),57,92
3,5:33.0,N. Batum misses 3-pt jump shot from 26 ft,,57,92
3,5:31.0,,Defensive rebound by K. Looney,57,92
3,5:23.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Curry),57,95
3,5:21.0,Charlotte full timeout,,57,95
3,5:21.0,D. Graham enters the game for K. Walker,,57,95
3,5:21.0,M. Kidd-Gilchrist enters the game for M. Williams,,57,95
3,4:59.0,J. Lamb makes 2-pt layup from 3 ft (assist by F. Kaminsky),,59,95
3,4:42.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),59,98
3,4:18.0,M. Kidd-Gilchrist misses 2-pt hook shot from 8 ft,,59,98
3,4:16.0,,Defensive rebound by D. Green,59,98
3,4:08.0,,Turnover by K. Durant (bad pass; steal by N. Batum),59,98
3,4:03.0,F. Kaminsky misses 3-pt jump shot from 29 ft,,59,98
3,4:01.0,,Defensive rebound by S. Curry,59,98
3,3:53.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by K. Looney),59,101
3,3:40.0,Personal foul by K. Looney (drawn by F. Kaminsky),,59,101
3,3:26.0,F. Kaminsky misses 2-pt jump shot from 11 ft,,59,101
3,3:23.0,,Defensive rebound by D. Green,59,101
3,3:19.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Durant),59,104
3,3:16.0,Charlotte full timeout,,59,104
3,3:00.0,F. Kaminsky makes 2-pt jump shot from 5 ft (assist by D. Graham),,61,104
3,2:50.0,,Turnover by K. Durant (bad pass),61,104
3,2:41.0,Shooting foul by K. Looney (drawn by J. Lamb),,61,104
3,2:41.0,J. Lamb makes free throw 1 of 2,,62,104
3,2:41.0,,Q. Cook enters the game for S. Curry,62,104
3,2:41.0,,A. McKinnie enters the game for K. Durant,62,104
3,2:41.0,J. Lamb makes free throw 2 of 2,,63,104
3,2:31.0,,D. Green misses 3-pt jump shot from 26 ft,63,104
3,2:28.0,Defensive rebound by Team,,63,104
3,2:11.0,N. Batum misses 3-pt jump shot from 24 ft,,63,104
3,2:09.0,,Defensive rebound by D. Green,63,104
3,2:02.0,,Turnover by K. Thompson (bad pass; steal by D. Graham),63,104
3,1:57.0,D. Graham makes 2-pt layup from 2 ft (assist by J. Lamb),,65,104
3,1:43.0,,A. McKinnie misses 3-pt jump shot from 26 ft,65,104
3,1:41.0,Defensive rebound by F. Kaminsky,,65,104
3,1:36.0,J. Lamb makes 3-pt jump shot from 29 ft (assist by M. Kidd-Gilchrist),,68,104
3,1:15.0,,K. Thompson misses 2-pt jump shot from 13 ft,68,104
3,1:14.0,,Offensive rebound by K. Looney,68,104
3,1:04.0,,Shooting foul by M. Kidd-Gilchrist (drawn by A. McKinnie),68,104
3,1:04.0,,A. McKinnie misses free throw 1 of 2,68,104
3,1:04.0,,Offensive rebound by Team,68,104
3,1:04.0,,J. Jerebko enters the game for D. Green,68,104
3,1:04.0,,S. Livingston enters the game for K. Thompson,68,104
3,1:04.0,,A. McKinnie makes free throw 2 of 2,68,105
3,0:55.0,M. Kidd-Gilchrist makes 2-pt dunk from 1 ft (assist by D. Graham),,70,105
3,0:40.0,,Turnover by J. Jerebko (bad pass; steal by N. Batum),70,105
3,0:34.0,F. Kaminsky makes 2-pt layup from 2 ft (assist by M. Kidd-Gilchrist),,72,105
3,0:16.0,,Q. Cook misses 2-pt jump shot from 13 ft (block by J. Lamb),72,105
3,0:15.0,Defensive rebound by J. Lamb,,72,105
3,0:02.0,D. Graham misses 3-pt jump shot from 26 ft,,72,105
3,0:02.0,Offensive rebound by Team,,72,105
4,11:48.0,Violation by Team (kicked ball),,72,105
4,11:38.0,,J. Bell misses 2-pt jump shot from 11 ft,72,105
4,11:37.0,Defensive rebound by J. Lamb,,72,105
4,11:18.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by J. Bell),,72,105
4,11:17.0,,Defensive rebound by S. Livingston,72,105
4,11:04.0,,Q. Cook misses 3-pt jump shot from 26 ft,72,105
4,11:02.0,Defensive rebound by J. Lamb,,72,105
4,10:55.0,J. Lamb misses 2-pt jump shot from 6 ft (block by S. Livingston),,72,105
4,10:53.0,,Defensive rebound by Q. Cook,72,105
4,10:48.0,,Turnover by Q. Cook (bad pass),72,105
4,10:34.0,Turnover by F. Kaminsky (bad pass; steal by J. Jerebko),,72,105
4,10:33.0,,Personal foul by D. Graham (drawn by J. Bell),72,105
4,10:33.0,D. Bacon enters the game for N. Batum,,72,105
4,10:33.0,M. Bridges enters the game for D. Graham,,72,105
4,10:33.0,W. Hernangómez enters the game for F. Kaminsky,,72,105
4,10:33.0,S. Mack enters the game for J. Lamb,,72,105
4,10:15.0,,J. Jerebko misses 3-pt jump shot from 23 ft,72,105
4,10:13.0,Defensive rebound by M. Kidd-Gilchrist,,72,105
4,10:06.0,M. Bridges misses 2-pt layup from 2 ft,,72,105
4,10:05.0,,Defensive rebound by A. McKinnie,72,105
4,9:55.0,,J. Bell misses 2-pt jump shot from 18 ft,72,105
4,9:54.0,,Offensive rebound by Q. Cook,72,105
4,9:40.0,,Q. Cook misses 2-pt layup from 4 ft,72,105
4,9:39.0,,Offensive rebound by S. Livingston,72,105
4,9:37.0,,Turnover by A. McKinnie (step out of bounds),72,105
4,9:25.0,Personal foul by Q. Cook (drawn by M. Bridges),,72,105
4,9:20.0,Turnover by S. Mack (bad pass; steal by J. Jerebko),,72,105
4,9:10.0,,J. Bell misses 2-pt layup from 1 ft,72,105
4,9:09.0,,Offensive rebound by J. Bell,72,105
4,9:05.0,,J. Bell makes 2-pt layup at rim,72,107
4,8:56.0,Turnover by S. Mack (bad pass; steal by J. Jerebko),,72,107
4,8:53.0,,Q. Cook misses 2-pt layup from 3 ft,72,107
4,8:52.0,,Offensive rebound by J. Jerebko,72,107
4,8:52.0,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Jerebko),72,107
4,8:52.0,,J. Jerebko makes free throw 1 of 2,72,108
4,8:52.0,M. Monk enters the game for M. Kidd-Gilchrist,,72,108
4,8:52.0,,J. Jerebko makes free throw 2 of 2,72,109
4,8:29.0,M. Monk makes 3-pt jump shot from 25 ft (assist by D. Bacon),,75,109
4,8:17.0,,J. Bell misses 2-pt jump shot from 16 ft,75,109
4,8:16.0,Defensive rebound by M. Bridges,,75,109
4,8:10.0,Personal foul by J. Jerebko (drawn by M. Bridges),,75,109
4,7:58.0,M. Bridges makes 2-pt dunk from 2 ft (assist by D. Bacon),,77,109
4,7:40.0,,A. McKinnie makes 2-pt jump shot from 5 ft (assist by J. Bell),77,111
4,7:25.0,Shooting foul by J. Jerebko (drawn by W. Hernangómez),,77,111
4,7:25.0,W. Hernangómez makes free throw 1 of 2,,78,111
4,7:25.0,W. Hernangómez makes free throw 2 of 2,,79,111
4,7:12.0,,J. Jerebko makes 2-pt jump shot from 17 ft (assist by Q. Cook),79,113
4,7:02.0,W. Hernangómez misses 2-pt hook shot from 7 ft,,79,113
4,7:01.0,Offensive rebound by Team,,79,113
4,6:49.0,S. Mack misses 2-pt jump shot from 6 ft,,79,113
4,6:48.0,,Defensive rebound by J. Jerebko,79,113
4,6:44.0,,Golden State full timeout,79,113
4,6:44.0,,K. Looney enters the game for S. Livingston,79,113
4,6:32.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by Q. Cook),79,115
4,6:14.0,M. Monk misses 3-pt jump shot from 27 ft (block by J. Jerebko),,79,115
4,6:11.0,,Defensive rebound by J. Bell,79,115
4,5:50.0,,J. Jerebko makes 3-pt jump shot from 23 ft (assist by Q. Cook),79,118
4,5:33.0,Turnover by W. Hernangómez (traveling),,79,118
4,5:19.0,,Q. Cook misses 2-pt jump shot from 20 ft,79,118
4,5:14.0,Defensive rebound by M. Bridges,,79,118
4,5:12.0,M. Monk misses 3-pt jump shot from 29 ft,,79,118
4,5:07.0,,Defensive rebound by J. Jerebko,79,118
4,4:55.0,,Q. Cook makes 3-pt jump shot from 28 ft (assist by A. McKinnie),79,121
4,4:39.0,Personal foul by A. McKinnie (drawn by M. Bridges),,79,121
4,4:32.0,M. Bridges misses 3-pt jump shot from 24 ft,,79,121
4,4:28.0,Offensive rebound by W. Hernangómez,,79,121
4,4:27.0,D. Bacon misses 3-pt jump shot from 27 ft,,79,121
4,4:22.0,,Defensive rebound by J. Bell,79,121
4,4:10.0,,K. Looney makes 2-pt hook shot from 3 ft (assist by J. Bell),79,123
4,4:04.0,S. Mack misses 2-pt layup from 5 ft (block by J. Bell),,79,123
4,4:03.0,Offensive rebound by Team,,79,123
4,4:03.0,Shooting foul by J. Bell (drawn by S. Mack),,79,123
4,4:03.0,S. Mack misses free throw 1 of 2,,79,123
4,4:03.0,Offensive rebound by Team,,79,123
4,4:03.0,S. Mack makes free throw 2 of 2,,80,123
4,3:45.0,,K. Looney misses 2-pt jump shot from 21 ft,80,123
4,3:41.0,Defensive rebound by D. Bacon,,80,123
4,3:33.0,S. Mack makes 2-pt layup from 3 ft (assist by M. Monk),,82,123
4,3:14.0,,J. Bell misses 2-pt jump shot from 19 ft,82,123
4,3:13.0,Defensive rebound by W. Hernangómez,,82,123
4,2:57.0,Shooting foul by A. McKinnie (drawn by M. Monk),,82,123
4,2:57.0,Charlotte full timeout,,82,123
4,2:57.0,Offensive rebound by Team,,82,123
4,2:57.0,M. Monk misses free throw 1 of 2,,82,123
4,2:57.0,M. Monk makes free throw 2 of 2,,83,123
4,2:39.0,,J. Bell misses 2-pt layup from 2 ft,83,123
4,2:33.0,,Offensive rebound by K. Looney,83,123
4,2:33.0,,K. Looney makes 2-pt layup at rim,83,125
4,2:18.0,M. Monk makes 3-pt jump shot from 27 ft,,86,125
4,2:04.0,,J. Jerebko makes 2-pt jump shot from 8 ft (assist by J. Bell),86,127
4,2:04.0,,Shooting foul by D. Bacon (drawn by J. Jerebko),86,127
4,2:04.0,,J. Jerebko makes free throw 1 of 1,86,128
4,1:48.0,Shooting foul by J. Jerebko (drawn by W. Hernangómez),,86,128
4,1:48.0,W. Hernangómez makes free throw 1 of 2,,87,128
