QUARTER,TIME_REMAINING,DALLAS_ACTION,DENVER_ACTION,DALLAS_SCORE,DENVER_SCORE
1,3:30.0,,J. Hernangómez makes 2-pt layup from 3 ft (assist by N. Jokić),24,22
1,3:15.0,Personal foul by T. Craig (drawn by D. Powell),,24,22
1,3:15.0,,T. Lyles enters the game for T. Craig,24,22
1,3:15.0,,J. Murray enters the game for J. Hernangómez,24,22
1,3:05.0,Turnover by D. Finney-Smith (bad pass; steal by N. Jokić),,24,22
1,3:00.0,,M. Beasley makes 2-pt layup from 1 ft (assist by J. Murray),24,24
1,2:48.0,D. Powell makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),,27,24
1,2:35.0,,M. Morris makes 2-pt jump shot from 8 ft,27,26
1,2:16.0,J. Barea makes 2-pt jump shot from 6 ft (assist by D. Powell),,29,26
1,1:52.0,,N. Jokić misses 2-pt hook shot from 3 ft,29,26
1,1:50.0,,Offensive rebound by N. Jokić,29,26
1,1:49.0,,N. Jokić misses 2-pt jump shot from 3 ft,29,26
1,1:49.0,Defensive rebound by J. Barea,,29,26
1,1:41.0,Personal foul by M. Morris (drawn by D. Finney-Smith),,29,26
1,1:41.0,,M. Plumlee enters the game for N. Jokić,29,26
1,1:26.0,J. Barea makes 2-pt jump shot from 10 ft,,31,26
1,1:15.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by M. Morris),31,29
1,0:57.0,D. Nowitzki misses 2-pt jump shot from 6 ft,,31,29
1,0:55.0,,Defensive rebound by J. Murray,31,29
1,0:53.0,,T. Lyles makes 2-pt dunk from 2 ft (assist by M. Morris),31,31
1,0:34.0,D. Powell misses 3-pt jump shot from 25 ft,,31,31
1,0:30.0,Offensive rebound by J. Barea,,31,31
1,0:29.0,J. Barea makes 2-pt jump shot from 9 ft,,33,31
1,0:09.0,,T. Lyles makes 3-pt jump shot from 26 ft (assist by J. Murray),33,34
1,0:02.0,J. Barea misses 3-pt jump shot from 25 ft,,33,34
1,0:00.0,,Defensive rebound by T. Lyles,33,34
2,11:49.0,,J. Murray makes 2-pt jump shot from 6 ft (assist by N. Young),33,36
2,11:32.0,D. Harris misses 3-pt jump shot from 26 ft,,33,36
2,11:31.0,,Defensive rebound by M. Plumlee,33,36
2,11:24.0,,T. Lyles makes 3-pt jump shot from 26 ft (assist by J. Murray),33,39
2,11:03.0,D. Harris makes 3-pt jump shot from 26 ft,,36,39
2,10:49.0,,J. Murray misses 3-pt jump shot from 25 ft,36,39
2,10:46.0,Defensive rebound by D. Nowitzki,,36,39
2,10:37.0,D. Powell makes 2-pt layup from 2 ft (assist by J. Barea),,38,39
2,10:14.0,,T. Lyles makes 2-pt jump shot from 6 ft,38,41
2,10:00.0,J. Barea misses 2-pt jump shot from 14 ft,,38,41
2,10:00.0,,Defensive rebound by J. Murray,38,41
2,9:56.0,,Personal foul by D. Harris (drawn by J. Murray),38,41
2,9:50.0,,M. Plumlee makes 2-pt dunk from 2 ft (assist by J. Murray),38,43
2,9:33.0,D. Harris makes 2-pt jump shot from 7 ft (assist by J. Barea),,40,43
2,9:19.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by J. Murray),40,45
2,9:08.0,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by J. Barea),,43,45
2,9:07.0,,Denver full timeout,43,45
2,9:03.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by J. Murray),43,48
2,8:45.0,Personal foul by N. Young (drawn by D. Finney-Smith),,43,48
2,8:32.0,Personal foul by M. Plumlee (drawn by D. Harris),,43,48
2,8:32.0,H. Barnes enters the game for D. Nowitzki,,43,48
2,8:28.0,Personal foul by M. Beasley (drawn by D. Powell),,43,48
2,8:19.0,H. Barnes misses 2-pt jump shot from 9 ft,,43,48
2,8:17.0,Offensive rebound by H. Barnes,,43,48
2,8:17.0,Shooting foul by M. Plumlee (drawn by H. Barnes),,43,48
2,8:17.0,H. Barnes makes free throw 1 of 2,,44,48
2,8:17.0,H. Barnes makes free throw 2 of 2,,45,48
2,8:02.0,,T. Lyles misses 2-pt layup from 3 ft,45,48
2,8:00.0,,Offensive rebound by M. Beasley,45,48
2,7:50.0,,M. Plumlee misses 2-pt hook shot from 4 ft,45,48
2,7:48.0,Defensive rebound by H. Barnes,,45,48
2,7:43.0,D. Harris makes 2-pt layup from 2 ft (assist by J. Barea),,47,48
2,7:29.0,,Shooting foul by D. Harris (drawn by M. Plumlee),47,48
2,7:29.0,,M. Plumlee misses free throw 1 of 2,47,48
2,7:29.0,,Offensive rebound by Team,47,48
2,7:29.0,L. Dončić enters the game for D. Harris,,47,48
2,7:29.0,D. Jordan enters the game for D. Powell,,47,48
2,7:29.0,,T. Craig enters the game for N. Young,47,48
2,7:29.0,,M. Plumlee makes free throw 2 of 2,47,49
2,7:24.0,Personal foul by J. Murray (drawn by J. Barea),,47,49
2,7:24.0,J. Barea makes free throw 1 of 2,,48,49
2,7:24.0,,N. Jokić enters the game for M. Plumlee,48,49
2,7:24.0,J. Barea makes free throw 2 of 2,,49,49
2,7:11.0,,Turnover by N. Jokić (bad pass; steal by D. Finney-Smith),49,49
2,6:54.0,H. Barnes makes 2-pt layup from 2 ft (assist by L. Dončić),,51,49
2,6:38.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by J. Murray),51,52
2,6:23.0,L. Dončić misses 2-pt layup from 2 ft,,51,52
2,6:22.0,,Defensive rebound by Team,51,52
2,6:22.0,W. Matthews enters the game for J. Barea,,51,52
2,6:10.0,,J. Murray makes 2-pt jump shot from 12 ft (assist by M. Beasley),51,54
2,5:52.0,H. Barnes misses 2-pt layup from 2 ft,,51,54
2,5:51.0,,Defensive rebound by T. Lyles,51,54
2,5:46.0,,J. Murray misses 3-pt jump shot from 24 ft,51,54
2,5:42.0,Defensive rebound by D. Jordan,,51,54
2,5:36.0,Shooting foul by N. Jokić (drawn by W. Matthews),,51,54
2,5:36.0,W. Matthews makes free throw 1 of 2,,52,54
2,5:36.0,W. Matthews makes free throw 2 of 2,,53,54
2,5:19.0,,M. Beasley makes 2-pt jump shot from 15 ft (assist by J. Murray),53,56
2,5:01.0,Personal foul by T. Lyles (drawn by H. Barnes),,53,56
2,5:01.0,H. Barnes misses free throw 1 of 2,,53,56
2,5:01.0,Offensive rebound by Team,,53,56
2,5:01.0,H. Barnes makes free throw 2 of 2,,54,56
2,4:51.0,,N. Jokić misses 2-pt jump shot from 7 ft,54,56
2,4:49.0,,Offensive rebound by N. Jokić,54,56
2,4:45.0,,Turnover by N. Jokić (lost ball; steal by H. Barnes),54,56
2,4:37.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),,57,56
2,4:21.0,,J. Murray misses 2-pt jump shot from 6 ft,57,56
2,4:21.0,,Offensive rebound by N. Jokić,57,56
2,4:19.0,,N. Jokić misses 2-pt layup from 1 ft,57,56
2,4:19.0,,Offensive rebound by Team,57,56
2,4:19.0,,J. Hernangómez enters the game for T. Lyles,57,56
2,4:12.0,,M. Beasley misses 3-pt jump shot from 25 ft,57,56
2,4:09.0,Defensive rebound by D. Jordan,,57,56
2,3:57.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by W. Matthews),,60,56
2,3:42.0,,N. Jokić makes 2-pt jump shot from 4 ft,60,58
2,3:31.0,Dallas full timeout,,60,58
2,3:31.0,J. Brunson enters the game for D. Finney-Smith,,60,58
2,3:31.0,,M. Plumlee enters the game for M. Beasley,60,58
2,3:26.0,Personal foul by T. Craig (drawn by D. Jordan),,60,58
2,3:26.0,D. Jordan makes free throw 1 of 2,,61,58
2,3:26.0,,M. Beasley enters the game for T. Craig,61,58
2,3:26.0,D. Jordan makes free throw 2 of 2,,62,58
2,3:11.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by M. Plumlee),62,60
2,2:58.0,L. Dončić misses 2-pt jump shot from 10 ft,,62,60
2,2:55.0,,Defensive rebound by N. Jokić,62,60
2,2:42.0,,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by M. Plumlee),62,63
2,2:18.0,D. Jordan makes 2-pt dunk at rim (assist by W. Matthews),,64,63
2,2:01.0,,Shooting foul by L. Dončić (drawn by J. Hernangómez),64,63
2,2:01.0,,J. Hernangómez misses free throw 1 of 3,64,63
2,2:01.0,,Offensive rebound by Team,64,63
2,2:01.0,,J. Hernangómez makes free throw 2 of 3,64,64
2,2:01.0,,J. Hernangómez makes free throw 3 of 3,64,65
2,1:50.0,J. Brunson makes 2-pt jump shot from 15 ft (assist by W. Matthews),,66,65
2,1:40.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),66,68
2,1:22.0,H. Barnes misses 2-pt layup from 3 ft,,66,68
2,1:22.0,,Defensive rebound by Team,66,68
2,1:22.0,Loose ball foul by D. Jordan (drawn by J. Hernangómez),,66,68
2,1:22.0,D. Powell enters the game for D. Jordan,,66,68
2,1:07.0,,N. Jokić misses 2-pt jump shot from 5 ft,66,68
2,1:05.0,Defensive rebound by D. Powell,,66,68
2,1:02.0,J. Brunson makes 2-pt layup from 2 ft,,68,68
2,0:55.0,,N. Jokić makes 2-pt jump shot from 4 ft (assist by J. Murray),68,70
2,0:35.0,L. Dončić misses 3-pt jump shot from 25 ft,,68,70
2,0:32.0,,Defensive rebound by J. Hernangómez,68,70
2,0:13.0,,N. Jokić misses 2-pt hook shot from 3 ft,68,70
2,0:13.0,,Offensive rebound by N. Jokić,68,70
2,0:13.0,,N. Jokić makes 2-pt layup from 1 ft,68,72
2,0:04.0,Personal foul by M. Beasley (drawn by D. Powell),,68,72
2,0:04.0,D. Powell misses free throw 1 of 2,,68,72
2,0:04.0,Offensive rebound by Team,,68,72
2,0:04.0,D. Powell makes free throw 2 of 2,,69,72
2,0:00.0,,M. Plumlee makes 2-pt layup from 5 ft,69,74
3,11:43.0,,N. Jokić misses 3-pt jump shot from 25 ft,69,74
3,11:36.0,Defensive rebound by H. Barnes,,69,74
3,11:20.0,H. Barnes makes 3-pt jump shot from 22 ft (assist by L. Dončić),,72,74
3,11:03.0,,Turnover by T. Craig (bad pass; steal by W. Matthews),72,74
3,11:00.0,Shooting foul by J. Murray (drawn by L. Dončić),,72,74
3,11:00.0,L. Dončić misses free throw 1 of 2,,72,74
3,11:00.0,Offensive rebound by Team,,72,74
3,11:00.0,L. Dončić makes free throw 2 of 2,,73,74
3,10:35.0,,N. Jokić makes 2-pt jump shot from 23 ft,73,76
3,10:27.0,Personal foul by N. Jokić (drawn by D. Jordan),,73,76
3,10:13.0,L. Dončić misses 3-pt jump shot from 26 ft,,73,76
3,10:10.0,,Defensive rebound by J. Murray,73,76
3,10:06.0,,Turnover by J. Murray (bad pass; steal by D. Jordan),73,76
3,9:59.0,J. Brunson misses 2-pt jump shot from 12 ft,,73,76
3,9:57.0,,Defensive rebound by M. Plumlee,73,76
3,9:45.0,,Offensive foul by N. Jokić (drawn by H. Barnes),73,76
3,9:45.0,,Turnover by N. Jokić (offensive foul),73,76
3,9:45.0,Technical foul by,,73,76
3,9:45.0,H. Barnes makes technical free throw,,74,76
3,9:32.0,Shooting foul by T. Craig (drawn by L. Dončić),,74,76
3,9:32.0,L. Dončić makes free throw 1 of 2,,75,76
3,9:32.0,L. Dončić makes free throw 2 of 2,,76,76
3,9:18.0,,T. Craig makes 3-pt jump shot from 25 ft (assist by J. Murray),76,79
3,8:57.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by L. Dončić),,79,79
3,8:45.0,,J. Murray makes 2-pt jump shot from 21 ft,79,81
3,8:45.0,,M. Beasley enters the game for T. Craig,79,81
3,8:18.0,D. Jordan misses 2-pt jump shot from 6 ft,,79,81
3,8:17.0,,Defensive rebound by M. Plumlee,79,81
3,8:08.0,,Personal foul by J. Brunson (drawn by N. Jokić),79,81
3,7:58.0,,M. Plumlee makes 2-pt dunk at rim (assist by N. Jokić),79,83
3,7:44.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by L. Dončić),,82,83
3,7:28.0,,J. Murray makes 2-pt jump shot from 21 ft,82,85
3,7:14.0,H. Barnes misses 3-pt jump shot from 25 ft,,82,85
3,7:09.0,,Defensive rebound by N. Jokić,82,85
3,7:07.0,,M. Beasley makes 2-pt dunk from 1 ft (assist by M. Plumlee),82,87
3,7:07.0,Dallas full timeout,,82,87
3,7:07.0,D. Finney-Smith enters the game for W. Matthews,,82,87
3,7:07.0,,M. Morris enters the game for N. Jokić,82,87
3,6:54.0,Shooting foul by M. Beasley (drawn by L. Dončić),,82,87
3,6:54.0,L. Dončić makes free throw 1 of 2,,83,87
3,6:54.0,L. Dončić misses free throw 2 of 2,,83,87
3,6:52.0,,Defensive rebound by J. Murray,83,87
3,6:41.0,,M. Morris misses 2-pt layup from 3 ft,83,87
3,6:39.0,Defensive rebound by D. Finney-Smith,,83,87
3,6:32.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),,86,87
3,6:17.0,,M. Beasley misses 2-pt jump shot from 11 ft,86,87
3,6:14.0,Defensive rebound by H. Barnes,,86,87
3,6:09.0,L. Dončić misses 3-pt jump shot from 27 ft,,86,87
3,6:06.0,Offensive rebound by D. Jordan,,86,87
3,6:01.0,Turnover by D. Jordan (bad pass; steal by M. Morris),,86,87
3,5:50.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,86,87
3,5:47.0,Defensive rebound by D. Jordan,,86,87
3,5:37.0,Shooting foul by M. Beasley (drawn by L. Dončić),,86,87
3,5:37.0,L. Dončić makes free throw 1 of 2,,87,87
3,5:37.0,L. Dončić makes free throw 2 of 2,,88,87
3,5:26.0,,J. Murray makes 2-pt layup from 1 ft (assist by M. Morris),88,89
3,5:11.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),,90,89
3,4:56.0,,Turnover by J. Murray (bad pass),90,89
3,4:37.0,L. Dončić makes 3-pt jump shot from 25 ft,,93,89
3,4:12.0,,M. Morris makes 2-pt layup from 3 ft (assist by M. Beasley),93,91
3,4:04.0,Shooting foul by J. Hernangómez (drawn by D. Jordan),,93,91
3,4:04.0,D. Jordan misses free throw 1 of 2,,93,91
3,4:04.0,Offensive rebound by Team,,93,91
3,4:04.0,J. Barea enters the game for J. Brunson,,93,91
3,4:04.0,D. Jordan misses free throw 2 of 2,,93,91
3,4:01.0,Offensive rebound by D. Finney-Smith,,93,91
3,4:01.0,,T. Lyles enters the game for J. Murray,93,91
3,3:55.0,Personal foul by M. Beasley (drawn by L. Dončić),,93,91
3,3:55.0,L. Dončić makes free throw 1 of 2,,94,91
3,3:55.0,,T. Craig enters the game for M. Beasley,94,91
3,3:55.0,L. Dončić makes free throw 2 of 2,,95,91
3,3:31.0,,J. Hernangómez misses 2-pt jump shot from 5 ft,95,91
3,3:29.0,,Offensive rebound by J. Hernangómez,95,91
3,3:28.0,,Shooting foul by D. Jordan (drawn by J. Hernangómez),95,91
3,3:28.0,,J. Hernangómez makes free throw 1 of 2,95,92
3,3:28.0,D. Powell enters the game for D. Jordan,,95,92
3,3:28.0,,N. Jokić enters the game for M. Plumlee,95,92
3,3:28.0,,J. Hernangómez makes free throw 2 of 2,95,93
3,3:11.0,L. Dončić misses 3-pt jump shot from 28 ft,,95,93
3,3:08.0,,Defensive rebound by Team,95,93
3,3:01.0,,Personal foul by D. Powell (drawn by N. Jokić),95,93
3,3:01.0,D. Harris enters the game for H. Barnes,,95,93
3,3:01.0,W. Matthews enters the game for L. Dončić,,95,93
3,2:54.0,,J. Hernangómez misses 2-pt layup from 2 ft,95,93
3,2:54.0,,Offensive rebound by J. Hernangómez,95,93
3,2:54.0,,Shooting foul by D. Finney-Smith (drawn by J. Hernangómez),95,93
3,2:54.0,,J. Hernangómez makes 2-pt layup at rim,95,95
3,2:54.0,,Denver full timeout,95,95
3,2:54.0,,J. Hernangómez makes free throw 1 of 1,95,96
3,2:38.0,J. Barea misses 3-pt jump shot from 26 ft,,95,96
3,2:36.0,,Defensive rebound by M. Morris,95,96
3,2:26.0,,Offensive foul by T. Craig (drawn by J. Barea),95,96
3,2:26.0,,Turnover by T. Craig (offensive foul),95,96
3,2:26.0,,M. Beasley enters the game for T. Craig,95,96
3,2:15.0,Turnover by D. Powell (bad pass; steal by M. Beasley),,95,96
3,2:06.0,,Personal foul by D. Finney-Smith (drawn by T. Lyles),95,96
3,2:06.0,,T. Lyles misses free throw 1 of 2,95,96
3,2:06.0,,Offensive rebound by Team,95,96
3,2:06.0,,T. Lyles makes free throw 2 of 2,95,97
3,1:54.0,W. Matthews misses 2-pt jump shot from 6 ft,,95,97
3,1:53.0,,Defensive rebound by N. Jokić,95,97
3,1:44.0,,N. Jokić makes 2-pt layup from 2 ft (assist by M. Morris),95,99
3,1:23.0,J. Barea misses 2-pt jump shot from 3 ft,,95,99
3,1:22.0,,Defensive rebound by M. Morris,95,99
3,1:18.0,,M. Morris makes 2-pt layup from 1 ft,95,101
3,1:18.0,Dallas full timeout,,95,101
3,1:18.0,,N. Young enters the game for J. Hernangómez,95,101
3,1:05.0,D. Harris misses 3-pt jump shot from 23 ft,,95,101
3,1:03.0,,Defensive rebound by M. Morris,95,101
3,0:56.0,,N. Jokić makes 2-pt jump shot from 3 ft (assist by M. Morris),95,103
3,0:47.0,J. Barea misses 2-pt jump shot from 5 ft,,95,103
3,0:45.0,,Defensive rebound by N. Jokić,95,103
3,0:33.0,,N. Jokić makes 2-pt layup from 2 ft (assist by M. Beasley),95,105
3,0:23.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,95,105
3,0:21.0,,Defensive rebound by N. Jokić,95,105
3,0:02.0,,Turnover by N. Jokić (out of bounds lost ball),95,105
3,0:02.0,,B. Goodwin enters the game for M. Beasley,95,105
3,0:02.0,,M. Plumlee enters the game for N. Jokić,95,105
3,0:00.0,D. Harris misses 3-pt jump shot from 39 ft,,95,105
3,0:00.0,Offensive rebound by Team,,95,105
4,11:40.0,D. Finney-Smith makes 2-pt layup from 2 ft,,97,105
4,11:26.0,,Shooting foul by D. Jordan (drawn by N. Jokić),97,105
4,11:26.0,,N. Jokić makes free throw 1 of 2,97,106
4,11:26.0,,N. Jokić makes free throw 2 of 2,97,107
4,11:13.0,Shooting foul by N. Young (drawn by D. Jordan),,97,107
4,11:13.0,D. Jordan misses free throw 1 of 2,,97,107
4,11:13.0,Offensive rebound by Team,,97,107
4,11:13.0,D. Jordan makes free throw 2 of 2,,98,107
4,11:01.0,,Turnover by M. Beasley (out of bounds lost ball),98,107
4,10:51.0,J. Barea misses 2-pt layup from 2 ft,,98,107
4,10:49.0,,Defensive rebound by N. Jokić,98,107
4,10:46.0,Violation by Team (kicked ball),,98,107
4,10:38.0,,N. Young misses 3-pt jump shot from 25 ft,98,107
4,10:34.0,Defensive rebound by J. Barea,,98,107
4,10:29.0,D. Finney-Smith misses 3-pt jump shot from 22 ft,,98,107
4,10:25.0,,Defensive rebound by M. Morris,98,107
4,10:21.0,,M. Morris misses 2-pt jump shot from 7 ft,98,107
4,10:19.0,Defensive rebound by D. Jordan,,98,107
4,10:14.0,D. Harris makes 2-pt layup from 2 ft (assist by J. Barea),,100,107
4,10:02.0,,M. Beasley misses 3-pt jump shot from 24 ft,100,107
4,9:59.0,Defensive rebound by D. Jordan,,100,107
4,9:47.0,W. Matthews misses 2-pt jump shot from 4 ft,,100,107
4,9:47.0,Offensive rebound by Team,,100,107
4,9:47.0,,Loose ball foul by T. Lyles (drawn by D. Jordan),100,107
4,9:47.0,L. Dončić enters the game for D. Finney-Smith,,100,107
4,9:47.0,,J. Murray enters the game for M. Beasley,100,107
4,9:47.0,,M. Plumlee enters the game for N. Jokić,100,107
4,9:36.0,L. Dončić makes 2-pt jump shot from 6 ft,,102,107
4,9:19.0,,Turnover by J. Murray (lost ball; steal by D. Harris),102,107
4,9:14.0,D. Jordan makes 2-pt dunk from 1 ft (assist by W. Matthews),,104,107
4,9:14.0,,Denver full timeout,104,107
4,9:14.0,,T. Craig enters the game for N. Young,104,107
4,9:04.0,,T. Lyles misses 3-pt jump shot from 25 ft,104,107
4,9:01.0,Defensive rebound by D. Jordan,,104,107
4,8:54.0,J. Barea misses 3-pt jump shot from 25 ft,,104,107
4,8:50.0,,Defensive rebound by T. Craig,104,107
4,8:42.0,,T. Craig misses 3-pt jump shot from 24 ft,104,107
4,8:38.0,Defensive rebound by J. Barea,,104,107
4,8:25.0,W. Matthews misses 2-pt jump shot from 23 ft,,104,107
4,8:22.0,,Defensive rebound by M. Plumlee,104,107
4,8:12.0,,Shooting foul by W. Matthews (drawn by T. Lyles),104,107
4,8:12.0,Technical foul by W. Matthews,,104,107
4,8:12.0,,J. Murray makes technical free throw,104,108
4,8:12.0,,T. Lyles makes free throw 1 of 2,104,109
4,8:12.0,H. Barnes enters the game for D. Harris,,104,109
4,8:12.0,D. Finney-Smith enters the game for W. Matthews,,104,109
4,8:12.0,,T. Lyles makes free throw 2 of 2,104,110
4,7:56.0,H. Barnes misses 3-pt jump shot from 23 ft,,104,110
4,7:54.0,Offensive rebound by D. Jordan,,104,110
4,7:47.0,H. Barnes misses 3-pt jump shot from 23 ft,,104,110
4,7:45.0,,Defensive rebound by M. Plumlee,104,110
4,7:35.0,,Turnover by M. Plumlee (bad pass; steal by L. Dončić),104,110
4,7:30.0,L. Dončić makes 2-pt jump shot from 4 ft,,106,110
4,7:03.0,,M. Plumlee misses 2-pt layup from 4 ft,106,110
4,7:01.0,Defensive rebound by D. Jordan,,106,110
4,6:51.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,106,110
4,6:48.0,,Defensive rebound by T. Lyles,106,110
4,6:42.0,,T. Craig misses 2-pt jump shot from 4 ft,106,110
4,6:42.0,Defensive rebound by D. Jordan,,106,110
4,6:42.0,Dallas full timeout,,106,110
4,6:42.0,J. Brunson enters the game for J. Barea,,106,110
4,6:42.0,W. Matthews enters the game for D. Finney-Smith,,106,110
4,6:42.0,,J. Hernangómez enters the game for T. Craig,106,110
4,6:42.0,,N. Jokić enters the game for T. Lyles,106,110
4,6:29.0,Offensive foul by D. Jordan (drawn by J. Hernangómez),,106,110
4,6:29.0,Turnover by D. Jordan (offensive foul),,106,110
4,6:29.0,D. Powell enters the game for D. Jordan,,106,110
4,6:17.0,,J. Murray misses 2-pt jump shot from 20 ft,106,110
4,6:13.0,,Offensive rebound by N. Jokić,106,110
4,6:12.0,,N. Jokić misses 2-pt layup from 2 ft,106,110
4,6:12.0,Defensive rebound by D. Powell,,106,110
4,5:59.0,Turnover by L. Dončić (bad pass; steal by N. Jokić),,106,110
