QUARTER,TIME_REMAINING,HOUSTON_ACTION,DETROIT_ACTION,HOUSTON_SCORE,DETROIT_SCORE
4,3:43.0,E. Gordon misses 3-pt jump shot from 23 ft,,90,89
4,3:38.0,Offensive rebound by J. Ennis,,90,89
4,3:36.0,P. Tucker misses 3-pt jump shot from 24 ft,,90,89
4,3:33.0,,Defensive rebound by R. Jackson,90,89
4,3:31.0,,Detroit full timeout,90,89
4,3:14.0,,B. Griffin misses 2-pt jump shot from 8 ft,90,89
4,3:11.0,Defensive rebound by C. Capela,,90,89
4,2:49.0,Turnover by J. Harden (lost ball; steal by B. Brown),,90,89
4,2:38.0,,R. Jackson makes 2-pt layup from 5 ft,90,91
4,2:17.0,Shooting foul by B. Brown (drawn by J. Harden),,90,91
4,2:17.0,J. Harden makes free throw 1 of 3,,91,91
4,2:17.0,J. Harden makes free throw 2 of 3,,92,91
4,2:17.0,C. Paul enters the game for E. Gordon,,92,91
4,2:17.0,J. Harden makes free throw 3 of 3,,93,91
4,2:02.0,,Turnover by B. Griffin (lost ball; steal by J. Ennis),93,91
4,1:59.0,Personal foul by R. Bullock (drawn by J. Harden),,93,91
4,1:39.0,P. Tucker misses 2-pt hook shot from 9 ft,,93,91
4,1:36.0,Offensive rebound by P. Tucker,,93,91
4,1:24.0,C. Paul misses 3-pt jump shot from 25 ft,,93,91
4,1:18.0,,Defensive rebound by A. Drummond,93,91
4,1:11.0,,Shooting foul by J. Harden (drawn by R. Jackson),93,91
4,1:11.0,,R. Jackson makes free throw 1 of 2,93,92
4,1:11.0,,R. Jackson makes free throw 2 of 2,93,93
4,0:52.0,Personal foul by R. Jackson (drawn by J. Harden),,93,93
4,0:52.0,J. Harden makes free throw 1 of 2,,94,93
4,0:52.0,J. Harden misses free throw 2 of 2,,94,93
4,0:49.0,Offensive rebound by J. Harden,,94,93
4,0:39.0,Turnover by J. Harden (lost ball; steal by B. Brown),,94,93
4,0:37.0,,Shooting foul by J. Harden (drawn by B. Brown),94,93
4,0:37.0,,B. Brown makes free throw 1 of 2,94,94
4,0:37.0,,B. Brown makes free throw 2 of 2,94,95
4,0:27.0,J. Harden makes 2-pt jump shot from 20 ft,,96,95
4,0:19.0,,Detroit full timeout,96,95
4,0:19.0,E. Gordon enters the game for C. Paul,,96,95
4,0:03.0,,B. Griffin makes 3-pt jump shot from 30 ft,96,98
4,0:02.0,Houston full timeout,,96,98
4,0:02.0,C. Paul enters the game for C. Capela,,96,98
4,0:02.0,,L. Galloway enters the game for R. Jackson,96,98
4,0:02.0,Houston full timeout,,96,98
4,0:00.0,E. Gordon makes 2-pt layup from 3 ft (assist by C. Paul),,98,98
4,0:00.0,,Detroit full timeout,98,98
1OT,4:45.0,,Shooting foul by P. Tucker (drawn by B. Griffin),98,98
1OT,4:45.0,,B. Griffin misses free throw 1 of 2,98,98
1OT,4:45.0,,Offensive rebound by Team,98,98
1OT,4:45.0,,B. Griffin makes free throw 2 of 2,98,99
1OT,4:29.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),,101,99
1OT,4:05.0,,Shooting foul by J. Harden (drawn by R. Jackson),101,99
1OT,4:05.0,,R. Jackson makes free throw 1 of 2,101,100
1OT,4:05.0,,R. Jackson makes free throw 2 of 2,101,101
1OT,3:50.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,103,101
1OT,3:33.0,,B. Griffin makes 2-pt dunk at rim (assist by R. Jackson),103,103
1OT,3:15.0,E. Gordon misses 3-pt jump shot from 29 ft,,103,103
1OT,3:12.0,,Defensive rebound by A. Drummond,103,103
1OT,2:52.0,,R. Bullock makes 3-pt jump shot from 24 ft (assist by B. Griffin),103,106
1OT,2:23.0,Turnover by J. Harden (bad pass; steal by R. Bullock),,103,106
1OT,2:18.0,,B. Griffin makes 2-pt dunk at rim (assist by R. Bullock),103,108
1OT,2:02.0,C. Capela makes 2-pt layup from 5 ft (assist by J. Harden),,105,108
1OT,1:38.0,,Shooting foul by P. Tucker (drawn by R. Jackson),105,108
1OT,1:38.0,,R. Jackson makes free throw 1 of 3,105,109
1OT,1:38.0,,R. Jackson makes free throw 2 of 3,105,110
1OT,1:38.0,,R. Jackson makes free throw 3 of 3,105,111
1OT,1:26.0,J. Harden misses 3-pt jump shot from 28 ft,,105,111
1OT,1:20.0,,Defensive rebound by A. Drummond,105,111
1OT,1:17.0,,Detroit full timeout,105,111
1OT,1:17.0,,I. Smith enters the game for B. Brown,105,111
1OT,1:02.0,,R. Jackson makes 2-pt jump shot from 8 ft,105,113
1OT,0:53.0,J. Harden misses 3-pt jump shot from 26 ft,,105,113
1OT,0:50.0,,Defensive rebound by B. Griffin,105,113
1OT,0:35.0,,R. Jackson makes 2-pt hook shot from 6 ft,105,115
1OT,0:20.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by C. Paul),,108,115
1OT,0:15.0,,Personal foul by C. Paul (drawn by R. Jackson),108,115
1OT,0:15.0,,R. Jackson misses free throw 1 of 2,108,115
1OT,0:15.0,,Offensive rebound by Team,108,115
1OT,0:15.0,,B. Brown enters the game for I. Smith,108,115
1OT,0:15.0,,R. Jackson makes free throw 2 of 2,108,116
1OT,0:02.0,C. Paul makes 3-pt jump shot from 23 ft (assist by J. Harden),,111,116
