QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DETROIT_ACTION,BROOKLYN_SCORE,DETROIT_SCORE
2,4:57.0,D. Russell makes free throw 1 of 2,,42,41
2,4:57.0,T. Graham enters the game for J. Dudley,,42,41
2,4:57.0,D. Russell misses free throw 2 of 2,,42,41
2,4:54.0,,Defensive rebound by B. Griffin,42,41
2,4:47.0,,Personal foul by T. Graham (drawn by B. Griffin),42,41
2,4:32.0,,B. Griffin misses 2-pt jump shot from 14 ft,42,41
2,4:29.0,,Offensive rebound by A. Drummond,42,41
2,4:27.0,,A. Drummond misses 2-pt layup from 1 ft,42,41
2,4:27.0,Defensive rebound by S. Dinwiddie,,42,41
2,4:24.0,Turnover by S. Dinwiddie (bad pass),,42,41
2,4:20.0,,Personal foul by T. Graham (drawn by A. Drummond),42,41
2,4:20.0,,Technical foul by A. Drummond,42,41
2,4:20.0,S. Dinwiddie makes technical free throw,,43,41
2,4:20.0,J. Dudley enters the game for T. Graham,,43,41
2,4:15.0,,R. Jackson misses 3-pt jump shot from 29 ft,43,41
2,4:10.0,Defensive rebound by J. Allen,,43,41
2,4:03.0,Turnover by C. LeVert (traveling),,43,41
2,3:47.0,,I. Smith makes 2-pt jump shot from 10 ft,43,43
2,3:31.0,C. LeVert misses 2-pt jump shot from 13 ft,,43,43
2,3:28.0,,Defensive rebound by A. Drummond,43,43
2,3:25.0,,I. Smith makes 2-pt layup from 5 ft,43,45
2,3:11.0,D. Russell misses 3-pt jump shot from 27 ft,,43,45
2,3:11.0,,Defensive rebound by A. Drummond,43,45
2,3:01.0,,Offensive foul by A. Drummond (drawn by J. Allen),43,45
2,3:01.0,,Turnover by A. Drummond (offensive foul),43,45
2,2:48.0,D. Russell makes 2-pt jump shot from 15 ft (assist by C. LeVert),,45,45
2,2:31.0,,B. Griffin misses 2-pt layup from 10 ft (block by J. Allen),45,45
2,2:31.0,,Offensive rebound by Team,45,45
2,2:29.0,,R. Jackson makes 2-pt jump shot from 12 ft (assist by I. Smith),45,47
2,2:07.0,J. Allen makes 3-pt jump shot from 24 ft (assist by C. LeVert),,48,47
2,1:51.0,,A. Drummond makes 2-pt dunk from 3 ft (assist by B. Griffin),48,49
2,1:28.0,Shooting foul by B. Brown (drawn by J. Allen),,48,49
2,1:28.0,J. Allen misses free throw 1 of 2,,48,49
2,1:28.0,Offensive rebound by Team,,48,49
2,1:28.0,,L. Galloway enters the game for B. Brown,48,49
2,1:28.0,J. Allen makes free throw 2 of 2,,49,49
2,1:19.0,,Shooting foul by J. Dudley (drawn by B. Griffin),49,49
2,1:19.0,,B. Griffin makes free throw 1 of 2,49,50
2,1:19.0,,B. Griffin makes free throw 2 of 2,49,51
2,1:04.0,C. LeVert misses 2-pt layup from 3 ft,,49,51
2,1:01.0,,Defensive rebound by A. Drummond,49,51
2,0:48.0,,A. Drummond misses 2-pt layup from 2 ft (block by J. Allen),49,51
2,0:44.0,Defensive rebound by S. Dinwiddie,,49,51
2,0:38.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,49,51
2,0:34.0,,Defensive rebound by L. Galloway,49,51
2,0:32.0,,R. Jackson misses 3-pt jump shot from 29 ft,49,51
2,0:28.0,Defensive rebound by C. LeVert,,49,51
2,0:10.0,C. LeVert makes 2-pt jump shot from 5 ft,,51,51
2,0:02.0,,R. Jackson misses 3-pt jump shot from 28 ft,51,51
2,0:02.0,Defensive rebound by J. Allen,,51,51
3,11:47.0,Turnover by D. Russell (bad pass),,51,51
3,11:34.0,,B. Griffin misses 2-pt layup from 7 ft,51,51
3,11:29.0,,Offensive rebound by A. Drummond,51,51
3,11:28.0,,A. Drummond makes 2-pt layup from 1 ft,51,53
3,11:11.0,D. Russell makes 3-pt jump shot from 26 ft (assist by J. Dudley),,54,53
3,10:48.0,,R. Jackson misses 3-pt jump shot from 28 ft,54,53
3,10:44.0,Defensive rebound by J. Allen,,54,53
3,10:39.0,Shooting foul by A. Drummond (drawn by C. LeVert),,54,53
3,10:39.0,C. LeVert makes free throw 1 of 2,,55,53
3,10:39.0,C. LeVert makes free throw 2 of 2,,56,53
3,10:18.0,,L. Kennard makes 2-pt layup from 2 ft (assist by A. Drummond),56,55
3,10:09.0,D. Russell misses 3-pt jump shot from 27 ft,,56,55
3,10:05.0,,Defensive rebound by A. Drummond,56,55
3,9:56.0,,A. Drummond misses 2-pt layup from 4 ft,56,55
3,9:55.0,,Offensive rebound by A. Drummond,56,55
3,9:55.0,,Shooting foul by J. Allen (drawn by A. Drummond),56,55
3,9:55.0,,A. Drummond makes free throw 1 of 2,56,56
3,9:55.0,,A. Drummond misses free throw 2 of 2,56,56
3,9:46.0,,Offensive rebound by B. Griffin,56,56
3,9:46.0,,B. Griffin makes 2-pt layup from 1 ft,56,58
3,9:27.0,J. Harris misses 3-pt jump shot from 30 ft,,56,58
3,9:27.0,Offensive rebound by Team,,56,58
3,9:27.0,Turnover by Team (shot clock),,56,58
3,9:12.0,,A. Drummond misses 2-pt layup from 6 ft (block by J. Allen),56,58
3,9:11.0,,Offensive rebound by A. Drummond,56,58
3,9:10.0,,A. Drummond makes 2-pt layup from 4 ft,56,60
3,9:01.0,J. Dudley misses 3-pt jump shot from 28 ft,,56,60
3,8:58.0,,Defensive rebound by A. Drummond,56,60
3,8:46.0,,A. Drummond makes 2-pt layup from 3 ft (assist by B. Griffin),56,62
3,8:45.0,Brooklyn full timeout,,56,62
3,8:34.0,Turnover by C. LeVert (out of bounds lost ball),,56,62
3,8:18.0,,Shooting foul by J. Allen (drawn by B. Griffin),56,62
3,8:18.0,,B. Griffin makes free throw 1 of 2,56,63
3,8:18.0,,B. Griffin makes free throw 2 of 2,56,64
3,8:05.0,J. Harris makes 2-pt layup from 7 ft (assist by D. Russell),,58,64
3,7:56.0,,L. Kennard makes 3-pt jump shot from 22 ft (assist by R. Jackson),58,67
3,7:49.0,Shooting foul by A. Drummond (drawn by C. LeVert),,58,67
3,7:49.0,C. LeVert makes free throw 1 of 2,,59,67
3,7:49.0,,Z. Pachulia enters the game for A. Drummond,59,67
3,7:49.0,C. LeVert makes free throw 2 of 2,,60,67
3,7:33.0,,Z. Pachulia misses 2-pt jump shot from 17 ft,60,67
3,7:30.0,Defensive rebound by J. Dudley,,60,67
3,7:24.0,Turnover by D. Russell (lost ball; steal by Z. Pachulia),,60,67
3,7:19.0,,B. Griffin makes 2-pt layup from 4 ft (assist by R. Jackson),60,69
3,7:19.0,,Shooting foul by J. Allen (drawn by B. Griffin),60,69
3,7:19.0,,B. Griffin makes free throw 1 of 1,60,70
3,7:04.0,C. LeVert misses 2-pt layup from 7 ft,,60,70
3,7:01.0,,Defensive rebound by Z. Pachulia,60,70
3,6:51.0,,B. Brown misses 3-pt jump shot from 24 ft,60,70
3,6:47.0,Defensive rebound by J. Allen,,60,70
3,6:41.0,J. Dudley misses 3-pt jump shot from 27 ft,,60,70
3,6:38.0,,Defensive rebound by L. Kennard,60,70
3,6:27.0,,R. Jackson makes 3-pt jump shot from 29 ft (assist by B. Griffin),60,73
3,6:24.0,Brooklyn full timeout,,60,73
3,6:24.0,S. Dinwiddie enters the game for J. Dudley,,60,73
3,6:24.0,T. Graham enters the game for D. Russell,,60,73
3,6:24.0,,L. Galloway enters the game for L. Kennard,60,73
3,6:10.0,C. LeVert makes 2-pt layup from 5 ft (assist by J. Harris),,62,73
3,6:10.0,Shooting foul by Z. Pachulia (drawn by C. LeVert),,62,73
3,6:10.0,C. LeVert makes free throw 1 of 1,,63,73
3,5:55.0,,B. Griffin misses 2-pt layup from 4 ft,63,73
3,5:54.0,,Offensive rebound by B. Griffin,63,73
3,5:53.0,,B. Griffin misses 2-pt layup from 1 ft,63,73
3,5:52.0,Defensive rebound by J. Allen,,63,73
3,5:38.0,S. Dinwiddie misses 2-pt jump shot from 7 ft,,63,73
3,5:37.0,,Defensive rebound by B. Brown,63,73
3,5:37.0,Technical foul by S. Dinwiddie,,63,73
3,5:37.0,,R. Jackson makes technical free throw,63,74
3,5:37.0,,I. Smith enters the game for B. Brown,63,74
3,5:22.0,,R. Jackson misses 3-pt jump shot from 27 ft,63,74
3,5:15.0,,Offensive rebound by Z. Pachulia,63,74
3,5:14.0,,Z. Pachulia makes 2-pt layup from 3 ft,63,76
3,5:04.0,Offensive foul by J. Allen (drawn by Z. Pachulia),,63,76
3,5:04.0,Turnover by J. Allen (offensive foul),,63,76
3,5:04.0,E. Davis enters the game for J. Allen,,63,76
3,4:51.0,Violation by Team (delay of game),,63,76
3,4:51.0,Violation by Team (kicked ball),,63,76
3,4:49.0,,Personal foul by T. Graham (drawn by B. Griffin),63,76
3,4:36.0,,R. Jackson misses 3-pt jump shot from 29 ft,63,76
3,4:30.0,Defensive rebound by C. LeVert,,63,76
3,4:27.0,C. LeVert makes 2-pt layup from 3 ft,,65,76
3,4:21.0,,L. Galloway misses 3-pt jump shot from 27 ft,65,76
3,4:21.0,Defensive rebound by S. Dinwiddie,,65,76
3,4:15.0,C. LeVert misses 3-pt jump shot from 26 ft,,65,76
3,4:12.0,,Defensive rebound by Z. Pachulia,65,76
3,3:54.0,,R. Jackson makes 2-pt hook shot from 8 ft,65,78
3,3:42.0,C. LeVert makes 2-pt layup from 4 ft (assist by S. Dinwiddie),,67,78
3,3:42.0,Shooting foul by Z. Pachulia (drawn by C. LeVert),,67,78
3,3:42.0,R. Kurucs enters the game for J. Harris,,67,78
3,3:42.0,,G. Robinson enters the game for B. Griffin,67,78
3,3:42.0,C. LeVert makes free throw 1 of 1,,68,78
3,3:37.0,,Detroit full timeout,68,78
3,3:37.0,D. Russell enters the game for T. Graham,,68,78
3,3:37.0,,L. Kennard enters the game for R. Jackson,68,78
3,3:32.0,,Turnover by Z. Pachulia (bad pass; steal by E. Davis),68,78
3,3:27.0,S. Dinwiddie misses 2-pt jump shot from 5 ft,,68,78
3,3:23.0,,Defensive rebound by L. Kennard,68,78
3,3:07.0,,Z. Pachulia misses 2-pt jump shot from 9 ft,68,78
3,3:04.0,Defensive rebound by E. Davis,,68,78
3,2:59.0,S. Dinwiddie makes 2-pt layup from 3 ft (assist by D. Russell),,70,78
3,2:44.0,,Personal foul by C. LeVert (drawn by Z. Pachulia),70,78
3,2:44.0,,Z. Pachulia makes free throw 1 of 2,70,79
3,2:44.0,J. Harris enters the game for C. LeVert,,70,79
3,2:44.0,,Z. Pachulia makes free throw 2 of 2,70,80
3,2:27.0,S. Dinwiddie misses 2-pt layup from 6 ft (block by Z. Pachulia),,70,80
3,2:27.0,Offensive rebound by Team,,70,80
3,2:22.0,S. Dinwiddie makes 2-pt layup from 5 ft (assist by E. Davis),,72,80
3,2:11.0,,L. Galloway misses 3-pt jump shot from 28 ft,72,80
3,2:11.0,Defensive rebound by J. Harris,,72,80
3,1:47.0,Turnover by S. Dinwiddie (bad pass; steal by Z. Pachulia),,72,80
3,1:34.0,,I. Smith misses 2-pt hook shot from 7 ft,72,80
3,1:30.0,Defensive rebound by J. Harris,,72,80
3,1:24.0,J. Harris makes 2-pt layup from 8 ft (assist by S. Dinwiddie),,74,80
3,1:12.0,,Offensive foul by Z. Pachulia (drawn by E. Davis),74,80
3,1:12.0,,Turnover by Z. Pachulia (offensive foul),74,80
3,1:12.0,,B. Griffin enters the game for Z. Pachulia,74,80
3,0:51.0,Turnover by E. Davis (traveling),,74,80
3,0:40.0,,I. Smith misses 3-pt jump shot from 26 ft,74,80
3,0:36.0,Defensive rebound by R. Kurucs,,74,80
3,0:35.0,S. Dinwiddie makes 2-pt layup from 3 ft (assist by R. Kurucs),,76,80
3,0:23.0,,Shooting foul by E. Davis (drawn by B. Griffin),76,80
3,0:23.0,,B. Griffin misses free throw 1 of 2,76,80
3,0:23.0,,Offensive rebound by Team,76,80
3,0:23.0,,B. Brown enters the game for L. Kennard,76,80
3,0:23.0,,B. Griffin makes free throw 2 of 2,76,81
3,0:03.0,J. Harris misses 3-pt jump shot from 28 ft,,76,81
3,0:03.0,,Defensive rebound by B. Griffin,76,81
3,0:00.0,,Personal foul by R. Kurucs (drawn by B. Griffin),76,81
3,0:00.0,,B. Griffin makes free throw 1 of 2,76,82
3,0:00.0,J. Allen enters the game for R. Kurucs,,76,82
3,0:00.0,C. LeVert enters the game for D. Russell,,76,82
3,0:00.0,,B. Griffin makes free throw 2 of 2,76,83
4,11:40.0,,B. Brown misses 2-pt layup from 3 ft,76,83
4,11:34.0,Defensive rebound by J. Harris,,76,83
4,11:21.0,S. Dinwiddie makes 2-pt layup from 3 ft,,78,83
4,11:05.0,,A. Drummond makes 3-pt jump shot from 28 ft (assist by B. Brown),78,86
4,10:50.0,J. Harris makes 2-pt layup from 3 ft (assist by E. Davis),,80,86
4,10:39.0,,Turnover by G. Robinson (lost ball; steal by J. Harris),80,86
4,10:39.0,Turnover by J. Harris (traveling),,80,86
4,10:25.0,,B. Brown misses 3-pt jump shot from 23 ft,80,86
4,10:21.0,Defensive rebound by T. Graham,,80,86
4,10:13.0,J. Dudley misses 2-pt layup from 3 ft (block by G. Robinson),,80,86
4,10:13.0,Offensive rebound by Team,,80,86
4,10:06.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,80,86
4,10:04.0,,Defensive rebound by Team,80,86
4,9:48.0,,I. Smith makes 2-pt jump shot from 4 ft,80,88
4,9:38.0,S. Dinwiddie makes 2-pt layup from 3 ft,,82,88
4,9:27.0,,A. Drummond misses 3-pt jump shot from 30 ft,82,88
4,9:23.0,Defensive rebound by E. Davis,,82,88
4,9:18.0,Shooting foul by B. Brown (drawn by S. Dinwiddie),,82,88
4,9:18.0,S. Dinwiddie misses free throw 1 of 2,,82,88
4,9:18.0,Offensive rebound by Team,,82,88
4,9:18.0,,L. Kennard enters the game for B. Brown,82,88
4,9:18.0,S. Dinwiddie makes free throw 2 of 2,,83,88
4,9:03.0,,I. Smith misses 2-pt layup from 4 ft,83,88
4,9:00.0,Defensive rebound by E. Davis,,83,88
4,8:54.0,S. Dinwiddie misses 3-pt jump shot from 28 ft,,83,88
4,8:51.0,Offensive rebound by Team,,83,88
4,8:44.0,J. Harris misses 2-pt layup from 5 ft (block by L. Kennard),,83,88
4,8:41.0,,Defensive rebound by L. Kennard,83,88
4,8:37.0,,Turnover by L. Kennard (lost ball; steal by J. Dudley),83,88
4,8:28.0,J. Harris misses 3-pt jump shot from 24 ft,,83,88
4,8:28.0,,Defensive rebound by A. Drummond,83,88
4,8:16.0,,A. Drummond misses 2-pt layup from 7 ft,83,88
4,8:13.0,Defensive rebound by E. Davis,,83,88
4,8:04.0,S. Dinwiddie makes 2-pt jump shot from 5 ft,,85,88
4,7:42.0,,Turnover by I. Smith (bad pass; steal by J. Dudley),85,88
4,7:38.0,Turnover by J. Harris (traveling),,85,88
4,7:38.0,C. LeVert enters the game for S. Dinwiddie,,85,88
4,7:38.0,,B. Griffin enters the game for G. Robinson,85,88
4,7:38.0,,Detroit full timeout,85,88
4,7:38.0,J. Allen enters the game for E. Davis,,85,88
4,7:38.0,,R. Jackson enters the game for I. Smith,85,88
4,7:28.0,,Flagrant foul type 1 by J. Dudley (drawn by B. Griffin),85,88
4,7:28.0,,B. Griffin makes flagrant free throw 1 of 2,85,89
4,7:28.0,,B. Griffin misses flagrant free throw 2 of 2,85,89
4,7:28.0,,Offensive rebound by Team,85,89
4,7:15.0,,B. Griffin misses 2-pt hook shot from 6 ft,85,89
4,7:13.0,Defensive rebound by J. Allen,,85,89
4,7:01.0,T. Graham misses 3-pt jump shot from 23 ft,,85,89
4,6:58.0,,Defensive rebound by L. Kennard,85,89
4,6:47.0,,B. Griffin makes 2-pt layup from 6 ft (assist by R. Jackson),85,91
4,6:22.0,C. LeVert makes 2-pt jump shot from 11 ft (assist by J. Harris),,87,91
4,5:55.0,,Turnover by Team (shot clock),87,91
4,5:55.0,S. Dinwiddie enters the game for J. Harris,,87,91
4,5:39.0,Shooting foul by A. Drummond (drawn by C. LeVert),,87,91
4,5:39.0,C. LeVert makes free throw 1 of 2,,88,91
4,5:39.0,,I. Smith enters the game for L. Kennard,88,91
