QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ORLANDO_ACTION,CHARLOTTE_SCORE,ORLANDO_SCORE
1,3:23.0,Defensive rebound by N. Batum,,18,6
1,3:20.0,M. Monk misses 3-pt jump shot from 24 ft,,18,6
1,3:16.0,,Defensive rebound by N. Vučević,18,6
1,3:13.0,,Personal foul by W. Hernangómez (drawn by N. Vučević),18,6
1,3:13.0,T. Parker enters the game for K. Walker,,18,6
1,3:13.0,,A. Gordon enters the game for E. Fournier,18,6
1,3:13.0,,J. Simmons enters the game for N. Vučević,18,6
1,2:59.0,,T. Ross makes 2-pt jump shot from 19 ft (assist by M. Bamba),18,8
1,2:43.0,W. Hernangómez misses 2-pt layup from 2 ft,,18,8
1,2:41.0,,Defensive rebound by M. Bamba,18,8
1,2:32.0,,M. Bamba misses 2-pt layup from 2 ft,18,8
1,2:31.0,Defensive rebound by T. Parker,,18,8
1,2:16.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by N. Batum),,20,8
1,2:02.0,,Turnover by A. Gordon (traveling),20,8
1,2:02.0,J. Lamb enters the game for N. Batum,,20,8
1,1:51.0,M. Monk misses 2-pt jump shot from 4 ft,,20,8
1,1:50.0,,Defensive rebound by Team,20,8
1,1:43.0,,T. Ross misses 2-pt jump shot from 19 ft,20,8
1,1:38.0,Defensive rebound by J. Lamb,,20,8
1,1:25.0,Shooting foul by J. Simmons (drawn by J. Lamb),,20,8
1,1:25.0,J. Lamb makes free throw 1 of 2,,21,8
1,1:25.0,J. Lamb makes free throw 2 of 2,,22,8
1,1:13.0,,J. Grant misses 3-pt jump shot from 26 ft,22,8
1,1:09.0,Defensive rebound by J. Lamb,,22,8
1,1:03.0,Turnover by T. Parker (bad pass; steal by J. Grant),,22,8
1,0:58.0,,J. Simmons makes 2-pt jump shot from 14 ft (assist by J. Grant),22,10
1,0:35.0,T. Parker misses 2-pt jump shot from 19 ft,,22,10
1,0:33.0,,Defensive rebound by M. Bamba,22,10
1,0:26.0,,A. Gordon misses 3-pt jump shot from 26 ft,22,10
1,0:23.0,Defensive rebound by M. Kidd-Gilchrist,,22,10
1,0:02.0,M. Monk misses 2-pt layup from 1 ft,,22,10
1,0:00.0,,Defensive rebound by A. Gordon,22,10
1,0:00.0,,A. Gordon misses 3-pt jump shot from 48 ft,22,10
1,0:00.0,,Offensive rebound by Team,22,10
2,11:37.0,W. Hernangómez misses 2-pt layup from 2 ft (block by A. Gordon),,22,10
2,11:34.0,Offensive rebound by Team,,22,10
2,11:33.0,W. Hernangómez makes 3-pt jump shot from 26 ft (assist by T. Parker),,25,10
2,11:21.0,,T. Ross misses 3-pt jump shot from 25 ft,25,10
2,11:18.0,,Offensive rebound by A. Gordon,25,10
2,11:13.0,,A. Gordon misses 2-pt layup from 5 ft,25,10
2,11:11.0,,Offensive rebound by A. Gordon,25,10
2,11:11.0,,A. Gordon makes 2-pt layup from 1 ft,25,12
2,11:11.0,,Shooting foul by M. Kidd-Gilchrist (drawn by A. Gordon),25,12
2,11:11.0,,A. Gordon makes free throw 1 of 1,25,13
2,10:59.0,T. Parker misses 2-pt jump shot from 21 ft,,25,13
2,10:56.0,,Defensive rebound by J. Simmons,25,13
2,10:49.0,,T. Ross makes 3-pt jump shot from 25 ft,25,16
2,10:25.0,Offensive foul by W. Hernangómez (drawn by J. Simmons),,25,16
2,10:25.0,Turnover by W. Hernangómez (offensive foul),,25,16
2,10:25.0,M. Bridges enters the game for J. Lamb,,25,16
2,10:14.0,,J. Simmons misses 2-pt layup from 4 ft (block by M. Kidd-Gilchrist),25,16
2,10:11.0,Defensive rebound by M. Kidd-Gilchrist,,25,16
2,10:07.0,T. Parker misses 3-pt jump shot from 26 ft,,25,16
2,10:04.0,,Defensive rebound by M. Bamba,25,16
2,9:51.0,,T. Ross misses 2-pt layup from 7 ft (block by M. Kidd-Gilchrist),25,16
2,9:48.0,Defensive rebound by M. Bridges,,25,16
2,9:39.0,M. Monk makes 3-pt jump shot from 25 ft (assist by W. Hernangómez),,28,16
2,9:19.0,,J. Grant makes 2-pt jump shot from 15 ft,28,18
2,8:54.0,Turnover by T. Parker (lost ball; steal by J. Grant),,28,18
2,8:54.0,C. Zeller enters the game for W. Hernangómez,,28,18
2,8:42.0,,J. Simmons misses 2-pt jump shot from 21 ft,28,18
2,8:40.0,Defensive rebound by M. Bridges,,28,18
2,8:28.0,M. Monk misses 3-pt jump shot from 25 ft,,28,18
2,8:26.0,,Defensive rebound by J. Simmons,28,18
2,8:22.0,,A. Gordon misses 2-pt jump shot from 3 ft,28,18
2,8:22.0,,Offensive rebound by A. Gordon,28,18
2,8:20.0,,A. Gordon makes 2-pt layup at rim,28,20
2,8:20.0,Charlotte full timeout,,28,20
2,8:20.0,K. Walker enters the game for M. Kidd-Gilchrist,,28,20
2,8:20.0,M. Williams enters the game for T. Parker,,28,20
2,8:02.0,M. Bridges misses 2-pt layup from 5 ft,,28,20
2,8:01.0,Offensive rebound by M. Bridges,,28,20
2,8:01.0,M. Bridges misses 2-pt layup from 1 ft,,28,20
2,8:01.0,,Defensive rebound by Team,28,20
2,8:01.0,Loose ball foul by M. Bridges (drawn by M. Bamba),,28,20
2,8:01.0,N. Batum enters the game for M. Bridges,,28,20
2,7:39.0,,M. Bamba misses 3-pt jump shot from 26 ft,28,20
2,7:37.0,Defensive rebound by M. Williams,,28,20
2,7:32.0,K. Walker misses 2-pt jump shot from 20 ft,,28,20
2,7:29.0,,Defensive rebound by A. Gordon,28,20
2,7:23.0,,Turnover by A. Gordon (lost ball; steal by C. Zeller),28,20
2,7:19.0,Turnover by M. Monk (lost ball),,28,20
2,7:19.0,J. Lamb enters the game for M. Monk,,28,20
2,7:19.0,,E. Fournier enters the game for M. Bamba,28,20
2,7:19.0,,J. Isaac enters the game for A. Gordon,28,20
2,7:19.0,,N. Vučević enters the game for T. Ross,28,20
2,7:03.0,,J. Simmons makes 2-pt jump shot from 6 ft,28,22
2,6:49.0,K. Walker makes 2-pt jump shot from 16 ft,,30,22
2,6:33.0,,J. Isaac makes 2-pt layup from 2 ft,30,24
2,6:19.0,N. Batum makes 3-pt jump shot from 26 ft (assist by C. Zeller),,33,24
2,6:02.0,,J. Grant makes 2-pt jump shot from 16 ft,33,26
2,5:46.0,K. Walker misses 3-pt jump shot from 26 ft,,33,26
2,5:43.0,,Defensive rebound by J. Isaac,33,26
2,5:33.0,,J. Grant misses 2-pt jump shot from 19 ft,33,26
2,5:30.0,Defensive rebound by J. Lamb,,33,26
2,5:25.0,K. Walker makes 3-pt jump shot from 24 ft (assist by N. Batum),,36,26
2,5:24.0,,Orlando full timeout,36,26
2,5:24.0,,D. Augustin enters the game for J. Grant,36,26
2,5:06.0,,Turnover by N. Vučević (3 sec),36,26
2,4:51.0,J. Lamb makes 2-pt jump shot from 14 ft (assist by C. Zeller),,38,26
2,4:23.0,,E. Fournier misses 3-pt jump shot from 30 ft,38,26
2,4:22.0,,Offensive rebound by Team,38,26
2,4:22.0,,Turnover by Team (shot clock),38,26
2,4:14.0,K. Walker makes 2-pt jump shot from 20 ft,,40,26
2,3:48.0,,E. Fournier misses 2-pt jump shot from 7 ft (block by J. Lamb),40,26
2,3:45.0,,Offensive rebound by E. Fournier,40,26
2,3:45.0,,Turnover by Team (shot clock),40,26
2,3:35.0,K. Walker makes 2-pt jump shot from 15 ft,,42,26
2,3:23.0,,E. Fournier misses 3-pt jump shot from 25 ft,42,26
2,3:21.0,Defensive rebound by M. Williams,,42,26
2,3:15.0,C. Zeller misses 2-pt layup from 3 ft (block by N. Vučević),,42,26
2,3:12.0,Offensive rebound by C. Zeller,,42,26
2,3:11.0,C. Zeller makes 2-pt layup from 1 ft,,44,26
2,3:00.0,,Personal foul by C. Zeller (drawn by N. Vučević),44,26
2,3:00.0,,A. Gordon enters the game for J. Simmons,44,26
2,2:49.0,,D. Augustin misses 2-pt jump shot from 13 ft,44,26
2,2:46.0,Defensive rebound by C. Zeller,,44,26
2,2:32.0,Shooting foul by J. Isaac (drawn by C. Zeller),,44,26
2,2:32.0,C. Zeller makes free throw 1 of 2,,45,26
2,2:32.0,,J. Simmons enters the game for J. Isaac,45,26
2,2:32.0,C. Zeller makes free throw 2 of 2,,46,26
2,2:17.0,,J. Simmons makes 3-pt jump shot from 26 ft (assist by N. Vučević),46,29
2,1:59.0,J. Lamb misses 3-pt jump shot from 24 ft,,46,29
2,1:57.0,,Defensive rebound by A. Gordon,46,29
2,1:52.0,,J. Simmons misses 2-pt layup from 1 ft,46,29
2,1:49.0,,Offensive rebound by J. Simmons,46,29
2,1:48.0,,J. Simmons misses 2-pt layup from 3 ft,46,29
2,1:42.0,Defensive rebound by J. Lamb,,46,29
2,1:40.0,K. Walker makes 3-pt jump shot from 26 ft (assist by J. Lamb),,49,29
2,1:19.0,,J. Simmons misses 3-pt jump shot from 26 ft,49,29
2,1:15.0,,Offensive rebound by D. Augustin,49,29
2,1:14.0,,E. Fournier misses 3-pt jump shot from 25 ft,49,29
2,1:12.0,Defensive rebound by Team,,49,29
2,0:59.0,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),,51,29
2,0:43.0,,Turnover by N. Vučević (bad pass),51,29
2,0:28.0,J. Lamb misses 3-pt jump shot from 25 ft,,51,29
2,0:25.0,,Defensive rebound by N. Vučević,51,29
2,0:04.0,,N. Vučević makes 2-pt dunk from 1 ft (assist by J. Simmons),51,31
2,0:00.0,K. Walker misses 2-pt jump shot from 20 ft,,51,31
2,0:00.0,Offensive rebound by Team,,51,31
3,11:39.0,Turnover by K. Walker (lost ball; steal by A. Gordon),,51,31
3,11:32.0,,A. Gordon misses 3-pt jump shot from 23 ft,51,31
3,11:23.0,,Offensive rebound by N. Vučević,51,31
3,11:23.0,,N. Vučević makes 2-pt layup from 1 ft,51,33
3,11:03.0,Turnover by Team (shot clock),,51,33
3,10:51.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by D. Augustin),51,36
3,10:30.0,Turnover by N. Batum (bad pass; steal by A. Gordon),,51,36
3,10:20.0,,E. Fournier misses 3-pt jump shot from 25 ft,51,36
3,10:12.0,,Offensive rebound by N. Vučević,51,36
3,10:12.0,,N. Vučević misses 2-pt layup from 1 ft,51,36
3,10:11.0,Defensive rebound by J. Lamb,,51,36
3,10:09.0,M. Williams misses 3-pt jump shot from 26 ft,,51,36
3,10:04.0,Offensive rebound by J. Lamb,,51,36
3,10:00.0,M. Williams misses 3-pt jump shot from 26 ft,,51,36
3,9:58.0,,Defensive rebound by Team,51,36
3,9:58.0,Loose ball foul by C. Zeller (drawn by A. Gordon),,51,36
3,9:39.0,,N. Vučević misses 2-pt jump shot from 20 ft,51,36
3,9:36.0,Defensive rebound by K. Walker,,51,36
3,9:24.0,K. Walker makes 3-pt jump shot from 26 ft,,54,36
3,9:04.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by A. Gordon),54,39
3,8:51.0,K. Walker makes 3-pt jump shot from 26 ft,,57,39
3,8:39.0,,Orlando full timeout,57,39
3,8:32.0,,E. Fournier makes 2-pt jump shot from 10 ft (assist by N. Vučević),57,41
3,8:14.0,M. Williams makes 2-pt layup from 1 ft (assist by K. Walker),,59,41
3,7:56.0,,Offensive foul by J. Isaac (drawn by K. Walker),59,41
3,7:56.0,,Turnover by J. Isaac (offensive foul),59,41
3,7:56.0,,J. Simmons enters the game for J. Isaac,59,41
3,7:45.0,J. Lamb misses 2-pt jump shot from 16 ft,,59,41
3,7:43.0,Offensive rebound by C. Zeller,,59,41
3,7:41.0,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),,62,41
3,7:22.0,,N. Vučević makes 2-pt hook shot from 9 ft (assist by E. Fournier),62,43
3,7:11.0,C. Zeller misses 2-pt layup from 4 ft (block by N. Vučević),,62,43
3,7:09.0,,Defensive rebound by A. Gordon,62,43
3,7:07.0,,Turnover by A. Gordon (bad pass; steal by J. Lamb),62,43
3,7:07.0,Personal foul by A. Gordon (drawn by J. Lamb),,62,43
3,6:55.0,M. Williams makes 3-pt jump shot from 23 ft (assist by K. Walker),,65,43
3,6:41.0,,E. Fournier makes 2-pt layup from 1 ft (assist by N. Vučević),65,45
3,6:29.0,K. Walker misses 3-pt jump shot from 26 ft,,65,45
3,6:26.0,,Defensive rebound by N. Vučević,65,45
3,6:13.0,,N. Vučević makes 2-pt hook shot from 6 ft,65,47
3,5:52.0,N. Batum makes 2-pt jump shot from 7 ft,,67,47
3,5:38.0,,D. Augustin misses 3-pt jump shot from 25 ft,67,47
3,5:38.0,Defensive rebound by K. Walker,,67,47
3,5:34.0,Personal take foul by J. Simmons (drawn by K. Walker),,67,47
3,5:34.0,M. Kidd-Gilchrist enters the game for J. Lamb,,67,47
3,5:34.0,M. Monk enters the game for M. Williams,,67,47
3,5:34.0,,M. Bamba enters the game for N. Vučević,67,47
3,5:29.0,Shooting foul by A. Gordon (drawn by M. Kidd-Gilchrist),,67,47
3,5:29.0,M. Kidd-Gilchrist misses free throw 1 of 2,,67,47
3,5:29.0,Offensive rebound by Team,,67,47
3,5:29.0,M. Kidd-Gilchrist makes free throw 2 of 2,,68,47
3,5:19.0,,Offensive foul by J. Simmons (drawn by K. Walker),68,47
3,5:19.0,,Turnover by J. Simmons (offensive foul),68,47
3,5:09.0,C. Zeller makes 2-pt dunk from 4 ft (assist by N. Batum),,70,47
3,4:58.0,,E. Fournier makes 2-pt layup from 4 ft (assist by D. Augustin),70,49
3,4:52.0,Turnover by M. Kidd-Gilchrist (out of bounds lost ball),,70,49
3,4:44.0,,E. Fournier misses 3-pt jump shot from 26 ft,70,49
3,4:41.0,Defensive rebound by N. Batum,,70,49
3,4:35.0,N. Batum misses 2-pt jump shot from 19 ft,,70,49
3,4:32.0,,Defensive rebound by M. Bamba,70,49
3,4:29.0,,Turnover by M. Bamba (lost ball; steal by N. Batum),70,49
3,4:25.0,N. Batum makes 2-pt layup from 2 ft,,72,49
3,4:12.0,,M. Bamba misses 3-pt jump shot from 25 ft,72,49
3,4:10.0,Defensive rebound by C. Zeller,,72,49
3,4:02.0,C. Zeller misses 2-pt layup from 5 ft (block by M. Bamba),,72,49
3,3:59.0,Offensive rebound by M. Kidd-Gilchrist,,72,49
3,3:57.0,K. Walker makes 3-pt jump shot from 27 ft (assist by M. Kidd-Gilchrist),,75,49
3,3:52.0,,Orlando full timeout,75,49
3,3:52.0,W. Hernangómez enters the game for C. Zeller,,75,49
3,3:52.0,,J. Grant enters the game for D. Augustin,75,49
3,3:52.0,,T. Ross enters the game for A. Gordon,75,49
3,3:38.0,,J. Simmons misses 3-pt jump shot from 23 ft,75,49
3,3:34.0,Defensive rebound by N. Batum,,75,49
3,3:27.0,Turnover by W. Hernangómez (traveling),,75,49
3,3:14.0,,E. Fournier misses 2-pt jump shot from 14 ft,75,49
3,3:11.0,Defensive rebound by M. Kidd-Gilchrist,,75,49
3,3:02.0,M. Monk misses 3-pt jump shot from 22 ft,,75,49
3,3:00.0,Offensive rebound by M. Kidd-Gilchrist,,75,49
3,2:52.0,Shooting foul by J. Simmons (drawn by K. Walker),,75,49
3,2:52.0,K. Walker makes free throw 1 of 3,,76,49
3,2:52.0,K. Walker makes free throw 2 of 3,,77,49
3,2:52.0,,W. Iwundu enters the game for E. Fournier,77,49
3,2:52.0,K. Walker makes free throw 3 of 3,,78,49
3,2:36.0,,W. Iwundu misses 2-pt jump shot from 14 ft,78,49
3,2:34.0,Defensive rebound by M. Kidd-Gilchrist,,78,49
3,2:21.0,M. Kidd-Gilchrist misses 3-pt jump shot from 24 ft,,78,49
3,2:21.0,Offensive rebound by Team,,78,49
3,2:21.0,,Loose ball foul by J. Grant (drawn by M. Kidd-Gilchrist),78,49
3,2:21.0,M. Kidd-Gilchrist misses free throw 1 of 2,,78,49
3,2:21.0,Offensive rebound by Team,,78,49
3,2:21.0,T. Parker enters the game for K. Walker,,78,49
3,2:21.0,M. Kidd-Gilchrist makes free throw 2 of 2,,79,49
3,2:06.0,,Personal foul by T. Parker (drawn by J. Grant),79,49
3,1:54.0,,Turnover by T. Ross (bad pass; steal by W. Hernangómez),79,49
3,1:46.0,Turnover by N. Batum (bad pass; steal by T. Ross),,79,49
3,1:43.0,,Shooting foul by W. Hernangómez (drawn by W. Iwundu),79,49
3,1:43.0,,Offensive rebound by Team,79,49
3,1:43.0,,W. Iwundu misses free throw 1 of 2,79,49
3,1:43.0,,W. Iwundu makes free throw 2 of 2,79,50
3,1:29.0,M. Kidd-Gilchrist misses 2-pt hook shot from 8 ft,,79,50
3,1:27.0,Offensive rebound by W. Hernangómez,,79,50
3,1:25.0,W. Hernangómez makes 2-pt layup from 2 ft,,81,50
3,1:14.0,,W. Iwundu makes 2-pt jump shot from 11 ft (assist by M. Bamba),81,52
3,0:58.0,N. Batum misses 3-pt jump shot from 26 ft,,81,52
3,0:55.0,,Defensive rebound by W. Iwundu,81,52
3,0:46.0,,J. Grant misses 2-pt jump shot from 14 ft,81,52
3,0:43.0,Defensive rebound by W. Hernangómez,,81,52
3,0:34.0,Personal foul by J. Grant (drawn by W. Hernangómez),,81,52
3,0:34.0,W. Hernangómez makes free throw 1 of 2,,82,52
3,0:34.0,W. Hernangómez misses free throw 2 of 2,,82,52
3,0:33.0,,Defensive rebound by M. Bamba,82,52
3,0:26.0,,Personal foul by M. Monk (drawn by T. Ross),82,52
3,0:26.0,,T. Ross makes free throw 1 of 2,82,53
3,0:26.0,,T. Ross makes free throw 2 of 2,82,54
3,0:07.0,M. Monk misses 2-pt jump shot from 13 ft,,82,54
3,0:04.0,Offensive rebound by W. Hernangómez,,82,54
3,0:01.0,M. Monk misses 3-pt jump shot from 26 ft,,82,54
3,0:00.0,Offensive rebound by W. Hernangómez,,82,54
4,11:49.0,,T. Ross makes 2-pt jump shot from 18 ft (assist by J. Grant),82,56
4,11:33.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by T. Parker),,85,56
4,11:17.0,,Shooting foul by M. Monk (drawn by T. Ross),85,56
4,11:17.0,,T. Ross makes free throw 1 of 3,85,57
4,11:17.0,,T. Ross makes free throw 2 of 3,85,58
4,11:17.0,,T. Ross makes free throw 3 of 3,85,59
4,11:00.0,M. Kidd-Gilchrist makes 2-pt jump shot from 16 ft (assist by M. Monk),,87,59
4,10:46.0,,T. Ross misses 2-pt jump shot from 18 ft,87,59
4,10:46.0,Defensive rebound by T. Parker,,87,59
4,10:37.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by T. Parker),,89,59
4,10:22.0,,T. Ross misses 2-pt jump shot from 17 ft,89,59
4,10:18.0,Defensive rebound by M. Kidd-Gilchrist,,89,59
4,10:11.0,M. Monk makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),,92,59
4,10:04.0,,Orlando full timeout,92,59
4,10:04.0,,K. Birch enters the game for M. Bamba,92,59
4,10:04.0,,I. Briscoe enters the game for J. Grant,92,59
4,9:48.0,,W. Iwundu misses 2-pt layup from 2 ft,92,59
4,9:48.0,Defensive rebound by W. Hernangómez,,92,59
4,9:28.0,M. Monk misses 2-pt jump shot from 15 ft,,92,59
4,9:24.0,,Defensive rebound by T. Ross,92,59
4,9:14.0,,T. Ross makes 2-pt jump shot from 13 ft,92,61
4,8:57.0,M. Bridges makes 2-pt layup from 1 ft (assist by W. Hernangómez),,94,61
4,8:41.0,,W. Iwundu misses 2-pt jump shot from 18 ft,94,61
4,8:38.0,Defensive rebound by M. Bridges,,94,61
4,8:31.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by T. Parker),,97,61
4,8:19.0,,I. Briscoe makes 2-pt layup from 2 ft,97,63
4,8:02.0,T. Parker misses 2-pt layup from 2 ft,,97,63
4,7:59.0,,Defensive rebound by J. Martin,97,63
4,7:57.0,,Shooting foul by W. Hernangómez (drawn by W. Iwundu),97,63
4,7:57.0,D. Bacon enters the game for W. Hernangómez,,97,63
4,7:57.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,97,63
4,7:57.0,,J. Grant enters the game for T. Ross,97,63
4,7:57.0,,W. Iwundu makes free throw 1 of 2,97,64
4,7:57.0,Charlotte full timeout,,97,64
4,7:57.0,M. Kidd-Gilchrist enters the game for M. Monk,,97,64
4,7:57.0,,W. Iwundu makes free throw 2 of 2,97,65
4,7:46.0,M. Kidd-Gilchrist makes 2-pt hook shot from 8 ft (assist by T. Parker),,99,65
4,7:31.0,,Personal foul by D. Bacon (drawn by J. Grant),99,65
4,7:23.0,,J. Martin makes 2-pt jump shot from 21 ft (assist by I. Briscoe),99,67
4,7:05.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),,102,67
4,6:46.0,,W. Iwundu misses 2-pt jump shot from 19 ft,102,67
4,6:44.0,Defensive rebound by T. Parker,,102,67
4,6:29.0,F. Kaminsky makes 2-pt layup from 2 ft (assist by T. Parker),,104,67
4,6:10.0,,K. Birch misses 2-pt hook shot from 7 ft,104,67
4,6:08.0,Defensive rebound by M. Kidd-Gilchrist,,104,67
4,5:54.0,M. Kidd-Gilchrist misses 3-pt jump shot from 23 ft,,104,67
4,5:51.0,,Defensive rebound by W. Iwundu,104,67
4,5:47.0,,W. Iwundu makes 2-pt layup from 1 ft,104,69
4,5:33.0,T. Parker misses 2-pt jump shot from 18 ft,,104,69
4,5:30.0,,Defensive rebound by J. Grant,104,69
4,5:25.0,,W. Iwundu misses 3-pt jump shot from 23 ft,104,69
4,5:22.0,Defensive rebound by M. Bridges,,104,69
4,5:06.0,M. Bridges makes 2-pt dunk from 1 ft (assist by D. Bacon),,106,69
4,5:02.0,,Personal foul by T. Parker (drawn by J. Martin),106,69
4,5:02.0,B. Biyombo enters the game for M. Kidd-Gilchrist,,106,69
4,5:02.0,M. Monk enters the game for T. Parker,,106,69
4,4:50.0,,W. Iwundu misses 3-pt jump shot from 26 ft,106,69
4,4:42.0,Defensive rebound by M. Monk,,106,69
4,4:38.0,D. Bacon misses 2-pt jump shot from 13 ft,,106,69
4,4:35.0,,Defensive rebound by J. Martin,106,69
