QUARTER,TIME_REMAINING,ORLANDO_ACTION,GOLDEN STATE_ACTION,ORLANDO_SCORE,GOLDEN STATE_SCORE
1,3:28.0,Shooting foul by K. Durant (drawn by N. Vučević),,18,16
1,3:28.0,N. Vučević makes free throw 1 of 2,,19,16
1,3:28.0,W. Iwundu enters the game for A. Gordon,,19,16
1,3:28.0,N. Vučević makes free throw 2 of 2,,20,16
1,3:14.0,,K. Thompson misses 2-pt jump shot from 19 ft,20,16
1,3:13.0,Defensive rebound by N. Vučević,,20,16
1,3:01.0,T. Ross makes 3-pt jump shot from 26 ft,,23,16
1,2:46.0,,K. Durant misses 2-pt layup from 3 ft,23,16
1,2:45.0,,Offensive rebound by K. Looney,23,16
1,2:45.0,,K. Looney makes 2-pt layup from 1 ft,23,18
1,2:28.0,W. Iwundu makes 2-pt layup from 3 ft (assist by N. Vučević),,25,18
1,2:21.0,,K. Durant makes 3-pt jump shot from 27 ft,25,21
1,1:57.0,T. Ross misses 3-pt jump shot from 29 ft,,25,21
1,1:55.0,,Defensive rebound by K. Looney,25,21
1,1:47.0,,Personal foul by J. Isaac (drawn by K. Durant),25,21
1,1:47.0,,K. Durant makes free throw 1 of 2,25,22
1,1:47.0,M. Bamba enters the game for N. Vučević,,25,22
1,1:47.0,,D. Lee enters the game for K. Thompson,25,22
1,1:47.0,,K. Durant makes free throw 2 of 2,25,23
1,1:27.0,Turnover by T. Ross (lost ball; steal by K. Looney),,25,23
1,1:18.0,,D. Lee makes 3-pt jump shot from 27 ft (assist by K. Durant),25,26
1,1:03.0,J. Isaac misses 2-pt jump shot from 22 ft,,25,26
1,1:01.0,,Defensive rebound by K. Looney,25,26
1,0:44.0,,Turnover by J. Jerebko (bad pass; steal by W. Iwundu),25,26
1,0:42.0,Personal foul by S. Livingston (drawn by W. Iwundu),,25,26
1,0:30.0,Turnover by J. Isaac (lost ball; steal by J. Jerebko),,25,26
1,0:28.0,,Turnover by J. Jerebko (bad pass; steal by J. Grant),25,26
1,0:08.0,J. Grant misses 3-pt jump shot from 26 ft,,25,26
1,0:00.0,,Defensive rebound by D. Lee,25,26
2,11:42.0,,Shooting foul by J. Grant (drawn by S. Livingston),25,26
2,11:42.0,,S. Livingston makes free throw 1 of 2,25,27
2,11:42.0,,S. Livingston makes free throw 2 of 2,25,28
2,11:26.0,E. Fournier makes 2-pt layup from 3 ft (assist by T. Ross),,27,28
2,11:11.0,,J. Jerebko misses 3-pt jump shot from 26 ft,27,28
2,11:09.0,,Offensive rebound by D. Lee,27,28
2,11:02.0,,K. Thompson misses 3-pt jump shot from 25 ft,27,28
2,11:00.0,,Offensive rebound by J. Jerebko,27,28
2,10:51.0,,Turnover by D. Lee (bad pass; steal by T. Ross),27,28
2,10:50.0,T. Ross makes 2-pt layup from 2 ft,,29,28
2,10:50.0,,Violation by Team (def goaltending),29,28
2,10:34.0,,K. Thompson misses 2-pt jump shot from 16 ft,29,28
2,10:33.0,Defensive rebound by J. Isaac,,29,28
2,10:19.0,M. Bamba makes 2-pt jump shot from 7 ft (assist by E. Fournier),,31,28
2,10:19.0,Shooting foul by J. Jerebko (drawn by M. Bamba),,31,28
2,10:19.0,M. Bamba makes free throw 1 of 1,,32,28
2,10:03.0,,J. Bell makes 2-pt dunk from 2 ft (assist by J. Jerebko),32,30
2,9:54.0,,Violation by Team (kicked ball),32,30
2,9:35.0,M. Bamba makes 3-pt jump shot from 22 ft (assist by J. Grant),,35,30
2,9:26.0,Violation by Team (kicked ball),,35,30
2,9:18.0,,Shooting foul by T. Ross (drawn by J. Jerebko),35,30
2,9:18.0,,J. Jerebko makes free throw 1 of 2,35,31
2,9:18.0,,J. Jerebko makes free throw 2 of 2,35,32
2,9:10.0,Personal foul by D. Lee (drawn by T. Ross),,35,32
2,9:00.0,Shooting foul by D. Lee (drawn by T. Ross),,35,32
2,9:00.0,T. Ross misses free throw 1 of 3,,35,32
2,9:00.0,Offensive rebound by Team,,35,32
2,9:00.0,T. Ross makes free throw 2 of 3,,36,32
2,9:00.0,,Q. Cook enters the game for D. Lee,36,32
2,9:00.0,T. Ross makes free throw 3 of 3,,37,32
2,8:43.0,,S. Livingston misses 2-pt layup from 3 ft (block by M. Bamba),37,32
2,8:42.0,Defensive rebound by M. Bamba,,37,32
2,8:37.0,T. Ross makes 2-pt jump shot from 20 ft,,39,32
2,8:19.0,,K. Thompson makes 2-pt jump shot from 21 ft (assist by J. Bell),39,34
2,8:03.0,J. Isaac misses 2-pt jump shot from 7 ft (block by J. Bell),,39,34
2,8:02.0,Offensive rebound by Team,,39,34
2,8:02.0,A. Gordon enters the game for J. Isaac,,39,34
2,8:02.0,,A. Iguodala enters the game for S. Livingston,39,34
2,7:58.0,A. Gordon misses 2-pt hook shot from 5 ft,,39,34
2,7:57.0,,Defensive rebound by A. Iguodala,39,34
2,7:50.0,,Personal foul by J. Grant (drawn by Q. Cook),39,34
2,7:50.0,,K. Durant enters the game for K. Thompson,39,34
2,7:34.0,,Turnover by Team (shot clock),39,34
2,7:18.0,M. Bamba misses 2-pt layup from 8 ft,,39,34
2,7:17.0,,Defensive rebound by J. Bell,39,34
2,7:12.0,,K. Durant makes 2-pt dunk at rim (assist by J. Bell),39,36
2,6:52.0,E. Fournier misses 2-pt jump shot from 6 ft,,39,36
2,6:51.0,,Defensive rebound by J. Bell,39,36
2,6:41.0,,Q. Cook misses 2-pt layup from 7 ft,39,36
2,6:40.0,Defensive rebound by M. Bamba,,39,36
2,6:29.0,E. Fournier makes 3-pt jump shot from 23 ft (assist by J. Grant),,42,36
2,6:26.0,,Golden State full timeout,42,36
2,6:26.0,D. Augustin enters the game for J. Grant,,42,36
2,6:26.0,J. Simmons enters the game for T. Ross,,42,36
2,6:26.0,,D. Lee enters the game for J. Jerebko,42,36
2,6:13.0,,Q. Cook misses 3-pt jump shot from 26 ft,42,36
2,6:11.0,Defensive rebound by M. Bamba,,42,36
2,5:59.0,M. Bamba makes 2-pt layup from 1 ft (assist by D. Augustin),,44,36
2,5:44.0,,D. Lee makes 2-pt jump shot from 10 ft (assist by A. Iguodala),44,38
2,5:28.0,Shooting foul by Q. Cook (drawn by D. Augustin),,44,38
2,5:28.0,D. Augustin makes free throw 1 of 2,,45,38
2,5:28.0,N. Vučević enters the game for M. Bamba,,45,38
2,5:28.0,,K. Looney enters the game for J. Bell,45,38
2,5:28.0,,K. Thompson enters the game for Q. Cook,45,38
2,5:28.0,D. Augustin makes free throw 2 of 2,,46,38
2,5:20.0,,K. Thompson misses 2-pt jump shot from 13 ft (block by A. Gordon),46,38
2,5:19.0,,Offensive rebound by Team,46,38
2,5:14.0,,K. Durant misses 2-pt jump shot from 14 ft,46,38
2,5:13.0,Defensive rebound by E. Fournier,,46,38
2,5:03.0,N. Vučević misses 2-pt jump shot from 15 ft,,46,38
2,5:02.0,,Defensive rebound by K. Thompson,46,38
2,4:44.0,,Offensive foul by K. Looney (drawn by D. Augustin),46,38
2,4:44.0,,Turnover by K. Looney (offensive foul),46,38
2,4:44.0,J. Isaac enters the game for E. Fournier,,46,38
2,4:29.0,N. Vučević makes 2-pt hook shot from 7 ft (assist by D. Augustin),,48,38
2,4:16.0,,D. Lee misses 3-pt jump shot from 23 ft,48,38
2,4:14.0,,Offensive rebound by K. Looney,48,38
2,4:14.0,,Personal foul by J. Simmons (drawn by K. Looney),48,38
2,4:14.0,T. Ross enters the game for J. Simmons,,48,38
2,4:09.0,,K. Durant makes 2-pt jump shot from 17 ft,48,40
2,3:56.0,D. Augustin misses 3-pt jump shot from 27 ft,,48,40
2,3:54.0,,Defensive rebound by D. Lee,48,40
2,3:46.0,,K. Thompson misses 2-pt jump shot from 10 ft,48,40
2,3:45.0,Defensive rebound by N. Vučević,,48,40
2,3:37.0,N. Vučević makes 3-pt jump shot from 28 ft (assist by D. Augustin),,51,40
2,3:20.0,,K. Durant misses 3-pt jump shot from 26 ft,51,40
2,3:18.0,Defensive rebound by N. Vučević,,51,40
2,3:14.0,T. Ross makes 3-pt jump shot from 28 ft (assist by D. Augustin),,54,40
2,3:14.0,Shooting foul by K. Durant (drawn by T. Ross),,54,40
2,3:14.0,,Q. Cook enters the game for D. Lee,54,40
2,3:14.0,T. Ross makes free throw 1 of 1,,55,40
2,3:02.0,,K. Thompson misses 3-pt jump shot from 27 ft,55,40
2,3:00.0,Defensive rebound by A. Gordon,,55,40
2,2:53.0,T. Ross makes 3-pt jump shot from 23 ft (assist by D. Augustin),,58,40
2,2:49.0,,Golden State full timeout,58,40
2,2:49.0,,S. Livingston enters the game for A. Iguodala,58,40
2,2:36.0,,Shooting foul by N. Vučević (drawn by K. Durant),58,40
2,2:36.0,,K. Durant makes free throw 1 of 2,58,41
2,2:36.0,,K. Durant makes free throw 2 of 2,58,42
2,2:22.0,Turnover by D. Augustin (bad pass; steal by Q. Cook),,58,42
2,2:16.0,,Turnover by K. Durant (bad pass),58,42
2,2:01.0,J. Isaac misses 2-pt jump shot from 20 ft,,58,42
2,2:00.0,,Defensive rebound by Q. Cook,58,42
2,1:50.0,,K. Durant misses 2-pt jump shot from 8 ft,58,42
2,1:49.0,Defensive rebound by N. Vučević,,58,42
2,1:39.0,D. Augustin makes 2-pt layup from 3 ft,,60,42
2,1:17.0,,K. Durant makes 2-pt jump shot from 17 ft,60,44
2,0:50.0,D. Augustin makes 2-pt layup from 2 ft,,62,44
2,0:44.0,,Q. Cook misses 3-pt jump shot from 23 ft,62,44
2,0:42.0,Defensive rebound by J. Isaac,,62,44
2,0:33.0,N. Vučević misses 3-pt jump shot from 26 ft,,62,44
2,0:31.0,,Defensive rebound by K. Thompson,62,44
2,0:17.0,,K. Durant makes 3-pt jump shot from 27 ft,62,47
2,0:04.0,D. Augustin misses 2-pt layup from 3 ft,,62,47
2,0:03.0,Offensive rebound by N. Vučević,,62,47
2,0:03.0,N. Vučević makes 2-pt layup at rim,,64,47
3,11:37.0,,Q. Cook misses 2-pt jump shot from 20 ft,64,47
3,11:35.0,Defensive rebound by A. Gordon,,64,47
3,11:17.0,E. Fournier misses 2-pt jump shot from 22 ft,,64,47
3,11:16.0,,Defensive rebound by Team,64,47
3,10:54.0,,D. Jones makes 2-pt dunk from 1 ft (assist by K. Durant),64,49
3,10:33.0,N. Vučević makes 2-pt jump shot from 16 ft (assist by A. Gordon),,66,49
3,10:16.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by Q. Cook),66,51
3,10:00.0,J. Simmons misses 3-pt jump shot from 27 ft,,66,51
3,9:58.0,,Defensive rebound by K. Thompson,66,51
3,9:50.0,,K. Durant misses 3-pt jump shot from 28 ft,66,51
3,9:48.0,Defensive rebound by D. Augustin,,66,51
3,9:39.0,N. Vučević makes 2-pt layup from 3 ft (assist by D. Augustin),,68,51
3,9:25.0,,Turnover by K. Thompson (bad pass; steal by A. Gordon),68,51
3,9:22.0,Turnover by A. Gordon (bad pass),,68,51
3,9:11.0,,K. Durant makes 2-pt jump shot from 14 ft,68,53
3,8:51.0,A. Gordon misses 3-pt jump shot from 26 ft,,68,53
3,8:49.0,,Defensive rebound by D. Jones,68,53
3,8:42.0,,Q. Cook misses 2-pt jump shot from 13 ft,68,53
3,8:41.0,,Offensive rebound by D. Jones,68,53
3,8:29.0,,K. Durant misses 3-pt jump shot from 25 ft,68,53
3,8:27.0,Defensive rebound by D. Augustin,,68,53
3,8:21.0,Personal foul by K. Thompson (drawn by D. Augustin),,68,53
3,8:19.0,Personal foul by Q. Cook (drawn by D. Augustin),,68,53
3,8:12.0,Turnover by D. Augustin (bad pass; steal by A. Iguodala),,68,53
3,7:59.0,,K. Thompson misses 2-pt jump shot from 13 ft,68,53
3,7:58.0,Defensive rebound by J. Simmons,,68,53
3,7:50.0,E. Fournier misses 2-pt layup from 2 ft (block by K. Thompson),,68,53
3,7:49.0,,Defensive rebound by D. Jones,68,53
3,7:43.0,,K. Durant makes 2-pt jump shot from 4 ft,68,55
3,7:25.0,N. Vučević misses 3-pt jump shot from 27 ft,,68,55
3,7:23.0,,Defensive rebound by Q. Cook,68,55
3,7:12.0,,Turnover by K. Durant (bad pass; steal by E. Fournier),68,55
3,7:06.0,E. Fournier misses 3-pt jump shot from 27 ft,,68,55
3,7:04.0,Offensive rebound by N. Vučević,,68,55
3,6:57.0,N. Vučević makes 2-pt hook shot from 7 ft (assist by J. Simmons),,70,55
3,6:36.0,,Q. Cook makes 3-pt jump shot from 26 ft (assist by K. Durant),70,58
3,6:35.0,Orlando full timeout,,70,58
3,6:35.0,J. Isaac enters the game for A. Gordon,,70,58
3,6:22.0,J. Isaac makes 3-pt jump shot from 23 ft (assist by J. Simmons),,73,58
3,6:13.0,,Turnover by D. Jones (lost ball; steal by J. Isaac),73,58
3,6:00.0,J. Isaac makes 2-pt layup from 3 ft,,75,58
3,6:00.0,Shooting foul by D. Jones (drawn by J. Isaac),,75,58
3,6:00.0,J. Isaac makes free throw 1 of 1,,76,58
3,5:38.0,,Turnover by K. Durant (lost ball; steal by D. Augustin),76,58
3,5:35.0,E. Fournier misses 2-pt layup from 2 ft (block by K. Durant),,76,58
3,5:34.0,,Defensive rebound by A. Iguodala,76,58
3,5:30.0,,A. Iguodala makes 2-pt jump shot from 15 ft,76,60
3,5:02.0,D. Augustin misses 2-pt jump shot from 14 ft,,76,60
3,5:01.0,,Defensive rebound by K. Durant,76,60
3,4:56.0,,K. Durant makes 2-pt layup from 2 ft,76,62
3,4:40.0,J. Isaac makes 3-pt jump shot from 23 ft (assist by N. Vučević),,79,62
3,4:26.0,,Turnover by K. Durant (bad pass; steal by N. Vučević),79,62
3,4:22.0,Turnover by D. Augustin (bad pass; steal by K. Durant),,79,62
3,4:15.0,,Q. Cook makes 3-pt jump shot from 23 ft (assist by K. Thompson),79,65
3,3:55.0,J. Simmons misses 2-pt jump shot from 8 ft (block by Q. Cook),,79,65
3,3:55.0,Offensive rebound by Team,,79,65
3,3:55.0,J. Grant enters the game for D. Augustin,,79,65
3,3:55.0,T. Ross enters the game for J. Simmons,,79,65
3,3:55.0,,J. Jerebko enters the game for Q. Cook,79,65
3,3:55.0,,K. Looney enters the game for D. Jones,79,65
3,3:45.0,N. Vučević misses 2-pt jump shot from 18 ft,,79,65
3,3:44.0,,Defensive rebound by J. Jerebko,79,65
3,3:38.0,,Shooting foul by J. Isaac (drawn by K. Durant),79,65
3,3:38.0,,K. Durant makes free throw 1 of 2,79,66
3,3:38.0,,D. Lee enters the game for A. Iguodala,79,66
3,3:38.0,,S. Livingston enters the game for K. Thompson,79,66
3,3:38.0,,K. Durant makes free throw 2 of 2,79,67
3,3:21.0,Personal foul by J. Jerebko (drawn by N. Vučević),,79,67
3,3:17.0,J. Isaac makes 2-pt jump shot from 8 ft,,81,67
3,3:03.0,,K. Durant makes 2-pt jump shot from 15 ft,81,69
3,2:40.0,E. Fournier misses 3-pt jump shot from 25 ft,,81,69
3,2:38.0,,Defensive rebound by K. Durant,81,69
3,2:32.0,,K. Durant misses 3-pt jump shot from 26 ft,81,69
3,2:30.0,,Offensive rebound by Team,81,69
3,2:30.0,Loose ball foul by J. Grant (drawn by S. Livingston),,81,69
3,2:30.0,,Golden State full timeout,81,69
3,2:27.0,,D. Lee misses 3-pt jump shot from 28 ft,81,69
3,2:25.0,,Offensive rebound by S. Livingston,81,69
3,2:20.0,,D. Lee makes 2-pt jump shot from 11 ft (assist by S. Livingston),81,71
3,2:00.0,E. Fournier misses 2-pt jump shot from 15 ft,,81,71
3,1:59.0,,Defensive rebound by J. Jerebko,81,71
3,1:51.0,,Shooting foul by E. Fournier (drawn by K. Looney),81,71
3,1:51.0,,K. Looney makes free throw 1 of 2,81,72
3,1:51.0,M. Bamba enters the game for N. Vučević,,81,72
3,1:51.0,,K. Looney makes free throw 2 of 2,81,73
3,1:33.0,E. Fournier misses 2-pt jump shot from 7 ft,,81,73
3,1:31.0,,Defensive rebound by K. Looney,81,73
3,1:25.0,,K. Durant misses 3-pt jump shot from 26 ft,81,73
3,1:23.0,,Offensive rebound by S. Livingston,81,73
3,1:20.0,,D. Lee misses 3-pt jump shot from 25 ft,81,73
3,1:18.0,,Offensive rebound by J. Jerebko,81,73
3,1:08.0,,J. Jerebko makes 2-pt layup from 2 ft,81,75
3,0:59.0,Turnover by J. Grant (lost ball; steal by S. Livingston),,81,75
3,0:55.0,,Shooting foul by T. Ross (drawn by K. Durant),81,75
3,0:55.0,,K. Durant makes free throw 1 of 2,81,76
3,0:55.0,J. Simmons enters the game for E. Fournier,,81,76
3,0:55.0,,K. Durant makes free throw 2 of 2,81,77
3,0:38.0,T. Ross misses 2-pt jump shot from 19 ft,,81,77
3,0:36.0,Offensive rebound by Team,,81,77
3,0:31.0,T. Ross makes 2-pt jump shot from 16 ft (assist by J. Grant),,83,77
3,0:11.0,,Shooting foul by J. Isaac (drawn by K. Durant),83,77
3,0:11.0,,K. Durant makes free throw 1 of 2,83,78
3,0:11.0,,J. Bell enters the game for J. Jerebko,83,78
3,0:11.0,,A. Iguodala enters the game for D. Lee,83,78
3,0:11.0,,K. Durant makes free throw 2 of 2,83,79
3,0:04.0,J. Simmons misses 2-pt jump shot from 8 ft,,83,79
3,0:03.0,Offensive rebound by M. Bamba,,83,79
3,0:03.0,M. Bamba misses 2-pt layup from 1 ft,,83,79
3,0:02.0,,Defensive rebound by S. Livingston,83,79
3,0:00.0,,S. Livingston misses 3-pt jump shot from 57 ft,83,79
3,0:00.0,,Offensive rebound by Team,83,79
4,11:39.0,Turnover by J. Isaac (bad pass),,83,79
4,11:25.0,,K. Thompson misses 2-pt jump shot from 19 ft,83,79
4,11:24.0,Defensive rebound by M. Bamba,,83,79
4,11:16.0,T. Ross makes 2-pt jump shot from 15 ft,,85,79
4,10:59.0,,Turnover by J. Jerebko (bad pass; steal by J. Simmons),85,79
4,10:52.0,J. Isaac misses 2-pt layup from 4 ft,,85,79
4,10:51.0,,Defensive rebound by J. Bell,85,79
4,10:45.0,,Turnover by J. Bell (lost ball; steal by T. Ross),85,79
4,10:35.0,M. Bamba makes 3-pt jump shot from 24 ft (assist by J. Simmons),,88,79
4,10:18.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Livingston),88,82
4,10:01.0,J. Simmons misses 2-pt jump shot from 7 ft (block by K. Thompson),,88,82
4,10:01.0,Offensive rebound by Team,,88,82
4,9:58.0,T. Ross misses 3-pt jump shot from 27 ft,,88,82
4,9:56.0,,Defensive rebound by K. Thompson,88,82
4,9:50.0,,K. Thompson makes 3-pt jump shot from 26 ft,88,85
4,9:35.0,J. Isaac makes 3-pt jump shot from 28 ft (assist by M. Bamba),,91,85
4,9:19.0,,Personal foul by J. Grant (drawn by J. Jerebko),91,85
4,9:19.0,J. Martin enters the game for J. Isaac,,91,85
4,9:19.0,,Q. Cook enters the game for D. Lee,91,85
4,9:14.0,,K. Thompson misses 3-pt jump shot from 27 ft,91,85
4,9:12.0,Defensive rebound by J. Martin,,91,85
4,9:03.0,T. Ross misses 2-pt jump shot from 17 ft,,91,85
4,9:02.0,Offensive rebound by M. Bamba,,91,85
4,8:55.0,Shooting foul by S. Livingston (drawn by T. Ross),,91,85
4,8:55.0,T. Ross makes free throw 1 of 3,,92,85
4,8:55.0,T. Ross makes free throw 2 of 3,,93,85
4,8:55.0,T. Ross makes free throw 3 of 3,,94,85
4,8:42.0,,J. Jerebko misses 3-pt jump shot from 23 ft,94,85
4,8:41.0,,Offensive rebound by J. Bell,94,85
4,8:41.0,,J. Bell makes 2-pt dunk at rim,94,87
4,8:18.0,J. Grant misses 3-pt jump shot from 28 ft,,94,87
4,8:16.0,,Defensive rebound by J. Jerebko,94,87
4,8:08.0,,K. Thompson makes 2-pt jump shot from 19 ft,94,89
4,7:53.0,T. Ross misses 2-pt jump shot from 13 ft,,94,89
4,7:52.0,,Defensive rebound by Team,94,89
4,7:52.0,Loose ball foul by M. Bamba (drawn by J. Jerebko),,94,89
4,7:52.0,J. Isaac enters the game for J. Martin,,94,89
4,7:52.0,,K. Durant enters the game for J. Jerebko,94,89
4,7:41.0,,K. Durant makes 3-pt jump shot from 27 ft (assist by Q. Cook),94,92
4,7:20.0,T. Ross makes 3-pt jump shot from 26 ft,,97,92
4,7:01.0,,K. Thompson makes 2-pt layup from 2 ft (assist by Q. Cook),97,94
4,6:45.0,Shooting foul by J. Bell (drawn by J. Isaac),,97,94
4,6:45.0,,Golden State full timeout,97,94
4,6:45.0,D. Augustin enters the game for M. Bamba,,97,94
4,6:45.0,N. Vučević enters the game for J. Grant,,97,94
4,6:45.0,,A. Iguodala enters the game for J. Bell,97,94
4,6:45.0,,K. Looney enters the game for S. Livingston,97,94
4,6:45.0,J. Isaac misses free throw 1 of 2,,97,94
4,6:45.0,Offensive rebound by Team,,97,94
4,6:45.0,J. Isaac makes free throw 2 of 2,,98,94
4,6:35.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),98,97
4,6:16.0,N. Vučević makes 2-pt hook shot from 10 ft (assist by J. Simmons),,100,97
4,6:02.0,,K. Durant misses 2-pt jump shot from 12 ft,100,97
4,6:01.0,,Offensive rebound by K. Looney,100,97
4,5:58.0,,K. Looney makes 2-pt dunk from 2 ft,100,99
4,5:36.0,Turnover by N. Vučević (lost ball),,100,99
4,5:36.0,Loose ball foul by D. Augustin (drawn by A. Iguodala),,100,99
4,5:36.0,E. Fournier enters the game for T. Ross,,100,99
4,5:26.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),100,102
4,4:58.0,Shooting foul by K. Durant (drawn by J. Simmons),,100,102
4,4:58.0,J. Simmons misses free throw 1 of 2,,100,102
4,4:58.0,Offensive rebound by Team,,100,102
4,4:58.0,J. Simmons misses free throw 2 of 2,,100,102
4,4:57.0,,Defensive rebound by A. Iguodala,100,102
4,4:43.0,,K. Durant misses 3-pt jump shot from 27 ft,100,102
4,4:41.0,Defensive rebound by J. Isaac,,100,102
4,4:31.0,N. Vučević misses 2-pt hook shot from 6 ft,,100,102
4,4:30.0,,Defensive rebound by Q. Cook,100,102
4,4:15.0,,K. Thompson misses 3-pt jump shot from 27 ft,100,102
4,4:13.0,Defensive rebound by J. Isaac,,100,102
4,3:57.0,D. Augustin misses 2-pt jump shot from 22 ft,,100,102
4,3:56.0,Offensive rebound by N. Vučević,,100,102
4,3:54.0,Personal foul by K. Durant (drawn by J. Isaac),,100,102
4,3:44.0,N. Vučević misses 2-pt jump shot from 11 ft,,100,102
4,3:43.0,,Defensive rebound by K. Durant,100,102
4,3:30.0,,Turnover by K. Looney (lost ball; steal by D. Augustin),100,102
4,3:23.0,Orlando full timeout,,100,102
4,3:23.0,T. Ross enters the game for J. Simmons,,100,102
4,3:11.0,N. Vučević misses 2-pt jump shot from 8 ft (block by K. Durant),,100,102
4,3:10.0,Offensive rebound by Team,,100,102
4,3:10.0,Orlando full timeout,,100,102
4,3:08.0,N. Vučević makes 2-pt hook shot from 12 ft (assist by T. Ross),,102,102
