QUARTER,TIME_REMAINING,UTAH_ACTION,MEMPHIS_ACTION,UTAH_SCORE,MEMPHIS_SCORE
1,0:00.0,J. Crowder misses 3-pt jump shot from 26 ft,,20,16
1,0:00.0,Offensive rebound by Team,,20,16
2,11:40.0,,J. Jackson misses 2-pt jump shot from 2 ft,20,16
2,11:35.0,Defensive rebound by R. O'Neale,,20,16
2,11:31.0,D. Mitchell misses 2-pt jump shot from 19 ft,,20,16
2,11:28.0,,Defensive rebound by J. Jackson,20,16
2,11:18.0,,M. Brooks makes 2-pt jump shot from 6 ft,20,18
2,11:03.0,D. Exum misses 3-pt jump shot from 26 ft,,20,18
2,11:00.0,,Defensive rebound by J. Jackson,20,18
2,10:55.0,,Personal foul by R. O'Neale (drawn by J. Jackson),20,18
2,10:51.0,,J. Jackson misses 2-pt layup from 2 ft,20,18
2,10:49.0,Defensive rebound by D. Mitchell,,20,18
2,10:45.0,D. Mitchell makes 2-pt layup from 1 ft,,22,18
2,10:23.0,,J. Jackson makes 2-pt jump shot from 6 ft (assist by S. Mack),22,20
2,10:04.0,R. O'Neale makes 2-pt layup from 1 ft (assist by D. Exum),,24,20
2,9:53.0,,M. Conley makes 2-pt layup from 1 ft (assist by J. Jackson),24,22
2,9:38.0,Shooting foul by W. Selden (drawn by D. Exum),,24,22
2,9:38.0,D. Exum misses free throw 1 of 2,,24,22
2,9:38.0,Offensive rebound by Team,,24,22
2,9:38.0,G. Niang enters the game for J. Crowder,,24,22
2,9:38.0,,G. Temple enters the game for S. Mack,24,22
2,9:38.0,D. Exum makes free throw 2 of 2,,25,22
2,9:24.0,,M. Brooks misses 2-pt jump shot from 5 ft,25,22
2,9:21.0,Defensive rebound by R. Gobert,,25,22
2,9:13.0,Offensive foul by R. O'Neale (drawn by G. Temple),,25,22
2,9:13.0,Turnover by R. O'Neale (offensive foul),,25,22
2,8:55.0,,Shooting foul by G. Niang (drawn by W. Selden),25,22
2,8:55.0,,W. Selden makes free throw 1 of 2,25,23
2,8:55.0,,W. Selden makes free throw 2 of 2,25,24
2,8:45.0,Personal foul by W. Selden (drawn by D. Mitchell),,25,24
2,8:45.0,R. Rubio enters the game for D. Exum,,25,24
2,8:40.0,D. Mitchell misses 3-pt jump shot from 26 ft,,25,24
2,8:36.0,,Defensive rebound by M. Brooks,25,24
2,8:31.0,,M. Brooks misses 2-pt jump shot from 17 ft,25,24
2,8:30.0,Defensive rebound by R. Gobert,,25,24
2,8:11.0,D. Mitchell misses 2-pt layup from 2 ft (block by M. Brooks),,25,24
2,8:08.0,,Defensive rebound by J. Jackson,25,24
2,8:03.0,,Turnover by W. Selden (bad pass; steal by R. O'Neale),25,24
2,7:59.0,R. O'Neale misses 3-pt jump shot from 25 ft,,25,24
2,7:57.0,Loose ball foul by R. Gobert (drawn by J. Jackson),,25,24
2,7:57.0,,Defensive rebound by Team,25,24
2,7:57.0,A. Burks enters the game for R. Gobert,,25,24
2,7:57.0,D. Favors enters the game for D. Mitchell,,25,24
2,7:57.0,J. Ingles enters the game for R. O'Neale,,25,24
2,7:57.0,,M. Gasol enters the game for J. Jackson,25,24
2,7:45.0,,Offensive foul by M. Gasol (drawn by R. Rubio),25,24
2,7:45.0,,Turnover by M. Gasol (offensive foul),25,24
2,7:30.0,G. Niang makes 2-pt jump shot from 9 ft (assist by D. Favors),,27,24
2,7:20.0,,M. Conley makes 2-pt layup from 1 ft,27,26
2,7:01.0,A. Burks makes 2-pt jump shot from 22 ft,,29,26
2,6:45.0,,W. Selden misses 3-pt jump shot from 25 ft,29,26
2,6:42.0,Defensive rebound by A. Burks,,29,26
2,6:38.0,R. Rubio misses 2-pt layup from 2 ft,,29,26
2,6:33.0,,Defensive rebound by M. Gasol,29,26
2,6:32.0,,M. Brooks makes 3-pt jump shot from 26 ft (assist by W. Selden),29,29
2,6:31.0,Utah full timeout,,29,29
2,6:31.0,,K. Anderson enters the game for M. Conley,29,29
2,6:31.0,,S. Mack enters the game for W. Selden,29,29
2,6:19.0,Turnover by G. Niang (lost ball; steal by S. Mack),,29,29
2,6:03.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by M. Brooks),29,31
2,5:45.0,R. Rubio misses 2-pt jump shot from 20 ft,,29,31
2,5:42.0,,Defensive rebound by K. Anderson,29,31
2,5:37.0,,M. Gasol misses 3-pt jump shot from 29 ft,29,31
2,5:33.0,,Offensive rebound by K. Anderson,29,31
2,5:33.0,,K. Anderson makes 2-pt layup at rim,29,33
2,5:20.0,Personal foul by G. Temple (drawn by J. Ingles),,29,33
2,5:20.0,J. Crowder enters the game for D. Favors,,29,33
2,5:20.0,E. Udoh enters the game for G. Niang,,29,33
2,5:08.0,R. Rubio misses 3-pt jump shot from 25 ft,,29,33
2,5:04.0,Offensive rebound by R. Rubio,,29,33
2,5:04.0,R. Rubio makes 2-pt jump shot from 13 ft,,31,33
2,4:43.0,,G. Temple misses 2-pt layup from 2 ft (block by E. Udoh),31,33
2,4:39.0,,Offensive rebound by K. Anderson,31,33
2,4:39.0,,K. Anderson makes 2-pt layup from 1 ft,31,35
2,4:24.0,A. Burks misses 2-pt layup from 2 ft (block by M. Gasol),,31,35
2,4:20.0,Offensive rebound by E. Udoh,,31,35
2,4:20.0,E. Udoh makes 2-pt layup at rim,,33,35
2,4:04.0,,Shooting foul by J. Ingles (drawn by K. Anderson),33,35
2,4:04.0,,K. Anderson misses free throw 1 of 2,33,35
2,4:04.0,,Offensive rebound by Team,33,35
2,4:04.0,D. Favors enters the game for A. Burks,,33,35
2,4:04.0,D. Mitchell enters the game for E. Udoh,,33,35
2,4:04.0,,M. Conley enters the game for M. Brooks,33,35
2,4:04.0,,K. Anderson makes free throw 2 of 2,33,36
2,3:46.0,R. Rubio misses 2-pt layup from 7 ft (block by S. Mack),,33,36
2,3:45.0,Offensive rebound by Team,,33,36
2,3:42.0,Turnover by D. Mitchell (traveling),,33,36
2,3:19.0,,K. Anderson misses 2-pt jump shot from 21 ft,33,36
2,3:16.0,Defensive rebound by J. Ingles,,33,36
2,3:05.0,Turnover by J. Ingles (bad pass; steal by K. Anderson),,33,36
2,2:57.0,,M. Gasol misses 3-pt jump shot from 26 ft,33,36
2,2:54.0,Defensive rebound by R. Rubio,,33,36
2,2:41.0,Turnover by J. Crowder (bad pass; steal by S. Mack),,33,36
2,2:31.0,,M. Conley misses 2-pt jump shot from 10 ft,33,36
2,2:26.0,Defensive rebound by J. Crowder,,33,36
2,2:15.0,Shooting foul by K. Anderson (drawn by D. Mitchell),,33,36
2,2:15.0,,Memphis full timeout,33,36
2,2:15.0,,W. Selden enters the game for G. Temple,33,36
2,2:15.0,D. Mitchell makes free throw 1 of 2,,34,36
2,2:15.0,D. Mitchell makes free throw 2 of 2,,35,36
2,1:55.0,,M. Gasol makes 2-pt jump shot from 5 ft (assist by W. Selden),35,38
2,1:44.0,Personal foul by W. Selden (drawn by J. Ingles),,35,38
2,1:44.0,J. Ingles makes free throw 1 of 2,,36,38
2,1:44.0,,M. Brooks enters the game for W. Selden,36,38
2,1:44.0,J. Ingles makes free throw 2 of 2,,37,38
2,1:34.0,,Shooting foul by R. Rubio (drawn by M. Conley),37,38
2,1:34.0,,M. Conley makes free throw 1 of 2,37,39
2,1:34.0,,M. Conley makes free throw 2 of 2,37,40
2,1:18.0,D. Mitchell misses 2-pt layup from 2 ft (block by M. Gasol),,37,40
2,1:15.0,,Defensive rebound by M. Conley,37,40
2,1:13.0,,Shooting foul by D. Mitchell (drawn by M. Gasol),37,40
2,1:13.0,,M. Gasol misses free throw 1 of 2,37,40
2,1:13.0,,Offensive rebound by Team,37,40
2,1:13.0,D. Exum enters the game for R. Rubio,,37,40
2,1:13.0,,M. Gasol makes free throw 2 of 2,37,41
2,0:52.0,Shooting foul by S. Mack (drawn by D. Mitchell),,37,41
2,0:52.0,D. Mitchell makes free throw 1 of 2,,38,41
2,0:52.0,D. Mitchell makes free throw 2 of 2,,39,41
2,0:32.0,,M. Conley misses 2-pt jump shot from 11 ft,39,41
2,0:30.0,Defensive rebound by J. Ingles,,39,41
2,0:25.0,Shooting foul by M. Conley (drawn by J. Crowder),,39,41
2,0:25.0,J. Crowder makes free throw 1 of 2,,40,41
2,0:25.0,J. Crowder misses free throw 2 of 2,,40,41
2,0:24.0,,Defensive rebound by K. Anderson,40,41
2,0:03.0,,S. Mack makes 2-pt jump shot from 9 ft,40,43
2,0:01.0,J. Ingles misses 3-pt jump shot from 52 ft,,40,43
2,0:01.0,Offensive rebound by Team,,40,43
3,11:48.0,,Personal foul by R. Rubio (drawn by M. Conley),40,43
3,11:44.0,,Turnover by K. Anderson (palming),40,43
3,11:32.0,J. Ingles makes 2-pt jump shot from 9 ft (assist by D. Mitchell),,42,43
3,11:10.0,,K. Anderson misses 2-pt jump shot from 18 ft,42,43
3,11:07.0,Defensive rebound by R. Gobert,,42,43
3,11:02.0,R. Rubio makes 2-pt layup from 1 ft,,44,43
3,10:43.0,,G. Temple makes 2-pt layup from 1 ft (assist by M. Gasol),44,45
3,10:31.0,J. Ingles misses 3-pt jump shot from 26 ft,,44,45
3,10:30.0,,Defensive rebound by M. Gasol,44,45
3,10:23.0,,G. Temple misses 3-pt jump shot from 25 ft,44,45
3,10:19.0,Defensive rebound by D. Favors,,44,45
3,10:05.0,Shooting foul by M. Conley (drawn by R. Gobert),,44,45
3,10:05.0,R. Gobert misses free throw 1 of 2,,44,45
3,10:05.0,Offensive rebound by Team,,44,45
3,10:05.0,R. Gobert makes free throw 2 of 2,,45,45
3,9:52.0,,Personal foul by R. Rubio (drawn by M. Conley),45,45
3,9:52.0,D. Exum enters the game for R. Rubio,,45,45
3,9:42.0,Violation by Team (kicked ball),,45,45
3,9:35.0,,Shooting foul by D. Mitchell (drawn by G. Temple),45,45
3,9:35.0,,G. Temple makes free throw 1 of 2,45,46
3,9:35.0,,G. Temple makes free throw 2 of 2,45,47
3,9:24.0,J. Ingles misses 2-pt jump shot from 17 ft,,45,47
3,9:20.0,Offensive rebound by R. Gobert,,45,47
3,9:20.0,R. Gobert misses 2-pt layup from 1 ft,,45,47
3,9:20.0,,Defensive rebound by G. Temple,45,47
3,9:07.0,,M. Gasol misses 2-pt jump shot from 12 ft,45,47
3,9:05.0,Defensive rebound by R. Gobert,,45,47
3,8:57.0,R. Gobert makes 2-pt layup from 4 ft (assist by D. Favors),,47,47
3,8:43.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by K. Anderson),47,50
3,8:23.0,D. Favors makes 3-pt jump shot from 23 ft (assist by J. Ingles),,50,50
3,8:14.0,,Personal foul by D. Exum (drawn by M. Conley),50,50
3,7:59.0,,M. Gasol makes 2-pt jump shot from 16 ft (assist by K. Anderson),50,52
3,7:47.0,Shooting foul by M. Conley (drawn by D. Exum),,50,52
3,7:47.0,D. Exum misses free throw 1 of 2,,50,52
3,7:47.0,Offensive rebound by Team,,50,52
3,7:47.0,D. Exum makes free throw 2 of 2,,51,52
3,7:29.0,,Turnover by J. Jackson (lost ball; steal by J. Ingles),51,52
3,7:21.0,D. Exum makes 3-pt jump shot from 23 ft (assist by D. Mitchell),,54,52
3,7:05.0,,Personal foul by D. Favors (drawn by M. Conley),54,52
3,7:05.0,,M. Conley makes free throw 1 of 2,54,53
3,7:05.0,,M. Conley makes free throw 2 of 2,54,54
3,6:55.0,D. Mitchell misses 2-pt layup from 2 ft (block by J. Jackson),,54,54
3,6:51.0,,Defensive rebound by M. Conley,54,54
3,6:39.0,,G. Temple misses 3-pt jump shot from 23 ft,54,54
3,6:36.0,Defensive rebound by R. Gobert,,54,54
3,6:27.0,J. Ingles misses 2-pt jump shot from 6 ft,,54,54
3,6:24.0,Offensive rebound by J. Ingles,,54,54
3,6:24.0,J. Ingles misses 2-pt layup from 1 ft,,54,54
3,6:23.0,,Defensive rebound by J. Jackson,54,54
3,6:16.0,,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),54,56
3,5:59.0,Shooting foul by J. Jackson (drawn by D. Favors),,54,56
3,5:59.0,,Memphis full timeout,54,56
3,5:59.0,A. Burks enters the game for D. Mitchell,,54,56
3,5:59.0,,S. Mack enters the game for G. Temple,54,56
3,5:59.0,D. Favors makes free throw 1 of 2,,55,56
3,5:59.0,D. Favors makes free throw 2 of 2,,56,56
3,5:37.0,,M. Gasol makes 2-pt jump shot from 9 ft,56,58
3,5:24.0,A. Burks misses 3-pt jump shot from 27 ft,,56,58
3,5:23.0,,Defensive rebound by M. Conley,56,58
3,5:16.0,,J. Jackson makes 2-pt hook shot from 7 ft (assist by M. Gasol),56,60
3,4:56.0,Personal foul by K. Anderson (drawn by J. Ingles),,56,60
3,4:56.0,J. Crowder enters the game for D. Favors,,56,60
3,4:56.0,,W. Selden enters the game for K. Anderson,56,60
3,4:48.0,Turnover by D. Exum (bad pass; steal by M. Gasol),,56,60
3,4:43.0,,W. Selden makes 2-pt dunk from 1 ft (assist by M. Conley),56,62
3,4:41.0,Utah full timeout,,56,62
3,4:41.0,,M. Brooks enters the game for M. Conley,56,62
3,4:41.0,,G. Temple enters the game for J. Jackson,56,62
3,4:26.0,Shooting foul by S. Mack (drawn by A. Burks),,56,62
3,4:26.0,A. Burks makes free throw 1 of 2,,57,62
3,4:26.0,A. Burks makes free throw 2 of 2,,58,62
3,4:04.0,,Turnover by G. Temple (off goaltending),58,62
3,3:55.0,A. Burks misses 2-pt jump shot from 11 ft,,58,62
3,3:53.0,Offensive rebound by R. Gobert,,58,62
3,3:53.0,Shooting foul by M. Gasol (drawn by R. Gobert),,58,62
3,3:53.0,R. Gobert makes free throw 1 of 2,,59,62
3,3:53.0,R. Gobert makes free throw 2 of 2,,60,62
3,3:34.0,,M. Gasol misses 2-pt hook shot from 9 ft,60,62
3,3:30.0,Defensive rebound by R. Gobert,,60,62
3,3:26.0,D. Exum makes 2-pt layup from 2 ft,,62,62
3,3:12.0,,M. Brooks misses 3-pt jump shot from 25 ft,62,62
3,3:10.0,Defensive rebound by R. Gobert,,62,62
3,2:59.0,D. Exum makes 2-pt jump shot from 10 ft (assist by J. Ingles),,64,62
3,2:59.0,,Memphis full timeout,64,62
3,2:38.0,,M. Brooks misses 2-pt jump shot from 21 ft,64,62
3,2:35.0,Defensive rebound by J. Crowder,,64,62
3,2:31.0,Offensive foul by J. Ingles (drawn by W. Selden),,64,62
3,2:31.0,Turnover by J. Ingles (offensive foul),,64,62
3,2:31.0,D. Mitchell enters the game for J. Ingles,,64,62
3,2:31.0,,M. Conley enters the game for M. Gasol,64,62
3,2:31.0,,J. Jackson enters the game for S. Mack,64,62
3,2:21.0,,M. Brooks misses 2-pt jump shot from 12 ft,64,62
3,2:18.0,Defensive rebound by R. Gobert,,64,62
3,2:09.0,D. Mitchell misses 2-pt layup from 2 ft,,64,62
3,2:05.0,,Defensive rebound by M. Brooks,64,62
3,2:02.0,,M. Brooks makes 2-pt layup from 1 ft,64,64
3,1:46.0,J. Crowder makes 3-pt jump shot from 22 ft (assist by A. Burks),,67,64
3,1:35.0,,Turnover by M. Conley (bad pass),67,64
3,1:22.0,R. Gobert misses 2-pt layup from 2 ft,,67,64
3,1:22.0,Offensive rebound by A. Burks,,67,64
3,1:22.0,A. Burks makes 2-pt layup from 1 ft,,69,64
3,1:22.0,Shooting foul by M. Conley (drawn by A. Burks),,69,64
3,1:22.0,,K. Anderson enters the game for M. Brooks,69,64
3,1:22.0,A. Burks makes free throw 1 of 1,,70,64
3,1:12.0,,M. Conley makes 3-pt jump shot from 27 ft,70,67
3,0:58.0,Shooting foul by J. Jackson (drawn by D. Mitchell),,70,67
3,0:58.0,D. Mitchell makes free throw 1 of 2,,71,67
3,0:58.0,D. Mitchell makes free throw 2 of 2,,72,67
3,0:44.0,,G. Temple misses 3-pt jump shot from 26 ft,72,67
3,0:41.0,,Offensive rebound by W. Selden,72,67
3,0:37.0,,W. Selden misses 2-pt layup from 3 ft (block by R. Gobert),72,67
3,0:35.0,Defensive rebound by R. Gobert,,72,67
3,0:33.0,J. Crowder makes 2-pt layup from 1 ft (assist by R. Gobert),,74,67
3,0:22.0,,Personal foul by D. Exum (drawn by M. Conley),74,67
3,0:22.0,,M. Conley makes free throw 1 of 2,74,68
3,0:22.0,J. Ingles enters the game for D. Exum,,74,68
3,0:22.0,,M. Gasol enters the game for J. Jackson,74,68
3,0:22.0,,M. Conley makes free throw 2 of 2,74,69
3,0:02.0,A. Burks misses 2-pt jump shot from 11 ft,,74,69
3,0:02.0,,Defensive rebound by W. Selden,74,69
3,0:00.0,,K. Anderson misses 3-pt jump shot from 28 ft,74,69
3,0:00.0,,Offensive rebound by Team,74,69
4,11:44.0,J. Crowder misses 3-pt jump shot from 23 ft,,74,69
4,11:40.0,,Defensive rebound by G. Temple,74,69
4,11:23.0,,Turnover by W. Selden (bad pass; steal by A. Burks),74,69
4,11:11.0,A. Burks misses 3-pt jump shot from 25 ft,,74,69
4,11:09.0,,Defensive rebound by J. Jackson,74,69
4,10:58.0,,K. Anderson misses 2-pt jump shot from 12 ft,74,69
4,10:54.0,Defensive rebound by J. Crowder,,74,69
4,10:47.0,J. Crowder misses 2-pt jump shot from 1 ft (block by J. Jackson),,74,69
4,10:44.0,,Defensive rebound by K. Anderson,74,69
4,10:42.0,,Personal foul by D. Mitchell (drawn by W. Selden),74,69
4,10:42.0,,S. Mack enters the game for W. Selden,74,69
4,10:31.0,,K. Anderson misses 2-pt layup from 2 ft,74,69
4,10:30.0,Defensive rebound by Team,,74,69
4,10:30.0,,Loose ball foul by J. Jackson (drawn by J. Crowder),74,69
4,10:17.0,R. Rubio misses 2-pt jump shot from 10 ft (block by J. Jackson),,74,69
4,10:13.0,Offensive rebound by D. Favors,,74,69
4,10:12.0,A. Burks makes 3-pt jump shot from 27 ft (assist by D. Favors),,77,69
4,9:59.0,,M. Conley misses 2-pt layup from 1 ft,77,69
4,9:54.0,,Offensive rebound by J. Jackson,77,69
4,9:54.0,,J. Jackson makes 2-pt layup at rim,77,71
4,9:52.0,Personal foul by K. Anderson (drawn by J. Crowder),,77,71
4,9:52.0,G. Niang enters the game for J. Crowder,,77,71
4,9:49.0,A. Burks misses 2-pt layup from 2 ft (block by J. Jackson),,77,71
4,9:49.0,Offensive rebound by Team,,77,71
4,9:43.0,G. Niang misses 3-pt jump shot from 26 ft,,77,71
4,9:40.0,,Defensive rebound by K. Anderson,77,71
4,9:35.0,,K. Anderson makes 2-pt layup from 1 ft,77,73
4,9:19.0,D. Mitchell makes 2-pt layup from 1 ft,,79,73
4,9:18.0,Violation by Team (delay of game),,79,73
4,8:57.0,,M. Conley misses 3-pt jump shot from 25 ft,79,73
4,8:54.0,Defensive rebound by G. Niang,,79,73
4,8:44.0,R. Rubio misses 3-pt jump shot from 26 ft,,79,73
4,8:41.0,,Defensive rebound by J. Jackson,79,73
4,8:35.0,,M. Conley makes 2-pt layup from 1 ft,79,75
4,8:35.0,,Shooting foul by D. Favors (drawn by M. Conley),79,75
4,8:35.0,D. Exum enters the game for D. Favors,,79,75
4,8:35.0,R. Gobert enters the game for D. Mitchell,,79,75
4,8:35.0,J. Ingles enters the game for R. Rubio,,79,75
4,8:35.0,,M. Brooks enters the game for G. Temple,79,75
4,8:35.0,,M. Conley makes free throw 1 of 1,79,76
4,8:16.0,R. Gobert makes 2-pt dunk from 1 ft (assist by A. Burks),,81,76
4,7:56.0,,J. Jackson misses 3-pt jump shot from 23 ft,81,76
4,7:54.0,Defensive rebound by G. Niang,,81,76
4,7:48.0,Turnover by R. Gobert (3 sec),,81,76
4,7:48.0,,M. Gasol enters the game for J. Jackson,81,76
4,7:31.0,,S. Mack makes 2-pt jump shot from 20 ft (assist by M. Gasol),81,78
4,7:18.0,Personal foul by S. Mack (drawn by A. Burks),,81,78
4,7:11.0,A. Burks misses 2-pt jump shot from 10 ft,,81,78
4,7:08.0,,Defensive rebound by K. Anderson,81,78
4,6:58.0,,M. Conley misses 3-pt jump shot from 23 ft,81,78
4,6:56.0,Defensive rebound by J. Ingles,,81,78
4,6:41.0,D. Exum misses 3-pt jump shot from 25 ft,,81,78
4,6:39.0,,Defensive rebound by Team,81,78
4,6:39.0,Loose ball foul by R. Gobert (drawn by M. Conley),,81,78
4,6:39.0,,Memphis full timeout,81,78
4,6:39.0,J. Crowder enters the game for A. Burks,,81,78
4,6:39.0,D. Mitchell enters the game for D. Exum,,81,78
4,6:39.0,R. Rubio enters the game for G. Niang,,81,78
4,6:39.0,,G. Temple enters the game for M. Conley,81,78
4,6:24.0,,Offensive foul by M. Brooks (drawn by J. Ingles),81,78
4,6:24.0,,Turnover by M. Brooks (offensive foul),81,78
4,6:02.0,J. Crowder misses 3-pt jump shot from 29 ft,,81,78
4,5:59.0,Offensive rebound by R. Rubio,,81,78
4,5:58.0,Turnover by R. Rubio (bad pass),,81,78
