QUARTER,TIME_REMAINING,LA LAKERS_ACTION,WASHINGTON_ACTION,LA LAKERS_SCORE,WASHINGTON_SCORE
2,1:31.0,,B. Beal misses 3-pt jump shot from 25 ft,47,62
2,1:29.0,,Offensive rebound by B. Beal,47,62
2,1:26.0,,Personal foul by J. Hart (drawn by B. Beal),47,62
2,1:26.0,S. Mykhailiuk enters the game for J. Hart,,47,62
2,1:16.0,,S. Dekker makes 2-pt jump shot from 14 ft (assist by B. Beal),47,64
2,1:00.0,K. Caldwell-Pope makes 2-pt jump shot from 15 ft,,49,64
2,0:50.0,,J. Wall makes 2-pt jump shot from 16 ft,49,66
2,0:46.0,Personal foul by J. Green (drawn by L. James),,49,66
2,0:41.0,Shooting foul by S. Dekker (drawn by K. Caldwell-Pope),,49,66
2,0:41.0,K. Caldwell-Pope makes free throw 1 of 2,,50,66
2,0:41.0,K. Caldwell-Pope makes free throw 2 of 2,,51,66
2,0:36.0,,T. Satoranský makes 3-pt jump shot from 23 ft (assist by B. Beal),51,69
2,0:23.0,L. James misses 2-pt layup from 2 ft,,51,69
2,0:21.0,,Defensive rebound by B. Beal,51,69
2,0:01.0,,J. Wall makes 2-pt jump shot from 16 ft,51,71
3,11:47.0,,Turnover by B. Beal (bad pass; steal by L. Ball),51,71
3,11:43.0,L. Ball makes 2-pt layup at rim,,53,71
3,11:30.0,,Personal foul by K. Kuzma (drawn by T. Bryant),53,71
3,11:17.0,,J. Wall makes 3-pt jump shot from 28 ft (assist by J. Green),53,74
3,11:01.0,L. Ball misses 3-pt jump shot from 26 ft,,53,74
3,10:58.0,,Defensive rebound by J. Green,53,74
3,10:47.0,,J. Wall makes 2-pt jump shot from 15 ft,53,76
3,10:28.0,K. Kuzma misses 2-pt layup from 5 ft (block by J. Wall),,53,76
3,10:28.0,Offensive rebound by Team,,53,76
3,10:21.0,J. Hart misses 2-pt layup from 3 ft (block by T. Bryant),,53,76
3,10:21.0,,Defensive rebound by T. Bryant,53,76
3,10:21.0,,Personal foul by J. Hart (drawn by T. Bryant),53,76
3,10:15.0,,J. Wall misses 3-pt jump shot from 28 ft,53,76
3,10:12.0,,Offensive rebound by B. Beal,53,76
3,10:10.0,,Turnover by B. Beal (bad pass; steal by T. Chandler),53,76
3,10:06.0,K. Kuzma makes 2-pt dunk from 2 ft (assist by L. Ball),,55,76
3,9:48.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by J. Wall),55,78
3,9:48.0,LA Lakers full timeout,,55,78
3,9:37.0,Turnover by L. James (bad pass),,55,78
3,9:24.0,,J. Green makes 3-pt jump shot from 26 ft (assist by J. Wall),55,81
3,9:12.0,Turnover by L. James (lost ball; steal by T. Bryant),,55,81
3,9:07.0,,B. Beal misses 2-pt layup from 4 ft,55,81
3,9:05.0,Defensive rebound by L. Ball,,55,81
3,8:53.0,J. Hart misses 3-pt jump shot from 25 ft,,55,81
3,8:51.0,,Defensive rebound by J. Wall,55,81
3,8:49.0,,J. Wall misses 2-pt layup from 3 ft (block by K. Kuzma),55,81
3,8:49.0,,Offensive rebound by Team,55,81
3,8:47.0,,T. Bryant misses 2-pt jump shot from 17 ft,55,81
3,8:43.0,Defensive rebound by T. Chandler,,55,81
3,8:35.0,K. Kuzma misses 3-pt jump shot from 25 ft,,55,81
3,8:33.0,Offensive rebound by K. Kuzma,,55,81
3,8:30.0,K. Kuzma makes 2-pt layup from 1 ft,,57,81
3,8:12.0,,Turnover by J. Wall (bad pass; steal by L. Ball),57,81
3,8:08.0,L. Ball makes 2-pt layup from 1 ft,,59,81
3,7:59.0,,J. Green makes 3-pt jump shot from 24 ft (assist by T. Satoranský),59,84
3,7:41.0,L. James misses 2-pt layup from 2 ft,,59,84
3,7:39.0,,Defensive rebound by T. Bryant,59,84
3,7:34.0,,B. Beal misses 2-pt layup from 3 ft,59,84
3,7:32.0,,Offensive rebound by J. Wall,59,84
3,7:23.0,,J. Wall misses 2-pt jump shot from 19 ft,59,84
3,7:21.0,Defensive rebound by T. Chandler,,59,84
3,7:09.0,L. Ball misses 3-pt jump shot from 24 ft,,59,84
3,7:06.0,,Defensive rebound by T. Bryant,59,84
3,6:59.0,,T. Satoranský makes 2-pt jump shot from 6 ft (assist by J. Wall),59,86
3,6:46.0,J. Hart misses 3-pt jump shot from 23 ft,,59,86
3,6:43.0,Offensive rebound by T. Chandler,,59,86
3,6:41.0,K. Kuzma misses 3-pt jump shot from 26 ft,,59,86
3,6:38.0,,Defensive rebound by B. Beal,59,86
3,6:34.0,,Turnover by T. Satoranský (out of bounds lost ball),59,86
3,6:34.0,K. Caldwell-Pope enters the game for L. Ball,,59,86
3,6:34.0,S. Mykhailiuk enters the game for T. Chandler,,59,86
3,6:34.0,M. Wagner enters the game for J. Hart,,59,86
3,6:16.0,K. Kuzma makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),,61,86
3,6:01.0,,Offensive foul by J. Wall (drawn by S. Mykhailiuk),61,86
3,6:01.0,,Turnover by J. Wall (offensive foul),61,86
3,5:46.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,61,86
3,5:44.0,,Defensive rebound by J. Green,61,86
3,5:27.0,,Turnover by J. Wall (bad pass; steal by K. Kuzma),61,86
3,5:21.0,K. Kuzma makes 2-pt layup from 1 ft,,63,86
3,5:02.0,,B. Beal makes 2-pt layup from 3 ft,63,88
3,4:42.0,K. Kuzma misses 3-pt jump shot from 27 ft,,63,88
3,4:40.0,,Defensive rebound by J. Green,63,88
3,4:34.0,,J. Green misses 3-pt jump shot from 26 ft,63,88
3,4:32.0,Defensive rebound by M. Wagner,,63,88
3,4:28.0,Shooting foul by T. Bryant (drawn by K. Kuzma),,63,88
3,4:28.0,K. Kuzma makes free throw 1 of 2,,64,88
3,4:28.0,K. Kuzma makes free throw 2 of 2,,65,88
3,4:09.0,,J. Green misses 2-pt jump shot from 11 ft,65,88
3,4:07.0,Defensive rebound by L. James,,65,88
3,4:02.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,65,88
3,3:58.0,,Defensive rebound by T. Bryant,65,88
3,3:47.0,,Shooting foul by K. Kuzma (drawn by J. Wall),65,88
3,3:47.0,,J. Wall misses free throw 1 of 2,65,88
3,3:47.0,,Offensive rebound by Team,65,88
3,3:47.0,L. Stephenson enters the game for K. Kuzma,,65,88
3,3:47.0,,T. Brown enters the game for B. Beal,65,88
3,3:47.0,,S. Dekker enters the game for T. Bryant,65,88
3,3:47.0,,J. Wall makes free throw 2 of 2,65,89
3,3:41.0,Shooting foul by T. Brown (drawn by L. James),,65,89
3,3:41.0,L. James misses free throw 1 of 2,,65,89
3,3:41.0,Offensive rebound by Team,,65,89
3,3:41.0,L. James misses free throw 2 of 2,,65,89
3,3:39.0,,Defensive rebound by S. Dekker,65,89
3,3:19.0,,T. Brown misses 2-pt hook shot from 6 ft,65,89
3,3:18.0,Defensive rebound by Team,,65,89
3,3:13.0,L. James misses 2-pt layup from 5 ft,,65,89
3,3:11.0,,Defensive rebound by J. Wall,65,89
3,3:07.0,,J. Green makes 2-pt layup from 2 ft (assist by J. Wall),65,91
3,2:51.0,S. Mykhailiuk misses 3-pt jump shot from 25 ft,,65,91
3,2:48.0,Offensive rebound by K. Caldwell-Pope,,65,91
3,2:39.0,L. James makes 2-pt layup from 2 ft,,67,91
3,2:13.0,,J. Green misses 2-pt jump shot from 21 ft,67,91
3,2:11.0,Defensive rebound by M. Wagner,,67,91
3,2:06.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by L. Stephenson),,70,91
3,2:02.0,,Washington full timeout,70,91
3,1:41.0,,J. Green misses 3-pt jump shot from 26 ft,70,91
3,1:39.0,,Offensive rebound by T. Satoranský,70,91
3,1:35.0,,J. Green makes 2-pt layup from 3 ft (assist by S. Dekker),70,93
3,1:35.0,,Shooting foul by M. Wagner (drawn by J. Green),70,93
3,1:35.0,,J. Green misses free throw 1 of 1,70,93
3,1:32.0,,Offensive rebound by S. Dekker,70,93
3,1:28.0,,J. Wall makes 2-pt jump shot from 21 ft,70,95
3,1:10.0,M. Wagner makes 2-pt layup from 1 ft (assist by L. James),,72,95
3,0:53.0,,T. Satoranský misses 2-pt jump shot from 10 ft,72,95
3,0:51.0,Defensive rebound by L. James,,72,95
3,0:45.0,Shooting foul by T. Satoranský (drawn by L. James),,72,95
3,0:45.0,L. James makes free throw 1 of 2,,73,95
3,0:45.0,,B. Beal enters the game for T. Brown,73,95
3,0:45.0,L. James makes free throw 2 of 2,,74,95
3,0:35.0,,Personal foul by L. Stephenson (drawn by J. Wall),74,95
3,0:35.0,,J. Wall misses free throw 1 of 2,74,95
3,0:35.0,,Offensive rebound by Team,74,95
3,0:35.0,Technical foul by L. Stephenson,,74,95
3,0:35.0,,B. Beal makes technical free throw,74,96
3,0:35.0,,J. Wall makes free throw 2 of 2,74,97
3,0:25.0,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by M. Wagner),,76,97
3,0:02.0,,J. Wall misses 2-pt jump shot from 12 ft,76,97
3,0:02.0,,Offensive rebound by T. Satoranský,76,97
3,0:01.0,,S. Dekker makes 2-pt layup from 2 ft (assist by T. Satoranský),76,99
4,11:50.0,L. Stephenson makes 2-pt layup from 2 ft,,78,99
4,11:26.0,,J. Green misses 2-pt jump shot from 14 ft,78,99
4,11:24.0,,Offensive rebound by J. Green,78,99
4,11:23.0,,J. Green makes 2-pt layup from 2 ft,78,101
4,11:07.0,L. Stephenson makes 3-pt jump shot from 26 ft,,81,101
4,10:53.0,,S. Dekker misses 2-pt jump shot from 20 ft,81,101
4,10:52.0,Defensive rebound by K. Caldwell-Pope,,81,101
4,10:42.0,Turnover by L. Stephenson (lost ball; steal by J. Wall),,81,101
4,10:35.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by S. Dekker),81,104
4,10:17.0,M. Wagner makes 2-pt layup from 2 ft (assist by L. Stephenson),,83,104
4,10:01.0,,S. Dekker makes 2-pt layup from 1 ft (assist by J. Wall),83,106
4,9:48.0,L. Stephenson makes 3-pt jump shot from 25 ft,,86,106
4,9:26.0,,S. Dekker misses 3-pt jump shot from 24 ft,86,106
4,9:23.0,Defensive rebound by K. Caldwell-Pope,,86,106
4,9:16.0,M. Wagner makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),,89,106
4,9:15.0,,Washington full timeout,89,106
4,9:03.0,,T. Satoranský misses 3-pt jump shot from 25 ft,89,106
4,9:00.0,Defensive rebound by S. Mykhailiuk,,89,106
4,8:56.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,89,106
4,8:53.0,,Defensive rebound by S. Dekker,89,106
4,8:52.0,,Turnover by S. Dekker (traveling),89,106
4,8:35.0,M. Wagner makes 2-pt hook shot from 6 ft (assist by K. Caldwell-Pope),,91,106
4,8:17.0,,S. Dekker makes 2-pt layup from 1 ft (assist by T. Satoranský),91,108
4,8:03.0,M. Wagner misses 2-pt layup from 2 ft,,91,108
4,8:01.0,,Defensive rebound by B. Beal,91,108
4,7:54.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),91,111
4,7:52.0,LA Lakers full timeout,,91,111
4,7:52.0,K. Kuzma enters the game for M. Wagner,,91,111
4,7:52.0,,T. Bryant enters the game for J. Green,91,111
4,7:41.0,K. Caldwell-Pope misses 2-pt jump shot from 13 ft,,91,111
4,7:38.0,,Defensive rebound by B. Beal,91,111
4,7:22.0,,S. Dekker makes 2-pt dunk from 2 ft,91,113
4,7:07.0,K. Kuzma misses 3-pt jump shot from 23 ft,,91,113
4,7:04.0,,Defensive rebound by T. Bryant,91,113
4,6:47.0,,S. Dekker misses 2-pt layup from 3 ft,91,113
4,6:45.0,,Offensive rebound by S. Dekker,91,113
4,6:45.0,,S. Dekker makes 2-pt layup from 1 ft,91,115
4,6:35.0,Shooting foul by J. Wall (drawn by L. Stephenson),,91,115
4,6:35.0,L. Stephenson misses free throw 1 of 2,,91,115
4,6:35.0,Offensive rebound by Team,,91,115
4,6:35.0,I. Zubac enters the game for K. Caldwell-Pope,,91,115
4,6:35.0,L. Stephenson misses free throw 2 of 2,,91,115
4,6:32.0,,Defensive rebound by B. Beal,91,115
4,6:22.0,,Turnover by J. Wall (bad pass; steal by S. Mykhailiuk),91,115
4,6:16.0,K. Kuzma makes 2-pt layup from 2 ft (assist by S. Mykhailiuk),,93,115
4,5:53.0,,T. Bryant misses 2-pt dunk from 3 ft,93,115
4,5:50.0,Defensive rebound by I. Zubac,,93,115
4,5:43.0,Turnover by S. Mykhailiuk (bad pass; steal by T. Satoranský),,93,115
4,5:33.0,,J. Wall misses 3-pt jump shot from 28 ft,93,115
4,5:30.0,Defensive rebound by S. Mykhailiuk,,93,115
4,5:27.0,I. Zubac makes 2-pt dunk from 2 ft (assist by L. Ball),,95,115
4,5:01.0,,Turnover by B. Beal (bad pass; steal by L. Ball),95,115
4,4:56.0,S. Mykhailiuk misses 2-pt layup from 3 ft,,95,115
4,4:55.0,Offensive rebound by K. Kuzma,,95,115
4,4:54.0,K. Kuzma makes 2-pt layup from 1 ft,,97,115
4,4:40.0,,B. Beal makes 2-pt layup from 1 ft,97,117
4,4:33.0,K. Kuzma makes 2-pt layup from 1 ft,,99,117
4,4:19.0,,B. Beal makes 3-pt jump shot from 26 ft,99,120
4,4:05.0,Turnover by K. Kuzma (lost ball; steal by S. Dekker),,99,120
