QUARTER,TIME_REMAINING,PORTLAND_ACTION,MILWAUKEE_ACTION,PORTLAND_SCORE,MILWAUKEE_SCORE
1,4:35.0,,Defensive rebound by E. Bledsoe,7,22
1,4:16.0,,E. Bledsoe makes 2-pt layup from 1 ft,7,24
1,3:54.0,C. McCollum misses 3-pt jump shot from 27 ft,,7,24
1,3:54.0,,Defensive rebound by Team,7,24
1,3:54.0,,T. Snell enters the game for K. Middleton,7,24
1,3:46.0,,E. Bledsoe makes 2-pt layup from 2 ft,7,26
1,3:35.0,M. Leonard makes 3-pt jump shot from 27 ft (assist by D. Lillard),,10,26
1,3:18.0,,T. Maker misses 3-pt jump shot from 23 ft,10,26
1,3:13.0,Defensive rebound by M. Harkless,,10,26
1,3:10.0,D. Lillard makes 3-pt jump shot from 27 ft,,13,26
1,2:50.0,,Turnover by G. Antetokounmpo (bad pass; steal by M. Harkless),13,26
1,2:44.0,D. Lillard misses 3-pt jump shot from 30 ft,,13,26
1,2:41.0,,Defensive rebound by T. Maker,13,26
1,2:32.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,13,26
1,2:29.0,Defensive rebound by D. Lillard,,13,26
1,2:19.0,E. Turner makes 2-pt jump shot from 12 ft,,15,26
1,1:54.0,,E. Bledsoe makes 2-pt layup at rim,15,28
1,1:48.0,Offensive foul by D. Lillard (drawn by E. Bledsoe),,15,28
1,1:48.0,Turnover by D. Lillard (offensive foul),,15,28
1,1:48.0,N. Stauskas enters the game for C. McCollum,,15,28
1,1:48.0,,M. Brogdon enters the game for E. Bledsoe,15,28
1,1:41.0,,T. Maker misses 3-pt jump shot from 27 ft,15,28
1,1:38.0,Defensive rebound by M. Harkless,,15,28
1,1:29.0,Shooting foul by P. Connaughton (drawn by D. Lillard),,15,28
1,1:29.0,D. Lillard makes free throw 1 of 3,,16,28
1,1:29.0,D. Lillard makes free throw 2 of 3,,17,28
1,1:29.0,D. Lillard makes free throw 3 of 3,,18,28
1,1:12.0,,T. Maker makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),18,31
1,1:07.0,Turnover by D. Lillard (bad pass; steal by G. Antetokounmpo),,18,31
1,1:03.0,,M. Brogdon misses 2-pt layup from 2 ft (block by M. Harkless),18,31
1,1:03.0,,Offensive rebound by Team,18,31
1,1:03.0,Z. Collins enters the game for M. Harkless,,18,31
1,1:03.0,,E. İlyasova enters the game for G. Antetokounmpo,18,31
1,1:01.0,,Offensive foul by T. Maker (drawn by D. Lillard),18,31
1,1:01.0,,Turnover by T. Maker (offensive foul),18,31
1,0:42.0,D. Lillard misses 2-pt jump shot from 19 ft,,18,31
1,0:39.0,,Defensive rebound by P. Connaughton,18,31
1,0:31.0,,T. Maker misses 3-pt jump shot from 27 ft,18,31
1,0:26.0,Defensive rebound by N. Stauskas,,18,31
1,0:13.0,E. Turner makes 2-pt jump shot from 18 ft,,20,31
1,0:00.0,,Turnover by M. Brogdon (offensive foul),20,31
1,0:00.0,,Offensive foul by M. Brogdon (drawn by D. Lillard),20,31
1,0:00.0,Turnover by M. Leonard (bad pass; steal by P. Connaughton),,20,31
2,11:38.0,E. Turner misses 3-pt jump shot from 26 ft,,20,31
2,11:34.0,,Defensive rebound by E. İlyasova,20,31
2,11:24.0,,M. Brogdon misses 3-pt jump shot from 26 ft,20,31
2,11:20.0,Defensive rebound by E. Turner,,20,31
2,11:18.0,N. Stauskas makes 3-pt jump shot from 25 ft (assist by E. Turner),,23,31
2,11:01.0,,E. İlyasova misses 2-pt jump shot from 5 ft,23,31
2,10:58.0,,Offensive rebound by M. Brogdon,23,31
2,10:57.0,,M. Brogdon makes 2-pt layup from 2 ft,23,33
2,10:48.0,Turnover by N. Stauskas (step out of bounds),,23,33
2,10:48.0,,S. Brown enters the game for P. Connaughton,23,33
2,10:32.0,,Shooting foul by C. McCollum (drawn by M. Brogdon),23,33
2,10:32.0,,M. Brogdon makes free throw 1 of 2,23,34
2,10:32.0,,M. Brogdon makes free throw 2 of 2,23,35
2,10:25.0,Shooting foul by T. Snell (drawn by C. McCollum),,23,35
2,10:25.0,C. McCollum makes free throw 1 of 2,,24,35
2,10:25.0,C. McCollum makes free throw 2 of 2,,25,35
2,10:13.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by B. Lopez),25,37
2,9:59.0,M. Leonard makes 3-pt jump shot from 27 ft (assist by E. Turner),,28,37
2,9:41.0,,T. Snell makes 2-pt layup from 2 ft (assist by E. İlyasova),28,39
2,9:41.0,,Shooting foul by Z. Collins (drawn by T. Snell),28,39
2,9:41.0,,T. Snell makes free throw 1 of 1,28,40
2,9:26.0,C. McCollum makes 2-pt jump shot from 13 ft,,30,40
2,9:12.0,,E. İlyasova misses 3-pt jump shot from 27 ft,30,40
2,9:12.0,Defensive rebound by M. Leonard,,30,40
2,8:53.0,E. Turner misses 2-pt jump shot from 11 ft,,30,40
2,8:50.0,,Defensive rebound by E. İlyasova,30,40
2,8:41.0,,T. Snell misses 2-pt jump shot from 4 ft,30,40
2,8:38.0,Defensive rebound by Z. Collins,,30,40
2,8:31.0,N. Stauskas misses 2-pt layup from 5 ft,,30,40
2,8:31.0,,Defensive rebound by E. İlyasova,30,40
2,8:19.0,,Turnover by S. Brown (bad pass; steal by M. Leonard),30,40
2,8:12.0,C. McCollum misses 2-pt jump shot from 18 ft,,30,40
2,8:08.0,,Defensive rebound by E. İlyasova,30,40
2,7:56.0,,M. Brogdon makes 2-pt layup from 1 ft,30,42
2,7:54.0,Portland full timeout,,30,42
2,7:54.0,,K. Middleton enters the game for T. Snell,30,42
2,7:42.0,Turnover by C. McCollum (bad pass; steal by K. Middleton),,30,42
2,7:38.0,,S. Brown makes 2-pt dunk at rim (assist by K. Middleton),30,44
2,7:22.0,C. McCollum makes 2-pt jump shot from 16 ft,,32,44
2,7:09.0,,E. İlyasova misses 2-pt layup from 6 ft,32,44
2,7:05.0,Defensive rebound by M. Leonard,,32,44
2,6:53.0,E. Turner misses 2-pt jump shot from 14 ft,,32,44
2,6:50.0,,Defensive rebound by K. Middleton,32,44
2,6:47.0,,K. Middleton makes 3-pt jump shot from 27 ft,32,47
2,6:47.0,,Shooting foul by N. Stauskas (drawn by K. Middleton),32,47
2,6:47.0,,K. Middleton makes free throw 1 of 1,32,48
2,6:47.0,A. Aminu enters the game for Z. Collins,,32,48
2,6:47.0,D. Lillard enters the game for M. Leonard,,32,48
2,6:47.0,J. Nurkić enters the game for E. Turner,,32,48
2,6:47.0,,G. Antetokounmpo enters the game for E. İlyasova,32,48
2,6:30.0,A. Aminu misses 3-pt jump shot from 25 ft,,32,48
2,6:25.0,,Defensive rebound by M. Brogdon,32,48
2,6:21.0,,M. Brogdon makes 2-pt layup from 4 ft,32,50
2,6:11.0,N. Stauskas misses 3-pt jump shot from 26 ft,,32,50
2,6:11.0,Offensive rebound by J. Nurkić,,32,50
2,6:06.0,N. Stauskas misses 3-pt jump shot from 23 ft,,32,50
2,6:04.0,,Defensive rebound by G. Antetokounmpo,32,50
2,6:00.0,,B. Lopez misses 3-pt jump shot from 27 ft,32,50
2,6:00.0,Defensive rebound by A. Aminu,,32,50
2,5:48.0,D. Lillard misses 3-pt jump shot from 25 ft,,32,50
2,5:48.0,,Defensive rebound by G. Antetokounmpo,32,50
2,5:37.0,,S. Brown misses 3-pt jump shot from 27 ft,32,50
2,5:34.0,Defensive rebound by N. Stauskas,,32,50
2,5:27.0,N. Stauskas misses 3-pt jump shot from 27 ft,,32,50
2,5:23.0,,Defensive rebound by K. Middleton,32,50
2,5:22.0,,Shooting foul by C. McCollum (drawn by K. Middleton),32,50
2,5:22.0,,K. Middleton makes free throw 1 of 2,32,51
2,5:22.0,E. Turner enters the game for C. McCollum,,32,51
2,5:22.0,,E. Bledsoe enters the game for M. Brogdon,32,51
2,5:22.0,,K. Middleton makes free throw 2 of 2,32,52
2,5:05.0,A. Aminu misses 3-pt jump shot from 26 ft,,32,52
2,5:02.0,,Defensive rebound by S. Brown,32,52
2,4:56.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,32,54
2,4:40.0,Personal foul by G. Antetokounmpo (drawn by D. Lillard),,32,54
2,4:40.0,C. McCollum enters the game for N. Stauskas,,32,54
2,4:40.0,,E. İlyasova enters the game for B. Lopez,32,54
2,4:31.0,A. Aminu misses 3-pt jump shot from 25 ft,,32,54
2,4:31.0,Offensive rebound by J. Nurkić,,32,54
2,4:25.0,Shooting foul by E. İlyasova (drawn by D. Lillard),,32,54
2,4:25.0,D. Lillard makes free throw 1 of 2,,33,54
2,4:25.0,D. Lillard makes free throw 2 of 2,,34,54
2,4:13.0,,K. Middleton misses 3-pt jump shot from 26 ft,34,54
2,4:10.0,,Offensive rebound by G. Antetokounmpo,34,54
2,4:03.0,,E. Bledsoe makes 2-pt layup at rim (assist by K. Middleton),34,56
2,3:55.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,36,56
2,3:55.0,Shooting foul by E. İlyasova (drawn by J. Nurkić),,36,56
2,3:55.0,J. Nurkić makes free throw 1 of 1,,37,56
2,3:36.0,,E. İlyasova misses 3-pt jump shot from 27 ft,37,56
2,3:33.0,,Offensive rebound by G. Antetokounmpo,37,56
2,3:33.0,,Turnover by G. Antetokounmpo (step out of bounds),37,56
2,3:26.0,Shooting foul by K. Middleton (drawn by J. Nurkić),,37,56
2,3:26.0,J. Nurkić makes free throw 1 of 2,,38,56
2,3:26.0,,P. Connaughton enters the game for S. Brown,38,56
2,3:26.0,J. Nurkić makes free throw 2 of 2,,39,56
2,3:15.0,,K. Middleton misses 2-pt layup from 1 ft,39,56
2,3:13.0,,Offensive rebound by P. Connaughton,39,56
2,3:11.0,,K. Middleton misses 3-pt jump shot from 23 ft,39,56
2,3:08.0,Defensive rebound by A. Aminu,,39,56
2,3:04.0,,Milwaukee full timeout,39,56
2,3:04.0,Personal foul by E. Bledsoe (drawn by D. Lillard),,39,56
2,3:04.0,D. Lillard makes free throw 1 of 2,,40,56
2,3:04.0,D. Lillard makes free throw 2 of 2,,41,56
2,2:50.0,,Shooting foul by E. Turner (drawn by K. Middleton),41,56
2,2:50.0,,K. Middleton makes free throw 1 of 2,41,57
2,2:50.0,,K. Middleton makes free throw 2 of 2,41,58
2,2:30.0,J. Nurkić makes 2-pt hook shot from 8 ft,,43,58
2,2:15.0,,G. Antetokounmpo makes 3-pt jump shot from 27 ft (assist by P. Connaughton),43,61
2,1:55.0,Offensive foul by J. Nurkić (drawn by E. İlyasova),,43,61
2,1:55.0,Turnover by J. Nurkić (offensive foul),,43,61
2,1:55.0,,B. Lopez enters the game for E. İlyasova,43,61
2,1:44.0,,G. Antetokounmpo misses 2-pt jump shot from 17 ft,43,61
2,1:41.0,Defensive rebound by J. Nurkić,,43,61
2,1:36.0,C. McCollum makes 2-pt jump shot from 4 ft,,45,61
2,1:36.0,Shooting foul by K. Middleton (drawn by C. McCollum),,45,61
2,1:36.0,C. McCollum makes free throw 1 of 1,,46,61
2,1:19.0,,K. Middleton makes 2-pt jump shot from 13 ft (assist by P. Connaughton),46,63
2,1:07.0,J. Nurkić makes 2-pt dunk from 2 ft (assist by D. Lillard),,48,63
2,0:51.0,,K. Middleton makes 2-pt layup from 1 ft,48,65
2,0:35.0,C. McCollum makes 2-pt jump shot from 16 ft,,50,65
2,0:28.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. Bledsoe),50,67
2,0:28.0,,Shooting foul by A. Aminu (drawn by G. Antetokounmpo),50,67
2,0:28.0,,M. Brogdon enters the game for K. Middleton,50,67
2,0:28.0,,G. Antetokounmpo makes free throw 1 of 1,50,68
2,0:06.0,Turnover by D. Lillard (bad pass; steal by G. Antetokounmpo),,50,68
2,0:02.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),50,70
2,0:01.0,Turnover by A. Aminu (bad pass),,50,70
2,0:00.0,,G. Antetokounmpo makes 2-pt jump shot from 12 ft (assist by M. Brogdon),50,72
3,11:47.0,M. Harkless misses 3-pt jump shot from 27 ft,,50,72
3,11:46.0,Offensive rebound by Team,,50,72
3,11:46.0,,Loose ball foul by B. Lopez (drawn by J. Nurkić),50,72
3,11:37.0,A. Aminu misses 2-pt jump shot from 8 ft,,50,72
3,11:34.0,,Defensive rebound by K. Middleton,50,72
3,11:32.0,,Personal foul by M. Harkless (drawn by G. Antetokounmpo),50,72
3,11:27.0,,Turnover by B. Lopez (bad pass; steal by C. McCollum),50,72
3,11:16.0,C. McCollum misses 2-pt layup from 3 ft,,50,72
3,11:14.0,,Defensive rebound by G. Antetokounmpo,50,72
3,11:05.0,,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),50,75
3,10:53.0,Shooting foul by E. Bledsoe (drawn by D. Lillard),,50,75
3,10:53.0,D. Lillard misses free throw 1 of 3,,50,75
3,10:53.0,Offensive rebound by Team,,50,75
3,10:53.0,D. Lillard makes free throw 2 of 3,,51,75
3,10:53.0,D. Lillard makes free throw 3 of 3,,52,75
3,10:42.0,,K. Middleton makes 2-pt layup from 2 ft (assist by B. Lopez),52,77
3,10:28.0,A. Aminu misses 3-pt jump shot from 28 ft,,52,77
3,10:25.0,,Defensive rebound by K. Middleton,52,77
3,10:20.0,,Personal foul by A. Aminu (drawn by G. Antetokounmpo),52,77
3,10:18.0,,Offensive foul by B. Lopez (drawn by A. Aminu),52,77
3,10:18.0,,Turnover by B. Lopez (offensive foul),52,77
3,10:07.0,D. Lillard makes 2-pt jump shot from 13 ft,,54,77
3,10:07.0,Shooting foul by B. Lopez (drawn by D. Lillard),,54,77
3,10:07.0,D. Lillard makes free throw 1 of 1,,55,77
3,9:51.0,,G. Antetokounmpo misses 2-pt jump shot from 10 ft,55,77
3,9:48.0,Defensive rebound by A. Aminu,,55,77
3,9:39.0,J. Nurkić makes 2-pt jump shot from 14 ft (assist by C. McCollum),,57,77
3,9:27.0,,K. Middleton makes 3-pt jump shot from 27 ft,57,80
3,9:11.0,M. Harkless misses 3-pt jump shot from 23 ft,,57,80
3,9:11.0,,Defensive rebound by E. Bledsoe,57,80
3,9:09.0,,Milwaukee full timeout,57,80
3,9:03.0,,Personal foul by C. McCollum (drawn by M. Brogdon),57,80
3,8:54.0,,M. Brogdon misses 3-pt jump shot from 26 ft,57,80
3,8:51.0,,Offensive rebound by G. Antetokounmpo,57,80
3,8:51.0,,G. Antetokounmpo makes 2-pt dunk at rim,57,82
3,8:51.0,,Shooting foul by M. Harkless (drawn by G. Antetokounmpo),57,82
3,8:51.0,,G. Antetokounmpo makes free throw 1 of 1,57,83
3,8:42.0,D. Lillard misses 3-pt jump shot from 30 ft,,57,83
3,8:39.0,Offensive rebound by M. Harkless,,57,83
3,8:37.0,A. Aminu misses 3-pt jump shot from 28 ft,,57,83
3,8:37.0,Offensive rebound by Team,,57,83
3,8:37.0,,Loose ball foul by B. Lopez (drawn by J. Nurkić),57,83
3,8:37.0,,E. İlyasova enters the game for B. Lopez,57,83
3,8:31.0,M. Harkless makes 2-pt dunk at rim (assist by D. Lillard),,59,83
3,8:07.0,,M. Brogdon misses 2-pt jump shot from 22 ft,59,83
3,8:04.0,Defensive rebound by A. Aminu,,59,83
3,8:00.0,Personal foul by E. İlyasova (drawn by D. Lillard),,59,83
3,8:00.0,D. Lillard makes free throw 1 of 2,,60,83
3,8:00.0,D. Lillard misses free throw 2 of 2,,60,83
3,7:57.0,,Defensive rebound by G. Antetokounmpo,60,83
3,7:43.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by E. Bledsoe),60,85
3,7:34.0,D. Lillard makes 2-pt layup from 1 ft,,62,85
3,7:33.0,Violation by Team (delay of game),,62,85
3,7:23.0,,K. Middleton makes 2-pt jump shot from 16 ft (assist by G. Antetokounmpo),62,87
3,7:12.0,C. McCollum makes 3-pt jump shot from 27 ft (assist by D. Lillard),,65,87
3,7:05.0,,G. Antetokounmpo misses 2-pt layup from 2 ft (block by A. Aminu),65,87
3,7:05.0,,Offensive rebound by Team,65,87
3,7:05.0,,P. Connaughton enters the game for M. Brogdon,65,87
3,6:57.0,,K. Middleton misses 2-pt jump shot from 3 ft (block by J. Nurkić),65,87
3,6:57.0,,Offensive rebound by Team,65,87
3,6:49.0,,P. Connaughton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),65,90
3,6:30.0,Turnover by D. Lillard (bad pass; steal by K. Middleton),,65,90
3,6:25.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,65,90
3,6:22.0,Defensive rebound by D. Lillard,,65,90
3,6:13.0,C. McCollum misses 3-pt jump shot from 27 ft,,65,90
3,6:10.0,,Defensive rebound by G. Antetokounmpo,65,90
3,6:07.0,,Personal foul by A. Aminu (drawn by G. Antetokounmpo),65,90
3,6:07.0,,G. Antetokounmpo misses free throw 1 of 2,65,90
3,6:07.0,,Offensive rebound by Team,65,90
3,6:07.0,E. Turner enters the game for M. Harkless,,65,90
3,6:07.0,,G. Antetokounmpo makes free throw 2 of 2,65,91
3,5:54.0,D. Lillard makes 2-pt layup from 1 ft (assist by E. Turner),,67,91
3,5:47.0,,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by K. Middleton),67,94
3,5:36.0,Shooting foul by E. İlyasova (drawn by C. McCollum),,67,94
3,5:36.0,C. McCollum makes free throw 1 of 2,,68,94
3,5:36.0,C. McCollum makes free throw 2 of 2,,69,94
3,5:24.0,,E. İlyasova misses 3-pt jump shot from 26 ft,69,94
3,5:21.0,Defensive rebound by E. Turner,,69,94
3,5:14.0,A. Aminu misses 3-pt jump shot from 24 ft,,69,94
3,5:14.0,Offensive rebound by J. Nurkić,,69,94
3,5:14.0,Personal foul by E. İlyasova (drawn by J. Nurkić),,69,94
3,5:14.0,J. Nurkić makes free throw 1 of 2,,70,94
3,5:14.0,,T. Maker enters the game for E. İlyasova,70,94
3,5:14.0,J. Nurkić misses free throw 2 of 2,,70,94
3,5:12.0,,Defensive rebound by G. Antetokounmpo,70,94
3,5:12.0,,Personal foul by D. Lillard (drawn by G. Antetokounmpo),70,94
3,5:12.0,,G. Antetokounmpo makes free throw 1 of 2,70,95
3,5:12.0,,G. Antetokounmpo makes free throw 2 of 2,70,96
3,4:59.0,J. Nurkić makes 2-pt layup from 1 ft,,72,96
3,4:44.0,,G. Antetokounmpo makes 2-pt jump shot from 19 ft,72,98
3,4:27.0,J. Nurkić misses 3-pt jump shot from 27 ft,,72,98
3,4:25.0,,Defensive rebound by K. Middleton,72,98
3,4:17.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,72,98
3,4:14.0,,Offensive rebound by T. Maker,72,98
3,4:08.0,,P. Connaughton makes 2-pt layup from 1 ft (assist by K. Middleton),72,100
3,4:00.0,C. McCollum makes 2-pt layup at rim,,74,100
3,4:00.0,Personal foul by K. Middleton (drawn by C. McCollum),,74,100
3,4:00.0,M. Leonard enters the game for J. Nurkić,,74,100
3,4:00.0,,T. Snell enters the game for K. Middleton,74,100
3,4:00.0,C. McCollum makes free throw 1 of 1,,75,100
3,3:47.0,,T. Snell misses 3-pt jump shot from 23 ft,75,100
3,3:44.0,Defensive rebound by A. Aminu,,75,100
3,3:44.0,Personal foul by T. Maker (drawn by A. Aminu),,75,100
3,3:44.0,A. Aminu makes free throw 1 of 2,,76,100
3,3:44.0,,M. Brogdon enters the game for E. Bledsoe,76,100
3,3:44.0,A. Aminu makes free throw 2 of 2,,77,100
3,3:30.0,,Turnover by G. Antetokounmpo (bad pass; steal by C. McCollum),77,100
3,3:25.0,C. McCollum misses 2-pt layup from 1 ft,,77,100
3,3:24.0,Offensive rebound by C. McCollum,,77,100
3,3:24.0,C. McCollum misses 2-pt layup from 2 ft,,77,100
3,3:24.0,Offensive rebound by A. Aminu,,77,100
3,3:21.0,A. Aminu makes 2-pt layup from 1 ft,,79,100
3,3:05.0,,G. Antetokounmpo misses 2-pt jump shot from 16 ft,79,100
3,3:04.0,Defensive rebound by D. Lillard,,79,100
3,2:56.0,A. Aminu misses 3-pt jump shot from 23 ft,,79,100
3,2:51.0,,Defensive rebound by P. Connaughton,79,100
3,2:43.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,79,100
3,2:41.0,Defensive rebound by Team,,79,100
3,2:41.0,Portland full timeout,,79,100
3,2:24.0,A. Aminu misses 3-pt jump shot from 28 ft,,79,100
3,2:21.0,,Defensive rebound by G. Antetokounmpo,79,100
3,2:14.0,,T. Snell makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),79,103
3,2:01.0,D. Lillard misses 3-pt jump shot from 27 ft,,79,103
3,1:58.0,,Defensive rebound by G. Antetokounmpo,79,103
3,1:53.0,,T. Snell makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),79,106
3,1:30.0,M. Leonard misses 2-pt jump shot from 14 ft,,79,106
3,1:27.0,,Defensive rebound by T. Maker,79,106
3,1:13.0,,T. Maker makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),79,109
3,0:50.0,D. Lillard misses 2-pt jump shot from 20 ft,,79,109
3,0:48.0,,Defensive rebound by G. Antetokounmpo,79,109
3,0:43.0,,P. Connaughton misses 3-pt jump shot from 27 ft,79,109
3,0:41.0,Defensive rebound by D. Lillard,,79,109
3,0:37.0,Offensive foul by C. McCollum (drawn by P. Connaughton),,79,109
3,0:37.0,Turnover by C. McCollum (offensive foul),,79,109
3,0:37.0,N. Stauskas enters the game for C. McCollum,,79,109
3,0:30.0,,T. Snell misses 3-pt jump shot from 24 ft,79,109
3,0:27.0,Defensive rebound by M. Leonard,,79,109
3,0:13.0,M. Leonard misses 3-pt jump shot from 26 ft,,79,109
3,0:10.0,,Defensive rebound by G. Antetokounmpo,79,109
3,0:05.0,,Turnover by T. Maker (step out of bounds),79,109
4,11:46.0,,M. Brogdon makes 2-pt layup from 1 ft,79,111
4,11:27.0,W. Baldwin misses 2-pt layup from 4 ft,,79,111
4,11:25.0,Offensive rebound by Z. Collins,,79,111
4,11:23.0,Z. Collins makes 2-pt layup from 2 ft,,81,111
4,11:14.0,,Personal foul by Z. Collins (drawn by T. Maker),81,111
4,11:14.0,,M. Dellavedova enters the game for P. Connaughton,81,111
4,11:07.0,,M. Brogdon misses 2-pt layup from 2 ft,81,111
4,11:07.0,Defensive rebound by M. Leonard,,81,111
4,10:54.0,A. Simons misses 2-pt jump shot from 17 ft,,81,111
4,10:49.0,,Defensive rebound by T. Maker,81,111
4,10:43.0,,T. Snell misses 3-pt jump shot from 29 ft,81,111
4,10:42.0,,Offensive rebound by Team,81,111
4,10:42.0,C. Swanigan enters the game for M. Leonard,,81,111
4,10:42.0,,C. Wood enters the game for M. Brogdon,81,111
4,10:36.0,,T. Snell misses 3-pt jump shot from 26 ft,81,111
4,10:30.0,Defensive rebound by C. Swanigan,,81,111
