QUARTER,TIME_REMAINING,DETROIT_ACTION,TORONTO_ACTION,DETROIT_SCORE,TORONTO_SCORE
1,5:39.0,G. Robinson misses 3-pt jump shot from 23 ft,,15,15
1,5:37.0,,Defensive rebound by P. Siakam,15,15
1,5:37.0,I. Smith enters the game for R. Jackson,,15,15
1,5:26.0,,Shooting foul by R. Bullock (drawn by K. Leonard),15,15
1,5:26.0,,K. Leonard makes free throw 1 of 2,15,16
1,5:26.0,Z. Pachulia enters the game for A. Drummond,,15,16
1,5:26.0,,K. Leonard makes free throw 2 of 2,15,17
1,5:10.0,Turnover by B. Griffin (lost ball; steal by K. Leonard),,15,17
1,5:06.0,,P. Siakam makes 2-pt dunk from 1 ft (assist by K. Leonard),15,19
1,4:48.0,Turnover by Z. Pachulia (lost ball; steal by K. Leonard),,15,19
1,4:37.0,,K. Lowry makes 2-pt layup from 3 ft (assist by P. Siakam),15,21
1,4:28.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by I. Smith),,17,21
1,4:28.0,Shooting foul by J. Valančiūnas (drawn by Z. Pachulia),,17,21
1,4:28.0,,G. Monroe enters the game for J. Valančiūnas,17,21
1,4:28.0,Z. Pachulia makes free throw 1 of 1,,18,21
1,4:15.0,,Turnover by G. Monroe (lost ball; steal by B. Griffin),18,21
1,4:11.0,B. Griffin makes 2-pt layup from 2 ft (assist by R. Bullock),,20,21
1,3:51.0,,D. Green misses 2-pt layup from 2 ft,20,21
1,3:48.0,,Offensive rebound by G. Monroe,20,21
1,3:48.0,,G. Monroe makes 2-pt layup from 1 ft,20,23
1,3:39.0,B. Griffin misses 2-pt jump shot from 8 ft,,20,23
1,3:35.0,,Defensive rebound by K. Leonard,20,23
1,3:29.0,,K. Leonard misses 3-pt jump shot from 26 ft,20,23
1,3:27.0,Defensive rebound by B. Griffin,,20,23
1,3:22.0,I. Smith misses 2-pt jump shot from 7 ft,,20,23
1,3:19.0,,Defensive rebound by K. Leonard,20,23
1,3:15.0,,P. Siakam makes 2-pt layup from 1 ft (assist by K. Leonard),20,25
1,2:53.0,R. Bullock misses 3-pt jump shot from 26 ft,,20,25
1,2:49.0,,Defensive rebound by K. Lowry,20,25
1,2:46.0,,Turnover by K. Lowry (bad pass; steal by R. Bullock),20,25
1,2:30.0,B. Griffin makes 2-pt layup from 4 ft,,22,25
1,2:30.0,,Toronto full timeout,22,25
1,2:30.0,J. Calderón enters the game for R. Bullock,,22,25
1,2:30.0,L. Galloway enters the game for B. Griffin,,22,25
1,2:30.0,S. Johnson enters the game for G. Robinson,,22,25
1,2:30.0,,O. Anunoby enters the game for K. Leonard,22,25
1,2:30.0,,F. VanVleet enters the game for K. Lowry,22,25
1,2:15.0,,P. Siakam misses 2-pt layup from 2 ft,22,25
1,2:14.0,,Offensive rebound by O. Anunoby,22,25
1,2:12.0,,O. Anunoby misses 2-pt layup from 2 ft,22,25
1,2:09.0,,Offensive rebound by P. Siakam,22,25
1,2:09.0,,P. Siakam makes 2-pt layup from 1 ft,22,27
1,1:55.0,L. Galloway misses 3-pt jump shot from 26 ft,,22,27
1,1:53.0,,Defensive rebound by G. Monroe,22,27
1,1:45.0,,D. Green misses 2-pt layup from 4 ft,22,27
1,1:44.0,,Offensive rebound by G. Monroe,22,27
1,1:44.0,,G. Monroe misses 2-pt layup from 1 ft,22,27
1,1:41.0,Defensive rebound by S. Johnson,,22,27
1,1:35.0,Personal foul by G. Monroe (drawn by Z. Pachulia),,22,27
1,1:35.0,,M. Richardson enters the game for D. Green,22,27
1,1:35.0,,D. Wright enters the game for P. Siakam,22,27
1,1:28.0,S. Johnson makes 2-pt hook shot from 4 ft (assist by L. Galloway),,24,27
1,1:04.0,,G. Monroe makes 2-pt layup from 1 ft (assist by O. Anunoby),24,29
1,0:58.0,L. Galloway makes 2-pt layup from 1 ft (assist by I. Smith),,26,29
1,0:39.0,,G. Monroe makes 2-pt layup from 2 ft,26,31
1,0:32.0,Z. Pachulia misses 2-pt layup from 1 ft,,26,31
1,0:30.0,Offensive rebound by Z. Pachulia,,26,31
1,0:30.0,Z. Pachulia misses 2-pt layup at rim,,26,31
1,0:29.0,,Defensive rebound by G. Monroe,26,31
1,0:13.0,,F. VanVleet misses 2-pt jump shot from 6 ft,26,31
1,0:12.0,,Offensive rebound by F. VanVleet,26,31
1,0:10.0,,O. Anunoby misses 3-pt jump shot from 24 ft,26,31
1,0:10.0,,Offensive rebound by D. Wright,26,31
1,0:00.0,,Personal foul by S. Johnson (drawn by D. Wright),26,31
1,0:00.0,,O. Anunoby misses 2-pt jump shot from 16 ft,26,31
1,0:00.0,,Offensive rebound by Team,26,31
2,11:55.0,,O. Anunoby makes 2-pt dunk from 1 ft (assist by F. VanVleet),26,33
2,11:39.0,L. Galloway makes 3-pt jump shot from 25 ft (assist by J. Calderón),,29,33
2,11:30.0,,Personal foul by J. Calderón (drawn by M. Richardson),29,33
2,11:23.0,,D. Wright misses 2-pt jump shot from 22 ft,29,33
2,11:20.0,Defensive rebound by I. Smith,,29,33
2,11:17.0,L. Galloway misses 3-pt jump shot from 26 ft,,29,33
2,11:14.0,,Defensive rebound by M. Richardson,29,33
2,11:07.0,,O. Anunoby makes 3-pt jump shot from 27 ft (assist by F. VanVleet),29,36
2,10:56.0,Personal foul by M. Richardson (drawn by A. Drummond),,29,36
2,10:47.0,S. Johnson misses 3-pt jump shot from 25 ft,,29,36
2,10:44.0,,Defensive rebound by G. Monroe,29,36
2,10:36.0,,G. Monroe makes 2-pt layup from 2 ft (assist by F. VanVleet),29,38
2,10:27.0,S. Johnson makes 2-pt layup from 1 ft (assist by I. Smith),,31,38
2,10:17.0,,F. VanVleet misses 2-pt jump shot from 16 ft,31,38
2,10:16.0,Defensive rebound by J. Calderón,,31,38
2,10:12.0,Personal foul by O. Anunoby (drawn by A. Drummond),,31,38
2,10:06.0,A. Drummond misses 2-pt hook shot from 10 ft,,31,38
2,10:03.0,,Defensive rebound by F. VanVleet,31,38
2,9:42.0,,F. VanVleet misses 3-pt jump shot from 26 ft,31,38
2,9:40.0,Defensive rebound by Team,,31,38
2,9:31.0,Turnover by J. Calderón (lost ball; steal by O. Anunoby),,31,38
2,9:14.0,,M. Richardson misses 2-pt jump shot from 9 ft (block by J. Calderón),31,38
2,9:14.0,,Offensive rebound by Team,31,38
2,9:14.0,Violation by Team (kicked ball),,31,38
2,9:14.0,,K. Lowry enters the game for M. Richardson,31,38
2,9:01.0,,K. Lowry makes 2-pt jump shot from 15 ft,31,40
2,8:56.0,Detroit full timeout,,31,40
2,8:56.0,B. Griffin enters the game for J. Calderón,,31,40
2,8:42.0,S. Johnson misses 3-pt jump shot from 26 ft,,31,40
2,8:39.0,,Defensive rebound by O. Anunoby,31,40
2,8:23.0,,O. Anunoby misses 3-pt jump shot from 26 ft,31,40
2,8:20.0,Defensive rebound by I. Smith,,31,40
2,8:15.0,Turnover by L. Galloway (bad pass; steal by F. VanVleet),,31,40
2,8:10.0,,O. Anunoby misses 2-pt layup from 2 ft,31,40
2,8:07.0,,Offensive rebound by O. Anunoby,31,40
2,8:07.0,,O. Anunoby misses 2-pt layup from 1 ft,31,40
2,8:07.0,Defensive rebound by A. Drummond,,31,40
2,7:55.0,Turnover by B. Griffin (bad pass; steal by G. Monroe),,31,40
2,7:47.0,,D. Wright misses 3-pt jump shot from 26 ft,31,40
2,7:45.0,Defensive rebound by A. Drummond,,31,40
2,7:38.0,B. Griffin makes 2-pt layup from 1 ft (assist by S. Johnson),,33,40
2,7:12.0,,G. Monroe makes 2-pt layup from 2 ft (assist by K. Lowry),33,42
2,7:02.0,B. Griffin makes 3-pt jump shot from 25 ft (assist by A. Drummond),,36,42
2,6:50.0,,Personal foul by I. Smith (drawn by G. Monroe),36,42
2,6:50.0,,K. Leonard enters the game for O. Anunoby,36,42
2,6:50.0,,P. Siakam enters the game for G. Monroe,36,42
2,6:50.0,,J. Valančiūnas enters the game for F. VanVleet,36,42
2,6:42.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft,36,44
2,6:31.0,A. Drummond misses 2-pt layup from 3 ft,,36,44
2,6:28.0,,Defensive rebound by K. Lowry,36,44
2,6:19.0,,D. Wright misses 3-pt jump shot from 24 ft,36,44
2,6:17.0,,Offensive rebound by K. Lowry,36,44
2,6:17.0,,Turnover by K. Lowry (bad pass),36,44
2,6:02.0,Personal foul by P. Siakam (drawn by B. Griffin),,36,44
2,5:55.0,B. Griffin makes 3-pt jump shot from 23 ft (assist by I. Smith),,39,44
2,5:43.0,,Personal foul by L. Galloway (drawn by K. Lowry),39,44
2,5:34.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft,39,46
2,5:20.0,B. Griffin misses 2-pt hook shot from 3 ft,,39,46
2,5:17.0,,Defensive rebound by K. Leonard,39,46
2,5:12.0,,P. Siakam makes 2-pt layup from 1 ft (assist by K. Leonard),39,48
2,5:06.0,Detroit full timeout,,39,48
2,5:06.0,Technical foul by A. Drummond,,39,48
2,5:06.0,,D. Green enters the game for D. Wright,39,48
2,5:06.0,,K. Leonard makes technical free throw,39,49
2,5:02.0,Def 3 sec tech foul by Team,,39,49
2,5:02.0,L. Galloway makes technical free throw,,40,49
2,5:00.0,Personal foul by P. Siakam (drawn by B. Griffin),,40,49
2,4:47.0,S. Johnson misses 3-pt jump shot from 26 ft,,40,49
2,4:43.0,,Defensive rebound by J. Valančiūnas,40,49
2,4:26.0,,Turnover by J. Valančiūnas (traveling),40,49
2,4:26.0,R. Bullock enters the game for S. Johnson,,40,49
2,4:12.0,B. Griffin makes 2-pt hook shot from 9 ft,,42,49
2,4:04.0,,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),42,51
2,3:40.0,I. Smith makes 2-pt jump shot from 6 ft,,44,51
2,3:19.0,,K. Leonard makes 2-pt jump shot from 13 ft,44,53
2,3:11.0,I. Smith misses 2-pt layup from 2 ft,,44,53
2,3:09.0,,Defensive rebound by K. Leonard,44,53
2,3:05.0,,K. Leonard misses 3-pt jump shot from 27 ft,44,53
2,3:02.0,,Offensive rebound by P. Siakam,44,53
2,3:02.0,,P. Siakam makes 2-pt layup from 3 ft,44,55
2,3:02.0,,Shooting foul by A. Drummond (drawn by P. Siakam),44,55
2,3:02.0,G. Robinson enters the game for L. Galloway,,44,55
2,3:02.0,,P. Siakam misses free throw 1 of 1,44,55
2,3:02.0,Defensive rebound by A. Drummond,,44,55
2,2:47.0,Personal foul by K. Lowry (drawn by G. Robinson),,44,55
2,2:47.0,G. Robinson makes free throw 1 of 2,,45,55
2,2:47.0,R. Jackson enters the game for I. Smith,,45,55
2,2:47.0,G. Robinson makes free throw 2 of 2,,46,55
2,2:39.0,,K. Lowry misses 2-pt jump shot from 15 ft,46,55
2,2:37.0,Defensive rebound by A. Drummond,,46,55
2,2:26.0,B. Griffin makes 2-pt hook shot from 2 ft,,48,55
2,2:15.0,,Personal foul by R. Jackson (drawn by J. Valančiūnas),48,55
2,2:15.0,,J. Valančiūnas makes free throw 1 of 2,48,56
2,2:15.0,,O. Anunoby enters the game for P. Siakam,48,56
2,2:15.0,,J. Valančiūnas makes free throw 2 of 2,48,57
2,2:03.0,Turnover by B. Griffin (traveling),,48,57
2,2:03.0,,G. Monroe enters the game for J. Valančiūnas,48,57
2,1:47.0,,O. Anunoby misses 3-pt jump shot from 24 ft,48,57
2,1:44.0,Defensive rebound by A. Drummond,,48,57
2,1:31.0,A. Drummond misses 2-pt hook shot from 4 ft,,48,57
2,1:28.0,,Defensive rebound by G. Monroe,48,57
2,1:24.0,,Shooting foul by B. Griffin (drawn by K. Lowry),48,57
2,1:24.0,,K. Lowry makes free throw 1 of 2,48,58
2,1:24.0,,K. Lowry misses free throw 2 of 2,48,58
2,1:22.0,Defensive rebound by A. Drummond,,48,58
2,1:16.0,Personal foul by O. Anunoby (drawn by B. Griffin),,48,58
2,1:16.0,B. Griffin makes free throw 1 of 2,,49,58
2,1:16.0,B. Griffin misses free throw 2 of 2,,49,58
2,1:11.0,,Defensive rebound by D. Green,49,58
2,1:08.0,,K. Leonard makes 2-pt dunk from 1 ft (assist by D. Green),49,60
2,1:00.0,R. Jackson misses 2-pt jump shot from 16 ft,,49,60
2,0:57.0,Offensive rebound by A. Drummond,,49,60
2,0:57.0,A. Drummond makes 2-pt layup at rim,,51,60
2,0:39.0,,D. Green makes 2-pt jump shot from 9 ft (assist by O. Anunoby),51,62
2,0:32.0,A. Drummond makes 2-pt hook shot from 2 ft (assist by R. Jackson),,53,62
2,0:29.0,,K. Lowry makes 3-pt jump shot from 26 ft,53,65
2,0:15.0,Turnover by R. Jackson (lost ball; steal by K. Leonard),,53,65
2,0:10.0,,K. Leonard misses 2-pt dunk from 2 ft (block by B. Griffin),53,65
2,0:10.0,,Offensive rebound by Team,53,65
2,0:00.0,,Turnover by K. Lowry (bad pass; steal by B. Griffin),53,65
3,11:46.0,,K. Leonard misses 2-pt jump shot from 20 ft,53,65
3,11:43.0,Defensive rebound by B. Griffin,,53,65
3,11:32.0,A. Drummond misses 2-pt hook shot from 8 ft,,53,65
3,11:30.0,,Defensive rebound by K. Leonard,53,65
3,11:19.0,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),53,68
3,10:59.0,R. Bullock misses 3-pt jump shot from 26 ft,,53,68
3,10:57.0,,Defensive rebound by D. Green,53,68
3,10:49.0,,K. Lowry makes 2-pt layup from 1 ft,53,70
3,10:24.0,B. Griffin misses 3-pt jump shot from 28 ft,,53,70
3,10:22.0,,Defensive rebound by J. Valančiūnas,53,70
3,10:14.0,,Turnover by K. Lowry (bad pass; steal by R. Bullock),53,70
3,9:57.0,R. Jackson misses 3-pt jump shot from 26 ft,,53,70
3,9:55.0,,Defensive rebound by P. Siakam,53,70
3,9:44.0,,Personal foul by R. Jackson (drawn by K. Lowry),53,70
3,9:35.0,,J. Valančiūnas misses 2-pt jump shot from 8 ft,53,70
3,9:32.0,Defensive rebound by B. Griffin,,53,70
3,9:25.0,R. Bullock misses 2-pt jump shot from 16 ft,,53,70
3,9:24.0,Offensive rebound by Team,,53,70
3,9:24.0,,Loose ball foul by P. Siakam (drawn by A. Drummond),53,70
3,9:22.0,Offensive foul by R. Bullock (drawn by K. Leonard),,53,70
3,9:22.0,Turnover by R. Bullock (offensive foul),,53,70
3,9:01.0,,P. Siakam misses 2-pt jump shot from 5 ft,53,70
3,8:59.0,Defensive rebound by B. Griffin,,53,70
3,8:51.0,B. Griffin makes 2-pt layup from 2 ft,,55,70
3,8:34.0,,Shooting foul by R. Bullock (drawn by K. Leonard),55,70
3,8:34.0,,K. Leonard misses free throw 1 of 2,55,70
3,8:34.0,,Offensive rebound by Team,55,70
3,8:34.0,,K. Leonard makes free throw 2 of 2,55,71
3,8:13.0,B. Griffin makes 2-pt jump shot from 21 ft,,57,71
3,8:01.0,,P. Siakam makes 2-pt hook shot from 4 ft,57,73
3,7:35.0,A. Drummond misses 2-pt jump shot from 11 ft,,57,73
3,7:33.0,,Defensive rebound by K. Lowry,57,73
3,7:30.0,,Offensive foul by P. Siakam (drawn by B. Griffin),57,73
3,7:30.0,,Turnover by P. Siakam (offensive foul),57,73
3,7:30.0,,F. VanVleet enters the game for D. Green,57,73
3,7:17.0,Shooting foul by J. Valančiūnas (drawn by A. Drummond),,57,73
3,7:17.0,A. Drummond makes free throw 1 of 2,,58,73
3,7:17.0,L. Galloway enters the game for G. Robinson,,58,73
3,7:17.0,,O. Anunoby enters the game for P. Siakam,58,73
3,7:17.0,A. Drummond misses free throw 2 of 2,,58,73
3,7:15.0,,Defensive rebound by J. Valančiūnas,58,73
3,6:52.0,,F. VanVleet misses 3-pt jump shot from 24 ft,58,73
3,6:48.0,,Offensive rebound by J. Valančiūnas,58,73
3,6:48.0,,J. Valančiūnas makes 2-pt layup at rim,58,75
3,6:40.0,A. Drummond misses 2-pt layup from 2 ft,,58,75
3,6:37.0,Offensive rebound by A. Drummond,,58,75
3,6:36.0,A. Drummond makes 2-pt jump shot from 2 ft,,60,75
3,6:23.0,,J. Valančiūnas makes 2-pt hook shot from 6 ft (assist by K. Lowry),60,77
3,6:10.0,R. Bullock misses 3-pt jump shot from 26 ft,,60,77
3,6:09.0,,Defensive rebound by Team,60,77
3,6:09.0,,Toronto full timeout,60,77
3,5:58.0,,K. Leonard makes 2-pt jump shot from 18 ft,60,79
3,5:46.0,Shooting foul by J. Valančiūnas (drawn by A. Drummond),,60,79
3,5:46.0,A. Drummond misses free throw 1 of 2,,60,79
3,5:46.0,Offensive rebound by Team,,60,79
3,5:46.0,,G. Monroe enters the game for J. Valančiūnas,60,79
3,5:46.0,A. Drummond misses free throw 2 of 2,,60,79
3,5:45.0,,Defensive rebound by K. Leonard,60,79
3,5:29.0,,K. Leonard misses 2-pt jump shot from 18 ft,60,79
3,5:26.0,Defensive rebound by B. Griffin,,60,79
3,5:19.0,L. Galloway makes 2-pt layup from 5 ft (assist by R. Jackson),,62,79
3,5:12.0,,Personal foul by L. Galloway (drawn by K. Lowry),62,79
3,5:07.0,,Turnover by K. Leonard (out of bounds lost ball),62,79
3,4:53.0,L. Galloway makes 2-pt jump shot from 18 ft (assist by B. Griffin),,64,79
3,4:24.0,,F. VanVleet misses 2-pt jump shot from 16 ft (block by A. Drummond),64,79
3,4:21.0,Defensive rebound by R. Jackson,,64,79
3,4:17.0,R. Bullock misses 3-pt jump shot from 23 ft,,64,79
3,4:15.0,,Defensive rebound by G. Monroe,64,79
3,4:10.0,,F. VanVleet makes 2-pt layup from 1 ft,64,81
3,3:57.0,B. Griffin makes 2-pt jump shot from 4 ft (assist by R. Jackson),,66,81
3,3:47.0,,G. Monroe makes 2-pt layup from 2 ft (assist by K. Leonard),66,83
3,3:47.0,Detroit full timeout,,66,83
3,3:47.0,J. Leuer enters the game for A. Drummond,,66,83
3,3:47.0,I. Smith enters the game for R. Jackson,,66,83
3,3:35.0,Offensive foul by J. Leuer (drawn by K. Lowry),,66,83
3,3:35.0,Turnover by J. Leuer (offensive foul),,66,83
3,3:16.0,,K. Leonard misses 2-pt jump shot from 13 ft,66,83
3,3:13.0,,Offensive rebound by G. Monroe,66,83
3,3:13.0,,G. Monroe makes 2-pt hook shot from 3 ft,66,85
3,3:04.0,I. Smith makes 2-pt layup from 4 ft,,68,85
3,2:53.0,,G. Monroe misses 2-pt layup from 2 ft,68,85
3,2:51.0,Defensive rebound by L. Galloway,,68,85
3,2:31.0,I. Smith makes 2-pt jump shot from 15 ft,,70,85
3,2:14.0,,O. Anunoby misses 3-pt jump shot from 23 ft,70,85
3,2:10.0,Defensive rebound by J. Leuer,,70,85
3,2:01.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by I. Smith),,73,85
3,2:01.0,,Toronto full timeout,73,85
3,2:01.0,,M. Richardson enters the game for K. Leonard,73,85
3,2:01.0,,D. Wright enters the game for K. Lowry,73,85
3,1:47.0,,O. Anunoby makes 2-pt dunk at rim (assist by F. VanVleet),73,87
3,1:31.0,B. Griffin makes 2-pt layup from 1 ft (assist by J. Leuer),,75,87
3,1:21.0,,Turnover by G. Monroe (lost ball; steal by B. Griffin),75,87
3,1:14.0,Turnover by B. Griffin (lost ball; steal by O. Anunoby),,75,87
3,1:09.0,,M. Richardson misses 3-pt jump shot from 26 ft,75,87
3,1:06.0,Defensive rebound by L. Galloway,,75,87
3,0:59.0,B. Griffin misses 3-pt jump shot from 27 ft,,75,87
3,0:57.0,Offensive rebound by B. Griffin,,75,87
3,0:56.0,Turnover by B. Griffin (bad pass; steal by D. Wright),,75,87
3,0:55.0,,Turnover by D. Wright (bad pass; steal by J. Leuer),75,87
3,0:53.0,J. Leuer makes 2-pt layup from 1 ft,,77,87
3,0:32.0,,Shooting foul by I. Smith (drawn by G. Monroe),77,87
3,0:32.0,,G. Monroe misses free throw 1 of 2,77,87
3,0:32.0,,Offensive rebound by Team,77,87
3,0:32.0,,G. Monroe makes free throw 2 of 2,77,88
3,0:20.0,Personal foul by O. Anunoby (drawn by I. Smith),,77,88
3,0:14.0,J. Leuer misses 3-pt jump shot from 23 ft,,77,88
3,0:11.0,,Defensive rebound by D. Wright,77,88
3,0:00.0,,O. Anunoby misses 3-pt jump shot from 23 ft,77,88
3,0:00.0,,Offensive rebound by Team,77,88
4,11:49.0,Personal foul by M. Richardson (drawn by R. Bullock),,77,88
4,11:42.0,I. Smith makes 2-pt jump shot from 12 ft,,79,88
4,11:28.0,,Personal foul by S. Johnson (drawn by O. Anunoby),79,88
4,11:22.0,,F. VanVleet makes 2-pt jump shot from 20 ft (assist by D. Wright),79,90
4,11:12.0,I. Smith misses 2-pt layup from 3 ft,,79,90
4,11:09.0,Offensive rebound by J. Leuer,,79,90
4,11:09.0,J. Leuer makes 2-pt layup from 1 ft,,81,90
4,10:57.0,,Turnover by G. Monroe (bad pass),81,90
4,10:45.0,Offensive foul by J. Leuer (drawn by F. VanVleet),,81,90
4,10:45.0,Turnover by J. Leuer (offensive foul),,81,90
4,10:34.0,,F. VanVleet misses 2-pt layup from 1 ft (block by I. Smith),81,90
4,10:32.0,Defensive rebound by J. Leuer,,81,90
4,10:29.0,L. Galloway misses 3-pt jump shot from 23 ft,,81,90
4,10:26.0,,Defensive rebound by M. Richardson,81,90
4,10:18.0,,Turnover by M. Richardson (out of bounds lost ball),81,90
4,10:03.0,I. Smith misses 3-pt jump shot from 24 ft (block by O. Anunoby),,81,90
4,10:00.0,,Defensive rebound by G. Monroe,81,90
4,9:54.0,,D. Wright misses 3-pt jump shot from 23 ft,81,90
4,9:51.0,Defensive rebound by J. Leuer,,81,90
4,9:51.0,R. Jackson enters the game for I. Smith,,81,90
4,9:51.0,,K. Lowry enters the game for O. Anunoby,81,90
4,9:51.0,,P. Siakam enters the game for M. Richardson,81,90
4,9:37.0,Turnover by L. Galloway (bad pass; steal by P. Siakam),,81,90
4,9:31.0,,G. Monroe makes 2-pt layup from 2 ft (assist by D. Wright),81,92
4,9:20.0,S. Johnson makes 2-pt layup from 1 ft (assist by R. Jackson),,83,92
4,9:10.0,,Personal foul by J. Leuer (drawn by P. Siakam),83,92
4,9:10.0,A. Drummond enters the game for R. Bullock,,83,92
4,9:10.0,B. Griffin enters the game for J. Leuer,,83,92
4,9:03.0,,K. Lowry misses 3-pt jump shot from 26 ft,83,92
4,9:01.0,Defensive rebound by B. Griffin,,83,92
4,8:50.0,L. Galloway makes 3-pt jump shot from 28 ft (assist by B. Griffin),,86,92
4,8:25.0,,Personal foul by B. Griffin (drawn by P. Siakam),86,92
4,8:25.0,,K. Leonard enters the game for G. Monroe,86,92
4,8:25.0,,J. Valančiūnas enters the game for D. Wright,86,92
4,8:12.0,,J. Valančiūnas misses 2-pt jump shot from 7 ft,86,92
4,8:09.0,Defensive rebound by B. Griffin,,86,92
4,7:57.0,R. Jackson makes 2-pt jump shot from 13 ft (assist by A. Drummond),,88,92
4,7:55.0,,Toronto full timeout,88,92
4,7:38.0,,K. Leonard misses 2-pt jump shot from 3 ft,88,92
4,7:37.0,Defensive rebound by A. Drummond,,88,92
4,7:22.0,A. Drummond misses 2-pt hook shot from 6 ft (block by J. Valančiūnas),,88,92
4,7:22.0,Offensive rebound by Team,,88,92
4,7:20.0,Personal foul by F. VanVleet (drawn by A. Drummond),,88,92
4,7:06.0,B. Griffin misses 3-pt jump shot from 63 ft,,88,92
4,7:06.0,Offensive rebound by Team,,88,92
4,7:06.0,Turnover by Team (shot clock),,88,92
4,6:59.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by F. VanVleet),88,95
4,6:44.0,R. Jackson makes 2-pt jump shot from 13 ft,,90,95
4,6:35.0,,Offensive foul by K. Leonard (drawn by S. Johnson),90,95
4,6:35.0,,Turnover by K. Leonard (offensive foul),90,95
4,6:17.0,S. Johnson makes 3-pt jump shot from 23 ft (assist by L. Galloway),,93,95
4,6:14.0,,Turnover by J. Valančiūnas (bad pass),93,95
4,6:08.0,B. Griffin misses 3-pt jump shot from 27 ft,,93,95
4,6:05.0,,Defensive rebound by P. Siakam,93,95
4,5:55.0,,Personal foul by S. Johnson (drawn by J. Valančiūnas),93,95
4,5:48.0,,K. Leonard makes 2-pt layup from 2 ft (assist by K. Lowry),93,97
4,5:32.0,S. Johnson makes 3-pt jump shot from 23 ft (assist by R. Jackson),,96,97
4,5:23.0,,Turnover by K. Leonard (lost ball; steal by S. Johnson),96,97
4,5:20.0,Offensive foul by A. Drummond (drawn by K. Lowry),,96,97
4,5:20.0,Turnover by A. Drummond (offensive foul),,96,97
