QUARTER,TIME_REMAINING,PORTLAND_ACTION,MIAMI_ACTION,PORTLAND_SCORE,MIAMI_SCORE
1,2:18.0,,J. Winslow makes free throw 1 of 2,20,25
1,2:18.0,,J. Richardson enters the game for G. Dragić,20,25
1,2:18.0,,J. Winslow misses free throw 2 of 2,20,25
1,2:15.0,Defensive rebound by M. Harkless,,20,25
1,2:08.0,Z. Collins misses 3-pt jump shot from 26 ft,,20,25
1,2:04.0,,Defensive rebound by J. Richardson,20,25
1,1:54.0,,D. Wade makes 2-pt layup from 2 ft,20,27
1,1:36.0,Turnover by N. Stauskas (bad pass; steal by T. Johnson),,20,27
1,1:36.0,,Personal foul by Z. Collins (drawn by T. Johnson),20,27
1,1:25.0,,T. Johnson misses 3-pt jump shot from 26 ft,20,27
1,1:21.0,Defensive rebound by Z. Collins,,20,27
1,1:06.0,N. Stauskas misses 2-pt layup from 3 ft,,20,27
1,1:04.0,Offensive rebound by N. Stauskas,,20,27
1,0:58.0,Shooting foul by J. Winslow (drawn by E. Turner),,20,27
1,0:58.0,E. Turner makes free throw 1 of 2,,21,27
1,0:58.0,E. Turner makes free throw 2 of 2,,22,27
1,0:48.0,,J. Winslow makes 3-pt jump shot from 26 ft (assist by J. Richardson),22,30
1,0:34.0,Turnover by E. Turner (bad pass; steal by J. Richardson),,22,30
1,0:29.0,,Turnover by B. Adebayo (bad pass),22,30
1,0:09.0,E. Turner misses 2-pt jump shot from 18 ft,,22,30
1,0:08.0,,Defensive rebound by J. Winslow,22,30
1,0:01.0,,T. Johnson makes 3-pt jump shot from 24 ft (assist by J. Richardson),22,33
1,0:01.0,,Violation by Team (delay of game),22,33
2,11:44.0,C. McCollum misses 2-pt jump shot from 16 ft,,22,33
2,11:38.0,,Defensive rebound by J. Winslow,22,33
2,11:34.0,,J. Richardson misses 3-pt jump shot from 25 ft,22,33
2,11:32.0,Defensive rebound by M. Harkless,,22,33
2,11:22.0,M. Harkless misses 2-pt jump shot from 22 ft,,22,33
2,11:20.0,,Defensive rebound by T. Johnson,22,33
2,11:12.0,,D. Wade makes 3-pt jump shot from 23 ft,22,36
2,10:53.0,E. Turner misses 2-pt jump shot from 18 ft,,22,36
2,10:51.0,,Defensive rebound by J. Richardson,22,36
2,10:46.0,,J. Winslow misses 2-pt layup from 2 ft,22,36
2,10:46.0,,Offensive rebound by B. Adebayo,22,36
2,10:46.0,,B. Adebayo makes 2-pt dunk from 1 ft,22,38
2,10:46.0,Portland full timeout,,22,38
2,10:27.0,Z. Collins misses 2-pt jump shot from 17 ft,,22,38
2,10:26.0,,Defensive rebound by D. Wade,22,38
2,10:17.0,,D. Wade makes 3-pt jump shot from 24 ft (assist by T. Johnson),22,41
2,9:57.0,C. McCollum misses 2-pt layup from 1 ft (block by J. Winslow),,22,41
2,9:57.0,,Defensive rebound by Team,22,41
2,9:57.0,Loose ball foul by Z. Collins (drawn by J. Winslow),,22,41
2,9:57.0,D. Lillard enters the game for Z. Collins,,22,41
2,9:57.0,J. Nurkić enters the game for E. Turner,,22,41
2,9:41.0,,B. Adebayo misses 2-pt jump shot from 7 ft (block by M. Harkless),22,41
2,9:36.0,Defensive rebound by D. Lillard,,22,41
2,9:34.0,M. Harkless makes 2-pt layup from 1 ft (assist by D. Lillard),,24,41
2,9:20.0,,T. Johnson misses 3-pt jump shot from 23 ft,24,41
2,9:16.0,Defensive rebound by J. Nurkić,,24,41
2,9:12.0,D. Lillard misses 3-pt jump shot from 26 ft,,24,41
2,9:12.0,,Defensive rebound by Team,24,41
2,8:59.0,,J. Richardson misses 2-pt layup from 1 ft (block by M. Harkless),24,41
2,8:59.0,,Offensive rebound by Team,24,41
2,8:55.0,Violation by Team (kicked ball),,24,41
2,8:48.0,,B. Adebayo misses 2-pt jump shot from 12 ft,24,41
2,8:42.0,Defensive rebound by M. Harkless,,24,41
2,8:36.0,Shooting foul by J. Richardson (drawn by D. Lillard),,24,41
2,8:36.0,D. Lillard makes free throw 1 of 2,,25,41
2,8:36.0,D. Lillard makes free throw 2 of 2,,26,41
2,8:19.0,,Turnover by B. Adebayo (lost ball; steal by M. Harkless),26,41
2,8:11.0,D. Lillard makes 2-pt layup from 1 ft,,28,41
2,7:57.0,,J. Winslow misses 2-pt layup from 1 ft,28,41
2,7:55.0,Defensive rebound by M. Harkless,,28,41
2,7:50.0,S. Curry misses 3-pt jump shot from 26 ft,,28,41
2,7:46.0,,Defensive rebound by T. Johnson,28,41
2,7:37.0,,D. Wade misses 3-pt jump shot from 25 ft,28,41
2,7:32.0,Defensive rebound by J. Nurkić,,28,41
2,7:32.0,,G. Dragić enters the game for B. Adebayo,28,41
2,7:32.0,,R. McGruder enters the game for J. Richardson,28,41
2,7:32.0,,H. Whiteside enters the game for D. Wade,28,41
2,7:21.0,D. Lillard misses 3-pt jump shot from 26 ft,,28,41
2,7:17.0,Offensive rebound by S. Curry,,28,41
2,7:12.0,Turnover by S. Curry (lost ball; steal by R. McGruder),,28,41
2,7:06.0,,G. Dragić makes 2-pt layup from 1 ft (assist by R. McGruder),28,43
2,6:39.0,D. Lillard misses 2-pt jump shot from 8 ft,,28,43
2,6:36.0,,Defensive rebound by H. Whiteside,28,43
2,6:35.0,,Shooting foul by S. Curry (drawn by J. Winslow),28,43
2,6:35.0,,J. Winslow makes free throw 1 of 2,28,44
2,6:35.0,,J. Winslow misses free throw 2 of 2,28,44
2,6:32.0,Defensive rebound by C. McCollum,,28,44
2,6:21.0,C. McCollum misses 2-pt layup from 1 ft (block by H. Whiteside),,28,44
2,6:18.0,,Defensive rebound by J. Winslow,28,44
2,6:09.0,,T. Johnson misses 3-pt jump shot from 28 ft,28,44
2,6:05.0,Defensive rebound by C. McCollum,,28,44
2,6:05.0,A. Aminu enters the game for M. Harkless,,28,44
2,5:52.0,J. Nurkić makes 2-pt jump shot from 22 ft (assist by S. Curry),,30,44
2,5:39.0,,J. Winslow misses 2-pt jump shot from 8 ft,30,44
2,5:39.0,Defensive rebound by Team,,30,44
2,5:39.0,N. Stauskas enters the game for S. Curry,,30,44
2,5:26.0,Turnover by D. Lillard (bad pass; steal by J. Winslow),,30,44
2,5:20.0,,G. Dragić misses 2-pt layup from 1 ft (block by C. McCollum),30,44
2,5:15.0,Defensive rebound by J. Nurkić,,30,44
2,5:00.0,C. McCollum misses 3-pt jump shot from 25 ft,,30,44
2,4:55.0,Offensive rebound by C. McCollum,,30,44
2,4:53.0,C. McCollum makes 2-pt jump shot from 10 ft,,32,44
2,4:53.0,,Miami full timeout,32,44
2,4:53.0,,K. Olynyk enters the game for J. Winslow,32,44
2,4:47.0,,Shooting foul by D. Lillard (drawn by G. Dragić),32,44
2,4:47.0,,G. Dragić makes free throw 1 of 2,32,45
2,4:47.0,,G. Dragić makes free throw 2 of 2,32,46
2,4:35.0,Personal foul by H. Whiteside (drawn by C. McCollum),,32,46
2,4:25.0,N. Stauskas misses 2-pt layup from 2 ft,,32,46
2,4:24.0,Offensive rebound by J. Nurkić,,32,46
2,4:23.0,J. Nurkić makes 2-pt layup at rim,,34,46
2,4:04.0,,R. McGruder makes 2-pt layup from 1 ft,34,48
2,3:53.0,Turnover by J. Nurkić (bad pass; steal by K. Olynyk),,34,48
2,3:43.0,,Turnover by K. Olynyk (discontinued dribble),34,48
2,3:43.0,,J. Richardson enters the game for T. Johnson,34,48
2,3:26.0,D. Lillard makes 2-pt jump shot from 21 ft,,36,48
2,3:21.0,,Personal foul by N. Stauskas (drawn by R. McGruder),36,48
2,3:12.0,,G. Dragić misses 3-pt jump shot from 25 ft,36,48
2,3:10.0,,Offensive rebound by H. Whiteside,36,48
2,3:04.0,,H. Whiteside misses 2-pt jump shot from 17 ft,36,48
2,3:00.0,,Offensive rebound by K. Olynyk,36,48
2,3:00.0,,K. Olynyk makes 2-pt dunk from 1 ft,36,50
2,2:46.0,C. McCollum misses 3-pt jump shot from 26 ft,,36,50
2,2:43.0,Offensive rebound by D. Lillard,,36,50
2,2:39.0,D. Lillard misses 3-pt jump shot from 25 ft,,36,50
2,2:39.0,,Defensive rebound by H. Whiteside,36,50
2,2:20.0,,R. McGruder misses 2-pt jump shot from 6 ft,36,50
2,2:20.0,Defensive rebound by A. Aminu,,36,50
2,2:06.0,D. Lillard makes 2-pt layup from 1 ft,,38,50
2,1:56.0,,G. Dragić makes 2-pt layup from 2 ft,38,52
2,1:44.0,C. McCollum misses 2-pt jump shot from 16 ft,,38,52
2,1:43.0,,Defensive rebound by G. Dragić,38,52
2,1:37.0,,G. Dragić misses 3-pt jump shot from 27 ft,38,52
2,1:35.0,Defensive rebound by J. Nurkić,,38,52
2,1:17.0,,Loose ball foul by J. Richardson (drawn by A. Aminu),38,52
2,1:17.0,,D. Wade enters the game for K. Olynyk,38,52
2,1:17.0,,J. Winslow enters the game for J. Richardson,38,52
2,1:09.0,D. Lillard makes 2-pt jump shot from 10 ft,,40,52
2,0:48.0,,D. Wade makes 2-pt layup from 1 ft,40,54
2,0:32.0,D. Lillard makes 2-pt layup from 1 ft,,42,54
2,0:09.0,,H. Whiteside misses 2-pt hook shot from 8 ft,42,54
2,0:07.0,,Offensive rebound by R. McGruder,42,54
2,0:05.0,,R. McGruder misses 2-pt jump shot from 11 ft,42,54
2,0:01.0,,Offensive rebound by D. Wade,42,54
2,0:00.0,,D. Wade makes 3-pt jump shot from 23 ft (assist by J. Winslow),42,57
3,11:48.0,J. Layman makes 2-pt dunk at rim (assist by D. Lillard),,44,57
3,11:26.0,,R. McGruder makes 2-pt jump shot from 9 ft,44,59
3,11:19.0,D. Lillard makes 3-pt jump shot from 26 ft,,47,59
3,10:57.0,Violation by Team (kicked ball),,47,59
3,10:48.0,,G. Dragić makes 2-pt layup from 1 ft (assist by K. Olynyk),47,61
3,10:36.0,Shooting foul by R. McGruder (drawn by D. Lillard),,47,61
3,10:36.0,D. Lillard makes free throw 1 of 2,,48,61
3,10:36.0,D. Lillard makes free throw 2 of 2,,49,61
3,10:20.0,,K. Olynyk misses 3-pt jump shot from 26 ft,49,61
3,10:18.0,Defensive rebound by C. McCollum,,49,61
3,10:11.0,C. McCollum misses 2-pt jump shot from 13 ft,,49,61
3,10:08.0,,Defensive rebound by K. Olynyk,49,61
3,10:00.0,,Turnover by J. Richardson (bad pass; steal by A. Aminu),49,61
3,9:58.0,Shooting foul by G. Dragić (drawn by A. Aminu),,49,61
3,9:58.0,A. Aminu makes free throw 1 of 2,,50,61
3,9:58.0,A. Aminu makes free throw 2 of 2,,51,61
3,9:46.0,,J. Richardson makes 2-pt jump shot from 16 ft,51,63
3,9:34.0,D. Lillard misses 2-pt jump shot from 15 ft,,51,63
3,9:31.0,,Defensive rebound by H. Whiteside,51,63
3,9:24.0,,Personal foul by J. Nurkić (drawn by H. Whiteside),51,63
3,9:15.0,,Turnover by J. Richardson (bad pass; steal by A. Aminu),51,63
3,9:07.0,C. McCollum makes 3-pt jump shot from 27 ft (assist by J. Layman),,54,63
3,8:51.0,,G. Dragić misses 2-pt jump shot from 11 ft,54,63
3,8:50.0,Defensive rebound by J. Nurkić,,54,63
3,8:50.0,Personal foul by K. Olynyk (drawn by J. Nurkić),,54,63
3,8:35.0,J. Nurkić misses 2-pt layup from 2 ft (block by H. Whiteside),,54,63
3,8:31.0,,Defensive rebound by J. Richardson,54,63
3,8:27.0,,J. Richardson makes 2-pt jump shot from 22 ft,54,65
3,8:05.0,A. Aminu misses 3-pt jump shot from 26 ft (block by H. Whiteside),,54,65
3,8:04.0,,Defensive rebound by K. Olynyk,54,65
3,8:03.0,,Personal foul by A. Aminu (drawn by K. Olynyk),54,65
3,7:51.0,,G. Dragić makes 2-pt layup from 1 ft,54,67
3,7:51.0,Portland full timeout,,54,67
3,7:40.0,D. Lillard makes 2-pt jump shot from 19 ft,,56,67
3,7:14.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by J. Richardson),56,70
3,6:59.0,D. Lillard makes 3-pt jump shot from 27 ft,,59,70
3,6:59.0,Away from play foul by H. Whiteside (drawn by J. Nurkić),,59,70
3,6:59.0,J. Nurkić makes free throw 1 of 1,,60,70
3,6:45.0,Violation by Team (kicked ball),,60,70
3,6:35.0,,J. Richardson misses 3-pt jump shot from 25 ft,60,70
3,6:32.0,,Offensive rebound by G. Dragić,60,70
3,6:32.0,,G. Dragić misses 3-pt jump shot from 25 ft,60,70
3,6:32.0,,Offensive rebound by Team,60,70
3,6:32.0,Loose ball foul by C. McCollum (drawn by J. Richardson),,60,70
3,6:20.0,,Turnover by G. Dragić (bad pass; steal by J. Nurkić),60,70
3,6:13.0,C. McCollum misses 2-pt layup from 1 ft,,60,70
3,6:11.0,,Defensive rebound by H. Whiteside,60,70
3,6:06.0,,K. Olynyk makes 3-pt jump shot from 23 ft (assist by R. McGruder),60,73
3,5:49.0,A. Aminu misses 3-pt jump shot from 25 ft,,60,73
3,5:47.0,Offensive rebound by D. Lillard,,60,73
3,5:41.0,D. Lillard misses 3-pt jump shot from 23 ft,,60,73
3,5:40.0,,Defensive rebound by H. Whiteside,60,73
3,5:34.0,,H. Whiteside misses 2-pt jump shot from 5 ft,60,73
3,5:34.0,,Offensive rebound by R. McGruder,60,73
3,5:34.0,,R. McGruder makes 2-pt layup at rim,60,75
3,5:34.0,,Shooting foul by D. Lillard (drawn by R. McGruder),60,75
3,5:34.0,E. Turner enters the game for J. Layman,,60,75
3,5:34.0,,D. Wade enters the game for J. Richardson,60,75
3,5:34.0,,R. McGruder makes free throw 1 of 1,60,76
3,5:24.0,Turnover by J. Nurkić (offensive foul),,60,76
3,5:24.0,Offensive foul by J. Nurkić (drawn by K. Olynyk),,60,76
3,5:24.0,M. Leonard enters the game for J. Nurkić,,60,76
3,5:19.0,,Shooting foul by C. McCollum (drawn by R. McGruder),60,76
3,5:19.0,,R. McGruder makes free throw 1 of 2,60,77
3,5:19.0,Z. Collins enters the game for A. Aminu,,60,77
3,5:19.0,,R. McGruder makes free throw 2 of 2,60,78
3,5:08.0,D. Lillard misses 2-pt layup from 1 ft,,60,78
3,5:08.0,Offensive rebound by Team,,60,78
3,5:08.0,,Loose ball foul by D. Wade (drawn by M. Leonard),60,78
3,5:08.0,M. Leonard makes free throw 1 of 2,,61,78
3,5:08.0,M. Leonard makes free throw 2 of 2,,62,78
3,5:02.0,,Offensive foul by H. Whiteside (drawn by D. Lillard),62,78
3,5:02.0,,Turnover by H. Whiteside (offensive foul),62,78
3,4:36.0,E. Turner misses 2-pt layup from 1 ft,,62,78
3,4:34.0,,Defensive rebound by H. Whiteside,62,78
3,4:28.0,,K. Olynyk misses 3-pt jump shot from 25 ft,62,78
3,4:24.0,Defensive rebound by D. Lillard,,62,78
3,4:20.0,Z. Collins makes 2-pt layup from 1 ft (assist by D. Lillard),,64,78
3,4:09.0,,H. Whiteside misses 3-pt jump shot from 25 ft,64,78
3,4:05.0,Defensive rebound by C. McCollum,,64,78
3,3:59.0,Shooting foul by D. Wade (drawn by C. McCollum),,64,78
3,3:59.0,,Technical foul by D. Wade,64,78
3,3:59.0,C. McCollum misses technical free throw,,64,78
3,3:59.0,Offensive rebound by Team,,64,78
3,3:59.0,C. McCollum makes free throw 1 of 2,,65,78
3,3:59.0,C. McCollum misses free throw 2 of 2,,65,78
3,3:57.0,,Defensive rebound by H. Whiteside,65,78
3,3:54.0,,Miami full timeout,65,78
3,3:54.0,S. Curry enters the game for C. McCollum,,65,78
3,3:38.0,,D. Wade misses 2-pt jump shot from 11 ft,65,78
3,3:36.0,,Offensive rebound by R. McGruder,65,78
3,3:33.0,,G. Dragić makes 3-pt jump shot from 25 ft,65,81
3,3:16.0,D. Lillard makes 3-pt jump shot from 25 ft,,68,81
3,2:54.0,,D. Wade misses 2-pt jump shot from 20 ft (block by E. Turner),68,81
3,2:53.0,,Offensive rebound by D. Wade,68,81
3,2:52.0,,D. Wade misses 2-pt jump shot from 18 ft,68,81
3,2:51.0,,Offensive rebound by Team,68,81
3,2:46.0,,Turnover by Team (shot clock),68,81
3,2:31.0,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Lillard),,71,81
3,2:08.0,,Personal foul by D. Lillard (drawn by K. Olynyk),71,81
3,2:08.0,,K. Olynyk makes free throw 1 of 2,71,82
3,2:08.0,,B. Adebayo enters the game for G. Dragić,71,82
3,2:08.0,,J. Richardson enters the game for H. Whiteside,71,82
3,2:08.0,,K. Olynyk makes free throw 2 of 2,71,83
3,1:56.0,Shooting foul by B. Adebayo (drawn by D. Lillard),,71,83
3,1:56.0,D. Lillard makes free throw 1 of 2,,72,83
3,1:56.0,,J. Winslow enters the game for K. Olynyk,72,83
3,1:56.0,D. Lillard makes free throw 2 of 2,,73,83
3,1:46.0,,Shooting foul by E. Turner (drawn by D. Wade),73,83
3,1:46.0,,D. Wade makes free throw 1 of 2,73,84
3,1:46.0,,T. Johnson enters the game for R. McGruder,73,84
3,1:46.0,,D. Wade misses free throw 2 of 2,73,84
3,1:46.0,Defensive rebound by M. Leonard,,73,84
3,1:29.0,M. Leonard misses 3-pt jump shot from 25 ft,,73,84
3,1:29.0,Offensive rebound by Z. Collins,,73,84
3,1:29.0,Shooting foul by D. Wade (drawn by Z. Collins),,73,84
3,1:29.0,Z. Collins makes free throw 1 of 2,,74,84
3,1:29.0,Z. Collins makes free throw 2 of 2,,75,84
3,1:14.0,,J. Richardson misses 2-pt jump shot from 14 ft,75,84
3,1:10.0,Defensive rebound by D. Lillard,,75,84
3,1:04.0,E. Turner makes 2-pt layup from 1 ft,,77,84
3,0:57.0,,J. Winslow makes 2-pt jump shot from 4 ft (assist by T. Johnson),77,86
3,0:57.0,,Shooting foul by Z. Collins (drawn by J. Winslow),77,86
3,0:57.0,,J. Winslow makes free throw 1 of 1,77,87
3,0:46.0,Personal foul by J. Winslow (drawn by Z. Collins),,77,87
3,0:46.0,Z. Collins makes free throw 1 of 2,,78,87
3,0:46.0,Z. Collins makes free throw 2 of 2,,79,87
3,0:34.0,,Def 3 sec tech foul by Team,79,87
3,0:34.0,,J. Richardson misses technical free throw,79,87
3,0:34.0,,Offensive rebound by Team,79,87
3,0:22.0,,T. Johnson makes 2-pt jump shot from 8 ft,79,89
3,0:00.0,D. Lillard misses 2-pt jump shot from 13 ft (block by J. Richardson),,79,89
3,0:00.0,Offensive rebound by Team,,79,89
4,11:47.0,,D. Wade misses 3-pt jump shot from 25 ft,79,89
4,11:44.0,Defensive rebound by Z. Collins,,79,89
4,11:35.0,E. Turner misses 2-pt layup from 2 ft,,79,89
4,11:34.0,Offensive rebound by Team,,79,89
4,11:33.0,,Loose ball foul by T. Johnson (drawn by C. McCollum),79,89
4,11:23.0,C. McCollum makes 2-pt jump shot from 18 ft,,81,89
4,11:01.0,,J. Winslow misses 2-pt jump shot from 9 ft,81,89
4,10:58.0,,Offensive rebound by B. Adebayo,81,89
4,10:58.0,,B. Adebayo misses 2-pt dunk at rim,81,89
4,10:57.0,,Offensive rebound by B. Adebayo,81,89
4,10:57.0,,Turnover by D. Wade (bad pass),81,89
4,10:40.0,M. Leonard misses 2-pt jump shot from 16 ft,,81,89
4,10:38.0,,Defensive rebound by B. Adebayo,81,89
4,10:28.0,,Personal foul by S. Curry (drawn by B. Adebayo),81,89
4,10:20.0,,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Richardson),81,91
4,10:20.0,,Shooting foul by E. Turner (drawn by B. Adebayo),81,91
4,10:20.0,,B. Adebayo makes free throw 1 of 1,81,92
4,10:07.0,Turnover by S. Curry (bad pass; steal by J. Winslow),,81,92
4,9:55.0,,T. Johnson misses 2-pt jump shot from 10 ft,81,92
4,9:52.0,Defensive rebound by E. Turner,,81,92
4,9:51.0,Shooting foul by B. Adebayo (drawn by Z. Collins),,81,92
4,9:51.0,Z. Collins makes free throw 1 of 2,,82,92
4,9:51.0,Z. Collins makes free throw 2 of 2,,83,92
4,9:36.0,,J. Richardson misses 2-pt jump shot from 9 ft,83,92
4,9:32.0,Defensive rebound by M. Leonard,,83,92
4,9:18.0,E. Turner misses 3-pt jump shot from 23 ft,,83,92
4,9:12.0,,Defensive rebound by J. Winslow,83,92
4,9:05.0,,T. Johnson misses 3-pt jump shot from 24 ft,83,92
4,9:02.0,,Offensive rebound by T. Johnson,83,92
4,9:00.0,,T. Johnson makes 2-pt jump shot from 8 ft,83,94
4,8:51.0,C. McCollum makes 2-pt jump shot from 18 ft,,85,94
4,8:32.0,,J. Winslow misses 3-pt jump shot from 25 ft,85,94
4,8:28.0,Defensive rebound by M. Leonard,,85,94
4,8:25.0,Personal foul by J. Winslow (drawn by E. Turner),,85,94
4,8:16.0,C. McCollum makes 3-pt jump shot from 25 ft,,88,94
4,8:09.0,,Miami full timeout,88,94
4,8:09.0,,G. Dragić enters the game for B. Adebayo,88,94
4,8:09.0,,H. Whiteside enters the game for D. Wade,88,94
4,7:57.0,,J. Richardson misses 3-pt jump shot from 25 ft,88,94
4,7:55.0,Defensive rebound by E. Turner,,88,94
4,7:48.0,C. McCollum misses 3-pt jump shot from 25 ft,,88,94
4,7:44.0,,Defensive rebound by J. Winslow,88,94
4,7:34.0,,J. Winslow makes 2-pt jump shot from 10 ft (assist by J. Richardson),88,96
4,7:18.0,C. McCollum makes 2-pt layup from 1 ft,,90,96
4,7:04.0,,T. Johnson misses 2-pt jump shot from 8 ft,90,96
4,7:01.0,Defensive rebound by E. Turner,,90,96
4,6:53.0,M. Leonard makes 3-pt jump shot from 25 ft (assist by E. Turner),,93,96
4,6:33.0,,H. Whiteside misses 2-pt layup from 1 ft (block by Z. Collins),93,96
4,6:32.0,,Offensive rebound by H. Whiteside,93,96
4,6:31.0,,Shooting foul by Z. Collins (drawn by H. Whiteside),93,96
4,6:31.0,,H. Whiteside misses free throw 1 of 2,93,96
4,6:31.0,,Offensive rebound by Team,93,96
4,6:31.0,D. Lillard enters the game for S. Curry,,93,96
4,6:31.0,,R. McGruder enters the game for T. Johnson,93,96
