QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DETROIT_ACTION,SACRAMENTO_SCORE,DETROIT_SCORE
4,5:29.0,Defensive rebound by W. Cauley-Stein,,83,93
4,5:15.0,W. Cauley-Stein makes 2-pt layup from 3 ft (assist by D. Fox),,85,93
4,5:08.0,,Detroit full timeout,85,93
4,5:08.0,,J. Calderón enters the game for R. Jackson,85,93
4,5:08.0,,Z. Pachulia enters the game for J. Leuer,85,93
4,4:49.0,,R. Bullock misses 3-pt jump shot from 31 ft,85,93
4,4:49.0,,Offensive rebound by Team,85,93
4,4:48.0,,Turnover by Team (shot clock),85,93
4,4:35.0,D. Fox misses 2-pt jump shot from 22 ft,,85,93
4,4:28.0,Offensive rebound by B. Hield,,85,93
4,4:28.0,B. Hield misses 2-pt layup from 1 ft,,85,93
4,4:28.0,Offensive rebound by I. Shumpert,,85,93
4,4:24.0,B. Hield misses 2-pt jump shot from 20 ft,,85,93
4,4:20.0,,Defensive rebound by B. Brown,85,93
4,4:02.0,,B. Griffin misses 2-pt hook shot from 13 ft,85,93
4,4:02.0,Defensive rebound by Team,,85,93
4,3:56.0,Shooting foul by B. Brown (drawn by D. Fox),,85,93
4,3:56.0,D. Fox misses free throw 1 of 2,,85,93
4,3:56.0,Offensive rebound by Team,,85,93
4,3:56.0,D. Fox makes free throw 2 of 2,,86,93
4,3:34.0,,J. Calderón misses 3-pt jump shot from 23 ft,86,93
4,3:29.0,Defensive rebound by W. Cauley-Stein,,86,93
4,3:26.0,B. Hield makes 3-pt jump shot from 26 ft (assist by I. Shumpert),,89,93
4,3:00.0,,R. Bullock misses 3-pt jump shot from 24 ft,89,93
4,2:58.0,Defensive rebound by D. Fox,,89,93
4,2:51.0,B. Hield makes 3-pt jump shot from 26 ft,,92,93
4,2:32.0,,B. Griffin makes 2-pt layup from 4 ft,92,95
4,2:32.0,,Shooting foul by M. Bagley (drawn by B. Griffin),92,95
4,2:32.0,,R. Jackson enters the game for J. Calderón,92,95
4,2:32.0,,B. Griffin makes free throw 1 of 1,92,96
4,2:25.0,B. Hield makes 2-pt jump shot from 17 ft (assist by I. Shumpert),,94,96
4,2:25.0,Shooting foul by B. Brown (drawn by B. Hield),,94,96
4,2:25.0,,L. Kennard enters the game for B. Brown,94,96
4,2:25.0,B. Hield makes free throw 1 of 1,,95,96
4,2:11.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by L. Kennard),95,99
4,1:54.0,D. Fox misses 2-pt layup from 13 ft (block by L. Kennard),,95,99
4,1:48.0,Offensive rebound by Team,,95,99
4,1:36.0,B. Hield misses 2-pt layup from 2 ft,,95,99
4,1:36.0,Offensive rebound by W. Cauley-Stein,,95,99
4,1:36.0,W. Cauley-Stein makes 2-pt dunk from 1 ft,,97,99
4,1:21.0,,Offensive foul by Z. Pachulia (drawn by I. Shumpert),97,99
4,1:21.0,,Turnover by Z. Pachulia (offensive foul),97,99
4,1:11.0,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),,100,99
4,1:11.0,,Detroit full timeout,100,99
4,0:55.0,,B. Griffin makes 2-pt layup from 1 ft (assist by Z. Pachulia),100,101
4,0:42.0,Personal foul by Z. Pachulia (drawn by B. Hield),,100,101
4,0:42.0,,B. Brown enters the game for L. Kennard,100,101
4,0:42.0,Sacramento full timeout,,100,101
4,0:38.0,B. Hield misses 2-pt jump shot from 16 ft,,100,101
4,0:35.0,Offensive rebound by W. Cauley-Stein,,100,101
4,0:31.0,I. Shumpert misses 2-pt jump shot from 17 ft,,100,101
4,0:28.0,,Defensive rebound by B. Brown,100,101
4,0:05.0,,R. Jackson misses 2-pt jump shot from 18 ft,100,101
4,0:03.0,Defensive rebound by I. Shumpert,,100,101
4,0:03.0,Sacramento full timeout,,100,101
4,0:03.0,B. Bogdanović enters the game for M. Bagley,,100,101
4,0:00.0,B. Hield makes 3-pt jump shot from 27 ft,,103,101
