QUARTER,TIME_REMAINING,INDIANA_ACTION,HOUSTON_ACTION,INDIANA_SCORE,HOUSTON_SCORE
2,11:52.0,,Loose ball foul by I. Hartenstein (drawn by D. Sabonis),31,32
2,11:37.0,D. McDermott misses 3-pt jump shot from 23 ft,,31,32
2,11:35.0,,Defensive rebound by Team,31,32
2,11:35.0,Loose ball foul by D. Sabonis (drawn by J. Ennis),,31,32
2,11:22.0,,Def 3 sec tech foul by Team,31,32
2,11:22.0,,E. Gordon makes technical free throw,31,33
2,11:12.0,,C. Paul makes 2-pt jump shot from 10 ft,31,35
2,10:53.0,Turnover by B. Bogdanović (step out of bounds),,31,35
2,10:46.0,,I. Hartenstein misses 2-pt layup from 2 ft,31,35
2,10:44.0,Defensive rebound by D. Sabonis,,31,35
2,10:26.0,Offensive foul by D. Sabonis (drawn by E. Gordon),,31,35
2,10:26.0,Turnover by D. Sabonis (offensive foul),,31,35
2,10:26.0,M. Turner enters the game for D. Sabonis,,31,35
2,10:26.0,,C. Capela enters the game for I. Hartenstein,31,35
2,10:12.0,,C. Capela misses 2-pt hook shot from 9 ft,31,35
2,10:10.0,Defensive rebound by M. Turner,,31,35
2,10:02.0,D. McDermott makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,34,35
2,10:02.0,Shooting foul by E. Gordon (drawn by D. McDermott),,34,35
2,10:02.0,,J. Harden enters the game for G. Clark,34,35
2,10:02.0,,P. Tucker enters the game for E. Gordon,34,35
2,10:02.0,D. McDermott makes free throw 1 of 1,,35,35
2,9:40.0,,C. Paul makes 3-pt jump shot from 26 ft,35,38
2,9:23.0,Shooting foul by J. Harden (drawn by M. Turner),,35,38
2,9:23.0,M. Turner makes free throw 1 of 2,,36,38
2,9:23.0,V. Oladipo enters the game for D. McDermott,,36,38
2,9:23.0,M. Turner makes free throw 2 of 2,,37,38
2,9:11.0,,Shooting foul by B. Bogdanović (drawn by C. Paul),37,38
2,9:11.0,,C. Paul makes free throw 1 of 2,37,39
2,9:11.0,,C. Paul makes free throw 2 of 2,37,40
2,8:56.0,Turnover by T. Evans (bad pass; steal by J. Ennis),,37,40
2,8:30.0,,J. Harden makes 2-pt layup from 4 ft,37,42
2,8:23.0,V. Oladipo misses 3-pt jump shot from 26 ft,,37,42
2,8:21.0,,Defensive rebound by C. Paul,37,42
2,8:05.0,,C. Paul misses 3-pt jump shot from 27 ft,37,42
2,8:02.0,Defensive rebound by V. Oladipo,,37,42
2,7:53.0,Personal foul by J. Ennis (drawn by M. Turner),,37,42
2,7:53.0,D. Collison enters the game for B. Bogdanović,,37,42
2,7:53.0,T. Young enters the game for T. Evans,,37,42
2,7:53.0,,G. Clark enters the game for J. Ennis,37,42
2,7:45.0,V. Oladipo misses 2-pt layup from 5 ft,,37,42
2,7:43.0,,Defensive rebound by C. Capela,37,42
2,7:35.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),37,44
2,7:35.0,,Shooting foul by M. Turner (drawn by C. Capela),37,44
2,7:35.0,,C. Capela misses free throw 1 of 1,37,44
2,7:35.0,Defensive rebound by D. Collison,,37,44
2,7:30.0,Indiana full timeout,,37,44
2,7:30.0,,E. Gordon enters the game for C. Paul,37,44
2,7:17.0,M. Turner misses 2-pt hook shot from 5 ft,,37,44
2,7:14.0,,Defensive rebound by P. Tucker,37,44
2,6:57.0,,C. Capela makes 2-pt layup from 3 ft,37,46
2,6:42.0,T. Young makes 2-pt jump shot from 8 ft (assist by V. Oladipo),,39,46
2,6:26.0,,J. Harden makes 3-pt jump shot from 27 ft,39,49
2,6:07.0,C. Joseph makes 3-pt jump shot from 26 ft (assist by T. Young),,42,49
2,5:44.0,,Shooting foul by T. Young (drawn by J. Harden),42,49
2,5:44.0,,J. Harden makes free throw 1 of 3,42,50
2,5:44.0,,J. Harden makes free throw 2 of 3,42,51
2,5:44.0,,J. Harden makes free throw 3 of 3,42,52
2,5:44.0,T. Evans enters the game for C. Joseph,,42,52
2,5:28.0,T. Young makes 2-pt layup from 5 ft (assist by D. Collison),,44,52
2,5:00.0,,J. Harden makes 3-pt jump shot from 27 ft,44,55
2,4:40.0,M. Turner makes 2-pt layup from 4 ft (assist by D. Collison),,46,55
2,4:32.0,,Personal foul by M. Turner (drawn by C. Capela),46,55
2,4:32.0,,C. Capela makes free throw 1 of 2,46,56
2,4:32.0,K. O'Quinn enters the game for M. Turner,,46,56
2,4:32.0,,C. Capela makes free throw 2 of 2,46,57
2,4:14.0,V. Oladipo misses 2-pt jump shot from 20 ft,,46,57
2,4:12.0,,Defensive rebound by P. Tucker,46,57
2,4:07.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),46,59
2,3:43.0,T. Young makes 2-pt jump shot from 4 ft (assist by K. O'Quinn),,48,59
2,3:26.0,,P. Tucker makes 3-pt jump shot from 26 ft (assist by J. Harden),48,62
2,3:05.0,Personal foul by E. Gordon (drawn by T. Evans),,48,62
2,3:05.0,T. Evans makes free throw 1 of 2,,49,62
2,3:05.0,T. Evans makes free throw 2 of 2,,50,62
2,2:55.0,,Shooting foul by T. Evans (drawn by J. Harden),50,62
2,2:55.0,,Houston full timeout,50,62
2,2:55.0,,C. Paul enters the game for E. Gordon,50,62
2,2:55.0,,J. Harden makes free throw 1 of 2,50,63
2,2:55.0,,J. Harden makes free throw 2 of 2,50,64
2,2:41.0,T. Evans misses 2-pt layup from 3 ft,,50,64
2,2:39.0,,Defensive rebound by J. Harden,50,64
2,2:34.0,,P. Tucker misses 3-pt jump shot from 24 ft,50,64
2,2:32.0,,Offensive rebound by G. Clark,50,64
2,2:29.0,,J. Harden makes 3-pt jump shot from 27 ft (assist by G. Clark),50,67
2,2:14.0,D. Collison misses 2-pt jump shot from 18 ft,,50,67
2,2:14.0,,Defensive rebound by C. Capela,50,67
2,2:07.0,,J. Harden makes 3-pt jump shot from 29 ft,50,70
2,1:48.0,V. Oladipo misses 2-pt jump shot from 5 ft,,50,70
2,1:48.0,,Defensive rebound by J. Harden,50,70
2,1:42.0,,J. Harden misses 3-pt jump shot from 32 ft,50,70
2,1:38.0,,Offensive rebound by C. Capela,50,70
2,1:27.0,,Turnover by Team (shot clock),50,70
2,1:17.0,V. Oladipo misses 3-pt jump shot from 24 ft,,50,70
2,1:15.0,,Defensive rebound by C. Paul,50,70
2,0:58.0,,G. Clark makes 3-pt jump shot from 26 ft (assist by C. Capela),50,73
2,0:46.0,Turnover by D. Collison (out of bounds lost ball),,50,73
2,0:32.0,,Turnover by J. Harden (bad pass; steal by V. Oladipo),50,73
2,0:29.0,T. Evans makes 2-pt layup from 4 ft (assist by V. Oladipo),,52,73
2,0:06.0,,C. Paul makes 3-pt jump shot from 27 ft,52,76
2,0:01.0,T. Young makes 2-pt dunk from 1 ft (assist by V. Oladipo),,54,76
3,11:46.0,Shooting foul by P. Tucker (drawn by V. Oladipo),,54,76
3,11:46.0,V. Oladipo makes free throw 1 of 2,,55,76
3,11:46.0,V. Oladipo makes free throw 2 of 2,,56,76
3,11:25.0,,Turnover by J. Harden (traveling),56,76
3,11:13.0,B. Bogdanović misses 2-pt jump shot from 14 ft,,56,76
3,11:10.0,,Defensive rebound by J. Harden,56,76
3,11:03.0,,Turnover by J. Harden (bad pass; steal by B. Bogdanović),56,76
3,10:56.0,D. Collison makes 3-pt jump shot from 23 ft (assist by V. Oladipo),,59,76
3,10:37.0,,J. Ennis misses 3-pt jump shot from 24 ft,59,76
3,10:35.0,Defensive rebound by V. Oladipo,,59,76
3,10:25.0,V. Oladipo makes 3-pt jump shot from 27 ft,,62,76
3,10:25.0,,Houston full timeout,62,76
3,10:09.0,,Shooting foul by M. Turner (drawn by J. Ennis),62,76
3,10:09.0,,J. Ennis misses free throw 1 of 2,62,76
3,10:09.0,,Offensive rebound by Team,62,76
3,10:09.0,,J. Ennis misses free throw 2 of 2,62,76
3,10:09.0,Defensive rebound by B. Bogdanović,,62,76
3,9:48.0,D. Collison makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,65,76
3,9:24.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),65,79
3,9:09.0,M. Turner misses 2-pt layup from 8 ft (block by C. Capela),,65,79
3,9:06.0,,Defensive rebound by P. Tucker,65,79
3,9:03.0,,C. Capela makes 2-pt dunk at rim (assist by C. Paul),65,81
3,8:47.0,Turnover by B. Bogdanović (bad pass),,65,81
3,8:36.0,,C. Paul misses 2-pt layup from 4 ft (block by D. Collison),65,81
3,8:33.0,Defensive rebound by T. Young,,65,81
3,8:24.0,D. Collison makes 2-pt layup from 3 ft,,67,81
3,8:03.0,,J. Harden misses 3-pt jump shot from 27 ft,67,81
3,8:00.0,,Offensive rebound by C. Capela,67,81
3,7:50.0,,J. Harden misses 2-pt layup from 5 ft (block by M. Turner),67,81
3,7:49.0,Defensive rebound by V. Oladipo,,67,81
3,7:49.0,Personal foul by C. Paul (drawn by D. Collison),,67,81
3,7:37.0,V. Oladipo misses 2-pt layup from 4 ft,,67,81
3,7:34.0,,Defensive rebound by J. Harden,67,81
3,7:17.0,,Turnover by C. Capela (3 sec),67,81
3,7:08.0,Shooting foul by J. Harden (drawn by V. Oladipo),,67,81
3,7:08.0,V. Oladipo makes free throw 1 of 2,,68,81
3,7:08.0,,E. Gordon enters the game for J. Ennis,68,81
3,7:08.0,V. Oladipo makes free throw 2 of 2,,69,81
3,6:49.0,,C. Paul makes 3-pt jump shot from 27 ft (assist by J. Harden),69,84
3,6:30.0,V. Oladipo makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),,72,84
3,6:09.0,,E. Gordon misses 2-pt jump shot from 7 ft,72,84
3,6:06.0,Defensive rebound by B. Bogdanović,,72,84
3,5:53.0,D. Collison misses 2-pt jump shot from 14 ft,,72,84
3,5:51.0,,Defensive rebound by C. Paul,72,84
3,5:36.0,,Offensive foul by J. Harden (drawn by V. Oladipo),72,84
3,5:36.0,,Turnover by J. Harden (offensive foul),72,84
3,5:36.0,,G. Clark enters the game for C. Capela,72,84
3,5:36.0,,I. Hartenstein enters the game for C. Paul,72,84
3,5:28.0,V. Oladipo misses 2-pt jump shot from 19 ft,,72,84
3,5:24.0,,Defensive rebound by I. Hartenstein,72,84
3,5:12.0,,G. Clark misses 3-pt jump shot from 24 ft,72,84
3,5:09.0,,Offensive rebound by P. Tucker,72,84
3,5:06.0,,E. Gordon misses 3-pt jump shot from 34 ft,72,84
3,5:04.0,,Offensive rebound by Team,72,84
3,5:04.0,,Personal foul by T. Young (drawn by G. Clark),72,84
3,4:55.0,,I. Hartenstein misses 2-pt layup from 7 ft,72,84
3,4:54.0,Defensive rebound by V. Oladipo,,72,84
3,4:43.0,D. Collison makes 2-pt layup from 4 ft,,74,84
3,4:27.0,,J. Harden makes 3-pt jump shot from 27 ft,74,87
3,4:27.0,,Shooting foul by V. Oladipo (drawn by J. Harden),74,87
3,4:27.0,,J. Harden makes free throw 1 of 1,74,88
3,4:13.0,T. Young misses 3-pt jump shot from 23 ft,,74,88
3,4:11.0,,Defensive rebound by G. Clark,74,88
3,4:03.0,,J. Harden misses 3-pt jump shot from 27 ft,74,88
3,4:02.0,,Offensive rebound by G. Clark,74,88
3,4:02.0,,Turnover by P. Tucker (step out of bounds),74,88
3,4:02.0,C. Joseph enters the game for B. Bogdanović,,74,88
3,4:02.0,D. Sabonis enters the game for T. Young,,74,88
3,3:54.0,Shooting foul by E. Gordon (drawn by V. Oladipo),,74,88
3,3:54.0,V. Oladipo misses free throw 1 of 2,,74,88
3,3:54.0,Offensive rebound by Team,,74,88
3,3:54.0,V. Oladipo makes free throw 2 of 2,,75,88
3,3:35.0,,J. Harden makes 3-pt jump shot from 28 ft,75,91
3,3:10.0,D. Sabonis makes 2-pt layup from 4 ft,,77,91
3,2:58.0,,P. Tucker misses 3-pt jump shot from 26 ft,77,91
3,2:57.0,,Offensive rebound by G. Clark,77,91
3,2:57.0,,G. Clark makes 2-pt layup from 3 ft,77,93
3,2:57.0,,Shooting foul by D. Collison (drawn by G. Clark),77,93
3,2:57.0,Indiana full timeout,,77,93
3,2:57.0,B. Bogdanović enters the game for D. Collison,,77,93
3,2:57.0,T. Evans enters the game for M. Turner,,77,93
3,2:57.0,,C. Paul enters the game for J. Harden,77,93
3,2:57.0,,G. Clark makes free throw 1 of 1,77,94
3,2:35.0,T. Evans misses 2-pt layup from 7 ft,,77,94
3,2:31.0,Offensive rebound by T. Evans,,77,94
3,2:19.0,V. Oladipo misses 3-pt jump shot from 27 ft,,77,94
3,2:16.0,,Defensive rebound by E. Gordon,77,94
3,2:05.0,,E. Gordon makes 3-pt jump shot from 27 ft,77,97
3,1:41.0,D. Sabonis makes 2-pt hook shot from 7 ft,,79,97
3,1:40.0,Violation by Team (delay of game),,79,97
3,1:24.0,,C. Paul makes 2-pt layup from 2 ft,79,99
3,1:08.0,T. Evans misses 3-pt jump shot from 24 ft,,79,99
3,1:07.0,,Defensive rebound by C. Paul,79,99
3,1:01.0,,Personal foul by V. Oladipo (drawn by C. Paul),79,99
3,1:01.0,Technical foul by V. Oladipo,,79,99
3,1:01.0,,C. Paul makes technical free throw,79,100
3,1:01.0,,C. Paul makes free throw 1 of 2,79,101
3,1:01.0,,C. Paul makes free throw 2 of 2,79,102
3,0:52.0,V. Oladipo misses 3-pt jump shot from 27 ft,,79,102
3,0:50.0,,Defensive rebound by P. Tucker,79,102
3,0:39.0,,E. Gordon misses 3-pt jump shot from 28 ft,79,102
3,0:37.0,Defensive rebound by B. Bogdanović,,79,102
3,0:27.0,B. Bogdanović makes 2-pt jump shot from 14 ft (assist by C. Joseph),,81,102
3,0:05.0,,C. Paul misses 3-pt jump shot from 29 ft,81,102
3,0:03.0,Defensive rebound by T. Evans,,81,102
3,0:00.0,T. Evans misses 3-pt jump shot from 31 ft,,81,102
3,0:00.0,Offensive rebound by Team,,81,102
4,11:44.0,,Turnover by E. Gordon (lost ball; steal by T. Evans),81,102
4,11:37.0,T. Evans makes 2-pt layup from 3 ft,,83,102
4,11:20.0,,Turnover by E. Gordon (step out of bounds),83,102
4,11:02.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,83,102
4,11:00.0,,Defensive rebound by G. Clark,83,102
4,10:51.0,,E. Gordon misses 3-pt jump shot from 26 ft,83,102
4,10:49.0,Defensive rebound by B. Bogdanović,,83,102
4,10:39.0,D. Sabonis makes 2-pt hook shot from 4 ft (assist by T. Evans),,85,102
4,10:10.0,,E. Gordon makes 2-pt layup from 2 ft (assist by J. Ennis),85,104
4,9:58.0,C. Joseph misses 3-pt jump shot from 27 ft,,85,104
4,9:56.0,,Defensive rebound by C. Capela,85,104
4,9:36.0,,J. Ennis misses 3-pt jump shot from 27 ft,85,104
4,9:32.0,Defensive rebound by C. Joseph,,85,104
4,9:32.0,,J. Harden enters the game for E. Gordon,85,104
4,9:27.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,85,104
4,9:24.0,,Defensive rebound by G. Clark,85,104
4,9:04.0,,Turnover by J. Harden (bad pass; steal by T. Evans),85,104
4,8:55.0,Shooting foul by G. Clark (drawn by B. Bogdanović),,85,104
4,8:55.0,B. Bogdanović makes free throw 1 of 2,,86,104
4,8:55.0,B. Bogdanović makes free throw 2 of 2,,87,104
4,8:37.0,,Turnover by C. Paul (bad pass; steal by D. McDermott),87,104
4,8:35.0,Personal foul by C. Paul (drawn by D. Sabonis),,87,104
4,8:35.0,D. Collison enters the game for T. Evans,,87,104
4,8:35.0,V. Oladipo enters the game for D. McDermott,,87,104
4,8:35.0,,I. Hartenstein enters the game for C. Capela,87,104
4,8:35.0,,P. Tucker enters the game for J. Ennis,87,104
4,8:21.0,Turnover by D. Sabonis (bad pass; steal by G. Clark),,87,104
4,7:57.0,,J. Harden misses 3-pt jump shot from 27 ft,87,104
4,7:55.0,Defensive rebound by D. Collison,,87,104
4,7:51.0,V. Oladipo makes 3-pt jump shot from 27 ft (assist by D. Collison),,90,104
4,7:50.0,,Houston full timeout,90,104
4,7:50.0,,Technical foul by J. Harden,90,104
4,7:50.0,,E. Gordon enters the game for C. Paul,90,104
4,7:50.0,D. Collison misses technical free throw,,90,104
4,7:50.0,,Defensive rebound by Team,90,104
4,7:35.0,,Turnover by J. Harden (bad pass; steal by B. Bogdanović),90,104
4,7:32.0,V. Oladipo makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,92,104
4,7:04.0,,J. Harden makes 3-pt jump shot from 27 ft,92,107
4,6:53.0,V. Oladipo makes 2-pt layup from 6 ft,,94,107
4,6:34.0,,E. Gordon misses 3-pt jump shot from 24 ft,94,107
4,6:34.0,Defensive rebound by Team,,94,107
4,6:34.0,,Loose ball foul by I. Hartenstein (drawn by B. Bogdanović),94,107
4,6:34.0,,C. Paul enters the game for I. Hartenstein,94,107
4,6:16.0,V. Oladipo misses 3-pt jump shot from 29 ft,,94,107
4,6:15.0,,Defensive rebound by J. Harden,94,107
4,6:00.0,,E. Gordon misses 3-pt jump shot from 27 ft,94,107
4,5:58.0,,Offensive rebound by G. Clark,94,107
4,5:58.0,,Shooting foul by B. Bogdanović (drawn by J. Harden),94,107
4,5:58.0,,J. Harden makes free throw 1 of 2,94,108
4,5:58.0,,J. Harden makes free throw 2 of 2,94,109
4,5:42.0,Turnover by D. Sabonis (bad pass),,94,109
4,5:34.0,,E. Gordon misses 2-pt jump shot from 5 ft (block by D. Sabonis),94,109
4,5:32.0,Defensive rebound by C. Joseph,,94,109
4,5:14.0,B. Bogdanović makes 2-pt layup from 4 ft,,96,109
4,4:51.0,,J. Harden misses 3-pt jump shot from 25 ft,96,109
4,4:49.0,Defensive rebound by D. Sabonis,,96,109
4,4:45.0,C. Joseph misses 3-pt jump shot from 26 ft,,96,109
4,4:45.0,Offensive rebound by V. Oladipo,,96,109
4,4:39.0,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by V. Oladipo),,99,109
4,4:18.0,,G. Clark misses 3-pt jump shot from 24 ft,99,109
4,4:18.0,Defensive rebound by V. Oladipo,,99,109
4,4:10.0,Personal foul by J. Harden (drawn by D. Sabonis),,99,109
4,4:10.0,Indiana full timeout,,99,109
4,3:55.0,V. Oladipo misses 2-pt jump shot from 22 ft,,99,109
4,3:55.0,Offensive rebound by Team,,99,109
4,3:55.0,,Loose ball foul by E. Gordon (drawn by D. Sabonis),99,109
4,3:55.0,D. Sabonis misses free throw 1 of 2,,99,109
4,3:55.0,Offensive rebound by Team,,99,109
4,3:55.0,D. Sabonis misses free throw 2 of 2,,99,109
4,3:55.0,,Defensive rebound by J. Harden,99,109
4,3:31.0,,J. Harden misses 3-pt jump shot from 23 ft,99,109
4,3:31.0,,Offensive rebound by Team,99,109
4,3:31.0,,Turnover by Team (shot clock),99,109
4,3:31.0,Indiana full timeout,,99,109
4,3:19.0,V. Oladipo misses 3-pt jump shot from 26 ft,,99,109
4,3:16.0,,Defensive rebound by J. Harden,99,109
4,3:07.0,,Shooting foul by C. Joseph (drawn by J. Harden),99,109
4,3:07.0,,J. Harden makes free throw 1 of 2,99,110
4,3:07.0,,J. Harden makes free throw 2 of 2,99,111
4,2:55.0,V. Oladipo makes 2-pt jump shot from 11 ft (assist by D. Sabonis),,101,111
