QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
1,3:45.0,C. McCollum misses 2-pt jump shot from 17 ft,,25,17
1,3:42.0,,Defensive rebound by R. Rondo,25,17
1,3:33.0,,R. Rondo misses 2-pt jump shot from 15 ft,25,17
1,3:31.0,Defensive rebound by D. Lillard,,25,17
1,3:27.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,27,17
1,3:27.0,Shooting foul by J. Hart (drawn by J. Nurkić),,27,17
1,3:27.0,Z. Collins enters the game for A. Aminu,,27,17
1,3:27.0,J. Nurkić makes free throw 1 of 1,,28,17
1,3:11.0,,B. Ingram misses 2-pt jump shot from 17 ft,28,17
1,3:09.0,Defensive rebound by C. McCollum,,28,17
1,3:02.0,Turnover by J. Nurkić (lost ball; steal by R. Rondo),,28,17
1,2:57.0,,L. James makes 2-pt dunk from 2 ft (assist by B. Ingram),28,19
1,2:39.0,Z. Collins misses 3-pt jump shot from 28 ft,,28,19
1,2:39.0,,Defensive rebound by Team,28,19
1,2:39.0,,L. Stephenson enters the game for L. James,28,19
1,2:24.0,,R. Rondo misses 3-pt jump shot from 25 ft,28,19
1,2:21.0,Defensive rebound by J. Nurkić,,28,19
1,2:15.0,J. Nurkić misses 2-pt jump shot from 19 ft,,28,19
1,2:11.0,,Defensive rebound by L. Stephenson,28,19
1,2:02.0,,J. Hart makes 3-pt jump shot from 27 ft (assist by L. Stephenson),28,22
1,1:45.0,J. Nurkić misses 2-pt dunk from 1 ft (block by J. Hart),,28,22
1,1:44.0,Offensive rebound by J. Nurkić,,28,22
1,1:44.0,Shooting foul by T. Chandler (drawn by J. Nurkić),,28,22
1,1:44.0,J. Nurkić makes free throw 1 of 2,,29,22
1,1:44.0,S. Curry enters the game for D. Lillard,,29,22
1,1:44.0,N. Stauskas enters the game for C. McCollum,,29,22
1,1:44.0,,K. Caldwell-Pope enters the game for B. Ingram,29,22
1,1:44.0,J. Nurkić makes free throw 2 of 2,,30,22
1,1:28.0,,L. Stephenson makes 2-pt jump shot from 19 ft (assist by T. Chandler),30,24
1,1:09.0,Turnover by E. Turner (bad pass; steal by L. Stephenson),,30,24
1,1:05.0,,L. Stephenson misses 3-pt jump shot from 27 ft,30,24
1,1:01.0,Defensive rebound by E. Turner,,30,24
1,0:56.0,Z. Collins makes 3-pt jump shot from 25 ft (assist by E. Turner),,33,24
1,0:40.0,,K. Caldwell-Pope makes 2-pt jump shot from 18 ft,33,26
1,0:34.0,E. Turner misses 2-pt jump shot from 4 ft,,33,26
1,0:33.0,Offensive rebound by E. Turner,,33,26
1,0:27.0,Offensive foul by Z. Collins (drawn by J. Hart),,33,26
1,0:27.0,Turnover by Z. Collins (offensive foul),,33,26
1,0:27.0,M. Leonard enters the game for J. Nurkić,,33,26
1,0:04.0,,J. Hart misses 3-pt jump shot from 27 ft,33,26
1,0:02.0,Defensive rebound by M. Leonard,,33,26
2,11:40.0,,K. Caldwell-Pope misses 2-pt jump shot from 9 ft,33,26
2,11:35.0,,Offensive rebound by J. McGee,33,26
2,11:35.0,,J. McGee makes 2-pt layup at rim,33,28
2,11:24.0,E. Turner misses 2-pt jump shot from 14 ft,,33,28
2,11:21.0,,Defensive rebound by K. Caldwell-Pope,33,28
2,11:15.0,,R. Rondo misses 2-pt layup from 3 ft,33,28
2,11:13.0,Defensive rebound by M. Leonard,,33,28
2,11:03.0,S. Curry misses 2-pt jump shot from 18 ft,,33,28
2,10:58.0,,Defensive rebound by L. Stephenson,33,28
2,10:53.0,,L. Stephenson misses 2-pt jump shot from 6 ft (block by E. Turner),33,28
2,10:50.0,Defensive rebound by N. Stauskas,,33,28
2,10:45.0,M. Leonard makes 3-pt jump shot from 28 ft (assist by E. Turner),,36,28
2,10:20.0,,J. McGee misses 2-pt layup from 4 ft,36,28
