QUARTER,TIME_REMAINING,TORONTO_ACTION,PORTLAND_ACTION,TORONTO_SCORE,PORTLAND_SCORE
2,9:42.0,,Turnover by N. Stauskas (bad pass; steal by C. Miles),27,34
2,9:38.0,C. Miles makes 2-pt dunk from 1 ft,,29,34
2,9:08.0,,Z. Collins makes 2-pt dunk at rim (assist by S. Curry),29,36
2,8:46.0,C. Miles makes 3-pt jump shot from 28 ft (assist by D. Wright),,32,36
2,8:28.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by E. Turner),32,39
2,8:18.0,C. Miles misses 2-pt jump shot from 23 ft,,32,39
2,8:15.0,,Defensive rebound by E. Turner,32,39
2,8:09.0,,Shooting foul by G. Monroe (drawn by Z. Collins),32,39
2,8:09.0,,Z. Collins makes free throw 1 of 2,32,40
2,8:09.0,D. Green enters the game for O. Anunoby,,32,40
2,8:09.0,S. Ibaka enters the game for G. Monroe,,32,40
2,8:09.0,K. Leonard enters the game for P. Siakam,,32,40
2,8:09.0,,Z. Collins misses free throw 2 of 2,32,40
2,8:07.0,Defensive rebound by K. Leonard,,32,40
2,8:01.0,C. Miles misses 2-pt layup from 2 ft (block by Z. Collins),,32,40
2,7:59.0,,Defensive rebound by Z. Collins,32,40
2,7:55.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by E. Turner),32,42
2,7:46.0,Toronto full timeout,,32,42
2,7:35.0,Shooting foul by M. Leonard (drawn by K. Leonard),,32,42
2,7:35.0,K. Leonard makes free throw 1 of 2,,33,42
2,7:35.0,K. Leonard makes free throw 2 of 2,,34,42
2,7:19.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by E. Turner),34,45
2,6:52.0,C. Miles misses 2-pt jump shot from 22 ft,,34,45
2,6:49.0,,Defensive rebound by Z. Collins,34,45
2,6:41.0,,Z. Collins misses 3-pt jump shot from 25 ft,34,45
2,6:37.0,Defensive rebound by K. Leonard,,34,45
2,6:18.0,D. Wright misses 2-pt jump shot from 21 ft,,34,45
2,6:13.0,,Defensive rebound by N. Stauskas,34,45
2,6:05.0,,E. Turner makes 2-pt layup from 1 ft,34,47
2,5:52.0,C. Miles makes 2-pt layup from 2 ft,,36,47
2,5:33.0,,N. Stauskas misses 3-pt jump shot from 29 ft,36,47
2,5:32.0,Defensive rebound by C. Miles,,36,47
2,5:25.0,D. Wright misses 2-pt layup from 2 ft,,36,47
2,5:23.0,,Defensive rebound by E. Turner,36,47
2,5:20.0,,S. Curry misses 3-pt jump shot from 25 ft,36,47
2,5:17.0,Defensive rebound by D. Green,,36,47
2,5:16.0,Personal foul by S. Curry (drawn by S. Ibaka),,36,47
2,5:16.0,P. Siakam enters the game for C. Miles,,36,47
2,5:16.0,F. VanVleet enters the game for D. Wright,,36,47
2,5:16.0,,A. Aminu enters the game for Z. Collins,36,47
2,5:16.0,,M. Harkless enters the game for S. Curry,36,47
2,5:16.0,,D. Lillard enters the game for M. Leonard,36,47
2,5:16.0,,C. McCollum enters the game for N. Stauskas,36,47
2,5:16.0,,J. Nurkić enters the game for E. Turner,36,47
2,5:09.0,K. Leonard misses 2-pt jump shot from 21 ft,,36,47
2,5:07.0,,Defensive rebound by A. Aminu,36,47
2,4:55.0,,J. Nurkić misses 2-pt hook shot from 10 ft,36,47
2,4:51.0,Defensive rebound by P. Siakam,,36,47
2,4:48.0,Shooting foul by A. Aminu (drawn by K. Leonard),,36,47
2,4:48.0,K. Leonard misses free throw 1 of 2,,36,47
2,4:48.0,Offensive rebound by Team,,36,47
2,4:48.0,K. Leonard makes free throw 2 of 2,,37,47
2,4:36.0,,M. Harkless makes 2-pt dunk from 1 ft (assist by J. Nurkić),37,49
2,4:14.0,P. Siakam misses 3-pt jump shot from 25 ft,,37,49
2,4:11.0,,Defensive rebound by Team,37,49
2,3:51.0,,A. Aminu misses 2-pt jump shot from 12 ft,37,49
2,3:49.0,Defensive rebound by S. Ibaka,,37,49
2,3:44.0,D. Green makes 3-pt jump shot from 26 ft,,40,49
2,3:42.0,,Portland full timeout,40,49
2,3:23.0,,M. Harkless misses 3-pt jump shot from 23 ft,40,49
2,3:21.0,,Offensive rebound by J. Nurkić,40,49
2,3:18.0,,C. McCollum misses 3-pt jump shot from 24 ft,40,49
2,3:18.0,,Offensive rebound by Team,40,49
2,3:18.0,Loose ball foul by S. Ibaka (drawn by J. Nurkić),,40,49
2,3:12.0,,Shooting foul by D. Green (drawn by C. McCollum),40,49
2,3:12.0,,C. McCollum makes free throw 1 of 2,40,50
2,3:12.0,,C. McCollum makes free throw 2 of 2,40,51
2,2:56.0,S. Ibaka makes 2-pt layup from 2 ft,,42,51
2,2:42.0,,J. Nurkić misses 2-pt layup from 2 ft,42,51
2,2:39.0,,Offensive rebound by M. Harkless,42,51
2,2:39.0,,M. Harkless makes 2-pt dunk from 1 ft,42,53
2,2:23.0,S. Ibaka makes 2-pt jump shot from 21 ft (assist by F. VanVleet),,44,53
2,2:13.0,,J. Nurkić misses 2-pt hook shot from 3 ft,44,53
2,2:11.0,,Offensive rebound by J. Nurkić,44,53
2,2:10.0,,Shooting foul by K. Leonard (drawn by J. Nurkić),44,53
2,2:10.0,,J. Nurkić misses free throw 1 of 2,44,53
2,2:10.0,,Offensive rebound by Team,44,53
2,2:10.0,,J. Nurkić makes free throw 2 of 2,44,54
2,1:57.0,Personal foul by J. Nurkić (drawn by F. VanVleet),,44,54
2,1:45.0,Turnover by P. Siakam (bad pass; steal by J. Nurkić),,44,54
2,1:32.0,,M. Harkless makes 2-pt dunk from 2 ft (assist by D. Lillard),44,56
2,1:15.0,S. Ibaka misses 2-pt jump shot from 20 ft,,44,56
2,1:12.0,,Defensive rebound by M. Harkless,44,56
2,1:06.0,,J. Nurkić misses 2-pt hook shot from 3 ft,44,56
2,1:04.0,Defensive rebound by P. Siakam,,44,56
2,1:00.0,Flagrant foul type 1 by C. McCollum (drawn by P. Siakam),,44,56
2,1:00.0,P. Siakam makes flagrant free throw 1 of 2,,45,56
2,1:00.0,P. Siakam makes flagrant free throw 2 of 2,,46,56
2,0:46.0,F. VanVleet makes 2-pt jump shot from 16 ft,,48,56
2,0:35.0,,C. McCollum makes 2-pt jump shot from 9 ft (assist by D. Lillard),48,58
2,0:21.0,S. Ibaka makes 2-pt jump shot from 6 ft (assist by K. Leonard),,50,58
2,0:04.0,,J. Nurkić misses 2-pt layup from 1 ft,50,58
2,0:03.0,,Offensive rebound by Team,50,58
2,0:03.0,,J. Nurkić misses 2-pt layup from 1 ft,50,58
2,0:03.0,,Offensive rebound by J. Nurkić,50,58
2,0:01.0,,A. Aminu misses 2-pt jump shot from 19 ft,50,58
2,0:01.0,Defensive rebound by D. Green,,50,58
3,11:40.0,,A. Aminu misses 3-pt jump shot from 25 ft,50,58
3,11:37.0,Defensive rebound by S. Ibaka,,50,58
3,11:21.0,Turnover by D. Green (lost ball; steal by C. McCollum),,50,58
3,11:07.0,,J. Nurkić makes 2-pt layup at rim,50,60
3,10:48.0,K. Leonard makes 2-pt layup from 1 ft,,52,60
3,10:34.0,,J. Nurkić makes 2-pt hook shot from 2 ft,52,62
3,10:17.0,K. Leonard makes 2-pt jump shot from 22 ft,,54,62
3,10:03.0,,M. Harkless misses 2-pt jump shot from 4 ft,54,62
3,10:00.0,,Offensive rebound by A. Aminu,54,62
3,10:00.0,,A. Aminu misses 2-pt layup at rim,54,62
3,9:59.0,,Offensive rebound by J. Nurkić,54,62
3,9:58.0,,J. Nurkić misses 2-pt hook shot from 2 ft,54,62
3,9:56.0,Defensive rebound by S. Ibaka,,54,62
3,9:49.0,F. VanVleet misses 3-pt jump shot from 22 ft,,54,62
3,9:46.0,,Defensive rebound by J. Nurkić,54,62
3,9:39.0,,Shooting foul by P. Siakam (drawn by D. Lillard),54,62
3,9:39.0,,D. Lillard makes free throw 1 of 2,54,63
3,9:39.0,,D. Lillard makes free throw 2 of 2,54,64
3,9:28.0,,Violation by Team (kicked ball),54,64
3,9:15.0,S. Ibaka makes 2-pt hook shot from 5 ft (assist by F. VanVleet),,56,64
3,8:48.0,,C. McCollum misses 3-pt jump shot from 27 ft,56,64
3,8:46.0,Defensive rebound by K. Leonard,,56,64
3,8:41.0,K. Leonard makes 3-pt jump shot from 25 ft,,59,64
3,8:30.0,,Personal foul by K. Leonard (drawn by M. Harkless),59,64
3,8:27.0,,Personal foul by S. Ibaka (drawn by J. Nurkić),59,64
3,8:21.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by J. Nurkić),59,67
3,8:08.0,Shooting foul by J. Nurkić (drawn by K. Leonard),,59,67
3,8:08.0,K. Leonard misses free throw 1 of 2,,59,67
3,8:08.0,Offensive rebound by Team,,59,67
3,8:08.0,K. Leonard makes free throw 2 of 2,,60,67
3,7:59.0,,D. Lillard makes 2-pt jump shot from 13 ft,60,69
3,7:47.0,P. Siakam misses 2-pt jump shot from 6 ft,,60,69
3,7:46.0,Offensive rebound by P. Siakam,,60,69
3,7:44.0,D. Green makes 3-pt jump shot from 23 ft (assist by K. Leonard),,63,69
3,7:32.0,,D. Lillard makes 2-pt layup from 1 ft (assist by J. Nurkić),63,71
3,7:17.0,D. Green makes 3-pt jump shot from 23 ft (assist by F. VanVleet),,66,71
3,6:51.0,,A. Aminu misses 3-pt jump shot from 22 ft,66,71
3,6:49.0,Defensive rebound by F. VanVleet,,66,71
3,6:46.0,F. VanVleet misses 2-pt layup from 2 ft (block by D. Lillard),,66,71
3,6:46.0,Offensive rebound by Team,,66,71
3,6:46.0,,Portland full timeout,66,71
3,6:44.0,D. Green misses 2-pt jump shot from 13 ft,,66,71
3,6:42.0,,Defensive rebound by D. Lillard,66,71
3,6:33.0,,C. McCollum makes 3-pt jump shot from 27 ft (assist by D. Lillard),66,74
3,6:31.0,Technical foul by S. Ibaka,,66,74
3,6:31.0,,D. Lillard makes technical free throw,66,75
3,6:11.0,F. VanVleet makes 2-pt jump shot from 8 ft,,68,75
3,6:11.0,Shooting foul by D. Lillard (drawn by F. VanVleet),,68,75
3,6:11.0,F. VanVleet makes free throw 1 of 1,,69,75
3,5:51.0,,C. McCollum misses 2-pt jump shot from 17 ft,69,75
3,5:51.0,,Offensive rebound by Team,69,75
3,5:51.0,Loose ball foul by S. Ibaka (drawn by J. Nurkić),,69,75
3,5:42.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by C. McCollum),69,78
3,5:22.0,D. Green misses 2-pt layup from 4 ft (block by C. McCollum),,69,78
3,5:22.0,Offensive rebound by D. Green,,69,78
3,5:22.0,S. Ibaka makes 2-pt jump shot from 21 ft (assist by P. Siakam),,71,78
3,5:12.0,,Turnover by C. McCollum (traveling),71,78
3,5:12.0,O. Anunoby enters the game for P. Siakam,,71,78
3,5:00.0,F. VanVleet makes 2-pt layup from 2 ft,,73,78
3,4:51.0,,D. Lillard makes 2-pt jump shot from 18 ft,73,80
3,4:28.0,O. Anunoby misses 3-pt jump shot from 23 ft,,73,80
3,4:25.0,Offensive rebound by K. Leonard,,73,80
3,4:24.0,F. VanVleet makes 3-pt jump shot from 25 ft (assist by O. Anunoby),,76,80
3,4:16.0,,Personal foul by F. VanVleet (drawn by D. Lillard),76,80
3,4:16.0,,D. Lillard makes free throw 1 of 2,76,81
3,4:16.0,,D. Lillard makes free throw 2 of 2,76,82
3,4:08.0,Personal foul by D. Lillard (drawn by F. VanVleet),,76,82
3,3:58.0,K. Leonard misses 2-pt jump shot from 21 ft,,76,82
3,3:56.0,,Defensive rebound by A. Aminu,76,82
3,3:45.0,,J. Nurkić misses 2-pt jump shot from 20 ft,76,82
3,3:42.0,Defensive rebound by K. Leonard,,76,82
3,3:39.0,Shooting foul by M. Harkless (drawn by K. Leonard),,76,82
3,3:39.0,K. Leonard makes free throw 1 of 2,,77,82
3,3:39.0,G. Monroe enters the game for D. Green,,77,82
3,3:39.0,D. Wright enters the game for S. Ibaka,,77,82
3,3:39.0,,Z. Collins enters the game for A. Aminu,77,82
3,3:39.0,,M. Leonard enters the game for M. Harkless,77,82
3,3:39.0,,E. Turner enters the game for J. Nurkić,77,82
3,3:39.0,K. Leonard makes free throw 2 of 2,,78,82
3,3:25.0,,E. Turner misses 2-pt jump shot from 10 ft,78,82
3,3:21.0,,Offensive rebound by Z. Collins,78,82
3,3:21.0,,Z. Collins misses 2-pt layup at rim,78,82
3,3:20.0,Defensive rebound by G. Monroe,,78,82
3,3:04.0,O. Anunoby makes 2-pt layup from 7 ft,,80,82
3,2:40.0,,Z. Collins makes 3-pt jump shot from 24 ft (assist by E. Turner),80,85
3,2:28.0,Offensive foul by K. Leonard (drawn by D. Lillard),,80,85
3,2:28.0,Turnover by K. Leonard (offensive foul),,80,85
3,2:28.0,Toronto full timeout,,80,85
3,2:28.0,C. Miles enters the game for K. Leonard,,80,85
3,2:28.0,,S. Curry enters the game for D. Lillard,80,85
3,2:28.0,,N. Stauskas enters the game for C. McCollum,80,85
3,2:02.0,,Turnover by E. Turner (lost ball; steal by O. Anunoby),80,85
3,1:56.0,Turnover by C. Miles (bad pass),,80,85
3,1:42.0,,N. Stauskas misses 2-pt layup from 1 ft,80,85
3,1:40.0,Defensive rebound by D. Wright,,80,85
3,1:34.0,G. Monroe makes 2-pt layup from 2 ft (assist by D. Wright),,82,85
3,1:21.0,,Personal foul by O. Anunoby (drawn by N. Stauskas),82,85
3,1:21.0,,N. Stauskas makes free throw 1 of 2,82,86
3,1:21.0,,N. Stauskas makes free throw 2 of 2,82,87
3,1:09.0,G. Monroe makes 2-pt layup from 1 ft (assist by F. VanVleet),,84,87
3,0:54.0,,Shooting foul by F. VanVleet (drawn by N. Stauskas),84,87
3,0:54.0,,N. Stauskas makes free throw 1 of 2,84,88
3,0:54.0,,N. Stauskas makes free throw 2 of 2,84,89
3,0:34.0,C. Miles misses 3-pt jump shot from 25 ft,,84,89
3,0:31.0,Offensive rebound by G. Monroe,,84,89
3,0:31.0,G. Monroe makes 2-pt layup from 1 ft,,86,89
3,0:15.0,,E. Turner makes 2-pt jump shot from 18 ft,86,91
3,0:03.0,F. VanVleet makes 3-pt jump shot from 26 ft,,89,91
3,0:00.0,,N. Stauskas misses 3-pt jump shot from 49 ft (block by D. Wright),89,91
3,0:00.0,,Offensive rebound by Team,89,91
4,11:46.0,Shooting foul by S. Curry (drawn by F. VanVleet),,89,91
4,11:46.0,F. VanVleet misses free throw 1 of 2,,89,91
4,11:46.0,Offensive rebound by Team,,89,91
4,11:46.0,F. VanVleet makes free throw 2 of 2,,90,91
4,11:31.0,,S. Curry makes 3-pt jump shot from 26 ft,90,94
4,11:08.0,Turnover by G. Monroe (lost ball; steal by S. Curry),,90,94
4,10:53.0,,E. Turner makes 2-pt layup from 1 ft,90,96
4,10:32.0,Turnover by G. Monroe (lost ball; steal by Z. Collins),,90,96
4,10:17.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by N. Stauskas),90,99
4,10:17.0,Toronto full timeout,,90,99
4,10:17.0,D. Green enters the game for C. Miles,,90,99
4,10:17.0,S. Ibaka enters the game for G. Monroe,,90,99
4,10:17.0,K. Leonard enters the game for F. VanVleet,,90,99
4,10:00.0,Turnover by K. Leonard (lost ball; steal by M. Leonard),,90,99
4,9:56.0,,Shooting foul by O. Anunoby (drawn by Z. Collins),90,99
4,9:56.0,,Z. Collins makes free throw 1 of 2,90,100
4,9:56.0,,Z. Collins makes free throw 2 of 2,90,101
4,9:31.0,D. Green makes 3-pt jump shot from 25 ft (assist by D. Wright),,93,101
4,9:08.0,,S. Curry makes 2-pt jump shot from 2 ft,93,103
4,8:53.0,K. Leonard misses 2-pt jump shot from 13 ft,,93,103
4,8:49.0,,Defensive rebound by M. Leonard,93,103
4,8:44.0,,E. Turner makes 2-pt jump shot from 15 ft,93,105
4,8:23.0,D. Wright misses 3-pt jump shot from 25 ft,,93,105
4,8:21.0,,Defensive rebound by E. Turner,93,105
4,8:03.0,,Personal foul by D. Green (drawn by Z. Collins),93,105
4,7:50.0,,S. Curry makes 2-pt jump shot from 15 ft,93,107
4,7:48.0,Toronto full timeout,,93,107
4,7:48.0,C. Miles enters the game for O. Anunoby,,93,107
4,7:48.0,F. VanVleet enters the game for D. Wright,,93,107
4,7:36.0,Shooting foul by Z. Collins (drawn by F. VanVleet),,93,107
4,7:36.0,F. VanVleet makes free throw 1 of 2,,94,107
4,7:36.0,F. VanVleet makes free throw 2 of 2,,95,107
4,7:24.0,,S. Curry misses 3-pt jump shot from 27 ft (block by D. Green),95,107
4,7:21.0,Defensive rebound by D. Green,,95,107
4,7:08.0,D. Green makes 2-pt layup from 2 ft,,97,107
4,6:53.0,,N. Stauskas makes 2-pt layup from 3 ft,97,109
4,6:46.0,D. Green misses 3-pt jump shot from 25 ft,,97,109
4,6:44.0,,Defensive rebound by E. Turner,97,109
4,6:32.0,,Z. Collins makes 2-pt dunk from 1 ft (assist by E. Turner),97,111
4,6:07.0,F. VanVleet misses 2-pt jump shot from 19 ft,,97,111
4,6:05.0,,Defensive rebound by E. Turner,97,111
4,5:58.0,,N. Stauskas makes 2-pt layup from 1 ft (assist by E. Turner),97,113
4,5:45.0,Personal foul by E. Turner (drawn by K. Leonard),,97,113
4,5:40.0,Shooting foul by M. Leonard (drawn by K. Leonard),,97,113
4,5:40.0,K. Leonard makes free throw 1 of 2,,98,113
4,5:40.0,K. Leonard makes free throw 2 of 2,,99,113
4,5:25.0,,E. Turner misses 2-pt jump shot from 17 ft,99,113
4,5:24.0,Defensive rebound by D. Green,,99,113
4,5:18.0,Turnover by S. Ibaka (off goaltending),,99,113
4,5:07.0,,Personal foul by K. Leonard (drawn by S. Curry),99,113
4,4:53.0,,E. Turner misses 2-pt layup from 1 ft,99,113
4,4:51.0,Defensive rebound by D. Green,,99,113
4,4:46.0,K. Leonard makes 3-pt jump shot from 26 ft,,102,113
4,4:45.0,,Portland full timeout,102,113
4,4:45.0,,A. Aminu enters the game for Z. Collins,102,113
4,4:45.0,,M. Harkless enters the game for S. Curry,102,113
4,4:45.0,,D. Lillard enters the game for M. Leonard,102,113
4,4:45.0,,C. McCollum enters the game for N. Stauskas,102,113
4,4:45.0,,J. Nurkić enters the game for E. Turner,102,113
4,4:28.0,,D. Lillard makes 2-pt jump shot from 19 ft (assist by M. Harkless),102,115
4,4:12.0,C. Miles makes 3-pt jump shot from 23 ft (assist by K. Leonard),,105,115
4,3:53.0,,C. McCollum makes 2-pt jump shot from 13 ft,105,117
4,3:36.0,K. Leonard makes 2-pt layup from 1 ft,,107,117
4,3:12.0,,M. Harkless misses 2-pt jump shot from 19 ft,107,117
4,3:08.0,Defensive rebound by D. Green,,107,117
4,3:03.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,110,117
4,3:03.0,,Portland full timeout,110,117
4,2:50.0,,D. Lillard misses 2-pt jump shot from 6 ft,110,117
4,2:49.0,Defensive rebound by F. VanVleet,,110,117
4,2:44.0,C. Miles makes 3-pt jump shot from 28 ft (assist by F. VanVleet),,113,117
4,2:27.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by C. McCollum),113,120
4,2:15.0,K. Leonard makes 3-pt jump shot from 25 ft,,116,120
4,1:56.0,,C. McCollum misses 2-pt layup from 1 ft,116,120
4,1:55.0,Defensive rebound by K. Leonard,,116,120
4,1:50.0,F. VanVleet makes 2-pt layup from 2 ft,,118,120
4,1:32.0,,C. McCollum misses 2-pt jump shot from 8 ft,118,120
4,1:30.0,Defensive rebound by D. Green,,118,120
4,1:25.0,Turnover by F. VanVleet (lost ball; steal by D. Lillard),,118,120
4,1:16.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by M. Harkless),118,123
4,1:16.0,Toronto full timeout,,118,123
4,1:16.0,,E. Turner enters the game for J. Nurkić,118,123
4,1:16.0,Turnover by (5 sec),,118,123
4,1:16.0,,J. Nurkić enters the game for E. Turner,118,123
4,0:57.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by J. Nurkić),118,126
4,0:50.0,K. Leonard makes 2-pt dunk at rim,,120,126
