QUARTER,TIME_REMAINING,PORTLAND_ACTION,BOSTON_ACTION,PORTLAND_SCORE,BOSTON_SCORE
4,0:30.0,,Offensive rebound by M. Smart,95,88
4,0:28.0,,Shooting foul by C. McCollum (drawn by M. Smart),95,88
4,0:28.0,,M. Smart makes free throw 1 of 2,95,89
4,0:28.0,,M. Smart misses free throw 2 of 2,95,89
4,0:28.0,,Offensive rebound by A. Horford,95,89
4,0:25.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),95,92
4,0:11.0,Personal take foul by M. Smart (drawn by D. Lillard),,95,92
4,0:11.0,D. Lillard makes free throw 1 of 2,,96,92
4,0:11.0,D. Lillard makes free throw 2 of 2,,97,92
4,0:11.0,,Boston full timeout,97,92
4,0:11.0,R. Hood enters the game for J. Nurkić,,97,92
4,0:08.0,,K. Irving misses 3-pt jump shot from 29 ft,97,92
4,0:06.0,Defensive rebound by M. Harkless,,97,92
