QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SACRAMENTO_ACTION,CLEVELAND_SCORE,SACRAMENTO_SCORE
2,7:08.0,,B. Hield enters the game for Y. Ferrell,33,39
2,7:08.0,N. Stauskas misses free throw 2 of 2,,33,39
2,7:05.0,,Defensive rebound by W. Cauley-Stein,33,39
2,6:41.0,,H. Barnes misses 2-pt jump shot from 12 ft,33,39
2,6:39.0,Defensive rebound by J. Clarkson,,33,39
2,6:32.0,C. Sexton misses 3-pt jump shot from 25 ft,,33,39
2,6:31.0,,Defensive rebound by Team,33,39
2,6:31.0,Loose ball foul by A. Žižić (drawn by W. Cauley-Stein),,33,39
2,6:31.0,L. Nance enters the game for N. Stauskas,,33,39
2,6:16.0,,N. Bjelica misses 3-pt jump shot from 25 ft,33,39
2,6:13.0,Defensive rebound by B. Knight,,33,39
2,6:02.0,C. Sexton makes 3-pt jump shot from 25 ft (assist by L. Nance),,36,39
2,5:53.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by D. Fox),36,41
2,5:39.0,A. Žižić makes 2-pt layup from 2 ft (assist by B. Knight),,38,41
2,5:25.0,,H. Barnes misses 3-pt jump shot from 25 ft,38,41
2,5:22.0,Defensive rebound by B. Knight,,38,41
2,5:14.0,B. Knight misses 2-pt jump shot from 11 ft,,38,41
2,5:10.0,,Defensive rebound by H. Barnes,38,41
2,5:06.0,,B. Hield makes 3-pt jump shot from 26 ft,38,44
2,5:06.0,Cleveland full timeout,,38,44
2,5:06.0,C. Osman enters the game for J. Clarkson,,38,44
2,4:45.0,B. Knight misses 2-pt layup from 8 ft (block by B. Hield),,38,44
2,4:42.0,Offensive rebound by B. Knight,,38,44
2,4:39.0,A. Žižić makes 2-pt hook shot from 18 ft (assist by L. Nance),,40,44
2,4:39.0,J. Clarkson enters the game for B. Knight,,40,44
2,4:26.0,,Turnover by H. Barnes (step out of bounds),40,44
2,4:07.0,Turnover by C. Sexton (bad pass; steal by W. Cauley-Stein),,40,44
2,4:03.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Hield),40,46
2,3:41.0,Turnover by A. Žižić (traveling),,40,46
2,3:21.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by H. Barnes),40,48
2,3:00.0,J. Clarkson makes 3-pt jump shot from 24 ft (assist by L. Nance),,43,48
2,2:50.0,,B. Hield misses 3-pt jump shot from 26 ft,43,48
2,2:46.0,Defensive rebound by L. Nance,,43,48
2,2:36.0,A. Žižić makes 2-pt hook shot from 5 ft (assist by J. Clarkson),,45,48
2,2:23.0,,N. Bjelica makes 2-pt layup from 4 ft (assist by D. Fox),45,50
2,2:23.0,,Shooting foul by L. Nance (drawn by N. Bjelica),45,50
2,2:23.0,,B. Bogdanović enters the game for H. Barnes,45,50
2,2:23.0,,N. Bjelica makes free throw 1 of 1,45,51
2,2:15.0,Personal foul by B. Bogdanović (drawn by C. Osman),,45,51
2,2:12.0,Turnover by C. Osman (bad pass; steal by B. Bogdanović),,45,51
2,2:10.0,,B. Hield makes 2-pt layup from 2 ft (assist by B. Bogdanović),45,53
2,1:47.0,L. Nance makes 2-pt dunk from 1 ft (assist by A. Žižić),,47,53
2,1:36.0,,D. Fox makes 2-pt layup from 2 ft,47,55
2,1:15.0,C. Sexton makes 2-pt jump shot from 15 ft,,49,55
2,1:15.0,Shooting foul by D. Fox (drawn by C. Sexton),,49,55
2,1:15.0,C. Sexton misses free throw 1 of 1,,49,55
2,1:12.0,,Defensive rebound by W. Cauley-Stein,49,55
2,1:06.0,,D. Fox misses 2-pt jump shot from 3 ft,49,55
2,1:04.0,Defensive rebound by L. Nance,,49,55
2,1:00.0,C. Osman misses 3-pt jump shot from 24 ft,,49,55
2,0:56.0,,Defensive rebound by B. Bogdanović,49,55
2,0:53.0,,B. Hield misses 3-pt jump shot from 25 ft,49,55
2,0:48.0,Defensive rebound by C. Osman,,49,55
2,0:45.0,C. Osman makes 2-pt layup from 2 ft,,51,55
2,0:33.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),51,57
2,0:09.0,C. Sexton misses 2-pt jump shot from 21 ft,,51,57
2,0:08.0,,Defensive rebound by Team,51,57
2,0:08.0,Loose ball foul by L. Nance (drawn by W. Cauley-Stein),,51,57
2,0:08.0,M. Chriss enters the game for L. Nance,,51,57
2,0:00.0,,D. Fox misses 2-pt jump shot from 9 ft,51,57
2,0:00.0,,Offensive rebound by Team,51,57
3,11:35.0,C. Sexton makes 2-pt jump shot from 21 ft (assist by A. Žižić),,53,57
3,11:09.0,,B. Hield misses 3-pt jump shot from 23 ft,53,57
3,11:06.0,Defensive rebound by L. Nance,,53,57
3,11:01.0,A. Žižić misses 2-pt hook shot from 4 ft,,53,57
3,10:59.0,,Defensive rebound by W. Cauley-Stein,53,57
3,10:50.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by D. Fox),53,60
3,10:22.0,C. Osman makes 3-pt jump shot from 25 ft (assist by A. Žižić),,56,60
3,10:15.0,,D. Fox makes 2-pt layup from 2 ft,56,62
3,9:57.0,Turnover by C. Sexton (lost ball; steal by D. Fox),,56,62
3,9:54.0,,Shooting foul by C. Sexton (drawn by D. Fox),56,62
3,9:54.0,,D. Fox makes free throw 1 of 2,56,63
3,9:54.0,,D. Fox misses free throw 2 of 2,56,63
3,9:51.0,Defensive rebound by L. Nance,,56,63
3,9:37.0,L. Nance makes 3-pt jump shot from 25 ft (assist by C. Osman),,59,63
3,9:12.0,,Personal foul by C. Osman (drawn by D. Fox),59,63
3,9:07.0,,H. Barnes misses 2-pt jump shot from 7 ft,59,63
3,9:03.0,Defensive rebound by A. Žižić,,59,63
3,8:59.0,L. Nance misses 2-pt hook shot from 3 ft,,59,63
3,8:56.0,,Defensive rebound by N. Bjelica,59,63
3,8:53.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),59,66
3,8:41.0,Personal foul by B. Hield (drawn by B. Knight),,59,66
3,8:28.0,B. Knight misses 2-pt jump shot from 9 ft,,59,66
3,8:25.0,,Defensive rebound by H. Barnes,59,66
3,8:23.0,,H. Barnes makes 2-pt layup from 2 ft,59,68
3,8:23.0,,Shooting foul by C. Sexton (drawn by H. Barnes),59,68
3,8:23.0,,H. Barnes misses free throw 1 of 1,59,68
3,8:18.0,Defensive rebound by A. Žižić,,59,68
3,8:17.0,Turnover by A. Žižić (bad pass; steal by B. Hield),,59,68
3,8:13.0,,B. Hield misses 3-pt jump shot from 23 ft,59,68
3,8:11.0,Defensive rebound by L. Nance,,59,68
3,7:58.0,Turnover by A. Žižić (lost ball; steal by N. Bjelica),,59,68
3,7:53.0,,D. Fox misses 2-pt layup from 3 ft,59,68
3,7:50.0,Defensive rebound by A. Žižić,,59,68
3,7:47.0,L. Nance makes 2-pt dunk from 1 ft (assist by B. Knight),,61,68
3,7:28.0,,H. Barnes misses 2-pt jump shot from 6 ft,61,68
3,7:25.0,Defensive rebound by A. Žižić,,61,68
3,7:23.0,Personal take foul by N. Bjelica (drawn by C. Sexton),,61,68
3,7:23.0,,K. Koufos enters the game for W. Cauley-Stein,61,68
3,7:10.0,C. Sexton makes 2-pt jump shot from 23 ft (assist by C. Osman),,63,68
3,6:53.0,,K. Koufos makes 2-pt jump shot from 4 ft (assist by B. Hield),63,70
3,6:32.0,A. Žižić makes 2-pt dunk from 1 ft (assist by B. Knight),,65,70
3,6:23.0,,Shooting foul by L. Nance (drawn by H. Barnes),65,70
3,6:23.0,,Sacramento full timeout,65,70
3,6:23.0,,H. Barnes makes free throw 1 of 2,65,71
3,6:23.0,,H. Barnes makes free throw 2 of 2,65,72
3,6:10.0,L. Nance misses 2-pt jump shot from 18 ft,,65,72
3,6:05.0,Offensive rebound by A. Žižić,,65,72
3,6:04.0,A. Žižić makes 2-pt layup from 1 ft,,67,72
3,5:50.0,,N. Bjelica misses 3-pt jump shot from 25 ft,67,72
3,5:46.0,,Offensive rebound by K. Koufos,67,72
3,5:44.0,,Turnover by K. Koufos (bad pass; steal by C. Sexton),67,72
3,5:40.0,L. Nance makes 2-pt dunk from 3 ft (assist by C. Sexton),,69,72
3,5:32.0,,D. Fox makes 2-pt layup from 2 ft,69,74
3,5:13.0,C. Osman makes 2-pt layup from 3 ft,,71,74
3,5:05.0,,D. Fox misses 2-pt layup from 2 ft,71,74
3,5:05.0,,Offensive rebound by K. Koufos,71,74
3,4:55.0,,K. Koufos misses 2-pt hook shot from 6 ft,71,74
3,4:55.0,Defensive rebound by L. Nance,,71,74
3,4:40.0,C. Sexton makes 2-pt jump shot from 9 ft,,73,74
3,4:26.0,,D. Fox makes 2-pt jump shot from 7 ft,73,76
3,4:16.0,Cleveland full timeout,,73,76
3,4:16.0,M. Chriss enters the game for B. Knight,,73,76
3,4:16.0,J. Clarkson enters the game for A. Žižić,,73,76
3,4:16.0,,B. Bogdanović enters the game for H. Barnes,73,76
3,4:10.0,Personal foul by N. Bjelica (drawn by M. Chriss),,73,76
3,4:03.0,C. Osman misses 2-pt jump shot from 10 ft,,73,76
3,4:00.0,,Defensive rebound by B. Bogdanović,73,76
3,3:56.0,,N. Bjelica misses 3-pt jump shot from 26 ft,73,76
3,3:53.0,Defensive rebound by M. Chriss,,73,76
3,3:44.0,J. Clarkson misses 2-pt jump shot from 4 ft (block by K. Koufos),,73,76
3,3:42.0,Offensive rebound by C. Osman,,73,76
3,3:38.0,Turnover by M. Chriss (traveling),,73,76
3,3:38.0,D. Nwaba enters the game for L. Nance,,73,76
3,3:28.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),73,79
3,3:05.0,C. Osman makes 3-pt jump shot from 25 ft,,76,79
3,2:58.0,,B. Hield makes 3-pt jump shot from 25 ft,76,82
3,2:43.0,Turnover by C. Osman (bad pass),,76,82
3,2:43.0,N. Stauskas enters the game for C. Osman,,76,82
3,2:43.0,,M. Bagley enters the game for N. Bjelica,76,82
3,2:35.0,,Turnover by B. Hield (lost ball; steal by M. Chriss),76,82
3,2:30.0,Turnover by M. Chriss (bad pass; steal by B. Hield),,76,82
3,2:27.0,,Turnover by D. Fox (lost ball; steal by J. Clarkson),76,82
3,2:23.0,J. Clarkson makes 2-pt layup from 2 ft,,78,82
3,2:23.0,,C. Brewer enters the game for B. Hield,78,82
3,2:00.0,,K. Koufos makes 2-pt hook shot from 12 ft (assist by D. Fox),78,84
3,1:37.0,M. Chriss makes 2-pt hook shot from 5 ft (assist by C. Sexton),,80,84
3,1:23.0,,D. Fox misses 2-pt jump shot from 3 ft,80,84
3,1:20.0,,Offensive rebound by M. Bagley,80,84
3,1:20.0,,M. Bagley makes 2-pt layup from 2 ft,80,86
3,1:17.0,Turnover by C. Sexton (lost ball; steal by D. Fox),,80,86
3,1:16.0,,Shooting foul by N. Stauskas (drawn by D. Fox),80,86
3,1:16.0,,D. Fox makes free throw 1 of 2,80,87
3,1:16.0,,W. Cauley-Stein enters the game for K. Koufos,80,87
3,1:16.0,,D. Fox makes free throw 2 of 2,80,88
3,1:03.0,J. Clarkson makes 2-pt dunk from 2 ft,,82,88
3,0:48.0,,M. Bagley makes 2-pt jump shot from 8 ft,82,90
3,0:35.0,D. Nwaba misses 2-pt jump shot from 6 ft,,82,90
3,0:32.0,,Defensive rebound by M. Bagley,82,90
3,0:28.0,,Turnover by M. Bagley (bad pass),82,90
3,0:28.0,,Y. Ferrell enters the game for D. Fox,82,90
3,0:06.0,J. Clarkson makes 2-pt jump shot from 15 ft,,84,90
3,0:00.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),84,93
4,11:46.0,,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by C. Brewer),84,96
4,11:29.0,Turnover by N. Stauskas (bad pass; steal by W. Cauley-Stein),,84,96
4,11:15.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,84,96
4,11:11.0,Defensive rebound by M. Chriss,,84,96
4,11:03.0,Turnover by B. Knight (traveling),,84,96
4,10:44.0,,M. Bagley misses 2-pt layup from 5 ft,84,96
4,10:41.0,Defensive rebound by D. Nwaba,,84,96
4,10:37.0,B. Knight makes 3-pt jump shot from 26 ft (assist by D. Nwaba),,87,96
4,10:20.0,,M. Bagley misses 3-pt jump shot from 26 ft,87,96
4,10:15.0,Defensive rebound by M. Chriss,,87,96
4,10:01.0,Turnover by J. Clarkson (bad pass; steal by C. Brewer),,87,96
4,9:52.0,,Personal foul by B. Knight (drawn by Y. Ferrell),87,96
4,9:43.0,,Personal foul by B. Knight (drawn by Y. Ferrell),87,96
4,9:43.0,A. Žižić enters the game for M. Chriss,,87,96
4,9:35.0,,M. Bagley misses 2-pt layup from 5 ft,87,96
4,9:35.0,Defensive rebound by Team,,87,96
4,9:27.0,N. Stauskas makes 3-pt jump shot from 25 ft,,90,96
4,9:13.0,,Y. Ferrell misses 2-pt jump shot from 14 ft,90,96
4,9:08.0,,Offensive rebound by M. Bagley,90,96
4,9:08.0,,M. Bagley makes 2-pt layup at rim,90,98
4,8:57.0,Shooting foul by Y. Ferrell (drawn by J. Clarkson),,90,98
4,8:57.0,J. Clarkson makes free throw 1 of 2,,91,98
4,8:57.0,J. Clarkson makes free throw 2 of 2,,92,98
4,8:46.0,,Personal foul by B. Knight (drawn by Y. Ferrell),92,98
4,8:34.0,,M. Bagley misses 2-pt hook shot from 9 ft,92,98
4,8:32.0,Defensive rebound by N. Stauskas,,92,98
4,8:19.0,N. Stauskas misses 2-pt jump shot from 7 ft,,92,98
4,8:16.0,,Defensive rebound by M. Bagley,92,98
4,8:11.0,,M. Bagley misses 2-pt layup from 4 ft,92,98
4,8:09.0,,Offensive rebound by W. Cauley-Stein,92,98
4,8:05.0,,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),92,101
4,8:03.0,Cleveland full timeout,,92,101
4,8:03.0,L. Nance enters the game for N. Stauskas,,92,101
4,7:52.0,J. Clarkson makes 3-pt jump shot from 26 ft,,95,101
4,7:39.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,95,101
4,7:37.0,Defensive rebound by A. Žižić,,95,101
4,7:25.0,J. Clarkson misses 3-pt jump shot from 23 ft,,95,101
4,7:20.0,,Defensive rebound by M. Bagley,95,101
4,7:07.0,,B. Bogdanović makes 2-pt jump shot from 17 ft,95,103
4,6:40.0,Turnover by Team (shot clock),,95,103
4,6:40.0,C. Sexton enters the game for B. Knight,,95,103
4,6:40.0,,H. Barnes enters the game for C. Brewer,95,103
4,6:40.0,,D. Fox enters the game for W. Cauley-Stein,95,103
4,6:40.0,,K. Koufos enters the game for Y. Ferrell,95,103
4,6:23.0,,K. Koufos misses 2-pt hook shot from 6 ft,95,103
4,6:22.0,,Offensive rebound by M. Bagley,95,103
4,6:20.0,,M. Bagley makes 3-pt jump shot from 23 ft,95,106
4,5:55.0,D. Nwaba misses 3-pt jump shot from 26 ft,,95,106
4,5:50.0,,Defensive rebound by B. Bogdanović,95,106
4,5:38.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,95,106
4,5:35.0,Defensive rebound by A. Žižić,,95,106
4,5:31.0,Turnover by J. Clarkson (bad pass),,95,106
4,5:31.0,C. Osman enters the game for D. Nwaba,,95,106
4,5:31.0,,Sacramento full timeout,95,106
4,5:15.0,,M. Bagley makes 2-pt dunk from 2 ft (assist by B. Bogdanović),95,108
4,4:58.0,J. Clarkson misses 3-pt jump shot from 25 ft,,95,108
4,4:56.0,,Defensive rebound by M. Bagley,95,108
4,4:44.0,,K. Koufos makes 2-pt jump shot from 11 ft (assist by D. Fox),95,110
4,4:26.0,C. Osman makes 3-pt jump shot from 26 ft (assist by A. Žižić),,98,110
4,4:14.0,,H. Barnes misses 2-pt jump shot from 16 ft,98,110
4,4:08.0,Defensive rebound by L. Nance,,98,110
4,4:01.0,A. Žižić makes 2-pt layup from 2 ft (assist by J. Clarkson),,100,110
4,3:38.0,,M. Bagley misses 3-pt jump shot from 27 ft,100,110
4,3:34.0,Defensive rebound by L. Nance,,100,110
4,3:27.0,Personal foul by K. Koufos (drawn by A. Žižić),,100,110
4,3:27.0,,W. Cauley-Stein enters the game for M. Bagley,100,110
4,3:27.0,,B. Hield enters the game for K. Koufos,100,110
4,3:23.0,Shooting foul by W. Cauley-Stein (drawn by A. Žižić),,100,110
4,3:23.0,A. Žižić misses free throw 1 of 2,,100,110
4,3:23.0,Offensive rebound by Team,,100,110
4,3:23.0,A. Žižić misses free throw 2 of 2,,100,110
4,3:20.0,,Defensive rebound by W. Cauley-Stein,100,110
4,3:07.0,,H. Barnes misses 3-pt jump shot from 23 ft,100,110
4,3:06.0,Defensive rebound by Team,,100,110
4,2:52.0,Personal foul by B. Hield (drawn by J. Clarkson),,100,110
4,2:41.0,L. Nance misses 2-pt jump shot from 19 ft,,100,110
4,2:36.0,,Defensive rebound by B. Hield,100,110
4,2:15.0,,D. Fox misses 3-pt jump shot from 24 ft,100,110
4,2:12.0,Defensive rebound by L. Nance,,100,110
4,2:03.0,C. Sexton misses 3-pt jump shot from 26 ft,,100,110
4,2:00.0,,Defensive rebound by W. Cauley-Stein,100,110
4,1:42.0,,D. Fox makes 2-pt jump shot from 18 ft,100,112
4,1:42.0,Cleveland full timeout,,100,112
4,1:42.0,D. Adel enters the game for J. Clarkson,,100,112
4,1:42.0,M. Chriss enters the game for L. Nance,,100,112
4,1:42.0,D. Nwaba enters the game for C. Osman,,100,112
4,1:42.0,N. Stauskas enters the game for A. Žižić,,100,112
4,1:36.0,C. Sexton misses 2-pt jump shot from 6 ft (block by W. Cauley-Stein),,100,112
4,1:32.0,,Defensive rebound by H. Barnes,100,112
4,1:17.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),100,115
4,0:59.0,D. Adel misses 3-pt jump shot from 26 ft,,100,115
