QUARTER,TIME_REMAINING,MIAMI_ACTION,PORTLAND_ACTION,MIAMI_SCORE,PORTLAND_SCORE
2,11:12.0,,J. Layman makes 3-pt jump shot from 26 ft (assist by E. Turner),36,33
2,10:52.0,D. Wade misses 2-pt jump shot from 16 ft,,36,33
2,10:49.0,,Defensive rebound by M. Leonard,36,33
2,10:37.0,,M. Leonard misses 3-pt jump shot from 26 ft,36,33
2,10:35.0,Defensive rebound by B. Adebayo,,36,33
2,10:28.0,J. Richardson makes 2-pt jump shot from 21 ft,,38,33
2,10:01.0,,E. Turner misses 3-pt jump shot from 25 ft,38,33
2,10:00.0,Defensive rebound by D. Wade,,38,33
2,9:48.0,J. Johnson misses 3-pt jump shot from 25 ft,,38,33
2,9:46.0,,Defensive rebound by S. Curry,38,33
2,9:39.0,,S. Curry misses 3-pt jump shot from 25 ft,38,33
2,9:39.0,,Offensive rebound by Team,38,33
2,9:39.0,Loose ball foul by J. Richardson (drawn by J. Layman),,38,33
2,9:29.0,,S. Curry makes 2-pt jump shot from 22 ft (assist by Z. Collins),38,35
2,9:02.0,D. Waiters makes 3-pt jump shot from 26 ft,,41,35
2,8:44.0,,J. Layman makes 2-pt layup from 1 ft (assist by S. Curry),41,37
2,8:44.0,,Shooting foul by J. Richardson (drawn by J. Layman),41,37
2,8:44.0,,J. Layman makes free throw 1 of 1,41,38
2,8:34.0,Turnover by D. Waiters (bad pass; steal by J. Layman),,41,38
2,8:15.0,,S. Curry misses 2-pt jump shot from 21 ft,41,38
2,8:11.0,Defensive rebound by D. Wade,,41,38
2,8:01.0,Shooting foul by M. Leonard (drawn by D. Wade),,41,38
2,8:01.0,D. Wade makes free throw 1 of 2,,42,38
2,8:01.0,,C. McCollum enters the game for M. Leonard,42,38
2,8:01.0,D. Wade makes free throw 2 of 2,,43,38
2,7:52.0,,Z. Collins misses 2-pt layup from 2 ft,43,38
2,7:48.0,Defensive rebound by D. Wade,,43,38
2,7:35.0,J. Johnson misses 2-pt layup from 1 ft,,43,38
2,7:33.0,,Defensive rebound by J. Layman,43,38
2,7:29.0,,S. Curry misses 2-pt jump shot from 15 ft,43,38
2,7:25.0,Defensive rebound by J. Johnson,,43,38
2,7:19.0,D. Wade misses 2-pt jump shot from 22 ft,,43,38
2,7:15.0,,Defensive rebound by Z. Collins,43,38
2,7:01.0,,Turnover by E. Turner (lost ball; steal by D. Waiters),43,38
2,6:56.0,D. Wade makes 2-pt layup from 2 ft (assist by D. Waiters),,45,38
2,6:56.0,,Portland full timeout,45,38
2,6:56.0,T. Johnson enters the game for J. Richardson,,45,38
2,6:56.0,J. Winslow enters the game for D. Wade,,45,38
2,6:56.0,,J. Nurkić enters the game for Z. Collins,45,38
2,6:47.0,,J. Layman makes 2-pt dunk from 1 ft (assist by J. Nurkić),45,40
2,6:26.0,T. Johnson misses 3-pt jump shot from 23 ft,,45,40
2,6:24.0,,Defensive rebound by J. Nurkić,45,40
2,6:09.0,,J. Nurkić misses 2-pt layup from 2 ft,45,40
2,6:07.0,,Offensive rebound by J. Nurkić,45,40
2,6:07.0,,J. Nurkić misses 2-pt layup from 1 ft,45,40
2,6:06.0,Defensive rebound by D. Waiters,,45,40
2,5:56.0,J. Johnson misses 2-pt layup from 2 ft,,45,40
2,5:50.0,Offensive rebound by B. Adebayo,,45,40
2,5:50.0,B. Adebayo makes 2-pt dunk at rim,,47,40
2,5:44.0,,Turnover by C. McCollum (bad pass; steal by B. Adebayo),47,40
2,5:40.0,B. Adebayo makes 2-pt dunk at rim (assist by T. Johnson),,49,40
2,5:39.0,,Portland full timeout,49,40
2,5:39.0,H. Whiteside enters the game for B. Adebayo,,49,40
2,5:39.0,,M. Harkless enters the game for S. Curry,49,40
2,5:39.0,,D. Lillard enters the game for E. Turner,49,40
2,5:24.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),49,42
2,5:11.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by J. Johnson),,52,42
2,5:02.0,,Personal foul by T. Johnson (drawn by D. Lillard),52,42
2,4:55.0,,D. Lillard misses 3-pt jump shot from 28 ft,52,42
2,4:52.0,Defensive rebound by H. Whiteside,,52,42
2,4:35.0,Turnover by J. Winslow (bad pass; steal by M. Harkless),,52,42
2,4:27.0,,J. Layman makes 2-pt jump shot from 15 ft (assist by J. Nurkić),52,44
2,4:15.0,Personal foul by J. Nurkić (drawn by D. Waiters),,52,44
2,4:08.0,J. Winslow makes 2-pt layup from 2 ft,,54,44
2,3:57.0,,D. Lillard misses 2-pt layup from 2 ft (block by H. Whiteside),54,44
2,3:57.0,Defensive rebound by Team,,54,44
2,3:51.0,T. Johnson makes 2-pt layup from 2 ft (assist by J. Johnson),,56,44
2,3:34.0,,C. McCollum misses 2-pt jump shot from 12 ft,56,44
2,3:33.0,Defensive rebound by H. Whiteside,,56,44
2,3:25.0,Shooting foul by J. Nurkić (drawn by H. Whiteside),,56,44
2,3:25.0,H. Whiteside makes free throw 1 of 2,,57,44
2,3:25.0,J. Richardson enters the game for D. Waiters,,57,44
2,3:25.0,H. Whiteside makes free throw 2 of 2,,58,44
2,3:12.0,,C. McCollum makes 2-pt layup from 1 ft,58,46
2,2:59.0,J. Johnson makes 2-pt layup from 2 ft,,60,46
2,2:48.0,,C. McCollum misses 3-pt jump shot from 25 ft,60,46
2,2:47.0,Defensive rebound by J. Winslow,,60,46
2,2:34.0,,Violation by Team (kicked ball),60,46
2,2:20.0,Turnover by H. Whiteside (bad pass),,60,46
2,2:13.0,,D. Lillard makes 2-pt layup from 2 ft (assist by J. Nurkić),60,48
2,1:50.0,Turnover by J. Johnson (traveling),,60,48
2,1:50.0,D. Wade enters the game for J. Johnson,,60,48
2,1:40.0,,J. Layman makes 2-pt hook shot from 1 ft (assist by J. Nurkić),60,50
2,1:29.0,D. Wade makes 2-pt layup from 2 ft,,62,50
2,1:16.0,,J. Layman misses 3-pt jump shot from 26 ft,62,50
2,1:13.0,Defensive rebound by H. Whiteside,,62,50
2,0:55.0,J. Winslow misses 2-pt jump shot from 4 ft (block by M. Harkless),,62,50
2,0:53.0,,Defensive rebound by D. Lillard,62,50
2,0:44.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),62,53
2,0:18.0,J. Winslow misses 3-pt jump shot from 27 ft,,62,53
2,0:18.0,,Defensive rebound by Team,62,53
2,0:18.0,D. Waiters enters the game for J. Richardson,,62,53
2,0:18.0,,S. Curry enters the game for M. Harkless,62,53
2,0:05.0,,Personal foul by D. Waiters (drawn by J. Nurkić),62,53
2,0:02.0,,J. Layman makes 2-pt dunk from 1 ft (assist by J. Nurkić),62,55
3,11:50.0,,Turnover by C. McCollum (bad pass; steal by H. Whiteside),62,55
3,11:29.0,J. Winslow misses 3-pt jump shot from 25 ft,,62,55
3,11:28.0,Offensive rebound by K. Olynyk,,62,55
3,11:28.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by K. Olynyk),,64,55
3,11:28.0,Shooting foul by M. Harkless (drawn by H. Whiteside),,64,55
3,11:28.0,H. Whiteside makes free throw 1 of 1,,65,55
3,11:16.0,,C. McCollum misses 3-pt jump shot from 24 ft,65,55
3,11:13.0,Defensive rebound by H. Whiteside,,65,55
3,10:59.0,J. Winslow makes 2-pt jump shot from 8 ft,,67,55
3,10:47.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),67,57
3,10:29.0,J. Winslow misses 2-pt jump shot from 15 ft,,67,57
3,10:25.0,,Defensive rebound by A. Aminu,67,57
3,10:19.0,,A. Aminu misses 2-pt layup from 1 ft,67,57
3,10:16.0,Defensive rebound by J. Richardson,,67,57
3,10:08.0,J. Richardson misses 2-pt layup from 4 ft,,67,57
3,10:04.0,,Defensive rebound by C. McCollum,67,57
3,10:01.0,,Shooting foul by J. Winslow (drawn by M. Harkless),67,57
3,10:01.0,,M. Harkless misses free throw 1 of 2,67,57
3,10:01.0,,Offensive rebound by Team,67,57
3,10:01.0,,M. Harkless makes free throw 2 of 2,67,58
3,9:47.0,T. Johnson misses 3-pt jump shot from 26 ft,,67,58
3,9:45.0,,Defensive rebound by M. Harkless,67,58
3,9:34.0,,D. Lillard misses 3-pt jump shot from 25 ft,67,58
3,9:31.0,Defensive rebound by J. Richardson,,67,58
3,9:15.0,K. Olynyk misses 2-pt hook shot from 8 ft,,67,58
3,9:12.0,,Defensive rebound by J. Nurkić,67,58
3,9:05.0,,D. Lillard makes 2-pt layup from 1 ft,67,60
3,8:49.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Winslow),,70,60
3,8:33.0,,Turnover by J. Nurkić (bad pass; steal by K. Olynyk),70,60
3,8:21.0,H. Whiteside makes 2-pt jump shot from 21 ft,,72,60
3,7:55.0,,C. McCollum misses 2-pt jump shot from 23 ft,72,60
3,7:53.0,Defensive rebound by K. Olynyk,,72,60
3,7:50.0,Turnover by J. Winslow (bad pass; steal by C. McCollum),,72,60
3,7:38.0,,Turnover by D. Lillard (lost ball; steal by H. Whiteside),72,60
3,7:36.0,Shooting foul by C. McCollum (drawn by J. Winslow),,72,60
3,7:36.0,J. Winslow makes free throw 1 of 2,,73,60
3,7:36.0,J. Winslow misses free throw 2 of 2,,73,60
3,7:33.0,,Defensive rebound by M. Harkless,73,60
3,7:28.0,,D. Lillard makes 3-pt jump shot from 25 ft,73,63
3,7:07.0,H. Whiteside makes 2-pt hook shot from 7 ft (assist by J. Winslow),,75,63
3,6:44.0,,Shooting foul by K. Olynyk (drawn by J. Nurkić),75,63
3,6:44.0,,Portland full timeout,75,63
3,6:44.0,,J. Nurkić makes free throw 1 of 2,75,64
3,6:44.0,,J. Nurkić makes free throw 2 of 2,75,65
3,6:30.0,T. Johnson makes 2-pt layup from 1 ft (assist by K. Olynyk),,77,65
3,6:12.0,,C. McCollum misses 2-pt jump shot from 5 ft (block by H. Whiteside),77,65
3,6:10.0,,Offensive rebound by C. McCollum,77,65
3,6:06.0,,C. McCollum makes 2-pt jump shot from 19 ft,77,67
3,5:52.0,Personal foul by D. Lillard (drawn by T. Johnson),,77,67
3,5:52.0,D. Wade enters the game for J. Richardson,,77,67
3,5:52.0,,J. Layman enters the game for M. Harkless,77,67
3,5:36.0,Turnover by K. Olynyk (bad pass; steal by J. Nurkić),,77,67
3,5:27.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),77,70
3,5:14.0,J. Winslow makes 2-pt layup from 1 ft,,79,70
3,5:04.0,,Turnover by D. Lillard (bad pass; steal by H. Whiteside),79,70
3,5:02.0,Personal foul by J. Nurkić (drawn by H. Whiteside),,79,70
3,4:48.0,T. Johnson misses 2-pt jump shot from 1 ft,,79,70
3,4:46.0,,Defensive rebound by D. Lillard,79,70
3,4:41.0,,D. Lillard misses 3-pt jump shot from 28 ft,79,70
3,4:40.0,Defensive rebound by Team,,79,70
3,4:40.0,,Loose ball foul by J. Nurkić (drawn by H. Whiteside),79,70
3,4:40.0,H. Whiteside misses free throw 1 of 2,,79,70
3,4:40.0,Offensive rebound by Team,,79,70
3,4:40.0,,M. Leonard enters the game for J. Nurkić,79,70
3,4:40.0,H. Whiteside makes free throw 2 of 2,,80,70
3,4:31.0,,C. McCollum makes 2-pt jump shot from 4 ft (assist by D. Lillard),80,72
3,4:14.0,H. Whiteside makes 2-pt dunk at rim (assist by J. Winslow),,82,72
3,3:56.0,,M. Leonard makes 3-pt jump shot from 25 ft (assist by D. Lillard),82,75
3,3:56.0,Miami full timeout,,82,75
3,3:56.0,,E. Turner enters the game for A. Aminu,82,75
3,3:40.0,D. Wade makes 2-pt jump shot from 13 ft,,84,75
3,3:24.0,,J. Layman makes 2-pt layup from 1 ft (assist by D. Lillard),84,77
3,3:13.0,D. Wade makes 2-pt jump shot from 16 ft,,86,77
3,2:56.0,,D. Lillard misses 3-pt jump shot from 28 ft,86,77
3,2:54.0,Defensive rebound by J. Winslow,,86,77
3,2:41.0,H. Whiteside misses 2-pt layup from 3 ft,,86,77
3,2:38.0,Offensive rebound by H. Whiteside,,86,77
3,2:38.0,H. Whiteside makes 2-pt layup from 1 ft,,88,77
3,2:23.0,,C. McCollum misses 2-pt jump shot from 19 ft,88,77
3,2:20.0,Defensive rebound by D. Wade,,88,77
3,2:12.0,D. Wade makes 2-pt jump shot from 12 ft,,90,77
3,1:45.0,,C. McCollum misses 3-pt jump shot from 29 ft,90,77
3,1:45.0,,Offensive rebound by Team,90,77
3,1:45.0,,Turnover by Team (shot clock),90,77
3,1:45.0,B. Adebayo enters the game for T. Johnson,,90,77
3,1:45.0,J. Johnson enters the game for K. Olynyk,,90,77
3,1:45.0,D. Waiters enters the game for H. Whiteside,,90,77
3,1:45.0,,S. Curry enters the game for C. McCollum,90,77
3,1:29.0,D. Waiters misses 3-pt jump shot from 25 ft,,90,77
3,1:27.0,,Defensive rebound by E. Turner,90,77
3,1:22.0,,D. Lillard misses 3-pt jump shot from 28 ft,90,77
3,1:19.0,Defensive rebound by J. Johnson,,90,77
3,1:06.0,D. Wade makes 2-pt jump shot from 16 ft,,92,77
3,0:48.0,,Personal foul by J. Johnson (drawn by J. Layman),92,77
3,0:37.0,,S. Curry makes 2-pt jump shot from 7 ft,92,79
3,0:23.0,J. Johnson makes 2-pt jump shot from 4 ft,,94,79
3,0:03.0,,S. Curry misses 2-pt layup from 2 ft (block by J. Johnson),94,79
3,0:01.0,Defensive rebound by J. Johnson,,94,79
3,0:00.0,J. Winslow misses 3-pt jump shot from 43 ft,,94,79
3,0:00.0,Offensive rebound by Team,,94,79
4,11:45.0,D. Wade misses 2-pt jump shot from 15 ft,,94,79
4,11:42.0,,Defensive rebound by M. Leonard,94,79
4,11:30.0,,J. Layman makes 3-pt jump shot from 26 ft (assist by M. Leonard),94,82
4,11:10.0,B. Adebayo misses 2-pt hook shot from 2 ft,,94,82
4,11:09.0,,Defensive rebound by J. Layman,94,82
4,11:04.0,,M. Leonard misses 3-pt jump shot from 28 ft,94,82
4,11:01.0,Defensive rebound by B. Adebayo,,94,82
4,10:43.0,D. Waiters misses 3-pt jump shot from 25 ft,,94,82
4,10:40.0,,Defensive rebound by M. Leonard,94,82
4,10:34.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by E. Turner),94,85
4,10:16.0,D. Wade makes 2-pt jump shot from 11 ft,,96,85
4,10:00.0,,E. Turner misses 2-pt jump shot from 7 ft,96,85
4,9:58.0,Defensive rebound by D. Wade,,96,85
4,9:48.0,Personal foul by S. Curry (drawn by D. Waiters),,96,85
4,9:41.0,Personal foul by C. McCollum (drawn by J. Richardson),,96,85
4,9:31.0,J. Richardson misses 2-pt jump shot from 19 ft,,96,85
4,9:26.0,,Defensive rebound by J. Layman,96,85
4,9:17.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by M. Leonard),96,88
4,9:17.0,Miami full timeout,,96,88
4,9:05.0,Personal foul by M. Leonard (drawn by B. Adebayo),,96,88
4,9:03.0,Personal foul by S. Curry (drawn by J. Johnson),,96,88
4,8:52.0,J. Richardson misses 3-pt jump shot from 30 ft,,96,88
4,8:49.0,,Defensive rebound by J. Layman,96,88
4,8:37.0,,E. Turner makes 2-pt layup from 2 ft,96,90
4,8:37.0,,Shooting foul by D. Wade (drawn by E. Turner),96,90
4,8:37.0,,E. Turner makes free throw 1 of 1,96,91
4,8:25.0,J. Johnson makes 2-pt layup from 1 ft,,98,91
4,8:14.0,,J. Layman makes 2-pt dunk from 1 ft (assist by E. Turner),98,93
4,8:02.0,Shooting foul by M. Leonard (drawn by B. Adebayo),,98,93
4,8:02.0,B. Adebayo misses free throw 1 of 2,,98,93
4,8:02.0,Offensive rebound by Team,,98,93
4,8:02.0,B. Adebayo makes free throw 2 of 2,,99,93
4,7:44.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by M. Leonard),99,96
4,7:28.0,D. Wade makes 2-pt jump shot from 14 ft,,101,96
4,7:14.0,,C. McCollum misses 2-pt jump shot from 6 ft,101,96
4,7:14.0,,Offensive rebound by M. Leonard,101,96
4,7:14.0,,Shooting foul by J. Richardson (drawn by M. Leonard),101,96
4,7:14.0,,M. Leonard makes free throw 1 of 2,101,97
4,7:14.0,T. Johnson enters the game for D. Wade,,101,97
4,7:14.0,J. Winslow enters the game for D. Waiters,,101,97
4,7:14.0,,M. Leonard misses free throw 2 of 2,101,97
4,7:11.0,Defensive rebound by J. Johnson,,101,97
4,7:02.0,J. Winslow misses 3-pt jump shot from 23 ft,,101,97
4,6:59.0,,Defensive rebound by J. Layman,101,97
4,6:55.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by J. Layman),101,100
4,6:54.0,Miami full timeout,,101,100
4,6:41.0,T. Johnson misses 3-pt jump shot from 28 ft,,101,100
4,6:39.0,,Defensive rebound by M. Leonard,101,100
4,6:28.0,,C. McCollum misses 3-pt jump shot from 24 ft,101,100
4,6:24.0,Defensive rebound by T. Johnson,,101,100
4,6:05.0,J. Johnson makes 3-pt jump shot from 23 ft (assist by T. Johnson),,104,100
4,5:44.0,,E. Turner misses 2-pt jump shot from 14 ft,104,100
4,5:41.0,Defensive rebound by B. Adebayo,,104,100
4,5:31.0,Turnover by T. Johnson (traveling),,104,100
4,5:31.0,H. Whiteside enters the game for B. Adebayo,,104,100
4,5:31.0,,D. Lillard enters the game for S. Curry,104,100
4,5:15.0,,M. Leonard makes 3-pt jump shot from 29 ft (assist by J. Layman),104,103
4,4:47.0,H. Whiteside makes 2-pt hook shot from 3 ft (assist by J. Richardson),,106,103
4,4:29.0,,J. Layman misses 3-pt jump shot from 25 ft,106,103
4,4:27.0,Defensive rebound by H. Whiteside,,106,103
4,4:14.0,J. Johnson misses 2-pt jump shot from 11 ft,,106,103
4,4:12.0,,Defensive rebound by J. Layman,106,103
4,3:59.0,,Turnover by D. Lillard (bad pass; steal by J. Johnson),106,103
4,3:59.0,,Loose ball foul by J. Layman (drawn by J. Johnson),106,103
4,3:59.0,J. Johnson makes free throw 1 of 2,,107,103
4,3:59.0,D. Wade enters the game for T. Johnson,,107,103
4,3:59.0,J. Johnson makes free throw 2 of 2,,108,103
4,3:47.0,,M. Leonard misses 3-pt jump shot from 30 ft,108,103
4,3:44.0,Defensive rebound by J. Winslow,,108,103
4,3:31.0,D. Wade misses 2-pt jump shot from 14 ft,,108,103
4,3:30.0,,Defensive rebound by C. McCollum,108,103
4,3:19.0,,J. Layman misses 2-pt dunk from 3 ft (block by J. Johnson),108,103
4,3:17.0,Defensive rebound by D. Wade,,108,103
4,3:14.0,J. Winslow misses 3-pt jump shot from 24 ft,,108,103
4,3:10.0,Offensive rebound by D. Wade,,108,103
4,3:10.0,D. Wade misses 2-pt layup from 3 ft,,108,103
4,3:08.0,Offensive rebound by D. Wade,,108,103
4,3:07.0,,Portland full timeout,108,103
4,2:58.0,D. Wade misses 2-pt jump shot from 17 ft,,108,103
4,2:57.0,,Defensive rebound by Team,108,103
4,2:57.0,Loose ball foul by H. Whiteside (drawn by M. Leonard),,108,103
4,2:43.0,,C. McCollum makes 2-pt jump shot from 12 ft,108,105
4,2:28.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Johnson),,110,105
4,2:10.0,,M. Leonard misses 3-pt jump shot from 25 ft,110,105
4,2:06.0,,Offensive rebound by J. Layman,110,105
4,1:51.0,,J. Layman misses 3-pt jump shot from 25 ft,110,105
4,1:47.0,Defensive rebound by J. Richardson,,110,105
4,1:27.0,J. Johnson makes 2-pt jump shot from 4 ft,,112,105
4,1:21.0,,D. Lillard misses 2-pt jump shot from 8 ft,112,105
4,1:19.0,Defensive rebound by J. Johnson,,112,105
4,0:59.0,J. Johnson misses 3-pt jump shot from 25 ft,,112,105
4,0:56.0,,Defensive rebound by M. Leonard,112,105
4,0:50.0,,Shooting foul by J. Johnson (drawn by D. Lillard),112,105
4,0:50.0,,D. Lillard makes free throw 1 of 2,112,106
4,0:50.0,,D. Lillard misses free throw 2 of 2,112,106
4,0:44.0,,Offensive rebound by J. Layman,112,106
4,0:42.0,,C. McCollum misses 3-pt jump shot from 26 ft,112,106
4,0:40.0,Defensive rebound by H. Whiteside,,112,106
4,0:40.0,Personal foul by M. Leonard (drawn by H. Whiteside),,112,106
4,0:40.0,H. Whiteside makes free throw 1 of 2,,113,106
4,0:40.0,H. Whiteside makes free throw 2 of 2,,114,106
