QUARTER,TIME_REMAINING,LA LAKERS_ACTION,HOUSTON_ACTION,LA LAKERS_SCORE,HOUSTON_SCORE
1,4:28.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. Ball),,24,18
1,4:06.0,,J. Harden misses 3-pt jump shot from 25 ft,24,18
1,4:04.0,Defensive rebound by L. Ball,,24,18
1,4:01.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by L. Ball),,26,18
1,3:50.0,,J. Nunnally misses 3-pt jump shot from 25 ft,26,18
1,3:49.0,Defensive rebound by Team,,26,18
1,3:49.0,,Loose ball foul by J. Harden (drawn by J. McGee),26,18
1,3:38.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by L. Ball),,29,18
1,3:10.0,,G. Green misses 2-pt jump shot from 21 ft,29,18
1,3:07.0,Defensive rebound by K. Caldwell-Pope,,29,18
1,3:02.0,Offensive foul by K. Kuzma (drawn by G. Green),,29,18
1,3:02.0,Turnover by K. Kuzma (offensive foul),,29,18
1,2:49.0,,G. Green makes 3-pt jump shot from 23 ft (assist by J. Harden),29,21
1,2:49.0,J. Hart enters the game for K. Caldwell-Pope,,29,21
1,2:49.0,S. Mykhailiuk enters the game for B. Ingram,,29,21
1,2:49.0,,E. Gordon enters the game for G. Clark,29,21
1,2:49.0,,N. Hilário enters the game for J. Harden,29,21
1,2:49.0,,A. Rivers enters the game for P. Tucker,29,21
1,2:34.0,J. Hart makes 2-pt layup from 2 ft (assist by L. Ball),,31,21
1,2:24.0,,E. Gordon makes 2-pt layup at rim,31,23
1,2:13.0,K. Kuzma makes 2-pt jump shot from 3 ft,,33,23
1,2:13.0,Shooting foul by G. Green (drawn by K. Kuzma),,33,23
1,2:13.0,,G. Clark enters the game for G. Green,33,23
1,2:13.0,K. Kuzma makes free throw 1 of 1,,34,23
1,1:56.0,,G. Clark misses 3-pt jump shot from 25 ft,34,23
1,1:55.0,Defensive rebound by J. McGee,,34,23
1,1:46.0,J. McGee misses 2-pt layup from 2 ft,,34,23
1,1:45.0,,Defensive rebound by G. Clark,34,23
1,1:37.0,,E. Gordon misses 2-pt layup from 1 ft,34,23
1,1:35.0,Defensive rebound by J. McGee,,34,23
1,1:31.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,34,23
1,1:31.0,,Defensive rebound by Team,34,23
1,1:31.0,Loose ball foul by J. Hart (drawn by E. Gordon),,34,23
1,1:18.0,,E. Gordon misses 3-pt jump shot from 28 ft,34,23
1,1:17.0,Defensive rebound by J. McGee,,34,23
1,1:01.0,K. Kuzma misses 2-pt jump shot from 13 ft,,34,23
1,0:58.0,,Defensive rebound by E. Gordon,34,23
1,0:55.0,,Turnover by E. Gordon (bad pass; steal by L. Ball),34,23
1,0:51.0,J. Hart misses 2-pt jump shot from 5 ft,,34,23
1,0:48.0,Offensive rebound by J. Hart,,34,23
1,0:38.0,K. Kuzma makes 3-pt jump shot from 28 ft,,37,23
1,0:31.0,,E. Gordon makes 3-pt jump shot from 26 ft,37,26
1,0:20.0,J. McGee makes 2-pt layup from 4 ft (assist by L. Ball),,39,26
1,0:01.0,,E. Gordon misses 3-pt jump shot from 25 ft,39,26
1,0:01.0,Defensive rebound by J. McGee,,39,26
2,11:50.0,,J. Nunnally misses 3-pt jump shot from 24 ft,39,26
2,11:49.0,Defensive rebound by J. McGee,,39,26
2,11:27.0,J. Hart misses 3-pt jump shot from 29 ft,,39,26
2,11:26.0,,Defensive rebound by N. Hilário,39,26
2,11:17.0,,A. Rivers makes 3-pt jump shot from 25 ft,39,29
2,10:51.0,S. Mykhailiuk makes 2-pt layup from 3 ft,,41,29
2,10:32.0,,J. Nunnally misses 3-pt jump shot from 24 ft,41,29
2,10:31.0,Defensive rebound by J. McGee,,41,29
2,10:20.0,M. Beasley makes 2-pt jump shot from 6 ft,,43,29
2,10:20.0,Shooting foul by J. Nunnally (drawn by M. Beasley),,43,29
2,10:20.0,,J. Ennis enters the game for J. Nunnally,43,29
2,10:20.0,M. Beasley makes free throw 1 of 1,,44,29
2,10:07.0,,E. Gordon misses 2-pt jump shot from 20 ft,44,29
2,10:06.0,Defensive rebound by J. McGee,,44,29
2,9:48.0,Shooting foul by N. Hilário (drawn by J. McGee),,44,29
2,9:48.0,J. McGee misses free throw 1 of 2,,44,29
2,9:48.0,Offensive rebound by Team,,44,29
2,9:48.0,J. McGee misses free throw 2 of 2,,44,29
2,9:46.0,,Defensive rebound by G. Clark,44,29
2,9:36.0,,A. Rivers misses 3-pt jump shot from 25 ft,44,29
2,9:34.0,Defensive rebound by J. McGee,,44,29
2,9:18.0,M. Beasley makes 2-pt layup from 2 ft (assist by J. McGee),,46,29
2,9:07.0,,A. Rivers misses 3-pt jump shot from 23 ft,46,29
2,9:06.0,Defensive rebound by J. McGee,,46,29
2,8:59.0,S. Mykhailiuk misses 2-pt layup from 3 ft,,46,29
2,8:53.0,,Defensive rebound by E. Gordon,46,29
2,8:50.0,,E. Gordon misses 2-pt layup from 1 ft (block by J. McGee),46,29
2,8:50.0,Defensive rebound by J. Hart,,46,29
2,8:45.0,S. Mykhailiuk misses 2-pt layup from 2 ft (block by A. Rivers),,46,29
2,8:45.0,,Defensive rebound by N. Hilário,46,29
2,8:35.0,,E. Gordon makes 2-pt layup from 2 ft (assist by N. Hilário),46,31
2,8:09.0,M. Beasley misses 2-pt jump shot from 10 ft,,46,31
2,8:05.0,Offensive rebound by M. Beasley,,46,31
2,8:05.0,M. Beasley misses 2-pt layup at rim,,46,31
2,8:04.0,,Defensive rebound by N. Hilário,46,31
2,8:02.0,,E. Gordon misses 3-pt jump shot from 30 ft,46,31
2,7:59.0,Defensive rebound by J. Hart,,46,31
2,7:49.0,J. Hart misses 3-pt jump shot from 25 ft,,46,31
2,7:47.0,,Defensive rebound by E. Gordon,46,31
2,7:42.0,,Shooting foul by S. Mykhailiuk (drawn by E. Gordon),46,31
2,7:42.0,,E. Gordon makes free throw 1 of 2,46,32
2,7:42.0,K. Kuzma enters the game for M. Beasley,,46,32
2,7:42.0,I. Zubac enters the game for J. McGee,,46,32
2,7:42.0,,J. Harden enters the game for G. Clark,46,32
2,7:42.0,,P. Tucker enters the game for N. Hilário,46,32
2,7:42.0,,E. Gordon makes free throw 2 of 2,46,33
2,7:29.0,L. Stephenson makes 3-pt jump shot from 26 ft (assist by S. Mykhailiuk),,49,33
2,7:14.0,,J. Harden makes 2-pt jump shot from 12 ft,49,35
2,7:14.0,,Shooting foul by L. Stephenson (drawn by J. Harden),49,35
2,7:14.0,K. Caldwell-Pope enters the game for S. Mykhailiuk,,49,35
2,7:14.0,B. Ingram enters the game for L. Stephenson,,49,35
2,7:14.0,,J. Nunnally enters the game for E. Gordon,49,35
2,7:14.0,,J. Harden makes free throw 1 of 1,49,36
2,6:53.0,J. Hart misses 2-pt layup from 6 ft,,49,36
2,6:51.0,,Defensive rebound by A. Rivers,49,36
2,6:43.0,,J. Harden misses 2-pt jump shot from 8 ft,49,36
2,6:42.0,,Offensive rebound by P. Tucker,49,36
2,6:38.0,,J. Nunnally misses 3-pt jump shot from 24 ft,49,36
2,6:38.0,Defensive rebound by K. Kuzma,,49,36
2,6:38.0,,Houston full timeout,49,36
2,6:38.0,L. Ball enters the game for J. Hart,,49,36
2,6:26.0,Turnover by K. Kuzma (bad pass; steal by P. Tucker),,49,36
2,6:08.0,,Turnover by J. Harden (bad pass; steal by K. Kuzma),49,36
2,6:05.0,Personal foul by J. Ennis (drawn by I. Zubac),,49,36
2,6:05.0,,G. Green enters the game for J. Nunnally,49,36
2,5:51.0,I. Zubac makes 2-pt layup from 3 ft (assist by L. Ball),,51,36
2,5:32.0,,P. Tucker misses 3-pt jump shot from 25 ft,51,36
2,5:30.0,Defensive rebound by B. Ingram,,51,36
2,5:13.0,I. Zubac misses 2-pt jump shot from 8 ft (block by J. Ennis),,51,36
2,5:10.0,,Defensive rebound by P. Tucker,51,36
2,5:09.0,,J. Harden misses 2-pt layup from 3 ft (block by L. Ball),51,36
2,5:09.0,,Offensive rebound by Team,51,36
2,5:03.0,,J. Harden misses 3-pt jump shot from 24 ft,51,36
2,5:00.0,Defensive rebound by I. Zubac,,51,36
2,4:53.0,B. Ingram makes 2-pt layup from 2 ft (assist by L. Ball),,53,36
2,4:36.0,,A. Rivers misses 3-pt jump shot from 25 ft,53,36
2,4:35.0,Defensive rebound by I. Zubac,,53,36
2,4:28.0,L. Ball misses 3-pt jump shot from 25 ft,,53,36
2,4:24.0,Offensive rebound by B. Ingram,,53,36
2,4:22.0,K. Kuzma makes 2-pt jump shot from 14 ft (assist by B. Ingram),,55,36
2,4:22.0,,Houston full timeout,55,36
2,4:22.0,,N. Hilário enters the game for J. Ennis,55,36
2,4:06.0,,G. Green misses 3-pt jump shot from 24 ft,55,36
2,4:05.0,,Offensive rebound by J. Harden,55,36
2,4:02.0,,Turnover by J. Harden (lost ball; steal by K. Caldwell-Pope),55,36
2,4:02.0,Personal take foul by J. Harden (drawn by K. Caldwell-Pope),,55,36
2,3:42.0,K. Kuzma misses 3-pt jump shot from 27 ft,,55,36
2,3:41.0,Offensive rebound by I. Zubac,,55,36
2,3:39.0,I. Zubac makes 2-pt hook shot from 7 ft,,57,36
2,3:17.0,,J. Harden makes 3-pt jump shot from 26 ft,57,39
2,3:06.0,Turnover by B. Ingram (bad pass; steal by P. Tucker),,57,39
2,2:59.0,,Personal foul by B. Ingram (drawn by P. Tucker),57,39
2,2:47.0,,Turnover by P. Tucker (bad pass; steal by K. Caldwell-Pope),57,39
2,2:44.0,K. Caldwell-Pope makes 2-pt dunk from 2 ft,,59,39
2,2:25.0,,P. Tucker misses 2-pt layup from 1 ft,59,39
2,2:22.0,,Offensive rebound by A. Rivers,59,39
2,2:14.0,,Def 3 sec tech foul by Team,59,39
2,2:14.0,,J. Harden makes technical free throw,59,40
2,2:14.0,T. Chandler enters the game for I. Zubac,,59,40
2,2:06.0,,J. Harden misses 3-pt jump shot from 25 ft,59,40
2,2:00.0,,Offensive rebound by P. Tucker,59,40
2,2:00.0,,P. Tucker makes 2-pt layup from 1 ft,59,42
2,1:47.0,Shooting foul by N. Hilário (drawn by B. Ingram),,59,42
2,1:47.0,B. Ingram makes free throw 1 of 2,,60,42
2,1:47.0,B. Ingram misses free throw 2 of 2,,60,42
2,1:45.0,,Defensive rebound by J. Harden,60,42
2,1:36.0,,J. Harden misses 3-pt jump shot from 26 ft,60,42
2,1:35.0,Defensive rebound by L. Ball,,60,42
2,1:30.0,B. Ingram misses 2-pt layup from 2 ft,,60,42
2,1:25.0,Offensive rebound by K. Kuzma,,60,42
2,1:25.0,K. Kuzma makes 2-pt layup at rim,,62,42
2,1:19.0,,N. Hilário makes 2-pt dunk from 1 ft (assist by P. Tucker),62,44
2,1:11.0,L. Ball makes 2-pt layup from 2 ft,,64,44
2,0:56.0,,Turnover by J. Harden (bad pass),64,44
2,0:36.0,L. Ball misses 3-pt jump shot from 26 ft,,64,44
2,0:34.0,,Defensive rebound by G. Green,64,44
2,0:28.0,,Shooting foul by T. Chandler (drawn by J. Harden),64,44
2,0:28.0,,J. Harden makes free throw 1 of 2,64,45
2,0:28.0,,J. Harden makes free throw 2 of 2,64,46
2,0:05.0,K. Kuzma misses 3-pt jump shot from 32 ft,,64,46
2,0:03.0,,Defensive rebound by N. Hilário,64,46
2,0:00.0,,A. Rivers misses 3-pt jump shot from 27 ft,64,46
2,0:00.0,,Offensive rebound by Team,64,46
3,11:47.0,,J. Ennis makes 3-pt jump shot from 27 ft (assist by J. Harden),64,49
3,11:35.0,K. Kuzma misses 3-pt jump shot from 26 ft,,64,49
3,11:34.0,,Defensive rebound by J. Harden,64,49
3,11:27.0,,E. Gordon misses 3-pt jump shot from 26 ft,64,49
3,11:25.0,,Offensive rebound by Team,64,49
3,11:25.0,Loose ball foul by K. Kuzma (drawn by P. Tucker),,64,49
3,11:12.0,,E. Gordon misses 3-pt jump shot from 23 ft,64,49
3,11:11.0,Defensive rebound by L. Ball,,64,49
3,11:08.0,Shooting foul by A. Rivers (drawn by B. Ingram),,64,49
3,11:08.0,B. Ingram makes free throw 1 of 2,,65,49
3,11:08.0,B. Ingram misses free throw 2 of 2,,65,49
3,11:06.0,,Defensive rebound by J. Harden,65,49
3,10:54.0,,A. Rivers misses 3-pt jump shot from 24 ft,65,49
3,10:51.0,,Offensive rebound by J. Harden,65,49
3,10:35.0,,E. Gordon misses 2-pt jump shot from 6 ft,65,49
3,10:33.0,Defensive rebound by T. Chandler,,65,49
3,10:25.0,K. Caldwell-Pope misses 2-pt jump shot from 20 ft,,65,49
3,10:24.0,,Defensive rebound by P. Tucker,65,49
3,10:11.0,,E. Gordon makes 3-pt jump shot from 28 ft (assist by A. Rivers),65,52
3,10:10.0,LA Lakers full timeout,,65,52
3,9:58.0,Personal foul by J. Ennis (drawn by B. Ingram),,65,52
3,9:48.0,L. Ball misses 3-pt jump shot from 26 ft,,65,52
3,9:45.0,,Defensive rebound by A. Rivers,65,52
3,9:34.0,,P. Tucker misses 3-pt jump shot from 23 ft,65,52
3,9:33.0,Defensive rebound by K. Kuzma,,65,52
3,9:15.0,K. Kuzma makes 2-pt jump shot from 6 ft (assist by L. Ball),,67,52
3,9:02.0,,J. Ennis misses 3-pt jump shot from 23 ft,67,52
3,9:01.0,Defensive rebound by K. Caldwell-Pope,,67,52
3,8:47.0,K. Caldwell-Pope makes 2-pt jump shot from 21 ft (assist by L. Ball),,69,52
3,8:40.0,,J. Ennis makes 2-pt layup from 1 ft (assist by E. Gordon),69,54
3,8:39.0,LA Lakers full timeout,,69,54
3,8:39.0,J. Hart enters the game for L. Ball,,69,54
3,8:21.0,J. Hart makes 3-pt jump shot from 24 ft (assist by K. Kuzma),,72,54
3,8:08.0,,J. Harden makes 3-pt jump shot from 26 ft,72,57
3,7:43.0,K. Kuzma makes 2-pt jump shot from 11 ft,,74,57
3,7:32.0,,J. Ennis makes 3-pt jump shot from 24 ft (assist by E. Gordon),74,60
3,7:17.0,Turnover by T. Chandler (bad pass; steal by P. Tucker),,74,60
3,7:11.0,,J. Harden makes 2-pt layup from 2 ft,74,62
3,6:53.0,Offensive foul by B. Ingram (drawn by A. Rivers),,74,62
3,6:53.0,Turnover by B. Ingram (offensive foul),,74,62
3,6:53.0,J. McGee enters the game for T. Chandler,,74,62
3,6:53.0,,G. Green enters the game for E. Gordon,74,62
3,6:38.0,,J. Ennis makes 2-pt jump shot from 2 ft (assist by A. Rivers),74,64
3,6:15.0,J. McGee misses 2-pt jump shot from 4 ft,,74,64
3,6:13.0,Offensive rebound by J. McGee,,74,64
3,6:10.0,Turnover by J. McGee (bad pass; steal by J. Harden),,74,64
3,6:05.0,,J. Harden makes 3-pt jump shot from 27 ft,74,67
3,6:05.0,LA Lakers full timeout,,74,67
3,6:05.0,,Technical foul by L. Walton,74,67
3,6:05.0,,J. Harden makes technical free throw,74,68
3,6:05.0,L. Walton ejected from game,,74,68
3,6:05.0,,Technical foul by L. Walton,74,68
3,6:05.0,,J. Harden makes technical free throw,74,69
3,5:51.0,Turnover by B. Ingram (traveling),,74,69
3,5:43.0,,Offensive foul by P. Tucker (drawn by K. Caldwell-Pope),74,69
3,5:43.0,,Turnover by P. Tucker (offensive foul),74,69
3,5:24.0,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,,74,69
3,5:21.0,,Defensive rebound by J. Ennis,74,69
3,5:10.0,,G. Green misses 3-pt jump shot from 26 ft,74,69
3,5:10.0,,Offensive rebound by Team,74,69
3,5:10.0,,J. Nunnally enters the game for J. Ennis,74,69
3,5:08.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by G. Green),74,72
3,4:41.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,74,72
3,4:41.0,Offensive rebound by Team,,74,72
3,4:41.0,Turnover by Team (shot clock),,74,72
3,4:30.0,,Turnover by J. Harden (step out of bounds),74,72
3,4:21.0,Offensive foul by B. Ingram (drawn by J. Harden),,74,72
3,4:21.0,Turnover by B. Ingram (offensive foul),,74,72
3,4:21.0,,G. Clark enters the game for A. Rivers,74,72
3,4:01.0,,Turnover by G. Clark (bad pass; steal by K. Kuzma),74,72
3,3:57.0,K. Kuzma makes 2-pt jump shot from 2 ft,,76,72
3,3:38.0,,P. Tucker makes 2-pt layup from 3 ft (assist by G. Green),76,74
3,3:14.0,Personal foul by P. Tucker (drawn by K. Kuzma),,76,74
3,3:14.0,L. Stephenson enters the game for K. Caldwell-Pope,,76,74
3,3:03.0,B. Ingram misses 2-pt layup from 6 ft (block by J. Harden),,76,74
3,3:02.0,Offensive rebound by J. McGee,,76,74
3,3:01.0,J. McGee makes 2-pt dunk from 2 ft,,78,74
3,2:44.0,,J. Harden misses 2-pt layup from 2 ft,78,74
3,2:42.0,Defensive rebound by L. Stephenson,,78,74
3,2:24.0,K. Kuzma misses 2-pt layup from 2 ft (block by P. Tucker),,78,74
3,2:20.0,Offensive rebound by J. McGee,,78,74
3,2:19.0,J. McGee makes 2-pt hook shot from 7 ft,,80,74
3,2:07.0,,G. Clark makes 3-pt jump shot from 26 ft (assist by J. Harden),80,77
3,1:52.0,B. Ingram makes 2-pt jump shot from 14 ft (assist by L. Stephenson),,82,77
3,1:32.0,,J. Nunnally misses 3-pt jump shot from 25 ft,82,77
3,1:29.0,Defensive rebound by J. McGee,,82,77
3,1:24.0,Personal foul by J. Harden (drawn by B. Ingram),,82,77
3,1:24.0,,E. Gordon enters the game for J. Harden,82,77
3,1:24.0,,A. Rivers enters the game for J. Nunnally,82,77
3,1:17.0,J. McGee makes 2-pt dunk from 2 ft (assist by K. Kuzma),,84,77
3,1:06.0,,G. Green makes 2-pt layup from 2 ft (assist by E. Gordon),84,79
3,1:06.0,,Shooting foul by B. Ingram (drawn by G. Green),84,79
3,1:06.0,S. Mykhailiuk enters the game for B. Ingram,,84,79
3,1:06.0,,N. Hilário enters the game for P. Tucker,84,79
3,1:06.0,,G. Green makes free throw 1 of 1,84,80
3,0:51.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. Stephenson),,86,80
3,0:42.0,,G. Green misses 3-pt jump shot from 27 ft,86,80
3,0:39.0,,Offensive rebound by E. Gordon,86,80
3,0:37.0,,G. Green misses 3-pt jump shot from 25 ft,86,80
3,0:35.0,Defensive rebound by J. McGee,,86,80
3,0:24.0,L. Stephenson misses 2-pt layup from 3 ft,,86,80
3,0:23.0,,Defensive rebound by Team,86,80
3,0:23.0,Loose ball foul by J. McGee (drawn by N. Hilário),,86,80
3,0:23.0,,N. Hilário makes free throw 1 of 2,86,81
3,0:23.0,,P. Tucker enters the game for G. Clark,86,81
3,0:23.0,,N. Hilário makes free throw 2 of 2,86,82
4,11:37.0,I. Zubac misses 2-pt hook shot from 9 ft,,86,82
4,11:36.0,Offensive rebound by I. Zubac,,86,82
4,11:34.0,J. Hart misses 3-pt jump shot from 26 ft,,86,82
4,11:33.0,,Defensive rebound by A. Rivers,86,82
4,11:20.0,,A. Rivers misses 2-pt layup from 2 ft,86,82
4,11:19.0,Defensive rebound by I. Zubac,,86,82
4,11:07.0,L. Stephenson makes 3-pt jump shot from 25 ft (assist by J. Hart),,89,82
4,10:49.0,,J. Ennis makes 3-pt jump shot from 26 ft (assist by N. Hilário),89,85
4,10:29.0,M. Beasley makes 2-pt layup from 3 ft,,91,85
4,10:29.0,Shooting foul by J. Ennis (drawn by M. Beasley),,91,85
4,10:29.0,M. Beasley makes free throw 1 of 1,,92,85
4,10:17.0,,G. Green makes 3-pt jump shot from 25 ft (assist by N. Hilário),92,88
4,10:05.0,L. Stephenson makes 3-pt jump shot from 26 ft,,95,88
4,9:56.0,,Shooting foul by I. Zubac (drawn by E. Gordon),95,88
4,9:56.0,,E. Gordon makes free throw 1 of 2,95,89
4,9:56.0,,E. Gordon makes free throw 2 of 2,95,90
4,9:41.0,J. Hart misses 3-pt jump shot from 25 ft,,95,90
4,9:40.0,,Defensive rebound by J. Ennis,95,90
4,9:35.0,,Turnover by J. Ennis (bad pass),95,90
4,9:27.0,Shooting foul by E. Gordon (drawn by L. Stephenson),,95,90
4,9:27.0,L. Stephenson makes free throw 1 of 2,,96,90
4,9:27.0,K. Caldwell-Pope enters the game for S. Mykhailiuk,,96,90
4,9:27.0,,J. Harden enters the game for E. Gordon,96,90
4,9:27.0,L. Stephenson makes free throw 2 of 2,,97,90
4,9:14.0,,J. Harden misses 3-pt jump shot from 26 ft,97,90
4,9:13.0,,Offensive rebound by J. Ennis,97,90
4,9:13.0,,Shooting foul by M. Beasley (drawn by J. Ennis),97,90
4,9:13.0,,J. Ennis makes free throw 1 of 2,97,91
4,9:13.0,,J. Ennis makes free throw 2 of 2,97,92
4,8:49.0,J. Hart makes 2-pt layup from 2 ft (assist by L. Stephenson),,99,92
4,8:42.0,,G. Green makes 2-pt layup from 3 ft (assist by J. Harden),99,94
4,8:25.0,Shooting foul by N. Hilário (drawn by I. Zubac),,99,94
4,8:25.0,I. Zubac makes free throw 1 of 2,,100,94
4,8:25.0,,P. Tucker enters the game for N. Hilário,100,94
4,8:25.0,I. Zubac makes free throw 2 of 2,,101,94
4,8:07.0,,J. Ennis misses 2-pt layup from 3 ft (block by M. Beasley),101,94
4,8:04.0,Defensive rebound by I. Zubac,,101,94
4,8:01.0,M. Beasley misses 2-pt jump shot from 9 ft,,101,94
4,8:01.0,Offensive rebound by Team,,101,94
4,8:01.0,,Loose ball foul by J. Ennis (drawn by I. Zubac),101,94
4,7:51.0,Turnover by M. Beasley (lost ball; steal by J. Harden),,101,94
4,7:43.0,,J. Harden makes 2-pt layup from 1 ft,101,96
4,7:28.0,L. Stephenson makes 3-pt jump shot from 25 ft,,104,96
4,7:14.0,,P. Tucker misses 3-pt jump shot from 23 ft,104,96
4,7:13.0,Defensive rebound by K. Caldwell-Pope,,104,96
4,7:01.0,M. Beasley misses 3-pt jump shot from 23 ft,,104,96
4,7:00.0,,Defensive rebound by Team,104,96
4,7:00.0,K. Kuzma enters the game for M. Beasley,,104,96
4,7:00.0,,Houston full timeout,104,96
4,7:00.0,,E. Gordon enters the game for J. Ennis,104,96
4,6:45.0,,G. Green misses 3-pt jump shot from 24 ft,104,96
4,6:44.0,,Offensive rebound by P. Tucker,104,96
4,6:35.0,,P. Tucker makes 2-pt dunk from 3 ft (assist by A. Rivers),104,98
4,6:23.0,Personal foul by P. Tucker (drawn by K. Kuzma),,104,98
4,6:23.0,K. Kuzma makes free throw 1 of 2,,105,98
4,6:23.0,K. Kuzma makes free throw 2 of 2,,106,98
4,6:09.0,,J. Harden misses 2-pt layup from 3 ft,106,98
4,6:07.0,Defensive rebound by J. Hart,,106,98
4,6:03.0,L. Stephenson misses 3-pt jump shot from 25 ft,,106,98
4,6:01.0,Offensive rebound by K. Kuzma,,106,98
4,5:57.0,Shooting foul by G. Green (drawn by I. Zubac),,106,98
4,5:57.0,I. Zubac makes free throw 1 of 2,,107,98
4,5:57.0,I. Zubac makes free throw 2 of 2,,108,98
4,5:39.0,,Personal foul by I. Zubac (drawn by G. Green),108,98
4,5:33.0,,G. Green makes 3-pt jump shot from 23 ft (assist by P. Tucker),108,101
