QUARTER,TIME_REMAINING,UTAH_ACTION,ORLANDO_ACTION,UTAH_SCORE,ORLANDO_SCORE
3,10:17.0,,N. Vučević misses 2-pt layup from 2 ft (block by R. Gobert),37,33
3,10:17.0,Defensive rebound by R. Gobert,,37,33
3,10:08.0,R. Rubio makes 2-pt jump shot from 17 ft,,39,33
3,9:53.0,,Offensive foul by N. Vučević (drawn by R. Gobert),39,33
3,9:53.0,,Turnover by N. Vučević (offensive foul),39,33
3,9:53.0,,Violation by Team (delay of game),39,33
3,9:53.0,Technical foul by S. Clifford,,39,33
3,9:53.0,R. Rubio makes technical free throw,,40,33
3,9:32.0,D. Mitchell makes 3-pt jump shot from 27 ft,,43,33
3,9:08.0,,A. Gordon makes 2-pt layup from 3 ft,43,35
3,8:57.0,D. Favors makes 2-pt layup from 3 ft (assist by D. Mitchell),,45,35
3,8:57.0,Shooting foul by J. Isaac (drawn by D. Favors),,45,35
3,8:57.0,D. Favors makes free throw 1 of 1,,46,35
3,8:45.0,,Personal foul by D. Mitchell (drawn by N. Vučević),46,35
3,8:36.0,,Turnover by D. Augustin (bad pass; steal by R. Gobert),46,35
3,8:25.0,D. Favors misses 2-pt jump shot from 9 ft,,46,35
3,8:23.0,,Defensive rebound by N. Vučević,46,35
3,8:04.0,,E. Fournier misses 3-pt jump shot from 26 ft,46,35
3,7:59.0,Defensive rebound by R. Gobert,,46,35
3,7:52.0,R. Rubio misses 2-pt jump shot from 20 ft,,46,35
3,7:49.0,,Defensive rebound by N. Vučević,46,35
3,7:40.0,,N. Vučević misses 3-pt jump shot from 25 ft,46,35
3,7:36.0,Defensive rebound by D. Favors,,46,35
3,7:26.0,R. Rubio misses 2-pt jump shot from 19 ft,,46,35
3,7:22.0,,Defensive rebound by N. Vučević,46,35
3,7:16.0,,D. Augustin makes 2-pt layup from 3 ft,46,37
3,7:16.0,Utah full timeout,,46,37
3,7:16.0,J. Crowder enters the game for D. Favors,,46,37
3,7:16.0,K. Korver enters the game for J. Ingles,,46,37
3,7:05.0,K. Korver misses 3-pt jump shot from 26 ft,,46,37
3,7:02.0,,Defensive rebound by Team,46,37
3,6:39.0,,N. Vučević misses 2-pt layup from 5 ft (block by J. Crowder),46,37
3,6:36.0,,Offensive rebound by N. Vučević,46,37
3,6:34.0,,N. Vučević misses 2-pt hook shot from 4 ft,46,37
3,6:34.0,Defensive rebound by R. Rubio,,46,37
3,6:19.0,D. Mitchell misses 2-pt jump shot from 10 ft,,46,37
3,6:19.0,,Defensive rebound by Team,46,37
3,6:19.0,Loose ball foul by R. Gobert (drawn by N. Vučević),,46,37
3,6:08.0,,D. Augustin misses 3-pt jump shot from 26 ft,46,37
3,6:06.0,Defensive rebound by R. Gobert,,46,37
3,5:54.0,R. Rubio makes 2-pt layup from 3 ft (assist by R. Gobert),,48,37
3,5:39.0,,E. Fournier makes 2-pt layup from 3 ft,48,39
3,5:31.0,J. Crowder misses 3-pt jump shot from 27 ft,,48,39
3,5:27.0,Offensive rebound by R. Gobert,,48,39
3,5:16.0,D. Mitchell misses 2-pt layup from 3 ft,,48,39
3,5:14.0,,Defensive rebound by N. Vučević,48,39
3,4:57.0,,Shooting foul by K. Korver (drawn by N. Vučević),48,39
3,4:57.0,,N. Vučević makes free throw 1 of 2,48,40
3,4:57.0,D. Exum enters the game for D. Mitchell,,48,40
3,4:57.0,J. Ingles enters the game for R. Rubio,,48,40
3,4:57.0,,J. Grant enters the game for D. Augustin,48,40
3,4:57.0,,J. Simmons enters the game for J. Isaac,48,40
3,4:57.0,,N. Vučević makes free throw 2 of 2,48,41
3,4:35.0,D. Exum misses 2-pt jump shot from 10 ft,,48,41
3,4:32.0,,Defensive rebound by N. Vučević,48,41
3,4:24.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by A. Gordon),48,44
3,4:11.0,Turnover by D. Exum (bad pass; steal by J. Simmons),,48,44
3,4:06.0,,J. Simmons makes 2-pt dunk from 2 ft,48,46
3,4:06.0,Utah full timeout,,48,46
3,4:06.0,D. Favors enters the game for R. Gobert,,48,46
3,4:06.0,R. O'Neale enters the game for K. Korver,,48,46
3,4:06.0,,T. Ross enters the game for E. Fournier,48,46
3,3:55.0,Personal foul by A. Gordon (drawn by J. Crowder),,48,46
3,3:46.0,J. Ingles misses 2-pt layup from 4 ft,,48,46
3,3:43.0,,Defensive rebound by N. Vučević,48,46
3,3:38.0,,N. Vučević misses 3-pt jump shot from 26 ft,48,46
3,3:31.0,,Offensive rebound by T. Ross,48,46
3,3:31.0,,T. Ross makes 2-pt layup at rim,48,48
3,3:17.0,D. Exum misses 2-pt jump shot from 5 ft,,48,48
3,3:13.0,,Defensive rebound by N. Vučević,48,48
3,2:56.0,,A. Gordon misses 2-pt layup from 3 ft,48,48
3,2:54.0,Defensive rebound by D. Favors,,48,48
3,2:43.0,Shooting foul by T. Ross (drawn by D. Favors),,48,48
3,2:43.0,D. Favors makes free throw 1 of 2,,49,48
3,2:43.0,,M. Bamba enters the game for N. Vučević,49,48
3,2:43.0,D. Favors makes free throw 2 of 2,,50,48
3,2:20.0,,A. Gordon makes 3-pt jump shot from 25 ft,50,51
3,2:06.0,J. Crowder makes 2-pt layup from 8 ft (assist by R. O'Neale),,52,51
3,2:06.0,Shooting foul by A. Gordon (drawn by J. Crowder),,52,51
