QUARTER,TIME_REMAINING,BOSTON_ACTION,PORTLAND_ACTION,BOSTON_SCORE,PORTLAND_SCORE
1,0:13.0,Defensive rebound by J. Tatum,,19,26
1,0:03.0,J. Tatum makes 2-pt jump shot from 22 ft,,21,26
1,0:00.0,,M. Leonard misses 2-pt layup from 3 ft (block by A. Horford),21,26
1,0:00.0,,Offensive rebound by Team,21,26
2,11:44.0,M. Morris misses 2-pt jump shot from 11 ft,,21,26
2,11:41.0,Offensive rebound by M. Smart,,21,26
2,11:39.0,J. Tatum misses 3-pt jump shot from 25 ft,,21,26
2,11:37.0,,Defensive rebound by E. Turner,21,26
2,11:31.0,,Z. Collins makes 2-pt layup from 1 ft (assist by E. Turner),21,28
2,11:18.0,M. Morris makes 3-pt jump shot from 25 ft (assist by M. Smart),,24,28
2,10:58.0,,S. Curry misses 2-pt jump shot from 16 ft,24,28
2,10:56.0,Defensive rebound by M. Morris,,24,28
2,10:45.0,Turnover by M. Morris (lost ball; steal by N. Stauskas),,24,28
2,10:45.0,,Turnover by S. Curry (traveling),24,28
2,10:37.0,M. Morris misses 2-pt layup from 2 ft,,24,28
2,10:35.0,,Defensive rebound by M. Leonard,24,28
2,10:21.0,,M. Leonard misses 3-pt jump shot from 26 ft,24,28
2,10:17.0,Defensive rebound by M. Morris,,24,28
2,10:10.0,T. Rozier makes 2-pt jump shot from 7 ft,,26,28
2,9:56.0,,Personal foul by T. Rozier (drawn by S. Curry),26,28
2,9:41.0,,E. Turner misses 2-pt jump shot from 13 ft (block by M. Smart),26,28
2,9:39.0,Defensive rebound by M. Morris,,26,28
2,9:27.0,Shooting foul by M. Leonard (drawn by A. Horford),,26,28
2,9:27.0,A. Horford misses free throw 1 of 2,,26,28
2,9:27.0,Offensive rebound by Team,,26,28
2,9:27.0,A. Horford makes free throw 2 of 2,,27,28
2,9:16.0,,E. Turner misses 2-pt jump shot from 9 ft (block by J. Tatum),27,28
2,9:14.0,,Offensive rebound by M. Leonard,27,28
2,9:13.0,,M. Leonard makes 2-pt hook shot from 2 ft,27,30
2,8:56.0,A. Horford misses 2-pt jump shot from 20 ft,,27,30
2,8:53.0,,Defensive rebound by Z. Collins,27,30
2,8:41.0,,E. Turner makes 2-pt jump shot from 19 ft,27,32
2,8:23.0,J. Tatum makes 2-pt layup from 2 ft,,29,32
2,8:15.0,,Personal foul by T. Rozier (drawn by E. Turner),29,32
2,8:15.0,A. Baynes enters the game for A. Horford,,29,32
2,8:08.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by S. Curry),29,35
2,7:53.0,M. Smart misses 2-pt jump shot from 13 ft,,29,35
2,7:51.0,,Defensive rebound by N. Stauskas,29,35
2,7:28.0,,Z. Collins misses 2-pt layup from 2 ft,29,35
2,7:27.0,,Offensive rebound by M. Leonard,29,35
2,7:27.0,,M. Leonard misses 2-pt layup at rim,29,35
2,7:26.0,,Offensive rebound by Z. Collins,29,35
2,7:26.0,,Z. Collins makes 2-pt layup from 2 ft,29,37
2,7:15.0,T. Rozier makes 2-pt jump shot from 11 ft,,31,37
2,6:51.0,,M. Leonard makes 3-pt jump shot from 25 ft (assist by S. Curry),31,40
2,6:49.0,Boston full timeout,,31,40
2,6:49.0,J. Brown enters the game for M. Morris,,31,40
2,6:49.0,G. Hayward enters the game for J. Tatum,,31,40
2,6:37.0,T. Rozier misses 3-pt jump shot from 26 ft,,31,40
2,6:35.0,,Defensive rebound by E. Turner,31,40
2,6:18.0,,Turnover by N. Stauskas (bad pass; steal by J. Brown),31,40
2,6:13.0,Offensive foul by J. Brown (drawn by M. Leonard),,31,40
2,6:13.0,Turnover by J. Brown (offensive foul),,31,40
2,6:13.0,K. Irving enters the game for M. Smart,,31,40
2,6:13.0,,A. Aminu enters the game for Z. Collins,31,40
2,6:13.0,,D. Lillard enters the game for M. Leonard,31,40
2,6:13.0,,C. McCollum enters the game for N. Stauskas,31,40
2,6:13.0,,J. Nurkić enters the game for E. Turner,31,40
2,5:59.0,,Def 3 sec tech foul by Team,31,40
2,5:59.0,,D. Lillard makes technical free throw,31,41
2,5:51.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Lillard),31,44
2,5:30.0,K. Irving misses 2-pt jump shot from 23 ft,,31,44
2,5:28.0,,Defensive rebound by D. Lillard,31,44
2,5:19.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Lillard),31,47
2,5:02.0,A. Baynes makes 2-pt dunk from 1 ft (assist by K. Irving),,33,47
2,4:40.0,,Personal foul by J. Brown (drawn by C. McCollum),33,47
2,4:40.0,A. Horford enters the game for A. Baynes,,33,47
2,4:40.0,J. Tatum enters the game for T. Rozier,,33,47
2,4:32.0,,A. Aminu misses 3-pt jump shot from 23 ft,33,47
2,4:29.0,Defensive rebound by J. Brown,,33,47
2,4:23.0,Turnover by K. Irving (step out of bounds),,33,47
2,4:12.0,,D. Lillard misses 3-pt jump shot from 25 ft,33,47
2,4:08.0,,Offensive rebound by J. Nurkić,33,47
2,4:08.0,,J. Nurkić misses 2-pt layup at rim,33,47
2,4:07.0,Defensive rebound by G. Hayward,,33,47
2,4:00.0,A. Horford misses 2-pt jump shot from 15 ft,,33,47
2,3:59.0,,Defensive rebound by J. Nurkić,33,47
2,3:53.0,,Personal foul by K. Irving (drawn by J. Nurkić),33,47
2,3:47.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by J. Nurkić),33,50
2,3:28.0,A. Horford misses 3-pt jump shot from 24 ft,,33,50
2,3:26.0,,Defensive rebound by C. McCollum,33,50
2,3:19.0,,D. Lillard misses 2-pt jump shot from 14 ft,33,50
2,3:17.0,,Offensive rebound by J. Nurkić,33,50
2,3:12.0,,J. Nurkić makes 2-pt hook shot from 2 ft,33,52
2,2:59.0,A. Horford misses 3-pt jump shot from 24 ft,,33,52
2,2:58.0,,Defensive rebound by D. Lillard,33,52
2,2:55.0,,Turnover by D. Lillard (bad pass),33,52
2,2:55.0,,Portland full timeout,33,52
2,2:40.0,K. Irving misses 2-pt jump shot from 15 ft,,33,52
2,2:37.0,,Defensive rebound by J. Nurkić,33,52
2,2:26.0,,C. McCollum misses 2-pt jump shot from 21 ft,33,52
2,2:25.0,Defensive rebound by J. Tatum,,33,52
2,2:16.0,J. Brown misses 3-pt jump shot from 26 ft,,33,52
2,2:13.0,,Defensive rebound by A. Aminu,33,52
2,2:03.0,,C. McCollum makes 2-pt dunk from 1 ft (assist by J. Nurkić),33,54
2,1:45.0,J. Tatum misses 2-pt jump shot from 22 ft,,33,54
2,1:44.0,,Defensive rebound by J. Nurkić,33,54
2,1:20.0,,J. Nurkić misses 2-pt layup from 2 ft,33,54
2,1:19.0,,Offensive rebound by J. Nurkić,33,54
2,1:17.0,,J. Nurkić misses 2-pt layup from 2 ft,33,54
2,1:16.0,Defensive rebound by G. Hayward,,33,54
2,1:08.0,Personal foul by S. Curry (drawn by A. Horford),,33,54
2,1:08.0,M. Morris enters the game for J. Brown,,33,54
2,1:08.0,M. Smart enters the game for G. Hayward,,33,54
2,1:08.0,,E. Turner enters the game for S. Curry,33,54
2,1:01.0,A. Horford misses 2-pt jump shot from 14 ft,,33,54
2,0:58.0,,Defensive rebound by J. Nurkić,33,54
2,0:49.0,,J. Nurkić misses 2-pt layup from 3 ft,33,54
2,0:48.0,,Offensive rebound by J. Nurkić,33,54
2,0:45.0,,J. Nurkić misses 2-pt layup from 2 ft,33,54
2,0:43.0,Defensive rebound by J. Tatum,,33,54
2,0:37.0,Shooting foul by E. Turner (drawn by J. Tatum),,33,54
2,0:37.0,J. Tatum makes free throw 1 of 2,,34,54
2,0:37.0,J. Tatum makes free throw 2 of 2,,35,54
2,0:32.0,,D. Lillard misses 2-pt layup from 3 ft (block by A. Horford),35,54
2,0:29.0,Defensive rebound by M. Smart,,35,54
2,0:09.0,J. Tatum makes 2-pt jump shot from 15 ft,,37,54
2,0:03.0,,C. McCollum misses 2-pt jump shot from 15 ft (block by J. Tatum),37,54
2,0:01.0,Defensive rebound by K. Irving,,37,54
2,0:00.0,M. Morris misses 2-pt jump shot from 22 ft,,37,54
2,0:00.0,Offensive rebound by Team,,37,54
3,11:45.0,A. Horford misses 2-pt hook shot from 3 ft,,37,54
3,11:43.0,,Defensive rebound by J. Nurkić,37,54
3,11:35.0,,Turnover by D. Lillard (bad pass; steal by K. Irving),37,54
3,11:19.0,G. Hayward misses 3-pt jump shot from 25 ft,,37,54
3,11:18.0,,Defensive rebound by J. Nurkić,37,54
3,11:10.0,,C. McCollum makes 2-pt layup from 3 ft (assist by J. Nurkić),37,56
3,10:51.0,K. Irving misses 3-pt jump shot from 23 ft,,37,56
3,10:49.0,,Defensive rebound by J. Nurkić,37,56
3,10:37.0,,Turnover by J. Layman (bad pass; steal by K. Irving),37,56
3,10:34.0,K. Irving makes 2-pt layup from 2 ft,,39,56
3,10:19.0,,D. Lillard makes 2-pt jump shot from 19 ft,39,58
3,10:06.0,K. Irving makes 3-pt jump shot from 23 ft (assist by A. Horford),,42,58
3,9:47.0,,J. Nurkić misses 2-pt jump shot from 20 ft,42,58
3,9:45.0,Defensive rebound by G. Hayward,,42,58
3,9:39.0,Shooting foul by J. Nurkić (drawn by J. Brown),,42,58
3,9:39.0,J. Brown makes free throw 1 of 2,,43,58
3,9:39.0,J. Brown makes free throw 2 of 2,,44,58
3,9:29.0,,Turnover by D. Lillard (bad pass; steal by A. Horford),44,58
3,9:24.0,G. Hayward makes 3-pt jump shot from 26 ft (assist by K. Irving),,47,58
3,9:04.0,,Turnover by J. Layman (back court),47,58
3,9:04.0,M. Smart enters the game for J. Brown,,47,58
3,8:52.0,A. Horford makes 2-pt jump shot from 17 ft (assist by K. Irving),,49,58
3,8:50.0,,Portland full timeout,49,58
3,8:42.0,,D. Lillard makes 3-pt jump shot from 25 ft,49,61
3,8:26.0,A. Horford misses 3-pt jump shot from 25 ft,,49,61
3,8:24.0,,Defensive rebound by J. Layman,49,61
3,8:12.0,,Turnover by J. Nurkić (bad pass; steal by K. Irving),49,61
3,8:08.0,K. Irving misses 3-pt jump shot from 25 ft,,49,61
3,8:05.0,Offensive rebound by A. Horford,,49,61
3,8:03.0,J. Tatum makes 3-pt jump shot from 24 ft (assist by A. Horford),,52,61
3,7:44.0,,C. McCollum makes 3-pt jump shot from 27 ft (assist by J. Layman),52,64
3,7:20.0,A. Horford misses 3-pt jump shot from 23 ft,,52,64
3,7:18.0,Offensive rebound by M. Smart,,52,64
3,7:18.0,Boston full timeout,,52,64
3,7:12.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),,55,64
3,6:48.0,,J. Layman makes 3-pt jump shot from 25 ft (assist by C. McCollum),55,67
3,6:32.0,J. Tatum makes 3-pt jump shot from 25 ft,,58,67
3,6:13.0,,Turnover by D. Lillard (bad pass; steal by G. Hayward),58,67
3,6:06.0,G. Hayward misses 3-pt jump shot from 23 ft,,58,67
3,6:03.0,Offensive rebound by J. Tatum,,58,67
3,5:51.0,J. Tatum makes 3-pt jump shot from 25 ft,,61,67
3,5:38.0,,C. McCollum makes 2-pt jump shot from 17 ft,61,69
3,5:27.0,A. Horford makes 2-pt dunk from 1 ft (assist by K. Irving),,63,69
3,5:06.0,,Turnover by J. Nurkić (lost ball; steal by A. Horford),63,69
3,5:03.0,Turnover by K. Irving (bad pass; steal by J. Layman),,63,69
3,5:03.0,,Personal take foul by K. Irving (drawn by C. McCollum),63,69
3,5:03.0,A. Baynes enters the game for G. Hayward,,63,69
3,5:03.0,M. Morris enters the game for A. Horford,,63,69
3,5:03.0,,E. Turner enters the game for J. Layman,63,69
3,4:45.0,,D. Lillard makes 2-pt layup from 1 ft,63,71
3,4:35.0,K. Irving makes 3-pt jump shot from 27 ft,,66,71
3,4:17.0,,A. Aminu misses 3-pt jump shot from 25 ft,66,71
3,4:15.0,Defensive rebound by A. Baynes,,66,71
3,4:06.0,M. Morris misses 3-pt jump shot from 22 ft,,66,71
3,4:03.0,Offensive rebound by J. Tatum,,66,71
3,4:01.0,K. Irving misses 3-pt jump shot from 23 ft,,66,71
3,3:59.0,,Defensive rebound by A. Aminu,66,71
3,3:56.0,,C. McCollum makes 2-pt jump shot from 3 ft,66,73
3,3:56.0,,Shooting foul by M. Smart (drawn by C. McCollum),66,73
3,3:56.0,A. Horford enters the game for A. Baynes,,66,73
3,3:56.0,,Z. Collins enters the game for A. Aminu,66,73
3,3:56.0,,M. Leonard enters the game for J. Nurkić,66,73
3,3:56.0,,C. McCollum makes free throw 1 of 1,66,74
3,3:31.0,K. Irving misses 2-pt jump shot from 22 ft,,66,74
3,3:31.0,Offensive rebound by Team,,66,74
3,3:31.0,Turnover by Team (shot clock),,66,74
3,3:20.0,,D. Lillard makes 2-pt layup from 1 ft,66,76
3,3:09.0,J. Tatum misses 2-pt jump shot from 13 ft (block by C. McCollum),,66,76
3,3:06.0,Offensive rebound by K. Irving,,66,76
3,3:05.0,J. Tatum misses 3-pt jump shot from 24 ft,,66,76
3,3:03.0,Offensive rebound by A. Horford,,66,76
3,3:00.0,K. Irving makes 2-pt jump shot from 12 ft (assist by M. Smart),,68,76
3,2:42.0,,C. McCollum misses 2-pt jump shot from 19 ft,68,76
3,2:40.0,,Offensive rebound by Z. Collins,68,76
3,2:38.0,,C. McCollum misses 3-pt jump shot from 25 ft,68,76
3,2:35.0,Defensive rebound by M. Smart,,68,76
3,2:27.0,A. Horford makes 2-pt dunk from 2 ft (assist by M. Smart),,70,76
3,2:08.0,,C. McCollum misses 2-pt layup from 1 ft,70,76
3,2:05.0,Defensive rebound by J. Tatum,,70,76
3,2:00.0,J. Tatum misses 3-pt jump shot from 25 ft,,70,76
3,1:58.0,,Defensive rebound by Z. Collins,70,76
3,1:44.0,,E. Turner makes 2-pt dunk at rim (assist by D. Lillard),70,78
3,1:30.0,Offensive foul by J. Tatum (drawn by D. Lillard),,70,78
3,1:30.0,Turnover by J. Tatum (offensive foul),,70,78
3,1:30.0,T. Rozier enters the game for K. Irving,,70,78
3,1:30.0,,S. Curry enters the game for D. Lillard,70,78
3,1:30.0,,N. Stauskas enters the game for C. McCollum,70,78
3,1:10.0,,E. Turner misses 3-pt jump shot from 23 ft,70,78
3,1:07.0,Defensive rebound by A. Horford,,70,78
3,0:58.0,J. Tatum misses 2-pt layup from 1 ft,,70,78
3,0:56.0,,Defensive rebound by E. Turner,70,78
3,0:52.0,,N. Stauskas misses 2-pt layup from 1 ft,70,78
3,0:50.0,,Offensive rebound by Z. Collins,70,78
3,0:50.0,,Z. Collins misses 2-pt layup from 1 ft,70,78
3,0:49.0,,Offensive rebound by Z. Collins,70,78
3,0:48.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by Z. Collins),70,81
3,0:26.0,Turnover by M. Morris (traveling),,70,81
3,0:26.0,,D. Lillard enters the game for Z. Collins,70,81
3,0:08.0,,Shooting foul by M. Smart (drawn by D. Lillard),70,81
3,0:08.0,K. Irving enters the game for M. Smart,,70,81
3,0:08.0,,Z. Collins enters the game for N. Stauskas,70,81
3,0:08.0,,D. Lillard makes free throw 1 of 2,70,82
3,0:08.0,,D. Lillard makes free throw 2 of 2,70,83
3,0:00.0,K. Irving misses 3-pt jump shot from 23 ft,,70,83
3,0:00.0,Offensive rebound by Team,,70,83
4,11:39.0,,Z. Collins misses 3-pt jump shot from 25 ft,70,83
4,11:36.0,Defensive rebound by M. Morris,,70,83
4,11:25.0,M. Morris makes 2-pt jump shot from 18 ft (assist by G. Hayward),,72,83
4,11:00.0,,Z. Collins makes 2-pt layup from 1 ft (assist by E. Turner),72,85
4,10:54.0,M. Morris makes 3-pt jump shot from 24 ft (assist by T. Rozier),,75,85
4,10:35.0,,Turnover by S. Curry (traveling),75,85
4,10:35.0,D. Theis enters the game for A. Horford,,75,85
4,10:24.0,Turnover by G. Hayward (bad pass),,75,85
4,10:10.0,,S. Curry misses 3-pt jump shot from 25 ft,75,85
4,10:08.0,Defensive rebound by G. Hayward,,75,85
4,10:03.0,J. Brown makes 3-pt jump shot from 25 ft (assist by G. Hayward),,78,85
4,9:58.0,Violation by Team (delay of game),,78,85
4,9:43.0,,M. Leonard misses 2-pt jump shot from 12 ft,78,85
4,9:40.0,Defensive rebound by D. Theis,,78,85
4,9:28.0,Offensive foul by D. Theis (drawn by S. Curry),,78,85
4,9:28.0,Turnover by D. Theis (offensive foul),,78,85
4,9:13.0,,E. Turner misses 2-pt jump shot from 14 ft,78,85
4,9:11.0,Defensive rebound by M. Morris,,78,85
4,9:03.0,J. Brown misses 3-pt jump shot from 26 ft,,78,85
4,9:00.0,,Defensive rebound by M. Leonard,78,85
4,8:55.0,,Turnover by E. Turner (bad pass; steal by M. Morris),78,85
4,8:50.0,J. Brown makes 2-pt layup at rim,,80,85
4,8:31.0,,N. Stauskas misses 3-pt jump shot from 27 ft,80,85
4,8:28.0,Defensive rebound by G. Hayward,,80,85
4,8:23.0,T. Rozier makes 3-pt jump shot from 24 ft (assist by G. Hayward),,83,85
4,8:22.0,,Portland full timeout,83,85
4,8:22.0,,A. Aminu enters the game for M. Leonard,83,85
4,8:22.0,,D. Lillard enters the game for N. Stauskas,83,85
4,8:22.0,,C. McCollum enters the game for E. Turner,83,85
4,8:08.0,,D. Lillard misses 3-pt jump shot from 28 ft,83,85
4,8:06.0,Defensive rebound by M. Morris,,83,85
4,7:54.0,D. Theis misses 3-pt jump shot from 25 ft,,83,85
4,7:51.0,,Defensive rebound by A. Aminu,83,85
4,7:43.0,,Shooting foul by M. Morris (drawn by A. Aminu),83,85
4,7:43.0,,A. Aminu misses free throw 1 of 2,83,85
4,7:43.0,,Offensive rebound by Team,83,85
4,7:43.0,,A. Aminu makes free throw 2 of 2,83,86
4,7:36.0,Personal foul by D. Lillard (drawn by T. Rozier),,83,86
4,7:27.0,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Hayward),,86,86
4,7:07.0,,D. Lillard makes 2-pt jump shot from 3 ft,86,88
4,6:58.0,Personal foul by S. Curry (drawn by G. Hayward),,86,88
4,6:58.0,,E. Turner enters the game for S. Curry,86,88
4,6:49.0,G. Hayward misses 2-pt jump shot from 20 ft,,86,88
4,6:47.0,,Defensive rebound by A. Aminu,86,88
4,6:32.0,,C. McCollum misses 3-pt jump shot from 25 ft,86,88
4,6:30.0,,Offensive rebound by Z. Collins,86,88
4,6:26.0,,D. Lillard misses 3-pt jump shot from 25 ft,86,88
4,6:25.0,Defensive rebound by D. Theis,,86,88
4,6:16.0,T. Rozier misses 2-pt jump shot from 15 ft,,86,88
4,6:13.0,,Defensive rebound by E. Turner,86,88
4,6:09.0,,Turnover by E. Turner (bad pass),86,88
4,6:09.0,K. Irving enters the game for T. Rozier,,86,88
4,5:54.0,M. Morris misses 3-pt jump shot from 26 ft,,86,88
4,5:51.0,,Defensive rebound by Team,86,88
4,5:51.0,A. Horford enters the game for D. Theis,,86,88
4,5:51.0,,J. Nurkić enters the game for Z. Collins,86,88
4,5:29.0,,E. Turner misses 3-pt jump shot from 24 ft,86,88
4,5:28.0,Defensive rebound by G. Hayward,,86,88
4,5:17.0,M. Morris misses 3-pt jump shot from 23 ft,,86,88
4,5:15.0,,Defensive rebound by D. Lillard,86,88
4,5:04.0,,C. McCollum makes 2-pt jump shot from 10 ft,86,90
4,5:02.0,Boston full timeout,,86,90
4,5:02.0,M. Smart enters the game for G. Hayward,,86,90
4,5:02.0,J. Tatum enters the game for M. Morris,,86,90
4,4:54.0,Shooting foul by E. Turner (drawn by J. Tatum),,86,90
4,4:54.0,J. Tatum makes free throw 1 of 2,,87,90
4,4:54.0,J. Tatum makes free throw 2 of 2,,88,90
4,4:37.0,,A. Aminu misses 3-pt jump shot from 23 ft,88,90
4,4:35.0,,Offensive rebound by J. Nurkić,88,90
4,4:33.0,,D. Lillard misses 3-pt jump shot from 29 ft,88,90
4,4:29.0,,J. Nurkić makes 2-pt layup from 4 ft,88,92
4,4:30.0,,Offensive rebound by J. Nurkić,88,92
4,4:10.0,K. Irving misses 2-pt layup from 1 ft,,88,92
4,4:09.0,Offensive rebound by A. Horford,,88,92
4,4:08.0,J. Brown misses 3-pt jump shot from 23 ft,,88,92
4,4:07.0,Offensive rebound by A. Horford,,88,92
4,4:00.0,A. Horford misses 3-pt jump shot from 25 ft,,88,92
4,3:57.0,,Defensive rebound by A. Aminu,88,92
4,3:40.0,,Offensive foul by J. Nurkić (drawn by K. Irving),88,92
4,3:40.0,,Turnover by J. Nurkić (offensive foul),88,92
4,3:28.0,Personal foul by C. McCollum (drawn by K. Irving),,88,92
4,3:28.0,Boston full timeout,,88,92
4,3:28.0,G. Hayward enters the game for M. Smart,,88,92
4,3:20.0,J. Brown misses 2-pt jump shot from 4 ft,,88,92
4,3:17.0,,Defensive rebound by J. Nurkić,88,92
4,3:05.0,,Turnover by E. Turner (bad pass),88,92
4,2:55.0,K. Irving makes 3-pt jump shot from 25 ft,,91,92
4,2:34.0,,A. Aminu makes 3-pt jump shot from 26 ft (assist by D. Lillard),91,95
4,2:19.0,K. Irving makes 2-pt layup from 3 ft,,93,95
4,2:00.0,,J. Nurkić makes 2-pt hook shot from 2 ft (assist by D. Lillard),93,97
4,1:51.0,K. Irving misses 3-pt jump shot from 24 ft,,93,97
