QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHILADELPHIA_ACTION,WASHINGTON_SCORE,PHILADELPHIA_SCORE
2,11:36.0,,Offensive rebound by Team,19,31
2,11:24.0,,J. Redick makes 2-pt layup from 1 ft (assist by J. Butler),19,33
2,11:08.0,T. Brown misses 2-pt jump shot from 17 ft,,19,33
2,11:06.0,,Defensive rebound by W. Chandler,19,33
2,10:56.0,,W. Chandler makes 2-pt jump shot from 12 ft,19,35
2,10:42.0,Turnover by M. Morris (lost ball; steal by J. Butler),,19,35
2,10:38.0,,J. Butler makes 2-pt dunk from 1 ft,19,37
2,10:38.0,Washington full timeout,,19,37
2,10:28.0,Personal foul by J. Redick (drawn by I. Mahinmi),,19,37
2,10:18.0,I. Mahinmi makes 2-pt layup from 2 ft (assist by M. Morris),,21,37
2,10:05.0,,T. McConnell makes 2-pt layup from 2 ft,21,39
2,9:47.0,T. Satoranský makes 2-pt layup from 1 ft (assist by T. Brown),,23,39
2,9:23.0,,J. Embiid makes 2-pt layup from 2 ft,23,41
2,9:08.0,M. Morris misses 2-pt jump shot from 21 ft,,23,41
2,9:05.0,,Defensive rebound by J. Embiid,23,41
2,9:00.0,,Turnover by T. McConnell (bad pass; steal by A. Rivers),23,41
2,8:55.0,Turnover by T. Brown (bad pass; steal by T. McConnell),,23,41
2,8:48.0,,W. Chandler makes 3-pt jump shot from 27 ft (assist by J. Butler),23,44
2,8:47.0,Washington full timeout,,23,44
2,8:47.0,B. Beal enters the game for T. Brown,,23,44
2,8:47.0,J. Green enters the game for I. Mahinmi,,23,44
2,8:47.0,J. Wall enters the game for T. Satoranský,,23,44
2,8:34.0,A. Rivers misses 3-pt jump shot from 29 ft,,23,44
2,8:30.0,Offensive rebound by M. Morris,,23,44
2,8:28.0,J. Wall makes 3-pt jump shot from 27 ft (assist by B. Beal),,26,44
2,8:02.0,,J. Embiid misses 3-pt jump shot from 28 ft,26,44
2,8:02.0,Defensive rebound by Team,,26,44
2,8:02.0,,M. Muscala enters the game for J. Embiid,26,44
2,8:02.0,,B. Simmons enters the game for T. McConnell,26,44
2,7:46.0,J. Wall misses 2-pt layup from 2 ft,,26,44
2,7:44.0,,Defensive rebound by B. Simmons,26,44
2,7:39.0,,W. Chandler misses 3-pt jump shot from 26 ft,26,44
2,7:36.0,Defensive rebound by M. Morris,,26,44
2,7:27.0,B. Beal misses 3-pt jump shot from 28 ft,,26,44
2,7:24.0,,Defensive rebound by M. Muscala,26,44
2,7:18.0,,Turnover by B. Simmons (bad pass; steal by B. Beal),26,44
2,7:13.0,B. Beal makes 3-pt jump shot from 28 ft,,29,44
2,7:12.0,,Philadelphia full timeout,29,44
2,7:12.0,,L. Shamet enters the game for J. Redick,29,44
2,6:56.0,,M. Muscala misses 3-pt jump shot from 27 ft,29,44
2,6:52.0,,Offensive rebound by J. Butler,29,44
2,6:52.0,,J. Butler misses 2-pt layup from 1 ft,29,44
2,6:51.0,Defensive rebound by A. Rivers,,29,44
2,6:42.0,Shooting foul by L. Shamet (drawn by J. Green),,29,44
2,6:42.0,J. Green makes free throw 1 of 2,,30,44
2,6:42.0,J. Green makes free throw 2 of 2,,31,44
2,6:22.0,,Turnover by B. Simmons (bad pass; steal by J. Wall),31,44
2,6:12.0,B. Beal makes 2-pt dunk from 1 ft (assist by J. Wall),,33,44
2,6:00.0,,W. Chandler misses 2-pt jump shot from 9 ft,33,44
2,5:58.0,,Offensive rebound by M. Muscala,33,44
2,5:57.0,,M. Muscala misses 2-pt layup from 2 ft,33,44
2,5:55.0,Defensive rebound by M. Morris,,33,44
2,5:49.0,J. Wall makes 2-pt layup from 2 ft,,35,44
2,5:49.0,Technical foul by J. Wall,,35,44
2,5:49.0,,M. Muscala misses technical free throw,35,44
2,5:49.0,,Offensive rebound by Team,35,44
2,5:30.0,,Turnover by W. Chandler (bad pass; steal by J. Wall),35,44
2,5:26.0,B. Beal misses 3-pt jump shot from 25 ft,,35,44
2,5:22.0,,Defensive rebound by B. Simmons,35,44
2,5:18.0,,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),35,46
2,5:03.0,J. Wall misses 2-pt layup from 2 ft,,35,46
2,4:58.0,,Defensive rebound by J. Butler,35,46
2,4:53.0,,W. Chandler misses 3-pt jump shot from 25 ft,35,46
2,4:51.0,Defensive rebound by Team,,35,46
2,4:32.0,M. Morris misses 3-pt jump shot from 26 ft,,35,46
2,4:28.0,,Defensive rebound by W. Chandler,35,46
