QUARTER,TIME_REMAINING,PORTLAND_ACTION,TORONTO_ACTION,PORTLAND_SCORE,TORONTO_SCORE
1,4:36.0,,P. Siakam makes free throw 1 of 2,15,21
1,4:36.0,R. Hood enters the game for A. Aminu,,15,21
1,4:36.0,J. Layman enters the game for M. Harkless,,15,21
1,4:36.0,,S. Ibaka enters the game for M. Gasol,15,21
1,4:36.0,,P. Siakam misses free throw 2 of 2,15,21
1,4:34.0,Defensive rebound by J. Layman,,15,21
1,4:23.0,R. Hood misses 3-pt jump shot from 26 ft,,15,21
1,4:21.0,,Defensive rebound by K. Leonard,15,21
1,4:15.0,,S. Ibaka misses 3-pt jump shot from 25 ft,15,21
1,4:11.0,Defensive rebound by D. Lillard,,15,21
1,4:06.0,R. Hood misses 2-pt jump shot from 8 ft,,15,21
1,4:03.0,,Defensive rebound by K. Lowry,15,21
1,3:57.0,,Personal foul by M. Leonard (drawn by S. Ibaka),15,21
1,3:57.0,,N. Powell enters the game for K. Lowry,15,21
1,3:52.0,,Personal foul by R. Hood (drawn by K. Leonard),15,21
1,3:52.0,,K. Leonard makes free throw 1 of 2,15,22
1,3:52.0,,K. Leonard makes free throw 2 of 2,15,23
1,3:44.0,C. McCollum makes 2-pt jump shot from 16 ft,,17,23
1,3:33.0,,Personal foul by D. Lillard (drawn by K. Leonard),17,23
1,3:33.0,,K. Leonard makes free throw 1 of 2,17,24
1,3:33.0,S. Curry enters the game for C. McCollum,,17,24
1,3:33.0,,O. Anunoby enters the game for P. Siakam,17,24
1,3:33.0,,K. Leonard makes free throw 2 of 2,17,25
1,3:20.0,D. Lillard makes 2-pt layup from 1 ft,,19,25
1,3:20.0,Shooting foul by S. Ibaka (drawn by D. Lillard),,19,25
1,3:20.0,D. Lillard makes free throw 1 of 1,,20,25
1,3:04.0,,Turnover by N. Powell (step out of bounds),20,25
1,2:41.0,S. Curry makes 2-pt jump shot from 19 ft,,22,25
1,2:21.0,,Toronto full timeout,22,25
1,2:21.0,,P. McCaw enters the game for K. Leonard,22,25
1,2:14.0,,J. Lin misses 3-pt jump shot from 24 ft,22,25
1,2:11.0,Defensive rebound by M. Leonard,,22,25
1,1:50.0,Turnover by J. Layman (bad pass),,22,25
1,1:36.0,,J. Lin makes 2-pt jump shot from 16 ft,22,27
1,1:12.0,S. Curry misses 2-pt jump shot from 4 ft,,22,27
1,1:10.0,,Defensive rebound by S. Ibaka,22,27
1,1:04.0,,J. Lin makes 2-pt jump shot from 4 ft,22,29
1,0:53.0,M. Leonard makes 2-pt dunk at rim (assist by D. Lillard),,24,29
1,0:35.0,,N. Powell misses 3-pt jump shot from 26 ft,24,29
1,0:32.0,Defensive rebound by D. Lillard,,24,29
1,0:16.0,Turnover by D. Lillard (bad pass; steal by P. McCaw),,24,29
1,0:11.0,,J. Lin makes 2-pt hook shot from 3 ft (assist by N. Powell),24,31
1,0:04.0,Personal foul by N. Powell (drawn by D. Lillard),,24,31
1,0:00.0,J. Layman misses 3-pt jump shot from 23 ft (block by O. Anunoby),,24,31
1,0:00.0,Offensive rebound by Team,,24,31
1,0:00.0,J. Layman misses 2-pt jump shot from 5 ft,,24,31
1,0:00.0,Offensive rebound by Team,,24,31
2,11:42.0,J. Layman makes 2-pt jump shot from 20 ft,,26,31
2,11:26.0,,S. Ibaka misses 2-pt jump shot from 15 ft,26,31
2,11:23.0,Defensive rebound by J. Layman,,26,31
2,11:15.0,C. McCollum misses 2-pt jump shot from 2 ft (block by N. Powell),,26,31
2,11:12.0,,Defensive rebound by N. Powell,26,31
2,11:08.0,,N. Powell misses 3-pt jump shot from 26 ft,26,31
2,11:04.0,Defensive rebound by R. Hood,,26,31
2,10:50.0,M. Leonard misses 3-pt jump shot from 26 ft,,26,31
2,10:47.0,,Defensive rebound by S. Ibaka,26,31
2,10:36.0,,S. Ibaka misses 2-pt jump shot from 20 ft,26,31
2,10:33.0,Defensive rebound by C. McCollum,,26,31
2,10:12.0,J. Layman makes 3-pt jump shot from 23 ft (assist by C. McCollum),,29,31
2,9:45.0,,Personal foul by C. McCollum (drawn by J. Lin),29,31
2,9:45.0,J. Nurkić enters the game for M. Leonard,,29,31
2,9:45.0,,D. Green enters the game for J. Lin,29,31
2,9:45.0,,P. McCaw enters the game for N. Powell,29,31
2,9:38.0,,K. Lowry misses 3-pt jump shot from 25 ft,29,31
2,9:34.0,Defensive rebound by J. Layman,,29,31
2,9:27.0,J. Layman makes 2-pt layup from 2 ft (assist by C. McCollum),,31,31
2,9:06.0,,O. Anunoby makes 2-pt layup from 2 ft (assist by K. Lowry),31,33
2,8:58.0,Shooting foul by D. Green (drawn by C. McCollum),,31,33
2,8:58.0,C. McCollum makes free throw 1 of 2,,32,33
2,8:58.0,C. McCollum makes free throw 2 of 2,,33,33
2,8:41.0,,Turnover by D. Green (bad pass; steal by J. Nurkić),33,33
2,8:39.0,S. Curry makes 2-pt dunk from 1 ft,,35,33
2,8:39.0,,Toronto full timeout,35,33
2,8:39.0,,M. Gasol enters the game for S. Ibaka,35,33
2,8:18.0,,M. Gasol makes 2-pt jump shot from 12 ft (assist by K. Lowry),35,35
2,8:03.0,C. McCollum makes 2-pt layup from 2 ft (assist by J. Nurkić),,37,35
2,7:47.0,,Turnover by K. Lowry (bad pass; steal by C. McCollum),37,35
2,7:45.0,C. McCollum misses 3-pt jump shot from 26 ft,,37,35
2,7:43.0,Offensive rebound by S. Curry,,37,35
2,7:34.0,Offensive foul by J. Nurkić (drawn by D. Green),,37,35
2,7:34.0,Turnover by J. Nurkić (offensive foul),,37,35
2,7:34.0,M. Leonard enters the game for J. Nurkić,,37,35
2,7:34.0,,K. Leonard enters the game for O. Anunoby,37,35
2,7:34.0,,P. Siakam enters the game for P. McCaw,37,35
2,7:20.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by P. Siakam),37,38
2,7:00.0,R. Hood makes 2-pt jump shot from 12 ft,,39,38
2,6:53.0,,K. Leonard makes 2-pt jump shot from 12 ft,39,40
2,6:53.0,,Shooting foul by R. Hood (drawn by K. Leonard),39,40
2,6:53.0,,K. Leonard makes free throw 1 of 1,39,41
2,6:35.0,R. Hood misses 3-pt jump shot from 29 ft,,39,41
2,6:33.0,,Defensive rebound by M. Gasol,39,41
2,6:26.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by M. Gasol),39,44
2,6:25.0,Portland full timeout,,39,44
2,6:25.0,A. Aminu enters the game for R. Hood,,39,44
2,6:25.0,M. Harkless enters the game for J. Layman,,39,44
2,6:25.0,D. Lillard enters the game for C. McCollum,,39,44
2,6:05.0,Shooting foul by K. Lowry (drawn by S. Curry),,39,44
2,6:05.0,S. Curry makes free throw 1 of 2,,40,44
2,6:05.0,S. Curry makes free throw 2 of 2,,41,44
2,5:51.0,,K. Leonard misses 2-pt jump shot from 4 ft (block by A. Aminu),41,44
2,5:48.0,Defensive rebound by D. Lillard,,41,44
2,5:46.0,S. Curry misses 3-pt jump shot from 24 ft,,41,44
2,5:46.0,,Defensive rebound by P. Siakam,41,44
2,5:31.0,,K. Leonard misses 3-pt jump shot from 23 ft,41,44
2,5:28.0,Defensive rebound by A. Aminu,,41,44
2,5:14.0,M. Harkless makes 2-pt dunk from 1 ft (assist by A. Aminu),,43,44
2,4:57.0,,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),43,46
2,4:32.0,Turnover by Team (shot clock),,43,46
2,4:24.0,,K. Leonard makes 2-pt jump shot from 9 ft,43,48
2,4:02.0,M. Harkless misses 3-pt jump shot from 24 ft,,43,48
2,4:00.0,,Defensive rebound by K. Lowry,43,48
2,3:51.0,,Personal foul by M. Leonard (drawn by K. Lowry),43,48
2,3:51.0,C. McCollum enters the game for S. Curry,,43,48
2,3:42.0,,M. Gasol makes 2-pt layup from 1 ft (assist by K. Leonard),43,50
2,3:27.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by M. Harkless),,46,50
2,3:16.0,,Personal foul by C. McCollum (drawn by D. Green),46,50
2,3:16.0,,N. Powell enters the game for D. Green,46,50
2,3:10.0,,K. Leonard makes 2-pt jump shot from 15 ft,46,52
2,2:58.0,Personal foul by P. Siakam (drawn by D. Lillard),,46,52
2,2:51.0,A. Aminu makes 3-pt jump shot from 26 ft (assist by D. Lillard),,49,52
2,2:33.0,,M. Gasol misses 3-pt jump shot from 25 ft,49,52
2,2:30.0,Defensive rebound by M. Harkless,,49,52
2,2:26.0,Turnover by C. McCollum (bad pass),,49,52
2,2:22.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by N. Powell),49,55
2,2:03.0,D. Lillard misses 2-pt layup from 2 ft (block by K. Lowry),,49,55
2,2:03.0,Offensive rebound by Team,,49,55
2,1:54.0,Turnover by A. Aminu (lost ball; steal by K. Leonard),,49,55
2,1:50.0,,P. Siakam makes 2-pt layup from 1 ft (assist by K. Leonard),49,57
2,1:29.0,Turnover by A. Aminu (lost ball; steal by K. Lowry),,49,57
2,1:21.0,,K. Lowry misses 3-pt jump shot from 23 ft,49,57
2,1:18.0,Defensive rebound by M. Harkless,,49,57
2,1:09.0,D. Lillard misses 2-pt layup from 1 ft,,49,57
2,1:07.0,Offensive rebound by A. Aminu,,49,57
2,1:06.0,A. Aminu misses 2-pt layup from 2 ft,,49,57
2,1:03.0,,Defensive rebound by M. Gasol,49,57
2,1:01.0,,N. Powell makes 2-pt dunk from 1 ft (assist by K. Lowry),49,59
2,0:44.0,D. Lillard makes 2-pt layup from 1 ft,,51,59
2,0:36.0,,K. Lowry misses 3-pt jump shot from 29 ft,51,59
2,0:33.0,Defensive rebound by M. Harkless,,51,59
2,0:13.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Harkless),,54,59
2,0:03.0,,K. Leonard misses 2-pt layup from 2 ft (block by A. Aminu),54,59
2,0:03.0,,Offensive rebound by Team,54,59
2,0:03.0,R. Hood enters the game for C. McCollum,,54,59
2,0:00.0,,M. Gasol makes 2-pt layup from 1 ft (assist by K. Lowry),54,61
3,11:47.0,D. Lillard makes 2-pt jump shot from 19 ft (assist by C. McCollum),,56,61
3,11:27.0,,M. Gasol makes 2-pt hook shot from 3 ft,56,63
3,11:02.0,C. McCollum makes 3-pt jump shot from 23 ft (assist by A. Aminu),,59,63
3,10:43.0,,K. Leonard misses 2-pt layup from 3 ft,59,63
3,10:41.0,Defensive rebound by D. Lillard,,59,63
3,10:36.0,A. Aminu misses 3-pt jump shot from 23 ft,,59,63
3,10:32.0,Offensive rebound by D. Lillard,,59,63
3,10:28.0,Turnover by C. McCollum (lost ball; steal by K. Leonard),,59,63
3,10:23.0,,D. Green misses 3-pt jump shot from 26 ft,59,63
3,10:21.0,Defensive rebound by Team,,59,63
3,10:06.0,D. Lillard misses 2-pt jump shot from 18 ft,,59,63
3,10:03.0,,Defensive rebound by M. Gasol,59,63
3,9:59.0,,D. Green makes 3-pt jump shot from 23 ft (assist by P. Siakam),59,66
3,9:32.0,Turnover by Team (shot clock),,59,66
3,9:14.0,,M. Gasol makes 2-pt jump shot from 21 ft (assist by P. Siakam),59,68
3,8:56.0,M. Harkless misses 2-pt hook shot from 4 ft,,59,68
3,8:55.0,Offensive rebound by J. Nurkić,,59,68
3,8:52.0,J. Nurkić makes 2-pt hook shot from 1 ft,,61,68
3,8:49.0,,Shooting foul by C. McCollum (drawn by P. Siakam),61,68
3,8:49.0,,P. Siakam makes free throw 1 of 2,61,69
3,8:49.0,,P. Siakam makes free throw 2 of 2,61,70
3,8:40.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,64,70
3,8:25.0,,D. Green makes 3-pt jump shot from 24 ft (assist by M. Gasol),64,73
3,8:07.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by J. Nurkić),,67,73
3,7:53.0,,M. Gasol misses 3-pt jump shot from 26 ft,67,73
3,7:50.0,Defensive rebound by J. Nurkić,,67,73
3,7:45.0,D. Lillard misses 2-pt layup from 3 ft (block by M. Gasol),,67,73
3,7:42.0,,Defensive rebound by K. Lowry,67,73
3,7:38.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by K. Lowry),67,76
3,7:11.0,M. Harkless makes 2-pt layup from 1 ft (assist by A. Aminu),,69,76
3,7:07.0,,Personal foul by A. Aminu (drawn by P. Siakam),69,76
3,6:59.0,,Turnover by K. Leonard (lost ball; steal by M. Harkless),69,76
3,6:51.0,A. Aminu makes 2-pt layup from 1 ft (assist by C. McCollum),,71,76
3,6:43.0,,Toronto full timeout,71,76
3,6:34.0,,K. Leonard makes 2-pt jump shot from 16 ft,71,78
3,6:17.0,C. McCollum misses 3-pt jump shot from 26 ft,,71,78
3,6:16.0,,Defensive rebound by K. Leonard,71,78
3,5:57.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by M. Gasol),71,81
3,5:33.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by D. Lillard),,74,81
3,5:23.0,,Shooting foul by M. Harkless (drawn by P. Siakam),74,81
3,5:23.0,,P. Siakam makes free throw 1 of 2,74,82
3,5:23.0,,J. Lin enters the game for D. Green,74,82
3,5:23.0,,P. Siakam makes free throw 2 of 2,74,83
3,5:00.0,M. Harkless misses 2-pt hook shot from 3 ft,,74,83
3,4:58.0,,Defensive rebound by M. Gasol,74,83
3,4:50.0,,K. Lowry makes 3-pt jump shot from 27 ft (assist by M. Gasol),74,86
3,4:48.0,Portland full timeout,,74,86
3,4:48.0,R. Hood enters the game for A. Aminu,,74,86
3,4:48.0,J. Layman enters the game for M. Harkless,,74,86
3,4:29.0,Turnover by J. Nurkić (lost ball; steal by M. Gasol),,74,86
3,4:14.0,,K. Lowry makes 2-pt layup from 1 ft (assist by J. Lin),74,88
3,4:03.0,D. Lillard misses 2-pt jump shot from 15 ft,,74,88
3,4:02.0,,Defensive rebound by K. Leonard,74,88
3,3:57.0,,P. Siakam misses 3-pt jump shot from 26 ft,74,88
3,3:53.0,Defensive rebound by D. Lillard,,74,88
3,3:42.0,Offensive foul by J. Nurkić (drawn by M. Gasol),,74,88
3,3:42.0,Turnover by J. Nurkić (offensive foul),,74,88
3,3:42.0,Z. Collins enters the game for J. Nurkić,,74,88
3,3:42.0,,S. Ibaka enters the game for M. Gasol,74,88
3,3:42.0,,N. Powell enters the game for K. Lowry,74,88
3,3:31.0,,N. Powell makes 2-pt layup from 2 ft (assist by K. Leonard),74,90
3,3:12.0,C. McCollum makes 3-pt jump shot from 25 ft,,77,90
3,2:54.0,,K. Leonard misses 2-pt jump shot from 10 ft,77,90
3,2:53.0,Defensive rebound by J. Layman,,77,90
3,2:48.0,Shooting foul by J. Lin (drawn by C. McCollum),,77,90
3,2:48.0,C. McCollum makes free throw 1 of 2,,78,90
3,2:48.0,,O. Anunoby enters the game for K. Leonard,78,90
3,2:48.0,C. McCollum makes free throw 2 of 2,,79,90
3,2:25.0,,J. Lin makes 2-pt jump shot from 16 ft,79,92
3,2:07.0,Z. Collins misses 3-pt jump shot from 26 ft,,79,92
3,2:05.0,,Defensive rebound by P. Siakam,79,92
3,2:02.0,,Personal foul by J. Layman (drawn by P. Siakam),79,92
3,2:02.0,S. Curry enters the game for C. McCollum,,79,92
3,1:52.0,,J. Lin misses 2-pt layup from 2 ft (block by Z. Collins),79,92
3,1:49.0,Defensive rebound by S. Curry,,79,92
3,1:48.0,S. Curry makes 3-pt jump shot from 26 ft,,82,92
3,1:28.0,,Shooting foul by J. Layman (drawn by P. Siakam),82,92
3,1:28.0,,P. Siakam misses free throw 1 of 2,82,92
3,1:28.0,,Offensive rebound by Team,82,92
3,1:28.0,,P. Siakam makes free throw 2 of 2,82,93
3,1:11.0,S. Curry misses 2-pt jump shot from 21 ft,,82,93
3,1:08.0,,Defensive rebound by S. Ibaka,82,93
3,1:03.0,,Offensive foul by P. Siakam (drawn by R. Hood),82,93
3,1:03.0,,Turnover by P. Siakam (offensive foul),82,93
3,1:03.0,,P. McCaw enters the game for P. Siakam,82,93
3,0:48.0,D. Lillard makes 2-pt layup from 1 ft,,84,93
3,0:33.0,,J. Lin misses 2-pt jump shot from 13 ft,84,93
3,0:29.0,,Offensive rebound by P. McCaw,84,93
3,0:27.0,,Turnover by P. McCaw (bad pass; steal by J. Layman),84,93
3,0:22.0,Turnover by S. Curry (lost ball; steal by P. McCaw),,84,93
3,0:00.0,,J. Lin misses 2-pt jump shot from 17 ft,84,93
3,0:00.0,Defensive rebound by D. Lillard,,84,93
4,11:49.0,,Turnover by J. Lin (bad pass; steal by S. Curry),84,93
4,11:44.0,C. McCollum misses 3-pt jump shot from 25 ft,,84,93
4,11:41.0,Offensive rebound by Z. Collins,,84,93
4,11:37.0,J. Layman misses 2-pt layup from 1 ft (block by S. Ibaka),,84,93
4,11:34.0,Offensive rebound by R. Hood,,84,93
4,11:31.0,S. Curry misses 3-pt jump shot from 23 ft,,84,93
4,11:31.0,Offensive rebound by Z. Collins,,84,93
4,11:19.0,C. McCollum makes 2-pt layup from 2 ft,,86,93
4,11:02.0,,Shooting foul by Z. Collins (drawn by S. Ibaka),86,93
4,11:02.0,,S. Ibaka makes free throw 1 of 2,86,94
4,11:02.0,,S. Ibaka makes free throw 2 of 2,86,95
4,10:49.0,R. Hood misses 2-pt jump shot from 6 ft,,86,95
4,10:46.0,,Defensive rebound by S. Ibaka,86,95
4,10:43.0,,S. Ibaka misses 3-pt jump shot from 28 ft,86,95
4,10:40.0,Defensive rebound by R. Hood,,86,95
4,10:31.0,Shooting foul by O. Anunoby (drawn by J. Layman),,86,95
4,10:31.0,J. Layman makes free throw 1 of 2,,87,95
4,10:31.0,J. Layman misses free throw 2 of 2,,87,95
4,10:29.0,,Defensive rebound by S. Ibaka,87,95
4,10:14.0,,K. Lowry misses 3-pt jump shot from 26 ft,87,95
4,10:09.0,Defensive rebound by C. McCollum,,87,95
4,10:07.0,Offensive foul by J. Layman (drawn by J. Lin),,87,95
4,10:07.0,Turnover by J. Layman (offensive foul),,87,95
4,9:55.0,,S. Ibaka misses 2-pt jump shot from 13 ft,87,95
4,9:53.0,Defensive rebound by J. Layman,,87,95
4,9:49.0,Personal foul by S. Ibaka (drawn by Z. Collins),,87,95
4,9:38.0,Offensive foul by Z. Collins (drawn by O. Anunoby),,87,95
4,9:38.0,Turnover by Z. Collins (offensive foul),,87,95
4,9:21.0,,N. Powell misses 2-pt jump shot from 18 ft,87,95
4,9:19.0,,Offensive rebound by S. Ibaka,87,95
4,9:12.0,,O. Anunoby misses 3-pt jump shot from 28 ft,87,95
4,9:09.0,Defensive rebound by Z. Collins,,87,95
4,8:59.0,Shooting foul by S. Ibaka (drawn by R. Hood),,87,95
4,8:59.0,R. Hood misses free throw 1 of 2,,87,95
4,8:59.0,Offensive rebound by Team,,87,95
4,8:59.0,,P. McCaw enters the game for O. Anunoby,87,95
4,8:59.0,R. Hood makes free throw 2 of 2,,88,95
4,8:35.0,,K. Lowry misses 2-pt jump shot from 14 ft,88,95
4,8:32.0,Defensive rebound by C. McCollum,,88,95
4,8:21.0,R. Hood misses 2-pt jump shot from 6 ft,,88,95
4,8:19.0,,Defensive rebound by S. Ibaka,88,95
4,8:16.0,,Offensive foul by K. Lowry (drawn by Z. Collins),88,95
4,8:16.0,,Turnover by K. Lowry (offensive foul),88,95
4,8:06.0,J. Layman makes 2-pt layup from 1 ft (assist by Z. Collins),,90,95
4,8:06.0,Shooting foul by K. Lowry (drawn by J. Layman),,90,95
4,8:06.0,J. Layman makes free throw 1 of 1,,91,95
4,8:00.0,,Toronto full timeout,91,95
4,8:00.0,,M. Gasol enters the game for S. Ibaka,91,95
4,8:00.0,,K. Leonard enters the game for J. Lin,91,95
4,8:00.0,,P. Siakam enters the game for N. Powell,91,95
4,7:50.0,,M. Gasol misses 2-pt hook shot from 9 ft,91,95
4,7:46.0,Defensive rebound by C. McCollum,,91,95
4,7:40.0,Turnover by C. McCollum (lost ball; steal by M. Gasol),,91,95
4,7:31.0,,K. Leonard misses 2-pt jump shot from 14 ft,91,95
4,7:31.0,Defensive rebound by Z. Collins,,91,95
4,7:30.0,Turnover by Z. Collins (lost ball; steal by P. McCaw),,91,95
4,7:25.0,,P. Siakam misses 3-pt jump shot from 23 ft,91,95
4,7:22.0,Defensive rebound by J. Layman,,91,95
4,7:15.0,Offensive foul by R. Hood (drawn by K. Lowry),,91,95
4,7:15.0,Turnover by R. Hood (offensive foul),,91,95
4,7:01.0,,Turnover by M. Gasol (traveling),91,95
4,7:01.0,D. Lillard enters the game for S. Curry,,91,95
4,6:47.0,D. Lillard makes 3-pt jump shot from 27 ft (assist by J. Layman),,94,95
4,6:25.0,,K. Leonard makes 2-pt layup from 1 ft,94,97
4,6:14.0,C. McCollum misses 2-pt jump shot from 10 ft,,94,97
4,6:11.0,,Defensive rebound by M. Gasol,94,97
4,6:09.0,,Turnover by M. Gasol (bad pass; steal by J. Layman),94,97
4,6:05.0,Turnover by Z. Collins (lost ball; steal by K. Leonard),,94,97
4,5:46.0,,M. Gasol makes 2-pt jump shot from 1 ft,94,99
4,5:44.0,Portland full timeout,,94,99
4,5:44.0,M. Harkless enters the game for Z. Collins,,94,99
4,5:44.0,J. Nurkić enters the game for R. Hood,,94,99
4,5:33.0,C. McCollum makes 2-pt jump shot from 15 ft,,96,99
4,5:13.0,,K. Leonard makes 2-pt jump shot from 9 ft,96,101
4,4:55.0,J. Layman misses 3-pt jump shot from 25 ft,,96,101
4,4:53.0,,Defensive rebound by K. Lowry,96,101
4,4:31.0,,K. Leonard misses 3-pt jump shot from 26 ft,96,101
4,4:29.0,Defensive rebound by J. Nurkić,,96,101
4,4:18.0,J. Nurkić misses 2-pt hook shot from 10 ft,,96,101
4,4:17.0,Offensive rebound by J. Layman,,96,101
4,4:16.0,J. Layman makes 2-pt dunk at rim,,98,101
4,4:03.0,,K. Leonard makes 2-pt jump shot from 2 ft,98,103
4,3:50.0,M. Harkless makes 2-pt layup from 1 ft (assist by D. Lillard),,100,103
4,3:38.0,,P. Siakam misses 2-pt layup from 2 ft (block by J. Layman),100,103
4,3:35.0,Defensive rebound by J. Nurkić,,100,103
4,3:28.0,D. Lillard makes 3-pt jump shot from 27 ft,,103,103
4,3:25.0,,Toronto full timeout,103,103
4,3:25.0,,D. Green enters the game for P. McCaw,103,103
4,3:18.0,,Personal foul by D. Lillard (drawn by K. Leonard),103,103
4,3:06.0,,K. Lowry misses 3-pt jump shot from 26 ft,103,103
4,3:04.0,Defensive rebound by J. Nurkić,,103,103
4,3:04.0,Personal foul by P. Siakam (drawn by J. Nurkić),,103,103
4,3:04.0,J. Nurkić makes free throw 1 of 2,,104,103
4,3:04.0,J. Nurkić makes free throw 2 of 2,,105,103
4,2:54.0,,K. Leonard makes 2-pt jump shot from 21 ft,105,105
4,2:30.0,J. Nurkić makes 2-pt hook shot from 13 ft (assist by M. Harkless),,107,105
4,2:18.0,,Personal foul by M. Harkless (drawn by K. Leonard),107,105
4,2:15.0,,K. Leonard makes 2-pt layup from 3 ft,107,107
4,2:15.0,,Shooting foul by M. Harkless (drawn by K. Leonard),107,107
4,2:15.0,,K. Leonard makes free throw 1 of 1,107,108
4,1:55.0,J. Layman misses 3-pt jump shot from 26 ft,,107,108
4,1:53.0,Offensive rebound by J. Nurkić,,107,108
4,1:52.0,J. Nurkić makes 2-pt hook shot from 2 ft,,109,108
4,1:40.0,,Turnover by K. Lowry (bad pass; steal by M. Harkless),109,108
4,1:38.0,Shooting foul by K. Leonard (drawn by M. Harkless),,109,108
4,1:38.0,M. Harkless makes free throw 1 of 2,,110,108
4,1:38.0,M. Harkless misses free throw 2 of 2,,110,108
4,1:36.0,,Defensive rebound by K. Lowry,110,108
4,1:27.0,,K. Lowry makes 2-pt layup from 1 ft,110,110
4,1:12.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),,113,110
4,0:57.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Leonard),113,113
