QUARTER,TIME_REMAINING,NEW YORK_ACTION,MILWAUKEE_ACTION,NEW YORK_SCORE,MILWAUKEE_SCORE
1,0:55.0,,K. Middleton makes 2-pt jump shot from 16 ft,25,24
1,0:34.0,A. Trier misses 2-pt jump shot from 20 ft,,25,24
1,0:31.0,,Defensive rebound by S. Brown,25,24
1,0:12.0,,T. Maker misses 3-pt jump shot from 26 ft,25,24
1,0:10.0,Defensive rebound by K. Knox,,25,24
1,0:03.0,A. Trier makes 3-pt jump shot from 26 ft,,28,24
1,0:00.0,,K. Middleton misses 3-pt jump shot from 40 ft,28,24
1,0:00.0,,Offensive rebound by Team,28,24
2,11:47.0,,G. Hill misses 2-pt layup from 5 ft,28,24
2,11:44.0,Defensive rebound by N. Vonleh,,28,24
2,11:29.0,E. Freedom misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,28,24
2,11:29.0,Offensive rebound by Team,,28,24
2,11:26.0,N. Vonleh misses 2-pt dunk from 3 ft (block by G. Antetokounmpo),,28,24
2,11:23.0,,Defensive rebound by G. Antetokounmpo,28,24
2,11:23.0,,Shooting foul by E. Freedom (drawn by G. Antetokounmpo),28,24
2,11:23.0,,G. Antetokounmpo misses free throw 1 of 2,28,24
2,11:23.0,,Offensive rebound by Team,28,24
2,11:23.0,,G. Antetokounmpo misses free throw 2 of 2,28,24
2,11:23.0,Defensive rebound by E. Freedom,,28,24
2,11:05.0,F. Ntilikina makes 3-pt jump shot from 25 ft (assist by A. Trier),,31,24
2,10:47.0,,M. Brogdon makes 2-pt layup from 1 ft,31,26
2,10:41.0,A. Trier misses 2-pt layup from 3 ft (block by T. Snell),,31,26
2,10:41.0,Offensive rebound by Team,,31,26
2,10:28.0,F. Ntilikina makes 2-pt layup from 1 ft (assist by A. Trier),,33,26
2,10:14.0,,Personal foul by F. Ntilikina (drawn by G. Antetokounmpo),33,26
2,10:04.0,,Turnover by M. Brogdon (out of bounds lost ball),33,26
2,9:48.0,D. Dotson misses 2-pt jump shot from 11 ft,,33,26
2,9:45.0,,Defensive rebound by T. Maker,33,26
2,9:39.0,,T. Maker misses 3-pt jump shot from 26 ft,33,26
2,9:35.0,Defensive rebound by D. Dotson,,33,26
2,9:25.0,E. Freedom makes 2-pt hook shot from 7 ft (assist by A. Trier),,35,26
2,9:10.0,,M. Brogdon makes 2-pt layup from 1 ft,35,28
2,8:59.0,A. Trier misses 2-pt layup from 4 ft (block by T. Maker),,35,28
2,8:59.0,Offensive rebound by Team,,35,28
2,8:59.0,,E. Bledsoe enters the game for G. Hill,35,28
2,8:59.0,,B. Lopez enters the game for T. Maker,35,28
2,8:53.0,D. Dotson misses 2-pt jump shot from 21 ft,,35,28
2,8:50.0,,Defensive rebound by G. Antetokounmpo,35,28
2,8:30.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,35,28
2,8:27.0,Defensive rebound by D. Dotson,,35,28
2,8:07.0,N. Vonleh misses 3-pt jump shot from 28 ft,,35,28
2,8:04.0,,Defensive rebound by E. Bledsoe,35,28
2,8:01.0,,Personal foul by F. Ntilikina (drawn by E. Bledsoe),35,28
2,8:01.0,K. Knox enters the game for D. Dotson,,35,28
2,8:01.0,C. Lee enters the game for F. Ntilikina,,35,28
2,8:01.0,E. Mudiay enters the game for A. Trier,,35,28
2,7:53.0,,E. Bledsoe makes 2-pt layup from 3 ft,35,30
2,7:28.0,C. Lee misses 3-pt jump shot from 25 ft,,35,30
2,7:25.0,,Defensive rebound by B. Lopez,35,30
2,7:18.0,,B. Lopez makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),35,33
2,7:12.0,New York full timeout,,35,33
2,7:12.0,L. Kornet enters the game for E. Freedom,,35,33
2,7:05.0,K. Knox misses 2-pt dunk from 2 ft (block by G. Antetokounmpo),,35,33
2,7:05.0,Offensive rebound by Team,,35,33
2,7:01.0,K. Knox misses 2-pt jump shot from 11 ft,,35,33
2,6:59.0,,Defensive rebound by T. Snell,35,33
2,6:57.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,35,35
2,6:57.0,,Shooting foul by L. Kornet (drawn by G. Antetokounmpo),35,35
2,6:57.0,,G. Antetokounmpo makes free throw 1 of 1,35,36
2,6:43.0,E. Mudiay makes 2-pt jump shot from 18 ft,,37,36
2,6:38.0,,B. Lopez makes 3-pt jump shot from 23 ft (assist by M. Brogdon),37,39
2,6:16.0,L. Kornet misses 2-pt jump shot from 10 ft,,37,39
2,6:16.0,Offensive rebound by Team,,37,39
2,6:10.0,E. Mudiay misses 3-pt jump shot from 28 ft,,37,39
2,6:07.0,,Defensive rebound by G. Antetokounmpo,37,39
2,5:54.0,,B. Lopez makes 2-pt dunk from 1 ft,37,41
2,5:42.0,Turnover by N. Vonleh (lost ball; steal by E. Bledsoe),,37,41
2,5:30.0,,M. Brogdon misses 2-pt layup from 3 ft (block by E. Mudiay),37,41
2,5:27.0,,Offensive rebound by G. Antetokounmpo,37,41
2,5:27.0,,Milwaukee full timeout,37,41
2,5:19.0,,B. Lopez misses 3-pt jump shot from 25 ft,37,41
2,5:16.0,,Offensive rebound by E. Bledsoe,37,41
2,5:10.0,,M. Brogdon makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),37,44
2,4:56.0,E. Mudiay misses 2-pt jump shot from 7 ft,,37,44
2,4:54.0,,Defensive rebound by G. Antetokounmpo,37,44
2,4:40.0,,Turnover by G. Antetokounmpo (traveling),37,44
2,4:40.0,,K. Middleton enters the game for T. Snell,37,44
2,4:23.0,N. Vonleh makes 2-pt layup from 1 ft,,39,44
2,4:11.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,39,44
2,4:11.0,,Offensive rebound by Team,39,44
2,4:11.0,D. Dotson enters the game for C. Lee,,39,44
2,4:11.0,,D. Wilson enters the game for G. Antetokounmpo,39,44
2,3:58.0,,K. Middleton makes 2-pt jump shot from 20 ft,39,46
2,3:41.0,L. Kornet misses 3-pt jump shot from 27 ft,,39,46
2,3:38.0,Offensive rebound by N. Vonleh,,39,46
2,3:34.0,K. Knox misses 3-pt jump shot from 28 ft,,39,46
2,3:31.0,,Defensive rebound by M. Brogdon,39,46
2,3:24.0,,M. Brogdon makes 2-pt layup from 3 ft,39,48
2,2:57.0,K. Knox makes 2-pt jump shot from 18 ft (assist by N. Vonleh),,41,48
2,2:45.0,,Turnover by B. Lopez (bad pass; steal by D. Dotson),41,48
2,2:27.0,N. Vonleh misses 2-pt jump shot from 9 ft (block by D. Wilson),,41,48
2,2:21.0,,Defensive rebound by K. Middleton,41,48
2,2:17.0,,B. Lopez misses 3-pt jump shot from 30 ft,41,48
2,2:13.0,Defensive rebound by L. Kornet,,41,48
2,2:03.0,N. Vonleh makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,44,48
2,1:47.0,,K. Middleton makes 2-pt layup from 1 ft (assist by M. Brogdon),44,50
2,1:32.0,D. Dotson misses 2-pt jump shot from 18 ft,,44,50
2,1:29.0,,Defensive rebound by E. Bledsoe,44,50
2,1:25.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,44,53
2,1:17.0,New York full timeout,,44,53
2,1:17.0,F. Ntilikina enters the game for E. Mudiay,,44,53
2,1:17.0,,G. Antetokounmpo enters the game for E. Bledsoe,44,53
2,1:17.0,,S. Brown enters the game for M. Brogdon,44,53
2,1:17.0,,G. Hill enters the game for B. Lopez,44,53
2,1:17.0,Violation by Team (delay of game),,44,53
2,1:08.0,D. Dotson misses 2-pt layup from 2 ft,,44,53
2,1:06.0,,Defensive rebound by G. Antetokounmpo,44,53
2,0:57.0,,K. Middleton misses 2-pt jump shot from 15 ft,44,53
2,0:55.0,Defensive rebound by K. Knox,,44,53
2,0:41.0,L. Kornet misses 3-pt jump shot from 27 ft,,44,53
2,0:39.0,Offensive rebound by F. Ntilikina,,44,53
2,0:35.0,D. Dotson misses 2-pt layup from 3 ft,,44,53
2,0:35.0,Offensive rebound by N. Vonleh,,44,53
2,0:35.0,N. Vonleh makes 2-pt dunk from 1 ft,,46,53
2,0:27.0,,S. Brown misses 3-pt jump shot from 27 ft,46,53
2,0:24.0,Defensive rebound by F. Ntilikina,,46,53
2,0:03.0,K. Knox makes 2-pt jump shot from 20 ft,,48,53
2,0:00.0,,G. Antetokounmpo misses 3-pt jump shot from 30 ft,48,53
2,0:00.0,,Offensive rebound by Team,48,53
3,11:44.0,,K. Middleton makes 2-pt jump shot from 16 ft (assist by G. Antetokounmpo),48,55
3,11:21.0,C. Lee makes 2-pt jump shot from 17 ft (assist by L. Kornet),,50,55
3,11:12.0,,Turnover by M. Brogdon (out of bounds lost ball),50,55
3,11:04.0,Shooting foul by M. Brogdon (drawn by E. Mudiay),,50,55
3,11:04.0,E. Mudiay misses free throw 1 of 2,,50,55
3,11:04.0,Offensive rebound by Team,,50,55
3,11:04.0,E. Mudiay makes free throw 2 of 2,,51,55
3,10:43.0,,Shooting foul by K. Knox (drawn by K. Middleton),51,55
3,10:43.0,,K. Middleton makes free throw 1 of 2,51,56
3,10:43.0,,K. Middleton makes free throw 2 of 2,51,57
3,10:25.0,K. Knox misses 3-pt jump shot from 25 ft,,51,57
3,10:22.0,,Defensive rebound by E. Bledsoe,51,57
3,10:14.0,,M. Brogdon misses 2-pt jump shot from 13 ft,51,57
3,10:10.0,Defensive rebound by N. Vonleh,,51,57
3,10:02.0,C. Lee makes 2-pt jump shot from 14 ft (assist by E. Mudiay),,53,57
3,9:45.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),53,60
3,9:25.0,L. Kornet makes 3-pt jump shot from 26 ft (assist by C. Lee),,56,60
3,9:13.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,56,60
3,9:10.0,,Offensive rebound by G. Antetokounmpo,56,60
3,9:09.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,56,62
3,8:58.0,E. Mudiay makes 2-pt jump shot from 15 ft,,58,62
3,8:40.0,,M. Brogdon misses 3-pt jump shot from 26 ft,58,62
3,8:38.0,Defensive rebound by E. Mudiay,,58,62
3,8:32.0,L. Kornet makes 3-pt jump shot from 28 ft (assist by E. Mudiay),,61,62
3,8:16.0,,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by K. Middleton),61,65
3,8:05.0,L. Kornet makes 3-pt jump shot from 33 ft (assist by C. Lee),,64,65
3,8:04.0,,Milwaukee full timeout,64,65
3,7:48.0,,K. Middleton makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),64,67
3,7:37.0,Shooting foul by K. Middleton (drawn by N. Vonleh),,64,67
3,7:37.0,N. Vonleh makes free throw 1 of 2,,65,67
3,7:37.0,N. Vonleh makes free throw 2 of 2,,66,67
3,7:37.0,,S. Brown enters the game for M. Brogdon,66,67
3,7:10.0,,B. Lopez makes 2-pt hook shot from 1 ft,66,69
3,7:04.0,E. Mudiay misses 2-pt layup from 2 ft (block by B. Lopez),,66,69
3,7:00.0,,Defensive rebound by K. Middleton,66,69
3,6:49.0,,K. Middleton misses 2-pt jump shot from 5 ft,66,69
3,6:47.0,Defensive rebound by N. Vonleh,,66,69
3,6:40.0,N. Vonleh misses 2-pt jump shot from 9 ft,,66,69
3,6:37.0,,Defensive rebound by G. Antetokounmpo,66,69
3,6:35.0,,Shooting foul by N. Vonleh (drawn by G. Antetokounmpo),66,69
3,6:35.0,,G. Antetokounmpo makes free throw 1 of 2,66,70
3,6:35.0,,G. Antetokounmpo makes free throw 2 of 2,66,71
3,6:13.0,N. Vonleh makes 3-pt jump shot from 27 ft,,69,71
3,6:01.0,,B. Lopez misses 2-pt dunk from 2 ft (block by N. Vonleh),69,71
3,5:59.0,,Offensive rebound by Team,69,71
3,5:56.0,,Turnover by S. Brown (bad pass; steal by C. Lee),69,71
3,5:51.0,E. Mudiay misses 2-pt layup from 1 ft,,69,71
3,5:48.0,,Defensive rebound by G. Antetokounmpo,69,71
3,5:35.0,,K. Middleton misses 2-pt jump shot from 12 ft,69,71
3,5:33.0,Defensive rebound by N. Vonleh,,69,71
3,5:33.0,D. Dotson enters the game for C. Lee,,69,71
3,5:33.0,A. Trier enters the game for N. Vonleh,,69,71
3,5:33.0,,G. Hill enters the game for G. Antetokounmpo,69,71
3,5:33.0,,D. Wilson enters the game for E. Bledsoe,69,71
3,5:18.0,D. Dotson misses 2-pt jump shot from 14 ft,,69,71
3,5:13.0,,Defensive rebound by S. Brown,69,71
3,5:08.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by D. Wilson),69,74
3,4:50.0,E. Mudiay makes 2-pt jump shot from 10 ft,,71,74
3,4:30.0,,B. Lopez misses 2-pt hook shot from 8 ft,71,74
3,4:28.0,Defensive rebound by A. Trier,,71,74
3,4:17.0,E. Mudiay misses 2-pt jump shot from 9 ft,,71,74
3,4:13.0,,Defensive rebound by D. Wilson,71,74
3,4:09.0,,Personal foul by D. Dotson (drawn by K. Middleton),71,74
3,4:09.0,F. Ntilikina enters the game for E. Mudiay,,71,74
3,4:09.0,,T. Snell enters the game for B. Lopez,71,74
3,4:09.0,,Violation by Team (delay of game),71,74
3,4:03.0,,D. Wilson misses 2-pt layup from 2 ft,71,74
3,4:03.0,,Offensive rebound by D. Wilson,71,74
3,4:03.0,,D. Wilson makes 2-pt layup from 1 ft,71,76
3,4:03.0,,Shooting foul by F. Ntilikina (drawn by D. Wilson),71,76
3,4:03.0,E. Freedom enters the game for L. Kornet,,71,76
3,4:03.0,,D. Wilson makes free throw 1 of 1,71,77
3,3:48.0,A. Trier misses 3-pt jump shot from 26 ft,,71,77
3,3:43.0,,Defensive rebound by D. Wilson,71,77
3,3:40.0,,G. Hill misses 2-pt jump shot from 12 ft,71,77
3,3:37.0,Defensive rebound by A. Trier,,71,77
3,3:31.0,A. Trier misses 2-pt jump shot from 17 ft,,71,77
3,3:28.0,,Defensive rebound by D. Wilson,71,77
3,3:24.0,,G. Hill makes 2-pt layup from 2 ft (assist by K. Middleton),71,79
3,3:24.0,,Shooting foul by A. Trier (drawn by G. Hill),71,79
3,3:24.0,,G. Hill makes free throw 1 of 1,71,80
3,3:08.0,Personal foul by G. Hill (drawn by A. Trier),,71,80
3,3:02.0,K. Knox misses 3-pt jump shot from 28 ft,,71,80
3,2:59.0,Offensive rebound by E. Freedom,,71,80
3,2:57.0,E. Freedom misses 2-pt layup from 1 ft,,71,80
3,2:55.0,,Defensive rebound by D. Wilson,71,80
3,2:43.0,,G. Hill misses 3-pt jump shot from 27 ft,71,80
3,2:40.0,Defensive rebound by E. Freedom,,71,80
3,2:33.0,D. Dotson misses 2-pt jump shot from 11 ft,,71,80
3,2:30.0,,Defensive rebound by D. Wilson,71,80
3,2:22.0,,G. Hill misses 2-pt layup from 1 ft (block by A. Trier),71,80
3,2:18.0,Defensive rebound by D. Dotson,,71,80
3,2:17.0,Shooting foul by T. Snell (drawn by K. Knox),,71,80
3,2:17.0,New York full timeout,,71,80
3,2:17.0,,G. Antetokounmpo enters the game for S. Brown,71,80
3,2:17.0,,M. Brogdon enters the game for K. Middleton,71,80
3,2:17.0,K. Knox misses free throw 1 of 2,,71,80
3,2:17.0,Offensive rebound by Team,,71,80
3,2:17.0,K. Knox misses free throw 2 of 2,,71,80
3,2:15.0,Offensive rebound by Team,,71,80
3,2:04.0,Turnover by E. Freedom (offensive foul),,71,80
3,2:04.0,Offensive foul by E. Freedom (drawn by D. Wilson),,71,80
3,1:47.0,,T. Snell misses 2-pt jump shot from 7 ft,71,80
3,1:44.0,Defensive rebound by K. Knox,,71,80
3,1:37.0,E. Freedom makes 2-pt layup from 1 ft (assist by F. Ntilikina),,73,80
3,1:18.0,,D. Wilson makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),73,83
3,0:59.0,A. Trier misses 2-pt layup from 3 ft (block by D. Wilson),,73,83
3,0:56.0,,Defensive rebound by G. Hill,73,83
3,0:55.0,,Personal foul by K. Knox (drawn by G. Antetokounmpo),73,83
3,0:55.0,,G. Antetokounmpo makes free throw 1 of 2,73,84
3,0:55.0,N. Vonleh enters the game for K. Knox,,73,84
3,0:55.0,,G. Antetokounmpo makes free throw 2 of 2,73,85
3,0:46.0,E. Freedom misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,73,85
3,0:40.0,Offensive rebound by F. Ntilikina,,73,85
3,0:21.0,A. Trier makes 2-pt jump shot from 17 ft,,75,85
3,0:06.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,75,87
3,0:03.0,Personal foul by G. Hill (drawn by A. Trier),,75,87
3,0:03.0,A. Trier makes free throw 1 of 2,,76,87
3,0:03.0,A. Trier makes free throw 2 of 2,,77,87
3,0:00.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,77,87
3,0:00.0,,Offensive rebound by Team,77,87
4,11:49.0,D. Dotson makes 3-pt jump shot from 28 ft (assist by A. Trier),,80,87
4,11:39.0,,Turnover by G. Antetokounmpo (out of bounds lost ball),80,87
4,11:25.0,A. Trier misses 2-pt jump shot from 13 ft,,80,87
4,11:22.0,Offensive rebound by E. Freedom,,80,87
4,11:22.0,E. Freedom makes 2-pt layup at rim,,82,87
4,11:09.0,,G. Antetokounmpo makes 2-pt jump shot from 19 ft,82,89
4,10:45.0,F. Ntilikina misses 2-pt jump shot from 12 ft,,82,89
4,10:41.0,,Defensive rebound by G. Antetokounmpo,82,89
4,10:38.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,82,91
4,10:23.0,E. Freedom misses 2-pt jump shot from 8 ft,,82,91
4,10:20.0,,Defensive rebound by G. Antetokounmpo,82,91
4,10:15.0,,T. Maker misses 3-pt jump shot from 26 ft,82,91
4,10:12.0,Defensive rebound by E. Freedom,,82,91
4,10:10.0,A. Trier misses 2-pt layup from 2 ft (block by T. Snell),,82,91
4,10:10.0,,Defensive rebound by T. Maker,82,91
4,10:00.0,,Turnover by G. Antetokounmpo (lost ball; steal by E. Freedom),82,91
4,9:56.0,Turnover by A. Trier (step out of bounds),,82,91
4,9:56.0,Technical foul by E. Freedom,,82,91
4,9:56.0,,Technical foul by G. Antetokounmpo,82,91
4,9:56.0,Technical foul by E. Freedom,,82,91
4,9:56.0,L. Kornet enters the game for E. Freedom,,82,91
4,9:56.0,E. Freedom ejected from game,,82,91
4,9:56.0,,M. Brogdon makes technical free throw,82,92
4,9:42.0,,Shooting foul by F. Ntilikina (drawn by G. Antetokounmpo),82,92
4,9:42.0,,G. Antetokounmpo makes free throw 1 of 2,82,93
4,9:42.0,,G. Antetokounmpo makes free throw 2 of 2,82,94
4,9:30.0,Personal foul by M. Brogdon (drawn by A. Trier),,82,94
4,9:22.0,L. Kornet misses 2-pt jump shot from 14 ft,,82,94
4,9:18.0,,Defensive rebound by T. Maker,82,94
4,9:16.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,82,94
4,9:16.0,Defensive rebound by Team,,82,94
4,9:01.0,Turnover by F. Ntilikina (bad pass; steal by M. Brogdon),,82,94
4,8:52.0,,Turnover by G. Antetokounmpo (3 sec),82,94
4,8:29.0,L. Kornet makes 3-pt jump shot from 23 ft (assist by F. Ntilikina),,85,94
4,8:12.0,,T. Snell makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),85,97
4,8:02.0,Offensive foul by N. Vonleh (drawn by G. Antetokounmpo),,85,97
4,8:02.0,Turnover by N. Vonleh (offensive foul),,85,97
4,8:02.0,K. Knox enters the game for D. Dotson,,85,97
4,8:02.0,,G. Hill enters the game for M. Brogdon,85,97
4,7:48.0,,T. Snell misses 3-pt jump shot from 26 ft,85,97
4,7:45.0,,Offensive rebound by T. Maker,85,97
4,7:40.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,85,97
4,7:38.0,Defensive rebound by K. Knox,,85,97
4,7:26.0,F. Ntilikina misses 3-pt jump shot from 26 ft,,85,97
4,7:23.0,,Defensive rebound by G. Antetokounmpo,85,97
4,7:03.0,,T. Maker misses 3-pt jump shot from 26 ft,85,97
4,7:00.0,,Offensive rebound by G. Hill,85,97
4,6:59.0,,Shooting foul by A. Trier (drawn by G. Antetokounmpo),85,97
4,6:59.0,,Milwaukee full timeout,85,97
4,6:59.0,C. Lee enters the game for F. Ntilikina,,85,97
4,6:59.0,E. Mudiay enters the game for A. Trier,,85,97
4,6:59.0,,K. Middleton enters the game for T. Maker,85,97
4,6:59.0,,D. Wilson enters the game for T. Snell,85,97
4,6:59.0,,G. Antetokounmpo makes free throw 1 of 2,85,98
