QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,OKLAHOMA CITY_ACTION,SAN ANTONIO_SCORE,OKLAHOMA CITY_SCORE
1,6:46.0,,P. George makes 2-pt layup from 2 ft,7,5
1,6:46.0,,Shooting foul by L. Aldridge (drawn by P. George),7,5
1,6:46.0,,Oklahoma City full timeout,7,5
1,6:46.0,D. Bertāns enters the game for P. Gasol,,7,5
1,6:46.0,,P. George makes free throw 1 of 1,7,6
1,6:25.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,10,6
1,6:10.0,,Shooting foul by D. Bertāns (drawn by J. Grant),10,6
1,6:10.0,,J. Grant makes free throw 1 of 2,10,7
1,6:10.0,,J. Grant makes free throw 2 of 2,10,8
1,5:54.0,Turnover by D. DeRozan (out of bounds lost ball),,10,8
1,5:54.0,P. Mills enters the game for D. White,,10,8
1,5:43.0,,Shooting foul by P. Mills (drawn by R. Westbrook),10,8
1,5:43.0,,R. Westbrook makes free throw 1 of 2,10,9
1,5:43.0,,D. Schröder enters the game for J. Grant,10,9
1,5:43.0,,R. Westbrook makes free throw 2 of 2,10,10
1,5:24.0,B. Forbes misses 3-pt jump shot from 25 ft,,10,10
1,5:24.0,,Defensive rebound by R. Westbrook,10,10
1,5:10.0,,D. Schröder misses 2-pt jump shot from 11 ft,10,10
1,5:07.0,Defensive rebound by D. DeRozan,,10,10
1,5:01.0,D. DeRozan misses 2-pt jump shot from 16 ft,,10,10
1,4:57.0,,Defensive rebound by P. George,10,10
1,4:56.0,,Turnover by P. George (out of bounds lost ball),10,10
1,4:56.0,M. Belinelli enters the game for B. Forbes,,10,10
1,4:38.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,13,10
1,4:25.0,,S. Adams makes 2-pt jump shot from 8 ft (assist by R. Westbrook),13,12
1,4:16.0,M. Belinelli makes 3-pt jump shot from 25 ft,,16,12
1,3:57.0,,S. Adams misses 2-pt jump shot from 9 ft,16,12
1,3:54.0,Defensive rebound by L. Aldridge,,16,12
1,3:50.0,D. DeRozan makes 2-pt layup from 1 ft (assist by P. Mills),,18,12
1,3:50.0,Shooting foul by R. Westbrook (drawn by D. DeRozan),,18,12
1,3:50.0,D. DeRozan misses free throw 1 of 1,,18,12
1,3:48.0,,Defensive rebound by R. Westbrook,18,12
1,3:42.0,,P. George misses 3-pt jump shot from 26 ft,18,12
1,3:39.0,,Offensive rebound by S. Adams,18,12
1,3:39.0,,Shooting foul by M. Belinelli (drawn by P. George),18,12
1,3:39.0,,P. George makes free throw 1 of 2,18,13
1,3:39.0,,P. George makes free throw 2 of 2,18,14
1,3:20.0,L. Aldridge makes 2-pt jump shot from 11 ft,,20,14
1,3:11.0,,Shooting foul by D. Bertāns (drawn by S. Adams),20,14
1,3:11.0,,S. Adams misses free throw 1 of 2,20,14
1,3:11.0,,Offensive rebound by Team,20,14
1,3:11.0,,S. Adams makes free throw 2 of 2,20,15
1,2:54.0,D. DeRozan misses 2-pt layup from 5 ft (block by S. Adams),,20,15
1,2:50.0,Offensive rebound by D. DeRozan,,20,15
1,2:50.0,Turnover by D. DeRozan (bad pass; steal by R. Westbrook),,20,15
1,2:46.0,,R. Westbrook makes 2-pt layup from 1 ft,20,17
1,2:25.0,L. Aldridge makes 2-pt layup from 2 ft (assist by D. DeRozan),,22,17
1,2:17.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by R. Westbrook),22,19
1,2:10.0,Personal foul by R. Westbrook (drawn by D. Bertāns),,22,19
1,2:10.0,San Antonio full timeout,,22,19
1,2:10.0,J. Poeltl enters the game for L. Aldridge,,22,19
1,2:10.0,D. White enters the game for D. DeRozan,,22,19
1,2:10.0,,J. Grant enters the game for T. Ferguson,22,19
1,2:10.0,,A. Nader enters the game for R. Westbrook,22,19
1,2:08.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by M. Belinelli),,25,19
1,1:47.0,,Shooting foul by D. White (drawn by P. George),25,19
1,1:47.0,,P. George makes free throw 1 of 2,25,20
1,1:47.0,P. Gasol enters the game for D. Bertāns,,25,20
1,1:47.0,,P. Patterson enters the game for S. Adams,25,20
1,1:47.0,,P. George makes free throw 2 of 2,25,21
1,1:32.0,P. Mills misses 3-pt jump shot from 25 ft,,25,21
1,1:29.0,Offensive rebound by J. Poeltl,,25,21
1,1:25.0,D. White misses 2-pt layup from 2 ft (block by A. Nader),,25,21
1,1:25.0,Offensive rebound by D. White,,25,21
1,1:17.0,M. Belinelli misses 3-pt jump shot from 25 ft,,25,21
1,1:14.0,,Defensive rebound by J. Grant,25,21
1,1:05.0,,A. Nader makes 2-pt layup from 1 ft (assist by D. Schröder),25,23
1,0:55.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by P. Mills),,28,23
1,0:45.0,,P. George misses 2-pt jump shot from 14 ft,28,23
1,0:41.0,Defensive rebound by P. Mills,,28,23
1,0:33.0,Shooting foul by D. Schröder (drawn by M. Belinelli),,28,23
1,0:33.0,M. Belinelli makes free throw 1 of 3,,29,23
1,0:33.0,M. Belinelli makes free throw 2 of 3,,30,23
1,0:33.0,M. Belinelli makes free throw 3 of 3,,31,23
1,0:29.0,,D. Schröder misses 2-pt layup from 2 ft,31,23
1,0:27.0,Defensive rebound by J. Poeltl,,31,23
1,0:09.0,D. White misses 3-pt jump shot from 25 ft,,31,23
1,0:05.0,Offensive rebound by P. Mills,,31,23
1,0:00.0,P. Mills misses 2-pt layup from 10 ft,,31,23
1,0:00.0,Offensive rebound by Team,,31,23
2,11:47.0,Turnover by M. Belinelli (bad pass),,31,23
2,11:25.0,,A. Nader makes 2-pt layup from 1 ft,31,25
2,11:11.0,M. Belinelli makes 2-pt layup from 9 ft (assist by P. Mills),,33,25
2,10:57.0,,A. Nader makes 2-pt layup from 1 ft (assist by P. Patterson),33,27
2,10:39.0,J. Poeltl misses 2-pt layup from 1 ft,,33,27
2,10:38.0,,Defensive rebound by J. Grant,33,27
2,10:34.0,,P. Patterson makes 3-pt jump shot from 23 ft (assist by J. Grant),33,30
2,10:13.0,P. Gasol misses 2-pt layup from 1 ft (block by J. Grant),,33,30
2,10:11.0,Offensive rebound by J. Poeltl,,33,30
2,10:09.0,J. Poeltl makes 2-pt layup at rim,,35,30
2,9:53.0,,D. Schröder misses 2-pt layup from 2 ft,35,30
2,9:52.0,Defensive rebound by P. Gasol,,35,30
2,9:51.0,P. Mills makes 2-pt layup from 2 ft,,37,30
2,9:51.0,,Oklahoma City full timeout,37,30
2,9:51.0,B. Forbes enters the game for P. Mills,,37,30
2,9:39.0,,P. Patterson makes 2-pt jump shot from 21 ft (assist by A. Nader),37,32
2,9:21.0,Turnover by P. Gasol (lost ball; steal by D. Schröder),,37,32
2,9:17.0,,D. Schröder misses 2-pt layup from 7 ft,37,32
2,9:10.0,Defensive rebound by J. Poeltl,,37,32
2,9:08.0,P. Gasol makes 2-pt dunk from 1 ft (assist by D. White),,39,32
2,8:51.0,,A. Nader makes 2-pt jump shot from 6 ft,39,34
2,8:30.0,B. Forbes misses 3-pt jump shot from 26 ft,,39,34
2,8:27.0,,Defensive rebound by H. Diallo,39,34
2,8:24.0,,Shooting foul by P. Gasol (drawn by H. Diallo),39,34
2,8:24.0,,H. Diallo misses free throw 1 of 2,39,34
2,8:24.0,,Offensive rebound by Team,39,34
2,8:24.0,D. Bertāns enters the game for M. Belinelli,,39,34
2,8:24.0,D. DeRozan enters the game for P. Gasol,,39,34
2,8:24.0,,R. Westbrook enters the game for D. Schröder,39,34
2,8:24.0,,H. Diallo makes free throw 2 of 2,39,35
2,8:09.0,D. White makes 2-pt layup from 1 ft,,41,35
2,8:09.0,,Violation by Team (def goaltending),41,35
2,7:58.0,,Turnover by R. Westbrook (bad pass; steal by D. DeRozan),41,35
2,7:49.0,D. DeRozan makes 2-pt layup from 3 ft,,43,35
2,7:36.0,,R. Westbrook misses 2-pt jump shot from 10 ft,43,35
2,7:34.0,Defensive rebound by J. Poeltl,,43,35
2,7:21.0,B. Forbes misses 2-pt layup from 2 ft,,43,35
2,7:20.0,Offensive rebound by J. Poeltl,,43,35
2,7:12.0,D. Bertāns misses 3-pt jump shot from 25 ft,,43,35
2,7:10.0,Offensive rebound by D. White,,43,35
2,7:10.0,Personal foul by R. Westbrook (drawn by D. White),,43,35
2,7:10.0,L. Aldridge enters the game for J. Poeltl,,43,35
2,7:10.0,,S. Adams enters the game for J. Grant,43,35
2,7:01.0,D. DeRozan makes 2-pt jump shot from 9 ft,,45,35
2,6:46.0,,A. Nader makes 2-pt layup from 2 ft,45,37
2,6:34.0,D. White makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,48,37
2,6:34.0,,P. George enters the game for A. Nader,48,37
2,6:15.0,,R. Westbrook misses 2-pt layup from 8 ft (block by D. White),48,37
2,6:14.0,,Offensive rebound by Team,48,37
2,6:12.0,,P. George misses 3-pt jump shot from 23 ft,48,37
2,6:07.0,,Offensive rebound by R. Westbrook,48,37
2,6:02.0,,H. Diallo misses 3-pt jump shot from 24 ft,48,37
2,6:00.0,Defensive rebound by Team,,48,37
2,6:00.0,,T. Ferguson enters the game for H. Diallo,48,37
2,5:47.0,L. Aldridge makes 2-pt layup from 2 ft (assist by D. White),,50,37
2,5:32.0,,P. Patterson misses 2-pt jump shot from 10 ft,50,37
2,5:30.0,,Offensive rebound by P. Patterson,50,37
2,5:29.0,,P. Patterson misses 2-pt layup from 2 ft (block by D. White),50,37
2,5:27.0,Defensive rebound by D. White,,50,37
2,5:24.0,B. Forbes misses 3-pt jump shot from 24 ft,,50,37
2,5:24.0,,Defensive rebound by P. Patterson,50,37
2,5:11.0,,P. Patterson makes 3-pt jump shot from 23 ft (assist by S. Adams),50,40
2,5:09.0,San Antonio full timeout,,50,40
2,4:59.0,D. DeRozan misses 2-pt jump shot from 14 ft,,50,40
2,4:55.0,Offensive rebound by D. DeRozan,,50,40
2,4:50.0,L. Aldridge misses 2-pt jump shot from 16 ft,,50,40
2,4:47.0,,Defensive rebound by P. George,50,40
2,4:39.0,,Personal foul by D. DeRozan (drawn by S. Adams),50,40
2,4:30.0,,Turnover by P. Patterson (lost ball; steal by D. Bertāns),50,40
2,4:18.0,D. White misses 2-pt layup at rim,,50,40
2,4:14.0,,Defensive rebound by P. George,50,40
2,4:11.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),50,43
2,4:09.0,San Antonio full timeout,,50,43
2,4:09.0,,J. Grant enters the game for P. Patterson,50,43
2,3:53.0,B. Forbes misses 3-pt jump shot from 26 ft,,50,43
2,3:49.0,,Defensive rebound by P. George,50,43
2,3:34.0,,R. Westbrook misses 2-pt jump shot from 12 ft,50,43
2,3:32.0,Defensive rebound by D. White,,50,43
2,3:24.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),,52,43
2,3:13.0,,Turnover by R. Westbrook (bad pass; steal by D. Bertāns),52,43
2,3:08.0,B. Forbes misses 2-pt jump shot from 22 ft,,52,43
2,3:06.0,,Defensive rebound by P. George,52,43
2,2:58.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by T. Ferguson),52,46
2,2:39.0,Shooting foul by J. Grant (drawn by D. DeRozan),,52,46
2,2:39.0,D. DeRozan makes free throw 1 of 2,,53,46
2,2:39.0,D. DeRozan makes free throw 2 of 2,,54,46
2,2:29.0,,P. George makes 2-pt dunk from 2 ft (assist by R. Westbrook),54,48
2,2:17.0,D. DeRozan makes 2-pt layup from 1 ft,,56,48
2,2:10.0,,R. Westbrook misses 2-pt layup from 1 ft,56,48
2,2:06.0,Defensive rebound by L. Aldridge,,56,48
2,2:05.0,Turnover by D. Bertāns (bad pass; steal by P. George),,56,48
2,2:00.0,,Turnover by P. George (bad pass; steal by B. Forbes),56,48
2,1:59.0,B. Forbes misses 2-pt layup from 2 ft (block by T. Ferguson),,56,48
2,1:58.0,Offensive rebound by B. Forbes,,56,48
2,1:56.0,B. Forbes makes 2-pt layup from 1 ft,,58,48
2,1:39.0,,P. George misses 2-pt layup from 2 ft,58,48
2,1:37.0,Defensive rebound by D. White,,58,48
2,1:33.0,D. Bertāns misses 3-pt jump shot from 26 ft,,58,48
2,1:30.0,,Defensive rebound by R. Westbrook,58,48
2,1:18.0,,J. Grant misses 2-pt layup from 1 ft,58,48
2,1:17.0,Defensive rebound by L. Aldridge,,58,48
2,1:06.0,D. DeRozan makes 2-pt jump shot from 19 ft,,60,48
2,0:44.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by P. George),60,51
2,0:23.0,Turnover by D. Bertāns (bad pass; steal by S. Adams),,60,51
2,0:03.0,,R. Westbrook misses 3-pt jump shot from 26 ft,60,51
2,0:03.0,Defensive rebound by D. Bertāns,,60,51
3,11:42.0,Turnover by D. White (lost ball; steal by S. Adams),,60,51
3,11:39.0,,R. Westbrook makes 2-pt layup at rim (assist by P. George),60,53
3,11:13.0,D. White misses 3-pt jump shot from 26 ft,,60,53
3,11:11.0,,Defensive rebound by S. Adams,60,53
3,11:06.0,,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),60,56
3,10:49.0,D. DeRozan misses 2-pt layup from 1 ft,,60,56
3,10:48.0,,Defensive rebound by S. Adams,60,56
3,10:42.0,,Personal foul by D. DeRozan (drawn by P. George),60,56
3,10:33.0,,R. Westbrook misses 2-pt jump shot from 21 ft,60,56
3,10:30.0,Defensive rebound by P. Gasol,,60,56
3,10:20.0,Turnover by D. White (lost ball; steal by R. Westbrook),,60,56
3,10:18.0,,R. Westbrook makes 2-pt dunk at rim,60,58
3,9:58.0,D. DeRozan misses 2-pt jump shot from 21 ft,,60,58
3,9:53.0,,Defensive rebound by S. Adams,60,58
3,9:39.0,,P. George misses 2-pt jump shot from 7 ft,60,58
3,9:36.0,Defensive rebound by P. Gasol,,60,58
3,9:24.0,L. Aldridge misses 2-pt layup from 4 ft,,60,58
3,9:23.0,,Defensive rebound by T. Ferguson,60,58
3,9:17.0,,P. George misses 3-pt jump shot from 25 ft,60,58
3,9:15.0,Defensive rebound by L. Aldridge,,60,58
3,8:59.0,L. Aldridge makes 2-pt layup at rim,,62,58
3,8:59.0,Shooting foul by S. Adams (drawn by L. Aldridge),,62,58
3,8:59.0,L. Aldridge makes free throw 1 of 1,,63,58
3,8:48.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),63,61
3,8:33.0,L. Aldridge misses 2-pt jump shot from 12 ft,,63,61
3,8:30.0,,Defensive rebound by P. George,63,61
3,8:25.0,,P. George makes 3-pt jump shot from 25 ft,63,64
3,8:23.0,San Antonio full timeout,,63,64
3,8:23.0,D. Bertāns enters the game for P. Gasol,,63,64
3,8:08.0,D. DeRozan misses 2-pt layup from 1 ft,,63,64
3,8:04.0,,Defensive rebound by P. George,63,64
3,7:49.0,,R. Westbrook misses 2-pt jump shot from 17 ft,63,64
3,7:46.0,Defensive rebound by B. Forbes,,63,64
3,7:39.0,B. Forbes misses 3-pt jump shot from 26 ft,,63,64
3,7:36.0,,Defensive rebound by R. Westbrook,63,64
3,7:32.0,,Offensive foul by R. Westbrook (drawn by D. White),63,64
3,7:32.0,,Turnover by R. Westbrook (offensive foul),63,64
3,7:18.0,D. DeRozan misses 2-pt jump shot from 8 ft,,63,64
3,7:16.0,,Defensive rebound by S. Adams,63,64
3,7:10.0,,S. Adams makes 2-pt dunk from 1 ft (assist by J. Grant),63,66
3,6:53.0,Shooting foul by S. Adams (drawn by D. DeRozan),,63,66
3,6:53.0,D. DeRozan makes free throw 1 of 2,,64,66
3,6:53.0,,Oklahoma City full timeout,64,66
3,6:53.0,M. Belinelli enters the game for B. Forbes,,64,66
3,6:53.0,P. Mills enters the game for D. White,,64,66
3,6:53.0,D. DeRozan misses free throw 2 of 2,,64,66
3,6:52.0,,Defensive rebound by R. Westbrook,64,66
3,6:42.0,,P. George misses 3-pt jump shot from 24 ft,64,66
3,6:39.0,Defensive rebound by D. Bertāns,,64,66
3,6:30.0,Turnover by D. DeRozan (out of bounds lost ball),,64,66
3,6:23.0,,R. Westbrook misses 2-pt jump shot from 14 ft,64,66
3,6:21.0,Defensive rebound by Team,,64,66
3,6:12.0,Turnover by D. DeRozan (lost ball; steal by P. George),,64,66
3,6:08.0,,R. Westbrook makes 2-pt layup from 2 ft (assist by P. George),64,68
3,5:50.0,M. Belinelli makes 2-pt jump shot from 15 ft (assist by L. Aldridge),,66,68
3,5:37.0,,P. George misses 2-pt layup from 1 ft (block by D. Bertāns),66,68
3,5:34.0,Defensive rebound by L. Aldridge,,66,68
3,5:29.0,P. Mills misses 3-pt jump shot from 25 ft,,66,68
3,5:23.0,,Defensive rebound by T. Ferguson,66,68
3,5:11.0,,J. Grant misses 3-pt jump shot from 25 ft,66,68
3,5:07.0,Defensive rebound by D. DeRozan,,66,68
3,5:01.0,D. DeRozan makes 2-pt layup from 1 ft,,68,68
3,4:54.0,,Shooting foul by P. Mills (drawn by S. Adams),68,68
3,4:54.0,,S. Adams makes free throw 1 of 2,68,69
3,4:54.0,,D. Schröder enters the game for J. Grant,68,69
3,4:54.0,,S. Adams makes free throw 2 of 2,68,70
3,4:35.0,L. Aldridge makes 2-pt layup from 1 ft,,70,70
3,4:16.0,,P. George misses 2-pt jump shot from 15 ft,70,70
3,4:12.0,Defensive rebound by L. Aldridge,,70,70
3,4:06.0,D. DeRozan misses 2-pt layup from 1 ft,,70,70
3,4:05.0,,Defensive rebound by T. Ferguson,70,70
3,3:54.0,,S. Adams misses 2-pt layup from 1 ft (block by D. DeRozan),70,70
3,3:51.0,Defensive rebound by D. DeRozan,,70,70
3,3:49.0,M. Belinelli misses 3-pt jump shot from 26 ft,,70,70
3,3:45.0,,Defensive rebound by S. Adams,70,70
3,3:41.0,,R. Westbrook misses 2-pt layup from 3 ft,70,70
3,3:39.0,,Offensive rebound by R. Westbrook,70,70
3,3:39.0,,R. Westbrook makes 2-pt layup from 1 ft,70,72
3,3:39.0,,Shooting foul by P. Mills (drawn by R. Westbrook),70,72
3,3:39.0,Technical foul by D. DeRozan,,70,72
3,3:39.0,,P. George makes technical free throw,70,73
3,3:39.0,B. Forbes enters the game for D. DeRozan,,70,73
3,3:39.0,,R. Westbrook makes free throw 1 of 1,70,74
3,3:23.0,P. Mills misses 2-pt layup from 2 ft,,70,74
3,3:22.0,Offensive rebound by L. Aldridge,,70,74
3,3:20.0,M. Belinelli makes 2-pt jump shot from 18 ft (assist by P. Mills),,72,74
3,3:07.0,,Turnover by R. Westbrook (lost ball; steal by L. Aldridge),72,74
3,3:02.0,B. Forbes makes 3-pt jump shot from 23 ft (assist by D. Bertāns),,75,74
3,2:58.0,,Oklahoma City full timeout,75,74
3,2:58.0,,A. Nader enters the game for R. Westbrook,75,74
3,2:47.0,,D. Schröder makes 2-pt jump shot from 7 ft,75,76
3,2:36.0,Turnover by P. Mills (bad pass; steal by D. Schröder),,75,76
3,2:27.0,,A. Nader makes 3-pt jump shot from 24 ft (assist by D. Schröder),75,79
3,2:06.0,Personal foul by P. George (drawn by M. Belinelli),,75,79
3,2:06.0,J. Poeltl enters the game for L. Aldridge,,75,79
3,2:04.0,Personal foul by D. Schröder (drawn by P. Mills),,75,79
3,1:53.0,B. Forbes makes 2-pt layup from 1 ft,,77,79
3,1:44.0,,D. Schröder makes 2-pt jump shot from 23 ft,77,81
3,1:19.0,P. Mills makes 2-pt layup from 1 ft,,79,81
3,1:12.0,,D. Schröder misses 2-pt layup from 1 ft,79,81
3,1:11.0,Defensive rebound by J. Poeltl,,79,81
3,1:03.0,Turnover by B. Forbes (bad pass; steal by D. Schröder),,79,81
3,0:57.0,,D. Schröder makes 2-pt layup from 1 ft,79,83
3,0:57.0,,Technical foul by D. Schröder,79,83
3,0:57.0,M. Belinelli makes technical free throw,,80,83
3,0:57.0,,P. Patterson enters the game for S. Adams,80,83
3,0:44.0,P. Mills misses 2-pt jump shot from 21 ft,,80,83
3,0:41.0,,Defensive rebound by A. Nader,80,83
3,0:32.0,,Shooting foul by P. Mills (drawn by D. Schröder),80,83
3,0:32.0,,D. Schröder misses free throw 1 of 2,80,83
3,0:32.0,,Offensive rebound by Team,80,83
3,0:32.0,D. DeRozan enters the game for P. Mills,,80,83
3,0:32.0,,D. Schröder makes free throw 2 of 2,80,84
3,0:09.0,B. Forbes misses 2-pt jump shot from 17 ft,,80,84
3,0:06.0,,Defensive rebound by A. Nader,80,84
3,0:00.0,,D. Schröder makes 2-pt layup from 1 ft (assist by P. George),80,86
4,11:46.0,,D. Schröder misses 2-pt jump shot from 13 ft,80,86
4,11:42.0,,Offensive rebound by D. Schröder,80,86
4,11:41.0,,Shooting foul by D. Bertāns (drawn by A. Nader),80,86
4,11:41.0,,A. Nader makes free throw 1 of 2,80,87
4,11:41.0,,A. Nader makes free throw 2 of 2,80,88
4,11:29.0,D. DeRozan makes 2-pt jump shot from 8 ft,,82,88
4,11:29.0,Shooting foul by J. Grant (drawn by D. DeRozan),,82,88
4,11:29.0,D. DeRozan makes free throw 1 of 1,,83,88
4,11:18.0,,J. Grant makes 2-pt jump shot from 19 ft (assist by D. Schröder),83,90
4,10:56.0,D. Bertāns misses 3-pt jump shot from 27 ft,,83,90
4,10:55.0,Offensive rebound by J. Poeltl,,83,90
4,10:55.0,J. Poeltl misses 2-pt layup at rim,,83,90
4,10:54.0,Offensive rebound by J. Poeltl,,83,90
4,10:53.0,Shooting foul by H. Diallo (drawn by J. Poeltl),,83,90
4,10:53.0,J. Poeltl makes free throw 1 of 2,,84,90
4,10:53.0,J. Poeltl makes free throw 2 of 2,,85,90
4,10:43.0,,D. Schröder makes 2-pt layup from 1 ft,85,92
4,10:33.0,B. Forbes makes 2-pt layup from 1 ft,,87,92
4,10:16.0,,P. Patterson makes 2-pt jump shot from 13 ft (assist by J. Grant),87,94
4,10:01.0,D. DeRozan misses 2-pt jump shot from 13 ft,,87,94
4,9:59.0,,Defensive rebound by J. Grant,87,94
4,9:52.0,,D. Schröder makes 2-pt layup from 1 ft,87,96
4,9:52.0,San Antonio full timeout,,87,96
4,9:52.0,L. Aldridge enters the game for B. Forbes,,87,96
4,9:52.0,D. White enters the game for J. Poeltl,,87,96
4,9:35.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,90,96
4,9:11.0,,D. Schröder makes 2-pt jump shot from 17 ft (assist by P. Patterson),90,98
4,8:56.0,D. DeRozan misses 2-pt layup from 1 ft (block by J. Grant),,90,98
4,8:54.0,,Defensive rebound by H. Diallo,90,98
4,8:52.0,,H. Diallo misses 2-pt layup from 1 ft (block by D. Bertāns),90,98
4,8:52.0,,Offensive rebound by Team,90,98
4,8:50.0,,D. Schröder makes 2-pt jump shot from 12 ft (assist by A. Nader),90,100
4,8:33.0,Shooting foul by D. Schröder (drawn by D. White),,90,100
4,8:33.0,D. White misses free throw 1 of 2,,90,100
4,8:33.0,Offensive rebound by Team,,90,100
4,8:33.0,,S. Adams enters the game for J. Grant,90,100
4,8:33.0,D. White makes free throw 2 of 2,,91,100
4,8:20.0,,D. Schröder misses 2-pt jump shot from 14 ft (block by D. White),91,100
4,8:18.0,Defensive rebound by D. Bertāns,,91,100
4,8:15.0,D. Bertāns misses 3-pt jump shot from 26 ft,,91,100
4,8:10.0,,Defensive rebound by S. Adams,91,100
4,7:55.0,,D. Schröder misses 2-pt jump shot from 13 ft,91,100
4,7:52.0,,Offensive rebound by S. Adams,91,100
4,7:48.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by S. Adams),91,103
4,7:31.0,M. Belinelli makes 3-pt jump shot from 26 ft,,94,103
4,7:19.0,,Personal foul by D. White (drawn by D. Schröder),94,103
4,7:19.0,J. Poeltl enters the game for D. Bertāns,,94,103
4,7:19.0,,R. Westbrook enters the game for H. Diallo,94,103
4,7:05.0,,R. Westbrook misses 2-pt jump shot from 18 ft,94,103
4,7:02.0,Defensive rebound by L. Aldridge,,94,103
4,6:54.0,D. White makes 2-pt layup from 2 ft,,96,103
4,6:30.0,,R. Westbrook makes 3-pt jump shot from 25 ft (assist by D. Schröder),96,106
4,6:05.0,M. Belinelli makes 2-pt jump shot from 13 ft (assist by L. Aldridge),,98,106
4,5:46.0,,Shooting foul by D. White (drawn by S. Adams),98,106
4,5:46.0,,S. Adams makes free throw 1 of 2,98,107
4,5:46.0,,P. George enters the game for A. Nader,98,107
4,5:46.0,,S. Adams makes free throw 2 of 2,98,108
4,5:27.0,L. Aldridge makes 2-pt layup from 2 ft,,100,108
4,5:19.0,,Shooting foul by M. Belinelli (drawn by R. Westbrook),100,108
4,5:19.0,,R. Westbrook makes free throw 1 of 2,100,109
4,5:19.0,P. Mills enters the game for D. DeRozan,,100,109
