QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CHICAGO_ACTION,CHARLOTTE_SCORE,CHICAGO_SCORE
1,6:51.0,,Defensive rebound by J. Holiday,13,9
1,6:37.0,,B. Portis misses 2-pt jump shot from 4 ft,13,9
1,6:34.0,Defensive rebound by C. Zeller,,13,9
1,6:16.0,M. Williams makes 2-pt layup from 3 ft (assist by J. Lamb),,15,9
1,6:16.0,,Chicago full timeout,15,9
1,5:57.0,,C. Payne misses 3-pt jump shot from 26 ft,15,9
1,5:54.0,Defensive rebound by M. Williams,,15,9
1,5:38.0,N. Batum misses 2-pt jump shot from 9 ft (block by W. Carter),,15,9
1,5:34.0,,Defensive rebound by W. Carter,15,9
1,5:29.0,,Z. LaVine misses 2-pt layup from 2 ft,15,9
1,5:27.0,Defensive rebound by K. Walker,,15,9
1,5:24.0,J. Lamb misses 2-pt layup from 4 ft (block by C. Payne),,15,9
1,5:24.0,,Defensive rebound by C. Payne,15,9
1,5:17.0,,Z. LaVine makes 2-pt layup from 2 ft,15,11
1,4:53.0,J. Lamb makes 3-pt jump shot from 23 ft (assist by K. Walker),,18,11
1,4:36.0,,B. Portis misses 3-pt jump shot from 25 ft,18,11
1,4:32.0,Defensive rebound by N. Batum,,18,11
1,4:22.0,C. Zeller misses 2-pt jump shot from 7 ft,,18,11
1,4:19.0,,Defensive rebound by B. Portis,18,11
1,4:15.0,,B. Portis makes 2-pt layup from 1 ft (assist by C. Payne),18,13
1,4:08.0,Charlotte full timeout,,18,13
1,4:08.0,W. Hernangómez enters the game for J. Lamb,,18,13
1,4:08.0,M. Kidd-Gilchrist enters the game for M. Williams,,18,13
1,4:08.0,M. Monk enters the game for C. Zeller,,18,13
1,4:08.0,,R. Arcidiacono enters the game for C. Payne,18,13
1,4:08.0,,J. Parker enters the game for B. Portis,18,13
1,3:51.0,K. Walker makes 3-pt jump shot from 25 ft,,21,13
1,3:47.0,,Offensive foul by Z. LaVine (drawn by N. Batum),21,13
1,3:47.0,,Turnover by Z. LaVine (offensive foul),21,13
1,3:33.0,Def 3 sec tech foul by Team,,21,13
1,3:33.0,K. Walker misses technical free throw,,21,13
1,3:33.0,Offensive rebound by Team,,21,13
1,3:33.0,T. Parker enters the game for K. Walker,,21,13
1,3:24.0,Turnover by N. Batum (bad pass; steal by J. Parker),,21,13
1,3:21.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by R. Arcidiacono),21,15
1,3:02.0,N. Batum misses 3-pt jump shot from 26 ft,,21,15
1,2:59.0,,Defensive rebound by Z. LaVine,21,15
1,2:53.0,,Personal foul by M. Kidd-Gilchrist (drawn by Z. LaVine),21,15
1,2:53.0,,C. Felício enters the game for W. Carter,21,15
1,2:47.0,,Z. LaVine misses 3-pt jump shot from 26 ft,21,15
1,2:44.0,Defensive rebound by W. Hernangómez,,21,15
1,2:38.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by M. Monk),,23,15
1,2:30.0,,Shooting foul by W. Hernangómez (drawn by C. Felício),23,15
1,2:30.0,,C. Felício makes free throw 1 of 2,23,16
1,2:30.0,J. Lamb enters the game for N. Batum,,23,16
1,2:30.0,,A. Blakeney enters the game for Z. LaVine,23,16
1,2:30.0,,C. Felício makes free throw 2 of 2,23,17
1,2:15.0,J. Lamb makes 2-pt layup from 3 ft (assist by M. Kidd-Gilchrist),,25,17
1,2:05.0,,J. Parker makes 2-pt jump shot from 7 ft,25,19
1,1:40.0,T. Parker misses 2-pt jump shot from 16 ft,,25,19
1,1:39.0,,Defensive rebound by J. Holiday,25,19
1,1:39.0,,Personal foul by M. Kidd-Gilchrist (drawn by J. Holiday),25,19
1,1:21.0,,C. Felício makes 2-pt layup from 2 ft (assist by J. Holiday),25,21
1,1:12.0,Personal foul by A. Blakeney (drawn by M. Monk),,25,21
1,1:04.0,W. Hernangómez misses 2-pt dunk at rim,,25,21
1,1:03.0,,Defensive rebound by Team,25,21
1,0:55.0,,J. Holiday misses 3-pt jump shot from 24 ft,25,21
1,0:52.0,Defensive rebound by M. Kidd-Gilchrist,,25,21
1,0:41.0,T. Parker makes 2-pt layup at rim,,27,21
1,0:34.0,,R. Arcidiacono makes 3-pt jump shot from 26 ft,27,24
1,0:15.0,T. Parker misses 2-pt layup from 2 ft,,27,24
1,0:13.0,,Defensive rebound by C. Felício,27,24
1,0:02.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,27,24
1,0:02.0,Defensive rebound by W. Hernangómez,,27,24
1,0:00.0,M. Monk misses 3-pt jump shot from 50 ft,,27,24
1,0:00.0,Offensive rebound by Team,,27,24
2,11:41.0,,J. Parker misses 2-pt jump shot from 19 ft,27,24
2,11:35.0,,Offensive rebound by C. Felício,27,24
2,11:35.0,,C. Felício makes 2-pt layup from 1 ft,27,26
2,11:16.0,M. Kidd-Gilchrist misses 2-pt jump shot from 8 ft,,27,26
2,11:14.0,,Defensive rebound by J. Parker,27,26
2,10:57.0,,A. Blakeney misses 3-pt jump shot from 27 ft,27,26
2,10:54.0,,Offensive rebound by C. Felício,27,26
2,10:44.0,,Shooting foul by M. Kidd-Gilchrist (drawn by A. Blakeney),27,26
2,10:44.0,Technical foul by M. Kidd-Gilchrist,,27,26
2,10:44.0,,A. Blakeney makes technical free throw,27,27
2,10:44.0,,A. Blakeney misses free throw 1 of 2,27,27
2,10:44.0,,Offensive rebound by Team,27,27
2,10:44.0,M. Williams enters the game for W. Hernangómez,,27,27
2,10:44.0,C. Zeller enters the game for M. Kidd-Gilchrist,,27,27
2,10:44.0,,A. Blakeney makes free throw 2 of 2,27,28
2,10:30.0,Offensive foul by M. Monk (drawn by R. Arcidiacono),,27,28
2,10:30.0,Turnover by M. Monk (offensive foul),,27,28
2,10:20.0,,Offensive foul by R. Arcidiacono (drawn by T. Parker),27,28
2,10:20.0,,Turnover by R. Arcidiacono (offensive foul),27,28
2,9:59.0,C. Zeller makes 2-pt dunk from 2 ft (assist by M. Monk),,29,28
2,9:43.0,,C. Hutchison misses 3-pt jump shot from 26 ft,29,28
2,9:40.0,Defensive rebound by T. Parker,,29,28
2,9:32.0,T. Parker makes 2-pt jump shot from 12 ft,,31,28
2,9:18.0,,C. Hutchison makes 2-pt dunk from 2 ft (assist by R. Arcidiacono),31,30
2,9:06.0,T. Parker makes 2-pt jump shot from 18 ft,,33,30
2,8:55.0,,J. Parker makes 2-pt jump shot from 12 ft,33,32
2,8:55.0,,Shooting foul by M. Williams (drawn by J. Parker),33,32
2,8:55.0,,J. Parker makes free throw 1 of 1,33,33
2,8:42.0,M. Monk misses 3-pt jump shot from 26 ft,,33,33
2,8:38.0,,Defensive rebound by J. Parker,33,33
2,8:35.0,,C. Hutchison makes 2-pt layup from 1 ft (assist by J. Parker),33,35
2,8:35.0,Charlotte full timeout,,33,35
2,8:35.0,N. Batum enters the game for J. Lamb,,33,35
2,8:35.0,K. Walker enters the game for T. Parker,,33,35
2,8:21.0,M. Williams misses 3-pt jump shot from 27 ft,,33,35
2,8:18.0,,Defensive rebound by C. Felício,33,35
2,8:08.0,,C. Hutchison makes 2-pt jump shot from 9 ft (assist by J. Parker),33,37
2,7:46.0,M. Williams misses 2-pt jump shot from 4 ft,,33,37
2,7:44.0,,Defensive rebound by C. Felício,33,37
2,7:27.0,,A. Blakeney makes 2-pt jump shot from 18 ft,33,39
2,7:06.0,K. Walker misses 3-pt jump shot from 26 ft,,33,39
2,7:03.0,,Defensive rebound by C. Hutchison,33,39
2,6:52.0,,C. Hutchison makes 2-pt jump shot from 6 ft (assist by A. Blakeney),33,41
2,6:38.0,Personal foul by R. Arcidiacono (drawn by M. Monk),,33,41
2,6:38.0,,W. Carter enters the game for C. Felício,33,41
2,6:30.0,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),,35,41
2,6:19.0,,J. Parker misses 3-pt jump shot from 22 ft,35,41
2,6:16.0,Defensive rebound by C. Zeller,,35,41
2,6:04.0,M. Monk makes 3-pt jump shot from 25 ft (assist by N. Batum),,38,41
2,5:37.0,,Shooting foul by K. Walker (drawn by R. Arcidiacono),38,41
2,5:37.0,,R. Arcidiacono makes free throw 1 of 3,38,42
2,5:37.0,,J. Holiday enters the game for A. Blakeney,38,42
2,5:37.0,,Z. LaVine enters the game for C. Hutchison,38,42
2,5:37.0,,R. Arcidiacono makes free throw 2 of 3,38,43
2,5:37.0,,R. Arcidiacono makes free throw 3 of 3,38,44
2,5:23.0,M. Williams makes 2-pt layup from 2 ft (assist by C. Zeller),,40,44
2,5:02.0,,J. Parker misses 3-pt jump shot from 26 ft,40,44
2,4:59.0,Defensive rebound by N. Batum,,40,44
2,4:39.0,K. Walker misses 2-pt jump shot from 8 ft,,40,44
2,4:39.0,,Defensive rebound by R. Arcidiacono,40,44
2,4:33.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by J. Parker),40,46
2,4:31.0,Technical foul by K. Walker,,40,46
2,4:31.0,,Z. LaVine misses technical free throw,40,46
2,4:31.0,Defensive rebound by Team,,40,46
2,4:31.0,,Technical foul by J. Triano,40,46
2,4:31.0,,Z. LaVine makes technical free throw,40,47
2,4:31.0,J. Lamb enters the game for M. Monk,,40,47
2,4:31.0,,C. Payne enters the game for R. Arcidiacono,40,47
2,4:17.0,C. Zeller makes 2-pt layup from 3 ft (assist by J. Lamb),,42,47
2,4:09.0,,Shooting foul by J. Lamb (drawn by J. Parker),42,47
2,4:09.0,,J. Parker makes free throw 1 of 2,42,48
2,4:09.0,,J. Parker makes free throw 2 of 2,42,49
2,4:00.0,Shooting foul by C. Payne (drawn by K. Walker),,42,49
2,4:00.0,K. Walker makes free throw 1 of 2,,43,49
2,4:00.0,K. Walker makes free throw 2 of 2,,44,49
2,3:37.0,,W. Carter misses 2-pt jump shot from 5 ft,44,49
2,3:35.0,Defensive rebound by J. Lamb,,44,49
2,3:27.0,M. Williams misses 2-pt layup from 4 ft,,44,49
2,3:25.0,,Defensive rebound by J. Parker,44,49
2,3:21.0,,Z. LaVine misses 2-pt layup from 2 ft (block by K. Walker),44,49
2,3:20.0,,Offensive rebound by Z. LaVine,44,49
2,3:17.0,,Z. LaVine misses 2-pt layup from 1 ft,44,49
2,3:15.0,,Offensive rebound by W. Carter,44,49
2,3:15.0,,W. Carter misses 2-pt layup from 2 ft,44,49
2,3:14.0,,Offensive rebound by W. Carter,44,49
2,3:13.0,,W. Carter misses 2-pt layup from 1 ft (block by N. Batum),44,49
2,3:11.0,Defensive rebound by M. Williams,,44,49
2,2:59.0,K. Walker misses 3-pt jump shot from 26 ft,,44,49
2,2:55.0,,Defensive rebound by J. Parker,44,49
2,2:38.0,,J. Parker makes 2-pt jump shot from 5 ft (assist by Z. LaVine),44,51
2,2:21.0,K. Walker makes 3-pt jump shot from 25 ft,,47,51
2,2:20.0,,Chicago full timeout,47,51
2,2:20.0,,B. Portis enters the game for J. Parker,47,51
2,2:13.0,,Offensive foul by Z. LaVine (drawn by K. Walker),47,51
2,2:13.0,,Turnover by Z. LaVine (offensive foul),47,51
2,1:58.0,N. Batum misses 3-pt jump shot from 25 ft,,47,51
2,1:55.0,,Defensive rebound by B. Portis,47,51
2,1:49.0,,Z. LaVine misses 2-pt layup from 1 ft (block by J. Lamb),47,51
2,1:49.0,,Offensive rebound by Team,47,51
2,1:45.0,,J. Holiday misses 2-pt jump shot from 4 ft,47,51
2,1:41.0,Defensive rebound by M. Williams,,47,51
2,1:34.0,J. Lamb misses 2-pt layup from 1 ft,,47,51
2,1:27.0,,Defensive rebound by C. Payne,47,51
2,1:23.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by W. Carter),47,54
2,1:07.0,Shooting foul by W. Carter (drawn by C. Zeller),,47,54
2,1:07.0,C. Zeller makes free throw 1 of 2,,48,54
2,1:07.0,C. Zeller makes free throw 2 of 2,,49,54
2,0:46.0,,J. Holiday misses 3-pt jump shot from 25 ft,49,54
2,0:43.0,,Offensive rebound by B. Portis,49,54
2,0:42.0,,C. Payne misses 3-pt jump shot from 26 ft,49,54
2,0:42.0,Defensive rebound by Team,,49,54
2,0:42.0,,Loose ball foul by W. Carter (drawn by C. Zeller),49,54
2,0:42.0,C. Zeller makes free throw 1 of 2,,50,54
2,0:42.0,C. Zeller makes free throw 2 of 2,,51,54
2,0:28.0,,B. Portis misses 2-pt jump shot from 7 ft,51,54
2,0:26.0,Defensive rebound by J. Lamb,,51,54
2,0:07.0,Shooting foul by C. Payne (drawn by K. Walker),,51,54
2,0:07.0,K. Walker makes free throw 1 of 2,,52,54
2,0:07.0,M. Bridges enters the game for M. Williams,,52,54
2,0:07.0,K. Walker makes free throw 2 of 2,,53,54
2,0:00.0,,Turnover by C. Payne (bad pass; steal by N. Batum),53,54
3,11:39.0,,C. Payne misses 3-pt jump shot from 24 ft,53,54
3,11:35.0,Defensive rebound by J. Lamb,,53,54
3,11:26.0,J. Lamb makes 2-pt jump shot from 5 ft,,55,54
3,11:05.0,,W. Carter misses 2-pt jump shot from 17 ft,55,54
3,11:02.0,Defensive rebound by M. Williams,,55,54
3,10:53.0,J. Lamb misses 3-pt jump shot from 24 ft,,55,54
3,10:51.0,,Defensive rebound by B. Portis,55,54
3,10:41.0,,C. Payne makes 3-pt jump shot from 22 ft (assist by Z. LaVine),55,57
3,10:41.0,W. Hernangómez enters the game for C. Zeller,,55,57
3,10:17.0,K. Walker misses 2-pt layup from 1 ft,,55,57
3,10:14.0,,Defensive rebound by B. Portis,55,57
3,10:11.0,,J. Holiday misses 3-pt jump shot from 26 ft,55,57
3,10:07.0,Defensive rebound by W. Hernangómez,,55,57
3,9:59.0,N. Batum makes 2-pt dunk from 1 ft,,57,57
3,9:41.0,,W. Carter makes 2-pt jump shot from 10 ft (assist by Z. LaVine),57,59
3,9:14.0,M. Williams misses 3-pt jump shot from 25 ft,,57,59
3,9:11.0,Offensive rebound by M. Williams,,57,59
3,9:10.0,M. Williams misses 2-pt jump shot from 5 ft,,57,59
3,9:10.0,Offensive rebound by W. Hernangómez,,57,59
3,9:10.0,Shooting foul by B. Portis (drawn by W. Hernangómez),,57,59
3,9:10.0,W. Hernangómez makes free throw 1 of 2,,58,59
3,9:10.0,W. Hernangómez misses free throw 2 of 2,,58,59
3,9:07.0,,Defensive rebound by W. Carter,58,59
3,8:55.0,,C. Payne misses 2-pt jump shot from 11 ft,58,59
3,8:50.0,,Offensive rebound by C. Payne,58,59
3,8:43.0,,W. Carter makes 2-pt hook shot from 4 ft,58,61
3,8:23.0,J. Lamb makes 2-pt layup from 2 ft,,60,61
3,8:08.0,,Z. LaVine makes 2-pt layup from 2 ft,60,63
3,7:52.0,N. Batum makes 2-pt jump shot from 15 ft,,62,63
3,7:35.0,,Shooting foul by K. Walker (drawn by Z. LaVine),62,63
3,7:35.0,,Z. LaVine makes free throw 1 of 2,62,64
3,7:35.0,M. Kidd-Gilchrist enters the game for M. Williams,,62,64
3,7:35.0,,Z. LaVine makes free throw 2 of 2,62,65
3,7:26.0,Personal foul by J. Holiday (drawn by N. Batum),,62,65
3,7:23.0,N. Batum makes 2-pt jump shot from 24 ft (assist by M. Kidd-Gilchrist),,64,65
3,7:23.0,Shooting foul by J. Holiday (drawn by N. Batum),,64,65
3,7:23.0,N. Batum misses free throw 1 of 1,,64,65
3,7:23.0,,Defensive rebound by B. Portis,64,65
3,7:09.0,,B. Portis makes 2-pt dunk from 1 ft (assist by C. Payne),64,67
3,6:49.0,N. Batum misses 2-pt jump shot from 22 ft,,64,67
3,6:46.0,,Defensive rebound by J. Holiday,64,67
3,6:43.0,,J. Holiday misses 3-pt jump shot from 26 ft,64,67
3,6:39.0,,Offensive rebound by Team,64,67
3,6:39.0,,Chicago full timeout,64,67
3,6:39.0,M. Monk enters the game for N. Batum,,64,67
3,6:33.0,,Offensive foul by B. Portis (drawn by M. Kidd-Gilchrist),64,67
3,6:33.0,,Turnover by B. Portis (offensive foul),64,67
3,6:22.0,Shooting foul by Z. LaVine (drawn by W. Hernangómez),,64,67
3,6:22.0,W. Hernangómez makes free throw 1 of 2,,65,67
3,6:22.0,W. Hernangómez makes free throw 2 of 2,,66,67
3,6:07.0,,C. Payne makes 3-pt jump shot from 24 ft (assist by Z. LaVine),66,70
3,5:53.0,M. Kidd-Gilchrist makes 3-pt jump shot from 23 ft (assist by K. Walker),,69,70
3,5:32.0,,Z. LaVine misses 3-pt jump shot from 25 ft,69,70
3,5:28.0,Defensive rebound by W. Hernangómez,,69,70
3,5:21.0,K. Walker misses 3-pt jump shot from 25 ft,,69,70
3,5:18.0,,Defensive rebound by J. Holiday,69,70
3,5:12.0,,C. Payne makes 3-pt jump shot from 26 ft (assist by B. Portis),69,73
3,4:58.0,Personal foul by W. Carter (drawn by W. Hernangómez),,69,73
3,4:58.0,W. Hernangómez makes free throw 1 of 2,,70,73
3,4:58.0,,C. Felício enters the game for W. Carter,70,73
3,4:58.0,,J. Parker enters the game for B. Portis,70,73
3,4:58.0,W. Hernangómez makes free throw 2 of 2,,71,73
3,4:40.0,,Z. LaVine makes 2-pt dunk from 1 ft,71,75
3,4:38.0,Charlotte full timeout,,71,75
3,4:21.0,M. Kidd-Gilchrist makes 3-pt jump shot from 23 ft (assist by K. Walker),,74,75
3,4:03.0,,Shooting foul by J. Lamb (drawn by Z. LaVine),74,75
3,4:03.0,,C. Hutchison enters the game for J. Holiday,74,75
3,4:03.0,,Z. LaVine makes free throw 1 of 2,74,76
3,4:03.0,,Z. LaVine makes free throw 2 of 2,74,77
3,3:40.0,Turnover by M. Monk (lost ball; steal by C. Felício),,74,77
3,3:35.0,,C. Payne makes 3-pt jump shot from 22 ft (assist by Z. LaVine),74,80
3,3:11.0,M. Monk misses 3-pt jump shot from 23 ft,,74,80
3,3:04.0,,Defensive rebound by J. Parker,74,80
3,2:59.0,,Shooting foul by W. Hernangómez (drawn by Z. LaVine),74,80
3,2:59.0,,Z. LaVine makes free throw 1 of 2,74,81
3,2:59.0,,Z. LaVine makes free throw 2 of 2,74,82
3,2:47.0,Turnover by K. Walker (bad pass; steal by J. Parker),,74,82
3,2:40.0,,C. Payne makes 3-pt jump shot from 26 ft (assist by J. Parker),74,85
3,2:24.0,K. Walker misses 3-pt jump shot from 26 ft,,74,85
3,2:20.0,,Defensive rebound by J. Parker,74,85
3,2:18.0,,Turnover by J. Parker (bad pass; steal by K. Walker),74,85
3,2:14.0,M. Monk misses 3-pt jump shot from 26 ft,,74,85
3,2:10.0,Offensive rebound by Team,,74,85
3,2:10.0,N. Batum enters the game for W. Hernangómez,,74,85
3,2:10.0,C. Zeller enters the game for J. Lamb,,74,85
3,2:01.0,M. Monk misses 2-pt layup from 1 ft,,74,85
3,1:57.0,Offensive rebound by C. Zeller,,74,85
3,1:57.0,C. Zeller makes 2-pt layup from 1 ft,,76,85
3,1:45.0,,Z. LaVine misses 3-pt jump shot from 25 ft,76,85
3,1:43.0,Defensive rebound by C. Zeller,,76,85
3,1:35.0,K. Walker misses 3-pt jump shot from 25 ft,,76,85
3,1:33.0,,Defensive rebound by J. Parker,76,85
3,1:33.0,T. Parker enters the game for K. Walker,,76,85
3,1:33.0,,R. Arcidiacono enters the game for C. Payne,76,85
3,1:29.0,,Shooting foul by M. Monk (drawn by C. Felício),76,85
3,1:29.0,,C. Felício misses free throw 1 of 2,76,85
3,1:29.0,,Offensive rebound by Team,76,85
3,1:29.0,,C. Felício makes free throw 2 of 2,76,86
3,1:15.0,N. Batum makes 2-pt jump shot from 22 ft (assist by C. Zeller),,78,86
3,1:01.0,,Shooting foul by M. Kidd-Gilchrist (drawn by Z. LaVine),78,86
3,1:01.0,,Z. LaVine makes free throw 1 of 2,78,87
3,1:01.0,,Z. LaVine makes free throw 2 of 2,78,88
3,0:51.0,Shooting foul by Z. LaVine (drawn by M. Monk),,78,88
3,0:51.0,M. Monk makes free throw 1 of 2,,79,88
3,0:51.0,M. Bridges enters the game for C. Zeller,,79,88
3,0:51.0,,J. Holiday enters the game for Z. LaVine,79,88
3,0:51.0,M. Monk makes free throw 2 of 2,,80,88
3,0:34.0,Violation by Team (kicked ball),,80,88
3,0:28.0,,C. Felício misses 2-pt layup from 1 ft,80,88
3,0:26.0,Defensive rebound by M. Monk,,80,88
3,0:04.0,M. Bridges misses 3-pt jump shot from 26 ft,,80,88
3,0:04.0,Offensive rebound by Team,,80,88
3,0:04.0,Turnover by Team (shot clock),,80,88
3,0:03.0,,Turnover by C. Hutchison (out of bounds lost ball),80,88
3,0:03.0,K. Walker enters the game for M. Bridges,,80,88
3,0:03.0,M. Williams enters the game for M. Kidd-Gilchrist,,80,88
3,0:01.0,M. Monk makes 2-pt layup from 2 ft (assist by T. Parker),,82,88
4,11:41.0,M. Bridges makes 2-pt layup from 3 ft (assist by M. Monk),,84,88
4,11:41.0,Shooting foul by C. Felício (drawn by M. Bridges),,84,88
4,11:41.0,M. Bridges makes free throw 1 of 1,,85,88
4,11:23.0,,Offensive foul by R. Arcidiacono (drawn by M. Kidd-Gilchrist),85,88
4,11:23.0,,Turnover by R. Arcidiacono (offensive foul),85,88
4,11:11.0,T. Parker makes 2-pt jump shot from 20 ft (assist by N. Batum),,87,88
4,11:00.0,,Turnover by J. Parker (bad pass),87,88
4,10:48.0,T. Parker misses 2-pt jump shot from 18 ft,,87,88
4,10:45.0,Offensive rebound by M. Kidd-Gilchrist,,87,88
4,10:36.0,T. Parker makes 2-pt jump shot from 12 ft,,89,88
4,10:35.0,,Chicago full timeout,89,88
4,10:35.0,,B. Portis enters the game for C. Felício,89,88
4,10:19.0,,J. Parker misses 2-pt jump shot from 16 ft,89,88
4,10:18.0,,Offensive rebound by Team,89,88
4,10:18.0,Loose ball foul by M. Kidd-Gilchrist (drawn by B. Portis),,89,88
4,10:05.0,,Shooting foul by M. Monk (drawn by R. Arcidiacono),89,88
4,10:05.0,,R. Arcidiacono makes free throw 1 of 2,89,89
4,10:05.0,M. Williams enters the game for M. Kidd-Gilchrist,,89,89
4,10:05.0,,R. Arcidiacono makes free throw 2 of 2,89,90
4,9:50.0,M. Bridges makes 2-pt layup from 1 ft (assist by N. Batum),,91,90
4,9:39.0,,R. Arcidiacono makes 2-pt layup from 2 ft,91,92
4,9:26.0,Shooting foul by B. Portis (drawn by M. Monk),,91,92
4,9:26.0,M. Monk makes free throw 1 of 2,,92,92
4,9:26.0,,Z. LaVine enters the game for C. Hutchison,92,92
4,9:26.0,M. Monk makes free throw 2 of 2,,93,92
4,9:12.0,,Shooting foul by M. Monk (drawn by J. Parker),93,92
4,9:12.0,,J. Parker makes free throw 1 of 2,93,93
4,9:12.0,,J. Parker makes free throw 2 of 2,93,94
4,8:57.0,N. Batum misses 2-pt jump shot from 5 ft,,93,94
4,8:55.0,,Defensive rebound by Z. LaVine,93,94
4,8:49.0,,Turnover by J. Parker (bad pass; steal by M. Williams),93,94
4,8:35.0,N. Batum misses 3-pt jump shot from 26 ft,,93,94
4,8:31.0,,Defensive rebound by B. Portis,93,94
4,8:15.0,,Z. LaVine misses 2-pt layup from 3 ft (block by M. Williams),93,94
4,8:12.0,Defensive rebound by M. Bridges,,93,94
4,8:08.0,N. Batum makes 2-pt dunk from 2 ft (assist by T. Parker),,95,94
4,8:01.0,,Chicago full timeout,95,94
4,8:01.0,K. Walker enters the game for M. Monk,,95,94
4,8:01.0,,W. Carter enters the game for R. Arcidiacono,95,94
4,8:01.0,,C. Payne enters the game for B. Portis,95,94
4,7:41.0,,C. Payne makes 3-pt jump shot from 26 ft (assist by W. Carter),95,97
4,7:16.0,T. Parker misses 3-pt jump shot from 24 ft,,95,97
4,7:14.0,,Defensive rebound by W. Carter,95,97
4,7:00.0,,C. Payne misses 3-pt jump shot from 25 ft,95,97
4,6:56.0,Defensive rebound by M. Williams,,95,97
4,6:37.0,Shooting foul by J. Holiday (drawn by K. Walker),,95,97
4,6:37.0,K. Walker makes free throw 1 of 2,,96,97
4,6:37.0,K. Walker makes free throw 2 of 2,,97,97
4,6:18.0,,Z. LaVine misses 2-pt layup from 3 ft (block by M. Bridges),97,97
4,6:18.0,Defensive rebound by N. Batum,,97,97
4,6:13.0,N. Batum misses 3-pt jump shot from 25 ft,,97,97
4,6:10.0,Offensive rebound by M. Williams,,97,97
4,6:07.0,K. Walker makes 3-pt jump shot from 24 ft (assist by M. Williams),,100,97
4,5:55.0,,Shooting foul by T. Parker (drawn by W. Carter),100,97
4,5:55.0,,W. Carter misses free throw 1 of 2,100,97
4,5:55.0,,Offensive rebound by Team,100,97
4,5:55.0,,W. Carter makes free throw 2 of 2,100,98
4,5:35.0,M. Williams makes 3-pt jump shot from 23 ft (assist by K. Walker),,103,98
4,5:21.0,,J. Holiday misses 3-pt jump shot from 25 ft,103,98
4,5:20.0,,Offensive rebound by Team,103,98
4,5:13.0,,Z. LaVine misses 3-pt jump shot from 24 ft,103,98
4,5:11.0,Defensive rebound by T. Parker,,103,98
4,4:54.0,Turnover by N. Batum (lost ball; steal by C. Payne),,103,98
4,4:38.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by J. Holiday),103,100
4,4:38.0,Charlotte full timeout,,103,100
4,4:26.0,K. Walker misses 2-pt jump shot from 18 ft,,103,100
4,4:23.0,,Defensive rebound by J. Parker,103,100
4,4:10.0,,Z. LaVine makes 2-pt dunk from 1 ft,103,102
4,3:53.0,K. Walker makes 2-pt layup from 1 ft,,105,102
