QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
2,1:04.0,C. Joseph enters the game for V. Oladipo,,61,39
2,1:04.0,,J. Jones enters the game for C. Osman,61,39
2,0:54.0,B. Bogdanović misses 2-pt layup from 5 ft (block by T. Thompson),,61,39
2,0:54.0,Offensive rebound by Team,,61,39
2,0:51.0,B. Bogdanović misses 2-pt jump shot from 7 ft,,61,39
2,0:48.0,Offensive rebound by B. Bogdanović,,61,39
2,0:48.0,B. Bogdanović makes 2-pt layup at rim,,63,39
2,0:35.0,,T. Thompson makes 2-pt hook shot from 5 ft (assist by C. Sexton),63,41
2,0:27.0,D. Sabonis misses 2-pt jump shot from 21 ft,,63,41
2,0:26.0,,Defensive rebound by Team,63,41
2,0:03.0,,C. Sexton makes 2-pt jump shot from 14 ft,63,43
2,0:00.0,C. Joseph misses 3-pt jump shot from 33 ft,,63,43
2,0:00.0,Offensive rebound by Team,,63,43
3,11:44.0,D. Collison misses 2-pt jump shot from 12 ft,,63,43
3,11:42.0,Offensive rebound by D. Sabonis,,63,43
3,11:30.0,D. Sabonis makes 2-pt jump shot from 16 ft (assist by V. Oladipo),,65,43
3,11:13.0,,Offensive foul by C. Sexton (drawn by V. Oladipo),65,43
3,11:13.0,,Turnover by C. Sexton (offensive foul),65,43
3,11:04.0,V. Oladipo makes 2-pt jump shot from 15 ft (assist by D. Collison),,67,43
3,10:49.0,,Shooting foul by T. Young (drawn by C. Frye),67,43
3,10:49.0,,C. Frye misses free throw 1 of 2,67,43
3,10:49.0,,Offensive rebound by Team,67,43
3,10:49.0,,C. Frye makes free throw 2 of 2,67,44
3,10:39.0,B. Bogdanović makes 3-pt jump shot from 31 ft (assist by D. Collison),,70,44
3,10:20.0,,A. Burks makes 2-pt layup from 2 ft (assist by T. Thompson),70,46
3,10:06.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,70,46
3,10:04.0,,Defensive rebound by T. Thompson,70,46
3,9:58.0,,Shooting foul by D. Collison (drawn by C. Sexton),70,46
3,9:58.0,,C. Sexton makes free throw 1 of 2,70,47
3,9:58.0,,C. Sexton makes free throw 2 of 2,70,48
3,9:47.0,T. Young makes 2-pt layup from 1 ft (assist by D. Collison),,72,48
3,9:31.0,,A. Burks makes 3-pt jump shot from 26 ft (assist by T. Thompson),72,51
3,9:12.0,T. Young makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,75,51
3,8:57.0,,C. Frye makes 3-pt jump shot from 28 ft (assist by C. Osman),75,54
3,8:36.0,D. Collison makes 2-pt jump shot from 16 ft,,77,54
3,8:22.0,,T. Thompson makes 2-pt hook shot from 8 ft (assist by C. Sexton),77,56
3,8:11.0,Shooting foul by A. Burks (drawn by V. Oladipo),,77,56
3,8:11.0,V. Oladipo makes free throw 1 of 2,,78,56
3,8:11.0,V. Oladipo makes free throw 2 of 2,,79,56
3,7:54.0,,T. Thompson misses 2-pt hook shot from 1 ft,79,56
3,7:54.0,,Offensive rebound by Team,79,56
3,7:41.0,,A. Burks makes 3-pt jump shot from 23 ft (assist by C. Frye),79,59
3,7:23.0,T. Young makes 3-pt jump shot from 25 ft (assist by D. Collison),,82,59
3,6:53.0,,C. Frye makes 3-pt jump shot from 29 ft (assist by T. Thompson),82,62
3,6:36.0,T. Young makes 3-pt jump shot from 25 ft (assist by D. Collison),,85,62
3,6:09.0,,C. Sexton misses 3-pt jump shot from 27 ft,85,62
3,6:06.0,Defensive rebound by V. Oladipo,,85,62
3,5:57.0,D. Sabonis misses 2-pt hook shot from 1 ft,,85,62
3,5:54.0,,Defensive rebound by T. Thompson,85,62
3,5:44.0,,Shooting foul by V. Oladipo (drawn by T. Thompson),85,62
3,5:44.0,,Cleveland full timeout,85,62
3,5:44.0,,T. Thompson makes free throw 1 of 2,85,63
3,5:44.0,,T. Thompson makes free throw 2 of 2,85,64
3,5:27.0,D. Collison makes 2-pt jump shot from 17 ft,,87,64
3,5:06.0,,C. Osman misses 3-pt jump shot from 25 ft,87,64
3,5:03.0,Defensive rebound by T. Young,,87,64
3,4:56.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,87,64
3,4:55.0,,Defensive rebound by A. Burks,87,64
3,4:50.0,,C. Osman misses 2-pt layup from 1 ft,87,64
3,4:49.0,Defensive rebound by V. Oladipo,,87,64
3,4:49.0,,J. Clarkson enters the game for C. Frye,87,64
3,4:49.0,,M. Dellavedova enters the game for C. Sexton,87,64
3,4:40.0,V. Oladipo misses 3-pt jump shot from 26 ft,,87,64
3,4:36.0,,Defensive rebound by C. Osman,87,64
3,4:25.0,,T. Thompson makes 2-pt hook shot from 10 ft,87,66
3,4:13.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,87,66
3,4:11.0,,Defensive rebound by T. Thompson,87,66
3,3:53.0,,J. Clarkson makes 2-pt jump shot from 10 ft,87,68
3,3:53.0,Indiana full timeout,,87,68
3,3:53.0,C. Joseph enters the game for B. Bogdanović,,87,68
3,3:53.0,,C. Payne enters the game for A. Burks,87,68
3,3:34.0,T. Young misses 2-pt hook shot from 10 ft,,87,68
3,3:32.0,,Defensive rebound by T. Thompson,87,68
3,3:25.0,,J. Clarkson makes 2-pt jump shot from 6 ft,87,70
3,3:00.0,D. Collison makes 2-pt jump shot from 17 ft,,89,70
3,2:33.0,,Shooting foul by D. Sabonis (drawn by T. Thompson),89,70
3,2:33.0,,T. Thompson makes free throw 1 of 2,89,71
3,2:33.0,D. McDermott enters the game for T. Young,,89,71
3,2:33.0,,T. Thompson misses free throw 2 of 2,89,71
3,2:31.0,Defensive rebound by D. Sabonis,,89,71
3,2:20.0,C. Joseph misses 3-pt jump shot from 26 ft,,89,71
3,2:17.0,,Defensive rebound by T. Thompson,89,71
3,2:07.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,89,71
3,2:04.0,Defensive rebound by D. Collison,,89,71
3,1:54.0,Turnover by V. Oladipo (bad pass; steal by J. Clarkson),,89,71
3,1:50.0,,J. Clarkson makes 2-pt layup from 11 ft (assist by C. Osman),89,73
3,1:50.0,Indiana full timeout,,89,73
3,1:50.0,T. Evans enters the game for D. Collison,,89,73
3,1:50.0,T. Leaf enters the game for V. Oladipo,,89,73
3,1:50.0,K. O'Quinn enters the game for D. Sabonis,,89,73
3,1:50.0,,J. Jones enters the game for C. Osman,89,73
3,1:38.0,Turnover by K. O'Quinn (bad pass),,89,73
3,1:19.0,,T. Thompson makes 2-pt layup from 3 ft (assist by C. Payne),89,75
3,0:55.0,C. Joseph makes 2-pt layup from 1 ft (assist by K. O'Quinn),,91,75
3,0:45.0,,J. Clarkson makes 2-pt layup from 2 ft (assist by M. Dellavedova),91,77
3,0:37.0,Personal foul by J. Clarkson (drawn by D. McDermott),,91,77
3,0:22.0,T. Evans misses 2-pt jump shot from 16 ft,,91,77
3,0:21.0,Offensive rebound by Team,,91,77
3,0:21.0,,Loose ball foul by J. Jones (drawn by T. Leaf),91,77
3,0:21.0,T. Leaf misses free throw 1 of 2,,91,77
3,0:21.0,Offensive rebound by Team,,91,77
3,0:21.0,T. Leaf makes free throw 2 of 2,,92,77
3,0:02.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by M. Dellavedova),92,79
3,0:00.0,C. Joseph misses 2-pt layup from 2 ft,,92,79
3,0:00.0,Offensive rebound by Team,,92,79
4,11:50.0,,Turnover by M. Dellavedova (bad pass),92,79
4,11:27.0,T. Evans makes 2-pt layup from 2 ft (assist by T. Leaf),,94,79
4,11:11.0,,C. Payne misses 2-pt layup from 1 ft,94,79
