QUARTER,TIME_REMAINING,DETROIT_ACTION,SAN ANTONIO_ACTION,DETROIT_SCORE,SAN ANTONIO_SCORE
2,10:53.0,,Defensive rebound by D. Bertāns,27,32
2,10:51.0,,R. Gay misses 2-pt layup at rim,27,32
2,10:49.0,Defensive rebound by Z. Pachulia,,27,32
2,10:39.0,T. Maker misses 2-pt jump shot from 18 ft,,27,32
2,10:35.0,,Defensive rebound by P. Mills,27,32
2,10:29.0,,Personal foul by I. Smith (drawn by J. Poeltl),27,32
2,10:25.0,,Turnover by P. Mills (out of bounds lost ball),27,32
2,10:14.0,Shooting foul by J. Poeltl (drawn by Z. Pachulia),,27,32
2,10:14.0,Z. Pachulia makes free throw 1 of 2,,28,32
2,10:14.0,Z. Pachulia misses free throw 2 of 2,,28,32
2,10:12.0,,Defensive rebound by J. Poeltl,28,32
2,9:53.0,,M. Belinelli misses 3-pt jump shot from 25 ft,28,32
2,9:49.0,Defensive rebound by I. Smith,,28,32
2,9:30.0,T. Maker misses 2-pt jump shot from 8 ft,,28,32
2,9:30.0,Offensive rebound by Team,,28,32
2,9:30.0,,Loose ball foul by R. Gay (drawn by T. Maker),28,32
2,9:30.0,,D. White enters the game for P. Mills,28,32
2,9:17.0,T. Maker misses 2-pt hook shot from 8 ft,,28,32
2,9:14.0,Offensive rebound by Z. Pachulia,,28,32
2,9:14.0,Z. Pachulia misses 2-pt layup at rim,,28,32
2,9:14.0,,Defensive rebound by J. Poeltl,28,32
2,9:14.0,,Personal foul by Z. Pachulia (drawn by J. Poeltl),28,32
2,8:55.0,,D. White misses 2-pt jump shot from 16 ft (block by Z. Pachulia),28,32
2,8:50.0,,Offensive rebound by D. White,28,32
2,8:49.0,,M. Belinelli makes 2-pt layup from 1 ft (assist by D. White),28,34
2,8:41.0,Z. Pachulia misses 2-pt jump shot from 17 ft,,28,34
2,8:41.0,,Defensive rebound by M. Belinelli,28,34
2,8:33.0,,M. Belinelli misses 2-pt jump shot from 19 ft,28,34
2,8:30.0,Defensive rebound by T. Maker,,28,34
2,8:27.0,Detroit full timeout,,28,34
2,8:27.0,B. Griffin enters the game for Z. Pachulia,,28,34
2,8:27.0,,L. Aldridge enters the game for M. Belinelli,28,34
2,8:27.0,,D. DeRozan enters the game for R. Gay,28,34
2,8:12.0,B. Griffin misses 2-pt layup from 1 ft (block by D. White),,28,34
2,8:11.0,Offensive rebound by B. Griffin,,28,34
2,8:07.0,B. Griffin misses 2-pt layup from 2 ft (block by J. Poeltl),,28,34
2,8:07.0,Offensive rebound by Team,,28,34
2,8:06.0,Turnover by Team (shot clock),,28,34
2,7:56.0,,D. Bertāns misses 3-pt jump shot from 24 ft,28,34
2,7:52.0,Defensive rebound by B. Griffin,,28,34
2,7:42.0,Turnover by L. Kennard (bad pass; steal by D. DeRozan),,28,34
2,7:37.0,,D. DeRozan makes 2-pt layup from 2 ft,28,36
2,7:12.0,B. Griffin makes 3-pt jump shot from 25 ft,,31,36
2,6:57.0,,L. Aldridge misses 2-pt layup from 2 ft,31,36
2,6:57.0,,Offensive rebound by J. Poeltl,31,36
2,6:53.0,,J. Poeltl misses 2-pt layup from 1 ft,31,36
2,6:52.0,Defensive rebound by T. Maker,,31,36
2,6:44.0,T. Maker misses 2-pt hook shot from 5 ft (block by L. Aldridge),,31,36
2,6:44.0,,Defensive rebound by D. DeRozan,31,36
2,6:35.0,,D. DeRozan makes 2-pt jump shot from 10 ft,31,38
2,6:35.0,,Shooting foul by I. Smith (drawn by D. DeRozan),31,38
2,6:35.0,A. Drummond enters the game for T. Maker,,31,38
2,6:35.0,R. Jackson enters the game for I. Smith,,31,38
2,6:35.0,,D. DeRozan makes free throw 1 of 1,31,39
2,6:25.0,R. Jackson misses 3-pt jump shot from 26 ft,,31,39
2,6:22.0,,Defensive rebound by D. Bertāns,31,39
2,6:09.0,,Shooting foul by B. Griffin (drawn by L. Aldridge),31,39
2,6:09.0,,L. Aldridge makes free throw 1 of 2,31,40
2,6:09.0,,L. Aldridge makes free throw 2 of 2,31,41
2,6:04.0,Detroit full timeout,,31,41
2,6:04.0,W. Ellington enters the game for L. Galloway,,31,41
2,6:04.0,,M. Belinelli enters the game for D. Bertāns,31,41
2,5:48.0,A. Drummond misses 2-pt layup from 1 ft,,31,41
2,5:48.0,Offensive rebound by Team,,31,41
2,5:42.0,W. Ellington misses 3-pt jump shot from 25 ft,,31,41
2,5:40.0,,Defensive rebound by D. DeRozan,31,41
2,5:33.0,,D. DeRozan misses 2-pt jump shot from 8 ft,31,41
2,5:31.0,Defensive rebound by A. Drummond,,31,41
2,5:27.0,Turnover by R. Jackson (bad pass; steal by D. White),,31,41
2,5:18.0,,J. Poeltl makes 2-pt layup from 1 ft (assist by D. DeRozan),31,43
2,5:01.0,B. Griffin makes 3-pt jump shot from 25 ft,,34,43
2,4:44.0,,D. White misses 2-pt jump shot from 8 ft,34,43
2,4:44.0,Defensive rebound by A. Drummond,,34,43
2,4:26.0,L. Kennard makes 2-pt jump shot from 9 ft,,36,43
2,4:26.0,,San Antonio full timeout,36,43
2,4:26.0,B. Brown enters the game for L. Kennard,,36,43
2,4:26.0,,R. Gay enters the game for J. Poeltl,36,43
2,4:18.0,,Turnover by R. Gay (lost ball; steal by R. Jackson),36,43
2,4:15.0,B. Brown makes 2-pt dunk from 2 ft (assist by B. Griffin),,38,43
2,3:48.0,,M. Belinelli misses 2-pt layup from 3 ft,38,43
2,3:46.0,Defensive rebound by B. Griffin,,38,43
2,3:43.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by B. Griffin),,41,43
2,3:21.0,,L. Aldridge makes 2-pt jump shot from 6 ft (assist by R. Gay),41,45
2,3:05.0,Def 3 sec tech foul by Team,,41,45
2,3:05.0,R. Jackson makes technical free throw,,42,45
2,3:05.0,,P. Mills enters the game for D. White,42,45
2,2:54.0,Turnover by B. Griffin (bad pass),,42,45
2,2:42.0,,D. DeRozan makes 2-pt jump shot from 10 ft,42,47
2,2:40.0,R. Jackson misses 2-pt layup from 2 ft,,42,47
2,2:27.0,Offensive rebound by A. Drummond,,42,47
2,2:27.0,A. Drummond makes 2-pt layup at rim,,44,47
2,2:14.0,,Turnover by D. DeRozan (bad pass; steal by A. Drummond),44,47
2,2:11.0,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Brown),,46,47
2,1:49.0,,Turnover by P. Mills (lost ball; steal by A. Drummond),46,47
2,1:41.0,R. Jackson misses 3-pt jump shot from 26 ft,,46,47
2,1:37.0,,Defensive rebound by D. DeRozan,46,47
2,1:35.0,,Offensive foul by M. Belinelli (drawn by R. Jackson),46,47
2,1:35.0,,Turnover by M. Belinelli (offensive foul),46,47
2,1:21.0,R. Jackson makes 2-pt jump shot from 10 ft,,48,47
2,1:07.0,,L. Aldridge makes 2-pt jump shot from 12 ft (assist by D. DeRozan),48,49
2,0:56.0,A. Drummond misses 2-pt jump shot from 7 ft,,48,49
2,0:53.0,Offensive rebound by A. Drummond,,48,49
2,0:53.0,A. Drummond misses 2-pt layup at rim,,48,49
2,0:51.0,,Defensive rebound by R. Gay,48,49
2,0:49.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by R. Gay),48,51
2,0:28.0,R. Jackson misses 3-pt jump shot from 22 ft,,48,51
2,0:26.0,,Defensive rebound by M. Belinelli,48,51
2,0:07.0,,L. Aldridge misses 2-pt jump shot from 20 ft,48,51
2,0:04.0,Defensive rebound by W. Ellington,,48,51
2,0:01.0,W. Ellington misses 2-pt layup from 5 ft,,48,51
2,0:01.0,,Defensive rebound by D. DeRozan,48,51
3,11:40.0,,L. Aldridge misses 2-pt jump shot from 21 ft,48,51
3,11:37.0,Defensive rebound by A. Drummond,,48,51
3,11:15.0,B. Griffin misses 2-pt jump shot from 7 ft,,48,51
3,11:13.0,,Defensive rebound by L. Aldridge,48,51
3,11:02.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by D. DeRozan),48,53
3,10:40.0,B. Griffin misses 2-pt hook shot from 7 ft,,48,53
3,10:39.0,Offensive rebound by Team,,48,53
3,10:28.0,R. Jackson misses 3-pt jump shot from 28 ft,,48,53
3,10:24.0,,Defensive rebound by D. DeRozan,48,53
3,10:18.0,,D. DeRozan makes 2-pt jump shot from 12 ft,48,55
3,9:56.0,B. Brown makes 2-pt layup from 1 ft,,50,55
3,9:38.0,,M. Belinelli makes 2-pt jump shot from 13 ft (assist by L. Aldridge),50,57
3,9:25.0,B. Griffin misses 3-pt jump shot from 26 ft,,50,57
3,9:23.0,,Defensive rebound by D. DeRozan,50,57
3,9:14.0,,D. White makes 3-pt jump shot from 25 ft (assist by D. DeRozan),50,60
3,9:11.0,Detroit full timeout,,50,60
3,8:57.0,B. Griffin makes 2-pt dunk from 1 ft (assist by W. Ellington),,52,60
3,8:47.0,,Shooting foul by W. Ellington (drawn by D. DeRozan),52,60
3,8:47.0,,D. DeRozan misses free throw 1 of 2,52,60
3,8:47.0,,Offensive rebound by Team,52,60
3,8:47.0,,D. DeRozan misses free throw 2 of 2,52,60
3,8:44.0,Defensive rebound by B. Griffin,,52,60
3,8:27.0,W. Ellington misses 2-pt jump shot from 19 ft,,52,60
3,8:25.0,,Defensive rebound by D. DeRozan,52,60
3,8:21.0,,Turnover by D. DeRozan (discontinued dribble),52,60
3,8:01.0,R. Jackson makes 3-pt jump shot from 24 ft (assist by B. Griffin),,55,60
3,7:45.0,,D. White makes 2-pt jump shot from 14 ft,55,62
3,7:26.0,Shooting foul by L. Aldridge (drawn by B. Griffin),,55,62
3,7:26.0,B. Griffin makes free throw 1 of 2,,56,62
3,7:26.0,B. Griffin makes free throw 2 of 2,,57,62
3,7:07.0,,L. Aldridge makes 2-pt jump shot from 15 ft,57,64
3,6:57.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by B. Griffin),,60,64
3,6:31.0,,D. DeRozan misses 2-pt jump shot from 7 ft,60,64
3,6:29.0,Defensive rebound by B. Brown,,60,64
3,6:19.0,W. Ellington misses 3-pt jump shot from 26 ft,,60,64
3,6:17.0,,Defensive rebound by D. DeRozan,60,64
3,6:09.0,,Turnover by M. Belinelli (bad pass; steal by A. Drummond),60,64
3,6:03.0,W. Ellington misses 2-pt layup from 5 ft (block by D. White),,60,64
3,6:00.0,,Defensive rebound by J. Poeltl,60,64
3,5:58.0,,San Antonio full timeout,60,64
3,5:58.0,L. Kennard enters the game for W. Ellington,,60,64
3,5:50.0,,Shooting foul by A. Drummond (drawn by D. DeRozan),60,64
3,5:50.0,,D. DeRozan makes free throw 1 of 2,60,65
3,5:50.0,,R. Gay enters the game for J. Poeltl,60,65
3,5:50.0,,P. Mills enters the game for D. White,60,65
3,5:50.0,,D. DeRozan misses free throw 2 of 2,60,65
3,5:47.0,Defensive rebound by B. Griffin,,60,65
3,5:36.0,B. Griffin makes 2-pt layup at rim,,62,65
3,5:19.0,,P. Mills makes 2-pt jump shot from 20 ft (assist by R. Gay),62,67
3,5:02.0,Personal foul by P. Mills (drawn by B. Griffin),,62,67
3,4:55.0,B. Griffin misses 3-pt jump shot from 25 ft,,62,67
3,4:50.0,Offensive rebound by B. Brown,,62,67
3,4:41.0,B. Griffin misses 2-pt layup from 1 ft,,62,67
3,4:38.0,,Defensive rebound by R. Gay,62,67
3,4:26.0,,L. Aldridge makes 2-pt jump shot from 11 ft (assist by R. Gay),62,69
3,4:04.0,L. Kennard misses 3-pt jump shot from 25 ft,,62,69
3,4:01.0,,Defensive rebound by L. Aldridge,62,69
3,3:50.0,,R. Gay misses 3-pt jump shot from 25 ft,62,69
3,3:43.0,,Offensive rebound by L. Aldridge,62,69
3,3:43.0,,L. Aldridge misses 2-pt layup at rim,62,69
3,3:43.0,Defensive rebound by A. Drummond,,62,69
3,3:37.0,R. Jackson makes 2-pt jump shot from 8 ft,,64,69
3,3:17.0,,R. Gay misses 2-pt dunk from 1 ft (block by A. Drummond),64,69
3,3:14.0,,Offensive rebound by P. Mills,64,69
3,3:13.0,,P. Mills makes 3-pt jump shot from 23 ft,64,72
3,2:56.0,R. Jackson misses 2-pt jump shot from 6 ft,,64,72
3,2:54.0,,Defensive rebound by D. DeRozan,64,72
3,2:46.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. DeRozan),64,75
3,2:42.0,Detroit full timeout,,64,75
3,2:42.0,L. Galloway enters the game for B. Brown,,64,75
3,2:42.0,T. Maker enters the game for B. Griffin,,64,75
3,2:42.0,I. Smith enters the game for R. Jackson,,64,75
3,2:42.0,,D. Bertāns enters the game for L. Aldridge,64,75
3,2:42.0,,J. Poeltl enters the game for M. Belinelli,64,75
3,2:29.0,L. Kennard misses 3-pt jump shot from 25 ft,,64,75
3,2:25.0,,Defensive rebound by P. Mills,64,75
3,2:18.0,,P. Mills misses 2-pt jump shot from 18 ft,64,75
3,2:16.0,Defensive rebound by A. Drummond,,64,75
3,2:10.0,,Violation by Team (kicked ball),64,75
3,1:58.0,I. Smith misses 2-pt jump shot from 18 ft,,64,75
3,1:54.0,,Defensive rebound by J. Poeltl,64,75
3,1:46.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by R. Gay),64,78
3,1:25.0,A. Drummond misses 2-pt jump shot from 3 ft,,64,78
3,1:22.0,,Defensive rebound by J. Poeltl,64,78
3,1:20.0,,D. DeRozan misses 2-pt jump shot from 4 ft,64,78
3,1:18.0,,Offensive rebound by D. DeRozan,64,78
3,1:05.0,,Turnover by Team (shot clock),64,78
3,1:05.0,,D. Cunningham enters the game for D. DeRozan,64,78
3,0:50.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by L. Kennard),,67,78
3,0:36.0,,J. Poeltl misses 2-pt layup from 2 ft,67,78
3,0:34.0,Defensive rebound by T. Maker,,67,78
3,0:15.0,I. Smith misses 2-pt jump shot from 21 ft,,67,78
3,0:12.0,,Defensive rebound by D. Cunningham,67,78
3,0:05.0,,Turnover by P. Mills (bad pass; steal by A. Drummond),67,78
3,0:01.0,Personal take foul by D. Bertāns (drawn by L. Galloway),,67,78
3,0:00.0,A. Drummond misses 3-pt jump shot from 27 ft,,67,78
3,0:00.0,Offensive rebound by Team,,67,78
4,11:41.0,L. Galloway makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),,70,78
4,11:30.0,,Shooting foul by T. Maker (drawn by R. Gay),70,78
4,11:30.0,,R. Gay makes free throw 1 of 2,70,79
4,11:30.0,,R. Gay makes free throw 2 of 2,70,80
4,11:11.0,L. Galloway misses 2-pt jump shot from 13 ft,,70,80
4,11:09.0,,Defensive rebound by R. Gay,70,80
4,10:59.0,,R. Gay misses 2-pt jump shot from 10 ft,70,80
4,10:57.0,Defensive rebound by L. Kennard,,70,80
4,10:48.0,L. Kennard makes 2-pt jump shot from 11 ft,,72,80
4,10:31.0,,J. Poeltl makes 2-pt layup from 2 ft (assist by P. Mills),72,82
4,10:26.0,Shooting foul by P. Mills (drawn by I. Smith),,72,82
4,10:26.0,I. Smith makes free throw 1 of 2,,73,82
4,10:26.0,I. Smith makes free throw 2 of 2,,74,82
4,10:09.0,,Turnover by P. Mills (lost ball; steal by L. Kennard),74,82
4,10:06.0,L. Kennard makes 2-pt dunk from 1 ft,,76,82
4,10:04.0,,Turnover by D. Bertāns (bad pass),76,82
4,10:04.0,,L. Aldridge enters the game for R. Gay,76,82
4,10:04.0,,M. Belinelli enters the game for P. Mills,76,82
4,10:04.0,,D. White enters the game for J. Poeltl,76,82
4,9:59.0,T. Maker misses 2-pt jump shot from 21 ft,,76,82
4,9:56.0,,Defensive rebound by D. Bertāns,76,82
4,9:47.0,,D. Cunningham misses 2-pt layup from 2 ft (block by T. Maker),76,82
4,9:43.0,Defensive rebound by I. Smith,,76,82
4,9:42.0,L. Galloway makes 2-pt layup from 1 ft (assist by I. Smith),,78,82
4,9:42.0,,San Antonio full timeout,78,82
4,9:20.0,,L. Aldridge makes 2-pt jump shot from 17 ft,78,84
4,9:05.0,L. Kennard misses 2-pt jump shot from 15 ft,,78,84
4,9:02.0,,Defensive rebound by D. White,78,84
4,8:55.0,,D. White misses 2-pt jump shot from 6 ft,78,84
4,8:53.0,,Offensive rebound by D. White,78,84
4,8:46.0,,D. Cunningham misses 3-pt jump shot from 23 ft,78,84
4,8:43.0,Defensive rebound by I. Smith,,78,84
4,8:31.0,I. Smith makes 3-pt jump shot from 24 ft (assist by L. Galloway),,81,84
4,8:06.0,,L. Aldridge makes 2-pt jump shot from 13 ft,81,86
4,7:46.0,Personal foul by D. Bertāns (drawn by L. Kennard),,81,86
4,7:46.0,A. Drummond enters the game for T. Maker,,81,86
4,7:46.0,B. Griffin enters the game for Z. Pachulia,,81,86
4,7:46.0,,D. DeRozan enters the game for D. Bertāns,81,86
4,7:46.0,,J. Poeltl enters the game for D. Cunningham,81,86
4,7:39.0,I. Smith misses 2-pt layup from 1 ft (block by L. Aldridge),,81,86
4,7:36.0,,Defensive rebound by J. Poeltl,81,86
4,7:31.0,,D. White misses 2-pt jump shot from 8 ft,81,86
4,7:31.0,Defensive rebound by Team,,81,86
4,7:18.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by B. Griffin),,84,86
4,6:59.0,,D. White makes 2-pt jump shot from 6 ft (assist by D. DeRozan),84,88
4,6:41.0,B. Griffin misses 2-pt layup from 1 ft,,84,88
4,6:39.0,,Defensive rebound by J. Poeltl,84,88
4,6:27.0,,D. White misses 3-pt jump shot from 25 ft,84,88
4,6:24.0,Defensive rebound by A. Drummond,,84,88
4,6:08.0,L. Galloway misses 3-pt jump shot from 26 ft,,84,88
4,6:05.0,,Defensive rebound by M. Belinelli,84,88
4,5:47.0,,L. Aldridge misses 2-pt jump shot from 11 ft,84,88
4,5:45.0,Defensive rebound by B. Griffin,,84,88
4,5:32.0,B. Griffin makes 2-pt hook shot from 1 ft,,86,88
4,5:30.0,,San Antonio full timeout,86,88
4,5:30.0,W. Ellington enters the game for L. Galloway,,86,88
4,5:19.0,,D. DeRozan makes 2-pt jump shot from 14 ft,86,90
4,5:05.0,I. Smith makes 2-pt layup from 1 ft,,88,90
4,4:54.0,,D. DeRozan makes 2-pt layup from 2 ft,88,92
4,4:54.0,,Shooting foul by B. Griffin (drawn by D. DeRozan),88,92
4,4:54.0,R. Jackson enters the game for I. Smith,,88,92
4,4:54.0,,D. DeRozan makes free throw 1 of 1,88,93
4,4:35.0,B. Griffin misses 3-pt jump shot from 24 ft,,88,93
4,4:32.0,,Defensive rebound by D. DeRozan,88,93
4,4:21.0,,D. White makes 2-pt layup from 2 ft (assist by D. DeRozan),88,95
4,3:58.0,L. Kennard misses 2-pt layup from 2 ft,,88,95
4,3:56.0,,Defensive rebound by J. Poeltl,88,95
4,3:39.0,,M. Belinelli makes 2-pt jump shot from 16 ft (assist by L. Aldridge),88,97
4,3:38.0,Detroit full timeout,,88,97
4,3:25.0,B. Griffin misses 2-pt layup from 3 ft,,88,97
4,3:20.0,Offensive rebound by A. Drummond,,88,97
4,3:20.0,A. Drummond misses 2-pt layup from 1 ft,,88,97
4,3:19.0,,Defensive rebound by D. DeRozan,88,97
4,3:09.0,,L. Aldridge makes 2-pt jump shot from 15 ft,88,99
4,2:53.0,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Griffin),,91,99
4,2:32.0,,L. Aldridge misses 2-pt jump shot from 15 ft,91,99
4,2:32.0,Defensive rebound by B. Griffin,,91,99
4,2:21.0,A. Drummond misses 2-pt dunk from 1 ft (block by J. Poeltl),,91,99
4,2:21.0,Offensive rebound by Team,,91,99
4,2:12.0,W. Ellington makes 2-pt layup from 1 ft (assist by L. Kennard),,93,99
4,1:51.0,,D. White makes 2-pt jump shot from 16 ft,93,101
4,1:40.0,R. Jackson misses 3-pt jump shot from 25 ft,,93,101
4,1:37.0,,Defensive rebound by D. White,93,101
4,1:24.0,,L. Aldridge makes 2-pt layup from 8 ft (assist by D. White),93,103
4,1:24.0,Detroit full timeout,,93,103
4,1:09.0,A. Drummond misses 2-pt jump shot from 9 ft,,93,103
4,1:07.0,,Defensive rebound by D. DeRozan,93,103
4,0:50.0,,D. White makes 2-pt jump shot from 8 ft (assist by L. Aldridge),93,105
4,0:30.0,R. Jackson misses 3-pt jump shot from 27 ft,,93,105
4,0:27.0,,Defensive rebound by J. Poeltl,93,105
