QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BOSTON_ACTION,CHARLOTTE_SCORE,BOSTON_SCORE
1,4:58.0,,J. Tatum makes 2-pt jump shot from 19 ft (assist by T. Rozier),16,18
1,4:44.0,K. Walker misses 2-pt layup from 2 ft (block by A. Horford),,16,18
1,4:42.0,,Defensive rebound by A. Horford,16,18
1,4:37.0,,T. Rozier makes 2-pt layup from 4 ft (assist by M. Smart),16,20
1,4:28.0,Personal foul by T. Rozier (drawn by M. Kidd-Gilchrist),,16,20
1,4:28.0,M. Bridges enters the game for J. Lamb,,16,20
1,4:10.0,M. Bridges misses 3-pt jump shot from 22 ft,,16,20
1,4:08.0,,Defensive rebound by J. Tatum,16,20
1,4:00.0,,J. Tatum makes 2-pt layup from 2 ft (assist by A. Horford),16,22
1,4:00.0,Charlotte full timeout,,16,22
1,4:00.0,,J. Brown enters the game for M. Smart,16,22
1,3:42.0,Turnover by M. Bridges (lost ball; steal by T. Rozier),,16,22
1,3:38.0,,J. Brown makes 2-pt layup from 1 ft (assist by T. Rozier),16,24
1,3:24.0,N. Batum makes 2-pt layup from 6 ft (assist by W. Hernangómez),,18,24
1,3:09.0,,G. Hayward makes 2-pt layup at rim,18,26
1,2:46.0,M. Kidd-Gilchrist makes 2-pt jump shot from 15 ft,,20,26
1,2:27.0,,Shooting foul by N. Batum (drawn by T. Rozier),20,26
1,2:27.0,,T. Rozier makes free throw 1 of 2,20,27
1,2:27.0,D. Graham enters the game for K. Walker,,20,27
1,2:27.0,,A. Baynes enters the game for A. Horford,20,27
1,2:27.0,,T. Rozier makes free throw 2 of 2,20,28
1,2:14.0,M. Kidd-Gilchrist makes 2-pt jump shot from 20 ft (assist by N. Batum),,22,28
1,2:01.0,,T. Rozier misses 2-pt jump shot from 18 ft,22,28
1,2:01.0,,Offensive rebound by Team,22,28
1,1:49.0,,T. Rozier misses 3-pt jump shot from 26 ft,22,28
1,1:47.0,,Offensive rebound by G. Hayward,22,28
1,1:41.0,,G. Hayward makes 2-pt layup from 2 ft,22,30
1,1:22.0,M. Kidd-Gilchrist makes 2-pt hook shot from 5 ft,,24,30
1,1:08.0,,J. Tatum makes 2-pt jump shot from 9 ft (assist by T. Rozier),24,32
1,0:56.0,N. Batum makes 2-pt layup from 2 ft (assist by W. Hernangómez),,26,32
1,0:38.0,,J. Tatum misses 3-pt jump shot from 24 ft,26,32
1,0:36.0,Defensive rebound by D. Graham,,26,32
1,0:31.0,D. Graham misses 2-pt layup from 2 ft,,26,32
1,0:31.0,Offensive rebound by W. Hernangómez,,26,32
1,0:31.0,W. Hernangómez makes 2-pt layup at rim,,28,32
1,0:18.0,,J. Brown makes 3-pt jump shot from 25 ft (assist by A. Baynes),28,35
1,0:01.0,N. Batum misses 3-pt jump shot from 26 ft,,28,35
1,0:01.0,Offensive rebound by M. Bridges,,28,35
2,11:46.0,,J. Brown makes 2-pt jump shot from 17 ft,28,37
2,11:32.0,,Violation by Team (kicked ball),28,37
2,11:29.0,M. Williams makes 3-pt jump shot from 26 ft (assist by M. Bridges),,31,37
2,11:09.0,,J. Brown misses 3-pt jump shot from 23 ft,31,37
2,11:07.0,Defensive rebound by M. Bridges,,31,37
2,11:07.0,Personal foul by J. Brown (drawn by M. Kidd-Gilchrist),,31,37
2,10:50.0,M. Monk misses 3-pt jump shot from 24 ft,,31,37
2,10:47.0,,Defensive rebound by M. Morris,31,37
2,10:44.0,,Personal foul by M. Monk (drawn by J. Brown),31,37
2,10:42.0,,Personal foul by M. Monk (drawn by B. Wanamaker),31,37
2,10:35.0,,M. Morris makes 2-pt layup from 2 ft,31,39
2,10:10.0,M. Bridges misses 2-pt jump shot from 23 ft,,31,39
2,10:08.0,,Defensive rebound by J. Brown,31,39
2,10:02.0,,J. Brown makes 2-pt layup from 1 ft,31,41
2,9:49.0,D. Graham makes 3-pt jump shot from 26 ft (assist by M. Kidd-Gilchrist),,34,41
2,9:33.0,,G. Hayward misses 2-pt jump shot from 9 ft,34,41
2,9:30.0,Defensive rebound by M. Williams,,34,41
2,9:25.0,D. Graham misses 3-pt jump shot from 26 ft,,34,41
2,9:23.0,,Defensive rebound by M. Morris,34,41
2,9:06.0,,Turnover by M. Morris (bad pass; steal by D. Graham),34,41
2,9:03.0,M. Monk makes 2-pt dunk from 2 ft (assist by D. Graham),,36,41
2,8:44.0,,J. Brown misses 3-pt jump shot from 26 ft,36,41
2,8:42.0,Defensive rebound by M. Monk,,36,41
2,8:33.0,M. Bridges makes 2-pt hook shot from 5 ft (assist by D. Graham),,38,41
2,8:11.0,,A. Baynes makes 2-pt jump shot from 16 ft (assist by M. Morris),38,43
2,7:57.0,Turnover by D. Graham (bad pass; steal by J. Brown),,38,43
2,7:54.0,,J. Brown makes 2-pt dunk from 1 ft,38,45
2,7:50.0,Charlotte full timeout,,38,45
2,7:50.0,K. Walker enters the game for M. Kidd-Gilchrist,,38,45
2,7:50.0,,M. Smart enters the game for G. Hayward,38,45
2,7:33.0,D. Graham misses 3-pt jump shot from 23 ft,,38,45
2,7:31.0,,Defensive rebound by J. Brown,38,45
2,7:12.0,,M. Morris misses 2-pt jump shot from 13 ft,38,45
2,7:10.0,Defensive rebound by M. Monk,,38,45
2,7:04.0,M. Bridges misses 2-pt layup from 2 ft,,38,45
2,7:02.0,,Defensive rebound by A. Baynes,38,45
2,6:49.0,,A. Baynes misses 2-pt hook shot from 9 ft,38,45
2,6:47.0,Defensive rebound by M. Bridges,,38,45
2,6:35.0,K. Walker makes 2-pt jump shot from 15 ft,,40,45
2,6:21.0,,M. Morris makes 2-pt jump shot from 14 ft (assist by M. Smart),40,47
2,6:07.0,Turnover by K. Walker (lost ball; steal by B. Wanamaker),,40,47
2,6:02.0,,M. Smart misses 2-pt layup from 2 ft,40,47
2,5:57.0,,Offensive rebound by J. Brown,40,47
2,5:57.0,,J. Brown makes 2-pt layup from 1 ft,40,49
2,5:51.0,M. Williams makes 3-pt jump shot from 26 ft (assist by D. Graham),,43,49
2,5:33.0,,B. Wanamaker misses 2-pt jump shot from 19 ft,43,49
2,5:31.0,Defensive rebound by K. Walker,,43,49
2,5:30.0,Personal take foul by M. Smart (drawn by K. Walker),,43,49
2,5:30.0,N. Batum enters the game for M. Bridges,,43,49
2,5:30.0,J. Lamb enters the game for D. Graham,,43,49
2,5:30.0,,A. Horford enters the game for A. Baynes,43,49
2,5:22.0,J. Lamb misses 3-pt jump shot from 26 ft,,43,49
2,5:20.0,,Defensive rebound by J. Brown,43,49
2,5:12.0,,J. Brown misses 3-pt jump shot from 25 ft,43,49
2,5:10.0,,Offensive rebound by A. Horford,43,49
2,5:08.0,,B. Wanamaker makes 3-pt jump shot from 25 ft (assist by A. Horford),43,52
2,4:56.0,K. Walker misses 3-pt jump shot from 26 ft,,43,52
2,4:54.0,,Defensive rebound by M. Morris,43,52
2,4:40.0,,A. Horford misses 2-pt hook shot from 6 ft,43,52
2,4:38.0,Defensive rebound by M. Williams,,43,52
2,4:22.0,Turnover by N. Batum (bad pass; steal by A. Horford),,43,52
2,4:17.0,,J. Brown makes 2-pt layup from 1 ft,43,54
2,4:01.0,K. Walker makes 2-pt jump shot from 16 ft,,45,54
2,3:40.0,,M. Morris misses 3-pt jump shot from 25 ft,45,54
2,3:38.0,Defensive rebound by J. Lamb,,45,54
2,3:25.0,M. Monk makes 3-pt jump shot from 25 ft (assist by N. Batum),,48,54
2,3:06.0,,Turnover by M. Smart (lost ball; steal by K. Walker),48,54
2,3:04.0,K. Walker makes 2-pt layup from 2 ft,,50,54
2,3:04.0,,Boston full timeout,50,54
2,3:04.0,,G. Hayward enters the game for J. Brown,50,54
2,3:04.0,,T. Rozier enters the game for M. Morris,50,54
2,3:04.0,,J. Tatum enters the game for B. Wanamaker,50,54
2,2:44.0,,Turnover by G. Hayward (bad pass; steal by N. Batum),50,54
2,2:41.0,M. Monk misses 3-pt jump shot from 25 ft,,50,54
2,2:41.0,Offensive rebound by Team,,50,54
2,2:28.0,M. Williams makes 2-pt jump shot from 3 ft,,52,54
2,2:10.0,,Turnover by A. Horford (lost ball; steal by M. Williams),52,54
2,2:00.0,M. Monk makes 2-pt layup from 1 ft (assist by J. Lamb),,54,54
2,1:45.0,,Personal foul by N. Batum (drawn by G. Hayward),54,54
2,1:41.0,,J. Tatum misses 2-pt layup from 1 ft,54,54
2,1:37.0,,Offensive rebound by J. Tatum,54,54
2,1:36.0,,J. Tatum makes 2-pt layup from 1 ft,54,56
2,1:22.0,M. Monk makes 3-pt jump shot from 24 ft (assist by K. Walker),,57,56
2,1:10.0,,A. Horford makes 2-pt dunk at rim (assist by T. Rozier),57,58
2,0:52.0,K. Walker makes 2-pt jump shot from 15 ft,,59,58
2,0:39.0,,G. Hayward misses 2-pt jump shot from 10 ft,59,58
2,0:37.0,,Offensive rebound by A. Horford,59,58
2,0:35.0,,A. Horford misses 2-pt layup from 5 ft (block by K. Walker),59,58
2,0:33.0,,Offensive rebound by A. Horford,59,58
2,0:32.0,,A. Horford makes 2-pt layup at rim,59,60
2,0:12.0,K. Walker misses 3-pt jump shot from 26 ft,,59,60
2,0:10.0,,Defensive rebound by T. Rozier,59,60
2,0:02.0,,T. Rozier makes 3-pt jump shot from 26 ft,59,63
2,0:01.0,M. Monk misses 3-pt jump shot from 34 ft,,59,63
2,0:00.0,Offensive rebound by Team,,59,63
3,11:39.0,,J. Tatum misses 2-pt jump shot from 20 ft,59,63
3,11:37.0,,Offensive rebound by A. Horford,59,63
3,11:34.0,,T. Rozier makes 3-pt jump shot from 26 ft (assist by A. Horford),59,66
3,11:08.0,N. Batum makes 3-pt jump shot from 25 ft (assist by B. Biyombo),,62,66
3,10:47.0,,J. Tatum makes 3-pt jump shot from 23 ft (assist by T. Rozier),62,69
3,10:19.0,Turnover by N. Batum (bad pass; steal by M. Smart),,62,69
3,10:15.0,,T. Rozier makes 2-pt jump shot from 6 ft,62,71
3,9:57.0,Personal foul by J. Tatum (drawn by N. Batum),,62,71
3,9:50.0,K. Walker makes 2-pt layup from 3 ft,,64,71
3,9:34.0,,A. Horford makes 2-pt hook shot from 5 ft (assist by M. Morris),64,73
3,9:21.0,K. Walker misses 3-pt jump shot from 25 ft,,64,73
3,9:18.0,,Defensive rebound by M. Morris,64,73
3,9:09.0,,M. Morris misses 2-pt jump shot from 22 ft,64,73
3,9:07.0,Defensive rebound by J. Lamb,,64,73
3,8:50.0,Turnover by J. Lamb (step out of bounds),,64,73
3,8:33.0,,J. Tatum misses 3-pt jump shot from 22 ft,64,73
3,8:31.0,Defensive rebound by B. Biyombo,,64,73
3,8:19.0,N. Batum makes 2-pt jump shot from 11 ft,,66,73
3,8:10.0,,M. Smart misses 3-pt jump shot from 25 ft,66,73
3,8:08.0,Defensive rebound by B. Biyombo,,66,73
3,7:47.0,K. Walker misses 2-pt jump shot from 14 ft,,66,73
3,7:46.0,Offensive rebound by N. Batum,,66,73
3,7:45.0,N. Batum misses 2-pt layup from 1 ft,,66,73
3,7:43.0,,Defensive rebound by T. Rozier,66,73
3,7:39.0,,T. Rozier misses 2-pt layup from 2 ft,66,73
3,7:39.0,Defensive rebound by Team,,66,73
3,7:39.0,,Loose ball foul by M. Smart (drawn by B. Biyombo),66,73
3,7:27.0,K. Walker makes 3-pt jump shot from 25 ft,,69,73
3,7:10.0,,Personal foul by N. Batum (drawn by J. Tatum),69,73
3,7:09.0,,Personal foul by B. Biyombo (drawn by M. Smart),69,73
3,7:00.0,,Turnover by T. Rozier (lost ball; steal by N. Batum),69,73
3,6:55.0,K. Walker misses 2-pt layup from 2 ft (block by M. Smart),,69,73
3,6:53.0,,Defensive rebound by M. Smart,69,73
3,6:49.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by T. Rozier),69,76
3,6:47.0,Charlotte full timeout,,69,76
3,6:32.0,N. Batum misses 2-pt jump shot from 7 ft,,69,76
3,6:29.0,,Defensive rebound by T. Rozier,69,76
3,6:20.0,,M. Morris makes 2-pt layup from 1 ft (assist by M. Smart),69,78
3,6:07.0,K. Walker makes 2-pt layup from 2 ft,,71,78
3,6:07.0,Shooting foul by A. Horford (drawn by K. Walker),,71,78
3,6:07.0,M. Monk enters the game for J. Lamb,,71,78
3,6:07.0,K. Walker makes free throw 1 of 1,,72,78
3,5:55.0,,T. Rozier makes 3-pt jump shot from 27 ft (assist by M. Smart),72,81
3,5:35.0,K. Walker misses 2-pt layup from 2 ft,,72,81
3,5:34.0,,Defensive rebound by J. Tatum,72,81
3,5:14.0,,A. Horford makes 2-pt jump shot from 21 ft (assist by J. Tatum),72,83
3,4:53.0,K. Walker misses 3-pt jump shot from 25 ft,,72,83
3,4:51.0,,Defensive rebound by T. Rozier,72,83
3,4:41.0,,Personal foul by M. Monk (drawn by M. Smart),72,83
3,4:41.0,M. Kidd-Gilchrist enters the game for B. Biyombo,,72,83
3,4:41.0,,J. Brown enters the game for M. Morris,72,83
3,4:41.0,,G. Hayward enters the game for M. Smart,72,83
3,4:31.0,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Brown),72,83
3,4:31.0,,J. Brown makes free throw 1 of 2,72,84
3,4:31.0,,J. Brown makes free throw 2 of 2,72,85
3,4:11.0,M. Monk misses 2-pt hook shot from 5 ft,,72,85
3,4:09.0,,Defensive rebound by A. Horford,72,85
3,4:04.0,,Turnover by J. Brown (out of bounds lost ball),72,85
3,3:52.0,N. Batum misses 3-pt jump shot from 25 ft,,72,85
3,3:50.0,,Defensive rebound by J. Brown,72,85
3,3:34.0,,A. Horford makes 2-pt jump shot from 8 ft (assist by J. Brown),72,87
3,3:20.0,M. Monk misses 3-pt jump shot from 25 ft,,72,87
3,3:18.0,,Defensive rebound by J. Tatum,72,87
3,3:04.0,,G. Hayward misses 2-pt jump shot from 11 ft,72,87
3,3:02.0,Defensive rebound by M. Kidd-Gilchrist,,72,87
3,2:54.0,Turnover by N. Batum (lost ball; steal by T. Rozier),,72,87
3,2:52.0,,Personal take foul by M. Kidd-Gilchrist (drawn by T. Rozier),72,87
3,2:52.0,,Boston full timeout,72,87
3,2:52.0,M. Bridges enters the game for N. Batum,,72,87
3,2:52.0,D. Graham enters the game for K. Walker,,72,87
3,2:52.0,W. Hernangómez enters the game for M. Williams,,72,87
3,2:52.0,,D. Theis enters the game for A. Horford,72,87
3,2:52.0,,T. Rozier makes free throw 1 of 2,72,88
3,2:52.0,,T. Rozier makes free throw 2 of 2,72,89
3,2:29.0,D. Graham misses 3-pt jump shot from 23 ft,,72,89
3,2:25.0,,Defensive rebound by J. Brown,72,89
3,2:21.0,,J. Tatum misses 3-pt jump shot from 26 ft,72,89
3,2:18.0,,Offensive rebound by D. Theis,72,89
3,2:15.0,,J. Tatum makes 2-pt dunk from 2 ft (assist by T. Rozier),72,91
3,2:03.0,M. Monk makes 2-pt layup from 3 ft,,74,91
3,2:03.0,Shooting foul by D. Theis (drawn by M. Monk),,74,91
3,2:03.0,M. Monk makes free throw 1 of 1,,75,91
3,1:46.0,Loose ball foul by M. Bridges (drawn by G. Hayward),,75,91
3,1:46.0,,G. Hayward makes free throw 1 of 2,75,92
3,1:46.0,,G. Hayward misses free throw 2 of 2,75,92
3,1:46.0,Defensive rebound by W. Hernangómez,,75,92
3,1:40.0,Turnover by W. Hernangómez (bad pass; steal by T. Rozier),,75,92
3,1:36.0,,T. Rozier misses 3-pt jump shot from 26 ft,75,92
3,1:35.0,,Offensive rebound by Team,75,92
3,1:30.0,,G. Hayward makes 2-pt jump shot from 16 ft (assist by T. Rozier),75,94
3,1:14.0,Turnover by D. Graham (bad pass; steal by G. Hayward),,75,94
3,1:10.0,,J. Brown makes 2-pt dunk from 2 ft (assist by T. Rozier),75,96
3,0:56.0,,Violation by Team (kicked ball),75,96
3,0:44.0,Turnover by W. Hernangómez (lost ball; steal by G. Hayward),,75,96
3,0:38.0,,J. Brown makes 2-pt dunk from 1 ft (assist by G. Hayward),75,98
3,0:20.0,M. Monk misses 3-pt jump shot from 25 ft,,75,98
3,0:18.0,,Defensive rebound by J. Tatum,75,98
3,0:01.0,,Offensive foul by G. Hayward (drawn by D. Graham),75,98
3,0:01.0,,Turnover by G. Hayward (offensive foul),75,98
4,11:41.0,Personal foul by D. Theis (drawn by D. Bacon),,75,98
4,11:34.0,M. Kidd-Gilchrist misses 3-pt jump shot from 25 ft,,75,98
4,11:31.0,,Defensive rebound by J. Brown,75,98
4,11:11.0,,G. Hayward makes 3-pt jump shot from 25 ft (assist by M. Smart),75,101
4,10:49.0,D. Graham makes 2-pt jump shot from 8 ft,,77,101
4,10:49.0,Shooting foul by M. Morris (drawn by D. Graham),,77,101
4,10:49.0,D. Graham misses free throw 1 of 1,,77,101
4,10:49.0,,Defensive rebound by M. Morris,77,101
4,10:33.0,,Shooting foul by D. Bacon (drawn by M. Morris),77,101
4,10:33.0,,M. Morris makes free throw 1 of 2,77,102
4,10:33.0,,M. Morris makes free throw 2 of 2,77,103
4,10:12.0,J. Lamb misses 2-pt hook shot from 4 ft,,77,103
4,10:10.0,,Defensive rebound by D. Theis,77,103
4,10:01.0,,Turnover by M. Smart (bad pass; steal by M. Kidd-Gilchrist),77,103
4,9:54.0,M. Kidd-Gilchrist misses 2-pt hook shot from 6 ft,,77,103
4,9:54.0,Offensive rebound by Team,,77,103
4,9:54.0,,Loose ball foul by M. Smart (drawn by J. Lamb),77,103
4,9:50.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),,80,103
4,9:33.0,,Personal foul by J. Lamb (drawn by D. Theis),80,103
4,9:25.0,,G. Hayward makes 2-pt dunk from 2 ft (assist by M. Morris),80,105
4,9:09.0,M. Bridges misses 2-pt dunk from 2 ft (block by D. Theis),,80,105
4,9:07.0,,Defensive rebound by G. Hayward,80,105
4,9:02.0,,Personal foul by D. Graham (drawn by G. Hayward),80,105
4,8:52.0,,J. Brown misses 3-pt jump shot from 24 ft,80,105
4,8:50.0,,Offensive rebound by D. Theis,80,105
4,8:50.0,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Theis),80,105
4,8:50.0,,D. Theis makes free throw 1 of 2,80,106
4,8:50.0,F. Kaminsky enters the game for M. Bridges,,80,106
4,8:50.0,,D. Theis makes free throw 2 of 2,80,107
4,8:38.0,D. Graham misses 2-pt layup from 2 ft,,80,107
4,8:36.0,,Defensive rebound by M. Morris,80,107
4,8:31.0,,M. Morris misses 3-pt jump shot from 28 ft,80,107
4,8:29.0,Defensive rebound by D. Bacon,,80,107
4,8:24.0,J. Lamb misses 3-pt jump shot from 26 ft,,80,107
4,8:22.0,Offensive rebound by D. Bacon,,80,107
4,8:18.0,D. Graham misses 3-pt jump shot from 25 ft,,80,107
4,8:16.0,,Defensive rebound by D. Theis,80,107
4,8:09.0,,G. Hayward misses 2-pt jump shot from 12 ft,80,107
4,8:07.0,Defensive rebound by F. Kaminsky,,80,107
4,8:00.0,J. Lamb misses 2-pt layup from 5 ft,,80,107
4,7:58.0,,Defensive rebound by D. Theis,80,107
4,7:46.0,,M. Morris makes 2-pt layup from 2 ft,80,109
4,7:45.0,Charlotte full timeout,,80,109
4,7:45.0,M. Bridges enters the game for D. Graham,,80,109
4,7:45.0,J. Chealey enters the game for M. Kidd-Gilchrist,,80,109
4,7:45.0,M. Monk enters the game for J. Lamb,,80,109
4,7:45.0,,S. Ojeleye enters the game for M. Morris,80,109
4,7:28.0,F. Kaminsky misses 2-pt jump shot from 16 ft,,80,109
4,7:26.0,,Defensive rebound by G. Hayward,80,109
4,7:13.0,,G. Hayward misses 2-pt jump shot from 18 ft,80,109
4,7:10.0,Defensive rebound by D. Bacon,,80,109
4,7:03.0,D. Bacon misses 2-pt jump shot from 8 ft (block by D. Theis),,80,109
4,7:02.0,,Defensive rebound by D. Theis,80,109
4,6:56.0,,S. Ojeleye makes 2-pt layup from 3 ft (assist by G. Hayward),80,111
4,6:41.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,80,111
4,6:37.0,,Defensive rebound by G. Hayward,80,111
4,6:32.0,,D. Theis makes 2-pt dunk at rim (assist by J. Brown),80,113
4,6:16.0,J. Chealey misses 2-pt jump shot from 4 ft (block by G. Hayward),,80,113
4,6:14.0,,Defensive rebound by G. Hayward,80,113
4,6:09.0,,J. Brown misses 2-pt layup from 2 ft (block by M. Monk),80,113
4,6:09.0,,Offensive rebound by S. Ojeleye,80,113
4,6:09.0,,Personal foul by J. Chealey (drawn by S. Ojeleye),80,113
4,6:09.0,,S. Ojeleye makes free throw 1 of 2,80,114
4,6:09.0,,B. Wanamaker enters the game for G. Hayward,80,114
4,6:09.0,,G. Yabusele enters the game for M. Smart,80,114
4,6:09.0,,S. Ojeleye makes free throw 2 of 2,80,115
4,5:59.0,D. Bacon makes 2-pt jump shot from 11 ft,,82,115
4,5:37.0,,S. Ojeleye misses 2-pt jump shot from 9 ft (block by D. Bacon),82,115
4,5:35.0,Defensive rebound by D. Bacon,,82,115
4,5:32.0,Personal foul by S. Ojeleye (drawn by D. Bacon),,82,115
4,5:24.0,J. Chealey misses 2-pt jump shot from 16 ft,,82,115
4,5:22.0,,Defensive rebound by D. Theis,82,115
4,5:17.0,,S. Ojeleye misses 3-pt jump shot from 26 ft,82,115
4,5:15.0,,Offensive rebound by B. Wanamaker,82,115
4,5:06.0,,Turnover by G. Yabusele (bad pass),82,115
4,5:06.0,D. Bacon misses 3-pt jump shot from 25 ft,,82,115
4,4:54.0,Offensive rebound by F. Kaminsky,,82,115
4,4:45.0,M. Monk makes 3-pt jump shot from 25 ft (assist by F. Kaminsky),,85,115
4,4:29.0,,J. Brown misses 3-pt jump shot from 26 ft,85,115
4,4:27.0,,Offensive rebound by G. Yabusele,85,115
4,4:24.0,,S. Ojeleye makes 3-pt jump shot from 25 ft (assist by G. Yabusele),85,118
4,4:10.0,M. Monk misses 3-pt jump shot from 25 ft,,85,118
4,4:08.0,,Defensive rebound by J. Brown,85,118
4,4:03.0,,Turnover by J. Brown (bad pass; steal by M. Monk),85,118
4,3:56.0,J. Chealey makes 2-pt jump shot from 7 ft (assist by M. Monk),,87,118
4,3:37.0,,B. Wanamaker makes 2-pt jump shot from 4 ft,87,120
4,3:18.0,M. Monk misses 3-pt jump shot from 26 ft,,87,120
4,3:15.0,,Defensive rebound by J. Brown,87,120
4,2:53.0,,J. Brown misses 3-pt jump shot from 28 ft (block by M. Bridges),87,120
4,2:53.0,,Offensive rebound by Team,87,120
4,2:52.0,,Turnover by Team (shot clock),87,120
4,2:52.0,,Boston full timeout,87,120
4,2:52.0,D. Graham enters the game for M. Bridges,,87,120
4,2:41.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by J. Chealey),,90,120
4,2:27.0,,Personal foul by D. Bacon (drawn by D. Theis),90,120
4,2:27.0,,D. Theis misses free throw 1 of 2,90,120
4,2:27.0,,Offensive rebound by Team,90,120
4,2:27.0,,D. Theis makes free throw 2 of 2,90,121
4,2:15.0,Personal foul by B. Wanamaker (drawn by F. Kaminsky),,90,121
4,2:15.0,F. Kaminsky misses free throw 1 of 2,,90,121
4,2:15.0,Offensive rebound by Team,,90,121
4,2:15.0,F. Kaminsky misses free throw 2 of 2,,90,121
4,2:15.0,,Defensive rebound by J. Brown,90,121
4,2:00.0,,J. Brown misses 2-pt jump shot from 13 ft,90,121
4,1:58.0,Defensive rebound by F. Kaminsky,,90,121
4,1:40.0,D. Bacon makes 3-pt jump shot from 26 ft,,93,121
4,1:21.0,,J. Brown makes 3-pt jump shot from 26 ft (assist by D. Theis),93,124
4,1:06.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,93,124
4,1:02.0,,Defensive rebound by G. Yabusele,93,124
4,0:50.0,,G. Yabusele makes 2-pt jump shot from 2 ft,93,126
4,0:39.0,Shooting foul by D. Theis (drawn by D. Graham),,93,126
4,0:39.0,D. Graham misses free throw 1 of 2,,93,126
4,0:39.0,Offensive rebound by Team,,93,126
4,0:39.0,D. Graham makes free throw 2 of 2,,94,126
4,0:15.0,,Turnover by Team (shot clock),94,126
