QUARTER,TIME_REMAINING,PHOENIX_ACTION,MEMPHIS_ACTION,PHOENIX_SCORE,MEMPHIS_SCORE
1,4:50.0,Turnover by I. Canaan (bad pass; steal by M. Conley),,10,8
1,4:47.0,,M. Conley makes 2-pt layup from 2 ft (assist by J. Jackson),10,10
1,4:25.0,Personal foul by J. Jackson (drawn by D. Ayton),,10,10
1,4:25.0,,O. Casspi enters the game for J. Jackson,10,10
1,4:24.0,Personal foul by W. Selden (drawn by R. Anderson),,10,10
1,4:24.0,,S. Mack enters the game for M. Conley,10,10
1,4:11.0,Turnover by T. Ariza (bad pass; steal by D. Brooks),,10,10
1,4:04.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by W. Selden),10,13
1,4:02.0,Phoenix full timeout,,10,13
1,3:53.0,T. Ariza misses 3-pt jump shot from 25 ft,,10,13
1,3:48.0,,Defensive rebound by O. Casspi,10,13
1,3:27.0,,W. Selden makes 2-pt jump shot from 22 ft (assist by S. Mack),10,15
1,3:14.0,I. Canaan makes 2-pt layup from 2 ft (assist by D. Ayton),,12,15
1,3:14.0,Shooting foul by D. Brooks (drawn by I. Canaan),,12,15
1,3:14.0,T. Warren enters the game for R. Anderson,,12,15
1,3:14.0,I. Canaan makes free throw 1 of 1,,13,15
1,2:56.0,,Turnover by D. Brooks (bad pass; steal by J. Jackson),13,15
1,2:56.0,Turnover by J. Jackson (bad pass; steal by W. Selden),,13,15
1,2:51.0,,M. Gasol makes 2-pt jump shot from 11 ft (assist by W. Selden),13,17
1,2:34.0,Turnover by T. Ariza (bad pass; steal by S. Mack),,13,17
1,2:27.0,,D. Brooks makes 2-pt layup from 2 ft (assist by S. Mack),13,19
1,2:13.0,Turnover by J. Jackson (bad pass),,13,19
1,2:13.0,E. Okobo enters the game for I. Canaan,,13,19
1,1:49.0,,M. Gasol makes 2-pt hook shot from 9 ft (assist by O. Casspi),13,21
1,1:34.0,J. Jackson makes 2-pt layup from 3 ft,,15,21
1,1:19.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by S. Mack),15,24
1,1:00.0,E. Okobo makes 3-pt jump shot from 23 ft (assist by J. Jackson),,18,24
1,0:47.0,,S. Mack makes 2-pt jump shot from 8 ft,18,26
1,0:30.0,J. Jackson misses 3-pt jump shot from 25 ft,,18,26
1,0:27.0,,Defensive rebound by O. Casspi,18,26
1,0:08.0,,M. Gasol misses 3-pt jump shot from 25 ft,18,26
1,0:05.0,Defensive rebound by J. Jackson,,18,26
1,0:01.0,Turnover by J. Jackson (lost ball; steal by M. Gasol),,18,26
1,0:00.0,,D. Brooks misses 3-pt jump shot from 49 ft,18,26
1,0:00.0,,Offensive rebound by Team,18,26
2,11:47.0,T. Ariza misses 2-pt layup from 6 ft,,18,26
2,11:46.0,,Defensive rebound by O. Casspi,18,26
2,11:46.0,,Personal foul by T. Ariza (drawn by O. Casspi),18,26
2,11:32.0,,W. Selden makes 2-pt jump shot from 21 ft (assist by I. Rabb),18,28
2,11:08.0,T. Chandler misses 2-pt dunk from 2 ft,,18,28
2,11:05.0,,Defensive rebound by I. Rabb,18,28
2,10:59.0,,Turnover by O. Casspi (step out of bounds),18,28
2,10:48.0,J. Crawford misses 3-pt jump shot from 23 ft,,18,28
2,10:44.0,,Defensive rebound by D. Brooks,18,28
2,10:39.0,,O. Casspi makes 3-pt jump shot from 25 ft (assist by D. Brooks),18,31
2,10:27.0,Turnover by T. Chandler (lost ball; steal by W. Selden),,18,31
2,10:23.0,,S. Mack makes 2-pt layup from 2 ft,18,33
2,10:23.0,Phoenix full timeout,,18,33
2,10:23.0,M. Bridges enters the game for T. Ariza,,18,33
2,10:07.0,T. Warren misses 2-pt jump shot from 12 ft,,18,33
2,10:05.0,,Defensive rebound by D. Brooks,18,33
2,10:02.0,,Personal foul by T. Chandler (drawn by O. Casspi),18,33
2,9:44.0,,S. Mack makes 2-pt jump shot from 17 ft,18,35
2,9:27.0,E. Okobo misses 2-pt layup from 2 ft,,18,35
2,9:24.0,,Defensive rebound by I. Rabb,18,35
2,9:22.0,,O. Casspi makes 2-pt layup from 2 ft (assist by S. Mack),18,37
2,9:22.0,,Shooting foul by J. Crawford (drawn by O. Casspi),18,37
2,9:22.0,,O. Casspi misses free throw 1 of 1,18,37
2,9:22.0,Defensive rebound by T. Warren,,18,37
2,9:04.0,E. Okobo misses 3-pt jump shot from 23 ft,,18,37
2,9:01.0,,Defensive rebound by I. Rabb,18,37
2,9:00.0,,Personal foul by E. Okobo (drawn by W. Selden),18,37
2,8:51.0,,W. Selden makes 3-pt jump shot from 25 ft (assist by I. Rabb),18,40
2,8:35.0,J. Crawford makes 3-pt jump shot from 26 ft,,21,40
2,8:22.0,,W. Selden makes 2-pt jump shot from 10 ft (assist by O. Casspi),21,42
2,8:22.0,,Shooting foul by M. Bridges (drawn by W. Selden),21,42
2,8:22.0,,W. Selden makes free throw 1 of 1,21,43
2,8:10.0,M. Bridges misses 2-pt jump shot from 6 ft,,21,43
2,8:07.0,,Defensive rebound by I. Rabb,21,43
2,7:57.0,,S. Mack makes 2-pt jump shot from 4 ft (assist by O. Casspi),21,45
2,7:38.0,T. Warren makes 2-pt layup from 3 ft (assist by E. Okobo),,23,45
2,7:29.0,,I. Rabb misses 2-pt jump shot from 17 ft,23,45
2,7:25.0,Defensive rebound by M. Bridges,,23,45
2,7:13.0,E. Okobo makes 2-pt layup from 3 ft (assist by T. Chandler),,25,45
2,7:08.0,,Memphis full timeout,25,45
2,7:08.0,I. Canaan enters the game for E. Okobo,,25,45
2,7:08.0,,K. Anderson enters the game for D. Brooks,25,45
2,7:08.0,,M. Brooks enters the game for O. Casspi,25,45
2,7:08.0,,M. Conley enters the game for S. Mack,25,45
2,7:08.0,,J. Jackson enters the game for I. Rabb,25,45
2,7:08.0,,G. Temple enters the game for W. Selden,25,45
2,7:01.0,,Turnover by K. Anderson (traveling),25,45
2,6:54.0,Personal foul by K. Anderson (drawn by J. Crawford),,25,45
2,6:43.0,I. Canaan makes 2-pt jump shot from 21 ft,,27,45
2,6:17.0,,J. Jackson misses 2-pt hook shot from 3 ft (block by T. Warren),27,45
2,6:17.0,,Offensive rebound by Team,27,45
2,6:17.0,R. Anderson enters the game for J. Crawford,,27,45
2,6:17.0,T. Ariza enters the game for T. Warren,,27,45
2,6:14.0,,J. Jackson misses 3-pt jump shot from 23 ft,27,45
2,6:10.0,Defensive rebound by I. Canaan,,27,45
2,6:07.0,Turnover by I. Canaan (bad pass; steal by M. Conley),,27,45
2,6:00.0,,J. Jackson makes 2-pt layup from 3 ft,27,47
2,5:48.0,Offensive foul by T. Chandler (drawn by M. Conley),,27,47
2,5:48.0,Turnover by T. Chandler (offensive foul),,27,47
2,5:48.0,D. Ayton enters the game for T. Chandler,,27,47
2,5:38.0,,M. Conley makes 2-pt jump shot from 18 ft,27,49
2,5:19.0,T. Ariza misses 3-pt jump shot from 23 ft,,27,49
2,5:16.0,,Defensive rebound by M. Brooks,27,49
2,5:10.0,,M. Brooks makes 2-pt layup from 3 ft,27,51
2,4:52.0,D. Ayton makes 2-pt layup from 3 ft (assist by T. Ariza),,29,51
2,4:41.0,,M. Brooks makes 3-pt jump shot from 25 ft,29,54
2,4:19.0,D. Ayton makes 2-pt hook shot from 7 ft,,31,54
2,3:58.0,,M. Brooks misses 2-pt layup from 3 ft,31,54
2,3:56.0,Defensive rebound by T. Ariza,,31,54
2,3:44.0,D. Ayton makes 2-pt jump shot from 15 ft (assist by I. Canaan),,33,54
2,3:27.0,,Personal foul by M. Bridges (drawn by G. Temple),33,54
2,3:27.0,,G. Temple makes free throw 1 of 2,33,55
2,3:27.0,J. Jackson enters the game for M. Bridges,,33,55
2,3:27.0,,M. Gasol enters the game for J. Jackson,33,55
2,3:27.0,,G. Temple makes free throw 2 of 2,33,56
2,3:13.0,Shooting foul by G. Temple (drawn by J. Jackson),,33,56
2,3:13.0,J. Jackson misses free throw 1 of 2,,33,56
2,3:13.0,Offensive rebound by Team,,33,56
2,3:13.0,J. Jackson makes free throw 2 of 2,,34,56
2,2:59.0,,G. Temple misses 2-pt jump shot from 17 ft,34,56
2,2:55.0,,Offensive rebound by K. Anderson,34,56
2,2:53.0,,M. Conley misses 3-pt jump shot from 26 ft,34,56
2,2:50.0,Defensive rebound by D. Ayton,,34,56
2,2:36.0,Def 3 sec tech foul by Team,,34,56
2,2:36.0,T. Ariza makes technical free throw,,35,56
2,2:28.0,R. Anderson makes 2-pt layup from 2 ft (assist by I. Canaan),,37,56
2,2:10.0,,Shooting foul by R. Anderson (drawn by M. Conley),37,56
2,2:10.0,,M. Conley makes free throw 1 of 2,37,57
2,2:10.0,,M. Conley makes free throw 2 of 2,37,58
2,1:57.0,D. Ayton makes 2-pt jump shot from 13 ft (assist by R. Anderson),,39,58
2,1:38.0,,M. Conley misses 3-pt jump shot from 24 ft,39,58
2,1:35.0,Defensive rebound by D. Ayton,,39,58
2,1:27.0,R. Anderson misses 2-pt jump shot from 16 ft,,39,58
2,1:24.0,,Defensive rebound by M. Gasol,39,58
2,1:19.0,,M. Brooks makes 3-pt jump shot from 25 ft (assist by M. Gasol),39,61
2,1:04.0,J. Jackson misses 2-pt layup from 3 ft,,39,61
2,1:01.0,,Defensive rebound by M. Brooks,39,61
2,1:00.0,,G. Temple makes 2-pt layup from 2 ft (assist by M. Brooks),39,63
2,0:49.0,D. Ayton makes 2-pt layup from 2 ft (assist by I. Canaan),,41,63
2,0:27.0,,Shooting foul by J. Jackson (drawn by G. Temple),41,63
2,0:27.0,,G. Temple makes free throw 1 of 2,41,64
2,0:27.0,,G. Temple makes free throw 2 of 2,41,65
2,0:09.0,D. Ayton makes 2-pt layup from 3 ft (assist by I. Canaan),,43,65
2,0:01.0,,M. Gasol makes 3-pt jump shot from 27 ft (assist by M. Conley),43,68
3,11:41.0,Turnover by J. Jackson (bad pass; steal by J. Jackson),,43,68
3,11:38.0,,Offensive foul by J. Jackson (drawn by J. Jackson),43,68
3,11:38.0,,Turnover by J. Jackson (offensive foul),43,68
3,11:29.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by R. Anderson),,46,68
3,11:10.0,,M. Gasol misses 3-pt jump shot from 26 ft,46,68
3,11:08.0,Defensive rebound by J. Jackson,,46,68
3,10:57.0,J. Jackson makes 2-pt layup from 4 ft (assist by T. Ariza),,48,68
3,10:57.0,Shooting foul by J. Jackson (drawn by J. Jackson),,48,68
3,10:57.0,,W. Selden enters the game for J. Jackson,48,68
3,10:57.0,J. Jackson misses free throw 1 of 1,,48,68
3,10:57.0,,Defensive rebound by K. Anderson,48,68
3,10:36.0,,M. Conley misses 2-pt jump shot from 10 ft,48,68
3,10:34.0,Defensive rebound by R. Anderson,,48,68
3,10:24.0,I. Canaan makes 2-pt layup from 2 ft (assist by D. Ayton),,50,68
3,10:24.0,,Memphis full timeout,50,68
3,10:03.0,,M. Conley makes 2-pt layup from 3 ft,50,70
3,9:45.0,J. Jackson misses 2-pt layup from 2 ft,,50,70
3,9:42.0,,Defensive rebound by K. Anderson,50,70
3,9:38.0,,M. Conley misses 3-pt jump shot from 25 ft,50,70
3,9:34.0,Defensive rebound by D. Ayton,,50,70
3,9:32.0,T. Ariza misses 3-pt jump shot from 27 ft,,50,70
3,9:32.0,,Defensive rebound by M. Gasol,50,70
3,9:16.0,,M. Conley misses 2-pt jump shot from 7 ft,50,70
3,9:13.0,Defensive rebound by D. Ayton,,50,70
3,9:00.0,Turnover by I. Canaan (lost ball; steal by G. Temple),,50,70
3,8:56.0,,W. Selden makes 2-pt layup from 6 ft (assist by G. Temple),50,72
3,8:26.0,D. Ayton makes 2-pt layup at rim,,52,72
3,8:21.0,,Turnover by M. Conley (out of bounds lost ball),52,72
3,8:08.0,J. Jackson misses 3-pt jump shot from 25 ft,,52,72
3,8:02.0,,Defensive rebound by G. Temple,52,72
3,7:59.0,,Personal foul by I. Canaan (drawn by G. Temple),52,72
3,7:53.0,,M. Gasol misses 2-pt jump shot from 8 ft,52,72
3,7:49.0,Defensive rebound by J. Jackson,,52,72
3,7:44.0,D. Ayton makes 2-pt dunk from 2 ft (assist by J. Jackson),,54,72
3,7:24.0,,G. Temple makes 2-pt layup from 2 ft (assist by K. Anderson),54,74
3,7:12.0,J. Jackson makes 2-pt layup from 3 ft (assist by D. Ayton),,56,74
3,7:12.0,Shooting foul by W. Selden (drawn by J. Jackson),,56,74
3,7:12.0,,D. Brooks enters the game for K. Anderson,56,74
3,7:12.0,J. Jackson misses free throw 1 of 1,,56,74
3,7:10.0,,Defensive rebound by G. Temple,56,74
3,6:51.0,,D. Brooks makes 2-pt jump shot from 15 ft (assist by M. Conley),56,76
3,6:37.0,Personal foul by D. Brooks (drawn by J. Jackson),,56,76
3,6:25.0,Turnover by R. Anderson (traveling),,56,76
3,6:13.0,,Shooting foul by J. Jackson (drawn by G. Temple),56,76
3,6:13.0,,G. Temple makes free throw 1 of 2,56,77
3,6:13.0,,G. Temple makes free throw 2 of 2,56,78
3,5:59.0,D. Ayton makes 2-pt layup from 3 ft (assist by J. Jackson),,58,78
3,5:47.0,Violation by Team (kicked ball),,58,78
3,5:42.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by M. Conley),58,81
3,5:22.0,R. Anderson misses 2-pt jump shot from 13 ft,,58,81
3,5:21.0,Offensive rebound by Team,,58,81
3,5:21.0,,Loose ball foul by M. Conley (drawn by J. Jackson),58,81
3,5:21.0,M. Bridges enters the game for R. Anderson,,58,81
3,5:21.0,T. Warren enters the game for J. Jackson,,58,81
3,5:21.0,,K. Anderson enters the game for G. Temple,58,81
3,5:14.0,T. Ariza misses 3-pt jump shot from 22 ft,,58,81
3,5:09.0,,Defensive rebound by D. Brooks,58,81
3,5:02.0,,W. Selden misses 3-pt jump shot from 25 ft,58,81
3,4:58.0,Defensive rebound by T. Warren,,58,81
3,4:44.0,D. Ayton misses 2-pt jump shot from 12 ft,,58,81
3,4:41.0,,Defensive rebound by K. Anderson,58,81
3,4:35.0,,M. Gasol misses 2-pt jump shot from 9 ft,58,81
3,4:32.0,Defensive rebound by I. Canaan,,58,81
3,4:30.0,Personal foul by M. Conley (drawn by I. Canaan),,58,81
3,4:30.0,I. Canaan makes free throw 1 of 2,,59,81
3,4:30.0,T. Chandler enters the game for D. Ayton,,59,81
3,4:30.0,,S. Mack enters the game for M. Conley,59,81
3,4:30.0,I. Canaan makes free throw 2 of 2,,60,81
3,4:17.0,,Personal foul by T. Chandler (drawn by M. Gasol),60,81
3,4:04.0,,D. Brooks misses 3-pt jump shot from 26 ft,60,81
3,4:00.0,Defensive rebound by T. Chandler,,60,81
3,3:53.0,M. Bridges misses 3-pt jump shot from 22 ft,,60,81
3,3:50.0,,Defensive rebound by M. Gasol,60,81
3,3:45.0,,M. Gasol misses 3-pt jump shot from 25 ft,60,81
3,3:42.0,Defensive rebound by Team,,60,81
3,3:42.0,Phoenix full timeout,,60,81
3,3:30.0,T. Ariza misses 3-pt jump shot from 25 ft,,60,81
3,3:28.0,,Defensive rebound by K. Anderson,60,81
3,3:13.0,,M. Gasol misses 2-pt hook shot from 10 ft,60,81
3,3:12.0,,Offensive rebound by Team,60,81
3,3:12.0,Loose ball foul by T. Warren (drawn by K. Anderson),,60,81
3,3:12.0,E. Okobo enters the game for I. Canaan,,60,81
3,3:02.0,,M. Gasol makes 2-pt layup from 2 ft (assist by D. Brooks),60,83
3,2:42.0,E. Okobo makes 2-pt jump shot from 8 ft (assist by M. Bridges),,62,83
3,2:27.0,,W. Selden makes 2-pt jump shot from 13 ft,62,85
3,2:03.0,T. Ariza makes 2-pt layup from 4 ft (assist by T. Warren),,64,85
3,1:50.0,,D. Brooks misses 3-pt jump shot from 25 ft,64,85
3,1:47.0,Defensive rebound by T. Chandler,,64,85
3,1:28.0,E. Okobo misses 3-pt jump shot from 25 ft,,64,85
3,1:24.0,Offensive rebound by T. Chandler,,64,85
3,1:24.0,T. Warren misses 3-pt jump shot from 29 ft,,64,85
3,1:24.0,Offensive rebound by Team,,64,85
3,1:22.0,,Loose ball foul by M. Gasol (drawn by T. Chandler),64,85
3,1:22.0,T. Chandler makes free throw 1 of 2,,65,85
3,1:22.0,J. Crawford enters the game for T. Ariza,,65,85
3,1:22.0,T. Chandler makes free throw 2 of 2,,66,85
3,1:02.0,,K. Anderson makes 2-pt layup from 3 ft (assist by S. Mack),66,87
3,0:41.0,J. Crawford makes 3-pt jump shot from 23 ft (assist by T. Chandler),,69,87
3,0:36.0,,W. Selden misses 3-pt jump shot from 25 ft,69,87
3,0:36.0,Defensive rebound by T. Warren,,69,87
3,0:32.0,Personal foul by D. Brooks (drawn by M. Bridges),,69,87
3,0:32.0,M. Bridges makes free throw 1 of 2,,70,87
3,0:32.0,,M. Conley enters the game for K. Anderson,70,87
3,0:32.0,M. Bridges makes free throw 2 of 2,,71,87
3,0:13.0,,Offensive foul by M. Gasol (drawn by E. Okobo),71,87
3,0:13.0,,Turnover by M. Gasol (offensive foul),71,87
3,0:02.0,T. Warren misses 3-pt jump shot from 25 ft,,71,87
3,0:02.0,,Defensive rebound by W. Selden,71,87
4,11:38.0,,M. Brooks misses 3-pt jump shot from 26 ft,71,87
4,11:38.0,Defensive rebound by D. Ayton,,71,87
4,11:17.0,D. Ayton makes 2-pt dunk from 1 ft (assist by M. Bridges),,73,87
4,11:07.0,,Personal foul by E. Okobo (drawn by J. Jackson),73,87
4,10:57.0,,M. Conley misses 2-pt jump shot from 18 ft,73,87
4,10:53.0,Defensive rebound by M. Bridges,,73,87
4,10:46.0,Turnover by E. Okobo (palming),,73,87
4,10:34.0,,Shooting foul by E. Okobo (drawn by J. Jackson),73,87
4,10:34.0,,J. Jackson makes free throw 1 of 2,73,88
4,10:34.0,,J. Jackson makes free throw 2 of 2,73,89
4,10:23.0,E. Okobo misses 3-pt jump shot from 24 ft,,73,89
4,10:20.0,,Defensive rebound by J. Jackson,73,89
4,10:09.0,,M. Conley makes 2-pt jump shot from 7 ft,73,91
4,9:53.0,M. Bridges makes 2-pt layup from 3 ft (assist by D. Ayton),,75,91
4,9:41.0,,Shooting foul by E. Okobo (drawn by M. Conley),75,91
4,9:41.0,,M. Conley makes free throw 1 of 2,75,92
4,9:41.0,,G. Temple enters the game for D. Brooks,75,92
4,9:41.0,,M. Conley makes free throw 2 of 2,75,93
4,9:24.0,Personal foul by J. Jackson (drawn by D. Ayton),,75,93
4,9:24.0,,Technical foul by J. Jackson,75,93
4,9:24.0,T. Warren makes technical free throw,,76,93
4,9:24.0,Phoenix full timeout,,76,93
4,9:24.0,,M. Gasol enters the game for J. Jackson,76,93
4,9:23.0,Turnover by M. Bridges (bad pass),,76,93
4,9:09.0,,M. Gasol makes 2-pt layup from 6 ft (assist by M. Conley),76,95
4,8:56.0,J. Crawford makes 2-pt jump shot from 15 ft,,78,95
4,8:45.0,,Personal foul by E. Okobo (drawn by M. Conley),78,95
4,8:45.0,I. Canaan enters the game for E. Okobo,,78,95
4,8:38.0,,M. Brooks makes 2-pt dunk from 1 ft (assist by M. Gasol),78,97
4,8:25.0,M. Bridges misses 2-pt layup from 1 ft,,78,97
4,8:23.0,,Defensive rebound by M. Gasol,78,97
4,8:18.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by M. Conley),78,100
4,7:53.0,Personal foul by M. Brooks (drawn by M. Bridges),,78,100
4,7:53.0,T. Ariza enters the game for T. Warren,,78,100
4,7:51.0,Personal foul by G. Temple (drawn by J. Crawford),,78,100
4,7:44.0,Turnover by T. Ariza (lost ball; steal by M. Gasol),,78,100
4,7:40.0,,G. Temple makes 2-pt layup from 2 ft (assist by M. Conley),78,102
4,7:28.0,J. Crawford makes 3-pt jump shot from 26 ft (assist by T. Ariza),,81,102
4,7:14.0,,Shooting foul by I. Canaan (drawn by M. Conley),81,102
4,7:14.0,,M. Conley makes free throw 1 of 2,81,103
4,7:14.0,,D. Brooks enters the game for O. Casspi,81,103
4,7:14.0,,M. Conley makes free throw 2 of 2,81,104
4,7:04.0,J. Crawford misses 3-pt jump shot from 25 ft,,81,104
4,7:01.0,,Defensive rebound by D. Brooks,81,104
4,6:47.0,,M. Brooks makes 2-pt jump shot from 14 ft,81,106
4,6:29.0,T. Ariza misses 3-pt jump shot from 24 ft,,81,106
4,6:26.0,,Defensive rebound by M. Gasol,81,106
4,6:18.0,,Shooting foul by T. Ariza (drawn by D. Brooks),81,106
4,6:18.0,,D. Brooks makes free throw 1 of 2,81,107
4,6:18.0,,S. Mack enters the game for M. Conley,81,107
4,6:18.0,,I. Rabb enters the game for M. Gasol,81,107
4,6:18.0,,W. Selden enters the game for G. Temple,81,107
4,6:18.0,,D. Brooks misses free throw 2 of 2,81,107
4,6:16.0,Defensive rebound by T. Ariza,,81,107
4,6:05.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by T. Ariza),,84,107
4,5:49.0,,Personal foul by M. Bridges (drawn by M. Brooks),84,107
4,5:49.0,,M. Brooks makes free throw 1 of 2,84,108
4,5:49.0,J. Jackson enters the game for J. Crawford,,84,108
4,5:49.0,,M. Brooks makes free throw 2 of 2,84,109
4,5:37.0,Personal foul by I. Rabb (drawn by D. Ayton),,84,109
4,5:25.0,J. Jackson misses 3-pt jump shot from 23 ft,,84,109
4,5:23.0,Offensive rebound by D. Ayton,,84,109
4,5:21.0,I. Canaan misses 3-pt jump shot from 27 ft,,84,109
4,5:17.0,,Defensive rebound by D. Brooks,84,109
4,5:06.0,,Turnover by W. Selden (bad pass; steal by J. Jackson),84,109
4,4:51.0,D. Ayton makes 2-pt jump shot from 10 ft,,86,109
4,4:33.0,,M. Brooks makes 2-pt layup from 4 ft (assist by S. Mack),86,111
4,4:31.0,Phoenix full timeout,,86,111
4,4:31.0,T. Daniels enters the game for T. Ariza,,86,111
4,4:31.0,R. Holmes enters the game for D. Ayton,,86,111
4,4:31.0,E. Okobo enters the game for I. Canaan,,86,111
4,4:31.0,,A. Harrison enters the game for S. Mack,86,111
4,4:31.0,,Y. Watanabe enters the game for W. Selden,86,111
4,4:18.0,T. Daniels misses 3-pt jump shot from 25 ft,,86,111
4,4:15.0,,Defensive rebound by M. Brooks,86,111
4,4:08.0,,Turnover by I. Rabb (traveling),86,111
4,4:08.0,D. Bender enters the game for J. Jackson,,86,111
4,3:46.0,M. Bridges misses 2-pt jump shot from 15 ft,,86,111
4,3:39.0,Offensive rebound by D. Bender,,86,111
4,3:39.0,D. Bender misses 2-pt layup at rim,,86,111
4,3:35.0,Offensive rebound by D. Bender,,86,111
4,3:35.0,D. Bender makes 2-pt layup at rim,,88,111
4,3:28.0,,D. Brooks misses 2-pt jump shot from 19 ft,88,111
4,3:25.0,Defensive rebound by M. Bridges,,88,111
4,3:18.0,E. Okobo misses 2-pt jump shot from 12 ft,,88,111
4,3:12.0,Offensive rebound by M. Bridges,,88,111
4,3:12.0,M. Bridges misses 2-pt layup at rim,,88,111
4,3:11.0,,Defensive rebound by Y. Watanabe,88,111
4,3:03.0,,A. Harrison misses 3-pt jump shot from 24 ft,88,111
4,2:58.0,Defensive rebound by M. Bridges,,88,111
4,2:45.0,T. Daniels makes 3-pt jump shot from 25 ft (assist by E. Okobo),,91,111
4,2:31.0,,M. Brooks makes 2-pt jump shot from 13 ft (assist by I. Rabb),91,113
4,2:07.0,M. Bridges misses 3-pt jump shot from 22 ft,,91,113
4,2:03.0,,Defensive rebound by Y. Watanabe,91,113
4,1:50.0,,D. Brooks misses 3-pt jump shot from 22 ft,91,113
4,1:47.0,,Offensive rebound by I. Rabb,91,113
4,1:36.0,,Shooting foul by T. Daniels (drawn by Y. Watanabe),91,113
4,1:36.0,,Y. Watanabe makes free throw 1 of 2,91,114
4,1:36.0,,Y. Watanabe makes free throw 2 of 2,91,115
4,1:24.0,Turnover by T. Daniels (lost ball; steal by D. Brooks),,91,115
4,1:21.0,,Turnover by Y. Watanabe (bad pass),91,115
