QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,HOUSTON_ACTION,CHARLOTTE_SCORE,HOUSTON_SCORE
1,3:23.0,,Defensive rebound by K. Faried,12,24
1,3:23.0,Technical foul by J. Lamb,,12,24
1,3:23.0,,J. Harden makes technical free throw,12,25
1,3:12.0,,I. Shumpert misses 2-pt jump shot from 20 ft,12,25
1,3:09.0,Defensive rebound by M. Monk,,12,25
1,3:04.0,F. Kaminsky misses 3-pt jump shot from 23 ft,,12,25
1,3:02.0,Offensive rebound by Team,,12,25
1,3:02.0,,Loose ball foul by K. Faried (drawn by B. Biyombo),12,25
1,3:02.0,Charlotte full timeout,,12,25
1,3:02.0,D. Graham enters the game for K. Walker,,12,25
1,2:53.0,F. Kaminsky makes 2-pt layup from 1 ft (assist by D. Graham),,14,25
1,2:45.0,,Shooting foul by M. Monk (drawn by K. Faried),14,25
1,2:45.0,,K. Faried makes free throw 1 of 2,14,26
1,2:45.0,,K. Faried makes free throw 2 of 2,14,27
1,2:27.0,Turnover by F. Kaminsky (bad pass; steal by G. Green),,14,27
1,2:17.0,,J. Harden makes 3-pt jump shot from 24 ft,14,30
1,1:59.0,M. Monk makes 3-pt jump shot from 24 ft (assist by F. Kaminsky),,17,30
1,1:50.0,,Shooting foul by B. Biyombo (drawn by J. Harden),17,30
1,1:50.0,,J. Harden makes free throw 1 of 2,17,31
1,1:50.0,,C. Paul enters the game for A. Rivers,17,31
1,1:50.0,,J. Harden makes free throw 2 of 2,17,32
1,1:38.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,17,32
1,1:35.0,,Defensive rebound by C. Paul,17,32
1,1:22.0,,Shooting foul by D. Graham (drawn by J. Harden),17,32
1,1:22.0,,J. Harden makes free throw 1 of 2,17,33
1,1:22.0,,J. Harden makes free throw 2 of 2,17,34
1,1:02.0,B. Biyombo misses 2-pt jump shot from 20 ft,,17,34
1,0:59.0,,Defensive rebound by C. Paul,17,34
1,0:37.0,,J. Harden misses 3-pt jump shot from 25 ft,17,34
1,0:36.0,,Offensive rebound by Team,17,34
1,0:36.0,Loose ball foul by F. Kaminsky (drawn by K. Faried),,17,34
1,0:36.0,,K. Faried makes free throw 1 of 2,17,35
1,0:36.0,,K. Faried makes free throw 2 of 2,17,36
