QUARTER,TIME_REMAINING,LA LAKERS_ACTION,OKLAHOMA CITY_ACTION,LA LAKERS_SCORE,OKLAHOMA CITY_SCORE
2,8:35.0,Defensive rebound by L. Stephenson,,37,41
2,8:28.0,R. Bullock misses 2-pt layup from 2 ft (block by N. Noel),,37,41
2,8:24.0,Offensive rebound by J. McGee,,37,41
2,8:23.0,J. McGee makes 2-pt dunk from 3 ft,,39,41
2,8:13.0,,R. Felton misses 3-pt jump shot from 25 ft,39,41
2,8:09.0,Defensive rebound by A. Caruso,,39,41
2,8:02.0,Turnover by A. Caruso (bad pass; steal by R. Felton),,39,41
2,8:01.0,,Personal foul by R. Bullock (drawn by N. Noel),39,41
2,8:01.0,R. Rondo enters the game for K. Caldwell-Pope,,39,41
2,7:53.0,,N. Noel makes 2-pt dunk from 1 ft (assist by R. Westbrook),39,43
2,7:31.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. Stephenson),,41,43
2,7:14.0,,R. Felton misses 3-pt jump shot from 25 ft,41,43
2,7:11.0,,Offensive rebound by N. Noel,41,43
2,7:10.0,,Personal foul by L. Stephenson (drawn by J. Grant),41,43
2,7:10.0,M. Wagner enters the game for R. Bullock,,41,43
2,7:10.0,,S. Adams enters the game for P. George,41,43
2,7:10.0,,T. Ferguson enters the game for N. Noel,41,43
2,7:00.0,,R. Westbrook makes 2-pt jump shot from 14 ft (assist by S. Adams),41,45
2,6:40.0,Offensive foul by L. Stephenson (drawn by J. Grant),,41,45
2,6:40.0,Turnover by L. Stephenson (offensive foul),,41,45
2,6:40.0,,Oklahoma City full timeout,41,45
2,6:40.0,K. Caldwell-Pope enters the game for L. Stephenson,,41,45
2,6:29.0,,T. Ferguson misses 3-pt jump shot from 23 ft,41,45
2,6:25.0,,Offensive rebound by R. Westbrook,41,45
2,6:14.0,,J. Grant misses 3-pt jump shot from 25 ft,41,45
2,6:10.0,,Offensive rebound by T. Ferguson,41,45
2,6:08.0,,R. Westbrook misses 3-pt jump shot from 29 ft,41,45
2,6:06.0,Defensive rebound by J. McGee,,41,45
2,5:53.0,J. McGee makes 2-pt layup from 2 ft (assist by R. Rondo),,43,45
2,5:53.0,,P. George enters the game for T. Ferguson,43,45
2,5:42.0,,R. Westbrook misses 2-pt jump shot from 14 ft,43,45
2,5:38.0,,Offensive rebound by S. Adams,43,45
2,5:38.0,,S. Adams misses 2-pt layup at rim,43,45
2,5:38.0,,Offensive rebound by S. Adams,43,45
2,5:38.0,,Personal foul by M. Wagner (drawn by S. Adams),43,45
2,5:30.0,,R. Westbrook misses 2-pt jump shot from 14 ft,43,45
2,5:25.0,Defensive rebound by J. McGee,,43,45
2,5:21.0,A. Caruso misses 2-pt layup from 2 ft (block by S. Adams),,43,45
2,5:21.0,Offensive rebound by Team,,43,45
2,5:14.0,Turnover by J. McGee (lost ball; steal by P. George),,43,45
2,5:06.0,,J. Grant makes 3-pt jump shot from 26 ft (assist by P. George),43,48
2,4:50.0,LA Lakers full timeout,,43,48
2,4:50.0,M. Muscala enters the game for J. McGee,,43,48
2,4:40.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,43,48
2,4:36.0,,Defensive rebound by Team,43,48
2,4:22.0,,P. George misses 3-pt jump shot from 25 ft,43,48
2,4:17.0,Defensive rebound by R. Rondo,,43,48
2,4:01.0,K. Caldwell-Pope makes 3-pt jump shot from 24 ft,,46,48
2,3:51.0,,S. Adams misses 2-pt hook shot from 6 ft,46,48
2,3:50.0,Defensive rebound by M. Muscala,,46,48
2,3:40.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft,,49,48
2,3:18.0,,R. Westbrook misses 3-pt jump shot from 26 ft,49,48
2,3:15.0,,Offensive rebound by S. Adams,49,48
2,3:13.0,,Turnover by S. Adams (bad pass; steal by A. Caruso),49,48
2,3:07.0,Shooting foul by R. Felton (drawn by A. Caruso),,49,48
2,3:07.0,A. Caruso misses free throw 1 of 2,,49,48
2,3:07.0,Offensive rebound by Team,,49,48
2,3:07.0,,D. Schröder enters the game for R. Felton,49,48
2,3:07.0,A. Caruso makes free throw 2 of 2,,50,48
2,2:57.0,,P. George makes 3-pt jump shot from 23 ft (assist by R. Westbrook),50,51
2,2:38.0,M. Muscala makes 3-pt jump shot from 24 ft (assist by M. Wagner),,53,51
2,2:19.0,,R. Westbrook misses 3-pt jump shot from 24 ft,53,51
2,2:17.0,,Offensive rebound by Team,53,51
2,2:17.0,Loose ball foul by M. Wagner (drawn by S. Adams),,53,51
2,2:17.0,,Oklahoma City full timeout,53,51
2,2:17.0,J. McGee enters the game for M. Wagner,,53,51
2,2:17.0,,S. Adams misses free throw 1 of 2,53,51
2,2:17.0,,Offensive rebound by Team,53,51
2,2:17.0,,S. Adams makes free throw 2 of 2,53,52
2,1:53.0,R. Rondo misses 2-pt jump shot from 23 ft,,53,52
2,1:53.0,Offensive rebound by Team,,53,52
2,1:53.0,Turnover by Team (shot clock),,53,52
2,1:53.0,,N. Noel enters the game for S. Adams,53,52
2,1:42.0,,J. Grant misses 3-pt jump shot from 23 ft,53,52
2,1:39.0,,Offensive rebound by Team,53,52
2,1:32.0,,R. Westbrook makes 3-pt jump shot from 23 ft,53,55
2,1:21.0,Offensive foul by J. McGee (drawn by P. George),,53,55
2,1:21.0,Turnover by J. McGee (offensive foul),,53,55
2,1:21.0,R. Bullock enters the game for J. McGee,,53,55
2,1:10.0,,D. Schröder makes 2-pt layup from 1 ft (assist by R. Westbrook),53,57
2,1:10.0,,T. Ferguson enters the game for D. Schröder,53,57
2,0:46.0,K. Caldwell-Pope misses 2-pt jump shot from 22 ft,,53,57
2,0:44.0,,Defensive rebound by T. Ferguson,53,57
2,0:38.0,,N. Noel makes 2-pt dunk from 1 ft (assist by R. Westbrook),53,59
2,0:28.0,Shooting foul by J. Grant (drawn by M. Muscala),,53,59
2,0:28.0,M. Muscala makes free throw 1 of 2,,54,59
2,0:28.0,M. Muscala makes free throw 2 of 2,,55,59
2,0:23.0,,T. Ferguson misses 3-pt jump shot from 22 ft,55,59
2,0:20.0,Defensive rebound by R. Rondo,,55,59
2,0:01.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,55,59
2,0:01.0,,Defensive rebound by R. Westbrook,55,59
3,11:48.0,,S. Adams misses 2-pt hook shot from 6 ft,55,59
3,11:45.0,Defensive rebound by M. Wagner,,55,59
3,11:31.0,Personal foul by R. Westbrook (drawn by K. Caldwell-Pope),,55,59
3,11:27.0,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,,55,59
3,11:27.0,Offensive rebound by Team,,55,59
3,11:27.0,,Loose ball foul by T. Ferguson (drawn by J. McGee),55,59
3,11:23.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,55,59
3,11:19.0,,Defensive rebound by P. George,55,59
3,11:14.0,,J. Grant makes 3-pt jump shot from 22 ft (assist by R. Westbrook),55,62
3,11:01.0,J. McGee makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,57,62
3,10:52.0,,P. George makes 3-pt jump shot from 26 ft (assist by S. Adams),57,65
3,10:35.0,M. Wagner makes 2-pt layup from 3 ft (assist by L. Stephenson),,59,65
3,10:26.0,,R. Westbrook misses 3-pt jump shot from 25 ft,59,65
3,10:24.0,Defensive rebound by J. McGee,,59,65
3,10:18.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by R. Rondo),,61,65
3,10:18.0,,Oklahoma City full timeout,61,65
3,10:08.0,,P. George misses 3-pt jump shot from 23 ft,61,65
3,10:05.0,,Offensive rebound by S. Adams,61,65
3,9:57.0,,T. Ferguson makes 3-pt jump shot from 22 ft (assist by R. Westbrook),61,68
3,9:35.0,J. McGee misses 2-pt jump shot from 4 ft,,61,68
3,9:34.0,Offensive rebound by Team,,61,68
3,9:27.0,M. Wagner misses 3-pt jump shot from 25 ft,,61,68
3,9:23.0,Offensive rebound by J. McGee,,61,68
3,9:19.0,R. Rondo misses 3-pt jump shot from 27 ft,,61,68
3,9:16.0,,Defensive rebound by P. George,61,68
3,9:12.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),61,71
3,9:00.0,Personal foul by T. Ferguson (drawn by K. Caldwell-Pope),,61,71
3,8:49.0,L. Stephenson makes 3-pt jump shot from 23 ft (assist by J. McGee),,64,71
3,8:39.0,,R. Westbrook misses 2-pt jump shot from 9 ft,64,71
3,8:36.0,Defensive rebound by R. Rondo,,64,71
3,8:28.0,M. Wagner misses 2-pt layup from 2 ft,,64,71
3,8:28.0,,Defensive rebound by Team,64,71
3,8:28.0,Loose ball foul by J. McGee (drawn by S. Adams),,64,71
3,8:19.0,,J. Grant misses 2-pt dunk from 1 ft,64,71
3,8:17.0,,Offensive rebound by R. Westbrook,64,71
3,8:13.0,,Personal foul by L. Stephenson (drawn by R. Westbrook),64,71
3,8:13.0,,D. Schröder enters the game for T. Ferguson,64,71
3,8:03.0,,Shooting foul by L. Stephenson (drawn by D. Schröder),64,71
3,8:03.0,,D. Schröder makes free throw 1 of 2,64,72
3,8:03.0,,D. Schröder makes free throw 2 of 2,64,73
3,7:54.0,M. Wagner misses 2-pt layup from 2 ft (block by S. Adams),,64,73
3,7:54.0,Offensive rebound by Team,,64,73
3,7:42.0,L. Stephenson misses 3-pt jump shot from 25 ft,,64,73
3,7:38.0,,Defensive rebound by P. George,64,73
3,7:34.0,,Personal foul by L. Stephenson (drawn by J. Grant),64,73
3,7:34.0,R. Bullock enters the game for J. McGee,,64,73
3,7:34.0,M. Muscala enters the game for L. Stephenson,,64,73
3,7:29.0,,J. Grant misses 3-pt jump shot from 26 ft,64,73
3,7:25.0,Defensive rebound by K. Caldwell-Pope,,64,73
3,7:21.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by R. Rondo),,67,73
3,7:12.0,,Personal foul by K. Caldwell-Pope (drawn by S. Adams),67,73
3,7:12.0,,S. Adams misses free throw 1 of 2,67,73
3,7:12.0,,Offensive rebound by Team,67,73
3,7:12.0,,S. Adams misses free throw 2 of 2,67,73
3,7:10.0,Defensive rebound by R. Rondo,,67,73
3,6:53.0,R. Rondo misses 2-pt layup from 4 ft,,67,73
3,6:50.0,,Defensive rebound by R. Westbrook,67,73
3,6:48.0,,R. Westbrook makes 2-pt layup from 1 ft,67,75
3,6:48.0,,Shooting foul by M. Wagner (drawn by R. Westbrook),67,75
3,6:48.0,,R. Westbrook misses free throw 1 of 1,67,75
3,6:44.0,Defensive rebound by R. Bullock,,67,75
3,6:28.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,67,75
3,6:26.0,,Defensive rebound by R. Westbrook,67,75
3,6:15.0,,P. George makes 2-pt jump shot from 10 ft,67,77
3,5:52.0,R. Rondo misses 3-pt jump shot from 23 ft,,67,77
3,5:49.0,,Defensive rebound by R. Westbrook,67,77
3,5:44.0,,R. Westbrook makes 2-pt layup from 2 ft,67,79
3,5:44.0,LA Lakers full timeout,,67,79
3,5:24.0,R. Bullock makes 3-pt jump shot from 24 ft,,70,79
3,5:10.0,,J. Grant makes 2-pt layup at rim (assist by R. Westbrook),70,81
3,4:57.0,R. Bullock misses 3-pt jump shot from 27 ft,,70,81
3,4:53.0,,Defensive rebound by J. Grant,70,81
3,4:45.0,,P. George misses 2-pt layup from 5 ft (block by R. Rondo),70,81
3,4:45.0,,Offensive rebound by Team,70,81
3,4:45.0,A. Caruso enters the game for R. Rondo,,70,81
3,4:45.0,,R. Felton enters the game for P. George,70,81
3,4:38.0,,R. Westbrook makes 2-pt jump shot from 17 ft,70,83
3,4:22.0,Turnover by R. Bullock (lost ball; steal by R. Westbrook),,70,83
3,4:19.0,,R. Westbrook makes 2-pt dunk from 1 ft (assist by R. Felton),70,85
3,4:19.0,LA Lakers full timeout,,70,85
3,4:19.0,R. Rondo enters the game for K. Caldwell-Pope,,70,85
3,4:05.0,Turnover by M. Wagner (lost ball; steal by D. Schröder),,70,85
3,4:02.0,,Turnover by D. Schröder (bad pass; steal by R. Rondo),70,85
3,3:59.0,R. Rondo makes 2-pt dunk from 1 ft,,72,85
3,3:50.0,,Offensive foul by R. Westbrook (drawn by A. Caruso),72,85
3,3:50.0,,Turnover by R. Westbrook (offensive foul),72,85
3,3:37.0,R. Rondo makes 2-pt layup from 1 ft,,74,85
3,3:25.0,,R. Westbrook makes 3-pt jump shot from 28 ft (assist by D. Schröder),74,88
3,3:04.0,A. Caruso misses 2-pt jump shot from 15 ft,,74,88
3,3:00.0,,Defensive rebound by J. Grant,74,88
3,2:55.0,,R. Westbrook misses 2-pt jump shot from 18 ft,74,88
3,2:51.0,,Offensive rebound by S. Adams,74,88
3,2:47.0,,D. Schröder misses 3-pt jump shot from 28 ft,74,88
3,2:44.0,,Offensive rebound by R. Westbrook,74,88
3,2:38.0,,Shooting foul by M. Wagner (drawn by J. Grant),74,88
3,2:38.0,,J. Grant makes free throw 1 of 2,74,89
3,2:38.0,J. McGee enters the game for M. Wagner,,74,89
3,2:38.0,,P. George enters the game for R. Westbrook,74,89
3,2:38.0,,J. Grant makes free throw 2 of 2,74,90
3,2:23.0,J. McGee misses 2-pt layup from 3 ft (block by S. Adams),,74,90
3,2:23.0,Offensive rebound by Team,,74,90
3,2:23.0,,M. Morris enters the game for J. Grant,74,90
3,2:13.0,Turnover by Team (shot clock),,74,90
3,2:03.0,,D. Schröder makes 2-pt layup from 2 ft,74,92
3,2:03.0,Violation by Team (def goaltending),,74,92
3,1:54.0,R. Rondo misses 3-pt jump shot from 25 ft,,74,92
3,1:52.0,,Defensive rebound by M. Morris,74,92
3,1:41.0,,Turnover by S. Adams (turnover),74,92
3,1:41.0,,Loose ball foul by S. Adams (drawn by R. Bullock),74,92
3,1:41.0,,N. Noel enters the game for S. Adams,74,92
3,1:29.0,R. Bullock makes 2-pt jump shot from 16 ft (assist by R. Rondo),,76,92
3,1:15.0,,N. Noel misses 2-pt jump shot from 7 ft,76,92
3,1:13.0,Defensive rebound by J. McGee,,76,92
3,1:07.0,R. Bullock misses 3-pt jump shot from 24 ft,,76,92
3,1:04.0,Offensive rebound by R. Rondo,,76,92
3,1:01.0,R. Rondo misses 2-pt layup from 3 ft,,76,92
3,0:59.0,,Defensive rebound by P. George,76,92
3,0:54.0,,R. Felton misses 3-pt jump shot from 23 ft,76,92
3,0:51.0,Defensive rebound by J. McGee,,76,92
3,0:36.0,M. Muscala makes 2-pt jump shot from 14 ft (assist by A. Caruso),,78,92
3,0:28.0,,P. George misses 3-pt jump shot from 26 ft,78,92
3,0:25.0,Defensive rebound by J. McGee,,78,92
3,0:03.0,Turnover by A. Caruso (lost ball; steal by P. George),,78,92
3,0:00.0,,R. Felton makes 2-pt layup from 2 ft,78,94
4,11:43.0,Personal foul by M. Morris (drawn by J. Williams),,78,94
4,11:33.0,J. Williams makes 2-pt dunk from 1 ft,,80,94
4,11:17.0,,Turnover by P. George (bad pass),80,94
4,11:04.0,A. Caruso makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,82,94
4,10:44.0,,D. Schröder misses 3-pt jump shot from 23 ft,82,94
4,10:41.0,,Offensive rebound by Team,82,94
4,10:41.0,Loose ball foul by A. Caruso (drawn by N. Noel),,82,94
4,10:41.0,,T. Ferguson enters the game for R. Felton,82,94
4,10:38.0,,M. Morris makes 2-pt jump shot from 11 ft (assist by P. George),82,96
4,10:16.0,Shooting foul by N. Noel (drawn by A. Caruso),,82,96
4,10:16.0,A. Caruso makes free throw 1 of 2,,83,96
4,10:16.0,A. Caruso misses free throw 2 of 2,,83,96
4,10:12.0,,Defensive rebound by D. Schröder,83,96
4,9:57.0,,M. Morris misses 2-pt hook shot from 8 ft,83,96
4,9:55.0,Defensive rebound by R. Bullock,,83,96
4,9:44.0,Turnover by A. Caruso (lost ball; steal by M. Morris),,83,96
4,9:44.0,,Personal take foul by A. Caruso (drawn by M. Morris),83,96
4,9:28.0,,P. George misses 2-pt layup from 5 ft,83,96
4,9:22.0,Defensive rebound by K. Caldwell-Pope,,83,96
4,9:15.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by A. Caruso),,86,96
4,9:05.0,,D. Schröder makes 2-pt jump shot from 1 ft,86,98
4,8:56.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,86,98
4,8:53.0,,Defensive rebound by N. Noel,86,98
4,8:46.0,,Turnover by P. George (bad pass; steal by K. Caldwell-Pope),86,98
4,8:40.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by A. Caruso),,89,98
4,8:13.0,,N. Noel makes 2-pt layup from 2 ft (assist by P. George),89,100
4,8:13.0,,Shooting foul by K. Caldwell-Pope (drawn by N. Noel),89,100
4,8:13.0,,R. Westbrook enters the game for P. George,89,100
4,8:13.0,,N. Noel makes free throw 1 of 1,89,101
4,7:58.0,L. Stephenson misses 3-pt jump shot from 23 ft,,89,101
4,7:55.0,,Defensive rebound by R. Westbrook,89,101
4,7:47.0,,Turnover by R. Westbrook (back court),89,101
4,7:32.0,L. Stephenson makes 3-pt jump shot from 25 ft,,92,101
4,7:09.0,,D. Schröder misses 2-pt layup from 3 ft,92,101
4,7:07.0,Defensive rebound by K. Caldwell-Pope,,92,101
4,7:02.0,J. Williams makes 2-pt layup from 2 ft (assist by A. Caruso),,94,101
4,7:02.0,,Oklahoma City full timeout,94,101
4,7:02.0,,S. Adams enters the game for M. Morris,94,101
4,7:02.0,,J. Grant enters the game for N. Noel,94,101
4,6:52.0,,D. Schröder misses 3-pt jump shot from 22 ft,94,101
4,6:49.0,,Offensive rebound by S. Adams,94,101
4,6:48.0,,T. Ferguson misses 3-pt jump shot from 26 ft,94,101
4,6:48.0,,Offensive rebound by R. Westbrook,94,101
4,6:44.0,,D. Schröder misses 3-pt jump shot from 24 ft,94,101
4,6:41.0,Defensive rebound by Team,,94,101
4,6:30.0,A. Caruso makes 2-pt dunk from 1 ft,,96,101
4,6:14.0,,Shooting foul by J. Williams (drawn by T. Ferguson),96,101
