QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MILWAUKEE_ACTION,SAN ANTONIO_SCORE,MILWAUKEE_SCORE
1,7:28.0,,G. Antetokounmpo makes 2-pt layup at rim,7,19
1,7:17.0,B. Forbes makes 2-pt jump shot from 12 ft (assist by L. Aldridge),,9,19
1,7:02.0,,Turnover by E. Bledsoe (bad pass; steal by D. Cunningham),9,19
1,6:53.0,D. DeRozan makes 2-pt jump shot from 15 ft,,11,19
1,6:38.0,,Turnover by K. Middleton (bad pass; steal by D. DeRozan),11,19
1,6:32.0,Personal foul by M. Brogdon (drawn by D. DeRozan),,11,19
1,6:32.0,,T. Maker enters the game for B. Lopez,11,19
1,6:25.0,Turnover by B. Forbes (bad pass; steal by G. Antetokounmpo),,11,19
1,6:21.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,11,21
1,5:58.0,D. DeRozan misses 2-pt jump shot from 8 ft,,11,21
1,5:58.0,,Defensive rebound by Team,11,21
1,5:41.0,,K. Middleton makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),11,24
1,5:24.0,Turnover by L. Aldridge (bad pass; steal by E. Bledsoe),,11,24
1,5:22.0,,E. Bledsoe makes 2-pt dunk from 1 ft,11,26
1,5:22.0,San Antonio full timeout,,11,26
1,5:22.0,M. Belinelli enters the game for L. Aldridge,,11,26
1,5:22.0,D. Bertāns enters the game for D. Cunningham,,11,26
1,5:22.0,P. Mills enters the game for D. DeRozan,,11,26
1,5:22.0,J. Poeltl enters the game for B. Forbes,,11,26
1,5:22.0,D. White enters the game for R. Gay,,11,26
1,5:09.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by M. Belinelli),,14,26
1,4:47.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,14,26
1,4:45.0,Defensive rebound by Team,,14,26
1,4:45.0,,T. Snell enters the game for G. Antetokounmpo,14,26
1,4:28.0,D. Bertāns makes 3-pt jump shot from 29 ft (assist by P. Mills),,17,26
1,4:11.0,,K. Middleton makes 2-pt jump shot from 11 ft,17,28
1,3:51.0,D. White misses 2-pt jump shot from 16 ft,,17,28
1,3:49.0,,Defensive rebound by M. Brogdon,17,28
1,3:43.0,,Turnover by M. Brogdon (traveling),17,28
1,3:43.0,,P. Connaughton enters the game for M. Brogdon,17,28
1,3:32.0,M. Belinelli makes 3-pt jump shot from 27 ft (assist by P. Mills),,20,28
1,3:14.0,,T. Maker misses 3-pt jump shot from 27 ft,20,28
1,3:12.0,Defensive rebound by P. Mills,,20,28
1,3:05.0,J. Poeltl makes 2-pt hook shot from 5 ft (assist by D. Bertāns),,22,28
1,3:05.0,,Milwaukee full timeout,22,28
1,3:05.0,,M. Dellavedova enters the game for E. Bledsoe,22,28
1,3:05.0,,B. Lopez enters the game for K. Middleton,22,28
1,2:51.0,,P. Connaughton misses 3-pt jump shot from 23 ft,22,28
1,2:48.0,Defensive rebound by D. Bertāns,,22,28
1,2:38.0,D. Bertāns makes 2-pt jump shot from 18 ft,,24,28
1,2:22.0,,T. Snell misses 2-pt jump shot from 20 ft,24,28
1,2:20.0,Defensive rebound by D. White,,24,28
1,2:12.0,P. Mills misses 3-pt jump shot from 27 ft,,24,28
1,2:09.0,,Defensive rebound by T. Maker,24,28
1,2:00.0,,M. Dellavedova makes 2-pt jump shot from 14 ft,24,30
1,1:54.0,D. Bertāns makes 3-pt jump shot from 28 ft (assist by D. White),,27,30
1,1:39.0,,Turnover by B. Lopez (bad pass; steal by D. Bertāns),27,30
1,1:34.0,M. Belinelli misses 3-pt jump shot from 23 ft,,27,30
1,1:29.0,Offensive rebound by J. Poeltl,,27,30
1,1:25.0,D. White makes 2-pt hook shot from 5 ft (assist by J. Poeltl),,29,30
1,1:13.0,,P. Connaughton makes 2-pt layup from 2 ft (assist by M. Dellavedova),29,32
1,1:06.0,Personal foul by M. Dellavedova (drawn by P. Mills),,29,32
1,1:06.0,,G. Antetokounmpo enters the game for T. Maker,29,32
1,1:04.0,Shooting foul by M. Dellavedova (drawn by P. Mills),,29,32
1,1:04.0,P. Mills makes free throw 1 of 2,,30,32
1,1:04.0,P. Mills makes free throw 2 of 2,,31,32
1,0:56.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by M. Dellavedova),31,34
1,0:50.0,P. Mills makes 2-pt jump shot from 18 ft,,33,34
1,0:36.0,,Offensive foul by G. Antetokounmpo (drawn by P. Mills),33,34
1,0:36.0,,Turnover by G. Antetokounmpo (offensive foul),33,34
1,0:30.0,J. Poeltl makes 2-pt layup from 1 ft (assist by D. White),,35,34
1,0:30.0,Shooting foul by B. Lopez (drawn by J. Poeltl),,35,34
1,0:30.0,J. Poeltl makes free throw 1 of 1,,36,34
1,0:11.0,,P. Connaughton misses 3-pt jump shot from 23 ft,36,34
1,0:11.0,Defensive rebound by Team,,36,34
1,0:02.0,D. White misses 2-pt jump shot from 11 ft,,36,34
1,0:02.0,,Defensive rebound by G. Antetokounmpo,36,34
1,0:00.0,,Shooting foul by D. White (drawn by G. Antetokounmpo),36,34
1,0:00.0,,G. Antetokounmpo makes free throw 1 of 3,36,35
1,0:00.0,,G. Antetokounmpo makes free throw 2 of 3,36,36
1,0:00.0,,G. Antetokounmpo makes free throw 3 of 3,36,37
2,11:44.0,D. DeRozan misses 2-pt jump shot from 15 ft (block by P. Connaughton),,36,37
2,11:38.0,,Defensive rebound by P. Connaughton,36,37
2,11:34.0,,Turnover by P. Connaughton (bad pass; steal by R. Gay),36,37
2,11:23.0,R. Gay misses 3-pt jump shot from 27 ft,,36,37
2,11:20.0,Offensive rebound by D. Cunningham,,36,37
2,11:19.0,R. Gay makes 2-pt layup from 1 ft (assist by D. Cunningham),,38,37
2,11:19.0,Shooting foul by P. Connaughton (drawn by R. Gay),,38,37
2,11:19.0,,M. Brogdon enters the game for M. Dellavedova,38,37
2,11:19.0,R. Gay misses free throw 1 of 1,,38,37
2,11:16.0,,Defensive rebound by G. Antetokounmpo,38,37
2,10:56.0,,P. Connaughton makes 2-pt dunk at rim (assist by M. Brogdon),38,39
2,10:47.0,L. Aldridge makes 2-pt dunk from 1 ft (assist by R. Gay),,40,39
2,10:34.0,,T. Snell makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),40,42
2,10:34.0,San Antonio full timeout,,40,42
2,10:34.0,,S. Brown enters the game for T. Snell,40,42
2,10:15.0,L. Aldridge misses 2-pt jump shot from 14 ft,,40,42
2,10:12.0,,Defensive rebound by G. Antetokounmpo,40,42
2,10:07.0,,B. Lopez makes 2-pt hook shot from 5 ft (assist by G. Antetokounmpo),40,44
2,9:55.0,D. DeRozan makes 2-pt jump shot from 13 ft,,42,44
2,9:31.0,,G. Antetokounmpo misses 2-pt layup at rim,42,44
2,9:28.0,Defensive rebound by B. Forbes,,42,44
2,9:22.0,B. Forbes misses 2-pt jump shot from 21 ft,,42,44
2,9:20.0,,Defensive rebound by G. Antetokounmpo,42,44
2,9:07.0,,S. Brown misses 3-pt jump shot from 26 ft,42,44
2,9:04.0,Defensive rebound by D. Cunningham,,42,44
2,8:53.0,D. DeRozan makes 3-pt jump shot from 23 ft (assist by R. Gay),,45,44
2,8:33.0,,M. Brogdon misses 2-pt layup from 1 ft,45,44
2,8:30.0,Defensive rebound by R. Gay,,45,44
2,8:10.0,D. Cunningham misses 3-pt jump shot from 26 ft,,45,44
2,8:08.0,,Defensive rebound by G. Antetokounmpo,45,44
2,8:06.0,,Shooting foul by B. Forbes (drawn by G. Antetokounmpo),45,44
2,8:06.0,,G. Antetokounmpo makes free throw 1 of 2,45,45
2,8:06.0,,T. Maker enters the game for P. Connaughton,45,45
2,8:06.0,,K. Middleton enters the game for B. Lopez,45,45
2,8:06.0,,G. Antetokounmpo misses free throw 2 of 2,45,45
2,8:01.0,,Offensive rebound by T. Maker,45,45
2,7:57.0,,M. Brogdon misses 3-pt jump shot from 28 ft,45,45
2,7:52.0,Defensive rebound by L. Aldridge,,45,45
2,7:34.0,B. Forbes makes 2-pt layup from 2 ft,,47,45
2,7:23.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by T. Maker),47,48
2,7:12.0,Shooting foul by T. Maker (drawn by D. DeRozan),,47,48
2,7:12.0,D. DeRozan makes free throw 1 of 2,,48,48
2,7:12.0,,E. Bledsoe enters the game for G. Antetokounmpo,48,48
2,7:12.0,D. DeRozan misses free throw 2 of 2,,48,48
2,7:11.0,Offensive rebound by Team,,48,48
2,7:11.0,D. Bertāns enters the game for D. Cunningham,,48,48
2,7:06.0,D. DeRozan makes 2-pt jump shot from 9 ft,,50,48
2,7:06.0,Shooting foul by M. Brogdon (drawn by D. DeRozan),,50,48
2,7:06.0,D. DeRozan misses free throw 1 of 1,,50,48
2,7:06.0,Offensive rebound by D. DeRozan,,50,48
2,6:57.0,D. DeRozan makes 2-pt layup at rim,,52,48
2,6:35.0,,S. Brown makes 2-pt layup from 1 ft (assist by M. Brogdon),52,50
2,6:23.0,D. DeRozan misses 2-pt jump shot from 12 ft,,52,50
2,6:20.0,,Defensive rebound by T. Maker,52,50
2,6:16.0,,K. Middleton makes 3-pt jump shot from 27 ft,52,53
2,5:54.0,L. Aldridge makes 2-pt dunk from 1 ft (assist by R. Gay),,54,53
2,5:44.0,,E. Bledsoe makes 2-pt layup from 2 ft,54,55
2,5:21.0,B. Forbes makes 2-pt jump shot from 15 ft (assist by L. Aldridge),,56,55
2,4:55.0,,S. Brown makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),56,58
2,4:42.0,D. Bertāns makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,59,58
2,4:42.0,Shooting foul by S. Brown (drawn by D. Bertāns),,59,58
2,4:42.0,M. Belinelli enters the game for L. Aldridge,,59,58
2,4:42.0,P. Mills enters the game for B. Forbes,,59,58
2,4:42.0,J. Poeltl enters the game for R. Gay,,59,58
2,4:42.0,D. Bertāns makes free throw 1 of 1,,60,58
2,4:29.0,,K. Middleton makes 2-pt jump shot from 11 ft,60,60
2,4:19.0,D. DeRozan misses 2-pt jump shot from 12 ft,,60,60
2,4:16.0,,Defensive rebound by S. Brown,60,60
2,4:11.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,60,60
2,4:08.0,Defensive rebound by D. DeRozan,,60,60
2,3:59.0,D. Bertāns misses 3-pt jump shot from 28 ft,,60,60
2,3:54.0,Offensive rebound by J. Poeltl,,60,60
2,3:47.0,Personal foul by E. Bledsoe (drawn by D. DeRozan),,60,60
2,3:47.0,D. DeRozan makes free throw 1 of 2,,61,60
2,3:47.0,,G. Antetokounmpo enters the game for M. Brogdon,61,60
2,3:47.0,D. DeRozan makes free throw 2 of 2,,62,60
2,3:33.0,,T. Maker makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),62,63
2,3:10.0,Turnover by J. Poeltl (bad pass; steal by G. Antetokounmpo),,62,63
2,3:05.0,,T. Maker makes 2-pt layup from 1 ft (assist by E. Bledsoe),62,65
2,2:55.0,M. Belinelli misses 3-pt jump shot from 27 ft,,62,65
2,2:52.0,,Defensive rebound by G. Antetokounmpo,62,65
2,2:45.0,,T. Maker misses 3-pt jump shot from 23 ft,62,65
2,2:41.0,Defensive rebound by D. Bertāns,,62,65
2,2:35.0,Personal foul by G. Antetokounmpo (drawn by D. DeRozan),,62,65
2,2:35.0,,Milwaukee full timeout,62,65
2,2:35.0,,P. Connaughton enters the game for S. Brown,62,65
2,2:35.0,,B. Lopez enters the game for T. Maker,62,65
2,2:35.0,D. DeRozan makes free throw 1 of 2,,63,65
2,2:35.0,D. DeRozan makes free throw 2 of 2,,64,65
2,2:21.0,,Shooting foul by D. Bertāns (drawn by G. Antetokounmpo),64,65
2,2:21.0,,G. Antetokounmpo makes free throw 1 of 2,64,66
2,2:21.0,D. Cunningham enters the game for D. DeRozan,,64,66
2,2:21.0,,G. Antetokounmpo makes free throw 2 of 2,64,67
2,2:08.0,M. Belinelli misses 2-pt jump shot from 14 ft,,64,67
2,2:06.0,,Defensive rebound by P. Connaughton,64,67
2,1:59.0,,P. Connaughton misses 3-pt jump shot from 27 ft,64,67
2,1:56.0,Defensive rebound by D. Bertāns,,64,67
2,1:40.0,Shooting foul by K. Middleton (drawn by M. Belinelli),,64,67
2,1:40.0,M. Belinelli makes free throw 1 of 2,,65,67
2,1:40.0,M. Belinelli makes free throw 2 of 2,,66,67
2,1:31.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,66,67
2,1:28.0,,Offensive rebound by G. Antetokounmpo,66,67
2,1:22.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,66,67
2,1:19.0,Defensive rebound by D. Cunningham,,66,67
2,1:04.0,J. Poeltl misses 2-pt layup from 4 ft (block by G. Antetokounmpo),,66,67
2,1:03.0,Offensive rebound by Team,,66,67
2,0:59.0,M. Belinelli misses 2-pt jump shot from 19 ft,,66,67
2,0:59.0,,Defensive rebound by G. Antetokounmpo,66,67
2,0:48.0,,B. Lopez misses 3-pt jump shot from 28 ft,66,67
2,0:45.0,Defensive rebound by P. Mills,,66,67
2,0:39.0,M. Belinelli makes 2-pt jump shot from 13 ft,,68,67
2,0:31.0,,K. Middleton misses 3-pt jump shot from 26 ft,68,67
2,0:30.0,Defensive rebound by Team,,68,67
2,0:30.0,Personal foul by P. Connaughton (drawn by P. Mills),,68,67
2,0:30.0,P. Mills misses free throw 1 of 2,,68,67
2,0:30.0,Offensive rebound by Team,,68,67
2,0:30.0,P. Mills misses free throw 2 of 2,,68,67
2,0:26.0,,Defensive rebound by B. Lopez,68,67
2,0:07.0,,Personal foul by D. Bertāns (drawn by P. Connaughton),68,67
2,0:07.0,B. Forbes enters the game for D. Bertāns,,68,67
2,0:07.0,Q. Pondexter enters the game for J. Poeltl,,68,67
2,0:00.0,,G. Antetokounmpo misses 2-pt jump shot from 8 ft,68,67
2,0:00.0,Defensive rebound by D. Cunningham,,68,67
3,11:50.0,Personal foul by E. Bledsoe (drawn by B. Forbes),,68,67
3,11:38.0,D. DeRozan misses 2-pt jump shot from 8 ft,,68,67
3,11:33.0,Offensive rebound by D. Cunningham,,68,67
3,11:33.0,D. Cunningham makes 2-pt layup at rim,,70,67
3,11:25.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,70,67
3,11:22.0,Defensive rebound by D. Cunningham,,70,67
3,11:16.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),,72,67
3,11:00.0,,M. Brogdon makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),72,70
3,10:47.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),,74,70
3,10:33.0,,Personal foul by B. Forbes (drawn by B. Lopez),74,70
3,10:25.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,74,70
3,10:22.0,Defensive rebound by D. DeRozan,,74,70
3,10:15.0,L. Aldridge misses 2-pt jump shot from 17 ft,,74,70
3,10:12.0,,Defensive rebound by G. Antetokounmpo,74,70
3,10:06.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,74,72
3,9:44.0,Shooting foul by B. Lopez (drawn by L. Aldridge),,74,72
3,9:44.0,L. Aldridge misses free throw 1 of 2,,74,72
3,9:44.0,Offensive rebound by Team,,74,72
3,9:44.0,L. Aldridge makes free throw 2 of 2,,75,72
3,9:26.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,75,72
3,9:23.0,Defensive rebound by D. Cunningham,,75,72
3,9:17.0,D. DeRozan makes 2-pt jump shot from 11 ft,,77,72
3,8:56.0,,K. Middleton misses 2-pt jump shot from 17 ft,77,72
3,8:53.0,Defensive rebound by D. Cunningham,,77,72
3,8:47.0,B. Forbes misses 2-pt jump shot from 17 ft,,77,72
3,8:45.0,,Defensive rebound by G. Antetokounmpo,77,72
3,8:40.0,,Shooting foul by B. Forbes (drawn by E. Bledsoe),77,72
3,8:40.0,,E. Bledsoe makes free throw 1 of 2,77,73
3,8:40.0,,E. Bledsoe makes free throw 2 of 2,77,74
3,8:25.0,Shooting foul by B. Lopez (drawn by L. Aldridge),,77,74
3,8:25.0,L. Aldridge makes free throw 1 of 2,,78,74
3,8:25.0,L. Aldridge makes free throw 2 of 2,,79,74
3,8:16.0,,E. Bledsoe misses 2-pt layup from 3 ft,79,74
3,8:13.0,,Offensive rebound by G. Antetokounmpo,79,74
3,8:11.0,,Turnover by G. Antetokounmpo (lost ball; steal by L. Aldridge),79,74
3,8:04.0,R. Gay misses 2-pt layup from 2 ft,,79,74
3,8:02.0,,Defensive rebound by E. Bledsoe,79,74
3,8:00.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),79,76
3,7:44.0,D. DeRozan makes 2-pt jump shot from 16 ft,,81,76
3,7:34.0,,Personal foul by R. Gay (drawn by K. Middleton),81,76
3,7:34.0,,T. Maker enters the game for B. Lopez,81,76
3,7:34.0,,Milwaukee full timeout,81,76
3,7:34.0,D. Bertāns enters the game for R. Gay,,81,76
3,7:26.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),81,78
3,7:06.0,D. DeRozan misses 2-pt jump shot from 11 ft,,81,78
3,7:01.0,,Defensive rebound by K. Middleton,81,78
3,6:58.0,,T. Maker misses 3-pt jump shot from 27 ft,81,78
3,6:54.0,Defensive rebound by D. Bertāns,,81,78
3,6:50.0,L. Aldridge misses 2-pt hook shot from 3 ft,,81,78
3,6:46.0,,Defensive rebound by G. Antetokounmpo,81,78
3,6:35.0,,Turnover by G. Antetokounmpo (bad pass; steal by D. Cunningham),81,78
3,6:30.0,D. Bertāns misses 3-pt jump shot from 23 ft,,81,78
3,6:26.0,,Defensive rebound by M. Brogdon,81,78
3,6:24.0,,M. Brogdon makes 2-pt layup from 1 ft,81,80
3,6:24.0,Violation by Team (def goaltending),,81,80
3,6:04.0,D. Bertāns misses 2-pt jump shot from 14 ft,,81,80
3,6:01.0,,Defensive rebound by T. Maker,81,80
3,5:56.0,,M. Brogdon makes 2-pt layup from 1 ft,81,82
3,5:56.0,San Antonio full timeout,,81,82
3,5:40.0,D. Bertāns makes 2-pt layup from 1 ft (assist by D. DeRozan),,83,82
3,5:24.0,,Turnover by K. Middleton (bad pass; steal by B. Forbes),83,82
3,5:13.0,Turnover by B. Forbes (lost ball; steal by T. Maker),,83,82
3,5:05.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,83,84
3,4:49.0,D. Cunningham misses 3-pt jump shot from 23 ft,,83,84
3,4:45.0,,Defensive rebound by G. Antetokounmpo,83,84
3,4:35.0,,G. Antetokounmpo makes 2-pt hook shot from 3 ft (assist by E. Bledsoe),83,86
3,4:19.0,Personal foul by G. Antetokounmpo (drawn by L. Aldridge),,83,86
3,4:19.0,P. Mills enters the game for L. Aldridge,,83,86
3,4:19.0,J. Poeltl enters the game for B. Forbes,,83,86
3,4:19.0,,P. Connaughton enters the game for K. Middleton,83,86
3,4:13.0,D. DeRozan makes 2-pt jump shot from 20 ft,,85,86
3,3:58.0,,Turnover by E. Bledsoe (bad pass),85,86
3,3:47.0,Shooting foul by M. Brogdon (drawn by D. DeRozan),,85,86
3,3:47.0,D. DeRozan makes free throw 1 of 2,,86,86
3,3:47.0,D. DeRozan makes free throw 2 of 2,,87,86
3,3:38.0,,M. Brogdon makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),87,89
3,3:27.0,D. DeRozan misses 2-pt jump shot from 15 ft,,87,89
3,3:25.0,Offensive rebound by J. Poeltl,,87,89
3,3:25.0,J. Poeltl misses 2-pt layup at rim,,87,89
3,3:25.0,Offensive rebound by J. Poeltl,,87,89
3,3:25.0,Shooting foul by T. Maker (drawn by J. Poeltl),,87,89
3,3:25.0,,Technical foul by E. Bledsoe,87,89
3,3:25.0,D. DeRozan misses technical free throw,,87,89
3,3:25.0,Offensive rebound by Team,,87,89
3,3:25.0,J. Poeltl makes free throw 1 of 2,,88,89
3,3:25.0,,M. Dellavedova enters the game for E. Bledsoe,88,89
3,3:25.0,J. Poeltl makes free throw 2 of 2,,89,89
3,3:08.0,,Personal foul by D. Cunningham (drawn by G. Antetokounmpo),89,89
3,3:08.0,M. Belinelli enters the game for D. DeRozan,,89,89
3,2:57.0,,M. Brogdon misses 2-pt layup from 2 ft (block by J. Poeltl),89,89
3,2:53.0,Defensive rebound by J. Poeltl,,89,89
3,2:48.0,D. Bertāns misses 2-pt layup from 1 ft,,89,89
3,2:46.0,,Defensive rebound by G. Antetokounmpo,89,89
3,2:42.0,,T. Maker misses 2-pt dunk from 1 ft,89,89
3,2:39.0,Defensive rebound by D. Cunningham,,89,89
3,2:31.0,D. Cunningham makes 3-pt jump shot from 24 ft (assist by P. Mills),,92,89
3,2:15.0,,G. Antetokounmpo misses 3-pt jump shot from 24 ft,92,89
3,2:15.0,,Offensive rebound by Team,92,89
3,2:15.0,,B. Lopez enters the game for G. Antetokounmpo,92,89
3,2:15.0,,K. Middleton enters the game for M. Brogdon,92,89
3,2:11.0,,B. Lopez makes 2-pt layup from 2 ft (assist by M. Dellavedova),92,91
3,2:11.0,,Shooting foul by M. Belinelli (drawn by B. Lopez),92,91
3,2:11.0,R. Gay enters the game for D. Cunningham,,92,91
3,2:11.0,,B. Lopez misses free throw 1 of 1,92,91
3,2:11.0,Defensive rebound by D. Bertāns,,92,91
3,1:55.0,M. Belinelli makes 3-pt jump shot from 28 ft (assist by J. Poeltl),,95,91
3,1:42.0,,Shooting foul by J. Poeltl (drawn by B. Lopez),95,91
3,1:42.0,,B. Lopez makes free throw 1 of 2,95,92
3,1:42.0,,T. Snell enters the game for T. Maker,95,92
3,1:42.0,,B. Lopez makes free throw 2 of 2,95,93
3,1:28.0,M. Belinelli makes 2-pt jump shot from 11 ft (assist by R. Gay),,97,93
3,1:11.0,,Offensive foul by B. Lopez (drawn by R. Gay),97,93
3,1:11.0,,Turnover by B. Lopez (offensive foul),97,93
3,0:59.0,R. Gay misses 2-pt jump shot from 6 ft,,97,93
3,0:56.0,,Defensive rebound by M. Dellavedova,97,93
3,0:53.0,,K. Middleton misses 3-pt jump shot from 25 ft,97,93
3,0:51.0,Defensive rebound by M. Belinelli,,97,93
3,0:34.0,P. Mills makes 2-pt jump shot from 17 ft,,99,93
3,0:29.0,,K. Middleton makes 2-pt layup from 2 ft,99,95
3,0:13.0,Shooting foul by P. Connaughton (drawn by P. Mills),,99,95
3,0:13.0,P. Mills makes free throw 1 of 3,,100,95
3,0:13.0,P. Mills makes free throw 2 of 3,,101,95
3,0:13.0,D. Cunningham enters the game for J. Poeltl,,101,95
3,0:13.0,,G. Antetokounmpo enters the game for B. Lopez,101,95
3,0:13.0,P. Mills makes free throw 3 of 3,,102,95
3,0:00.0,,K. Middleton misses 3-pt jump shot from 27 ft,102,95
3,0:00.0,,Offensive rebound by Team,102,95
4,11:46.0,,P. Connaughton misses 3-pt jump shot from 23 ft (block by P. Mills),102,95
4,11:45.0,,Offensive rebound by P. Connaughton,102,95
4,11:39.0,,K. Middleton misses 3-pt jump shot from 26 ft,102,95
4,11:36.0,Defensive rebound by M. Belinelli,,102,95
4,11:33.0,R. Gay makes 2-pt layup at rim (assist by M. Belinelli),,104,95
4,11:22.0,,Shooting foul by R. Gay (drawn by G. Antetokounmpo),104,95
4,11:22.0,,G. Antetokounmpo misses free throw 1 of 2,104,95
4,11:22.0,,Offensive rebound by Team,104,95
4,11:22.0,,S. Brown enters the game for T. Snell,104,95
4,11:22.0,,G. Antetokounmpo misses free throw 2 of 2,104,95
4,11:18.0,Defensive rebound by D. Cunningham,,104,95
4,11:01.0,R. Gay makes 2-pt jump shot from 11 ft (assist by M. Belinelli),,106,95
4,10:45.0,,G. Antetokounmpo misses 2-pt layup from 3 ft (block by R. Gay),106,95
4,10:40.0,Defensive rebound by D. Bertāns,,106,95
4,10:38.0,M. Belinelli misses 3-pt jump shot from 28 ft,,106,95
4,10:34.0,,Defensive rebound by G. Antetokounmpo,106,95
4,10:25.0,,M. Dellavedova makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),106,98
4,10:24.0,San Antonio full timeout,,106,98
4,10:24.0,,E. Bledsoe enters the game for P. Connaughton,106,98
4,10:02.0,D. Bertāns misses 3-pt jump shot from 27 ft,,106,98
4,10:00.0,Offensive rebound by R. Gay,,106,98
4,10:00.0,Turnover by R. Gay (out of bounds lost ball),,106,98
4,9:49.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,106,98
4,9:46.0,,Offensive rebound by E. Bledsoe,106,98
4,9:46.0,D. DeRozan enters the game for M. Belinelli,,106,98
4,9:43.0,,Turnover by S. Brown (bad pass; steal by R. Gay),106,98
4,9:30.0,R. Gay makes 2-pt jump shot from 12 ft,,108,98
4,9:06.0,,S. Brown makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),108,101
4,8:58.0,Personal foul by S. Brown (drawn by R. Gay),,108,101
4,8:58.0,L. Aldridge enters the game for D. Cunningham,,108,101
4,8:58.0,,M. Brogdon enters the game for M. Dellavedova,108,101
4,8:47.0,Turnover by L. Aldridge (bad pass; steal by E. Bledsoe),,108,101
4,8:47.0,,Personal foul by P. Mills (drawn by E. Bledsoe),108,101
4,8:47.0,B. Forbes enters the game for D. Bertāns,,108,101
4,8:36.0,,E. Bledsoe makes 3-pt jump shot from 28 ft (assist by S. Brown),108,104
4,8:16.0,B. Forbes makes 2-pt jump shot from 6 ft,,110,104
4,8:09.0,,Turnover by K. Middleton (out of bounds lost ball),110,104
4,7:52.0,L. Aldridge makes 2-pt hook shot from 5 ft,,112,104
4,7:52.0,,Milwaukee full timeout,112,104
