QUARTER,TIME_REMAINING,CLEVELAND_ACTION,TORONTO_ACTION,CLEVELAND_SCORE,TORONTO_SCORE
2,8:54.0,,G. Monroe makes 2-pt hook shot from 4 ft (assist by F. VanVleet),37,42
2,8:38.0,Turnover by A. Žižić (3 sec),,37,42
2,8:19.0,,F. VanVleet makes 2-pt layup at rim (assist by L. Brown),37,44
2,8:03.0,A. Burks misses 2-pt layup from 2 ft,,37,44
2,8:00.0,,Defensive rebound by F. VanVleet,37,44
2,7:57.0,,F. VanVleet misses 2-pt layup from 2 ft (block by J. Blossomgame),37,44
2,7:57.0,Defensive rebound by M. Dellavedova,,37,44
2,7:53.0,Personal foul by C. Miles (drawn by A. Burks),,37,44
2,7:53.0,R. Hood enters the game for M. Dellavedova,,37,44
2,7:53.0,L. Nance enters the game for A. Žižić,,37,44
2,7:53.0,,K. Leonard enters the game for P. Siakam,37,44
2,7:43.0,R. Hood misses 2-pt jump shot from 12 ft,,37,44
2,7:39.0,,Defensive rebound by G. Monroe,37,44
2,7:29.0,,G. Monroe makes 2-pt hook shot from 2 ft (assist by F. VanVleet),37,46
2,7:29.0,C. Osman enters the game for J. Blossomgame,,37,46
2,7:29.0,,O. Anunoby enters the game for G. Monroe,37,46
2,7:12.0,C. Osman makes 2-pt layup from 1 ft (assist by A. Burks),,39,46
2,6:47.0,,K. Leonard makes 2-pt layup at rim,39,48
2,6:27.0,J. Clarkson misses 3-pt jump shot from 24 ft,,39,48
2,6:25.0,,Defensive rebound by O. Anunoby,39,48
2,6:20.0,,Personal foul by J. Clarkson (drawn by F. VanVleet),39,48
2,6:20.0,,Toronto full timeout,39,48
2,6:20.0,C. Sexton enters the game for J. Clarkson,,39,48
2,6:15.0,,C. Miles misses 3-pt jump shot from 23 ft,39,48
2,6:10.0,Defensive rebound by C. Osman,,39,48
2,5:58.0,Turnover by L. Nance (bad pass; steal by L. Brown),,39,48
2,5:52.0,,O. Anunoby misses 3-pt jump shot from 26 ft,39,48
2,5:48.0,,Offensive rebound by F. VanVleet,39,48
2,5:46.0,,C. Miles misses 3-pt jump shot from 24 ft,39,48
2,5:42.0,Defensive rebound by C. Sexton,,39,48
2,5:38.0,L. Nance makes 2-pt dunk from 1 ft (assist by A. Burks),,41,48
2,5:26.0,,K. Leonard misses 3-pt jump shot from 26 ft,41,48
2,5:23.0,,Offensive rebound by C. Miles,41,48
2,5:21.0,,Turnover by C. Miles (lost ball; steal by R. Hood),41,48
2,5:13.0,R. Hood makes 2-pt jump shot from 7 ft,,43,48
2,4:52.0,,O. Anunoby makes 2-pt layup from 1 ft,43,50
2,4:40.0,C. Sexton makes 2-pt jump shot from 20 ft,,45,50
2,4:22.0,,K. Leonard misses 2-pt layup from 4 ft,45,50
2,4:18.0,Defensive rebound by A. Burks,,45,50
2,4:14.0,A. Burks misses 2-pt layup from 5 ft,,45,50
2,4:11.0,,Defensive rebound by L. Brown,45,50
2,4:05.0,,L. Brown misses 2-pt layup from 1 ft (block by A. Burks),45,50
2,4:02.0,Defensive rebound by C. Sexton,,45,50
2,3:56.0,Shooting foul by O. Anunoby (drawn by C. Sexton),,45,50
2,3:56.0,C. Sexton makes free throw 1 of 2,,46,50
2,3:56.0,J. Blossomgame enters the game for A. Burks,,46,50
2,3:56.0,J. Clarkson enters the game for R. Hood,,46,50
2,3:56.0,D. Nwaba enters the game for C. Osman,,46,50
2,3:56.0,,N. Powell enters the game for O. Anunoby,46,50
2,3:56.0,,P. Siakam enters the game for L. Brown,46,50
2,3:56.0,,D. Wright enters the game for C. Miles,46,50
2,3:56.0,C. Sexton makes free throw 2 of 2,,47,50
2,3:39.0,,D. Wright misses 2-pt layup from 3 ft,47,50
2,3:37.0,Defensive rebound by L. Nance,,47,50
2,3:31.0,C. Sexton misses 2-pt jump shot from 21 ft,,47,50
2,3:27.0,,Defensive rebound by K. Leonard,47,50
2,3:26.0,,Shooting foul by D. Nwaba (drawn by K. Leonard),47,50
2,3:26.0,,K. Leonard makes free throw 1 of 2,47,51
2,3:26.0,,K. Leonard makes free throw 2 of 2,47,52
2,3:04.0,J. Clarkson misses 3-pt jump shot from 27 ft,,47,52
2,3:01.0,,Defensive rebound by N. Powell,47,52
2,2:56.0,,N. Powell makes 2-pt layup from 1 ft,47,54
2,2:34.0,C. Sexton misses 2-pt jump shot from 11 ft (block by F. VanVleet),,47,54
2,2:31.0,,Defensive rebound by K. Leonard,47,54
2,2:29.0,,K. Leonard makes 2-pt dunk from 2 ft,47,56
2,2:02.0,C. Sexton misses 2-pt jump shot from 15 ft,,47,56
2,2:02.0,,Defensive rebound by P. Siakam,47,56
2,1:40.0,Cleveland full timeout,,47,56
2,1:37.0,,K. Leonard makes 3-pt jump shot from 32 ft (assist by D. Wright),47,59
2,1:16.0,L. Nance misses 2-pt hook shot from 6 ft,,47,59
2,1:14.0,Offensive rebound by D. Nwaba,,47,59
2,1:11.0,D. Nwaba misses 2-pt layup from 2 ft,,47,59
2,1:09.0,Offensive rebound by L. Nance,,47,59
2,1:06.0,J. Clarkson makes 3-pt jump shot from 23 ft (assist by L. Nance),,50,59
2,0:52.0,,Personal foul by C. Sexton (drawn by N. Powell),50,59
2,0:52.0,C. Osman enters the game for D. Nwaba,,50,59
2,0:35.0,,Turnover by Team (shot clock),50,59
2,0:25.0,Personal foul by N. Powell (drawn by C. Sexton),,50,59
2,0:14.0,L. Nance makes 2-pt layup from 1 ft (assist by C. Sexton),,52,59
3,11:41.0,,P. Siakam makes 2-pt jump shot from 6 ft,52,61
3,11:41.0,,Shooting foul by L. Nance (drawn by P. Siakam),52,61
3,11:41.0,,P. Siakam misses free throw 1 of 1,52,61
3,11:38.0,Defensive rebound by C. Osman,,52,61
3,11:27.0,Personal foul by O. Anunoby (drawn by L. Nance),,52,61
3,11:20.0,D. Nwaba makes 3-pt jump shot from 25 ft (assist by R. Hood),,55,61
3,11:07.0,,P. Siakam misses 2-pt jump shot from 5 ft,55,61
3,11:05.0,,Offensive rebound by P. Siakam,55,61
3,11:03.0,,P. Siakam misses 2-pt layup from 2 ft,55,61
3,11:01.0,,Offensive rebound by P. Siakam,55,61
3,11:01.0,,P. Siakam misses 2-pt layup from 1 ft,55,61
3,10:59.0,,Offensive rebound by P. Siakam,55,61
3,10:58.0,,P. Siakam misses 2-pt layup from 2 ft,55,61
3,10:58.0,,Offensive rebound by P. Siakam,55,61
3,10:58.0,,P. Siakam misses 2-pt layup from 2 ft,55,61
3,10:58.0,Defensive rebound by L. Nance,,55,61
3,10:43.0,D. Nwaba misses 2-pt hook shot from 5 ft,,55,61
3,10:39.0,Offensive rebound by L. Nance,,55,61
3,10:35.0,C. Osman misses 3-pt jump shot from 25 ft,,55,61
3,10:32.0,,Defensive rebound by K. Leonard,55,61
3,10:28.0,,K. Leonard makes 2-pt jump shot from 5 ft,55,63
3,10:28.0,,Shooting foul by D. Nwaba (drawn by K. Leonard),55,63
3,10:28.0,,K. Leonard makes free throw 1 of 1,55,64
3,10:21.0,C. Sexton misses 2-pt layup from 2 ft (block by D. Wright),,55,64
3,10:21.0,Offensive rebound by Team,,55,64
3,10:14.0,R. Hood makes 2-pt jump shot from 10 ft,,57,64
3,10:02.0,,K. Leonard makes 2-pt layup from 2 ft,57,66
3,9:49.0,D. Nwaba makes 3-pt jump shot from 27 ft (assist by C. Sexton),,60,66
3,9:39.0,,Shooting foul by D. Nwaba (drawn by K. Leonard),60,66
3,9:39.0,,K. Leonard makes free throw 1 of 2,60,67
3,9:39.0,,K. Leonard makes free throw 2 of 2,60,68
3,9:19.0,C. Osman misses 2-pt layup from 3 ft,,60,68
3,9:14.0,,Defensive rebound by F. VanVleet,60,68
3,9:11.0,,D. Wright makes 2-pt hook shot from 4 ft,60,70
3,9:03.0,Cleveland full timeout,,60,70
3,9:03.0,,N. Powell enters the game for O. Anunoby,60,70
3,8:52.0,C. Sexton makes 2-pt jump shot from 20 ft,,62,70
3,8:37.0,,N. Powell misses 3-pt jump shot from 23 ft,62,70
3,8:33.0,Defensive rebound by C. Sexton,,62,70
3,8:16.0,D. Nwaba misses 3-pt jump shot from 23 ft,,62,70
3,8:15.0,,Defensive rebound by Team,62,70
3,8:04.0,,P. Siakam misses 2-pt layup from 2 ft,62,70
3,8:03.0,Defensive rebound by C. Osman,,62,70
3,8:00.0,C. Osman makes 2-pt layup from 1 ft,,64,70
3,7:49.0,,K. Leonard makes 2-pt layup from 3 ft (assist by D. Wright),64,72
3,7:49.0,,Shooting foul by C. Sexton (drawn by K. Leonard),64,72
3,7:49.0,,K. Leonard makes free throw 1 of 1,64,73
3,7:38.0,Personal foul by N. Powell (drawn by R. Hood),,64,73
3,7:27.0,C. Sexton makes 2-pt jump shot from 22 ft,,66,73
3,7:08.0,,K. Leonard makes 2-pt hook shot from 6 ft (assist by P. Siakam),66,75
3,6:58.0,Shooting foul by D. Wright (drawn by C. Osman),,66,75
3,6:58.0,,Technical foul by D. Wright,66,75
3,6:58.0,C. Sexton makes technical free throw,,67,75
3,6:58.0,C. Osman makes free throw 1 of 2,,68,75
3,6:58.0,J. Clarkson enters the game for D. Nwaba,,68,75
3,6:58.0,C. Osman makes free throw 2 of 2,,69,75
3,6:42.0,,K. Leonard makes 2-pt layup from 3 ft (assist by F. VanVleet),69,77
3,6:42.0,,Shooting foul by C. Sexton (drawn by K. Leonard),69,77
3,6:42.0,J. Blossomgame enters the game for C. Osman,,69,77
3,6:42.0,,K. Leonard makes free throw 1 of 1,69,78
3,6:23.0,C. Sexton misses 2-pt jump shot from 13 ft,,69,78
3,6:19.0,,Defensive rebound by P. Siakam,69,78
3,6:15.0,,P. Siakam makes 2-pt layup from 1 ft,69,80
3,6:02.0,Turnover by J. Blossomgame (bad pass; steal by P. Siakam),,69,80
3,5:54.0,,D. Wright misses 3-pt jump shot from 26 ft,69,80
3,5:50.0,Defensive rebound by L. Nance,,69,80
3,5:41.0,C. Sexton makes 2-pt jump shot from 16 ft (assist by L. Nance),,71,80
3,5:27.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by F. VanVleet),71,83
3,5:07.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by C. Sexton),,74,83
3,4:54.0,,F. VanVleet makes 2-pt layup from 1 ft (assist by P. Siakam),74,85
3,4:54.0,,Shooting foul by C. Sexton (drawn by F. VanVleet),74,85
3,4:54.0,A. Burks enters the game for R. Hood,,74,85
3,4:54.0,M. Dellavedova enters the game for L. Nance,,74,85
3,4:54.0,A. Žižić enters the game for C. Sexton,,74,85
3,4:54.0,,G. Monroe enters the game for P. Siakam,74,85
3,4:54.0,,F. VanVleet makes free throw 1 of 1,74,86
3,4:47.0,Turnover by M. Dellavedova (lost ball; steal by F. VanVleet),,74,86
3,4:43.0,,F. VanVleet makes 2-pt layup from 1 ft,74,88
3,4:25.0,A. Žižić makes 2-pt dunk from 1 ft (assist by J. Clarkson),,76,88
3,4:03.0,,N. Powell makes 2-pt layup from 2 ft,76,90
3,3:53.0,J. Clarkson misses 3-pt jump shot from 28 ft,,76,90
3,3:49.0,,Defensive rebound by D. Wright,76,90
3,3:44.0,,G. Monroe misses 3-pt jump shot from 27 ft,76,90
3,3:40.0,Defensive rebound by A. Žižić,,76,90
3,3:31.0,A. Žižić makes 2-pt hook shot from 2 ft,,78,90
3,3:10.0,,D. Wright makes 2-pt layup from 3 ft,78,92
3,2:58.0,M. Dellavedova makes 2-pt jump shot from 9 ft,,80,92
3,2:57.0,,Toronto full timeout,80,92
3,2:57.0,,L. Brown enters the game for K. Leonard,80,92
3,2:57.0,,P. Siakam enters the game for F. VanVleet,80,92
3,2:45.0,,Personal foul by A. Žižić (drawn by N. Powell),80,92
3,2:45.0,,N. Powell makes free throw 1 of 2,80,93
3,2:45.0,,N. Powell misses free throw 2 of 2,80,93
3,2:42.0,Defensive rebound by A. Burks,,80,93
3,2:22.0,Shooting foul by D. Wright (drawn by J. Clarkson),,80,93
3,2:22.0,J. Clarkson makes free throw 1 of 2,,81,93
3,2:22.0,J. Clarkson makes free throw 2 of 2,,82,93
3,2:01.0,,L. Brown makes 2-pt jump shot from 22 ft,82,95
3,1:36.0,J. Clarkson makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),,85,95
3,1:24.0,,N. Powell misses 3-pt jump shot from 26 ft,85,95
3,1:20.0,Defensive rebound by A. Burks,,85,95
3,1:16.0,J. Blossomgame makes 3-pt jump shot from 23 ft (assist by M. Dellavedova),,88,95
3,0:57.0,,D. Wright makes 2-pt hook shot from 3 ft,88,97
3,0:42.0,A. Žižić makes 2-pt layup at rim (assist by M. Dellavedova),,90,97
3,0:34.0,,G. Monroe makes 2-pt layup from 2 ft (assist by L. Brown),90,99
3,0:28.0,A. Burks makes 3-pt jump shot from 28 ft (assist by M. Dellavedova),,93,99
3,0:28.0,Shooting foul by P. Siakam (drawn by A. Burks),,93,99
3,0:28.0,A. Burks misses free throw 1 of 1,,93,99
3,0:26.0,,Defensive rebound by P. Siakam,93,99
3,0:04.0,,L. Brown misses 3-pt jump shot from 23 ft,93,99
3,0:01.0,Defensive rebound by J. Clarkson,,93,99
3,0:00.0,J. Clarkson misses 3-pt jump shot from 32 ft,,93,99
3,0:00.0,Offensive rebound by Team,,93,99
4,11:42.0,A. Burks misses 2-pt jump shot from 5 ft,,93,99
4,11:39.0,,Defensive rebound by P. Siakam,93,99
4,11:34.0,,C. Miles misses 3-pt jump shot from 23 ft,93,99
4,11:29.0,,Offensive rebound by O. Anunoby,93,99
4,11:24.0,,Turnover by L. Brown (bad pass; steal by A. Burks),93,99
4,11:23.0,Personal take foul by C. Miles (drawn by A. Burks),,93,99
4,11:08.0,Personal foul by L. Brown (drawn by A. Žižić),,93,99
4,10:54.0,J. Clarkson misses 3-pt jump shot from 26 ft,,93,99
4,10:51.0,,Defensive rebound by O. Anunoby,93,99
4,10:42.0,,O. Anunoby makes 2-pt layup from 1 ft,93,101
4,10:27.0,Turnover by J. Blossomgame (lost ball; steal by L. Brown),,93,101
4,10:17.0,,Shooting foul by A. Žižić (drawn by P. Siakam),93,101
4,10:17.0,,P. Siakam misses free throw 1 of 2,93,101
4,10:17.0,,Offensive rebound by Team,93,101
4,10:17.0,,P. Siakam makes free throw 2 of 2,93,102
4,9:58.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,93,102
4,9:55.0,Offensive rebound by A. Žižić,,93,102
4,9:54.0,A. Žižić misses 2-pt hook shot from 1 ft,,93,102
4,9:52.0,,Defensive rebound by O. Anunoby,93,102
4,9:48.0,,O. Anunoby misses 3-pt jump shot from 27 ft,93,102
4,9:45.0,Defensive rebound by J. Clarkson,,93,102
4,9:29.0,A. Žižić misses 2-pt hook shot from 5 ft (block by P. Siakam),,93,102
4,9:27.0,,Defensive rebound by L. Brown,93,102
4,9:22.0,,F. VanVleet misses 2-pt layup from 2 ft,93,102
4,9:22.0,,Offensive rebound by Team,93,102
4,9:22.0,Loose ball foul by M. Dellavedova (drawn by P. Siakam),,93,102
4,9:22.0,L. Nance enters the game for A. Žižić,,93,102
4,9:10.0,,P. Siakam misses 2-pt hook shot from 5 ft,93,102
4,9:09.0,Defensive rebound by J. Blossomgame,,93,102
4,9:09.0,Personal foul by L. Brown (drawn by M. Dellavedova),,93,102
4,8:56.0,J. Clarkson makes 2-pt jump shot from 5 ft,,95,102
4,8:44.0,,Personal foul by M. Dellavedova (drawn by P. Siakam),95,102
4,8:32.0,,Turnover by O. Anunoby (bad pass; steal by J. Blossomgame),95,102
4,8:26.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,95,102
4,8:23.0,,Defensive rebound by O. Anunoby,95,102
4,8:06.0,,O. Anunoby misses 3-pt jump shot from 23 ft,95,102
4,8:02.0,Defensive rebound by L. Nance,,95,102
4,7:55.0,Shooting foul by C. Miles (drawn by L. Nance),,95,102
4,7:55.0,L. Nance makes free throw 1 of 2,,96,102
4,7:55.0,C. Sexton enters the game for M. Dellavedova,,96,102
4,7:55.0,L. Nance makes free throw 2 of 2,,97,102
4,7:36.0,,O. Anunoby makes 2-pt dunk from 1 ft (assist by L. Brown),97,104
4,7:18.0,Turnover by C. Sexton (lost ball; steal by F. VanVleet),,97,104
4,7:13.0,,P. Siakam makes 2-pt layup from 2 ft,97,106
4,7:13.0,Cleveland full timeout,,97,106
4,7:13.0,,K. Leonard enters the game for L. Brown,97,106
4,6:55.0,A. Burks misses 3-pt jump shot from 25 ft,,97,106
4,6:51.0,,Defensive rebound by F. VanVleet,97,106
4,6:42.0,,O. Anunoby misses 2-pt jump shot from 3 ft (block by J. Clarkson),97,106
4,6:38.0,Defensive rebound by J. Clarkson,,97,106
4,6:22.0,Personal foul by O. Anunoby (drawn by J. Clarkson),,97,106
4,6:22.0,J. Clarkson makes free throw 1 of 2,,98,106
4,6:22.0,C. Osman enters the game for A. Burks,,98,106
4,6:22.0,,N. Powell enters the game for O. Anunoby,98,106
4,6:22.0,J. Clarkson makes free throw 2 of 2,,99,106
4,6:07.0,,Turnover by N. Powell (step out of bounds),99,106
4,5:51.0,C. Sexton misses 2-pt jump shot from 15 ft,,99,106
4,5:45.0,,Defensive rebound by C. Miles,99,106
4,5:38.0,,C. Miles misses 3-pt jump shot from 29 ft,99,106
4,5:34.0,Defensive rebound by L. Nance,,99,106
4,5:26.0,J. Clarkson misses 2-pt layup from 1 ft,,99,106
4,5:25.0,Offensive rebound by L. Nance,,99,106
4,5:23.0,L. Nance makes 2-pt dunk from 1 ft,,101,106
4,5:00.0,,K. Leonard makes 2-pt layup from 6 ft,101,108
4,5:00.0,,Shooting foul by C. Osman (drawn by K. Leonard),101,108
4,5:00.0,,D. Wright enters the game for C. Miles,101,108
4,5:00.0,,K. Leonard makes free throw 1 of 1,101,109
4,4:42.0,Shooting foul by F. VanVleet (drawn by L. Nance),,101,109
4,4:42.0,L. Nance misses free throw 1 of 2,,101,109
4,4:42.0,Offensive rebound by Team,,101,109
4,4:42.0,A. Burks enters the game for J. Blossomgame,,101,109
4,4:42.0,,Toronto full timeout,101,109
4,4:42.0,L. Nance makes free throw 2 of 2,,102,109
4,4:28.0,,F. VanVleet makes 3-pt jump shot from 25 ft,102,112
4,4:09.0,Turnover by J. Clarkson (bad pass; steal by N. Powell),,102,112
4,4:02.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by N. Powell),102,115
4,3:40.0,Personal foul by K. Leonard (drawn by C. Osman),,102,115
4,3:40.0,C. Osman makes free throw 1 of 2,,103,115
4,3:40.0,C. Osman misses free throw 2 of 2,,103,115
4,3:37.0,,Defensive rebound by N. Powell,103,115
4,3:16.0,,P. Siakam misses 3-pt jump shot from 23 ft,103,115
4,3:12.0,,Offensive rebound by K. Leonard,103,115
4,3:04.0,,F. VanVleet misses 3-pt jump shot from 33 ft,103,115
4,2:58.0,Defensive rebound by C. Sexton,,103,115
4,2:56.0,C. Sexton misses 2-pt jump shot from 14 ft,,103,115
4,2:53.0,,Defensive rebound by K. Leonard,103,115
4,2:53.0,,Personal foul by C. Sexton (drawn by K. Leonard),103,115
