QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW YORK_ACTION,INDIANA_SCORE,NEW YORK_SCORE
2,11:20.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,31,25
2,11:07.0,,Shooting foul by D. McDermott (drawn by M. Hezonja),31,25
2,11:07.0,,M. Hezonja makes free throw 1 of 2,31,26
2,11:07.0,,M. Hezonja misses free throw 2 of 2,31,26
2,11:05.0,Defensive rebound by T. Evans,,31,26
2,10:52.0,Turnover by T. Evans (traveling),,31,26
2,10:38.0,,E. Freedom misses 2-pt layup from 2 ft (block by D. Sabonis),31,26
2,10:36.0,Defensive rebound by D. Sabonis,,31,26
2,10:24.0,C. Joseph misses 2-pt layup from 4 ft,,31,26
2,10:22.0,,Defensive rebound by M. Hezonja,31,26
2,10:12.0,,A. Trier makes 3-pt jump shot from 26 ft (assist by T. Burke),31,29
2,9:55.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),,33,29
2,9:55.0,Shooting foul by E. Freedom (drawn by D. Sabonis),,33,29
2,9:55.0,D. Sabonis misses free throw 1 of 1,,33,29
2,9:54.0,,Defensive rebound by M. Hezonja,33,29
2,9:42.0,,T. Burke misses 2-pt jump shot from 15 ft,33,29
2,9:41.0,,Offensive rebound by Team,33,29
2,9:41.0,Loose ball foul by D. Sabonis (drawn by E. Freedom),,33,29
2,9:41.0,M. Turner enters the game for D. Sabonis,,33,29
2,9:32.0,,Personal foul by M. Turner (drawn by E. Freedom),33,29
2,9:25.0,,T. Burke makes 2-pt jump shot from 6 ft,33,31
2,9:14.0,Shooting foul by M. Hezonja (drawn by B. Bogdanović),,33,31
2,9:14.0,B. Bogdanović makes free throw 1 of 2,,34,31
2,9:14.0,B. Bogdanović misses free throw 2 of 2,,34,31
2,9:12.0,,Defensive rebound by M. Hezonja,34,31
2,8:54.0,,A. Trier makes 3-pt jump shot from 26 ft,34,34
2,8:38.0,B. Bogdanović makes 2-pt jump shot from 8 ft (assist by M. Turner),,36,34
2,8:30.0,,T. Burke misses 2-pt layup from 3 ft (block by M. Turner),36,34
2,8:29.0,,Offensive rebound by Team,36,34
2,8:29.0,T. Young enters the game for B. Bogdanović,,36,34
2,8:11.0,,M. Hezonja misses 3-pt jump shot from 24 ft,36,34
2,8:09.0,Defensive rebound by T. Young,,36,34
2,7:54.0,T. Young misses 2-pt layup from 2 ft,,36,34
2,7:52.0,,Defensive rebound by E. Freedom,36,34
2,7:35.0,,Shooting foul by C. Joseph (drawn by T. Burke),36,34
2,7:35.0,,T. Burke makes free throw 1 of 2,36,35
2,7:35.0,V. Oladipo enters the game for D. McDermott,,36,35
2,7:35.0,,T. Hardaway enters the game for M. Hezonja,36,35
2,7:35.0,,T. Burke makes free throw 2 of 2,36,36
2,7:26.0,Personal foul by T. Burke (drawn by M. Turner),,36,36
2,7:26.0,,F. Ntilikina enters the game for T. Burke,36,36
2,7:26.0,,N. Vonleh enters the game for L. Thomas,36,36
2,7:15.0,C. Joseph makes 2-pt jump shot from 10 ft,,38,36
2,6:51.0,,F. Ntilikina misses 3-pt jump shot from 26 ft,38,36
2,6:49.0,Defensive rebound by T. Evans,,38,36
2,6:42.0,Shooting foul by A. Trier (drawn by T. Evans),,38,36
2,6:42.0,,New York full timeout,38,36
2,6:42.0,,M. Robinson enters the game for E. Freedom,38,36
2,6:42.0,T. Evans misses free throw 1 of 2,,38,36
2,6:42.0,Offensive rebound by Team,,38,36
2,6:42.0,T. Evans makes free throw 2 of 2,,39,36
2,6:26.0,,M. Robinson misses 2-pt dunk from 3 ft (block by V. Oladipo),39,36
2,6:24.0,Defensive rebound by V. Oladipo,,39,36
2,6:16.0,M. Turner makes 2-pt layup from 1 ft (assist by C. Joseph),,41,36
2,6:05.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),41,39
2,5:47.0,V. Oladipo misses 3-pt jump shot from 26 ft,,41,39
2,5:45.0,,Defensive rebound by M. Robinson,41,39
2,5:38.0,,Shooting foul by T. Young (drawn by T. Hardaway),41,39
2,5:38.0,,T. Hardaway makes free throw 1 of 2,41,40
2,5:38.0,D. Collison enters the game for T. Evans,,41,40
2,5:38.0,,T. Hardaway makes free throw 2 of 2,41,41
2,5:22.0,Shooting foul by T. Hardaway (drawn by T. Young),,41,41
2,5:22.0,T. Young misses free throw 1 of 2,,41,41
2,5:22.0,Offensive rebound by Team,,41,41
2,5:22.0,,D. Dotson enters the game for A. Trier,41,41
2,5:22.0,T. Young makes free throw 2 of 2,,42,41
2,4:59.0,,T. Hardaway misses 3-pt jump shot from 24 ft,42,41
2,4:57.0,Defensive rebound by V. Oladipo,,42,41
2,4:51.0,C. Joseph misses 3-pt jump shot from 22 ft,,42,41
2,4:49.0,Offensive rebound by T. Young,,42,41
2,4:47.0,T. Young makes 2-pt layup from 1 ft,,44,41
2,4:33.0,,D. Dotson misses 3-pt jump shot from 28 ft,44,41
2,4:31.0,Defensive rebound by T. Young,,44,41
2,4:12.0,Shooting foul by M. Robinson (drawn by T. Young),,44,41
2,4:12.0,T. Young misses free throw 1 of 2,,44,41
2,4:12.0,Offensive rebound by Team,,44,41
2,4:12.0,T. Young makes free throw 2 of 2,,45,41
2,3:54.0,,N. Vonleh misses 2-pt layup from 4 ft,45,41
2,3:52.0,,Offensive rebound by M. Robinson,45,41
2,3:52.0,,M. Robinson misses 2-pt layup from 2 ft,45,41
2,3:51.0,Defensive rebound by T. Young,,45,41
2,3:35.0,M. Turner misses 2-pt jump shot from 18 ft (block by M. Robinson),,45,41
2,3:33.0,,Defensive rebound by T. Hardaway,45,41
2,3:31.0,,Shooting foul by M. Turner (drawn by T. Hardaway),45,41
2,3:31.0,,T. Hardaway makes free throw 1 of 2,45,42
2,3:31.0,,T. Hardaway makes free throw 2 of 2,45,43
2,3:18.0,V. Oladipo misses 3-pt jump shot from 24 ft,,45,43
2,3:16.0,,Defensive rebound by N. Vonleh,45,43
2,3:05.0,,N. Vonleh makes 2-pt layup from 1 ft,45,45
2,2:59.0,Indiana full timeout,,45,45
2,2:59.0,K. O'Quinn enters the game for M. Turner,,45,45
2,2:45.0,V. Oladipo misses 2-pt jump shot from 18 ft,,45,45
2,2:43.0,,Defensive rebound by N. Vonleh,45,45
2,2:31.0,,Turnover by T. Hardaway (bad pass; steal by T. Young),45,45
2,2:18.0,D. Collison misses 2-pt layup from 3 ft (block by M. Robinson),,45,45
2,2:16.0,,Defensive rebound by M. Robinson,45,45
2,2:10.0,,N. Vonleh makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),45,48
2,1:49.0,K. O'Quinn misses 2-pt jump shot from 20 ft,,45,48
2,1:47.0,,Defensive rebound by N. Vonleh,45,48
2,1:44.0,,Personal foul by V. Oladipo (drawn by N. Vonleh),45,48
2,1:44.0,,N. Vonleh makes free throw 1 of 2,45,49
2,1:44.0,T. Evans enters the game for V. Oladipo,,45,49
2,1:44.0,,N. Vonleh makes free throw 2 of 2,45,50
2,1:27.0,T. Young makes 3-pt jump shot from 23 ft (assist by D. Collison),,48,50
2,1:16.0,,T. Hardaway misses 3-pt jump shot from 27 ft,48,50
2,1:13.0,Defensive rebound by D. Collison,,48,50
2,0:54.0,T. Young misses 3-pt jump shot from 22 ft,,48,50
2,0:53.0,,Defensive rebound by Team,48,50
2,0:53.0,Loose ball foul by K. O'Quinn (drawn by T. Hardaway),,48,50
2,0:53.0,,T. Hardaway makes free throw 1 of 2,48,51
2,0:53.0,,A. Trier enters the game for F. Ntilikina,48,51
2,0:53.0,,T. Hardaway makes free throw 2 of 2,48,52
2,0:30.0,D. Collison misses 2-pt jump shot from 6 ft,,48,52
2,0:28.0,,Defensive rebound by N. Vonleh,48,52
2,0:09.0,,T. Hardaway misses 2-pt layup from 1 ft (block by T. Evans),48,52
2,0:07.0,Defensive rebound by T. Young,,48,52
2,0:00.0,D. Collison makes 2-pt layup from 1 ft,,50,52
3,11:36.0,,T. Hardaway misses 2-pt jump shot from 21 ft (block by M. Turner),50,52
3,11:34.0,Defensive rebound by D. Collison,,50,52
3,11:22.0,V. Oladipo misses 3-pt jump shot from 26 ft,,50,52
3,11:20.0,,Defensive rebound by D. Dotson,50,52
3,11:06.0,,N. Vonleh makes 2-pt layup from 1 ft,50,54
3,10:48.0,Turnover by B. Bogdanović (bad pass),,50,54
3,10:31.0,,Turnover by M. Robinson (3 sec),50,54
3,10:12.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by M. Turner),,52,54
3,9:58.0,,Personal foul by B. Bogdanović (drawn by D. Dotson),52,54
3,9:45.0,,F. Ntilikina makes 2-pt hook shot from 6 ft,52,56
3,9:24.0,D. Collison makes 2-pt jump shot from 17 ft (assist by M. Turner),,54,56
3,9:13.0,,F. Ntilikina misses 2-pt jump shot from 10 ft,54,56
3,9:12.0,Defensive rebound by V. Oladipo,,54,56
3,9:05.0,Turnover by V. Oladipo (bad pass; steal by N. Vonleh),,54,56
3,8:59.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by N. Vonleh),54,59
3,8:34.0,T. Young makes 2-pt hook shot from 6 ft,,56,59
3,8:18.0,,F. Ntilikina misses 2-pt jump shot from 15 ft,56,59
3,8:17.0,Defensive rebound by D. Collison,,56,59
3,8:09.0,Turnover by B. Bogdanović (traveling),,56,59
3,8:09.0,,E. Freedom enters the game for M. Robinson,56,59
3,7:53.0,,T. Hardaway makes 3-pt jump shot from 24 ft (assist by E. Freedom),56,62
3,7:39.0,D. Collison makes 2-pt jump shot from 19 ft (assist by M. Turner),,58,62
3,7:28.0,,E. Freedom misses 2-pt layup from 1 ft,58,62
3,7:27.0,,Offensive rebound by E. Freedom,58,62
3,7:26.0,,E. Freedom makes 2-pt layup from 1 ft,58,64
3,7:26.0,Indiana full timeout,,58,64
3,7:17.0,V. Oladipo makes 2-pt jump shot from 17 ft,,60,64
3,6:52.0,,Turnover by N. Vonleh (bad pass; steal by T. Young),60,64
3,6:48.0,V. Oladipo makes 2-pt layup from 1 ft,,62,64
3,6:25.0,,Turnover by E. Freedom (bad pass; steal by B. Bogdanović),62,64
3,6:12.0,M. Turner misses 2-pt hook shot from 4 ft,,62,64
3,6:10.0,,Defensive rebound by N. Vonleh,62,64
3,5:56.0,,D. Dotson misses 2-pt jump shot from 23 ft,62,64
3,5:55.0,Defensive rebound by Team,,62,64
3,5:43.0,V. Oladipo makes 2-pt jump shot from 10 ft,,64,64
3,5:25.0,,D. Dotson makes 2-pt layup from 1 ft (assist by F. Ntilikina),64,66
3,5:02.0,V. Oladipo makes 2-pt jump shot from 21 ft,,66,66
3,4:42.0,,T. Hardaway makes 3-pt jump shot from 26 ft,66,69
3,4:26.0,Turnover by V. Oladipo (lost ball; steal by N. Vonleh),,66,69
3,4:16.0,,Offensive foul by N. Vonleh (drawn by T. Young),66,69
3,4:16.0,,Turnover by N. Vonleh (offensive foul),66,69
3,4:16.0,D. Sabonis enters the game for T. Young,,66,69
3,4:16.0,,T. Burke enters the game for T. Hardaway,66,69
3,4:16.0,,A. Trier enters the game for F. Ntilikina,66,69
3,4:07.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,66,69
3,4:05.0,,Defensive rebound by A. Trier,66,69
3,3:54.0,,D. Dotson makes 2-pt jump shot from 14 ft (assist by N. Vonleh),66,71
3,3:36.0,M. Turner misses 2-pt hook shot from 8 ft,,66,71
3,3:34.0,Offensive rebound by M. Turner,,66,71
3,3:28.0,D. Sabonis makes 2-pt hook shot from 10 ft (assist by D. Collison),,68,71
3,3:28.0,C. Joseph enters the game for B. Bogdanović,,68,71
3,3:09.0,,Shooting foul by M. Turner (drawn by N. Vonleh),68,71
3,3:09.0,,N. Vonleh misses free throw 1 of 2,68,71
3,3:09.0,,Offensive rebound by Team,68,71
3,3:09.0,,N. Vonleh makes free throw 2 of 2,68,72
3,2:59.0,Turnover by V. Oladipo (out of bounds lost ball),,68,72
3,2:59.0,,New York full timeout,68,72
3,2:59.0,T. Evans enters the game for D. Collison,,68,72
3,2:59.0,,L. Thomas enters the game for N. Vonleh,68,72
3,2:44.0,,Turnover by E. Freedom (traveling),68,72
3,2:32.0,D. Sabonis makes 2-pt dunk from 2 ft (assist by V. Oladipo),,70,72
3,2:19.0,,L. Thomas misses 2-pt layup from 4 ft (block by D. Sabonis),70,72
3,2:18.0,,Offensive rebound by Team,70,72
3,2:16.0,,E. Freedom makes 2-pt jump shot from 17 ft (assist by T. Burke),70,74
3,2:03.0,Shooting foul by A. Trier (drawn by D. Sabonis),,70,74
3,2:03.0,D. Sabonis makes free throw 1 of 2,,71,74
3,2:03.0,D. Sabonis makes free throw 2 of 2,,72,74
3,1:43.0,,E. Freedom misses 2-pt hook shot from 7 ft,72,74
3,1:41.0,Defensive rebound by V. Oladipo,,72,74
3,1:39.0,Turnover by T. Evans (bad pass),,72,74
3,1:39.0,D. McDermott enters the game for V. Oladipo,,72,74
3,1:30.0,,D. Dotson misses 2-pt layup from 9 ft,72,74
3,1:28.0,,Offensive rebound by E. Freedom,72,74
3,1:27.0,,E. Freedom misses 2-pt layup at rim,72,74
3,1:26.0,,Offensive rebound by E. Freedom,72,74
3,1:25.0,,E. Freedom misses 2-pt hook shot from 4 ft,72,74
3,1:24.0,Defensive rebound by D. Sabonis,,72,74
3,1:11.0,D. Sabonis makes 2-pt layup from 3 ft (assist by C. Joseph),,74,74
3,0:52.0,,A. Trier makes 2-pt layup from 1 ft,74,76
3,0:51.0,Turnover by D. Sabonis (bad pass; steal by D. Dotson),,74,76
3,0:50.0,,D. Dotson makes 2-pt layup from 2 ft,74,78
3,0:50.0,,Shooting foul by D. Sabonis (drawn by D. Dotson),74,78
3,0:50.0,T. Young enters the game for M. Turner,,74,78
3,0:50.0,,D. Dotson makes free throw 1 of 1,74,79
3,0:33.0,C. Joseph misses 2-pt layup from 2 ft,,74,79
3,0:31.0,Offensive rebound by C. Joseph,,74,79
3,0:31.0,D. Sabonis makes 2-pt layup from 2 ft (assist by C. Joseph),,76,79
3,0:31.0,Shooting foul by E. Freedom (drawn by D. Sabonis),,76,79
3,0:31.0,,T. Hardaway enters the game for L. Thomas,76,79
3,0:31.0,D. Sabonis makes free throw 1 of 1,,77,79
3,0:17.0,,Personal foul by T. Evans (drawn by T. Hardaway),77,79
3,0:17.0,,L. Thomas enters the game for T. Burke,77,79
3,0:17.0,,N. Vonleh enters the game for E. Freedom,77,79
3,0:17.0,,T. Hardaway makes free throw 1 of 2,77,80
3,0:17.0,,T. Hardaway makes free throw 2 of 2,77,81
3,0:01.0,T. Evans misses 2-pt jump shot from 21 ft,,77,81
3,0:01.0,,Defensive rebound by A. Trier,77,81
4,11:48.0,D. Sabonis makes 2-pt hook shot from 1 ft (assist by C. Joseph),,79,81
4,11:29.0,,E. Freedom misses 2-pt layup from 1 ft,79,81
4,11:27.0,Defensive rebound by D. Sabonis,,79,81
4,11:19.0,T. Evans makes 2-pt layup from 1 ft,,81,81
4,10:59.0,,A. Trier misses 2-pt jump shot from 20 ft,81,81
4,10:57.0,Defensive rebound by T. Young,,81,81
4,10:42.0,C. Joseph makes 2-pt jump shot from 13 ft,,83,81
4,10:26.0,,A. Trier makes 2-pt layup from 1 ft,83,83
4,10:10.0,Turnover by D. Sabonis (3 sec),,83,83
4,10:10.0,,M. Hezonja enters the game for L. Thomas,83,83
4,9:58.0,,T. Burke makes 2-pt jump shot from 11 ft,83,85
4,9:32.0,T. Evans misses 2-pt layup at rim,,83,85
4,9:30.0,,Defensive rebound by M. Hezonja,83,85
4,9:17.0,,M. Hezonja misses 3-pt jump shot from 24 ft,83,85
4,9:15.0,,Offensive rebound by E. Freedom,83,85
4,9:11.0,,E. Freedom misses 2-pt layup from 1 ft (block by T. Young),83,85
4,9:09.0,,Offensive rebound by M. Hezonja,83,85
4,9:09.0,,Turnover by M. Hezonja (bad pass),83,85
4,9:09.0,B. Bogdanović enters the game for T. Young,,83,85
4,9:01.0,Personal foul by E. Freedom (drawn by D. Sabonis),,83,85
4,8:52.0,C. Joseph makes 2-pt jump shot from 10 ft (assist by D. Sabonis),,85,85
4,8:34.0,,T. Burke misses 2-pt jump shot from 12 ft (block by C. Joseph),85,85
4,8:32.0,Defensive rebound by T. Evans,,85,85
4,8:27.0,T. Evans makes 2-pt layup from 3 ft,,87,85
4,8:27.0,,New York full timeout,87,85
4,8:27.0,V. Oladipo enters the game for D. McDermott,,87,85
4,8:27.0,,F. Ntilikina enters the game for T. Burke,87,85
4,8:27.0,,N. Vonleh enters the game for E. Freedom,87,85
4,8:04.0,,N. Vonleh makes 2-pt dunk from 2 ft (assist by F. Ntilikina),87,87
4,7:55.0,Offensive foul by D. Sabonis (drawn by F. Ntilikina),,87,87
4,7:55.0,Turnover by D. Sabonis (offensive foul),,87,87
4,7:44.0,,T. Hardaway misses 2-pt jump shot from 9 ft,87,87
4,7:42.0,Defensive rebound by T. Evans,,87,87
4,7:36.0,V. Oladipo misses 3-pt jump shot from 26 ft,,87,87
4,7:34.0,,Defensive rebound by N. Vonleh,87,87
4,7:13.0,,T. Hardaway makes 3-pt jump shot from 24 ft (assist by A. Trier),87,90
4,7:00.0,T. Evans misses 2-pt layup from 2 ft (block by A. Trier),,87,90
4,6:59.0,Offensive rebound by T. Evans,,87,90
4,6:57.0,T. Evans misses 2-pt layup at rim,,87,90
4,6:57.0,,Defensive rebound by Team,87,90
4,6:57.0,T. Young enters the game for T. Evans,,87,90
4,6:57.0,,D. Dotson enters the game for M. Hezonja,87,90
4,6:57.0,,L. Thomas enters the game for A. Trier,87,90
4,6:50.0,,Turnover by T. Hardaway (lost ball; steal by V. Oladipo),87,90
4,6:41.0,V. Oladipo makes 2-pt layup from 3 ft (assist by C. Joseph),,89,90
4,6:19.0,,L. Thomas misses 2-pt jump shot from 20 ft (block by T. Young),89,90
4,6:18.0,Defensive rebound by B. Bogdanović,,89,90
4,6:18.0,Personal foul by L. Thomas (drawn by B. Bogdanović),,89,90
4,6:07.0,Turnover by D. Sabonis (lost ball; steal by F. Ntilikina),,89,90
4,6:04.0,,Turnover by T. Hardaway (lost ball; steal by T. Young),89,90
4,5:46.0,T. Young makes 2-pt hook shot from 6 ft,,91,90
4,5:27.0,,T. Hardaway makes 2-pt jump shot from 22 ft (assist by N. Vonleh),91,92
4,5:05.0,Turnover by D. Sabonis (bad pass; steal by L. Thomas),,91,92
4,4:50.0,,F. Ntilikina misses 2-pt jump shot from 15 ft,91,92
4,4:49.0,Defensive rebound by B. Bogdanović,,91,92
4,4:43.0,V. Oladipo misses 3-pt jump shot from 25 ft,,91,92
4,4:41.0,,Defensive rebound by D. Dotson,91,92
4,4:25.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by F. Ntilikina),91,95
4,4:24.0,Indiana full timeout,,91,95
4,4:24.0,M. Turner enters the game for D. Sabonis,,91,95
4,4:12.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by C. Joseph),,94,95
4,3:50.0,,D. Dotson misses 2-pt jump shot from 19 ft,94,95
4,3:48.0,,Offensive rebound by N. Vonleh,94,95
4,3:44.0,,Turnover by N. Vonleh (lost ball; steal by T. Young),94,95
4,3:40.0,Indiana full timeout,,94,95
4,3:40.0,D. Sabonis enters the game for M. Turner,,94,95
4,3:30.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,94,95
4,3:27.0,Offensive rebound by T. Young,,94,95
4,3:27.0,T. Young misses 2-pt layup from 1 ft,,94,95
4,3:27.0,Offensive rebound by T. Young,,94,95
4,3:27.0,T. Young misses 2-pt layup from 1 ft,,94,95
4,3:27.0,,Defensive rebound by Team,94,95
4,3:08.0,,T. Hardaway makes 2-pt jump shot from 19 ft,94,97
4,2:59.0,Shooting foul by N. Vonleh (drawn by D. Sabonis),,94,97
4,2:59.0,D. Sabonis makes free throw 1 of 2,,95,97
4,2:59.0,D. Sabonis makes free throw 2 of 2,,96,97
4,2:44.0,,Turnover by T. Hardaway (lost ball; steal by V. Oladipo),96,97
4,2:43.0,V. Oladipo makes 2-pt dunk from 2 ft,,98,97
4,2:19.0,,L. Thomas misses 3-pt jump shot from 23 ft,98,97
4,2:17.0,Defensive rebound by V. Oladipo,,98,97
4,2:01.0,T. Young makes 2-pt hook shot from 2 ft (assist by D. Sabonis),,100,97
4,1:55.0,,New York full timeout,100,97
4,1:55.0,,A. Trier enters the game for L. Thomas,100,97
4,1:44.0,,T. Hardaway misses 3-pt jump shot from 25 ft,100,97
4,1:42.0,Defensive rebound by B. Bogdanović,,100,97
4,1:23.0,V. Oladipo makes 3-pt jump shot from 25 ft,,103,97
4,1:23.0,,New York full timeout,103,97
