QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW ORLEANS_ACTION,ORLANDO_SCORE,NEW ORLEANS_SCORE
3,10:28.0,,Defensive rebound by A. Davis,68,46
3,10:24.0,,K. Williams misses 3-pt jump shot from 25 ft,68,46
3,10:19.0,Defensive rebound by N. Vučević,,68,46
3,10:06.0,N. Vučević misses 2-pt jump shot from 17 ft,,68,46
3,10:04.0,,Defensive rebound by J. Holiday,68,46
3,9:57.0,,A. Davis makes 2-pt jump shot from 11 ft (assist by J. Holiday),68,48
3,9:41.0,E. Fournier misses 2-pt layup from 9 ft (block by J. Holiday),,68,48
3,9:38.0,,Defensive rebound by E. Moore,68,48
3,9:27.0,,J. Holiday misses 2-pt layup from 6 ft,68,48
3,9:23.0,,Offensive rebound by J. Okafor,68,48
3,9:23.0,,J. Okafor misses 2-pt layup at rim,68,48
3,9:22.0,,Offensive rebound by J. Okafor,68,48
3,9:17.0,,J. Okafor misses 2-pt layup at rim (block by J. Isaac),68,48
3,9:16.0,Defensive rebound by N. Vučević,,68,48
3,9:01.0,N. Vučević makes 2-pt hook shot from 4 ft (assist by A. Gordon),,70,48
3,8:49.0,,E. Moore misses 2-pt jump shot from 19 ft,70,48
3,8:45.0,Defensive rebound by J. Isaac,,70,48
3,8:38.0,Turnover by J. Isaac (bad pass; steal by K. Williams),,70,48
3,8:31.0,,J. Okafor misses 2-pt layup from 1 ft (block by J. Isaac),70,48
3,8:27.0,Defensive rebound by E. Fournier,,70,48
3,8:25.0,D. Augustin misses 3-pt jump shot from 26 ft,,70,48
3,8:21.0,,Defensive rebound by J. Holiday,70,48
3,8:15.0,,K. Williams makes 2-pt dunk from 2 ft (assist by J. Holiday),70,50
3,7:56.0,A. Gordon makes 3-pt jump shot from 26 ft (assist by J. Isaac),,73,50
3,7:40.0,,J. Holiday misses 2-pt jump shot from 10 ft,73,50
3,7:39.0,,Offensive rebound by J. Okafor,73,50
3,7:38.0,,J. Okafor misses 2-pt layup from 1 ft,73,50
3,7:35.0,Defensive rebound by N. Vučević,,73,50
3,7:26.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by D. Augustin),,76,50
3,7:22.0,,New Orleans full timeout,76,50
3,7:22.0,,T. Frazier enters the game for E. Moore,76,50
3,7:06.0,,A. Davis misses 2-pt layup from 6 ft,76,50
3,7:03.0,Defensive rebound by N. Vučević,,76,50
3,6:45.0,E. Fournier misses 2-pt jump shot from 23 ft,,76,50
3,6:43.0,Offensive rebound by N. Vučević,,76,50
3,6:37.0,N. Vučević misses 3-pt jump shot from 26 ft,,76,50
3,6:33.0,,Defensive rebound by A. Davis,76,50
3,6:25.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by T. Frazier),76,53
3,6:04.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Fournier),,78,53
3,5:51.0,,J. Holiday misses 3-pt jump shot from 26 ft,78,53
3,5:48.0,,Offensive rebound by K. Williams,78,53
3,5:47.0,,K. Williams misses 2-pt layup from 1 ft (block by J. Isaac),78,53
3,5:43.0,Defensive rebound by D. Augustin,,78,53
3,5:41.0,Turnover by D. Augustin (lost ball; steal by J. Holiday),,78,53
3,5:29.0,,J. Holiday makes 2-pt jump shot from 14 ft,78,55
3,5:06.0,N. Vučević misses 2-pt jump shot from 11 ft,,78,55
3,5:03.0,,Defensive rebound by A. Davis,78,55
3,4:54.0,,J. Holiday misses 3-pt jump shot from 23 ft,78,55
3,4:51.0,Defensive rebound by D. Augustin,,78,55
3,4:41.0,Personal foul by A. Davis (drawn by N. Vučević),,78,55
3,4:41.0,I. Briscoe enters the game for D. Augustin,,78,55
3,4:41.0,W. Iwundu enters the game for J. Isaac,,78,55
3,4:41.0,,J. Randle enters the game for J. Okafor,78,55
3,4:34.0,I. Briscoe makes 3-pt jump shot from 25 ft (assist by E. Fournier),,81,55
3,4:17.0,,J. Randle makes 3-pt jump shot from 24 ft (assist by J. Holiday),81,58
3,3:52.0,N. Vučević misses 2-pt layup from 5 ft (block by A. Davis),,81,58
3,3:52.0,,Defensive rebound by Team,81,58
3,3:52.0,T. Ross enters the game for E. Fournier,,81,58
3,3:52.0,,F. Jackson enters the game for J. Holiday,81,58
3,3:52.0,,D. Miller enters the game for K. Williams,81,58
