QUARTER,TIME_REMAINING,BOSTON_ACTION,ATLANTA_ACTION,BOSTON_SCORE,ATLANTA_SCORE
2,8:36.0,Offensive rebound by D. Theis,,34,50
2,8:36.0,D. Theis makes 2-pt layup from 1 ft,,36,50
2,8:19.0,,Turnover by J. Collins (out of bounds lost ball),36,50
2,8:09.0,J. Tatum makes 2-pt jump shot from 18 ft (assist by B. Wanamaker),,38,50
2,8:00.0,,Personal foul by B. Wanamaker (drawn by D. Dedmon),38,50
2,7:47.0,,Turnover by D. Bembry (traveling),38,50
2,7:31.0,T. Rozier misses 3-pt jump shot from 24 ft,,38,50
2,7:28.0,,Defensive rebound by D. Dedmon,38,50
2,7:21.0,,Turnover by D. Bembry (bad pass; steal by T. Rozier),38,50
2,7:18.0,Shooting foul by D. Bembry (drawn by J. Brown),,38,50
2,7:18.0,J. Brown misses free throw 1 of 2,,38,50
2,7:18.0,Offensive rebound by Team,,38,50
2,7:18.0,,O. Spellman enters the game for J. Collins,38,50
2,7:18.0,J. Brown misses free throw 2 of 2,,38,50
2,7:15.0,,Defensive rebound by Team,38,50
2,6:58.0,,T. Prince misses 3-pt jump shot from 26 ft,38,50
2,6:55.0,Defensive rebound by T. Rozier,,38,50
2,6:42.0,T. Rozier misses 2-pt layup from 2 ft,,38,50
2,6:38.0,,Defensive rebound by O. Spellman,38,50
2,6:32.0,,Shooting foul by D. Theis (drawn by J. Lin),38,50
2,6:32.0,,J. Lin makes free throw 1 of 2,38,51
2,6:32.0,K. Irving enters the game for J. Tatum,,38,51
2,6:32.0,,J. Lin makes free throw 2 of 2,38,52
2,6:09.0,B. Wanamaker misses 2-pt layup from 6 ft (block by T. Prince),,38,52
2,6:06.0,Offensive rebound by K. Irving,,38,52
2,6:05.0,D. Theis makes 3-pt jump shot from 26 ft (assist by K. Irving),,41,52
2,5:45.0,,T. Prince misses 3-pt jump shot from 23 ft,41,52
2,5:40.0,Defensive rebound by T. Rozier,,41,52
2,5:22.0,B. Wanamaker misses 2-pt jump shot from 18 ft,,41,52
2,5:18.0,,Defensive rebound by T. Prince,41,52
2,5:09.0,,J. Lin misses 2-pt jump shot from 21 ft,41,52
2,5:05.0,Defensive rebound by K. Irving,,41,52
2,5:02.0,K. Irving makes 3-pt jump shot from 27 ft,,44,52
2,5:01.0,,Atlanta full timeout,44,52
2,5:01.0,A. Horford enters the game for J. Brown,,44,52
2,5:01.0,M. Morris enters the game for D. Theis,,44,52
2,5:01.0,M. Smart enters the game for B. Wanamaker,,44,52
2,5:01.0,,K. Huerter enters the game for J. Lin,44,52
2,5:01.0,,T. Young enters the game for T. Prince,44,52
2,4:37.0,,D. Dedmon misses 2-pt jump shot from 11 ft,44,52
2,4:34.0,Defensive rebound by T. Rozier,,44,52
2,4:25.0,K. Irving makes 2-pt jump shot from 12 ft,,46,52
2,4:09.0,,K. Huerter misses 3-pt jump shot from 23 ft,46,52
2,4:07.0,Defensive rebound by M. Morris,,46,52
2,3:54.0,M. Morris misses 3-pt jump shot from 25 ft,,46,52
2,3:51.0,,Defensive rebound by D. Dedmon,46,52
2,3:43.0,,O. Spellman makes 3-pt jump shot from 25 ft (assist by T. Young),46,55
2,3:24.0,A. Horford makes 2-pt jump shot from 10 ft (assist by K. Irving),,48,55
2,3:06.0,,D. Bembry misses 2-pt layup from 1 ft,48,55
2,3:06.0,Defensive rebound by A. Horford,,48,55
2,3:02.0,K. Irving makes 2-pt layup from 2 ft,,50,55
2,2:52.0,,T. Young makes 2-pt layup from 2 ft,50,57
2,2:34.0,Shooting foul by D. Bembry (drawn by K. Irving),,50,57
2,2:34.0,K. Irving makes free throw 1 of 2,,51,57
2,2:34.0,,J. Collins enters the game for D. Bembry,51,57
2,2:34.0,,A. Len enters the game for D. Dedmon,51,57
2,2:34.0,,T. Prince enters the game for O. Spellman,51,57
2,2:34.0,K. Irving makes free throw 2 of 2,,52,57
2,2:20.0,,T. Prince misses 2-pt jump shot from 11 ft,52,57
2,2:17.0,Defensive rebound by M. Morris,,52,57
2,2:11.0,T. Rozier misses 2-pt jump shot from 12 ft,,52,57
2,2:08.0,Offensive rebound by T. Rozier,,52,57
2,2:06.0,Turnover by T. Rozier (bad pass; steal by K. Huerter),,52,57
2,2:02.0,,T. Prince makes 2-pt layup at rim (assist by K. Huerter),52,59
2,1:51.0,Turnover by A. Horford (lost ball; steal by T. Prince),,52,59
2,1:47.0,,T. Prince makes 2-pt dunk from 1 ft (assist by A. Len),52,61
2,1:23.0,M. Smart makes 2-pt layup from 2 ft (assist by M. Morris),,54,61
2,1:11.0,,T. Young misses 2-pt jump shot from 15 ft,54,61
2,1:10.0,,Offensive rebound by Team,54,61
2,1:10.0,,Atlanta full timeout,54,61
2,1:10.0,J. Tatum enters the game for T. Rozier,,54,61
2,1:07.0,,A. Len makes 3-pt jump shot from 25 ft (assist by K. Huerter),54,64
2,0:54.0,K. Irving makes 3-pt jump shot from 26 ft,,57,64
2,0:36.0,,T. Young makes 3-pt jump shot from 27 ft (assist by K. Huerter),57,67
2,0:31.0,K. Irving makes 3-pt jump shot from 29 ft,,60,67
2,0:13.0,,Turnover by K. Huerter (bad pass; steal by M. Smart),60,67
2,0:08.0,Turnover by K. Irving (lost ball; steal by K. Huerter),,60,67
2,0:04.0,,K. Huerter misses 3-pt jump shot from 27 ft,60,67
2,0:04.0,,Offensive rebound by K. Huerter,60,67
2,0:00.0,,K. Huerter misses 3-pt jump shot from 35 ft,60,67
2,0:00.0,,Offensive rebound by Team,60,67
3,11:41.0,M. Smart misses 3-pt jump shot from 23 ft,,60,67
3,11:37.0,,Defensive rebound by D. Bembry,60,67
3,11:27.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),60,69
3,11:27.0,,Shooting foul by M. Smart (drawn by J. Collins),60,69
3,11:27.0,,J. Collins makes free throw 1 of 1,60,70
3,11:17.0,K. Irving makes 3-pt jump shot from 25 ft (assist by M. Smart),,63,70
3,10:51.0,,J. Collins misses 2-pt layup from 12 ft (block by J. Tatum),63,70
3,10:48.0,Defensive rebound by A. Horford,,63,70
3,10:43.0,Shooting foul by J. Collins (drawn by K. Irving),,63,70
3,10:43.0,K. Irving makes free throw 1 of 2,,64,70
3,10:43.0,K. Irving makes free throw 2 of 2,,65,70
3,10:26.0,,T. Young misses 3-pt jump shot from 27 ft,65,70
3,10:21.0,Defensive rebound by M. Morris,,65,70
3,10:15.0,M. Smart misses 3-pt jump shot from 23 ft,,65,70
3,10:11.0,,Defensive rebound by D. Bembry,65,70
3,10:05.0,,Turnover by T. Young (lost ball; steal by K. Irving),65,70
3,9:57.0,Turnover by A. Horford (traveling),,65,70
3,9:42.0,,K. Huerter makes 3-pt jump shot from 25 ft,65,73
3,9:17.0,K. Irving misses 2-pt jump shot from 14 ft (block by D. Dedmon),,65,73
3,9:16.0,Offensive rebound by Team,,65,73
3,9:12.0,K. Irving misses 3-pt jump shot from 24 ft,,65,73
3,9:09.0,,Defensive rebound by J. Collins,65,73
3,9:09.0,Violation by Team (kicked ball),,65,73
3,9:01.0,,Personal foul by M. Smart (drawn by D. Bembry),65,73
3,9:01.0,,Personal foul by M. Smart (drawn by J. Collins),65,73
3,8:54.0,,T. Young makes 2-pt jump shot from 10 ft,65,75
3,8:43.0,Technical foul by M. Smart,,65,75
3,8:43.0,,D. Dedmon makes technical free throw,65,76
3,8:35.0,J. Tatum makes 2-pt layup from 5 ft,,67,76
3,8:12.0,,Offensive foul by J. Collins (drawn by M. Smart),67,76
3,8:12.0,,Turnover by J. Collins (offensive foul),67,76
3,7:58.0,Shooting foul by T. Young (drawn by M. Smart),,67,76
3,7:58.0,M. Smart makes free throw 1 of 2,,68,76
3,7:58.0,M. Smart makes free throw 2 of 2,,69,76
3,7:40.0,,T. Young misses 3-pt jump shot from 30 ft,69,76
3,7:35.0,,Offensive rebound by J. Collins,69,76
3,7:35.0,,D. Dedmon misses 2-pt layup from 6 ft (block by M. Morris),69,76
3,7:35.0,Defensive rebound by Team,,69,76
3,7:35.0,M. Smart ejected from game,,69,76
3,7:35.0,,Technical foul by D. Bembry,69,76
3,7:35.0,Technical foul by M. Smart,,69,76
3,7:35.0,T. Rozier enters the game for M. Smart,,69,76
3,7:26.0,J. Tatum makes 2-pt dunk from 2 ft (assist by K. Irving),,71,76
3,7:13.0,,T. Young misses 2-pt jump shot from 11 ft (block by J. Tatum),71,76
3,7:13.0,Defensive rebound by T. Rozier,,71,76
3,7:08.0,T. Rozier misses 2-pt layup from 1 ft,,71,76
3,7:04.0,,Defensive rebound by D. Bembry,71,76
3,7:01.0,,D. Bembry misses 2-pt layup from 1 ft (block by A. Horford),71,76
3,6:57.0,Defensive rebound by J. Tatum,,71,76
3,6:57.0,Shooting foul by D. Dedmon (drawn by J. Tatum),,71,76
3,6:57.0,,Atlanta full timeout,71,76
3,6:57.0,,A. Len enters the game for D. Bembry,71,76
3,6:57.0,,J. Lin enters the game for J. Collins,71,76
3,6:57.0,,T. Prince enters the game for D. Dedmon,71,76
3,6:57.0,,O. Spellman enters the game for T. Young,71,76
3,6:57.0,J. Tatum makes free throw 1 of 2,,72,76
3,6:57.0,J. Tatum makes free throw 2 of 2,,73,76
3,6:40.0,,K. Huerter misses 2-pt jump shot from 11 ft,73,76
3,6:37.0,,Offensive rebound by O. Spellman,73,76
3,6:34.0,,A. Len misses 2-pt jump shot from 13 ft,73,76
3,6:34.0,,Offensive rebound by J. Lin,73,76
3,6:25.0,,T. Prince misses 2-pt layup from 2 ft (block by A. Horford),73,76
3,6:24.0,,Offensive rebound by J. Lin,73,76
3,6:24.0,,Personal foul by J. Tatum (drawn by J. Lin),73,76
3,6:19.0,,Turnover by J. Lin (bad pass; steal by M. Morris),73,76
3,6:10.0,K. Irving misses 3-pt jump shot from 27 ft,,73,76
3,6:07.0,,Defensive rebound by A. Len,73,76
3,6:00.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by K. Huerter),73,79
3,5:40.0,J. Tatum makes 2-pt jump shot from 18 ft,,75,79
3,5:19.0,,K. Huerter misses 2-pt layup from 2 ft,75,79
3,5:19.0,,Offensive rebound by O. Spellman,75,79
3,5:19.0,,O. Spellman misses 2-pt layup from 6 ft,75,79
3,5:19.0,Defensive rebound by T. Rozier,,75,79
3,5:11.0,T. Rozier misses 3-pt jump shot from 27 ft,,75,79
3,5:07.0,,Defensive rebound by O. Spellman,75,79
3,4:53.0,,A. Len makes 2-pt hook shot from 9 ft (assist by J. Lin),75,81
3,4:31.0,J. Tatum misses 2-pt jump shot from 11 ft,,75,81
3,4:27.0,,Defensive rebound by A. Len,75,81
3,4:20.0,,A. Len makes 2-pt dunk from 1 ft (assist by J. Lin),75,83
3,4:09.0,A. Horford misses 3-pt jump shot from 25 ft,,75,83
3,4:06.0,,Defensive rebound by T. Prince,75,83
3,3:48.0,,J. Lin makes 2-pt jump shot from 15 ft,75,85
3,3:46.0,Boston full timeout,,75,85
3,3:46.0,A. Baynes enters the game for A. Horford,,75,85
3,3:46.0,J. Brown enters the game for M. Morris,,75,85
3,3:46.0,,T. Young enters the game for K. Huerter,75,85
3,3:34.0,K. Irving misses 2-pt jump shot from 19 ft,,75,85
3,3:31.0,,Defensive rebound by O. Spellman,75,85
3,3:10.0,,Turnover by T. Prince (off goaltending),75,85
3,2:55.0,J. Brown makes 3-pt jump shot from 26 ft (assist by T. Rozier),,78,85
3,2:38.0,,Turnover by T. Young (lost ball; steal by J. Brown),78,85
3,2:32.0,T. Rozier misses 2-pt layup from 2 ft (block by J. Lin),,78,85
3,2:30.0,,Defensive rebound by O. Spellman,78,85
3,2:27.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Prince),78,87
3,2:16.0,Turnover by J. Tatum (out of bounds lost ball),,78,87
3,2:16.0,S. Ojeleye enters the game for J. Tatum,,78,87
3,2:16.0,,J. Collins enters the game for O. Spellman,78,87
3,2:00.0,,Turnover by J. Lin (bad pass),78,87
3,1:51.0,A. Baynes misses 3-pt jump shot from 25 ft,,78,87
3,1:47.0,,Defensive rebound by J. Collins,78,87
3,1:41.0,,T. Young makes 2-pt layup from 1 ft,78,89
3,1:36.0,S. Ojeleye makes 2-pt layup from 1 ft (assist by K. Irving),,80,89
3,1:36.0,Shooting foul by J. Collins (drawn by S. Ojeleye),,80,89
3,1:36.0,J. Tatum enters the game for K. Irving,,80,89
3,1:36.0,,V. Carter enters the game for J. Collins,80,89
3,1:36.0,S. Ojeleye makes free throw 1 of 1,,81,89
3,1:22.0,,T. Prince misses 2-pt jump shot from 12 ft,81,89
3,1:18.0,,Offensive rebound by T. Prince,81,89
3,1:17.0,,T. Prince misses 2-pt layup at rim,81,89
3,1:17.0,Defensive rebound by J. Tatum,,81,89
3,1:08.0,A. Baynes makes 2-pt hook shot from 1 ft (assist by J. Brown),,83,89
3,0:50.0,,T. Prince misses 3-pt jump shot from 26 ft,83,89
3,0:46.0,Defensive rebound by J. Brown,,83,89
3,0:35.0,J. Tatum misses 2-pt jump shot from 18 ft,,83,89
3,0:30.0,,Defensive rebound by A. Len,83,89
3,0:15.0,,A. Len misses 3-pt jump shot from 25 ft,83,89
3,0:11.0,Defensive rebound by T. Rozier,,83,89
3,0:00.0,J. Tatum misses 2-pt jump shot from 10 ft,,83,89
3,0:00.0,Offensive rebound by Team,,83,89
4,11:38.0,,V. Carter makes 2-pt layup from 1 ft,83,91
4,11:22.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by J. Brown),,86,91
4,10:57.0,,K. Huerter misses 3-pt jump shot from 28 ft,86,91
4,10:57.0,,Offensive rebound by Team,86,91
4,10:57.0,Loose ball foul by A. Baynes (drawn by V. Carter),,86,91
4,10:47.0,,Turnover by D. Bembry (bad pass; steal by T. Rozier),86,91
4,10:42.0,T. Rozier makes 2-pt dunk from 1 ft,,88,91
4,10:17.0,,K. Huerter misses 2-pt jump shot from 13 ft,88,91
4,10:17.0,,Offensive rebound by V. Carter,88,91
4,10:17.0,,V. Carter makes 2-pt layup from 4 ft,88,93
4,9:59.0,J. Brown misses 2-pt layup from 2 ft,,88,93
4,9:53.0,Offensive rebound by A. Baynes,,88,93
4,9:53.0,A. Baynes makes 2-pt dunk at rim,,90,93
4,9:41.0,,K. Huerter misses 2-pt layup from 12 ft,90,93
4,9:38.0,Defensive rebound by T. Rozier,,90,93
4,9:34.0,Shooting foul by D. Dedmon (drawn by J. Brown),,90,93
4,9:34.0,J. Brown makes free throw 1 of 2,,91,93
4,9:34.0,,J. Collins enters the game for V. Carter,91,93
4,9:34.0,J. Brown makes free throw 2 of 2,,92,93
4,9:31.0,,Personal foul by T. Rozier (drawn by T. Young),92,93
4,9:24.0,,T. Young misses 3-pt jump shot from 29 ft,92,93
4,9:21.0,Defensive rebound by A. Baynes,,92,93
4,9:07.0,J. Brown makes 3-pt jump shot from 26 ft (assist by T. Rozier),,95,93
4,9:06.0,,Atlanta full timeout,95,93
4,8:51.0,,K. Huerter misses 3-pt jump shot from 26 ft,95,93
4,8:48.0,Defensive rebound by T. Rozier,,95,93
4,8:36.0,Turnover by T. Rozier (traveling),,95,93
4,8:20.0,,Turnover by T. Young (bad pass; steal by T. Rozier),95,93
4,8:17.0,Shooting foul by K. Huerter (drawn by J. Brown),,95,93
4,8:17.0,J. Brown makes free throw 1 of 2,,96,93
4,8:17.0,J. Brown makes free throw 2 of 2,,97,93
4,7:56.0,,T. Young makes 3-pt jump shot from 25 ft (assist by K. Huerter),97,96
4,7:36.0,Personal foul by D. Bembry (drawn by J. Tatum),,97,96
4,7:36.0,K. Irving enters the game for J. Tatum,,97,96
4,7:36.0,,A. Len enters the game for D. Bembry,97,96
4,7:36.0,,T. Prince enters the game for D. Dedmon,97,96
4,7:22.0,Turnover by K. Irving (bad pass; steal by A. Len),,97,96
4,7:16.0,,K. Huerter misses 2-pt layup from 5 ft (block by A. Baynes),97,96
4,7:15.0,Defensive rebound by Team,,97,96
4,7:15.0,Boston full timeout,,97,96
4,7:15.0,M. Morris enters the game for S. Ojeleye,,97,96
4,7:15.0,,J. Lin enters the game for T. Young,97,96
4,7:02.0,J. Brown makes 2-pt jump shot from 1 ft,,99,96
4,6:43.0,,J. Lin misses 3-pt jump shot from 23 ft,99,96
4,6:38.0,,Offensive rebound by A. Len,99,96
4,6:36.0,,Turnover by A. Len (bad pass; steal by J. Brown),99,96
4,6:36.0,Offensive foul by J. Brown (drawn by T. Prince),,99,96
4,6:36.0,Turnover by J. Brown (offensive foul),,99,96
4,6:28.0,,A. Len makes 2-pt layup from 2 ft (assist by J. Lin),99,98
4,6:06.0,J. Brown misses 3-pt jump shot from 24 ft,,99,98
4,6:03.0,,Defensive rebound by T. Prince,99,98
4,5:54.0,,A. Len makes 2-pt hook shot from 6 ft (assist by J. Lin),99,100
4,5:40.0,K. Irving makes 2-pt layup from 2 ft,,101,100
4,5:23.0,,Turnover by K. Huerter (bad pass),101,100
4,5:23.0,A. Horford enters the game for A. Baynes,,101,100
4,5:23.0,J. Tatum enters the game for T. Rozier,,101,100
4,5:23.0,,D. Bembry enters the game for J. Collins,101,100
4,5:23.0,,O. Spellman enters the game for K. Huerter,101,100
4,5:08.0,A. Horford misses 3-pt jump shot from 26 ft,,101,100
4,5:05.0,,Defensive rebound by D. Bembry,101,100
4,4:56.0,,Personal foul by M. Morris (drawn by O. Spellman),101,100
4,4:52.0,,J. Lin misses 2-pt jump shot from 15 ft (block by J. Tatum),101,100
4,4:48.0,Defensive rebound by J. Brown,,101,100
4,4:48.0,Turnover by A. Horford (traveling),,101,100
4,4:30.0,,Personal foul by M. Morris (drawn by J. Lin),101,100
