QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,UTAH_ACTION,CHARLOTTE_SCORE,UTAH_SCORE
1,2:25.0,,Defensive rebound by R. Neto,17,21
1,2:09.0,,J. Ingles misses 3-pt jump shot from 25 ft,17,21
1,2:06.0,Defensive rebound by F. Kaminsky,,17,21
1,1:51.0,F. Kaminsky misses 2-pt layup from 3 ft,,17,21
1,1:49.0,,Defensive rebound by G. Niang,17,21
1,1:31.0,,G. Niang makes 2-pt layup from 2 ft (assist by R. Neto),17,23
1,1:16.0,J. Lamb misses 2-pt jump shot from 8 ft,,17,23
1,1:12.0,Offensive rebound by W. Hernangómez,,17,23
1,1:12.0,W. Hernangómez makes 2-pt dunk at rim,,19,23
1,0:57.0,,Turnover by E. Udoh (lost ball; steal by D. Graham),19,23
1,0:53.0,M. Monk makes 2-pt dunk from 1 ft (assist by D. Graham),,21,23
1,0:37.0,,R. Neto misses 2-pt layup from 3 ft (block by W. Hernangómez),21,23
1,0:37.0,,Offensive rebound by Team,21,23
1,0:35.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by E. Udoh),21,26
1,0:22.0,Shooting foul by E. Udoh (drawn by J. Lamb),,21,26
1,0:22.0,M. Bridges enters the game for W. Hernangómez,,21,26
1,0:22.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,21,26
1,0:22.0,J. Lamb makes free throw 1 of 2,,22,26
1,0:22.0,J. Lamb makes free throw 2 of 2,,23,26
1,0:03.0,,G. Niang misses 3-pt jump shot from 23 ft,23,26
1,0:02.0,Defensive rebound by M. Bridges,,23,26
1,0:01.0,M. Bridges misses 3-pt jump shot from 71 ft,,23,26
1,0:01.0,Offensive rebound by Team,,23,26
2,11:48.0,M. Monk misses 3-pt jump shot from 24 ft,,23,26
2,11:46.0,,Defensive rebound by E. Udoh,23,26
2,11:25.0,,J. Crowder misses 3-pt jump shot from 28 ft,23,26
2,11:22.0,Defensive rebound by M. Monk,,23,26
2,11:16.0,F. Kaminsky misses 3-pt jump shot from 28 ft,,23,26
2,11:14.0,,Defensive rebound by Team,23,26
2,10:53.0,,Turnover by R. Neto (lost ball; steal by M. Kidd-Gilchrist),23,26
2,10:51.0,Shooting foul by R. O'Neale (drawn by M. Monk),,23,26
2,10:51.0,M. Monk misses free throw 1 of 2,,23,26
2,10:51.0,Offensive rebound by Team,,23,26
2,10:51.0,M. Monk makes free throw 2 of 2,,24,26
2,10:34.0,,E. Udoh misses 2-pt layup from 2 ft,24,26
2,10:33.0,,Offensive rebound by E. Udoh,24,26
2,10:31.0,,E. Udoh makes 2-pt dunk from 1 ft,24,28
2,10:18.0,Personal foul by R. Neto (drawn by D. Graham),,24,28
2,10:10.0,J. Lamb makes 2-pt jump shot from 7 ft,,26,28
2,10:09.0,Violation by Team (delay of game),,26,28
2,9:56.0,,Turnover by J. Crowder (bad pass),26,28
2,9:48.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),,29,28
2,9:46.0,,Utah full timeout,29,28
2,9:46.0,M. Williams enters the game for F. Kaminsky,,29,28
2,9:46.0,,R. Gobert enters the game for R. Neto,29,28
2,9:46.0,,D. Mitchell enters the game for E. Udoh,29,28
2,9:26.0,,Turnover by J. Crowder (bad pass),29,28
2,9:11.0,M. Williams misses 3-pt jump shot from 25 ft,,29,28
2,9:08.0,,Defensive rebound by J. Ingles,29,28
2,9:01.0,,D. Mitchell misses 2-pt layup from 5 ft (block by M. Williams),29,28
2,8:59.0,Defensive rebound by D. Graham,,29,28
2,8:53.0,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,,29,28
2,8:52.0,Offensive rebound by M. Kidd-Gilchrist,,29,28
2,8:51.0,M. Williams misses 3-pt jump shot from 25 ft,,29,28
2,8:51.0,,Defensive rebound by R. Gobert,29,28
2,8:41.0,,J. Crowder misses 3-pt jump shot from 25 ft,29,28
2,8:39.0,Defensive rebound by M. Monk,,29,28
2,8:34.0,M. Monk misses 3-pt jump shot from 24 ft,,29,28
2,8:32.0,,Defensive rebound by R. Gobert,29,28
2,8:17.0,,D. Mitchell misses 2-pt jump shot from 6 ft,29,28
2,8:14.0,,Offensive rebound by R. Gobert,29,28
2,8:14.0,,R. Gobert misses 2-pt layup from 1 ft,29,28
2,8:13.0,Defensive rebound by M. Williams,,29,28
2,8:02.0,J. Lamb misses 2-pt jump shot from 14 ft,,29,28
2,7:59.0,,Defensive rebound by J. Ingles,29,28
2,7:54.0,,Utah full timeout,29,28
2,7:54.0,K. Walker enters the game for J. Lamb,,29,28
2,7:54.0,,R. Rubio enters the game for J. Crowder,29,28
2,7:54.0,,T. Sefolosha enters the game for J. Ingles,29,28
2,7:47.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),29,30
2,7:31.0,D. Graham misses 3-pt jump shot from 24 ft,,29,30
2,7:29.0,,Defensive rebound by R. Gobert,29,30
2,7:20.0,,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by R. Rubio),29,33
2,6:58.0,M. Kidd-Gilchrist misses 2-pt jump shot from 10 ft,,29,33
2,6:55.0,Offensive rebound by D. Graham,,29,33
2,6:55.0,M. Bridges enters the game for M. Monk,,29,33
2,6:46.0,K. Walker misses 3-pt jump shot from 25 ft,,29,33
2,6:43.0,,Defensive rebound by R. Gobert,29,33
2,6:31.0,,T. Sefolosha makes 2-pt layup from 2 ft (assist by R. Rubio),29,35
2,6:31.0,W. Hernangómez enters the game for M. Kidd-Gilchrist,,29,35
2,6:08.0,Turnover by M. Bridges (bad pass; steal by D. Mitchell),,29,35
2,6:04.0,,D. Mitchell makes 2-pt layup from 2 ft,29,37
2,6:03.0,Charlotte full timeout,,29,37
2,6:03.0,J. Lamb enters the game for D. Graham,,29,37
2,5:41.0,J. Lamb misses 2-pt layup from 6 ft (block by R. Gobert),,29,37
2,5:38.0,Offensive rebound by J. Lamb,,29,37
2,5:37.0,J. Lamb makes 2-pt layup from 1 ft,,31,37
2,5:25.0,,Utah full timeout,31,37
2,5:23.0,,R. O'Neale makes 2-pt layup from 3 ft (assist by R. Rubio),31,39
2,5:01.0,M. Bridges misses 2-pt layup from 3 ft,,31,39
2,5:00.0,Offensive rebound by W. Hernangómez,,31,39
2,5:00.0,Shooting foul by R. Gobert (drawn by W. Hernangómez),,31,39
2,5:00.0,W. Hernangómez makes free throw 1 of 2,,32,39
2,5:00.0,W. Hernangómez makes free throw 2 of 2,,33,39
2,4:46.0,,T. Sefolosha misses 3-pt jump shot from 26 ft,33,39
2,4:43.0,Defensive rebound by M. Bridges,,33,39
2,4:37.0,K. Walker misses 2-pt jump shot from 16 ft,,33,39
2,4:34.0,,Defensive rebound by R. Rubio,33,39
2,4:25.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),33,41
2,4:05.0,J. Lamb misses 2-pt layup from 4 ft,,33,41
2,4:02.0,,Defensive rebound by D. Mitchell,33,41
2,3:53.0,,D. Mitchell misses 2-pt layup from 3 ft,33,41
2,3:50.0,,Offensive rebound by Team,33,41
2,3:44.0,,R. Rubio makes 2-pt jump shot from 14 ft,33,43
2,3:21.0,Turnover by W. Hernangómez (traveling),,33,43
2,3:10.0,,R. Rubio misses 2-pt jump shot from 14 ft,33,43
2,3:06.0,Defensive rebound by J. Lamb,,33,43
2,2:58.0,K. Walker misses 3-pt jump shot from 24 ft,,33,43
2,2:54.0,,Defensive rebound by R. Gobert,33,43
2,2:50.0,,R. O'Neale makes 2-pt layup from 1 ft (assist by R. Rubio),33,45
2,2:49.0,Charlotte full timeout,,33,45
2,2:49.0,D. Graham enters the game for W. Hernangómez,,33,45
2,2:49.0,,J. Crowder enters the game for R. O'Neale,33,45
2,2:49.0,,J. Ingles enters the game for T. Sefolosha,33,45
2,2:30.0,K. Walker makes 2-pt layup from 3 ft,,35,45
2,2:12.0,,R. Rubio makes 2-pt jump shot from 8 ft,35,47
2,1:57.0,K. Walker misses 2-pt jump shot from 12 ft,,35,47
2,1:55.0,,Defensive rebound by R. Gobert,35,47
2,1:45.0,,R. Rubio misses 2-pt jump shot from 16 ft,35,47
2,1:42.0,Defensive rebound by M. Williams,,35,47
2,1:36.0,D. Graham misses 2-pt jump shot from 7 ft,,35,47
2,1:34.0,,Defensive rebound by J. Ingles,35,47
2,1:27.0,,D. Mitchell misses 3-pt jump shot from 25 ft,35,47
2,1:24.0,Defensive rebound by J. Lamb,,35,47
2,1:09.0,Shooting foul by D. Mitchell (drawn by K. Walker),,35,47
2,1:09.0,K. Walker makes free throw 1 of 2,,36,47
2,1:09.0,M. Kidd-Gilchrist enters the game for M. Bridges,,36,47
2,1:09.0,K. Walker makes free throw 2 of 2,,37,47
2,0:52.0,,D. Mitchell makes 2-pt dunk from 2 ft (assist by J. Ingles),37,49
2,0:35.0,J. Lamb makes 2-pt layup from 2 ft (assist by D. Graham),,39,49
2,0:28.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. Rubio),39,52
2,0:05.0,D. Graham misses 3-pt jump shot from 25 ft,,39,52
2,0:03.0,,Defensive rebound by J. Crowder,39,52
2,0:02.0,,D. Mitchell misses 3-pt jump shot from 25 ft,39,52
2,0:01.0,,Offensive rebound by Team,39,52
3,11:46.0,K. Walker misses 2-pt jump shot from 16 ft,,39,52
3,11:41.0,,Defensive rebound by J. Crowder,39,52
3,11:29.0,,R. Rubio misses 3-pt jump shot from 24 ft,39,52
3,11:25.0,Defensive rebound by M. Williams,,39,52
3,11:07.0,M. Bridges misses 2-pt layup from 3 ft,,39,52
3,11:06.0,,Defensive rebound by R. Gobert,39,52
3,10:56.0,,J. Crowder misses 3-pt jump shot from 25 ft,39,52
3,10:52.0,Defensive rebound by K. Walker,,39,52
3,10:50.0,K. Walker makes 2-pt layup from 2 ft,,41,52
3,10:50.0,Shooting foul by D. Mitchell (drawn by K. Walker),,41,52
3,10:50.0,K. Walker makes free throw 1 of 1,,42,52
3,10:34.0,,Turnover by J. Ingles (bad pass; steal by M. Williams),42,52
3,10:23.0,J. Lamb makes 2-pt layup from 3 ft,,44,52
3,10:07.0,,Personal foul by M. Williams (drawn by R. Gobert),44,52
3,9:57.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Mitchell),44,55
3,9:33.0,K. Walker makes 2-pt jump shot from 23 ft,,46,55
3,9:21.0,,Shooting foul by M. Bridges (drawn by R. Rubio),46,55
3,9:21.0,,R. Rubio makes free throw 1 of 2,46,56
3,9:21.0,,R. Rubio makes free throw 2 of 2,46,57
3,9:13.0,Shooting foul by R. Gobert (drawn by K. Walker),,46,57
3,9:13.0,K. Walker makes free throw 1 of 2,,47,57
3,9:13.0,K. Walker makes free throw 2 of 2,,48,57
3,9:04.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),48,59
3,8:51.0,Turnover by K. Walker (bad pass),,48,59
3,8:41.0,,D. Mitchell misses 2-pt layup from 5 ft,48,59
3,8:41.0,,Offensive rebound by Team,48,59
3,8:33.0,,D. Mitchell misses 3-pt jump shot from 25 ft,48,59
3,8:31.0,Defensive rebound by M. Williams,,48,59
3,8:24.0,K. Walker misses 2-pt jump shot from 17 ft,,48,59
3,8:23.0,,Defensive rebound by R. Gobert,48,59
3,8:16.0,,R. Rubio makes 2-pt layup from 2 ft,48,61
3,8:04.0,J. Lamb makes 2-pt jump shot from 9 ft (assist by K. Walker),,50,61
3,7:45.0,,R. Gobert misses 2-pt hook shot from 2 ft,50,61
3,7:43.0,Defensive rebound by M. Williams,,50,61
3,7:38.0,J. Lamb misses 3-pt jump shot from 25 ft,,50,61
3,7:38.0,Offensive rebound by Team,,50,61
3,7:27.0,K. Walker makes 2-pt jump shot from 24 ft (assist by B. Biyombo),,52,61
3,7:10.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),52,64
3,6:45.0,J. Lamb makes 2-pt jump shot from 19 ft,,54,64
3,6:29.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),54,66
3,6:29.0,Charlotte full timeout,,54,66
3,6:29.0,F. Kaminsky enters the game for B. Biyombo,,54,66
3,6:29.0,,R. O'Neale enters the game for J. Crowder,54,66
3,6:29.0,,T. Sefolosha enters the game for J. Ingles,54,66
3,6:16.0,Turnover by M. Williams (bad pass; steal by T. Sefolosha),,54,66
3,6:11.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by R. O'Neale),54,69
3,5:51.0,M. Williams misses 3-pt jump shot from 26 ft,,54,69
3,5:47.0,Offensive rebound by F. Kaminsky,,54,69
3,5:45.0,M. Bridges misses 3-pt jump shot from 25 ft,,54,69
3,5:42.0,,Defensive rebound by R. O'Neale,54,69
3,5:38.0,,Personal foul by M. Bridges (drawn by R. Rubio),54,69
3,5:31.0,,R. Rubio misses 3-pt jump shot from 24 ft,54,69
3,5:29.0,Defensive rebound by M. Bridges,,54,69
3,5:25.0,Offensive foul by M. Bridges (drawn by R. Rubio),,54,69
3,5:25.0,Turnover by M. Bridges (offensive foul),,54,69
3,5:25.0,,G. Niang enters the game for R. Rubio,54,69
3,5:13.0,,Turnover by D. Mitchell (bad pass; steal by M. Williams),54,69
3,5:07.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,54,69
3,5:05.0,,Defensive rebound by G. Niang,54,69
3,4:54.0,,Shooting foul by J. Lamb (drawn by D. Mitchell),54,69
3,4:54.0,,D. Mitchell makes free throw 1 of 2,54,70
3,4:54.0,M. Kidd-Gilchrist enters the game for M. Williams,,54,70
3,4:54.0,,D. Mitchell makes free throw 2 of 2,54,71
3,4:47.0,Personal foul by G. Niang (drawn by F. Kaminsky),,54,71
3,4:47.0,M. Monk enters the game for M. Bridges,,54,71
3,4:41.0,Turnover by F. Kaminsky (bad pass; steal by D. Mitchell),,54,71
3,4:40.0,,Personal foul by M. Kidd-Gilchrist (drawn by D. Mitchell),54,71
3,4:40.0,,D. Mitchell misses free throw 1 of 2,54,71
3,4:40.0,,Offensive rebound by Team,54,71
3,4:40.0,,D. Mitchell makes free throw 2 of 2,54,72
3,4:23.0,K. Walker misses 2-pt layup from 2 ft,,54,72
3,4:21.0,,Defensive rebound by G. Niang,54,72
3,4:02.0,,Turnover by T. Sefolosha (traveling),54,72
3,3:52.0,,Violation by Team (kicked ball),54,72
3,3:42.0,J. Lamb misses 3-pt jump shot from 25 ft,,54,72
3,3:40.0,,Defensive rebound by R. Gobert,54,72
3,3:27.0,,G. Niang misses 3-pt jump shot from 22 ft,54,72
3,3:23.0,Defensive rebound by F. Kaminsky,,54,72
3,3:15.0,K. Walker misses 2-pt layup from 4 ft,,54,72
3,3:13.0,,Defensive rebound by R. Gobert,54,72
3,3:13.0,,Personal take foul by F. Kaminsky (drawn by G. Niang),54,72
3,3:13.0,,G. Niang makes free throw 1 of 2,54,73
3,3:13.0,,J. Ingles enters the game for D. Mitchell,54,73
3,3:13.0,,R. Neto enters the game for R. O'Neale,54,73
3,3:13.0,,G. Niang makes free throw 2 of 2,54,74
3,3:03.0,K. Walker makes 2-pt jump shot from 13 ft,,56,74
3,3:02.0,,Utah full timeout,56,74
3,3:02.0,D. Graham enters the game for F. Kaminsky,,56,74
3,3:02.0,W. Hernangómez enters the game for J. Lamb,,56,74
3,2:43.0,,G. Niang misses 2-pt jump shot from 7 ft,56,74
3,2:42.0,Defensive rebound by M. Kidd-Gilchrist,,56,74
3,2:42.0,Personal foul by G. Niang (drawn by M. Kidd-Gilchrist),,56,74
3,2:42.0,,J. Crowder enters the game for R. Gobert,56,74
3,2:42.0,,E. Udoh enters the game for T. Sefolosha,56,74
3,2:28.0,Shooting foul by E. Udoh (drawn by W. Hernangómez),,56,74
3,2:28.0,Offensive rebound by Team,,56,74
3,2:28.0,W. Hernangómez misses free throw 1 of 2,,56,74
3,2:28.0,W. Hernangómez misses free throw 2 of 2,,56,74
3,2:25.0,,Defensive rebound by E. Udoh,56,74
3,2:07.0,,Turnover by G. Niang (bad pass; steal by M. Monk),56,74
3,2:00.0,D. Graham misses 2-pt layup from 3 ft,,56,74
3,1:59.0,,Defensive rebound by G. Niang,56,74
3,1:55.0,,R. Neto misses 3-pt jump shot from 23 ft,56,74
3,1:49.0,Defensive rebound by W. Hernangómez,,56,74
3,1:42.0,Personal foul by G. Niang (drawn by K. Walker),,56,74
3,1:42.0,Offensive rebound by Team,,56,74
3,1:42.0,K. Walker misses free throw 1 of 2,,56,74
3,1:42.0,K. Walker makes free throw 2 of 2,,57,74
3,1:28.0,,J. Ingles misses 3-pt jump shot from 24 ft,57,74
3,1:24.0,Defensive rebound by M. Kidd-Gilchrist,,57,74
3,1:16.0,Shooting foul by J. Crowder (drawn by K. Walker),,57,74
3,1:16.0,K. Walker makes free throw 1 of 2,,58,74
3,1:16.0,K. Walker makes free throw 2 of 2,,59,74
3,0:57.0,,G. Niang misses 2-pt jump shot from 11 ft,59,74
3,0:52.0,Defensive rebound by M. Monk,,59,74
3,0:42.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by D. Graham),,61,74
3,0:42.0,Shooting foul by J. Crowder (drawn by W. Hernangómez),,61,74
3,0:42.0,W. Hernangómez makes free throw 1 of 1,,62,74
3,0:33.0,,Shooting foul by M. Kidd-Gilchrist (drawn by E. Udoh),62,74
3,0:33.0,,E. Udoh makes free throw 1 of 2,62,75
3,0:33.0,,E. Udoh makes free throw 2 of 2,62,76
3,0:25.0,K. Walker makes 2-pt jump shot from 18 ft,,64,76
3,0:06.0,,J. Ingles makes 3-pt jump shot from 27 ft (assist by R. Neto),64,79
3,0:02.0,K. Walker misses 2-pt layup from 6 ft,,64,79
3,0:01.0,Offensive rebound by Team,,64,79
4,11:42.0,,R. Neto makes 2-pt jump shot from 9 ft (assist by J. Ingles),64,81
4,11:23.0,M. Monk misses 2-pt jump shot from 10 ft,,64,81
4,11:22.0,,Defensive rebound by R. Gobert,64,81
4,11:13.0,,J. Crowder misses 3-pt jump shot from 25 ft,64,81
4,11:10.0,Defensive rebound by W. Hernangómez,,64,81
4,10:54.0,J. Lamb makes 2-pt jump shot from 12 ft,,66,81
4,10:30.0,,J. Crowder misses 3-pt jump shot from 22 ft,66,81
4,10:29.0,,Offensive rebound by Team,66,81
4,10:29.0,Loose ball foul by J. Lamb (drawn by R. Gobert),,66,81
4,10:29.0,,T. Sefolosha enters the game for J. Crowder,66,81
4,10:22.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Neto),66,84
4,10:12.0,Personal foul by R. Neto (drawn by D. Graham),,66,84
4,10:04.0,D. Graham misses 2-pt jump shot from 16 ft,,66,84
4,10:01.0,Offensive rebound by W. Hernangómez,,66,84
4,10:01.0,Shooting foul by R. Neto (drawn by W. Hernangómez),,66,84
4,10:01.0,W. Hernangómez makes free throw 1 of 2,,67,84
4,10:01.0,W. Hernangómez makes free throw 2 of 2,,68,84
4,9:51.0,,Turnover by R. Gobert (lost ball; steal by W. Hernangómez),68,84
4,9:43.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by D. Graham),,70,84
4,9:32.0,,Turnover by R. Gobert (offensive foul),70,84
4,9:32.0,,Offensive foul by R. Gobert (drawn by D. Graham),70,84
4,9:32.0,,D. Mitchell enters the game for J. Ingles,70,84
4,9:23.0,M. Kidd-Gilchrist makes 3-pt jump shot from 22 ft (assist by D. Graham),,73,84
4,9:13.0,,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by R. Neto),73,87
4,8:56.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by D. Graham),,75,87
4,8:43.0,,T. Sefolosha makes 3-pt jump shot from 24 ft (assist by D. Mitchell),75,90
4,8:25.0,M. Monk makes 3-pt jump shot from 26 ft (assist by W. Hernangómez),,78,90
4,8:01.0,,R. Neto misses 2-pt jump shot from 8 ft,78,90
4,7:58.0,Defensive rebound by M. Monk,,78,90
4,7:51.0,Turnover by M. Monk (bad pass; steal by D. Mitchell),,78,90
4,7:45.0,,R. Neto misses 2-pt layup from 3 ft,78,90
4,7:43.0,,Offensive rebound by R. Neto,78,90
4,7:41.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Neto),78,92
4,7:24.0,Personal foul by R. Neto (drawn by D. Graham),,78,92
4,7:24.0,K. Walker enters the game for M. Monk,,78,92
4,7:24.0,,R. Rubio enters the game for R. Neto,78,92
4,7:18.0,W. Hernangómez misses 3-pt jump shot from 25 ft,,78,92
4,7:15.0,,Defensive rebound by R. Gobert,78,92
4,7:11.0,,R. O'Neale makes 3-pt jump shot from 23 ft (assist by D. Mitchell),78,95
4,7:09.0,Charlotte full timeout,,78,95
4,7:09.0,M. Monk enters the game for J. Lamb,,78,95
4,6:52.0,W. Hernangómez misses 2-pt hook shot from 9 ft,,78,95
4,6:49.0,,Defensive rebound by R. Gobert,78,95
4,6:39.0,,Turnover by R. Rubio (bad pass; steal by W. Hernangómez),78,95
4,6:36.0,W. Hernangómez makes 2-pt dunk from 2 ft,,80,95
4,6:21.0,,D. Mitchell misses 2-pt jump shot from 9 ft,80,95
