QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA LAKERS_ACTION,CHICAGO_SCORE,LA LAKERS_SCORE
1,4:16.0,,J. McGee makes 2-pt dunk from 1 ft (assist by B. Ingram),12,13
1,3:58.0,K. Dunn misses 2-pt jump shot from 5 ft,,12,13
1,3:58.0,Offensive rebound by Team,,12,13
1,3:52.0,R. Arcidiacono misses 2-pt jump shot from 20 ft,,12,13
1,3:48.0,Offensive rebound by W. Carter,,12,13
1,3:46.0,C. Hutchison makes 2-pt dunk from 1 ft (assist by W. Carter),,14,13
1,3:29.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by B. Ingram),14,15
1,3:29.0,,Shooting foul by K. Dunn (drawn by K. Caldwell-Pope),14,15
1,3:29.0,S. Harrison enters the game for W. Carter,,14,15
1,3:29.0,B. Portis enters the game for K. Dunn,,14,15
1,3:29.0,,J. Hart enters the game for K. Kuzma,14,15
1,3:29.0,,K. Caldwell-Pope makes free throw 1 of 1,14,16
1,3:06.0,B. Portis misses 2-pt jump shot from 17 ft (block by J. McGee),,14,16
1,3:02.0,,Defensive rebound by B. Ingram,14,16
1,2:59.0,,Shooting foul by R. Arcidiacono (drawn by J. McGee),14,16
1,2:59.0,Chicago full timeout,,14,16
1,2:59.0,Z. LaVine enters the game for C. Hutchison,,14,16
1,2:59.0,,M. Beasley enters the game for L. Ball,14,16
1,2:59.0,,J. McGee misses free throw 1 of 2,14,16
1,2:59.0,,Offensive rebound by Team,14,16
1,2:59.0,,J. McGee makes free throw 2 of 2,14,17
1,2:50.0,S. Harrison makes 2-pt layup from 2 ft (assist by B. Portis),,16,17
1,2:32.0,,J. McGee misses 2-pt hook shot from 4 ft,16,17
1,2:32.0,Defensive rebound by Team,,16,17
1,2:24.0,B. Portis misses 3-pt jump shot from 25 ft,,16,17
1,2:20.0,Offensive rebound by Team,,16,17
1,2:16.0,S. Harrison misses 2-pt layup from 2 ft,,16,17
1,2:13.0,,Defensive rebound by B. Ingram,16,17
1,1:56.0,,K. Caldwell-Pope makes 2-pt jump shot from 2 ft,16,19
1,1:33.0,B. Portis misses 2-pt hook shot from 3 ft (block by J. McGee),,16,19
1,1:30.0,,Defensive rebound by M. Beasley,16,19
1,1:27.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,16,19
1,1:23.0,Defensive rebound by B. Portis,,16,19
1,1:17.0,R. Arcidiacono makes 2-pt layup from 1 ft,,18,19
1,1:01.0,,J. McGee misses 2-pt jump shot from 14 ft,18,19
1,0:59.0,Defensive rebound by Z. LaVine,,18,19
1,0:55.0,Personal foul by J. McGee (drawn by Z. LaVine),,18,19
1,0:50.0,Z. LaVine misses 3-pt jump shot from 28 ft,,18,19
1,0:47.0,,Defensive rebound by J. McGee,18,19
1,0:34.0,,M. Beasley misses 2-pt layup from 6 ft (block by S. Harrison),18,19
1,0:31.0,Defensive rebound by B. Portis,,18,19
1,0:29.0,Z. LaVine misses 2-pt layup from 2 ft,,18,19
1,0:25.0,Offensive rebound by B. Portis,,18,19
1,0:25.0,B. Portis misses 2-pt layup from 1 ft,,18,19
1,0:24.0,Offensive rebound by B. Portis,,18,19
1,0:24.0,B. Portis misses 2-pt layup from 1 ft,,18,19
1,0:23.0,,Defensive rebound by M. Beasley,18,19
1,0:03.0,,B. Ingram misses 2-pt jump shot from 4 ft,18,19
1,0:02.0,Defensive rebound by L. Markkanen,,18,19
1,0:00.0,L. Markkanen misses 3-pt jump shot from 60 ft,,18,19
1,0:00.0,Offensive rebound by Team,,18,19
2,11:58.0,,Violation by Team (delay of game),18,19
2,11:47.0,,Turnover by M. Beasley (traveling),18,19
2,11:34.0,B. Portis makes 2-pt jump shot from 6 ft (assist by Z. LaVine),,20,19
2,11:21.0,,Shooting foul by J. Parker (drawn by M. Beasley),20,19
2,11:21.0,,M. Beasley misses free throw 1 of 2,20,19
2,11:21.0,,Offensive rebound by Team,20,19
2,11:21.0,,M. Beasley misses free throw 2 of 2,20,19
2,11:18.0,Defensive rebound by B. Portis,,20,19
2,10:59.0,S. Harrison misses 3-pt jump shot from 26 ft,,20,19
2,10:56.0,,Defensive rebound by I. Zubac,20,19
2,10:44.0,,M. Beasley makes 2-pt jump shot from 4 ft,20,21
2,10:28.0,J. Parker makes 2-pt dunk from 1 ft (assist by Z. LaVine),,22,21
2,10:15.0,,L. Stephenson makes 3-pt jump shot from 27 ft (assist by I. Zubac),22,24
2,10:03.0,J. Parker makes 3-pt jump shot from 25 ft (assist by B. Portis),,25,24
2,9:50.0,,Turnover by L. Stephenson (lost ball; steal by S. Harrison),25,24
2,9:50.0,Personal take foul by L. Stephenson (drawn by S. Harrison),,25,24
2,9:42.0,J. Parker misses 3-pt jump shot from 26 ft,,25,24
2,9:39.0,,Defensive rebound by J. Hart,25,24
2,9:25.0,,Turnover by L. Stephenson (out of bounds lost ball),25,24
2,9:17.0,B. Portis misses 3-pt jump shot from 26 ft,,25,24
2,9:13.0,,Defensive rebound by J. Hart,25,24
2,8:59.0,,Turnover by J. Hart (bad pass; steal by R. Arcidiacono),25,24
2,8:56.0,S. Harrison makes 2-pt layup from 1 ft (assist by Z. LaVine),,27,24
2,8:56.0,,LA Lakers full timeout,27,24
2,8:56.0,,L. Ball enters the game for J. Hart,27,24
2,8:56.0,,K. Kuzma enters the game for L. Stephenson,27,24
2,8:32.0,,L. Ball misses 3-pt jump shot from 28 ft,27,24
2,8:29.0,Defensive rebound by S. Harrison,,27,24
2,8:12.0,J. Parker misses 3-pt jump shot from 25 ft,,27,24
2,8:08.0,,Defensive rebound by K. Kuzma,27,24
2,7:55.0,,K. Kuzma misses 2-pt jump shot from 9 ft,27,24
2,7:51.0,Defensive rebound by J. Parker,,27,24
2,7:48.0,Shooting foul by I. Zubac (drawn by R. Arcidiacono),,27,24
2,7:48.0,R. Arcidiacono makes free throw 1 of 3,,28,24
2,7:48.0,R. Arcidiacono makes free throw 2 of 3,,29,24
2,7:48.0,,K. Caldwell-Pope enters the game for S. Mykhailiuk,29,24
2,7:48.0,R. Arcidiacono makes free throw 3 of 3,,30,24
2,7:29.0,,Shooting foul by B. Portis (drawn by I. Zubac),30,24
2,7:29.0,,I. Zubac makes free throw 1 of 2,30,25
2,7:29.0,K. Dunn enters the game for R. Arcidiacono,,30,25
2,7:29.0,,B. Ingram enters the game for M. Beasley,30,25
2,7:29.0,,I. Zubac misses free throw 2 of 2,30,25
2,7:26.0,,Offensive rebound by K. Kuzma,30,25
2,7:23.0,,I. Zubac makes 2-pt layup from 2 ft (assist by L. Ball),30,27
2,7:07.0,B. Portis misses 2-pt jump shot from 21 ft,,30,27
2,7:04.0,,Defensive rebound by I. Zubac,30,27
2,6:50.0,,B. Ingram misses 3-pt jump shot from 25 ft,30,27
2,6:47.0,,Offensive rebound by L. Ball,30,27
2,6:47.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by L. Ball),30,29
2,6:47.0,Chicago full timeout,,30,29
2,6:47.0,W. Carter enters the game for J. Parker,,30,29
2,6:47.0,L. Markkanen enters the game for B. Portis,,30,29
2,6:47.0,,T. Chandler enters the game for I. Zubac,30,29
2,6:23.0,Turnover by Team (shot clock),,30,29
2,6:01.0,,Shooting foul by W. Carter (drawn by T. Chandler),30,29
2,6:01.0,,T. Chandler makes free throw 1 of 2,30,30
2,6:01.0,,T. Chandler makes free throw 2 of 2,30,31
2,5:48.0,W. Carter makes 2-pt layup from 2 ft (assist by Z. LaVine),,32,31
2,5:27.0,,L. Ball makes 2-pt jump shot from 5 ft,32,33
2,5:09.0,L. Markkanen misses 2-pt jump shot from 10 ft,,32,33
2,5:06.0,,Defensive rebound by L. Ball,32,33
2,5:00.0,,K. Kuzma misses 3-pt jump shot from 25 ft,32,33
2,4:54.0,,Offensive rebound by K. Kuzma,32,33
2,4:45.0,,K. Kuzma misses 3-pt jump shot from 26 ft,32,33
2,4:42.0,Defensive rebound by W. Carter,,32,33
2,4:36.0,Z. LaVine misses 2-pt layup from 4 ft (block by T. Chandler),,32,33
2,4:33.0,,Defensive rebound by K. Kuzma,32,33
2,4:24.0,,Turnover by K. Kuzma (bad pass),32,33
2,4:09.0,Turnover by L. Markkanen (bad pass; steal by L. Ball),,32,33
2,4:06.0,,Turnover by L. Ball (bad pass),32,33
2,4:06.0,C. Hutchison enters the game for Z. LaVine,,32,33
2,3:56.0,K. Dunn makes 2-pt jump shot from 17 ft,,34,33
2,3:36.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by B. Ingram),34,36
2,3:20.0,Shooting foul by T. Chandler (drawn by K. Dunn),,34,36
2,3:20.0,K. Dunn makes free throw 1 of 2,,35,36
2,3:20.0,K. Dunn makes free throw 2 of 2,,36,36
2,3:07.0,,B. Ingram misses 2-pt layup from 3 ft,36,36
2,3:04.0,Defensive rebound by K. Dunn,,36,36
2,2:59.0,K. Dunn misses 2-pt jump shot from 11 ft,,36,36
2,2:55.0,,Defensive rebound by T. Chandler,36,36
2,2:50.0,,B. Ingram makes 2-pt jump shot from 4 ft,36,38
2,2:31.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by K. Dunn),,39,38
2,2:09.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,39,38
2,2:05.0,,Offensive rebound by K. Caldwell-Pope,39,38
2,2:03.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,39,38
2,2:00.0,Defensive rebound by K. Dunn,,39,38
2,1:51.0,W. Carter misses 2-pt hook shot from 10 ft,,39,38
2,1:48.0,,Defensive rebound by K. Kuzma,39,38
2,1:39.0,,K. Kuzma makes 2-pt hook shot from 4 ft,39,40
2,1:19.0,L. Markkanen misses 3-pt jump shot from 25 ft,,39,40
2,1:15.0,,Defensive rebound by K. Caldwell-Pope,39,40
2,1:10.0,,L. Ball makes 2-pt layup from 2 ft,39,42
2,1:06.0,Shooting foul by T. Chandler (drawn by C. Hutchison),,39,42
2,1:06.0,C. Hutchison makes free throw 1 of 2,,40,42
2,1:06.0,J. Parker enters the game for L. Markkanen,,40,42
2,1:06.0,,J. McGee enters the game for T. Chandler,40,42
2,1:06.0,C. Hutchison makes free throw 2 of 2,,41,42
2,0:50.0,,B. Ingram makes 2-pt layup from 4 ft,41,44
2,0:35.0,C. Hutchison misses 2-pt layup from 4 ft (block by J. McGee),,41,44
2,0:31.0,Offensive rebound by J. Parker,,41,44
2,0:30.0,J. Parker makes 2-pt jump shot from 14 ft,,43,44
2,0:22.0,,K. Kuzma misses 3-pt jump shot from 26 ft,43,44
2,0:22.0,,Offensive rebound by Team,43,44
2,0:22.0,R. Arcidiacono enters the game for W. Carter,,43,44
2,0:22.0,B. Portis enters the game for K. Dunn,,43,44
2,0:07.0,,Personal take foul by S. Harrison (drawn by L. Ball),43,44
2,0:00.0,,Turnover by B. Ingram (lost ball; steal by J. Parker),43,44
3,11:43.0,,Turnover by B. Ingram (bad pass; steal by C. Hutchison),43,44
3,11:27.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by Z. LaVine),,46,44
3,11:09.0,,L. Ball misses 3-pt jump shot from 26 ft,46,44
3,11:04.0,Defensive rebound by C. Hutchison,,46,44
3,10:57.0,Z. LaVine makes 2-pt jump shot from 17 ft,,48,44
3,10:41.0,,L. Ball misses 2-pt jump shot from 3 ft,48,44
3,10:38.0,Defensive rebound by K. Dunn,,48,44
3,10:38.0,Turnover by K. Dunn (bad pass),,48,44
3,10:22.0,,K. Kuzma makes 2-pt jump shot from 4 ft (assist by K. Caldwell-Pope),48,46
3,10:03.0,L. Markkanen misses 3-pt jump shot from 26 ft,,48,46
3,10:00.0,,Defensive rebound by K. Kuzma,48,46
3,9:59.0,,Offensive foul by K. Kuzma (drawn by L. Markkanen),48,46
3,9:59.0,,Turnover by K. Kuzma (offensive foul),48,46
3,9:35.0,Turnover by Team (shot clock),,48,46
3,9:24.0,,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by T. Chandler),48,48
3,9:04.0,Turnover by Z. LaVine (bad pass; steal by L. Ball),,48,48
3,8:47.0,,T. Chandler makes 2-pt layup from 2 ft (assist by K. Kuzma),48,50
3,8:46.0,Chicago full timeout,,48,50
3,8:33.0,Turnover by W. Carter (bad pass; steal by K. Caldwell-Pope),,48,50
3,8:24.0,,K. Caldwell-Pope misses 2-pt jump shot from 6 ft,48,50
3,8:20.0,Defensive rebound by W. Carter,,48,50
3,7:58.0,W. Carter misses 2-pt jump shot from 15 ft,,48,50
3,7:54.0,,Defensive rebound by L. Ball,48,50
3,7:48.0,,L. Ball makes 3-pt jump shot from 26 ft,48,53
3,7:23.0,Turnover by Z. LaVine (bad pass; steal by B. Ingram),,48,53
3,7:18.0,,L. Ball makes 3-pt jump shot from 25 ft (assist by B. Ingram),48,56
3,7:17.0,Chicago full timeout,,48,56
3,7:17.0,R. Arcidiacono enters the game for K. Dunn,,48,56
3,6:55.0,L. Markkanen misses 2-pt jump shot from 17 ft,,48,56
3,6:50.0,,Defensive rebound by L. Ball,48,56
3,6:35.0,,B. Ingram misses 2-pt jump shot from 15 ft,48,56
3,6:32.0,Defensive rebound by C. Hutchison,,48,56
3,6:27.0,Shooting foul by B. Ingram (drawn by Z. LaVine),,48,56
3,6:27.0,Z. LaVine misses free throw 1 of 2,,48,56
3,6:27.0,Offensive rebound by Team,,48,56
3,6:27.0,Z. LaVine makes free throw 2 of 2,,49,56
3,6:15.0,,Shooting foul by C. Hutchison (drawn by T. Chandler),49,56
3,6:15.0,,T. Chandler misses free throw 1 of 2,49,56
3,6:15.0,,Offensive rebound by Team,49,56
3,6:15.0,,T. Chandler misses free throw 2 of 2,49,56
3,6:13.0,Defensive rebound by C. Hutchison,,49,56
3,5:53.0,L. Markkanen makes 2-pt layup from 5 ft,,51,56
3,5:53.0,,Personal foul by R. Arcidiacono (drawn by K. Caldwell-Pope),51,56
3,5:45.0,,B. Ingram misses 2-pt jump shot from 8 ft,51,56
3,5:41.0,Defensive rebound by W. Carter,,51,56
3,5:32.0,L. Markkanen makes 2-pt jump shot from 7 ft (assist by Z. LaVine),,53,56
3,5:17.0,,L. Ball misses 2-pt jump shot from 2 ft,53,56
3,5:17.0,,Offensive rebound by L. Ball,53,56
3,5:14.0,,L. Ball makes 2-pt layup from 1 ft,53,58
3,4:58.0,Z. LaVine makes 2-pt jump shot from 19 ft,,55,58
3,4:38.0,,L. Ball makes 3-pt jump shot from 24 ft (assist by B. Ingram),55,61
3,4:19.0,C. Hutchison misses 2-pt layup from 2 ft,,55,61
3,4:15.0,Offensive rebound by C. Hutchison,,55,61
3,4:15.0,C. Hutchison makes 2-pt layup at rim,,57,61
3,4:12.0,,LA Lakers full timeout,57,61
3,4:12.0,,J. McGee enters the game for T. Chandler,57,61
3,4:01.0,,J. McGee makes 2-pt layup from 4 ft (assist by L. Ball),57,63
3,3:45.0,L. Markkanen makes 2-pt jump shot from 11 ft,,59,63
3,3:33.0,,Personal foul by W. Carter (drawn by B. Ingram),59,63
3,3:33.0,,J. Hart enters the game for B. Ingram,59,63
3,3:28.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. Ball),59,66
3,3:12.0,W. Carter misses 2-pt hook shot from 7 ft,,59,66
3,3:10.0,Offensive rebound by Team,,59,66
3,3:10.0,S. Harrison enters the game for C. Hutchison,,59,66
3,3:07.0,Z. LaVine makes 3-pt jump shot from 26 ft (assist by W. Carter),,62,66
3,2:52.0,,K. Kuzma makes 2-pt jump shot from 5 ft (assist by L. Ball),62,68
3,2:43.0,Z. LaVine misses 2-pt layup from 4 ft,,62,68
3,2:43.0,,Defensive rebound by K. Kuzma,62,68
3,2:43.0,,Personal take foul by Z. LaVine (drawn by K. Kuzma),62,68
3,2:43.0,J. Parker enters the game for W. Carter,,62,68
3,2:43.0,B. Portis enters the game for L. Markkanen,,62,68
3,2:30.0,,J. McGee misses 2-pt layup from 4 ft (block by R. Arcidiacono),62,68
3,2:26.0,Defensive rebound by S. Harrison,,62,68
3,2:21.0,Turnover by Z. LaVine (lost ball; steal by K. Caldwell-Pope),,62,68
3,2:19.0,,Shooting foul by S. Harrison (drawn by K. Caldwell-Pope),62,68
3,2:19.0,,K. Caldwell-Pope makes free throw 1 of 2,62,69
3,2:19.0,W. Selden enters the game for Z. LaVine,,62,69
3,2:19.0,,K. Caldwell-Pope makes free throw 2 of 2,62,70
3,2:07.0,S. Harrison makes 3-pt jump shot from 25 ft (assist by B. Portis),,65,70
3,1:54.0,,K. Kuzma misses 3-pt jump shot from 27 ft,65,70
3,1:51.0,Defensive rebound by R. Arcidiacono,,65,70
3,1:44.0,S. Harrison misses 2-pt jump shot from 11 ft,,65,70
3,1:39.0,,Defensive rebound by K. Kuzma,65,70
3,1:35.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,65,70
3,1:31.0,,Offensive rebound by J. McGee,65,70
3,1:31.0,,Personal take foul by B. Portis (drawn by J. McGee),65,70
3,1:31.0,K. Dunn enters the game for R. Arcidiacono,,65,70
3,1:31.0,,S. Mykhailiuk enters the game for K. Caldwell-Pope,65,70
3,1:31.0,,J. McGee makes free throw 1 of 2,65,71
3,1:31.0,,J. McGee makes free throw 2 of 2,65,72
3,1:15.0,B. Portis misses 2-pt layup from 5 ft,,65,72
3,1:13.0,,Defensive rebound by K. Kuzma,65,72
3,1:09.0,,K. Kuzma misses 2-pt layup from 4 ft (block by K. Dunn),65,72
3,1:06.0,Defensive rebound by K. Dunn,,65,72
3,1:04.0,W. Selden makes 3-pt jump shot from 25 ft (assist by K. Dunn),,68,72
3,0:45.0,,Personal foul by S. Harrison (drawn by K. Kuzma),68,72
3,0:45.0,,K. Kuzma makes free throw 1 of 2,68,73
3,0:45.0,,K. Kuzma makes free throw 2 of 2,68,74
3,0:32.0,Shooting foul by S. Mykhailiuk (drawn by S. Harrison),,68,74
3,0:32.0,S. Harrison misses free throw 1 of 2,,68,74
3,0:32.0,Offensive rebound by Team,,68,74
3,0:32.0,S. Harrison misses free throw 2 of 2,,68,74
3,0:31.0,,Defensive rebound by Team,68,74
3,0:18.0,,L. Ball makes 2-pt jump shot from 9 ft (assist by J. McGee),68,76
3,0:00.0,S. Harrison misses 2-pt layup from 3 ft,,68,76
3,0:00.0,Offensive rebound by Team,,68,76
4,11:43.0,J. Parker misses 2-pt hook shot from 7 ft,,68,76
4,11:40.0,,Defensive rebound by M. Beasley,68,76
4,11:30.0,,J. McGee misses 2-pt layup from 2 ft,68,76
4,11:27.0,,Offensive rebound by J. McGee,68,76
4,11:27.0,,J. McGee misses 2-pt layup from 1 ft,68,76
4,11:27.0,,Offensive rebound by J. McGee,68,76
4,11:25.0,,J. McGee makes 2-pt layup from 1 ft,68,78
4,11:20.0,Shooting foul by M. Beasley (drawn by J. Parker),,68,78
4,11:20.0,J. Parker makes free throw 1 of 2,,69,78
4,11:20.0,J. Parker makes free throw 2 of 2,,70,78
4,10:57.0,,M. Beasley misses 2-pt layup from 3 ft,70,78
4,10:56.0,,Offensive rebound by M. Beasley,70,78
4,10:56.0,,Shooting foul by B. Portis (drawn by M. Beasley),70,78
4,10:56.0,,M. Beasley makes free throw 1 of 2,70,79
4,10:56.0,,M. Beasley makes free throw 2 of 2,70,80
4,10:43.0,K. Dunn makes 2-pt jump shot from 9 ft,,72,80
4,10:24.0,Violation by Team (kicked ball),,72,80
4,10:16.0,,Turnover by M. Beasley (lost ball; steal by K. Dunn),72,80
4,10:12.0,W. Selden makes 2-pt layup from 2 ft (assist by J. Parker),,74,80
4,10:04.0,,Personal foul by B. Portis (drawn by J. McGee),74,80
4,9:55.0,,J. McGee misses 2-pt hook shot from 5 ft,74,80
4,9:53.0,Defensive rebound by B. Portis,,74,80
4,9:37.0,S. Harrison misses 3-pt jump shot from 24 ft,,74,80
4,9:32.0,Offensive rebound by J. Parker,,74,80
4,9:32.0,J. Parker makes 2-pt dunk at rim,,76,80
4,9:32.0,,LA Lakers full timeout,76,80
4,9:32.0,,T. Chandler enters the game for J. McGee,76,80
4,9:18.0,,M. Beasley misses 2-pt hook shot from 4 ft,76,80
4,9:15.0,Defensive rebound by W. Selden,,76,80
4,9:08.0,B. Portis misses 3-pt jump shot from 25 ft,,76,80
4,9:05.0,,Defensive rebound by B. Ingram,76,80
4,9:02.0,,S. Mykhailiuk makes 3-pt jump shot from 24 ft (assist by B. Ingram),76,83
4,8:50.0,K. Dunn misses 2-pt jump shot from 13 ft,,76,83
4,8:46.0,,Defensive rebound by B. Ingram,76,83
4,8:42.0,,Shooting foul by K. Dunn (drawn by B. Ingram),76,83
4,8:42.0,,B. Ingram makes free throw 1 of 2,76,84
4,8:42.0,Z. LaVine enters the game for S. Harrison,,76,84
4,8:42.0,,L. Ball enters the game for M. Beasley,76,84
4,8:42.0,,B. Ingram misses free throw 2 of 2,76,84
4,8:40.0,Defensive rebound by Z. LaVine,,76,84
4,8:22.0,Z. LaVine misses 3-pt jump shot from 29 ft,,76,84
4,8:19.0,,Defensive rebound by B. Ingram,76,84
4,8:08.0,,S. Mykhailiuk misses 3-pt jump shot from 23 ft,76,84
4,8:02.0,Defensive rebound by B. Portis,,76,84
4,8:01.0,Offensive foul by W. Selden (drawn by S. Mykhailiuk),,76,84
4,8:01.0,Turnover by W. Selden (offensive foul),,76,84
4,7:50.0,,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by T. Chandler),76,87
4,7:50.0,Chicago full timeout,,76,87
4,7:30.0,B. Portis misses 3-pt jump shot from 25 ft,,76,87
4,7:26.0,,Defensive rebound by B. Ingram,76,87
4,7:12.0,,B. Ingram makes 2-pt jump shot from 4 ft,76,89
4,6:51.0,W. Selden misses 2-pt layup from 4 ft,,76,89
4,6:51.0,Offensive rebound by Team,,76,89
4,6:51.0,,Loose ball foul by S. Mykhailiuk (drawn by B. Portis),76,89
4,6:51.0,W. Carter enters the game for J. Parker,,76,89
4,6:51.0,L. Markkanen enters the game for B. Portis,,76,89
4,6:47.0,W. Carter misses 2-pt jump shot from 14 ft,,76,89
4,6:42.0,,Defensive rebound by J. Hart,76,89
4,6:31.0,,S. Mykhailiuk misses 3-pt jump shot from 26 ft,76,89
4,6:28.0,Defensive rebound by W. Carter,,76,89
4,6:22.0,Personal foul by J. Hart (drawn by L. Markkanen),,76,89
4,6:14.0,Personal foul by B. Ingram (drawn by L. Markkanen),,76,89
4,6:10.0,Turnover by W. Carter (bad pass; steal by J. Hart),,76,89
4,6:04.0,,J. Hart makes 2-pt layup from 1 ft,76,91
4,5:48.0,Z. LaVine misses 3-pt jump shot from 23 ft,,76,91
4,5:46.0,,Defensive rebound by J. Hart,76,91
4,5:41.0,,L. Ball misses 2-pt layup from 1 ft (block by L. Markkanen),76,91
4,5:39.0,Defensive rebound by W. Selden,,76,91
4,5:34.0,L. Markkanen misses 3-pt jump shot from 25 ft,,76,91
4,5:29.0,Offensive rebound by Z. LaVine,,76,91
4,5:29.0,Turnover by K. Dunn (step out of bounds),,76,91
4,5:08.0,,Shooting foul by Z. LaVine (drawn by B. Ingram),76,91
