QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
1,8:15.0,K. Walker makes 2-pt jump shot from 12 ft,,6,12
1,7:56.0,,D. Jones makes 3-pt jump shot from 24 ft (assist by G. Dragić),6,15
1,7:38.0,C. Zeller makes 2-pt layup from 2 ft (assist by K. Walker),,8,15
1,7:38.0,Shooting foul by H. Whiteside (drawn by C. Zeller),,8,15
1,7:38.0,C. Zeller makes free throw 1 of 1,,9,15
1,7:20.0,,D. Jones misses 2-pt jump shot from 8 ft (block by M. Williams),9,15
1,7:20.0,Defensive rebound by M. Williams,,9,15
1,7:13.0,N. Batum makes 3-pt jump shot from 23 ft (assist by K. Walker),,12,15
1,7:01.0,,Turnover by J. Richardson (bad pass; steal by N. Batum),12,15
1,6:55.0,K. Walker makes 2-pt layup from 2 ft (assist by N. Batum),,14,15
1,6:44.0,,G. Dragić makes 2-pt layup from 1 ft,14,17
1,6:39.0,Offensive foul by C. Zeller (drawn by J. Richardson),,14,17
1,6:39.0,Turnover by C. Zeller (offensive foul),,14,17
1,6:39.0,M. Kidd-Gilchrist enters the game for M. Williams,,14,17
1,6:39.0,,D. Wade enters the game for J. Richardson,14,17
1,6:27.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. McGruder),14,19
1,6:11.0,K. Walker makes 3-pt jump shot from 26 ft,,17,19
1,5:54.0,,D. Jones makes 2-pt dunk from 1 ft,17,21
1,5:38.0,K. Walker misses 3-pt jump shot from 26 ft,,17,21
1,5:36.0,,Defensive rebound by R. McGruder,17,21
1,5:32.0,,G. Dragić misses 2-pt layup from 1 ft,17,21
1,5:29.0,Defensive rebound by C. Zeller,,17,21
1,5:22.0,N. Batum makes 3-pt jump shot from 26 ft,,20,21
1,5:21.0,,Miami full timeout,20,21
1,5:06.0,,D. Jones misses 2-pt layup from 5 ft (block by M. Kidd-Gilchrist),20,21
1,5:02.0,,Offensive rebound by Team,20,21
1,4:57.0,,G. Dragić misses 3-pt jump shot from 25 ft,20,21
1,4:57.0,Defensive rebound by Team,,20,21
1,4:57.0,,Loose ball foul by H. Whiteside (drawn by C. Zeller),20,21
1,4:57.0,W. Hernangómez enters the game for C. Zeller,,20,21
1,4:57.0,,B. Adebayo enters the game for H. Whiteside,20,21
1,4:48.0,Personal foul by D. Wade (drawn by W. Hernangómez),,20,21
1,4:48.0,M. Monk enters the game for J. Lamb,,20,21
1,4:42.0,K. Walker makes 2-pt layup from 2 ft,,22,21
1,4:33.0,,D. Wade misses 3-pt jump shot from 25 ft,22,21
1,4:32.0,Defensive rebound by W. Hernangómez,,22,21
1,4:16.0,W. Hernangómez makes 2-pt hook shot from 5 ft,,24,21
1,4:08.0,,Turnover by D. Jones (bad pass),24,21
1,4:04.0,Personal foul by R. McGruder (drawn by K. Walker),,24,21
1,4:04.0,,J. Richardson enters the game for G. Dragić,24,21
1,3:55.0,Turnover by M. Kidd-Gilchrist (out of bounds lost ball),,24,21
1,3:40.0,,Personal foul by W. Hernangómez (drawn by D. Jones),24,21
1,3:40.0,,T. Johnson enters the game for D. Jones,24,21
1,3:40.0,,K. Olynyk enters the game for R. McGruder,24,21
1,3:33.0,,B. Adebayo misses 2-pt jump shot from 6 ft (block by M. Kidd-Gilchrist),24,21
1,3:28.0,,Offensive rebound by Team,24,21
1,3:25.0,,D. Wade misses 2-pt jump shot from 21 ft,24,21
1,3:22.0,Defensive rebound by W. Hernangómez,,24,21
1,3:17.0,K. Walker misses 3-pt jump shot from 25 ft,,24,21
1,3:13.0,Offensive rebound by W. Hernangómez,,24,21
1,3:11.0,Personal foul by J. Richardson (drawn by N. Batum),,24,21
1,3:11.0,N. Batum makes free throw 1 of 2,,25,21
1,3:11.0,N. Batum makes free throw 2 of 2,,26,21
1,2:50.0,,J. Richardson misses 3-pt jump shot from 26 ft,26,21
1,2:47.0,Defensive rebound by N. Batum,,26,21
1,2:41.0,Shooting foul by T. Johnson (drawn by W. Hernangómez),,26,21
1,2:41.0,W. Hernangómez makes free throw 1 of 2,,27,21
1,2:41.0,W. Hernangómez makes free throw 2 of 2,,28,21
1,2:30.0,,D. Wade makes 2-pt layup from 2 ft,28,23
1,2:24.0,K. Walker misses 2-pt layup from 2 ft (block by B. Adebayo),,28,23
1,2:20.0,,Defensive rebound by J. Richardson,28,23
1,2:08.0,,D. Wade makes 2-pt jump shot from 10 ft,28,25
1,1:56.0,K. Walker makes 3-pt jump shot from 25 ft,,31,25
1,1:47.0,,Turnover by J. Richardson (traveling),31,25
1,1:38.0,Turnover by W. Hernangómez (out of bounds lost ball),,31,25
1,1:27.0,Violation by Team (kicked ball),,31,25
1,1:27.0,T. Parker enters the game for K. Walker,,31,25
1,1:25.0,,Personal foul by T. Parker (drawn by D. Wade),31,25
1,1:13.0,,D. Wade makes 2-pt layup from 1 ft (assist by T. Johnson),31,27
1,0:55.0,N. Batum misses 3-pt jump shot from 25 ft,,31,27
1,0:53.0,Offensive rebound by W. Hernangómez,,31,27
1,0:46.0,Shooting foul by T. Johnson (drawn by T. Parker),,31,27
1,0:46.0,T. Parker misses free throw 1 of 2,,31,27
1,0:46.0,Offensive rebound by Team,,31,27
1,0:46.0,T. Parker misses free throw 2 of 2,,31,27
1,0:44.0,,Defensive rebound by K. Olynyk,31,27
1,0:40.0,,Offensive foul by D. Wade (drawn by W. Hernangómez),31,27
1,0:40.0,,Turnover by D. Wade (offensive foul),31,27
1,0:32.0,M. Monk makes 3-pt jump shot from 25 ft,,34,27
1,0:11.0,,J. Richardson makes 2-pt jump shot from 17 ft,34,29
1,0:02.0,M. Monk misses 3-pt jump shot from 26 ft,,34,29
1,0:02.0,,Defensive rebound by B. Adebayo,34,29
2,11:43.0,W. Hernangómez misses 2-pt jump shot from 6 ft,,34,29
2,11:37.0,Offensive rebound by W. Hernangómez,,34,29
2,11:37.0,W. Hernangómez makes 2-pt layup at rim,,36,29
2,11:22.0,,D. Wade misses 2-pt jump shot from 14 ft,36,29
2,11:19.0,Defensive rebound by W. Hernangómez,,36,29
2,11:10.0,M. Monk misses 3-pt jump shot from 24 ft,,36,29
2,11:07.0,,Defensive rebound by B. Adebayo,36,29
2,11:02.0,,T. Johnson makes 2-pt jump shot from 14 ft,36,31
2,10:42.0,J. Lamb makes 2-pt jump shot from 10 ft (assist by W. Hernangómez),,38,31
2,10:18.0,,K. Olynyk misses 3-pt jump shot from 26 ft,38,31
2,10:15.0,,Offensive rebound by J. Richardson,38,31
2,10:03.0,,K. Olynyk makes 2-pt layup from 1 ft (assist by J. Richardson),38,33
2,9:50.0,M. Kidd-Gilchrist misses 2-pt layup from 3 ft (block by D. Wade),,38,33
2,9:48.0,,Defensive rebound by D. Wade,38,33
2,9:46.0,,J. Richardson misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),38,33
2,9:46.0,,Offensive rebound by Team,38,33
2,9:39.0,,B. Adebayo misses 2-pt layup from 1 ft,38,33
2,9:36.0,,Offensive rebound by B. Adebayo,38,33
2,9:32.0,,B. Adebayo misses 2-pt layup from 3 ft (block by M. Kidd-Gilchrist),38,33
2,9:28.0,Defensive rebound by W. Hernangómez,,38,33
2,9:19.0,W. Hernangómez misses 2-pt jump shot from 2 ft (block by K. Olynyk),,38,33
2,9:14.0,,Defensive rebound by D. Wade,38,33
2,9:11.0,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Adebayo),38,33
2,9:11.0,,B. Adebayo makes free throw 1 of 2,38,34
2,9:11.0,M. Williams enters the game for W. Hernangómez,,38,34
2,9:11.0,C. Zeller enters the game for M. Kidd-Gilchrist,,38,34
2,9:11.0,,R. McGruder enters the game for D. Wade,38,34
2,9:11.0,,B. Adebayo makes free throw 2 of 2,38,35
2,8:56.0,M. Monk makes 3-pt jump shot from 23 ft (assist by T. Parker),,41,35
2,8:47.0,,Offensive foul by B. Adebayo (drawn by M. Monk),41,35
2,8:47.0,,Turnover by B. Adebayo (offensive foul),41,35
2,8:47.0,,H. Whiteside enters the game for B. Adebayo,41,35
2,8:25.0,C. Zeller makes 2-pt layup from 2 ft (assist by J. Lamb),,43,35
2,8:08.0,,K. Olynyk misses 3-pt jump shot from 25 ft,43,35
2,8:06.0,Defensive rebound by J. Lamb,,43,35
2,7:57.0,T. Parker misses 2-pt jump shot from 16 ft,,43,35
2,7:54.0,,Defensive rebound by H. Whiteside,43,35
2,7:52.0,,Offensive foul by H. Whiteside (drawn by C. Zeller),43,35
2,7:52.0,,Turnover by H. Whiteside (offensive foul),43,35
2,7:52.0,K. Walker enters the game for T. Parker,,43,35
2,7:52.0,,D. Jones enters the game for H. Whiteside,43,35
2,7:36.0,Shooting foul by D. Jones (drawn by J. Lamb),,43,35
2,7:36.0,J. Lamb makes free throw 1 of 2,,44,35
2,7:36.0,,G. Dragić enters the game for J. Richardson,44,35
2,7:36.0,J. Lamb makes free throw 2 of 2,,45,35
2,7:28.0,,Turnover by R. McGruder (bad pass; steal by J. Lamb),45,35
2,7:21.0,M. Williams misses 3-pt jump shot from 23 ft,,45,35
2,7:18.0,Offensive rebound by C. Zeller,,45,35
2,7:18.0,C. Zeller makes 2-pt dunk from 2 ft,,47,35
2,7:18.0,,Miami full timeout,47,35
2,7:07.0,,Personal foul by K. Walker (drawn by K. Olynyk),47,35
2,6:54.0,,K. Olynyk makes 2-pt jump shot from 12 ft (assist by T. Johnson),47,37
2,6:44.0,Personal foul by K. Olynyk (drawn by K. Walker),,47,37
2,6:44.0,N. Batum enters the game for M. Monk,,47,37
2,6:35.0,Turnover by K. Walker (bad pass; steal by T. Johnson),,47,37
2,6:27.0,,D. Jones misses 2-pt jump shot from 5 ft,47,37
2,6:24.0,,Offensive rebound by K. Olynyk,47,37
2,6:19.0,,G. Dragić misses 2-pt layup from 2 ft (block by M. Williams),47,37
2,6:16.0,Defensive rebound by K. Walker,,47,37
2,6:14.0,J. Lamb misses 2-pt layup from 2 ft,,47,37
2,6:14.0,,Defensive rebound by R. McGruder,47,37
2,6:14.0,,Personal foul by J. Lamb (drawn by R. McGruder),47,37
2,5:56.0,,D. Jones misses 3-pt jump shot from 23 ft,47,37
2,5:56.0,,Offensive rebound by Team,47,37
2,5:56.0,Loose ball foul by C. Zeller (drawn by K. Olynyk),,47,37
2,5:43.0,,G. Dragić misses 2-pt layup from 2 ft,47,37
2,5:40.0,Defensive rebound by C. Zeller,,47,37
2,5:34.0,C. Zeller makes 2-pt layup from 2 ft (assist by J. Lamb),,49,37
2,5:23.0,,K. Olynyk makes 3-pt jump shot from 24 ft (assist by T. Johnson),49,40
2,5:18.0,Charlotte full timeout,,49,40
2,4:58.0,Turnover by J. Lamb (bad pass; steal by R. McGruder),,49,40
2,4:50.0,,R. McGruder makes 3-pt jump shot from 25 ft (assist by K. Olynyk),49,43
2,4:29.0,M. Williams makes 3-pt jump shot from 23 ft (assist by J. Lamb),,52,43
2,4:08.0,,R. McGruder makes 3-pt jump shot from 25 ft (assist by K. Olynyk),52,46
2,3:50.0,J. Lamb makes 3-pt jump shot from 22 ft (assist by K. Walker),,55,46
2,3:26.0,,D. Jones misses 3-pt jump shot from 26 ft,55,46
2,3:22.0,Defensive rebound by C. Zeller,,55,46
2,3:14.0,M. Williams misses 2-pt layup from 1 ft,,55,46
2,3:12.0,,Defensive rebound by K. Olynyk,55,46
2,3:05.0,,R. McGruder misses 3-pt jump shot from 26 ft,55,46
2,3:03.0,Defensive rebound by K. Walker,,55,46
2,3:00.0,K. Walker makes 3-pt jump shot from 27 ft,,58,46
2,2:45.0,,T. Johnson misses 3-pt jump shot from 26 ft,58,46
2,2:42.0,Defensive rebound by C. Zeller,,58,46
2,2:33.0,K. Walker misses 2-pt layup from 1 ft,,58,46
2,2:30.0,Offensive rebound by M. Williams,,58,46
2,2:28.0,K. Walker makes 3-pt jump shot from 23 ft (assist by M. Williams),,61,46
2,2:28.0,,Miami full timeout,61,46
2,2:28.0,M. Kidd-Gilchrist enters the game for C. Zeller,,61,46
2,2:28.0,,J. Richardson enters the game for T. Johnson,61,46
2,2:28.0,,D. Wade enters the game for D. Jones,61,46
2,2:22.0,,Personal foul by M. Williams (drawn by K. Olynyk),61,46
2,2:22.0,,K. Olynyk misses free throw 1 of 2,61,46
2,2:22.0,,Offensive rebound by Team,61,46
2,2:22.0,,K. Olynyk makes free throw 2 of 2,61,47
2,2:08.0,K. Walker misses 3-pt jump shot from 25 ft,,61,47
2,2:06.0,,Defensive rebound by G. Dragić,61,47
2,2:05.0,,Offensive foul by J. Richardson (drawn by K. Walker),61,47
2,2:05.0,,Turnover by J. Richardson (offensive foul),61,47
2,1:45.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by J. Lamb),,63,47
2,1:29.0,,K. Olynyk misses 2-pt layup from 4 ft (block by M. Kidd-Gilchrist),63,47
2,1:24.0,Defensive rebound by J. Lamb,,63,47
2,1:21.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by N. Batum),,65,47
2,0:58.0,,R. McGruder makes 3-pt jump shot from 26 ft,65,50
2,0:45.0,Shooting foul by J. Richardson (drawn by K. Walker),,65,50
2,0:45.0,K. Walker misses free throw 1 of 2,,65,50
2,0:45.0,Offensive rebound by Team,,65,50
2,0:45.0,,D. Jones enters the game for J. Richardson,65,50
2,0:45.0,K. Walker makes free throw 2 of 2,,66,50
2,0:39.0,,D. Wade makes 2-pt jump shot from 11 ft,66,52
2,0:30.0,M. Williams makes 3-pt jump shot from 24 ft (assist by K. Walker),,69,52
2,0:10.0,,Offensive foul by K. Olynyk (drawn by J. Lamb),69,52
2,0:10.0,,Turnover by K. Olynyk (offensive foul),69,52
2,0:10.0,M. Monk enters the game for M. Kidd-Gilchrist,,69,52
2,0:10.0,,B. Adebayo enters the game for K. Olynyk,69,52
2,0:10.0,,T. Johnson enters the game for D. Wade,69,52
2,0:00.0,K. Walker makes 3-pt jump shot from 28 ft,,72,52
3,11:45.0,M. Williams misses 3-pt jump shot from 25 ft,,72,52
3,11:42.0,,Defensive rebound by R. McGruder,72,52
3,11:28.0,,D. Jones misses 3-pt jump shot from 23 ft,72,52
3,11:25.0,,Offensive rebound by R. McGruder,72,52
3,11:14.0,,J. Richardson misses 3-pt jump shot from 23 ft,72,52
3,11:13.0,,Offensive rebound by Team,72,52
3,11:13.0,,Turnover by Team (shot clock),72,52
3,10:49.0,Turnover by Team (shot clock),,72,52
3,10:37.0,,Turnover by R. McGruder (bad pass; steal by J. Lamb),72,52
3,10:32.0,K. Walker misses 3-pt jump shot from 26 ft,,72,52
3,10:29.0,Offensive rebound by C. Zeller,,72,52
3,10:26.0,J. Lamb misses 3-pt jump shot from 25 ft,,72,52
3,10:23.0,Offensive rebound by C. Zeller,,72,52
3,10:22.0,,Personal foul by C. Zeller (drawn by J. Richardson),72,52
3,10:22.0,Personal foul by J. Richardson (drawn by C. Zeller),,72,52
3,10:09.0,C. Zeller misses 2-pt jump shot from 7 ft,,72,52
3,10:09.0,Offensive rebound by Team,,72,52
3,9:55.0,K. Walker makes 2-pt jump shot from 20 ft,,74,52
3,9:39.0,,D. Jones makes 2-pt layup from 1 ft (assist by G. Dragić),74,54
3,9:19.0,N. Batum misses 3-pt jump shot from 27 ft,,74,54
3,9:17.0,,Defensive rebound by R. McGruder,74,54
3,9:09.0,,J. Richardson misses 2-pt jump shot from 17 ft,74,54
3,9:09.0,,Offensive rebound by H. Whiteside,74,54
3,8:57.0,,G. Dragić misses 2-pt jump shot from 21 ft,74,54
3,8:54.0,Defensive rebound by K. Walker,,74,54
3,8:51.0,K. Walker misses 2-pt layup from 2 ft,,74,54
3,8:49.0,,Defensive rebound by D. Jones,74,54
3,8:45.0,,J. Richardson misses 2-pt jump shot from 14 ft (block by J. Lamb),74,54
3,8:44.0,Defensive rebound by J. Lamb,,74,54
3,8:38.0,Turnover by N. Batum (bad pass; steal by R. McGruder),,74,54
3,8:37.0,,Personal foul by K. Walker (drawn by G. Dragić),74,54
3,8:24.0,,D. Jones misses 3-pt jump shot from 23 ft,74,54
3,8:21.0,Defensive rebound by M. Williams,,74,54
3,8:11.0,J. Lamb misses 2-pt jump shot from 17 ft,,74,54
3,8:07.0,,Defensive rebound by R. McGruder,74,54
3,8:02.0,,Turnover by D. Jones (bad pass; steal by J. Lamb),74,54
3,8:00.0,K. Walker makes 2-pt layup from 1 ft (assist by C. Zeller),,76,54
3,8:00.0,Shooting foul by J. Richardson (drawn by K. Walker),,76,54
3,8:00.0,,D. Wade enters the game for J. Richardson,76,54
3,8:00.0,K. Walker makes free throw 1 of 1,,77,54
3,7:50.0,,Shooting foul by J. Lamb (drawn by D. Jones),77,54
3,7:50.0,,D. Jones misses free throw 1 of 2,77,54
3,7:50.0,,Offensive rebound by Team,77,54
3,7:50.0,,D. Jones makes free throw 2 of 2,77,55
3,7:39.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by N. Batum),,80,55
3,7:28.0,,Shooting foul by J. Lamb (drawn by D. Wade),80,55
3,7:28.0,,D. Wade misses free throw 1 of 2,80,55
3,7:28.0,,Offensive rebound by Team,80,55
3,7:28.0,,D. Wade makes free throw 2 of 2,80,56
3,7:15.0,J. Lamb misses 2-pt layup from 1 ft,,80,56
3,7:14.0,Offensive rebound by C. Zeller,,80,56
3,7:06.0,M. Williams makes 2-pt jump shot from 10 ft (assist by K. Walker),,82,56
3,7:00.0,,Miami full timeout,82,56
3,6:53.0,,R. McGruder misses 3-pt jump shot from 26 ft,82,56
3,6:50.0,Defensive rebound by M. Williams,,82,56
3,6:39.0,Turnover by C. Zeller (bad pass; steal by D. Jones),,82,56
3,6:33.0,,D. Jones makes 2-pt dunk from 1 ft,82,58
3,6:17.0,N. Batum misses 2-pt jump shot from 22 ft,,82,58
3,6:15.0,,Defensive rebound by H. Whiteside,82,58
3,6:11.0,,Offensive foul by D. Wade (drawn by K. Walker),82,58
3,6:11.0,,Turnover by D. Wade (offensive foul),82,58
3,5:58.0,C. Zeller makes 2-pt dunk from 1 ft (assist by K. Walker),,84,58
3,5:38.0,,R. McGruder makes 2-pt jump shot from 11 ft (assist by G. Dragić),84,60
3,5:17.0,J. Lamb misses 3-pt jump shot from 25 ft,,84,60
3,5:15.0,Offensive rebound by N. Batum,,84,60
3,5:12.0,J. Lamb misses 3-pt jump shot from 23 ft,,84,60
3,5:12.0,,Defensive rebound by Team,84,60
3,5:04.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by D. Wade),84,63
3,5:03.0,Charlotte full timeout,,84,63
3,5:03.0,M. Kidd-Gilchrist enters the game for J. Lamb,,84,63
3,5:03.0,M. Monk enters the game for M. Williams,,84,63
3,4:38.0,K. Walker makes 2-pt layup from 2 ft,,86,63
3,4:23.0,,D. Wade makes 2-pt layup from 1 ft (assist by D. Jones),86,65
3,4:23.0,Violation by Team (def goaltending),,86,65
3,4:06.0,C. Zeller misses 2-pt layup from 1 ft (block by D. Jones),,86,65
3,4:02.0,,Defensive rebound by H. Whiteside,86,65
3,4:02.0,,Turnover by D. Wade (bad pass; steal by M. Monk),86,65
3,4:02.0,Personal foul by D. Wade (drawn by M. Monk),,86,65
3,4:02.0,W. Hernangómez enters the game for C. Zeller,,86,65
3,3:45.0,N. Batum misses 3-pt jump shot from 26 ft,,86,65
3,3:43.0,,Defensive rebound by H. Whiteside,86,65
3,3:35.0,,D. Jones makes 2-pt jump shot from 9 ft (assist by G. Dragić),86,67
3,3:18.0,M. Monk makes 2-pt layup from 1 ft (assist by M. Kidd-Gilchrist),,88,67
3,2:58.0,,G. Dragić makes 2-pt jump shot from 17 ft,88,69
3,2:40.0,M. Monk misses 3-pt jump shot from 23 ft (block by D. Jones),,88,69
3,2:34.0,Offensive rebound by W. Hernangómez,,88,69
3,2:32.0,W. Hernangómez misses 3-pt jump shot from 25 ft,,88,69
3,2:30.0,,Defensive rebound by Team,88,69
3,2:22.0,,D. Wade makes 2-pt dunk from 1 ft,88,71
3,2:22.0,Charlotte full timeout,,88,71
3,2:07.0,W. Hernangómez makes 2-pt dunk from 2 ft (assist by M. Monk),,90,71
3,1:55.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by D. Jones),90,74
3,1:55.0,,Shooting foul by M. Monk (drawn by G. Dragić),90,74
3,1:55.0,,T. Johnson enters the game for D. Jones,90,74
3,1:55.0,,G. Dragić makes free throw 1 of 1,90,75
3,1:39.0,K. Walker misses 3-pt jump shot from 25 ft,,90,75
3,1:36.0,,Defensive rebound by H. Whiteside,90,75
3,1:30.0,,G. Dragić makes 2-pt jump shot from 3 ft (assist by D. Wade),90,77
3,1:13.0,K. Walker makes 2-pt layup from 1 ft,,92,77
3,1:05.0,,D. Wade misses 3-pt jump shot from 26 ft,92,77
3,1:01.0,Defensive rebound by M. Monk,,92,77
3,0:47.0,K. Walker misses 2-pt jump shot from 4 ft,,92,77
3,0:46.0,,Defensive rebound by H. Whiteside,92,77
3,0:46.0,,Personal foul by K. Walker (drawn by H. Whiteside),92,77
3,0:46.0,,H. Whiteside makes free throw 1 of 2,92,78
3,0:46.0,,D. Jones enters the game for D. Wade,92,78
3,0:46.0,,H. Whiteside makes free throw 2 of 2,92,79
3,0:32.0,K. Walker misses 2-pt jump shot from 19 ft,,92,79
3,0:30.0,,Defensive rebound by G. Dragić,92,79
3,0:28.0,,G. Dragić makes 2-pt layup from 1 ft,92,81
3,0:09.0,M. Monk misses 3-pt jump shot from 23 ft,,92,81
3,0:05.0,,Defensive rebound by H. Whiteside,92,81
3,0:01.0,,R. McGruder misses 2-pt jump shot from 2 ft (block by M. Kidd-Gilchrist),92,81
3,0:01.0,,Offensive rebound by H. Whiteside,92,81
3,0:00.0,,Shooting foul by M. Kidd-Gilchrist (drawn by H. Whiteside),92,81
3,0:00.0,,H. Whiteside misses free throw 1 of 2,92,81
3,0:00.0,,Offensive rebound by Team,92,81
3,0:00.0,,H. Whiteside makes free throw 2 of 2,92,82
4,11:45.0,,Shooting foul by J. Lamb (drawn by B. Adebayo),92,82
4,11:45.0,,B. Adebayo makes free throw 1 of 2,92,83
4,11:45.0,,B. Adebayo makes free throw 2 of 2,92,84
4,11:32.0,M. Monk misses 2-pt layup from 2 ft (block by T. Johnson),,92,84
4,11:29.0,,Defensive rebound by D. Jones,92,84
4,11:28.0,,D. Jones misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),92,84
4,11:28.0,,Offensive rebound by Team,92,84
4,11:28.0,M. Williams enters the game for W. Hernangómez,,92,84
4,11:24.0,,G. Dragić misses 3-pt jump shot from 26 ft,92,84
4,11:22.0,,Offensive rebound by T. Johnson,92,84
4,11:15.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Dragić),92,86
4,11:05.0,Offensive foul by M. Williams (drawn by G. Dragić),,92,86
4,11:05.0,Turnover by M. Williams (offensive foul),,92,86
4,11:00.0,,Personal foul by J. Lamb (drawn by G. Dragić),92,86
4,11:00.0,N. Batum enters the game for J. Lamb,,92,86
4,10:51.0,,Turnover by G. Dragić (traveling),92,86
4,10:27.0,M. Williams makes 2-pt jump shot from 7 ft (assist by M. Kidd-Gilchrist),,94,86
4,10:16.0,,Personal foul by T. Parker (drawn by T. Johnson),94,86
4,10:12.0,,Personal foul by N. Batum (drawn by G. Dragić),94,86
4,9:56.0,,T. Johnson misses 2-pt jump shot from 14 ft,94,86
4,9:52.0,Defensive rebound by M. Williams,,94,86
4,9:37.0,Offensive foul by M. Kidd-Gilchrist (drawn by R. McGruder),,94,86
4,9:37.0,Turnover by M. Kidd-Gilchrist (offensive foul),,94,86
4,9:37.0,K. Walker enters the game for M. Monk,,94,86
4,9:19.0,,R. McGruder misses 2-pt jump shot from 10 ft,94,86
4,9:15.0,Defensive rebound by K. Walker,,94,86
4,9:10.0,K. Walker misses 2-pt layup from 2 ft (block by R. McGruder),,94,86
4,9:10.0,,Defensive rebound by Team,94,86
4,8:56.0,,G. Dragić misses 2-pt jump shot from 4 ft,94,86
4,8:51.0,,Offensive rebound by B. Adebayo,94,86
4,8:51.0,,B. Adebayo makes 2-pt layup at rim,94,88
4,8:41.0,K. Walker misses 3-pt jump shot from 25 ft,,94,88
4,8:37.0,,Defensive rebound by D. Jones,94,88
4,8:29.0,,G. Dragić makes 2-pt layup from 1 ft,94,90
4,8:29.0,Charlotte full timeout,,94,90
4,8:29.0,J. Lamb enters the game for T. Parker,,94,90
4,8:29.0,C. Zeller enters the game for M. Williams,,94,90
4,8:23.0,Personal foul by R. McGruder (drawn by K. Walker),,94,90
4,8:09.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by C. Zeller),,96,90
4,8:09.0,Shooting foul by B. Adebayo (drawn by M. Kidd-Gilchrist),,96,90
4,8:09.0,M. Kidd-Gilchrist misses free throw 1 of 1,,96,90
4,8:09.0,,Defensive rebound by R. McGruder,96,90
4,8:01.0,,Personal foul by N. Batum (drawn by G. Dragić),96,90
4,8:01.0,,G. Dragić makes free throw 1 of 2,96,91
4,8:01.0,,G. Dragić makes free throw 2 of 2,96,92
4,7:54.0,Personal foul by B. Adebayo (drawn by C. Zeller),,96,92
4,7:50.0,,Violation by Team (kicked ball),96,92
4,7:42.0,K. Walker misses 3-pt jump shot from 26 ft,,96,92
4,7:39.0,,Defensive rebound by B. Adebayo,96,92
4,7:32.0,,Shooting foul by J. Lamb (drawn by G. Dragić),96,92
4,7:32.0,,G. Dragić misses free throw 1 of 2,96,92
4,7:32.0,,Offensive rebound by Team,96,92
4,7:32.0,M. Monk enters the game for J. Lamb,,96,92
4,7:32.0,,G. Dragić makes free throw 2 of 2,96,93
4,7:18.0,Shooting foul by D. Jones (drawn by M. Monk),,96,93
4,7:18.0,M. Monk makes free throw 1 of 2,,97,93
